gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,savedObox,attLfGoal,attOneOnOne,attMissHighRight,freekickCross,goodHighClaim,attOboxMiss,errorLeadToShot,totalHighClaim,attGoalHighRight,divingSave,attHdTarget,sixYardBlock,attAssistSetplay,attSvLowRight,punches,savedIbox,shieldBallOop,foulThrowIn,attSvHighCentre,attHdGoal,goalAssistDeadball,saves,attSvHighLeft,contentiousDecision,successfulOpenPlayPass,attMissHighLeft,openPlayPass,accurateFreekickCross,attSetpiece,totalPullBack,attFreekickMiss,attemptsIbox,accurateKeeperSweeper,attemptsObox,touchesInOppBox,totalKeeperSweeper,defenderGoals,attCorner,ptsDroppedWinningPos,penaltyConceded,penaltyFaced,penGoalsConceded,cleanSheet,attOboxGoal,attGoalHighCentre,attObxdLeft,attFreekickGoal,attOboxPost,accuratePullBack,goalFastbreak,attLgCentre,attSvHighRight,attPenGoal,attObxdRight,attGoalLowCentre,attCmissHighRight,attPostRight,attHdPost,attPostLeft,attCmissHighLeft,clearanceOffLine,ownGoals,attIboxOwnGoal,penaltySave,attObxLeft
1,442002,2012-08-19 16:00:00,"Etihad Stadium, Manchester",46190,Home,Manchester City,Southampton,3,2,W,1,0,0,0,1.0,1.0,1.0,3.0,43.0,1.0,1.0,4.0,1.0,36.0,16.0,7.0,7.0,4.0,193.0,3.0,4.0,3.0,3.0,14.0,1.0,8.0,197.0,126.0,38.0,1.0,2.0,23.0,5.0,7.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,22.0,1.0,10.0,2.0,6.0,6.0,12.0,31.0,371.0,1.0,0.0,215.0,4.0,2.0,1.0,1.0,86.0,100.0,8.0,96.0,1.0,2.0,16.0,2.0,4.0,116.0,6.0,5.0,203.0,884.0,12.0,3.0,1.0,17.0,17.0,2.0,12.0,2.0,1.0,5.0,6.0,23.0,79.0,5.0,7551,9.0,262.0,5.0,12.0,274.0,3.0,7.0,37.0,1.0,8.0,2.0,2.0,2.0,7.0,5.0,5.0,2.0,45.0,630.0,7.0,1.0,9.0,65.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,64.1,23.0,2.0,3.0,2.0,2.0,9.0,53.0,7.0,689.0,14.0,16.0,20.0,6.0,26.0,1.0,5.0,437.0,14.0,11.0,8.0,178.0,20.0,2.0,1.0,6.0,19.0,1.0,17.0,3.0,14.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442011,2012-08-26 16:00:00,"Anfield, Liverpool",44942,Away,Manchester City,Liverpool,2,2,D,0,1,0,0,1.0,1.0,1.0,2.0,56.0,1.0,1.0,1.0,,21.0,41.0,5.0,8.0,,163.0,2.0,10.0,2.0,4.0,6.0,,3.0,139.0,155.0,63.0,,1.0,11.0,2.0,18.0,,,,,,,1.0,22.0,,20.0,1.0,22.0,4.0,10.0,14.0,205.0,,0.0,124.0,8.0,,1.0,1.0,57.0,69.0,3.0,68.0,,1.0,18.0,1.0,1.0,136.0,,6.0,114.0,694.0,6.0,8.0,,10.0,24.0,2.0,21.0,,0.0,5.0,3.0,24.0,68.0,,93666,3.0,204.0,,14.0,222.0,1.0,11.0,48.0,1.0,2.0,1.0,7.0,2.0,8.0,11.0,6.0,2.0,42.0,407.0,10.0,5.0,15.0,80.0,,,,0.0,1.0,,4.0,2.0,,2.0,1.0,0.0,2.0,,,51.3,17.0,,3.0,2.0,7.0,3.0,44.0,4.0,484.0,8.0,15.0,3.0,5.0,13.0,,3.0,284.0,3.0,9.0,17.0,87.0,22.0,1.0,,9.0,26.0,1.0,9.0,3.0,13.0,,,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442021,2012-09-01 17:30:00,"Etihad Stadium, Manchester",45579,Home,Manchester City,Queens Park Rangers,3,1,W,1,0,0,0,,1.0,,1.0,55.0,2.0,,4.0,,31.0,31.0,3.0,3.0,2.0,193.0,9.0,7.0,3.0,2.0,14.0,,7.0,181.0,148.0,48.0,,,18.0,2.0,11.0,4.0,1.0,2.0,1.0,2.0,,1.0,26.0,1.0,16.0,,13.0,7.0,15.0,14.0,320.0,,0.0,210.0,12.0,2.0,1.0,,99.0,107.0,9.0,85.0,2.0,1.0,19.0,,4.0,130.0,2.0,6.0,175.0,832.0,8.0,5.0,1.0,10.0,19.0,2.0,12.0,2.0,2.0,3.0,5.0,18.0,75.0,2.0,93666,8.0,254.0,1.0,14.0,262.0,,5.0,49.0,,5.0,3.0,3.0,2.0,12.0,5.0,3.0,2.0,45.0,565.0,3.0,5.0,15.0,86.0,1.0,,,0.0,,,3.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,5.0,59.9,16.0,2.0,4.0,,4.0,6.0,62.0,8.0,634.0,9.0,17.0,8.0,5.0,25.0,4.0,3.0,398.0,10.0,12.0,19.0,168.0,28.0,2.0,4.0,7.0,19.0,1.0,11.0,3.0,12.0,1.0,4.0,8.0,2.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442037,2012-09-15 15:00:00,"bet365 Stadium, Stoke",27101,Away,Manchester City,Stoke City,1,1,D,1,1,0,0,,,2.0,,57.0,,,2.0,1.0,25.0,24.0,7.0,3.0,4.0,200.0,5.0,10.0,1.0,2.0,11.0,,8.0,168.0,156.0,56.0,,1.0,15.0,2.0,17.0,4.0,2.0,2.0,,,2.0,1.0,18.0,,18.0,3.0,10.0,5.0,13.0,28.0,275.0,,0.0,169.0,12.0,2.0,1.0,2.0,105.0,62.0,9.0,73.0,1.0,,13.0,1.0,4.0,142.0,1.0,3.0,144.0,781.0,8.0,,1.0,7.0,24.0,4.0,15.0,1.0,1.0,1.0,2.0,22.0,74.0,1.0,7551,5.0,223.0,2.0,8.0,243.0,,5.0,56.0,1.0,4.0,1.0,8.0,,9.0,1.0,5.0,1.0,42.0,493.0,12.0,5.0,16.0,76.0,2.0,1.0,,0.0,,2.0,6.0,1.0,,1.0,,0.0,3.0,1.0,2.0,66.2,20.0,,3.0,1.0,8.0,4.0,54.0,5.0,585.0,5.0,16.0,11.0,3.0,23.0,2.0,1.0,360.0,10.0,13.0,14.0,118.0,20.0,,5.0,6.0,20.0,1.0,10.0,3.0,16.0,,5.0,5.0,,,,,1.0,2.0,2.0,,2.0,,,1.0,,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,483.0,1.0,572.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442041,2012-09-23 16:00:00,"Etihad Stadium, Manchester",47318,Home,Manchester City,Arsenal,1,1,D,1,0,0,0,,1.0,1.0,1.0,57.0,,,2.0,1.0,33.0,22.0,6.0,2.0,3.0,153.0,6.0,6.0,1.0,1.0,10.0,1.0,6.0,114.0,147.0,69.0,,,15.0,2.0,17.0,4.0,3.0,2.0,,,2.0,2.0,21.0,,29.0,1.0,11.0,9.0,14.0,19.0,160.0,,0.0,112.0,12.0,6.0,,,66.0,43.0,9.0,55.0,1.0,2.0,12.0,,2.0,147.0,2.0,5.0,117.0,646.0,8.0,6.0,,16.0,25.0,4.0,13.0,1.0,1.0,2.0,1.0,20.0,50.0,,84702,4.0,191.0,2.0,9.0,215.0,,6.0,63.0,,5.0,1.0,10.0,,9.0,6.0,3.0,1.0,49.0,345.0,8.0,12.0,17.0,75.0,3.0,1.0,,0.0,,1.0,4.0,1.0,,1.0,,0.0,1.0,1.0,2.0,41.2,17.0,,5.0,1.0,10.0,4.0,45.0,9.0,439.0,13.0,16.0,9.0,5.0,34.0,5.0,2.0,245.0,11.0,12.0,17.0,70.0,17.0,,,6.0,38.0,1.0,9.0,3.0,13.0,1.0,,9.0,3.0,,,,1.0,1.0,3.0,1.0,1.0,,3.0,1.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,3.0,,,336.0,,426.0,,1.0,,,9.0,1.0,6.0,26.0,1.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442052,2012-09-29 15:00:00,"Craven Cottage, London",25698,Away,Manchester City,Fulham,2,1,W,1,1,0,0,,,3.0,1.0,47.0,1.0,,3.0,,47.0,16.0,12.0,8.0,2.0,217.0,3.0,7.0,2.0,4.0,17.0,1.0,7.0,197.0,134.0,37.0,,1.0,23.0,4.0,14.0,2.0,,1.0,,,1.0,4.0,22.0,,11.0,3.0,11.0,3.0,13.0,23.0,403.0,,0.0,271.0,12.0,,,2.0,145.0,104.0,9.0,91.0,,2.0,19.0,1.0,6.0,129.0,,4.0,221.0,888.0,17.0,2.0,,12.0,21.0,1.0,8.0,,1.0,1.0,8.0,23.0,94.0,1.0,84702,6.0,246.0,1.0,12.0,258.0,1.0,8.0,43.0,1.0,3.0,2.0,3.0,2.0,5.0,3.0,7.0,1.0,57.0,646.0,8.0,2.0,9.0,89.0,,,2.0,0.0,,3.0,2.0,2.0,,1.0,,0.0,3.0,,2.0,71.1,19.0,2.0,4.0,2.0,3.0,7.0,68.0,4.0,726.0,10.0,12.0,12.0,9.0,30.0,,4.0,490.0,12.0,13.0,9.0,221.0,19.0,2.0,3.0,5.0,13.0,1.0,21.0,3.0,10.0,,3.0,4.0,1.0,1.0,,1.0,1.0,1.0,5.0,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,1.0,2.0,,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,442061,2012-10-06 12:45:00,"Etihad Stadium, Manchester",47036,Home,Manchester City,Sunderland,3,0,W,1,0,0,0,,1.0,,,50.0,,,5.0,,29.0,29.0,10.0,9.0,4.0,205.0,8.0,9.0,3.0,3.0,16.0,1.0,9.0,116.0,137.0,57.0,,3.0,28.0,2.0,14.0,6.0,,4.0,1.0,1.0,1.0,4.0,27.0,,11.0,,22.0,10.0,12.0,19.0,271.0,,0.0,183.0,12.0,3.0,1.0,1.0,69.0,89.0,7.0,85.0,,2.0,17.0,3.0,6.0,130.0,1.0,4.0,123.0,739.0,11.0,5.0,1.0,8.0,11.0,11.0,18.0,1.0,0.0,2.0,9.0,20.0,65.0,4.0,7551,9.0,197.0,3.0,11.0,209.0,2.0,4.0,44.0,,10.0,2.0,8.0,1.0,17.0,4.0,2.0,3.0,42.0,460.0,11.0,2.0,21.0,69.0,,2.0,3.0,0.0,,2.0,4.0,1.0,1.0,,2.0,0.0,3.0,1.0,3.0,60.5,18.0,1.0,2.0,4.0,8.0,7.0,45.0,15.0,529.0,7.0,12.0,10.0,12.0,23.0,5.0,5.0,347.0,16.0,12.0,22.0,146.0,28.0,1.0,1.0,13.0,15.0,,13.0,3.0,14.0,,1.0,15.0,2.0,1.0,,1.0,,,6.0,1.0,,,,2.0,1.0,4.0,2.0,,2.0,1.0,,1.0,,,,1.0,,,1.0,,,,3.0,,,,,,,1.0,,,,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
8,442077,2012-10-20 15:00:00,"The Hawthorns, West Bromwich",24891,Away,Manchester City,West Bromwich Albion,2,1,W,0,0,1,0,,,,1.0,47.0,,1.0,2.0,1.0,26.0,32.0,12.0,2.0,5.0,150.0,7.0,11.0,2.0,7.0,19.0,,8.0,104.0,119.0,40.0,,4.0,24.0,5.0,16.0,3.0,1.0,2.0,,1.0,3.0,1.0,23.0,,9.0,3.0,11.0,9.0,19.0,13.0,185.0,,0.0,124.0,16.0,2.0,,,69.0,50.0,12.0,89.0,1.0,2.0,14.0,4.0,6.0,98.0,3.0,6.0,108.0,636.0,15.0,5.0,,12.0,18.0,6.0,12.0,2.0,3.0,4.0,7.0,21.0,55.0,,7551,8.0,224.0,2.0,6.0,231.0,1.0,11.0,56.0,,1.0,1.0,2.0,1.0,5.0,11.0,3.0,2.0,41.0,402.0,11.0,7.0,19.0,73.0,1.0,,,0.0,,2.0,6.0,1.0,,1.0,2.0,1.0,4.0,2.0,4.0,56.1,21.0,2.0,2.0,,2.0,7.0,44.0,9.0,451.0,11.0,10.0,5.0,9.0,14.0,3.0,6.0,243.0,17.0,18.0,8.0,96.0,23.0,2.0,1.0,3.0,10.0,1.0,14.0,3.0,18.0,,1.0,9.0,,,,3.0,2.0,1.0,3.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,,1.0,1.0,,2.0,,,1.0,,2.0,3.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
9,442083,2012-10-27 17:30:00,"Etihad Stadium, Manchester",46801,Home,Manchester City,Swansea City,1,0,W,0,0,0,0,,,1.0,,62.0,1.0,,,,38.0,20.0,3.0,4.0,2.0,203.0,4.0,7.0,1.0,,9.0,,4.0,166.0,145.0,50.0,,1.0,11.0,1.0,11.0,3.0,1.0,2.0,,1.0,1.0,1.0,12.0,,16.0,,8.0,2.0,12.0,16.0,267.0,,0.0,173.0,8.0,1.0,,1.0,91.0,90.0,5.0,87.0,,1.0,10.0,1.0,3.0,133.0,1.0,4.0,143.0,775.0,7.0,4.0,,18.0,21.0,3.0,9.0,1.0,1.0,4.0,4.0,16.0,81.0,,84702,4.0,248.0,1.0,7.0,257.0,1.0,7.0,41.0,1.0,4.0,2.0,5.0,1.0,11.0,5.0,5.0,2.0,60.0,511.0,9.0,5.0,16.0,80.0,1.0,,,0.0,,4.0,,,,,1.0,0.0,3.0,,1.0,53.7,15.0,1.0,3.0,1.0,5.0,1.0,52.0,3.0,599.0,12.0,10.0,7.0,6.0,23.0,1.0,4.0,354.0,6.0,11.0,13.0,117.0,31.0,1.0,1.0,4.0,21.0,,9.0,3.0,14.0,,1.0,3.0,,,1.0,2.0,,,2.0,2.0,,,2.0,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,
10,442098,2012-11-03 17:30:00,"Boleyn Ground, London",35005,Away,Manchester City,West Ham United,0,0,D,0,0,0,0,,,1.0,,58.0,,,2.0,,19.0,30.0,8.0,6.0,3.0,201.0,6.0,11.0,,6.0,15.0,3.0,5.0,161.0,160.0,59.0,,2.0,22.0,3.0,29.0,4.0,1.0,2.0,,,,,25.0,,8.0,1.0,15.0,7.0,12.0,23.0,312.0,,0.0,202.0,12.0,1.0,,1.0,83.0,73.0,6.0,59.0,,7.0,18.0,2.0,6.0,145.0,2.0,4.0,149.0,770.0,12.0,5.0,,6.0,25.0,8.0,16.0,,0.0,1.0,9.0,18.0,66.0,1.0,93666,9.0,190.0,3.0,9.0,203.0,,9.0,67.0,,4.0,3.0,6.0,,15.0,2.0,4.0,3.0,30.0,496.0,11.0,3.0,16.0,81.0,1.0,,,0.0,,,3.0,,,,1.0,0.0,4.0,,1.0,65.0,13.0,,7.0,1.0,7.0,5.0,54.0,7.0,570.0,6.0,15.0,12.0,12.0,25.0,2.0,8.0,392.0,15.0,12.0,28.0,166.0,19.0,,2.0,6.0,9.0,,15.0,3.0,19.0,,2.0,7.0,,,,1.0,3.0,2.0,4.0,,2.0,,,1.0,,3.0,3.0,1.0,,,,,,,,,,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,
