gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,penaltySave,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attGoalLowRight,savedObox,goalAssistSetplay,goalAssistDeadball,goals,shotFastbreak,attOboxGoal,totalFastbreak,goodHighClaim,interceptionsInBox,attGoalHighCentre,goalAssist,accurateThroughBall,sixYardBlock,attRfGoal,attCmissHigh,totalThroughBall,defenderGoals,attAssistSetplay,attFastbreak,attCmissLeft,attFreekickGoal,overrun,attIboxGoal,goalAssistIntentional,shieldBallOop,totalHighClaim,accurateCornersIntobox,forwardGoals,attHdGoal,errorLeadToGoal,attemptsIbox,saves,postScoringAtt,attIboxPost,attMissHighRight,attSvHighLeft,attemptsObox,attPostLeft,attLgCentre,touchesInOppBox,hitWoodwork,successfulOpenPlayPass,openPlayPass,attCorner,attSvHighCentre,bigChanceScored,attLfGoal,accuratePullBack,accurateFreekickCross,totalPullBack,goalsOpenplay,attSvLowRight,attPostHigh,attPostRight,midfielderGoals,attSvLowLeft,attMissHighLeft,attFreekickTarget,attGoalLowLeft,attGoalLowCentre,goalAssistOpenplay,attOneOnOne,attHdTarget,attSvHighRight,cleanSheet,attCmissHighLeft,punches,attObxRight,attCmissHighRight,foulThrowIn,attLgRight,attGoalHighLeft,attGoalHighRight,attFreekickPost,attOboxPost,ownGoals,attIboxOwnGoal,attObxdLeft,penaltyWon,attPenGoal,attObxLeft,clearanceOffLine,ptsDroppedWinningPos,attPenTarget,goalFastbreak
1,442006,2012-08-18 15:00:00,"The Hawthorns, West Bromwich",26039,Away,Liverpool,West Bromwich Albion,0,3,L,0,1,1,0,1.0,1.0,1.0,51.0,3.0,45.0,29.0,6.0,4.0,2.0,169.0,3.0,6.0,3.0,9.0,2.0,2.0,138.0,134.0,38.0,2.0,16.0,4.0,14.0,1.0,1.0,1.0,2.0,1.0,22.0,12.0,1.0,12.0,3.0,27.0,27.0,241.0,0.0,155.0,12.0,3.0,2.0,47.0,90.0,5.0,76.0,3.0,19.0,2.0,10.0,1.0,117.0,2.0,1.0,10.0,140.0,711.0,9.0,2.0,9.0,20.0,2.0,20.0,1.0,4.0,6.0,4.0,19.0,77.0,2.0,9631,2.0,227.0,3.0,7.0,1.0,2.0,244.0,7.0,48.0,4.0,5.0,13.0,8.0,4.0,3.0,59.0,465.0,10.0,4.0,8.0,72.0,0.0,7.0,3.0,3.0,1.0,1.0,3.0,2.0,59.5,18.0,2.0,8.0,5.0,5.0,7.0,53.0,3.0,2.0,523.0,1.0,7.0,1.0,14.0,14.0,7.0,17.0,6.0,301.0,10.0,27.0,7.0,128.0,17.0,1.0,7.0,15.0,2.0,11.0,3.0,11.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442011,2012-08-26 16:00:00,"Anfield, Liverpool",44942,Home,Liverpool,Manchester City,2,2,D,1,0,0,0,,,,61.0,1.0,45.0,20.0,11.0,3.0,,170.0,6.0,5.0,1.0,14.0,,3.0,117.0,152.0,48.0,1.0,17.0,4.0,17.0,,1.0,2.0,1.0,6.0,18.0,14.0,1.0,15.0,4.0,20.0,34.0,196.0,0.0,154.0,10.0,,,56.0,78.0,7.0,78.0,1.0,15.0,1.0,6.0,5.0,147.0,1.0,,6.0,97.0,658.0,11.0,5.0,14.0,24.0,4.0,9.0,2.0,1.0,3.0,7.0,23.0,72.0,1.0,9631,4.0,182.0,1.0,9.0,,,202.0,11.0,63.0,,6.0,8.0,5.0,7.0,2.0,69.0,372.0,7.0,10.0,20.0,80.0,0.0,4.0,,2.0,1.0,0.0,3.0,2.0,48.7,20.0,1.0,1.0,1.0,6.0,5.0,49.0,4.0,,462.0,,12.0,,18.0,22.0,9.0,19.0,4.0,278.0,11.0,20.0,18.0,98.0,26.0,5.0,6.0,18.0,2.0,11.0,3.0,13.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442020,2012-09-02 13:30:00,"Anfield, Liverpool",44932,Home,Liverpool,Arsenal,0,2,L,0,1,0,0,,,,65.0,2.0,49.0,17.0,6.0,6.0,2.0,194.0,5.0,11.0,2.0,15.0,,4.0,149.0,145.0,53.0,2.0,19.0,2.0,14.0,2.0,3.0,,1.0,3.0,27.0,17.0,2.0,8.0,9.0,13.0,30.0,249.0,0.0,185.0,12.0,2.0,,65.0,66.0,7.0,73.0,3.0,18.0,2.0,5.0,3.0,145.0,1.0,,5.0,136.0,764.0,13.0,4.0,14.0,28.0,2.0,9.0,,2.0,2.0,8.0,19.0,70.0,,9631,5.0,234.0,1.0,13.0,,,251.0,8.0,67.0,3.0,9.0,13.0,6.0,5.0,3.0,60.0,478.0,7.0,9.0,8.0,65.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,4.0,53.0,18.0,4.0,5.0,3.0,9.0,4.0,52.0,10.0,,552.0,,7.0,1.0,17.0,18.0,11.0,43.0,7.0,328.0,9.0,11.0,10.0,144.0,23.0,1.0,4.0,25.0,2.0,15.0,2.0,26.0,1.0,10.0,2.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,2.0,,,1.0,12.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,36.0,1.0,467.0,538.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442038,2012-09-15 17:30:00,"Stadium of Light, Sunderland",41997,Away,Liverpool,Sunderland,1,1,D,0,1,0,0,,,,69.0,2.0,34.0,19.0,10.0,2.0,4.0,223.0,5.0,14.0,5.0,13.0,,6.0,164.0,144.0,77.0,1.0,23.0,2.0,10.0,4.0,1.0,1.0,3.0,5.0,26.0,18.0,1.0,11.0,6.0,34.0,20.0,258.0,0.0,155.0,12.0,,3.0,73.0,81.0,4.0,91.0,1.0,20.0,1.0,1.0,7.0,136.0,,1.0,1.0,133.0,809.0,12.0,6.0,8.0,20.0,2.0,10.0,1.0,2.0,3.0,9.0,18.0,86.0,,9631,8.0,282.0,,16.0,,,295.0,9.0,52.0,1.0,4.0,8.0,6.0,7.0,2.0,49.0,535.0,18.0,6.0,6.0,105.0,0.0,2.0,,1.0,4.0,0.0,3.0,3.0,65.9,18.0,3.0,5.0,1.0,4.0,4.0,82.0,7.0,,611.0,,6.0,,14.0,8.0,13.0,15.0,4.0,342.0,18.0,33.0,18.0,113.0,39.0,3.0,8.0,27.0,1.0,19.0,1.0,25.0,3.0,7.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,3.0,1.0,,,1.0,2.0,1.0,,,,,2.0,2.0,3.0,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442040,2012-09-23 13:30:00,"Anfield, Liverpool",44263,Home,Liverpool,Manchester United,1,2,L,0,0,1,0,,,,54.0,2.0,33.0,19.0,4.0,5.0,3.0,174.0,4.0,11.0,3.0,11.0,2.0,6.0,97.0,147.0,51.0,1.0,14.0,,8.0,2.0,,,1.0,1.0,26.0,16.0,3.0,11.0,5.0,8.0,25.0,200.0,0.0,141.0,14.0,1.0,2.0,50.0,79.0,5.0,91.0,2.0,21.0,1.0,7.0,1.0,139.0,,2.0,3.0,97.0,657.0,7.0,4.0,13.0,18.0,7.0,10.0,,1.0,1.0,6.0,29.0,64.0,,9631,6.0,193.0,,12.0,1.0,1.0,208.0,8.0,58.0,,5.0,10.0,5.0,3.0,,51.0,389.0,7.0,7.0,19.0,78.0,0.0,3.0,,2.0,,1.0,3.0,3.0,52.0,26.0,3.0,1.0,2.0,5.0,2.0,49.0,7.0,1.0,459.0,1.0,13.0,,17.0,12.0,6.0,24.0,5.0,277.0,6.0,8.0,10.0,104.0,28.0,2.0,7.0,23.0,2.0,9.0,3.0,23.0,2.0,7.0,2.0,1.0,1.0,,,1.0,,,,,,,,2.0,,,,3.0,,4.0,,,,,1.0,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442054,2012-09-29 15:00:00,"Carrow Road, Norwich",26831,Away,Liverpool,Norwich City,5,2,W,2,0,0,0,,,,65.0,4.0,45.0,30.0,6.0,4.0,,214.0,5.0,21.0,3.0,14.0,,5.0,180.0,135.0,53.0,,16.0,3.0,7.0,1.0,1.0,2.0,,1.0,14.0,8.0,,16.0,5.0,28.0,40.0,274.0,0.0,175.0,6.0,1.0,2.0,61.0,109.0,10.0,137.0,1.0,9.0,,3.0,,121.0,2.0,1.0,8.0,169.0,901.0,9.0,3.0,14.0,31.0,4.0,14.0,2.0,0.0,4.0,4.0,18.0,78.0,1.0,9631,7.0,362.0,1.0,4.0,1.0,,375.0,13.0,39.0,5.0,1.0,8.0,8.0,10.0,1.0,63.0,631.0,9.0,5.0,14.0,84.0,0.0,5.0,1.0,2.0,1.0,0.0,4.0,3.0,67.1,15.0,2.0,4.0,2.0,2.0,7.0,58.0,5.0,,700.0,,12.0,,9.0,23.0,4.0,16.0,4.0,339.0,9.0,28.0,12.0,133.0,26.0,3.0,5.0,11.0,2.0,14.0,3.0,33.0,3.0,5.0,,1.0,1.0,,,5.0,,3.0,,,,,2.0,2.0,,3.0,1.0,3.0,,3.0,,1.0,,2.0,2.0,1.0,,,1.0,3.0,,2.0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,4.0,,,,1.0,,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,442060,2012-10-07 15:00:00,"Anfield, Liverpool",44531,Home,Liverpool,Stoke City,0,0,D,0,0,0,0,,,,64.0,4.0,22.0,32.0,8.0,7.0,2.0,189.0,2.0,14.0,7.0,12.0,1.0,2.0,130.0,172.0,62.0,1.0,18.0,1.0,18.0,,,,,3.0,22.0,12.0,2.0,18.0,4.0,23.0,24.0,234.0,0.0,200.0,9.0,,5.0,50.0,81.0,4.0,85.0,2.0,18.0,1.0,4.0,5.0,158.0,,1.0,2.0,121.0,733.0,11.0,4.0,17.0,20.0,1.0,18.0,,0.0,1.0,8.0,29.0,88.0,2.0,9631,4.0,194.0,1.0,9.0,1.0,,212.0,5.0,54.0,,8.0,8.0,4.0,4.0,2.0,44.0,426.0,16.0,2.0,10.0,70.0,0.0,5.0,1.0,,1.0,0.0,2.0,,62.9,26.0,,2.0,3.0,8.0,5.0,43.0,5.0,,525.0,,15.0,1.0,9.0,9.0,11.0,32.0,3.0,335.0,11.0,23.0,19.0,137.0,32.0,1.0,12.0,13.0,,12.0,2.0,30.0,1.0,5.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,2.0,,1.0,1.0,2.0,,2.0,,,,1.0,,,,,,,3.0,3.0,,,,,,,3.0,,,,,,,,,1.0,,,,3.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,442070,2012-10-20 15:00:00,"Anfield, Liverpool",44874,Home,Liverpool,Reading,1,0,W,1,0,0,0,,,,64.0,3.0,27.0,35.0,12.0,8.0,5.0,185.0,2.0,11.0,3.0,21.0,1.0,7.0,114.0,164.0,59.0,1.0,27.0,6.0,15.0,5.0,,,2.0,3.0,11.0,17.0,1.0,18.0,4.0,15.0,23.0,222.0,0.0,184.0,13.0,1.0,1.0,79.0,53.0,13.0,79.0,2.0,7.0,1.0,,6.0,147.0,1.0,,3.0,119.0,729.0,19.0,12.0,18.0,26.0,4.0,20.0,,1.0,3.0,8.0,24.0,67.0,,9631,10.0,186.0,1.0,6.0,1.0,,208.0,10.0,56.0,3.0,6.0,13.0,7.0,6.0,5.0,49.0,406.0,6.0,6.0,14.0,82.0,0.0,5.0,1.0,,3.0,0.0,,1.0,56.8,22.0,1.0,3.0,3.0,6.0,9.0,46.0,6.0,,497.0,,15.0,,11.0,10.0,11.0,13.0,5.0,300.0,18.0,14.0,20.0,142.0,27.0,1.0,8.0,22.0,,22.0,3.0,22.0,1.0,6.0,1.0,,2.0,,,1.0,2.0,,2.0,2.0,2.0,,1.0,1.0,,1.0,2.0,2.0,,1.0,2.0,2.0,,3.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
9,442082,2012-10-28 13:30:00,"Goodison Park, Liverpool",39613,Away,Liverpool,Everton,2,2,D,2,2,0,0,1.0,1.0,,64.0,2.0,24.0,53.0,6.0,3.0,2.0,152.0,2.0,10.0,2.0,11.0,1.0,3.0,62.0,158.0,68.0,1.0,13.0,,17.0,,1.0,1.0,,3.0,17.0,19.0,2.0,30.0,4.0,11.0,26.0,119.0,0.0,103.0,19.0,1.0,2.0,41.0,41.0,3.0,50.0,3.0,13.0,1.0,3.0,4.0,135.0,2.0,2.0,11.0,50.0,534.0,8.0,10.0,13.0,33.0,7.0,32.0,1.0,3.0,3.0,8.0,12.0,59.0,1.0,9631,3.0,124.0,1.0,8.0,2.0,,139.0,14.0,63.0,3.0,4.0,8.0,5.0,5.0,1.0,46.0,241.0,16.0,8.0,19.0,77.0,0.0,9.0,2.0,2.0,4.0,0.0,2.0,1.0,43.8,9.0,,2.0,,4.0,2.0,42.0,5.0,,314.0,,11.0,,15.0,15.0,8.0,17.0,4.0,192.0,9.0,9.0,19.0,63.0,20.0,1.0,15.0,23.0,1.0,8.0,3.0,15.0,1.0,5.0,,,,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,,,1.0,,2.0,,,,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,
10,442090,2012-11-04 16:00:00,"Anfield, Liverpool",44803,Home,Liverpool,Newcastle United,1,1,D,0,1,0,1,,1.0,,62.0,3.0,29.0,13.0,11.0,4.0,4.0,209.0,1.0,14.0,7.0,16.0,1.0,6.0,133.0,172.0,71.0,2.0,23.0,6.0,7.0,4.0,2.0,,3.0,3.0,37.0,21.0,1.0,6.0,11.0,22.0,23.0,248.0,0.0,186.0,11.0,2.0,7.0,96.0,61.0,12.0,59.0,2.0,26.0,2.0,5.0,5.0,165.0,3.0,,5.0,121.0,746.0,15.0,9.0,13.0,23.0,3.0,9.0,,0.0,,4.0,28.0,84.0,2.0,9631,5.0,191.0,2.0,14.0,1.0,,201.0,10.0,52.0,1.0,6.0,9.0,6.0,9.0,1.0,44.0,438.0,14.0,9.0,6.0,84.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,2.0,65.3,26.0,1.0,4.0,3.0,6.0,9.0,57.0,14.0,,522.0,,9.0,2.0,8.0,15.0,8.0,21.0,3.0,358.0,17.0,22.0,16.0,132.0,28.0,,4.0,27.0,1.0,18.0,2.0,32.0,,14.0,,,1.0,,,1.0,2.0,,2.0,1.0,,,1.0,1.0,,1.0,,3.0,,,2.0,1.0,,5.0,1.0,1.0,,1.0,,1.0,,,,,,,2.0,,,,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
