gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,savedObox,attLfGoal,goals,attPenTarget,attFreekickTotal,accurateKeeperSweeper,attOneOnOne,penaltyWon,totalFastbreak,attSvLowLeft,freekickTotal,hitWoodwork,accurateLaunches,totalKeeperSweeper,attSetpiece,totalOffside,attIboxGoal,accurateFlickOn,forwardGoals,attSvHighLeft,contentiousDecision,attMissHighLeft,goalsOpenplay,foulThrowIn,clearanceOffLine,attHdGoal,handBall,shotFastbreak,cleanSheet,attHdTarget,attFastbreak,attCmissLeft,attSvHighCentre,attFreekickMiss,goalAssistOpenplay,goalAssist,accurateThroughBall,attRfGoal,ownGoals,attGoalHighLeft,goalAssistIntentional,attIboxOwnGoal,attGoalHighRight,attSvHighRight,attOboxGoal,midfielderGoals,secondYellow,attObxdRight,accurateFreekickCross,attGoalLowLeft,attObxRight,attemptsIbox,saves,attObxLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attFreekickTarget,attCmissHighRight,goalAssistSetplay,attGoalLowCentre,postScoringAtt,attIboxPost,attPostRight,goalAssistDeadball,defenderGoals,attLgCentre,goalFastbreak,attPostHigh,attFreekickPost,attPostLeft,attOboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,accuratePullBack,attPenGoal
1,442004,2012-08-18 15:00:00,"MATRADE Loftus Road, London",18072,Home,Queens Park Rangers,Swansea City,0,5,L,0,1,0,0,2.0,48.0,2.0,25.0,15.0,13.0,3.0,4.0,148.0,2.0,7.0,3.0,15.0,2.0,4.0,112.0,125.0,47.0,21.0,7.0,4.0,1.0,2.0,3.0,1.0,24.0,15.0,3.0,10.0,4.0,8.0,27.0,236.0,1.0,0.0,147.0,12.0,2.0,3.0,2.0,57.0,63.0,8.0,49.0,2.0,3.0,21.0,4.0,3.0,120.0,1.0,10.0,114.0,610.0,14.0,3.0,16.0,17.0,6.0,2.0,1.0,7.0,22.0,67.0,1.0,80442,3.0,134.0,2.0,14.0,1.0,141.0,2.0,6.0,38.0,2.0,2.0,5.0,15.0,3.0,1.0,3.0,37.0,368.0,15.0,3.0,1.0,6.0,58.0,1.0,1.0,0.0,2.0,3.0,1.0,5.0,0.0,1.0,2.0,1.0,49.9,20.0,1.0,1.0,2.0,5.0,9.0,40.0,5.0,2.0,423.0,14.0,8.0,16.0,8.0,25.0,2.0,5.0,306.0,17.0,8.0,6.0,108.0,24.0,1.0,5.0,19.0,3.0,19.0,3.0,18.0,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442013,2012-08-25 15:00:00,"Carrow Road, Norwich",26317,Away,Queens Park Rangers,Norwich City,1,1,D,1,1,0,0,,40.0,1.0,17.0,50.0,4.0,2.0,1.0,114.0,3.0,12.0,6.0,5.0,,3.0,71.0,171.0,65.0,8.0,1.0,23.0,1.0,1.0,,1.0,15.0,9.0,1.0,35.0,1.0,14.0,28.0,112.0,,0.0,93.0,13.0,1.0,1.0,,26.0,48.0,2.0,41.0,,1.0,14.0,5.0,2.0,155.0,1.0,10.0,64.0,503.0,4.0,11.0,10.0,21.0,27.0,2.0,2.0,3.0,30.0,64.0,2.0,80442,3.0,96.0,2.0,8.0,,110.0,,13.0,66.0,,1.0,5.0,6.0,5.0,3.0,1.0,44.0,205.0,16.0,8.0,1.0,36.0,79.0,,,0.0,3.0,6.0,1.0,1.0,0.0,3.0,,1.0,44.9,18.0,1.0,1.0,,5.0,2.0,27.0,2.0,1.0,290.0,8.0,11.0,7.0,3.0,11.0,,1.0,195.0,5.0,12.0,26.0,47.0,11.0,3.0,22.0,11.0,1.0,3.0,3.0,23.0,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,12.0,2.0,1.0,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442021,2012-09-01 17:30:00,"Etihad Stadium, Manchester",45579,Away,Queens Park Rangers,Manchester City,1,3,L,0,1,0,0,,49.0,1.0,24.0,29.0,5.0,2.0,1.0,140.0,3.0,5.0,3.0,8.0,,4.0,110.0,138.0,49.0,11.0,2.0,19.0,1.0,1.0,1.0,,18.0,17.0,2.0,16.0,2.0,17.0,22.0,185.0,1.0,0.0,113.0,3.0,1.0,2.0,2.0,48.0,53.0,4.0,63.0,4.0,1.0,16.0,6.0,1.0,125.0,,15.0,108.0,605.0,7.0,7.0,16.0,21.0,11.0,1.0,7.0,4.0,19.0,67.0,,67731,2.0,163.0,,8.0,,179.0,,4.0,48.0,,,4.0,4.0,3.0,1.0,1.0,46.0,345.0,11.0,7.0,1.0,22.0,56.0,1.0,1.0,0.0,1.0,8.0,4.0,3.0,0.0,2.0,,3.0,40.1,14.0,2.0,3.0,1.0,4.0,3.0,26.0,3.0,2.0,421.0,14.0,12.0,8.0,4.0,13.0,1.0,3.0,260.0,6.0,17.0,11.0,69.0,16.0,3.0,7.0,22.0,3.0,8.0,3.0,12.0,,3.0,3.0,2.0,1.0,1.0,,,1.0,,,3.0,,,1.0,,,,7.0,3.0,,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442035,2012-09-15 15:00:00,"MATRADE Loftus Road, London",18271,Home,Queens Park Rangers,Chelsea,0,0,D,0,0,0,0,,57.0,2.0,43.0,43.0,5.0,4.0,2.0,155.0,3.0,4.0,2.0,9.0,,3.0,107.0,170.0,69.0,12.0,2.0,11.0,3.0,3.0,2.0,2.0,19.0,30.0,,18.0,2.0,22.0,40.0,183.0,2.0,0.0,98.0,18.0,2.0,2.0,,49.0,40.0,5.0,78.0,,,17.0,6.0,3.0,145.0,1.0,6.0,111.0,669.0,9.0,8.0,13.0,25.0,21.0,0.0,4.0,4.0,16.0,58.0,1.0,67731,2.0,192.0,2.0,9.0,1.0,215.0,,10.0,55.0,,,1.0,12.0,6.0,6.0,,57.0,372.0,17.0,5.0,,17.0,81.0,,,0.0,4.0,4.0,2.0,,0.0,3.0,,1.0,52.7,11.0,,3.0,1.0,1.0,4.0,54.0,2.0,,451.0,10.0,13.0,27.0,5.0,24.0,,2.0,255.0,7.0,21.0,15.0,66.0,27.0,4.0,12.0,33.0,,10.0,3.0,13.0,,4.0,2.0,,,,2.0,,,,1.0,,1.0,,2.0,,1.0,,6.0,,1.0,3.0,,3.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442045,2012-09-23 16:00:00,"White Hart Lane, London",36052,Away,Queens Park Rangers,Tottenham Hotspur,1,2,L,1,0,0,0,,52.0,2.0,35.0,31.0,2.0,2.0,1.0,149.0,4.0,4.0,,6.0,,4.0,129.0,158.0,45.0,9.0,,16.0,2.0,,,,24.0,13.0,1.0,18.0,8.0,25.0,36.0,188.0,,0.0,149.0,12.0,5.0,,1.0,62.0,62.0,3.0,71.0,,2.0,16.0,5.0,1.0,145.0,2.0,14.0,110.0,655.0,2.0,5.0,7.0,18.0,17.0,2.0,7.0,3.0,23.0,70.0,1.0,87117,4.0,186.0,1.0,11.0,,200.0,,6.0,57.0,,1.0,3.0,7.0,7.0,5.0,,69.0,370.0,7.0,10.0,3.0,23.0,64.0,1.0,1.0,0.0,,10.0,6.0,2.0,0.0,1.0,,3.0,56.7,17.0,2.0,1.0,1.0,3.0,2.0,34.0,9.0,1.0,459.0,4.0,12.0,12.0,3.0,22.0,3.0,2.0,283.0,4.0,24.0,16.0,89.0,29.0,2.0,11.0,18.0,2.0,6.0,3.0,11.0,,2.0,9.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,2.0,1.0,,,6.0,1.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442055,2012-10-01 20:00:00,"MATRADE Loftus Road, London",17363,Home,Queens Park Rangers,West Ham United,1,2,L,0,2,1,0,,51.0,2.0,21.0,73.0,5.0,2.0,5.0,152.0,4.0,4.0,4.0,10.0,,7.0,85.0,192.0,66.0,13.0,,21.0,3.0,1.0,4.0,,21.0,18.0,3.0,41.0,4.0,24.0,29.0,134.0,1.0,0.0,114.0,10.0,2.0,3.0,1.0,36.0,42.0,7.0,43.0,5.0,,17.0,6.0,2.0,160.0,,10.0,75.0,610.0,9.0,9.0,16.0,27.0,42.0,1.0,7.0,3.0,29.0,79.0,1.0,87117,5.0,128.0,,8.0,,146.0,,11.0,57.0,,2.0,2.0,11.0,8.0,8.0,3.0,51.0,258.0,21.0,6.0,,25.0,86.0,,1.0,0.0,5.0,13.0,1.0,2.0,1.0,4.0,,1.0,50.5,25.0,1.0,,1.0,2.0,2.0,44.0,4.0,1.0,355.0,9.0,15.0,12.0,4.0,30.0,,2.0,230.0,10.0,22.0,22.0,57.0,21.0,2.0,25.0,19.0,2.0,11.0,3.0,10.0,,2.0,4.0,1.0,,,2.0,,1.0,,1.0,,,,1.0,,1.0,,4.0,,1.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442066,2012-10-06 15:00:00,"The Hawthorns, West Bromwich",23987,Away,Queens Park Rangers,West Bromwich Albion,2,3,L,1,2,0,0,,50.0,2.0,45.0,25.0,5.0,,1.0,141.0,4.0,11.0,3.0,8.0,1.0,3.0,127.0,145.0,57.0,13.0,2.0,15.0,1.0,1.0,1.0,,26.0,10.0,,12.0,4.0,28.0,27.0,247.0,2.0,0.0,145.0,14.0,1.0,1.0,1.0,68.0,68.0,5.0,64.0,,1.0,22.0,8.0,3.0,132.0,,8.0,131.0,666.0,4.0,6.0,17.0,17.0,14.0,2.0,4.0,3.0,18.0,64.0,,67731,5.0,153.0,,13.0,,171.0,,7.0,53.0,,1.0,5.0,11.0,6.0,4.0,3.0,60.0,396.0,17.0,4.0,2.0,20.0,68.0,,,0.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,,55.1,17.0,,3.0,1.0,5.0,4.0,46.0,5.0,1.0,463.0,15.0,11.0,19.0,6.0,18.0,2.0,3.0,318.0,13.0,27.0,12.0,110.0,21.0,,7.0,17.0,3.0,8.0,3.0,22.0,1.0,,5.0,,,,1.0,,2.0,,1.0,,,,,,1.0,,4.0,,1.0,4.0,1.0,3.0,,,,,2.0,,,,2.0,,,,,,,,2.0,2.0,1.0,2.0,,1.0,1.0,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,442073,2012-10-21 16:00:00,"MATRADE Loftus Road, London",17959,Home,Queens Park Rangers,Everton,1,1,D,1,1,0,1,,45.0,1.0,26.0,29.0,6.0,3.0,4.0,149.0,4.0,10.0,5.0,13.0,2.0,5.0,114.0,168.0,63.0,15.0,1.0,22.0,3.0,1.0,1.0,2.0,29.0,12.0,2.0,16.0,4.0,19.0,33.0,222.0,1.0,0.0,145.0,12.0,1.0,3.0,1.0,72.0,62.0,7.0,51.0,1.0,2.0,25.0,6.0,3.0,155.0,1.0,11.0,117.0,664.0,11.0,7.0,23.0,22.0,8.0,2.0,6.0,6.0,28.0,55.0,,80442,4.0,129.0,1.0,16.0,1.0,150.0,,9.0,56.0,,,1.0,13.0,6.0,7.0,1.0,45.0,347.0,18.0,3.0,2.0,23.0,63.0,1.0,2.0,0.0,4.0,4.0,2.0,1.0,0.0,3.0,,1.0,57.0,25.0,1.0,3.0,2.0,2.0,2.0,38.0,5.0,1.0,431.0,19.0,16.0,17.0,8.0,20.0,1.0,5.0,310.0,11.0,19.0,20.0,105.0,16.0,2.0,6.0,15.0,1.0,10.0,3.0,13.0,,2.0,5.0,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,5.0,1.0,2.0,4.0,,3.0,,,1.0,2.0,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,442079,2012-10-27 15:00:00,"Emirates Stadium, London",60103,Away,Queens Park Rangers,Arsenal,0,1,L,0,0,1,0,,52.0,1.0,19.0,32.0,2.0,1.0,2.0,123.0,,17.0,3.0,4.0,,2.0,81.0,128.0,59.0,6.0,1.0,20.0,1.0,2.0,1.0,2.0,14.0,19.0,1.0,18.0,2.0,15.0,23.0,89.0,,0.0,63.0,9.0,6.0,1.0,,15.0,44.0,2.0,47.0,4.0,,13.0,,1.0,128.0,1.0,12.0,54.0,519.0,3.0,3.0,15.0,31.0,12.0,2.0,4.0,2.0,16.0,38.0,2.0,80442,1.0,142.0,2.0,12.0,,168.0,,11.0,63.0,,1.0,3.0,7.0,10.0,3.0,,43.0,231.0,14.0,13.0,1.0,17.0,57.0,,,0.0,1.0,5.0,5.0,1.0,1.0,,1.0,,33.5,12.0,,,,3.0,2.0,28.0,2.0,,305.0,14.0,8.0,13.0,2.0,19.0,1.0,1.0,151.0,5.0,15.0,7.0,40.0,15.0,3.0,7.0,21.0,1.0,4.0,3.0,30.0,,3.0,2.0,,,,3.0,,,,1.0,,1.0,,,,1.0,,2.0,,,7.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,9.0,1.0,3.0,13.0,218.0,278.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10,442093,2012-11-04 13:30:00,"MATRADE Loftus Road, London",16797,Home,Queens Park Rangers,Reading,1,1,D,0,1,0,0,,44.0,1.0,25.0,41.0,15.0,4.0,4.0,146.0,6.0,13.0,4.0,17.0,1.0,6.0,80.0,170.0,79.0,23.0,4.0,21.0,1.0,2.0,2.0,4.0,33.0,22.0,4.0,26.0,5.0,13.0,19.0,167.0,,0.0,111.0,11.0,,1.0,1.0,37.0,57.0,9.0,37.0,,3.0,28.0,5.0,7.0,155.0,2.0,14.0,93.0,594.0,15.0,9.0,10.0,24.0,29.0,0.0,5.0,8.0,24.0,51.0,,80442,3.0,110.0,1.0,22.0,,136.0,,14.0,57.0,4.0,,4.0,11.0,5.0,5.0,4.0,42.0,271.0,15.0,10.0,1.0,24.0,73.0,,,0.0,1.0,8.0,2.0,1.0,0.0,5.0,1.0,,56.1,21.0,,,1.0,5.0,5.0,36.0,8.0,1.0,356.0,5.0,7.0,4.0,12.0,16.0,1.0,5.0,253.0,19.0,12.0,26.0,71.0,12.0,4.0,19.0,25.0,1.0,17.0,2.0,21.0,,4.0,8.0,1.0,1.0,,,,1.0,,3.0,,,,2.0,2.0,3.0,1.0,5.0,,1.0,3.0,1.0,3.0,1.0,,,1.0,1.0,,,,,1.0,,,1.0,2.0,,2.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
