gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,attLfTarget,attGoalLowRight,savedObox,goals,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attIboxPost,attOboxGoal,divingSave,midfielderGoals,attPostLeft,hitWoodwork,goalAssist,accurateThroughBall,attRfGoal,goalsOpenplay,attSvLowRight,accurateCrossNocorner,errorLeadToGoal,handBall,bigChanceScored,attGoalLowCentre,shotFastbreak,attBxRight,totalFastbreak,bigChanceCreated,bigChanceMissed,attSetpiece,totalPullBack,defenderGoals,attCmissHighLeft,attFastbreak,attIboxGoal,goalAssistIntentional,attHdGoal,attLfGoal,accurateKeeperSweeper,cleanSheet,attHdTarget,totalKeeperSweeper,sixYardBlock,attMissHigh,attSvHighCentre,forwardGoals,attGoalLowLeft,attCmissRight,penaltyConceded,attCmissHigh,attCmissLeft,penaltyFaced,penGoalsConceded,attSvHighLeft,attObxdRight,accurateFreekickCross,punches,attCmissHighRight,secondYellow,attGoalHighCentre,goalFastbreak,ownGoals,foulThrowIn,attIboxOwnGoal,attSvHighRight,attemptsIbox,saves,attemptsObox,attCorner,goalAssistSetplay,goalAssistDeadball,accuratePullBack,attGoalHighRight,penaltySave,attPostHigh,penaltyWon,attPenGoal,attOneOnOne,attHdPost,attOboxPost,attFreekickGoal,attGoalHighLeft,attPostRight,attFreekickTarget,ptsDroppedWinningPos
1,442007,2012-08-18 15:00:00,"Boleyn Ground, London",34172,Away,Aston Villa,West Ham United,0,1,L,0,1,0,0,46.0,1.0,30.0,37.0,8.0,3.0,2.0,209.0,2.0,5.0,2.0,12.0,2.0,144.0,172.0,75.0,1.0,13.0,5.0,18.0,1.0,1.0,13.0,20.0,1.0,16.0,3.0,16.0,24.0,188.0,2.0,0.0,120.0,9.0,2.0,2.0,3.0,37.0,72.0,7.0,93.0,1.0,1.0,10.0,1.0,2.0,3.0,151.0,1.0,5.0,120.0,759.0,1.0,8.0,10.0,9.0,7.0,436.0,18.0,1.0,5.0,15.0,1.0,3.0,5.0,27.0,538.0,70.0,2.0,80979,2.0,272.0,6.0,293.0,9.0,48.0,4.0,2.0,8.0,6.0,3.0,6.0,60.0,458.0,17.0,3.0,4.0,27.0,94.0,0.0,1.0,6.0,1.0,1.0,3.0,0.0,1.0,2.0,65.8,22.0,2.0,1.0,2.0,8.0,6.0,1.0,50.0,4.0,3.0,566.0,4.0,1.0,14.0,7.0,5.0,20.0,2.0,2.0,286.0,8.0,16.0,29.0,64.0,16.0,2.0,9.0,24.0,1.0,8.0,3.0,9.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442009,2012-08-25 15:00:00,"Villa Park, Birmingham",36565,Home,Aston Villa,Everton,1,3,L,0,3,1,0,40.0,2.0,23.0,22.0,3.0,6.0,,126.0,1.0,9.0,2.0,6.0,3.0,79.0,144.0,54.0,,9.0,,19.0,1.0,2.0,14.0,13.0,1.0,8.0,1.0,3.0,27.0,130.0,,0.0,90.0,12.0,,5.0,,59.0,40.0,2.0,36.0,2.0,1.0,13.0,,2.0,1.0,130.0,,13.0,80.0,496.0,,5.0,10.0,,22.0,,17.0,,3.0,9.0,1.0,7.0,4.0,21.0,,76.0,,80979,4.0,104.0,6.0,119.0,11.0,49.0,1.0,2.0,3.0,4.0,8.0,8.0,50.0,233.0,9.0,4.0,,13.0,73.0,0.0,2.0,9.0,2.0,3.0,2.0,1.0,,1.0,39.2,18.0,1.0,1.0,1.0,4.0,2.0,1.0,32.0,1.0,,321.0,12.0,,14.0,11.0,4.0,21.0,,2.0,216.0,2.0,3.0,18.0,45.0,15.0,5.0,5.0,18.0,2.0,9.0,3.0,9.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442022,2012-09-02 16:00:00,"St. James' Park, Newcastle",48245,Away,Aston Villa,Newcastle United,1,1,D,1,0,0,0,38.0,2.0,20.0,25.0,3.0,4.0,1.0,132.0,7.0,6.0,1.0,11.0,5.0,78.0,143.0,59.0,,13.0,2.0,14.0,3.0,,20.0,19.0,1.0,12.0,6.0,5.0,24.0,171.0,3.0,0.0,123.0,21.0,1.0,,8.0,36.0,55.0,7.0,55.0,2.0,,14.0,,8.0,,130.0,,9.0,99.0,566.0,,8.0,17.0,,16.0,,9.0,1.0,7.0,13.0,4.0,3.0,4.0,19.0,,72.0,1.0,80979,5.0,121.0,6.0,136.0,14.0,51.0,1.0,,8.0,18.0,8.0,10.0,39.0,285.0,6.0,6.0,2.0,13.0,84.0,0.0,1.0,10.0,2.0,1.0,8.0,0.0,,3.0,48.3,16.0,2.0,2.0,1.0,9.0,4.0,,48.0,6.0,8.0,364.0,10.0,,10.0,9.0,4.0,15.0,4.0,4.0,248.0,6.0,5.0,18.0,77.0,14.0,4.0,6.0,29.0,,12.0,2.0,7.0,4.0,6.0,1.0,3.0,,1.0,1.0,,1.0,2.0,,,2.0,,,,1.0,,,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442030,2012-09-15 15:00:00,"Villa Park, Birmingham",34005,Home,Aston Villa,Swansea City,2,0,W,1,0,0,0,59.0,4.0,13.0,24.0,4.0,4.0,4.0,131.0,7.0,10.0,1.0,12.0,8.0,62.0,178.0,53.0,,16.0,1.0,28.0,5.0,1.0,28.0,9.0,1.0,11.0,10.0,11.0,19.0,171.0,,0.0,163.0,13.0,,,3.0,61.0,64.0,9.0,65.0,1.0,1.0,18.0,,7.0,1.0,165.0,,6.0,69.0,552.0,,9.0,12.0,,14.0,,19.0,,4.0,7.0,3.0,3.0,3.0,32.0,,84.0,,80979,6.0,64.0,11.0,74.0,10.0,62.0,1.0,2.0,5.0,10.0,4.0,6.0,42.0,228.0,4.0,3.0,3.0,30.0,68.0,0.0,,4.0,2.0,,4.0,0.0,3.0,2.0,42.1,22.0,1.0,6.0,3.0,5.0,5.0,,30.0,10.0,3.0,327.0,11.0,,16.0,5.0,3.0,27.0,4.0,2.0,281.0,9.0,11.0,21.0,93.0,22.0,2.0,3.0,18.0,,10.0,3.0,13.0,2.0,10.0,,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,4.0,3.0,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442043,2012-09-22 15:00:00,"St. Mary's Stadium, Southampton",30713,Away,Aston Villa,Southampton,1,4,L,1,0,0,0,50.0,2.0,30.0,36.0,3.0,2.0,,147.0,6.0,3.0,1.0,7.0,2.0,63.0,173.0,48.0,1.0,11.0,,26.0,1.0,1.0,17.0,13.0,,24.0,4.0,11.0,34.0,126.0,,0.0,106.0,15.0,1.0,1.0,3.0,46.0,39.0,3.0,47.0,2.0,4.0,13.0,1.0,7.0,3.0,161.0,,9.0,57.0,525.0,,4.0,13.0,,24.0,,15.0,1.0,13.0,15.0,3.0,,4.0,25.0,,78.0,,80979,4.0,89.0,5.0,107.0,13.0,75.0,2.0,3.0,3.0,3.0,7.0,8.0,62.0,209.0,6.0,10.0,2.0,28.0,92.0,0.0,1.0,1.0,3.0,4.0,2.0,0.0,,3.0,39.6,17.0,3.0,2.0,3.0,3.0,2.0,,42.0,4.0,3.0,314.0,16.0,1.0,21.0,15.0,7.0,21.0,3.0,4.0,224.0,5.0,10.0,19.0,46.0,21.0,2.0,11.0,20.0,4.0,8.0,3.0,7.0,2.0,4.0,,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,3.0,,1.0,1.0,,,,,2.0,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442050,2012-09-30 16:00:00,"Villa Park, Birmingham",34489,Home,Aston Villa,West Bromwich Albion,1,1,D,0,0,0,0,38.0,4.0,29.0,16.0,7.0,8.0,,151.0,10.0,6.0,5.0,17.0,3.0,109.0,157.0,48.0,1.0,21.0,4.0,24.0,1.0,4.0,38.0,17.0,1.0,9.0,11.0,25.0,31.0,181.0,3.0,0.0,128.0,8.0,,3.0,,51.0,64.0,9.0,62.0,,,27.0,1.0,10.0,3.0,150.0,,6.0,100.0,634.0,,12.0,6.0,,9.0,,15.0,1.0,8.0,5.0,1.0,5.0,8.0,30.0,,77.0,,80979,7.0,171.0,14.0,183.0,12.0,62.0,,3.0,3.0,9.0,8.0,9.0,46.0,342.0,10.0,4.0,5.0,19.0,70.0,0.0,,4.0,1.0,1.0,3.0,0.0,1.0,4.0,57.4,29.0,4.0,2.0,2.0,3.0,8.0,,39.0,11.0,,422.0,6.0,1.0,23.0,15.0,10.0,23.0,5.0,7.0,277.0,8.0,24.0,13.0,80.0,15.0,2.0,3.0,19.0,1.0,12.0,3.0,9.0,2.0,11.0,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,5.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,3.0,,,,1.0,1.0,,,1.0,2.0,,,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,2.0,,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442065,2012-10-07 15:00:00,"White Hart Lane, London",35802,Away,Aston Villa,Tottenham Hotspur,0,2,L,0,0,0,0,41.0,,25.0,27.0,5.0,4.0,1.0,132.0,2.0,2.0,1.0,7.0,3.0,83.0,146.0,46.0,,8.0,2.0,14.0,2.0,,8.0,14.0,1.0,15.0,,28.0,34.0,131.0,,0.0,107.0,10.0,,1.0,1.0,71.0,31.0,4.0,66.0,2.0,2.0,8.0,,3.0,2.0,134.0,,7.0,79.0,550.0,,7.0,8.0,,16.0,,19.0,1.0,6.0,12.0,3.0,5.0,3.0,24.0,,63.0,1.0,80979,3.0,144.0,4.0,163.0,22.0,55.0,1.0,3.0,4.0,10.0,15.0,15.0,56.0,273.0,10.0,12.0,,20.0,80.0,0.0,,8.0,1.0,2.0,3.0,0.0,1.0,2.0,44.1,22.0,1.0,1.0,,4.0,2.0,,42.0,,1.0,360.0,8.0,,15.0,15.0,3.0,15.0,,1.0,205.0,2.0,25.0,17.0,64.0,13.0,9.0,6.0,17.0,2.0,6.0,3.0,6.0,9.0,,,1.0,,3.0,,,,1.0,,,3.0,,,,,1.0,,,1.0,2.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,2.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,442069,2012-10-20 15:00:00,"Craven Cottage, London",25693,Away,Aston Villa,Fulham,0,1,L,0,0,0,0,54.0,1.0,29.0,40.0,5.0,2.0,,150.0,8.0,5.0,,12.0,1.0,118.0,171.0,44.0,,12.0,3.0,27.0,1.0,2.0,20.0,15.0,,18.0,4.0,15.0,23.0,175.0,,0.0,148.0,12.0,1.0,,3.0,76.0,49.0,5.0,79.0,2.0,4.0,16.0,,3.0,2.0,149.0,,15.0,104.0,652.0,,12.0,12.0,,18.0,,27.0,,10.0,16.0,2.0,4.0,7.0,29.0,,94.0,4.0,80979,5.0,181.0,13.0,198.0,12.0,51.0,1.0,2.0,3.0,10.0,4.0,5.0,68.0,348.0,7.0,5.0,,45.0,89.0,0.0,2.0,6.0,4.0,1.0,6.0,0.0,,3.0,49.3,24.0,2.0,4.0,,3.0,4.0,,35.0,4.0,3.0,451.0,15.0,,7.0,9.0,7.0,16.0,,5.0,273.0,7.0,13.0,14.0,79.0,17.0,10.0,8.0,18.0,1.0,12.0,3.0,6.0,10.0,4.0,,,,,,,,,,,1.0,,,,,,,,,8.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,442080,2012-10-27 12:45:00,"Villa Park, Birmingham",33184,Home,Aston Villa,Norwich City,1,1,D,1,0,1,0,53.0,1.0,26.0,45.0,2.0,1.0,1.0,138.0,3.0,3.0,1.0,6.0,4.0,76.0,176.0,52.0,,7.0,,21.0,2.0,,11.0,12.0,1.0,22.0,3.0,20.0,33.0,103.0,1.0,0.0,98.0,12.0,3.0,1.0,3.0,57.0,42.0,4.0,41.0,,1.0,8.0,,3.0,1.0,153.0,,9.0,75.0,524.0,,3.0,9.0,,14.0,,20.0,,8.0,19.0,1.0,7.0,2.0,22.0,,73.0,2.0,80979,4.0,124.0,4.0,144.0,13.0,57.0,,2.0,2.0,14.0,8.0,7.0,62.0,224.0,6.0,11.0,2.0,27.0,84.0,0.0,1.0,8.0,3.0,1.0,1.0,1.0,,3.0,41.5,19.0,1.0,1.0,,2.0,1.0,,36.0,3.0,3.0,330.0,10.0,,8.0,13.0,2.0,19.0,1.0,1.0,197.0,3.0,15.0,27.0,39.0,19.0,3.0,8.0,16.0,1.0,5.0,3.0,8.0,3.0,3.0,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,2.0,,,1.0,,,1.0,,1.0,,1.0,2.0,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,442094,2012-11-03 15:00:00,"Stadium of Light, Sunderland",41515,Away,Aston Villa,Sunderland,1,0,W,0,0,0,0,51.0,1.0,25.0,60.0,4.0,3.0,,118.0,9.0,2.0,,7.0,3.0,91.0,158.0,54.0,,9.0,1.0,15.0,1.0,2.0,17.0,13.0,1.0,27.0,7.0,31.0,34.0,176.0,,0.0,122.0,17.0,1.0,,4.0,41.0,58.0,4.0,57.0,2.0,,10.0,,3.0,2.0,125.0,,9.0,70.0,551.0,,3.0,6.0,,16.0,,21.0,,11.0,26.0,3.0,2.0,3.0,20.0,,67.0,,80979,4.0,95.0,7.0,105.0,11.0,57.0,,2.0,3.0,6.0,3.0,4.0,51.0,262.0,9.0,5.0,3.0,24.0,72.0,0.0,2.0,6.0,,,3.0,0.0,,2.0,44.4,15.0,2.0,1.0,,4.0,2.0,,40.0,7.0,4.0,336.0,9.0,,13.0,16.0,4.0,22.0,7.0,2.0,248.0,4.0,29.0,23.0,77.0,19.0,9.0,16.0,20.0,,5.0,3.0,9.0,9.0,7.0,,2.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,2.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
