gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,attLfTarget,attCmissRight,attOboxTarget,attSvHighRight,divingSave,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,attSetpiece,totalThroughBall,attSvLowRight,attCmissLeft,punches,attFreekickTarget,foulThrowIn,possWonAtt3rd,attBxLeft,goalsConcededObox,attRfTarget,goalAssistOpenplay,attSvLowCentre,attOboxGoal,midfielderGoals,interceptionsInBox,goalAssist,accurateThroughBall,penaltyConceded,goalsOpenplay,attGoalHighLeft,attFreekickGoal,goalAssistIntentional,penaltyFaced,penGoalsConceded,attHdGoal,attGoalLowLeft,attLfGoal,bigChanceCreated,attCmissHighRight,clearanceOffLine,attSvHighLeft,postScoringAtt,hitWoodwork,attOboxPost,shieldBallOop,attPostRight,attGoalLowCentre,totalFastbreak,shotFastbreak,attOneOnOne,attSvLowLeft,bigChanceMissed,attObxdLeft,attFastbreak,attGoalHighRight,accuratePullBack,accurateKeeperSweeper,attIboxPost,attHdPost,sixYardBlock,totalPullBack,defenderGoals,attPostHigh,cleanSheet,goalAssistSetplay,goalAssistDeadball,attemptsIbox,saves,attemptsObox,subsGoals,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attFreekickPost,attGoalHighCentre,attObpGoal,attObxLeft,attLgCentre,attCmissHighLeft,goalFastbreak
1,442005,2012-08-18 15:00:00,"Select Car Leasing Stadium, Reading",23973,Home,Reading,Stoke City,1,1,D,0,1,0,1,1.0,37.0,1.0,1.0,1.0,30.0,57.0,2.0,2.0,125.0,7.0,3.0,1.0,9.0,7.0,2.0,76.0,186.0,55.0,2.0,10.0,1.0,46.0,1.0,2.0,1.0,25.0,10.0,29.0,4.0,9.0,32.0,133.0,1.0,1.0,0.0,118.0,11.0,5.0,2.0,60.0,49.0,2.0,28.0,3.0,21.0,2.0,9.0,1.0,158.0,7.0,70.0,520.0,5.0,10.0,1.0,6.0,13.0,4.0,35.0,2.0,4.0,5.0,35.0,74.0,1.0,58376,5.0,77.0,7.0,88.0,1.0,9.0,77.0,1.0,1.0,1.0,12.0,4.0,3.0,1.0,1.0,61.0,203.0,17.0,3.0,2.0,35.0,84.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,4.0,5.0,52.6,29.0,4.0,1.0,1.0,2.0,29.0,4.0,2.0,299.0,6.0,1.0,9.0,12.0,6.0,31.0,3.0,5.0,236.0,3.0,8.0,22.0,66.0,14.0,1.0,4.0,20.0,13.0,1.0,4.0,2.0,11.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442016,2012-12-11 19:45:00,"Stadium of Light, Sunderland",37723,Away,Reading,Sunderland,0,3,L,0,2,0,0,,46.0,,3.0,2.0,28.0,26.0,5.0,5.0,186.0,9.0,7.0,,4.0,10.0,3.0,65.0,205.0,55.0,1.0,15.0,3.0,35.0,2.0,2.0,1.0,31.0,11.0,11.0,7.0,3.0,44.0,157.0,,,0.0,135.0,12.0,4.0,3.0,81.0,63.0,4.0,62.0,3.0,24.0,1.0,7.0,1.0,190.0,10.0,73.0,589.0,7.0,8.0,2.0,8.0,18.0,10.0,16.0,1.0,3.0,6.0,29.0,87.0,,87170,6.0,115.0,13.0,138.0,,7.0,72.0,,2.0,2.0,11.0,6.0,1.0,2.0,,56.0,263.0,8.0,5.0,3.0,34.0,100.0,0.0,1.0,6.0,2.0,,3.0,,0.0,7.0,4.0,50.7,26.0,2.0,,2.0,5.0,45.0,8.0,3.0,386.0,6.0,,17.0,18.0,7.0,25.0,2.0,6.0,279.0,5.0,3.0,21.0,70.0,19.0,,,5.0,19.0,3.0,9.0,1.0,11.0,,,8.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442019,2012-08-22 19:45:00,"Stamford Bridge, London",41733,Away,Reading,Chelsea,2,4,L,2,1,0,0,,57.0,,1.0,,18.0,38.0,4.0,3.0,111.0,3.0,3.0,2.0,4.0,4.0,4.0,37.0,150.0,37.0,1.0,7.0,1.0,28.0,1.0,,1.0,20.0,8.0,22.0,5.0,7.0,20.0,91.0,,,0.0,98.0,14.0,2.0,1.0,28.0,60.0,3.0,42.0,1.0,15.0,1.0,2.0,1.0,134.0,16.0,44.0,419.0,3.0,11.0,,20.0,24.0,3.0,17.0,2.0,6.0,1.0,21.0,58.0,,58376,1.0,70.0,11.0,81.0,1.0,15.0,66.0,,,1.0,13.0,11.0,5.0,,,38.0,158.0,12.0,12.0,,16.0,67.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,2.0,1.0,28.4,17.0,,,1.0,1.0,26.0,5.0,1.0,234.0,17.0,,9.0,8.0,2.0,11.0,1.0,1.0,173.0,3.0,5.0,12.0,55.0,22.0,1.0,3.0,10.0,10.0,3.0,6.0,3.0,7.0,1.0,3.0,5.0,1.0,1.0,,1.0,,2.0,1.0,,,,,1.0,,1.0,,,,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442036,2012-09-16 16:00:00,"Select Car Leasing Stadium, Reading",24160,Home,Reading,Tottenham Hotspur,1,3,L,0,1,0,0,1.0,44.0,,2.0,1.0,22.0,20.0,2.0,4.0,126.0,4.0,3.0,1.0,6.0,3.0,2.0,71.0,180.0,47.0,,6.0,1.0,20.0,1.0,,,36.0,13.0,10.0,7.0,9.0,28.0,133.0,2.0,,0.0,123.0,5.0,4.0,,42.0,57.0,3.0,40.0,,29.0,,6.0,1.0,169.0,13.0,77.0,527.0,2.0,9.0,,13.0,16.0,8.0,10.0,0.0,4.0,,28.0,71.0,1.0,58376,1.0,104.0,19.0,123.0,,16.0,54.0,,1.0,3.0,14.0,10.0,2.0,,,43.0,233.0,10.0,8.0,,21.0,82.0,0.0,2.0,4.0,3.0,1.0,3.0,4.0,0.0,4.0,,42.3,25.0,,,4.0,2.0,35.0,7.0,,314.0,5.0,,7.0,11.0,2.0,23.0,,1.0,227.0,2.0,9.0,16.0,75.0,18.0,,1.0,5.0,18.0,3.0,6.0,3.0,17.0,,2.0,7.0,,1.0,,,,3.0,1.0,,,1.0,,1.0,,,,,,3.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442046,2012-09-22 15:00:00,"The Hawthorns, West Bromwich",23854,Away,Reading,West Bromwich Albion,0,1,L,0,0,0,0,,49.0,,3.0,2.0,41.0,33.0,5.0,3.0,152.0,9.0,5.0,,7.0,7.0,1.0,77.0,170.0,53.0,2.0,10.0,1.0,22.0,1.0,1.0,,33.0,10.0,18.0,,18.0,16.0,172.0,1.0,,0.0,139.0,7.0,5.0,2.0,73.0,78.0,4.0,55.0,3.0,33.0,2.0,13.0,4.0,155.0,6.0,98.0,599.0,6.0,13.0,,14.0,16.0,18.0,20.0,0.0,1.0,3.0,31.0,91.0,,58376,2.0,123.0,15.0,137.0,,7.0,45.0,1.0,1.0,10.0,13.0,5.0,4.0,1.0,,79.0,286.0,14.0,5.0,1.0,52.0,87.0,0.0,3.0,9.0,,,1.0,6.0,0.0,9.0,2.0,47.1,27.0,2.0,,10.0,3.0,43.0,1.0,2.0,382.0,12.0,2.0,10.0,7.0,6.0,29.0,,2.0,278.0,4.0,18.0,20.0,78.0,15.0,,2.0,10.0,14.0,1.0,7.0,2.0,6.0,,2.0,1.0,,,1.0,,,2.0,,1.0,1.0,3.0,1.0,1.0,,,2.0,,,1.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442056,2012-09-29 15:00:00,"Select Car Leasing Stadium, Reading",24097,Home,Reading,Newcastle United,2,2,D,0,0,0,0,,56.0,1.0,,2.0,18.0,30.0,4.0,3.0,170.0,12.0,6.0,2.0,4.0,10.0,5.0,64.0,206.0,65.0,,16.0,,41.0,3.0,,2.0,38.0,15.0,19.0,6.0,2.0,45.0,174.0,1.0,,0.0,154.0,8.0,4.0,3.0,70.0,93.0,7.0,47.0,1.0,32.0,,8.0,3.0,195.0,3.0,67.0,579.0,6.0,17.0,2.0,15.0,13.0,13.0,20.0,0.0,3.0,3.0,31.0,96.0,,83306,8.0,68.0,20.0,84.0,1.0,8.0,82.0,,3.0,3.0,13.0,6.0,2.0,3.0,,53.0,230.0,9.0,11.0,2.0,38.0,92.0,0.0,1.0,3.0,,2.0,2.0,4.0,0.0,11.0,5.0,47.4,25.0,2.0,,3.0,2.0,34.0,6.0,3.0,348.0,9.0,,12.0,18.0,9.0,20.0,1.0,5.0,302.0,8.0,2.0,29.0,86.0,27.0,1.0,3.0,14.0,21.0,2.0,14.0,3.0,16.0,,3.0,6.0,,,,,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,7.0,3.0,,1.0,2.0,1.0,,1.0,,2.0,,,2.0,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442064,2012-10-06 15:00:00,"Swansea.com Stadium, Swansea",20336,Away,Reading,Swansea City,2,2,D,2,0,0,0,,50.0,,1.0,,16.0,43.0,3.0,2.0,131.0,2.0,2.0,2.0,3.0,5.0,5.0,26.0,168.0,57.0,,9.0,2.0,27.0,2.0,1.0,1.0,16.0,14.0,21.0,3.0,1.0,24.0,92.0,,,0.0,94.0,11.0,1.0,1.0,53.0,51.0,3.0,30.0,,13.0,,5.0,,146.0,20.0,37.0,440.0,3.0,20.0,2.0,20.0,16.0,6.0,22.0,3.0,6.0,2.0,25.0,67.0,,58376,4.0,41.0,7.0,54.0,1.0,12.0,58.0,,5.0,1.0,9.0,6.0,7.0,1.0,,44.0,131.0,9.0,5.0,1.0,27.0,85.0,0.0,,11.0,7.0,2.0,2.0,3.0,0.0,1.0,3.0,28.5,21.0,1.0,2.0,1.0,2.0,40.0,3.0,1.0,224.0,15.0,,7.0,10.0,2.0,20.0,1.0,2.0,186.0,4.0,1.0,27.0,43.0,21.0,2.0,3.0,9.0,19.0,2.0,8.0,3.0,11.0,,3.0,3.0,1.0,,,1.0,1.0,6.0,,,,,,,,1.0,,,,3.0,1.0,,1.0,1.0,,,,2.0,1.0,,,2.0,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,442070,2012-10-20 15:00:00,"Anfield, Liverpool",44874,Away,Reading,Liverpool,0,1,L,0,1,0,0,,53.0,,1.0,,20.0,22.0,6.0,2.0,164.0,3.0,6.0,,5.0,6.0,3.0,82.0,186.0,56.0,2.0,10.0,3.0,20.0,1.0,,1.0,16.0,14.0,15.0,5.0,16.0,40.0,147.0,1.0,,0.0,142.0,6.0,2.0,,65.0,49.0,3.0,54.0,,11.0,2.0,2.0,2.0,179.0,14.0,66.0,584.0,5.0,12.0,,21.0,26.0,7.0,10.0,1.0,8.0,3.0,31.0,80.0,1.0,58376,1.0,103.0,7.0,125.0,,14.0,59.0,1.0,3.0,2.0,9.0,13.0,3.0,1.0,,49.0,247.0,13.0,11.0,1.0,32.0,92.0,0.0,1.0,6.0,5.0,,1.0,1.0,0.0,2.0,1.0,43.2,30.0,1.0,,2.0,3.0,40.0,5.0,,366.0,16.0,1.0,12.0,15.0,4.0,13.0,1.0,2.0,257.0,7.0,12.0,15.0,74.0,10.0,,1.0,6.0,22.0,1.0,6.0,3.0,16.0,,1.0,5.0,,1.0,,2.0,,2.0,,1.0,,,,3.0,1.0,1.0,1.0,1.0,,5.0,2.0,,2.0,,1.0,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,442085,2012-10-27 15:00:00,"Select Car Leasing Stadium, Reading",24093,Home,Reading,Fulham,3,3,D,1,0,0,0,2.0,51.0,1.0,,,14.0,30.0,5.0,6.0,127.0,7.0,2.0,3.0,6.0,11.0,8.0,58.0,156.0,40.0,1.0,15.0,1.0,28.0,4.0,1.0,3.0,34.0,6.0,22.0,6.0,5.0,25.0,137.0,,,0.0,112.0,6.0,5.0,1.0,52.0,66.0,6.0,39.0,3.0,28.0,1.0,11.0,2.0,148.0,11.0,64.0,480.0,7.0,13.0,,17.0,17.0,5.0,19.0,1.0,5.0,5.0,11.0,68.0,,58376,4.0,68.0,12.0,73.0,1.0,9.0,53.0,,1.0,3.0,7.0,8.0,5.0,,,39.0,198.0,16.0,4.0,2.0,34.0,85.0,0.0,2.0,8.0,3.0,2.0,3.0,2.0,0.0,6.0,4.0,34.1,9.0,4.0,,3.0,1.0,38.0,6.0,1.0,288.0,14.0,1.0,8.0,10.0,6.0,23.0,1.0,4.0,249.0,5.0,5.0,11.0,61.0,23.0,,4.0,14.0,11.0,2.0,9.0,3.0,9.0,,4.0,6.0,,3.0,1.0,1.0,,,,,,3.0,4.0,,,1.0,2.0,,,2.0,,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,,,2.0,,,1.0,,,,1.0,2.0,2.0,,,,,,,,,,1.0,1.0,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,442093,2012-11-04 13:30:00,"MATRADE Loftus Road, London",16797,Away,Reading,Queens Park Rangers,1,1,D,1,0,0,0,,57.0,1.0,4.0,5.0,17.0,44.0,5.0,5.0,139.0,6.0,10.0,1.0,4.0,15.0,3.0,48.0,183.0,57.0,1.0,19.0,,26.0,2.0,3.0,2.0,27.0,13.0,29.0,7.0,19.0,17.0,134.0,3.0,,0.0,137.0,17.0,3.0,2.0,103.0,31.0,7.0,43.0,2.0,20.0,1.0,5.0,5.0,165.0,8.0,49.0,533.0,11.0,21.0,2.0,16.0,21.0,7.0,27.0,2.0,5.0,8.0,32.0,78.0,,58376,9.0,58.0,12.0,72.0,,12.0,79.0,1.0,4.0,1.0,8.0,15.0,4.0,2.0,,45.0,186.0,11.0,13.0,4.0,35.0,82.0,0.0,1.0,8.0,1.0,1.0,1.0,7.0,0.0,2.0,7.0,43.9,27.0,4.0,,1.0,5.0,32.0,8.0,2.0,279.0,13.0,1.0,5.0,5.0,11.0,19.0,4.0,5.0,234.0,7.0,18.0,21.0,81.0,22.0,,4.0,18.0,15.0,1.0,10.0,3.0,30.0,1.0,7.0,8.0,1.0,,,,,3.0,,1.0,2.0,2.0,2.0,1.0,1.0,,2.0,,,4.0,1.0,,,,1.0,,,2.0,,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
