gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,handBall,bigChanceScored,attGoalLowLeft,attGoalLowRight,attemptsIbox,saves,attLfGoal,attGoalLowCentre,goals,accuratePullBack,attCmissRight,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attIboxPost,attGoalHighRight,attMissHighRight,attOboxGoal,ptsGainedLosingPos,winningGoal,midfielderGoals,freekickCross,attemptsObox,attGoalHighCentre,keeperGoals,subsGoals,attPostLeft,touchesInOppBox,hitWoodwork,successfulOpenPlayPass,goalAssist,totalKeeperSweeper,openPlayPass,attSetpiece,attRfGoal,attCmissHigh,ownGoals,defenderGoals,goalsOpenplay,attMissHigh,attPenGoal,attAssistSetplay,attCorner,attGoalHighLeft,attObpGoal,attFreekickGoal,attIboxGoal,attCmissHighRight,goalAssistIntentional,possWonAtt3rd,attSvHighCentre,forwardGoals,attIboxOwnGoal,attHdGoal,goalAssistSetplay,goalAssistDeadball,attPenTarget,penaltyWon,goodHighClaim,attHdPost,attHdTarget,errorLeadToShot,attCmissLeft,totalHighClaim,attFreekickMiss,accurateCornersIntobox,errorLeadToGoal,cleanSheet,accurateFreekickCross,sixYardBlock,attSvLowRight,attFreekickPost,contentiousDecision,attOboxPost,attPostHigh,shieldBallOop,attObxLeft,attSvHighLeft,attPostRight,attOneOnOne,attPenMiss,attLgRight,attSvHighRight,foulThrowIn,clearanceOffLine,attObxRight,attLgCentre,goalFastbreak,ptsDroppedWinningPos
1,442000,2012-08-20 20:00:00,"Goodison Park, Liverpool",38415,Away,Manchester United,Everton,0,1,L,0,0,0,0,1.0,51.0,2.0,3.0,44.0,33.0,6.0,4.0,3.0,164.0,6.0,7.0,1.0,9.0,4.0,189.0,149.0,53.0,1.0,14.0,1.0,28.0,2.0,1.0,3.0,3.0,34.0,13.0,2.0,20.0,7.0,33.0,16.0,346.0,0.0,210.0,11.0,3.0,1.0,1.0,105.0,83.0,4.0,80.0,2.0,1.0,27.0,1.0,10.0,3.0,136.0,2.0,13.0,213.0,850.0,9.0,9.0,8.0,26.0,2.0,9.0,22.0,2.0,2.0,5.0,23.0,71.0,2.0,89428,7.0,231.0,2.0,17.0,250.0,1.0,9.0,65.0,5.0,1.0,1.0,1.0,6.0,5.0,6.0,57.0,571.0,13.0,7.0,21.0,71.0,1.0,2.0,0.0,1.0,1.0,6.0,4.0,1.0,3.0,0.0,6.0,2.0,69.2,21.0,2.0,1.0,2.0,4.0,49.0,8.0,646.0,7.0,14.0,9.0,6.0,17.0,3.0,430.0,8.0,32.0,18.0,174.0,20.0,3.0,11.0,15.0,1.0,11.0,3.0,12.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442012,2012-08-25 15:00:00,"Old Trafford, Manchester",75352,Home,Manchester United,Fulham,3,2,W,3,1,0,0,1.0,44.0,1.0,1.0,42.0,20.0,9.0,5.0,3.0,159.0,5.0,8.0,3.0,15.0,7.0,204.0,106.0,45.0,1.0,20.0,3.0,5.0,1.0,2.0,3.0,1.0,37.0,22.0,3.0,9.0,4.0,25.0,19.0,347.0,0.0,230.0,12.0,1.0,2.0,,88.0,123.0,7.0,94.0,1.0,2.0,33.0,1.0,8.0,3.0,106.0,1.0,9.0,163.0,811.0,11.0,4.0,8.0,19.0,1.0,1.0,8.0,0.0,7.0,8.0,20.0,57.0,1.0,83090,6.0,234.0,1.0,24.0,238.0,1.0,6.0,52.0,3.0,1.0,,,5.0,8.0,5.0,49.0,576.0,7.0,12.0,4.0,62.0,2.0,1.0,0.0,,,8.0,4.0,2.0,2.0,0.0,5.0,3.0,59.9,20.0,2.0,2.0,,4.0,57.0,8.0,620.0,6.0,19.0,15.0,9.0,44.0,5.0,419.0,12.0,25.0,5.0,205.0,20.0,1.0,4.0,25.0,2.0,13.0,3.0,13.0,1.0,8.0,0.0,1.0,1.0,0.0,1.0,11.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,24.0,1.0,562.0,2.0,1.0,605.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442023,2012-09-02 16:00:00,"St. Mary's Stadium, Southampton",31609,Away,Manchester United,Southampton,3,2,W,1,1,0,0,2.0,64.0,1.0,,29.0,33.0,9.0,11.0,1.0,157.0,5.0,4.0,3.0,15.0,7.0,173.0,143.0,39.0,1.0,20.0,4.0,7.0,3.0,,2.0,3.0,24.0,14.0,1.0,21.0,5.0,23.0,38.0,294.0,0.0,159.0,4.0,1.0,,2.0,55.0,79.0,7.0,79.0,1.0,4.0,19.0,1.0,4.0,4.0,131.0,1.0,6.0,178.0,782.0,13.0,4.0,14.0,22.0,,,25.0,0.0,4.0,8.0,17.0,76.0,,83090,5.0,229.0,2.0,14.0,241.0,,8.0,35.0,2.0,2.0,8.0,,12.0,9.0,5.0,38.0,518.0,8.0,3.0,8.0,90.0,,1.0,0.0,,1.0,4.0,1.0,2.0,1.0,0.0,3.0,4.0,54.9,13.0,1.0,3.0,8.0,4.0,66.0,7.0,587.0,12.0,19.0,24.0,9.0,14.0,4.0,370.0,5.0,21.0,11.0,124.0,29.0,2.0,15.0,16.0,2.0,16.0,3.0,6.0,2.0,7.0,,,1.0,1.0,1.0,,,2.0,,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,2.0,1.0,,1.0,,,,,2.0,1.0,,,,,,,3.0,,2.0,5.0,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
4,442033,2012-09-15 15:00:00,"Old Trafford, Manchester",75142,Home,Manchester United,Wigan Athletic,4,0,W,0,0,0,0,,45.0,,3.0,26.0,20.0,6.0,9.0,1.0,119.0,7.0,9.0,7.0,13.0,5.0,120.0,135.0,46.0,,20.0,4.0,6.0,1.0,,,3.0,30.0,15.0,,9.0,4.0,16.0,38.0,206.0,0.0,150.0,10.0,1.0,1.0,,56.0,72.0,6.0,64.0,1.0,1.0,26.0,,8.0,1.0,124.0,2.0,7.0,121.0,627.0,10.0,5.0,10.0,18.0,2.0,1.0,12.0,2.0,2.0,7.0,29.0,46.0,,83090,7.0,164.0,2.0,16.0,173.0,,8.0,44.0,2.0,1.0,5.0,,13.0,,7.0,44.0,363.0,14.0,9.0,11.0,55.0,,,0.0,,2.0,5.0,1.0,,1.0,0.0,7.0,2.0,52.2,25.0,2.0,2.0,5.0,7.0,32.0,5.0,424.0,8.0,17.0,23.0,8.0,24.0,7.0,281.0,9.0,15.0,3.0,114.0,19.0,4.0,5.0,20.0,,15.0,3.0,11.0,4.0,5.0,,,2.0,2.0,,,,2.0,,4.0,,,1.0,,,2.0,,,,1.0,,,1.0,2.0,,2.0,,,,,,,2.0,,,,2.0,,,1.0,3.0,2.0,,1.0,,,,,3.0,,1.0,2.0,,2.0,,,,,1.0,1.0,2.0,,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
5,442040,2012-09-23 13:30:00,"Anfield, Liverpool",44263,Away,Manchester United,Liverpool,2,1,W,0,0,0,1,1.0,57.0,3.0,,31.0,44.0,5.0,4.0,,138.0,6.0,7.0,5.0,6.0,3.0,113.0,139.0,58.0,1.0,8.0,2.0,10.0,,1.0,,,18.0,21.0,1.0,25.0,2.0,19.0,25.0,216.0,0.0,120.0,7.0,3.0,1.0,,86.0,50.0,4.0,61.0,1.0,,16.0,1.0,3.0,2.0,120.0,,10.0,108.0,636.0,5.0,5.0,16.0,19.0,,1.0,27.0,2.0,2.0,2.0,15.0,66.0,,83090,2.0,147.0,,13.0,159.0,,11.0,51.0,2.0,1.0,10.0,,11.0,4.0,6.0,49.0,357.0,14.0,11.0,20.0,67.0,1.0,,0.0,,1.0,7.0,2.0,1.0,1.0,0.0,5.0,1.0,48.0,12.0,1.0,,11.0,2.0,37.0,3.0,420.0,10.0,19.0,18.0,3.0,10.0,1.0,279.0,3.0,18.0,8.0,87.0,23.0,5.0,14.0,29.0,1.0,6.0,3.0,11.0,5.0,3.0,,,1.0,,,,,2.0,,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,1.0,,,2.0,1.0,,3.0,,1.0,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
6,442053,2012-09-29 17:30:00,"Old Trafford, Manchester",75566,Home,Manchester United,Tottenham Hotspur,2,3,L,0,2,0,0,,47.0,,1.0,55.0,20.0,7.0,4.0,4.0,190.0,4.0,2.0,2.0,12.0,7.0,218.0,164.0,51.0,1.0,16.0,1.0,14.0,2.0,,2.0,1.0,43.0,20.0,3.0,10.0,8.0,23.0,51.0,390.0,0.0,222.0,7.0,1.0,,1.0,88.0,113.0,6.0,84.0,,2.0,35.0,1.0,12.0,2.0,154.0,3.0,8.0,209.0,897.0,9.0,1.0,10.0,17.0,1.0,2.0,15.0,0.0,3.0,6.0,20.0,109.0,,89428,7.0,241.0,1.0,23.0,245.0,,6.0,53.0,1.0,2.0,1.0,,11.0,3.0,6.0,72.0,627.0,7.0,6.0,4.0,83.0,,,0.0,,,5.0,1.0,3.0,,0.0,3.0,3.0,74.1,20.0,1.0,1.0,1.0,2.0,64.0,9.0,701.0,8.0,21.0,28.0,7.0,34.0,3.0,499.0,8.0,23.0,18.0,168.0,25.0,2.0,7.0,24.0,3.0,14.0,3.0,9.0,2.0,9.0,,2.0,2.0,,1.0,,,2.0,1.0,2.0,,1.0,1.0,2.0,,2.0,1.0,,1.0,,,,2.0,,,,,,1.0,,2.0,,2.0,,,,,,1.0,,2.0,,,1.0,,,,,2.0,,2.0,3.0,,,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
7,442062,2012-10-07 16:00:00,"St. James' Park, Newcastle",52203,Away,Manchester United,Newcastle United,3,0,W,2,0,0,0,2.0,48.0,1.0,1.0,34.0,53.0,3.0,3.0,3.0,151.0,3.0,3.0,1.0,10.0,8.0,138.0,146.0,58.0,1.0,13.0,1.0,13.0,3.0,1.0,1.0,2.0,14.0,29.0,2.0,29.0,5.0,25.0,30.0,183.0,0.0,97.0,12.0,2.0,1.0,2.0,42.0,70.0,8.0,95.0,,,9.0,1.0,2.0,,122.0,,7.0,145.0,729.0,7.0,5.0,9.0,16.0,,4.0,34.0,4.0,3.0,2.0,11.0,50.0,1.0,89428,3.0,277.0,1.0,7.0,293.0,,14.0,48.0,4.0,2.0,3.0,,16.0,8.0,7.0,53.0,457.0,15.0,12.0,25.0,75.0,1.0,2.0,0.0,1.0,2.0,8.0,1.0,,1.0,0.0,,2.0,54.5,10.0,,2.0,3.0,2.0,41.0,6.0,529.0,8.0,7.0,18.0,3.0,12.0,3.0,250.0,8.0,24.0,8.0,65.0,25.0,5.0,20.0,32.0,,9.0,3.0,7.0,5.0,6.0,,,,1.0,,,,,,3.0,,,2.0,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,3.0,,,,1.0,,,2.0,1.0,1.0,,,,1.0,,,2.0,,2.0,3.0,,,,2.0,2.0,2.0,,,,,,,,,,3.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,
8,442071,2012-10-20 15:00:00,"Old Trafford, Manchester",75585,Home,Manchester United,Stoke City,4,2,W,2,1,0,0,1.0,57.0,,1.0,50.0,39.0,4.0,6.0,,173.0,10.0,4.0,2.0,14.0,7.0,189.0,131.0,34.0,,16.0,,20.0,3.0,,1.0,2.0,21.0,9.0,,17.0,2.0,34.0,34.0,312.0,0.0,176.0,9.0,1.0,,,65.0,82.0,7.0,86.0,1.0,2.0,19.0,,2.0,4.0,109.0,6.0,6.0,177.0,803.0,10.0,3.0,7.0,34.0,,2.0,23.0,1.0,4.0,7.0,12.0,62.0,1.0,89428,5.0,263.0,2.0,16.0,270.0,,9.0,48.0,5.0,3.0,7.0,,14.0,4.0,8.0,64.0,565.0,10.0,2.0,15.0,63.0,,1.0,0.0,,2.0,4.0,2.0,2.0,1.0,0.0,10.0,5.0,64.0,11.0,1.0,,7.0,1.0,45.0,3.0,625.0,4.0,8.0,23.0,8.0,25.0,3.0,376.0,5.0,33.0,9.0,141.0,14.0,3.0,10.0,11.0,2.0,14.0,3.0,13.0,3.0,3.0,,,4.0,3.0,1.0,,,2.0,,4.0,,,1.0,1.0,,3.0,,,,,,,,1.0,,,,,,,1.0,,4.0,,,,,,1.0,,3.0,3.0,,,,,,,4.0,,3.0,2.0,1.0,4.0,1.0,2.0,1.0,,,,4.0,,2.0,,,4.0,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,
9,442081,2012-10-28 16:00:00,"Stamford Bridge, London",41644,Away,Manchester United,Chelsea,3,2,W,2,1,0,2,2.0,48.0,2.0,2.0,28.0,45.0,4.0,4.0,1.0,149.0,3.0,7.0,2.0,12.0,5.0,132.0,128.0,55.0,1.0,15.0,,10.0,1.0,,2.0,3.0,17.0,21.0,2.0,31.0,5.0,21.0,13.0,203.0,0.0,124.0,12.0,1.0,,,53.0,72.0,6.0,69.0,,1.0,12.0,1.0,3.0,2.0,114.0,3.0,7.0,107.0,665.0,9.0,3.0,10.0,26.0,1.0,6.0,29.0,2.0,3.0,6.0,18.0,63.0,1.0,54772,5.0,194.0,1.0,8.0,214.0,1.0,6.0,46.0,2.0,4.0,7.0,,6.0,8.0,4.0,43.0,394.0,13.0,4.0,27.0,66.0,,,0.0,,1.0,8.0,4.0,2.0,2.0,0.0,3.0,1.0,51.3,15.0,1.0,1.0,7.0,2.0,47.0,6.0,457.0,7.0,8.0,8.0,8.0,13.0,5.0,260.0,9.0,20.0,9.0,94.0,12.0,3.0,21.0,26.0,1.0,13.0,2.0,20.0,3.0,6.0,1.0,,2.0,1.0,,,,,1.0,3.0,1.0,,4.0,1.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,2.0,,2.0,1.0,,1.0,2.0,1.0,,,2.0,2.0,,1.0,,,,,3.0,,1.0,1.0,,2.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,
10,442091,2012-11-03 12:45:00,"Old Trafford, Manchester",75492,Home,Manchester United,Arsenal,2,1,W,1,0,0,1,2.0,61.0,,1.0,45.0,26.0,4.0,3.0,1.0,156.0,4.0,7.0,1.0,11.0,6.0,156.0,123.0,57.0,,14.0,1.0,10.0,4.0,1.0,1.0,5.0,26.0,17.0,,16.0,4.0,18.0,45.0,213.0,0.0,113.0,15.0,,1.0,1.0,62.0,80.0,7.0,83.0,,,22.0,,5.0,3.0,123.0,4.0,5.0,143.0,718.0,9.0,5.0,19.0,22.0,,3.0,13.0,5.0,2.0,4.0,15.0,55.0,1.0,89428,7.0,256.0,4.0,16.0,276.0,2.0,6.0,35.0,5.0,5.0,3.0,,9.0,2.0,5.0,68.0,465.0,14.0,2.0,14.0,70.0,1.0,,0.0,,,1.0,1.0,1.0,3.0,0.0,3.0,3.0,47.7,11.0,1.0,1.0,3.0,2.0,44.0,6.0,538.0,16.0,4.0,24.0,6.0,33.0,3.0,288.0,8.0,17.0,14.0,76.0,31.0,1.0,9.0,22.0,1.0,11.0,2.0,13.0,1.0,6.0,,2.0,1.0,2.0,,10.0,1.0,,,2.0,1.0,,2.0,,,,,,,,,,,1.0,4.0,,,,,27.0,,447.0,1.0,,517.0,,1.0,,,1.0,1.0,1.0,,1.0,2.0,,,,2.0,,1.0,4.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,
