gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,goalsConceded,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,goals,attCmissRight,attOboxBlocked,attObxLeft,goalAssistOpenplay,attGoalHighRight,cleanSheet,goodHighClaim,interceptionsInBox,contentiousDecision,goalAssist,errorLeadToShot,attSetpiece,attRfGoal,totalOffside,goalsOpenplay,attSvLowRight,punches,attIboxGoal,accurateFlickOn,goalAssistIntentional,totalHighClaim,forwardGoals,effectiveBlockedCross,blockedCross,attGoalLowRight,goalFastbreak,penaltyWon,midfielderGoals,attHdTarget,attPenGoal,goalsConcededObox,penaltySave,accurateKeeperSweeper,attSvLowLeft,accurateFreekickCross,shieldBallOop,errorLeadToGoal,postScoringAtt,attIboxPost,hitWoodwork,totalPullBack,attMissHigh,attPostHigh,attFreekickMiss,attLgCentre,attCmissHigh,accuratePullBack,attGoalHighCentre,attHdGoal,defenderGoals,attGoalHighLeft,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalLowCentre,foulThrowIn,ownGoals,attIboxOwnGoal,attSvHighRight,attOboxGoal,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attLgLeft,attFreekickPost,attOboxPost,attObxRight,attPostRight,attObpGoal,attFreekickGoal,attObxdLeft
1,442008,2012-08-19 13:30:00,"DW Stadium, Wigan",19738,Home,Wigan Athletic,Chelsea,0,2,L,0,2,0,0,1.0,1.0,40.0,1.0,40.0,6.0,3.0,3.0,3.0,126.0,7.0,4.0,4.0,11.0,4.0,131.0,132.0,48.0,2.0,15.0,9.0,1.0,1.0,3.0,2.0,4.0,34.0,20.0,3.0,4.0,6.0,13.0,40.0,1.0,234.0,2.0,0.0,157.0,17.0,1.0,2.0,1.0,2.0,98.0,67.0,2.0,83.0,3.0,28.0,2.0,6.0,1.0,130.0,2.0,5.0,133.0,643.0,1.0,8.0,2.0,14.0,17.0,1.0,4.0,4.0,1.0,2.0,1.0,9.0,20.0,69.0,1.0,9110,3.0,175.0,3.0,20.0,1.0,1.0,192.0,6.0,51.0,3.0,8.0,1.0,8.0,1.0,4.0,59.0,402.0,11.0,9.0,3.0,7.0,56.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,2.0,1.0,0.0,4.0,5.0,52.0,19.0,5.0,1.0,2.0,1.0,8.0,1.0,1.0,42.0,7.0,1.0,473.0,1.0,11.0,9.0,23.0,10.0,18.0,3.0,9.0,315.0,6.0,13.0,10.0,113.0,15.0,3.0,23.0,2.0,9.0,3.0,12.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442014,2012-08-25 15:00:00,"St. Mary's Stadium, Southampton",29604,Away,Wigan Athletic,Southampton,2,0,W,0,0,0,0,,2.0,32.0,2.0,42.0,28.0,5.0,4.0,,135.0,4.0,6.0,,12.0,4.0,135.0,134.0,53.0,,13.0,11.0,,,1.0,,1.0,15.0,24.0,2.0,14.0,1.0,23.0,33.0,1.0,205.0,,0.0,107.0,9.0,5.0,,1.0,,83.0,41.0,8.0,85.0,3.0,14.0,,5.0,1.0,120.0,1.0,10.0,129.0,668.0,,11.0,7.0,13.0,15.0,,4.0,12.0,,0.0,4.0,4.0,18.0,65.0,3.0,9110,3.0,213.0,1.0,9.0,,,231.0,11.0,36.0,3.0,2.0,,15.0,6.0,8.0,61.0,414.0,10.0,4.0,,11.0,81.0,,,0.0,,,10.0,3.0,,,0.0,4.0,1.0,50.8,11.0,1.0,1.0,3.0,,2.0,5.0,,50.0,3.0,,484.0,,10.0,7.0,22.0,4.0,13.0,,3.0,268.0,8.0,22.0,10.0,78.0,12.0,7.0,27.0,,8.0,3.0,11.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442028,2012-09-01 15:00:00,"DW Stadium, Wigan",16247,Home,Wigan Athletic,Stoke City,2,2,D,1,1,0,0,2.0,,34.0,4.0,38.0,24.0,3.0,3.0,,167.0,4.0,7.0,1.0,9.0,3.0,135.0,148.0,45.0,,13.0,21.0,1.0,1.0,1.0,1.0,4.0,15.0,12.0,,15.0,2.0,29.0,39.0,,251.0,,0.0,146.0,15.0,,2.0,,,109.0,43.0,6.0,96.0,1.0,13.0,,2.0,2.0,139.0,,12.0,142.0,715.0,,8.0,5.0,8.0,19.0,,2.0,12.0,,1.0,4.0,3.0,31.0,61.0,1.0,92372,7.0,206.0,,11.0,1.0,1.0,238.0,9.0,55.0,1.0,5.0,,9.0,7.0,6.0,56.0,453.0,10.0,1.0,,17.0,78.0,1.0,,0.0,,1.0,1.0,3.0,2.0,,0.0,3.0,1.0,68.7,27.0,,1.0,2.0,,8.0,5.0,,57.0,2.0,1.0,540.0,1.0,5.0,15.0,26.0,5.0,14.0,1.0,3.0,317.0,9.0,26.0,15.0,110.0,9.0,10.0,13.0,2.0,11.0,3.0,12.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,2.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442033,2012-09-15 15:00:00,"Old Trafford, Manchester",75142,Away,Wigan Athletic,Manchester United,0,4,L,0,0,0,0,,,22.0,2.0,36.0,25.0,,,1.0,102.0,3.0,9.0,3.0,6.0,1.0,112.0,129.0,44.0,,7.0,3.0,1.0,1.0,3.0,,1.0,18.0,17.0,,16.0,3.0,18.0,38.0,,183.0,,0.0,96.0,14.0,1.0,1.0,,3.0,69.0,43.0,3.0,49.0,2.0,15.0,,3.0,,120.0,,14.0,125.0,562.0,,5.0,7.0,9.0,13.0,1.0,4.0,12.0,1.0,2.0,5.0,3.0,14.0,56.0,,92372,2.0,143.0,,9.0,,1.0,158.0,18.0,46.0,,4.0,,12.0,6.0,13.0,51.0,323.0,10.0,9.0,1.0,9.0,59.0,1.0,1.0,0.0,,1.0,5.0,1.0,4.0,,0.0,2.0,2.0,47.8,12.0,2.0,,1.0,,4.0,2.0,,38.0,5.0,1.0,388.0,,3.0,15.0,19.0,4.0,13.0,1.0,4.0,248.0,5.0,17.0,6.0,61.0,5.0,7.0,19.0,3.0,5.0,2.0,14.0,5.0,,,,,2.0,,,,,,,3.0,2.0,,1.0,1.0,,,,,,,5.0,,,,3.0,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442048,2012-09-22 15:00:00,"DW Stadium, Wigan",19284,Home,Wigan Athletic,Fulham,1,2,L,0,1,0,0,,1.0,35.0,2.0,43.0,17.0,9.0,5.0,2.0,161.0,8.0,7.0,3.0,12.0,5.0,176.0,151.0,51.0,1.0,19.0,20.0,3.0,1.0,1.0,,2.0,34.0,13.0,1.0,10.0,8.0,30.0,37.0,1.0,314.0,2.0,0.0,184.0,7.0,4.0,1.0,1.0,2.0,103.0,79.0,6.0,82.0,2.0,26.0,1.0,6.0,5.0,144.0,2.0,9.0,162.0,750.0,,10.0,5.0,12.0,20.0,,2.0,9.0,,0.0,1.0,6.0,19.0,75.0,,92372,6.0,179.0,3.0,18.0,,,197.0,5.0,40.0,1.0,3.0,,5.0,3.0,4.0,66.0,485.0,13.0,4.0,2.0,9.0,74.0,1.0,,0.0,,2.0,7.0,3.0,2.0,,0.0,8.0,3.0,63.6,18.0,2.0,,1.0,1.0,3.0,5.0,,48.0,8.0,,581.0,,7.0,5.0,17.0,9.0,27.0,,3.0,418.0,11.0,28.0,15.0,136.0,12.0,5.0,16.0,2.0,14.0,3.0,11.0,9.0,,,2.0,1.0,2.0,3.0,,,,,,,,,1.0,2.0,1.0,4.0,,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,2.0,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442058,2012-09-29 15:00:00,"Stadium of Light, Sunderland",37742,Away,Wigan Athletic,Sunderland,0,1,L,0,0,1,0,,1.0,44.0,,33.0,27.0,3.0,4.0,2.0,147.0,2.0,2.0,4.0,7.0,3.0,82.0,143.0,54.0,,10.0,8.0,3.0,,,1.0,,10.0,16.0,,16.0,,15.0,34.0,,165.0,,0.0,88.0,17.0,1.0,,,2.0,51.0,39.0,3.0,70.0,1.0,10.0,,3.0,2.0,132.0,1.0,4.0,105.0,559.0,,5.0,5.0,6.0,17.0,1.0,8.0,8.0,1.0,5.0,2.0,4.0,15.0,61.0,,92372,5.0,160.0,2.0,5.0,,,174.0,11.0,51.0,1.0,3.0,,15.0,6.0,7.0,57.0,323.0,22.0,10.0,2.0,27.0,85.0,,,0.0,,4.0,8.0,,1.0,,1.0,2.0,1.0,50.2,11.0,1.0,2.0,,,3.0,2.0,,48.0,1.0,,404.0,,3.0,11.0,19.0,5.0,15.0,,3.0,240.0,5.0,14.0,9.0,53.0,20.0,5.0,21.0,1.0,5.0,3.0,7.0,1.0,,,,,1.0,2.0,,,,,1.0,,1.0,,,3.0,,,,2.0,1.0,,2.0,,1.0,,4.0,4.0,,,,,,,,,1.0,,,,,,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442068,2012-10-06 15:00:00,"DW Stadium, Wigan",18759,Home,Wigan Athletic,Everton,2,2,D,2,1,0,0,,,30.0,2.0,27.0,41.0,3.0,1.0,1.0,132.0,4.0,3.0,1.0,9.0,3.0,76.0,155.0,44.0,,11.0,10.0,,,2.0,,1.0,16.0,9.0,1.0,20.0,6.0,5.0,29.0,,137.0,,0.0,96.0,15.0,3.0,,,1.0,58.0,47.0,4.0,51.0,4.0,10.0,,3.0,1.0,134.0,2.0,8.0,81.0,529.0,,6.0,13.0,21.0,10.0,,6.0,16.0,,2.0,5.0,5.0,17.0,59.0,1.0,92372,4.0,117.0,,6.0,,1.0,138.0,9.0,36.0,1.0,3.0,,10.0,9.0,6.0,57.0,250.0,14.0,3.0,1.0,22.0,68.0,,1.0,0.0,,2.0,6.0,1.0,2.0,,0.0,2.0,3.0,46.1,10.0,2.0,2.0,1.0,,3.0,3.0,,37.0,7.0,1.0,340.0,1.0,16.0,6.0,14.0,5.0,14.0,2.0,4.0,218.0,7.0,5.0,11.0,52.0,13.0,9.0,16.0,2.0,9.0,1.0,5.0,7.0,2.0,1.0,4.0,2.0,1.0,1.0,,2.0,,,2.0,4.0,,2.0,,,1.0,2.0,2.0,,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,442075,2012-10-20 15:00:00,"Swansea.com Stadium, Swansea",19696,Away,Wigan Athletic,Swansea City,1,2,L,0,0,0,0,,,36.0,,19.0,27.0,3.0,1.0,4.0,150.0,3.0,3.0,3.0,9.0,6.0,118.0,135.0,40.0,1.0,11.0,8.0,4.0,,,,2.0,14.0,9.0,1.0,15.0,1.0,15.0,15.0,,251.0,,0.0,112.0,12.0,1.0,,,1.0,84.0,49.0,5.0,73.0,1.0,13.0,1.0,3.0,1.0,123.0,,7.0,145.0,648.0,,7.0,11.0,14.0,15.0,,8.0,16.0,,3.0,3.0,4.0,16.0,57.0,2.0,92372,5.0,156.0,,9.0,,,182.0,10.0,37.0,2.0,5.0,,7.0,13.0,6.0,34.0,404.0,14.0,4.0,1.0,29.0,62.0,,1.0,0.0,1.0,2.0,9.0,3.0,2.0,,0.0,2.0,1.0,52.4,16.0,,2.0,2.0,,5.0,1.0,,38.0,2.0,,486.0,,12.0,6.0,10.0,4.0,11.0,1.0,3.0,318.0,9.0,14.0,9.0,83.0,15.0,10.0,14.0,2.0,8.0,3.0,10.0,2.0,,,3.0,1.0,1.0,1.0,,1.0,,,,2.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,,1.0,4.0,,,,6.0,6.0,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,442088,2012-10-27 15:00:00,"DW Stadium, Wigan",19090,Home,Wigan Athletic,West Ham United,2,1,W,1,0,0,0,1.0,1.0,53.0,2.0,18.0,42.0,9.0,3.0,4.0,154.0,2.0,5.0,2.0,15.0,7.0,102.0,155.0,45.0,,16.0,23.0,3.0,1.0,1.0,2.0,3.0,17.0,10.0,2.0,26.0,4.0,7.0,31.0,1.0,197.0,,0.0,137.0,11.0,1.0,1.0,,,80.0,22.0,11.0,68.0,1.0,13.0,,1.0,4.0,139.0,2.0,9.0,100.0,616.0,,13.0,2.0,11.0,15.0,,7.0,18.0,,3.0,7.0,4.0,20.0,57.0,,9110,4.0,145.0,1.0,12.0,1.0,,172.0,9.0,56.0,,2.0,,5.0,6.0,3.0,39.0,340.0,16.0,4.0,,23.0,72.0,1.0,,0.0,,1.0,6.0,2.0,1.0,,0.0,1.0,,54.4,16.0,,1.0,2.0,,3.0,5.0,,36.0,6.0,,424.0,,10.0,7.0,18.0,4.0,15.0,1.0,,269.0,13.0,6.0,9.0,103.0,30.0,11.0,15.0,1.0,14.0,1.0,17.0,6.0,1.0,,1.0,2.0,,3.0,,1.0,,,3.0,,,2.0,,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,,3.0,3.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10,442096,2012-11-03 15:00:00,"White Hart Lane, London",35534,Away,Wigan Athletic,Tottenham Hotspur,1,0,W,0,0,0,0,1.0,1.0,41.0,1.0,30.0,29.0,3.0,3.0,1.0,156.0,2.0,5.0,2.0,4.0,3.0,97.0,159.0,47.0,1.0,7.0,17.0,2.0,,1.0,2.0,,13.0,13.0,,15.0,2.0,12.0,33.0,1.0,149.0,2.0,0.0,112.0,12.0,2.0,,,1.0,76.0,54.0,3.0,69.0,,11.0,1.0,2.0,3.0,145.0,2.0,5.0,84.0,593.0,,4.0,7.0,19.0,18.0,1.0,4.0,19.0,1.0,1.0,6.0,1.0,26.0,57.0,1.0,9110,2.0,154.0,2.0,8.0,,,183.0,11.0,50.0,1.0,3.0,1.0,4.0,8.0,7.0,64.0,301.0,12.0,6.0,,22.0,79.0,,,0.0,,,9.0,2.0,,,0.0,2.0,,48.9,24.0,,1.0,,,3.0,1.0,1.0,41.0,2.0,,406.0,,12.0,8.0,15.0,3.0,9.0,,,236.0,4.0,10.0,14.0,70.0,18.0,10.0,16.0,,5.0,1.0,13.0,2.0,1.0,,3.0,1.0,,,,,,1.0,1.0,2.0,,,,,,3.0,,,1.0,1.0,,,1.0,,8.0,8.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
