gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,attHdPost,touches,attLgCentre,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attPostHigh,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attGoalLowLeft,attemptsIbox,saves,accuratePullBack,attBxRight,attSvHighLeft,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateThroughBall,accurateFreekickCross,totalPullBack,totalThroughBall,defenderGoals,attMissHigh,attSvLowRight,punches,accurateFlickOn,possWonAtt3rd,clearanceOffLine,forwardGoals,attOboxBlocked,attOboxTarget,attSvHighRight,attGoalHighCentre,attFreekickTarget,goalsConceded,attHdGoal,goalsConcededIbox,errorLeadToGoal,goalsConcededObox,attSvLowCentre,attMissHighRight,contentiousDecision,attHdTarget,attCmissHighRight,attFreekickPost,secondYellow,attSetpiece,attOboxPost,accurateKeeperSweeper,totalKeeperSweeper,attCmissHigh,attCorner,attSvHighCentre,goalAssistSetplay,goalAssistDeadball,attPostLeft,attObxdLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickGoal,attCmissHighLeft,attGoalHighRight,penaltySave,ownGoals,attIboxOwnGoal
1,442004,2012-08-18 15:00:00,"MATRADE Loftus Road, London",18072,Away,Swansea City,Queens Park Rangers,5,0,W,1,0,0,0,1.0,1.0,62.0,3.0,3.0,2.0,36.0,43.0,2.0,5.0,4.0,1.0,138.0,1.0,3.0,3.0,5.0,3.0,7.0,1.0,6.0,105.0,136.0,38.0,1.0,13.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,9.0,2.0,14.0,17.0,2.0,8.0,33.0,1.0,143.0,1.0,2.0,0.0,70.0,16.0,1.0,3.0,5.0,1.0,2.0,3.0,36.0,41.0,5.0,85.0,2.0,1.0,7.0,1.0,1.0,1.0,110.0,1.0,8.0,106.0,1.0,632.0,1.0,2.0,2.0,2.0,18.0,35.0,1.0,3.0,20.0,4.0,2.0,9.0,2.0,11.0,45.0,2.0,73459,5.0,240.0,1.0,4.0,1.0,251.0,1.0,13.0,47.0,2.0,4.0,5.0,16.0,13.0,2.0,53.0,380.0,12.0,7.0,1.0,7.0,80.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,2.0,50.1,10.0,1.0,2.0,4.0,2.0,46.0,3.0,3.0,434.0,14.0,1.0,12.0,19.0,5.0,12.0,2.0,2.0,192.0,5.0,8.0,4.0,44.0,20.0,6.0,11.0,19.0,9.0,3.0,10.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442017,2012-08-25 12:45:00,"Swansea.com Stadium, Swansea",20424,Home,Swansea City,West Ham United,3,0,W,2,0,0,0,1.0,2.0,52.0,,1.0,3.0,39.0,35.0,2.0,4.0,1.0,1.0,207.0,,2.0,10.0,3.0,4.0,9.0,1.0,5.0,146.0,125.0,72.0,,12.0,23.0,2.0,1.0,,2.0,,1.0,11.0,,18.0,23.0,5.0,21.0,25.0,2.0,208.0,1.0,,0.0,105.0,14.0,3.0,3.0,1.0,,2.0,,60.0,51.0,7.0,121.0,1.0,2.0,6.0,,,2.0,125.0,1.0,7.0,162.0,,824.0,,7.0,8.0,,6.0,25.0,,7.0,19.0,2.0,2.0,3.0,2.0,13.0,54.0,,54322,5.0,353.0,,4.0,,376.0,2.0,7.0,66.0,4.0,8.0,3.0,4.0,2.0,6.0,51.0,559.0,17.0,2.0,,15.0,83.0,1.0,1.0,,0.0,2.0,4.0,4.0,3.0,,0.0,2.0,2.0,,,62.2,12.0,,3.0,8.0,3.0,55.0,5.0,,636.0,5.0,,20.0,15.0,4.0,17.0,,2.0,271.0,8.0,20.0,25.0,77.0,16.0,,11.0,20.0,12.0,3.0,18.0,,5.0,1.0,2.0,10.0,4.0,1.0,1.0,1.0,2.0,20.0,539.0,613.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442024,2012-09-01 15:00:00,"Swansea.com Stadium, Swansea",20350,Home,Swansea City,Sunderland,2,2,D,1,2,1,0,1.0,1.0,43.0,1.0,,1.0,39.0,28.0,6.0,4.0,,5.0,153.0,,6.0,10.0,2.0,2.0,10.0,,7.0,186.0,131.0,50.0,1.0,15.0,12.0,3.0,,,2.0,,2.0,32.0,,17.0,11.0,8.0,1.0,11.0,,335.0,,,0.0,174.0,13.0,,,2.0,2.0,1.0,3.0,96.0,64.0,8.0,98.0,,1.0,25.0,1.0,8.0,2.0,114.0,1.0,4.0,185.0,,815.0,,8.0,1.0,,10.0,18.0,,4.0,16.0,2.0,1.0,1.0,2.0,21.0,61.0,1.0,76542,5.0,249.0,,16.0,,258.0,1.0,4.0,58.0,,4.0,2.0,8.0,,2.0,46.0,578.0,7.0,3.0,,8.0,64.0,,,1.0,0.0,1.0,,,2.0,,1.0,6.0,2.0,,2.0,63.8,19.0,1.0,1.0,4.0,3.0,50.0,8.0,3.0,622.0,3.0,,16.0,7.0,5.0,18.0,1.0,3.0,396.0,9.0,1.0,12.0,151.0,18.0,4.0,6.0,21.0,14.0,3.0,25.0,4.0,8.0,,,,,,1.0,,,,,,1.0,,,2.0,,2.0,2.0,,,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442030,2012-09-15 15:00:00,"Villa Park, Birmingham",34005,Away,Swansea City,Aston Villa,0,2,L,0,1,0,0,,,48.0,,1.0,1.0,37.0,61.0,3.0,2.0,,1.0,175.0,,7.0,3.0,,2.0,9.0,1.0,3.0,110.0,180.0,62.0,,10.0,21.0,2.0,,,,,,23.0,,14.0,19.0,4.0,5.0,15.0,,231.0,,,0.0,126.0,4.0,1.0,,,,2.0,1.0,40.0,94.0,5.0,78.0,1.0,2.0,19.0,,3.0,1.0,138.0,1.0,12.0,111.0,,694.0,1.0,8.0,8.0,,10.0,23.0,,8.0,35.0,,1.0,6.0,4.0,18.0,64.0,2.0,76542,4.0,174.0,1.0,14.0,,194.0,,5.0,53.0,1.0,6.0,,17.0,4.0,3.0,50.0,398.0,12.0,10.0,1.0,13.0,69.0,,,,0.0,4.0,10.0,5.0,,,0.0,5.0,,1.0,2.0,57.9,14.0,,2.0,6.0,3.0,49.0,4.0,1.0,474.0,5.0,,9.0,10.0,4.0,21.0,2.0,3.0,303.0,6.0,5.0,28.0,91.0,16.0,3.0,6.0,19.0,8.0,3.0,12.0,3.0,4.0,,,,,,,1.0,,,,,4.0,1.0,,5.0,,,,1.0,2.0,,1.0,,2.0,1.0,1.0,,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
5,442044,2012-09-22 12:45:00,"Swansea.com Stadium, Swansea",20464,Home,Swansea City,Everton,0,3,L,0,2,1,0,1.0,,44.0,,,5.0,32.0,33.0,7.0,5.0,,2.0,151.0,,7.0,,,2.0,13.0,1.0,4.0,87.0,135.0,31.0,2.0,18.0,13.0,3.0,,1.0,,,2.0,24.0,,12.0,16.0,8.0,8.0,26.0,,153.0,,,0.0,111.0,23.0,3.0,1.0,,1.0,1.0,1.0,37.0,44.0,7.0,66.0,3.0,3.0,16.0,2.0,6.0,4.0,118.0,2.0,24.0,89.0,,583.0,,11.0,9.0,1.0,15.0,17.0,2.0,6.0,13.0,,4.0,9.0,6.0,17.0,64.0,,76542,4.0,176.0,3.0,9.0,1.0,188.0,,9.0,50.0,1.0,4.0,,9.0,7.0,5.0,45.0,322.0,7.0,4.0,2.0,12.0,70.0,,,,0.0,2.0,3.0,8.0,,1.0,1.0,3.0,,,1.0,48.5,14.0,1.0,3.0,4.0,6.0,45.0,8.0,1.0,393.0,10.0,1.0,7.0,14.0,8.0,20.0,4.0,3.0,229.0,11.0,7.0,8.0,70.0,16.0,4.0,7.0,16.0,10.0,3.0,4.0,4.0,8.0,2.0,,,,,3.0,,,,,,1.0,,,5.0,,,1.0,,2.0,2.0,1.0,,1.0,1.0,,,,3.0,,3.0,,,2.0,,2.0,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,
6,442057,2012-09-29 15:00:00,"bet365 Stadium, Stoke",27330,Away,Swansea City,Stoke City,0,2,L,0,2,0,0,1.0,,67.0,,1.0,,30.0,47.0,6.0,1.0,,3.0,192.0,,1.0,6.0,,2.0,7.0,1.0,3.0,113.0,148.0,59.0,,10.0,20.0,1.0,,,,,1.0,25.0,,15.0,25.0,7.0,9.0,21.0,,221.0,,,0.0,126.0,10.0,,,,,3.0,3.0,45.0,55.0,2.0,101.0,1.0,1.0,18.0,,4.0,4.0,148.0,,8.0,121.0,,754.0,1.0,5.0,6.0,,9.0,21.0,1.0,3.0,22.0,,1.0,2.0,5.0,24.0,62.0,2.0,76542,3.0,223.0,,11.0,,241.0,,8.0,55.0,1.0,5.0,,12.0,4.0,1.0,50.0,443.0,17.0,3.0,2.0,8.0,87.0,,,,0.0,1.0,6.0,2.0,,,0.0,1.0,,1.0,1.0,61.0,23.0,1.0,,6.0,1.0,54.0,8.0,3.0,527.0,6.0,,14.0,9.0,6.0,36.0,,2.0,311.0,8.0,8.0,16.0,89.0,36.0,6.0,15.0,20.0,8.0,2.0,16.0,6.0,8.0,,,3.0,3.0,,,,7.0,14.0,428.0,504.0,2.0,1.0,,4.0,,2.0,1.0,,2.0,1.0,,,1.0,2.0,,,,2.0,,2.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
7,442064,2012-10-06 15:00:00,"Swansea.com Stadium, Swansea",20336,Home,Swansea City,Reading,2,2,D,0,2,0,0,,1.0,47.0,,1.0,3.0,34.0,36.0,5.0,8.0,,3.0,205.0,2.0,8.0,6.0,2.0,3.0,20.0,2.0,10.0,143.0,175.0,58.0,,26.0,27.0,7.0,,,1.0,,1.0,27.0,,12.0,22.0,10.0,5.0,7.0,1.0,249.0,,,0.0,167.0,9.0,,,2.0,2.0,2.0,,64.0,61.0,14.0,94.0,1.0,3.0,17.0,,6.0,2.0,161.0,4.0,6.0,158.0,,803.0,1.0,14.0,17.0,2.0,13.0,17.0,1.0,4.0,21.0,1.0,1.0,3.0,6.0,28.0,73.0,1.0,76542,13.0,255.0,3.0,9.0,1.0,276.0,1.0,5.0,57.0,2.0,2.0,2.0,6.0,3.0,3.0,53.0,496.0,10.0,2.0,5.0,17.0,86.0,,,,0.0,1.0,3.0,2.0,2.0,,0.0,4.0,1.0,1.0,8.0,71.5,20.0,4.0,1.0,2.0,6.0,50.0,11.0,,600.0,8.0,,6.0,2.0,10.0,21.0,4.0,8.0,351.0,10.0,4.0,26.0,116.0,24.0,2.0,14.0,16.0,21.0,3.0,19.0,2.0,11.0,2.0,,,,,4.0,,,,,,2.0,1.0,,7.0,,2.0,3.0,,6.0,1.0,1.0,,3.0,1.0,,,,2.0,1.0,2.0,1.0,,2.0,3.0,,3.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
8,442075,2012-10-20 15:00:00,"Swansea.com Stadium, Swansea",19696,Home,Swansea City,Wigan Athletic,2,1,W,0,0,0,0,,1.0,50.0,,1.0,,37.0,15.0,13.0,8.0,,5.0,153.0,1.0,7.0,4.0,2.0,3.0,14.0,1.0,8.0,97.0,136.0,38.0,1.0,20.0,9.0,3.0,2.0,,1.0,,1.0,33.0,,11.0,7.0,8.0,4.0,18.0,1.0,221.0,,,0.0,159.0,14.0,2.0,2.0,2.0,1.0,4.0,1.0,57.0,68.0,8.0,72.0,4.0,2.0,25.0,1.0,4.0,7.0,128.0,2.0,8.0,105.0,,620.0,,12.0,5.0,,23.0,12.0,2.0,5.0,8.0,2.0,2.0,1.0,6.0,25.0,69.0,,76542,2.0,137.0,1.0,17.0,,150.0,1.0,3.0,40.0,1.0,5.0,1.0,6.0,3.0,3.0,52.0,351.0,12.0,3.0,,16.0,67.0,2.0,,1.0,0.0,,2.0,4.0,2.0,,0.0,3.0,2.0,,2.0,47.6,20.0,1.0,1.0,5.0,3.0,42.0,9.0,1.0,427.0,16.0,,3.0,11.0,9.0,17.0,4.0,2.0,310.0,10.0,4.0,8.0,117.0,25.0,2.0,5.0,14.0,17.0,2.0,15.0,2.0,9.0,1.0,1.0,,,,3.0,1.0,,,,,1.0,1.0,2.0,2.0,,3.0,1.0,,1.0,2.0,,,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,
9,442083,2012-10-27 17:30:00,"Etihad Stadium, Manchester",46801,Away,Swansea City,Manchester City,0,1,L,0,0,0,0,,,61.0,,,2.0,28.0,25.0,5.0,2.0,,,174.0,,7.0,5.0,,1.0,7.0,,2.0,125.0,151.0,41.0,,9.0,13.0,2.0,1.0,,,,1.0,17.0,,13.0,13.0,,9.0,22.0,1.0,152.0,,,0.0,87.0,10.0,,1.0,,,,1.0,40.0,54.0,5.0,82.0,1.0,,17.0,,9.0,3.0,139.0,1.0,7.0,122.0,,710.0,,7.0,9.0,,20.0,33.0,1.0,3.0,10.0,,2.0,1.0,2.0,31.0,48.0,1.0,76542,3.0,279.0,1.0,8.0,,315.0,,10.0,50.0,5.0,7.0,,13.0,4.0,7.0,49.0,424.0,8.0,7.0,,18.0,59.0,1.0,,1.0,0.0,1.0,3.0,3.0,,,0.0,7.0,,,1.0,46.3,24.0,,1.0,7.0,4.0,36.0,,1.0,503.0,15.0,,11.0,12.0,3.0,20.0,,,205.0,5.0,7.0,11.0,62.0,18.0,2.0,8.0,17.0,9.0,3.0,15.0,2.0,,1.0,,,,,,,,,,,1.0,,,2.0,,1.0,,,4.0,,,,2.0,,,,,1.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,442095,2012-11-03 15:00:00,"Swansea.com Stadium, Swansea",20527,Home,Swansea City,Chelsea,1,1,D,0,0,0,0,,,42.0,1.0,2.0,1.0,32.0,32.0,6.0,3.0,,1.0,146.0,,5.0,4.0,1.0,2.0,7.0,,2.0,110.0,130.0,37.0,1.0,10.0,10.0,,,,,,1.0,22.0,,15.0,12.0,8.0,19.0,14.0,,226.0,,1.0,0.0,145.0,12.0,2.0,,1.0,,,1.0,43.0,85.0,5.0,99.0,,1.0,14.0,1.0,6.0,1.0,110.0,,6.0,126.0,,667.0,,7.0,1.0,,14.0,16.0,1.0,3.0,19.0,,4.0,4.0,2.0,18.0,59.0,,76542,2.0,205.0,,8.0,1.0,215.0,1.0,7.0,47.0,3.0,5.0,1.0,8.0,5.0,5.0,43.0,426.0,9.0,3.0,,6.0,68.0,,,,0.0,2.0,6.0,2.0,,,0.0,3.0,,,1.0,52.2,17.0,1.0,1.0,5.0,4.0,51.0,8.0,1.0,481.0,12.0,1.0,13.0,6.0,4.0,19.0,2.0,3.0,288.0,6.0,16.0,5.0,115.0,19.0,4.0,5.0,19.0,8.0,3.0,13.0,4.0,8.0,,,,,,1.0,,,,,,1.0,,1.0,2.0,,1.0,,,,2.0,1.0,,3.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
