gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attGoalLowLeft,attFreekickTotal,attOboxBlocked,attSvLowCentre,attGoalHighRight,attOboxTarget,attMissRight,freekickTotal,attMissHighLeft,attMissHigh,attSvLowRight,blockedScoringAtt,attFreekickMiss,forwardGoals,goalsConcededObox,handBall,attIboxBlocked,attCmissRight,attBxRight,attOboxGoal,punches,goalsConceded,attHdMiss,attBxLeft,goalsConcededIbox,errorLeadToGoal,contentiousDecision,attFreekickTarget,accurateCornersIntobox,attLfGoal,attCmissHigh,goalAssistSetplay,goalAssistDeadball,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attGoalHighLeft,attFreekickGoal,sixYardBlock,attHdGoal,attGoalHighCentre,attSvHighCentre,attObxLeft,attSvHighLeft,secondYellow,hitWoodwork,ownGoals,attIboxOwnGoal,attSvHighRight,accurateKeeperSweeper,totalKeeperSweeper,accuratePullBack,totalPullBack,attObxdLeft,postScoringAtt,attFreekickPost,attOboxPost,attObxRight,clearanceOffLine,attPostRight,attIboxPost,attLgCentre,attPostHigh,attPenTarget,attCmissHighLeft,penaltyConceded,penaltyFaced,attCmissHighRight,foulThrowIn,ptsGainedLosingPos
1,442008,2012-08-19 13:30:00,"DW Stadium, Wigan",19738,Away,Chelsea,Wigan Athletic,2,0,W,2,0,0,0,2.0,56.0,1.0,3.0,25.0,29.0,1.0,1.0,1.0,126.0,1.0,2.0,9.0,2.0,3.0,4.0,4.0,132.0,131.0,51.0,6.0,10.0,2.0,1.0,1.0,1.0,1.0,7.0,16.0,12.0,1.0,21.0,21.0,2.0,146.0,1.0,1.0,1.0,0.0,72.0,11.0,3.0,3.0,1.0,2.0,1.0,4.0,40.0,36.0,3.0,77.0,3.0,6.0,1.0,1.0,114.0,2.0,11.0,121.0,639.0,2.0,5.0,1.0,25.0,29.0,2.0,17.0,1.0,2.0,1.0,1.0,18.0,42.0,2.0,1.0,1.0,8442,5.0,245.0,1.0,4.0,1.0,263.0,2.0,11.0,48.0,3.0,1.0,2.0,6.0,1.0,2.0,4.0,4.0,1.0,48.0,389.0,16.0,4.0,1.0,19.0,78.0,1.0,1.0,0.0,2.0,7.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,48.0,13.0,2.0,7.0,47.0,1.0,4.0,456.0,20.0,13.0,14.0,2.0,10.0,1.0,200.0,4.0,20.0,9.0,44.0,12.0,2.0,5.0,17.0,4.0,2.0,19.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442010,2012-08-25 17:30:00,"Stamford Bridge, London",41718,Home,Chelsea,Newcastle United,2,0,W,2,0,0,0,1.0,56.0,,,33.0,22.0,7.0,2.0,2.0,151.0,,3.0,6.0,2.0,5.0,7.0,6.0,140.0,121.0,53.0,12.0,9.0,2.0,,1.0,,,13.0,13.0,17.0,1.0,10.0,31.0,,239.0,1.0,1.0,1.0,0.0,156.0,8.0,1.0,,,,,,76.0,66.0,5.0,95.0,,12.0,4.0,4.0,116.0,,8.0,127.0,667.0,6.0,10.0,1.0,10.0,28.0,7.0,17.0,1.0,1.0,2.0,2.0,13.0,53.0,,,2.0,8442,5.0,204.0,,8.0,,214.0,2.0,11.0,46.0,1.0,,1.0,2.0,1.0,7.0,3.0,8.0,1.0,54.0,440.0,11.0,11.0,,21.0,76.0,,,0.0,4.0,3.0,3.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,52.5,13.0,5.0,2.0,49.0,2.0,,513.0,8.0,12.0,16.0,5.0,20.0,1.0,312.0,9.0,10.0,19.0,113.0,18.0,4.0,13.0,17.0,9.0,2.0,12.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442019,2012-08-22 19:45:00,"Stamford Bridge, London",41733,Home,Chelsea,Reading,4,2,W,1,2,0,0,3.0,71.0,,1.0,44.0,28.0,11.0,9.0,1.0,208.0,2.0,5.0,12.0,4.0,4.0,22.0,6.0,175.0,131.0,66.0,27.0,12.0,1.0,1.0,3.0,1.0,5.0,20.0,11.0,17.0,1.0,19.0,39.0,,326.0,1.0,,1.0,0.0,192.0,13.0,,3.0,1.0,2.0,2.0,2.0,84.0,73.0,10.0,103.0,1.0,19.0,4.0,5.0,120.0,3.0,3.0,165.0,856.0,18.0,4.0,,22.0,33.0,6.0,20.0,3.0,0.0,1.0,12.0,27.0,64.0,,1.0,,8442,11.0,258.0,1.0,13.0,1.0,274.0,4.0,5.0,37.0,,2.0,,6.0,3.0,18.0,4.0,2.0,1.0,63.0,579.0,13.0,3.0,1.0,17.0,88.0,1.0,2.0,0.0,,5.0,1.0,3.0,1.0,0.0,5.0,2.0,2.0,3.0,71.6,25.0,,6.0,65.0,1.0,2.0,651.0,18.0,7.0,26.0,15.0,20.0,10.0,397.0,15.0,18.0,28.0,155.0,28.0,3.0,11.0,13.0,24.0,3.0,15.0,3.0,1.0,1.0,2.0,,4.0,,,1.0,3.0,,2.0,4.0,,6.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442035,2012-09-15 15:00:00,"MATRADE Loftus Road, London",18271,Away,Chelsea,Queens Park Rangers,0,0,D,0,0,0,0,,57.0,,,35.0,19.0,6.0,2.0,2.0,159.0,,3.0,5.0,,3.0,8.0,4.0,90.0,176.0,55.0,12.0,15.0,2.0,1.0,,,,19.0,18.0,11.0,4.0,7.0,35.0,,179.0,,1.0,,0.0,147.0,18.0,1.0,1.0,,,1.0,,54.0,62.0,4.0,68.0,,15.0,3.0,1.0,168.0,2.0,7.0,84.0,602.0,6.0,7.0,,12.0,25.0,4.0,14.0,,2.0,3.0,4.0,26.0,70.0,,,2.0,78056,3.0,134.0,2.0,11.0,,155.0,,8.0,69.0,,,1.0,3.0,,14.0,5.0,1.0,,62.0,310.0,17.0,4.0,2.0,25.0,77.0,1.0,,0.0,5.0,2.0,3.0,,2.0,0.0,2.0,,2.0,2.0,47.3,25.0,3.0,3.0,33.0,4.0,,401.0,8.0,19.0,23.0,4.0,16.0,3.0,265.0,8.0,7.0,11.0,100.0,20.0,1.0,8.0,22.0,7.0,2.0,19.0,1.0,4.0,2.0,,2.0,3.0,3.0,,2.0,1.0,2.0,,3.0,1.0,4.0,,,,1.0,1.0,1.0,2.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442039,2012-09-22 15:00:00,"Stamford Bridge, London",41112,Home,Chelsea,Stoke City,1,0,W,0,0,0,0,1.0,59.0,,1.0,29.0,16.0,12.0,6.0,2.0,168.0,1.0,2.0,6.0,1.0,5.0,17.0,4.0,133.0,157.0,51.0,19.0,17.0,1.0,,1.0,,1.0,28.0,16.0,11.0,10.0,8.0,23.0,,259.0,1.0,1.0,,0.0,222.0,14.0,1.0,,,1.0,3.0,,56.0,67.0,10.0,57.0,1.0,18.0,3.0,4.0,152.0,2.0,7.0,108.0,652.0,15.0,4.0,,12.0,20.0,2.0,12.0,1.0,2.0,4.0,7.0,16.0,67.0,1.0,,,78056,5.0,130.0,1.0,12.0,,139.0,,12.0,53.0,1.0,1.0,2.0,2.0,1.0,14.0,6.0,4.0,,52.0,387.0,16.0,3.0,1.0,20.0,65.0,,1.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,,1.0,59.7,16.0,6.0,2.0,36.0,13.0,,466.0,10.0,13.0,13.0,7.0,28.0,3.0,355.0,11.0,7.0,11.0,171.0,29.0,,8.0,18.0,15.0,3.0,13.0,,13.0,1.0,,1.0,6.0,1.0,,2.0,1.0,1.0,2.0,2.0,1.0,8.0,,,,,2.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442049,2012-09-29 12:45:00,"Emirates Stadium, London",60101,Away,Chelsea,Arsenal,2,1,W,1,1,0,0,,59.0,,1.0,31.0,28.0,7.0,3.0,1.0,172.0,,3.0,14.0,2.0,5.0,5.0,3.0,129.0,137.0,70.0,10.0,15.0,,,,,1.0,15.0,23.0,20.0,3.0,6.0,28.0,,192.0,1.0,,,0.0,135.0,14.0,,,,1.0,2.0,1.0,52.0,72.0,2.0,79.0,2.0,12.0,2.0,3.0,137.0,,8.0,90.0,676.0,4.0,6.0,,11.0,26.0,12.0,15.0,1.0,3.0,3.0,3.0,15.0,51.0,,1.0,1.0,78056,,204.0,1.0,8.0,1.0,226.0,1.0,11.0,72.0,1.0,,3.0,4.0,,13.0,8.0,8.0,,64.0,393.0,14.0,14.0,,23.0,76.0,,1.0,0.0,,6.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,48.6,13.0,5.0,4.0,48.0,5.0,1.0,470.0,9.0,23.0,11.0,5.0,22.0,2.0,259.0,6.0,6.0,16.0,102.0,21.0,6.0,11.0,26.0,5.0,3.0,21.0,6.0,5.0,,1.0,3.0,2.0,,,1.0,2.0,3.0,,1.0,,2.0,,2.0,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,3.0,7.0,15.0,375.0,445.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442059,2012-10-06 15:00:00,"Stamford Bridge, London",41784,Home,Chelsea,Norwich City,4,1,W,3,1,0,0,2.0,59.0,2.0,,41.0,15.0,8.0,5.0,4.0,203.0,,7.0,6.0,4.0,1.0,19.0,9.0,199.0,129.0,28.0,23.0,11.0,3.0,1.0,3.0,1.0,3.0,31.0,10.0,9.0,6.0,17.0,45.0,1.0,388.0,1.0,,,0.0,248.0,7.0,,2.0,1.0,,1.0,1.0,103.0,79.0,14.0,126.0,,25.0,7.0,3.0,123.0,5.0,6.0,203.0,899.0,16.0,2.0,,7.0,24.0,,8.0,3.0,0.0,1.0,5.0,15.0,71.0,3.0,1.0,,78056,11.0,284.0,3.0,17.0,1.0,296.0,3.0,6.0,42.0,3.0,1.0,2.0,7.0,4.0,13.0,2.0,5.0,,50.0,665.0,2.0,7.0,,3.0,70.0,1.0,2.0,0.0,,2.0,1.0,4.0,1.0,0.0,7.0,3.0,,3.0,68.9,15.0,3.0,7.0,60.0,10.0,1.0,731.0,5.0,10.0,29.0,5.0,23.0,2.0,466.0,15.0,16.0,9.0,201.0,25.0,1.0,3.0,11.0,21.0,3.0,13.0,1.0,10.0,1.0,2.0,,3.0,4.0,,2.0,1.0,,,,1.0,9.0,,2.0,,,6.0,,,,,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,442076,2012-10-20 12:45:00,"White Hart Lane, London",36060,Away,Chelsea,Tottenham Hotspur,4,2,W,1,0,0,0,2.0,65.0,2.0,4.0,35.0,37.0,4.0,6.0,1.0,185.0,,3.0,4.0,4.0,,5.0,7.0,115.0,163.0,48.0,10.0,12.0,1.0,,2.0,,1.0,21.0,17.0,22.0,4.0,9.0,28.0,,194.0,,,,0.0,139.0,9.0,4.0,1.0,,2.0,,,56.0,71.0,4.0,77.0,1.0,17.0,2.0,1.0,148.0,2.0,14.0,116.0,709.0,3.0,5.0,,11.0,23.0,3.0,21.0,2.0,2.0,7.0,1.0,20.0,69.0,2.0,,,78056,3.0,226.0,1.0,15.0,,241.0,1.0,9.0,49.0,4.0,1.0,5.0,6.0,3.0,14.0,12.0,6.0,,54.0,417.0,7.0,8.0,,17.0,80.0,,1.0,0.0,4.0,7.0,4.0,3.0,1.0,0.0,3.0,2.0,,,57.8,13.0,2.0,6.0,52.0,4.0,,493.0,8.0,12.0,20.0,3.0,19.0,2.0,273.0,4.0,9.0,17.0,97.0,30.0,2.0,12.0,20.0,9.0,2.0,13.0,2.0,4.0,2.0,1.0,,,,,2.0,1.0,,,1.0,,,,3.0,,,,1.0,,1.0,1.0,2.0,,1.0,2.0,,,,,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,442081,2012-10-28 16:00:00,"Stamford Bridge, London",41644,Home,Chelsea,Manchester United,2,3,L,1,2,2,0,,45.0,1.0,2.0,21.0,13.0,7.0,3.0,3.0,144.0,,7.0,4.0,2.0,6.0,12.0,8.0,107.0,148.0,46.0,15.0,9.0,4.0,,1.0,,1.0,25.0,16.0,10.0,7.0,5.0,39.0,,203.0,,,,0.0,138.0,14.0,1.0,,1.0,3.0,2.0,3.0,52.0,66.0,9.0,61.0,1.0,18.0,3.0,2.0,145.0,4.0,12.0,109.0,618.0,9.0,3.0,2.0,13.0,16.0,3.0,7.0,1.0,1.0,2.0,3.0,29.0,68.0,,,1.0,78056,6.0,149.0,4.0,13.0,,166.0,,7.0,55.0,1.0,,1.0,10.0,1.0,13.0,4.0,3.0,,44.0,345.0,11.0,7.0,2.0,16.0,63.0,,1.0,0.0,1.0,6.0,1.0,1.0,1.0,2.0,5.0,1.0,,3.0,48.7,23.0,5.0,10.0,35.0,8.0,3.0,421.0,9.0,15.0,19.0,3.0,22.0,1.0,280.0,9.0,4.0,10.0,91.0,14.0,5.0,4.0,21.0,9.0,3.0,15.0,5.0,8.0,1.0,1.0,3.0,3.0,2.0,,2.0,1.0,3.0,,1.0,,4.0,,1.0,,,1.0,1.0,,1.0,,3.0,,1.0,3.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,442095,2012-11-03 15:00:00,"Swansea.com Stadium, Swansea",20527,Away,Chelsea,Swansea City,1,1,D,0,0,0,0,,46.0,,1.0,31.0,21.0,5.0,1.0,2.0,155.0,,3.0,3.0,1.0,4.0,6.0,5.0,116.0,127.0,47.0,11.0,5.0,2.0,,,,,18.0,12.0,13.0,6.0,8.0,22.0,,219.0,,,,0.0,125.0,10.0,,,,1.0,,1.0,48.0,52.0,5.0,64.0,3.0,12.0,1.0,1.0,119.0,,4.0,107.0,611.0,3.0,5.0,2.0,11.0,14.0,8.0,10.0,1.0,1.0,4.0,1.0,17.0,55.0,,,,78056,3.0,165.0,,11.0,,180.0,,6.0,37.0,2.0,,2.0,6.0,,15.0,6.0,3.0,,46.0,381.0,12.0,4.0,2.0,17.0,62.0,,,0.0,2.0,8.0,,1.0,2.0,0.0,1.0,,,4.0,47.8,15.0,4.0,6.0,43.0,6.0,1.0,442.0,9.0,11.0,12.0,2.0,13.0,1.0,280.0,5.0,8.0,10.0,98.0,20.0,3.0,6.0,22.0,5.0,3.0,11.0,3.0,6.0,,,2.0,2.0,1.0,,2.0,,2.0,,2.0,1.0,4.0,,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
