gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,penaltySave,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,handBall,attLfTarget,attRfTarget,attIboxTarget,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,attIboxPost,attOboxTarget,attMissHighRight,attSvHighLeft,attSvLowLeft,attHdPost,attHdTarget,hitWoodwork,totalKeeperSweeper,accurateFreekickCross,bigChanceMissed,attSvLowRight,attCmissLeft,attPostHigh,accurateFlickOn,attHdTotal,attHdMiss,attBxLeft,accurateCornersIntobox,bigChanceScored,attGoalLowLeft,attCmissRight,attBxRight,interceptionsInBox,bigChanceCreated,overrun,shieldBallOop,attHdGoal,goalsConcededObox,attemptsIbox,saves,attLfGoal,attemptsObox,attGoalHighCentre,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateThroughBall,totalPullBack,ownGoals,defenderGoals,attCorner,attIboxOwnGoal,attGoalLowCentre,attFreekickTotal,attGoalHighRight,penaltyWon,freekickTotal,attObxdRight,attLgCentre,attMissHigh,attPenGoal,attFreekickMiss,goalAssistSetplay,goalAssistDeadball,attOneOnOne,attSvHighCentre,accuratePullBack,attPostRight,attObxLeft,attCmissHigh,clearanceOffLine,penGoalsConceded,sixYardBlock,cleanSheet,attFreekickPost,attPostLeft,attFreekickTarget,attOboxPost,attObxRight,attGoalHighLeft,attSvHighRight,ptsDroppedWinningPos,attCmissHighLeft,attFreekickGoal,attCmissHighRight,foulThrowIn
1,442002,2012-08-19 16:00:00,"Etihad Stadium, Manchester",46190,Away,Southampton,Manchester City,2,3,L,0,1,0,0,1.0,49.0,2.0,2.0,2.0,13.0,31.0,5.0,1.0,123.0,2.0,1.0,2.0,2.0,6.0,2.0,96.0,129.0,37.0,10.0,3.0,8.0,1.0,1.0,1.0,1.0,13.0,14.0,13.0,2.0,20.0,21.0,169.0,1.0,0.0,108.0,7.0,3.0,2.0,1.0,1.0,1.0,81.0,33.0,4.0,66.0,1.0,11.0,4.0,1.0,111.0,2.0,16.0,89.0,569.0,4.0,1.0,18.0,21.0,1.0,5.0,15.0,1.0,2.0,7.0,2.0,17.0,36.0,2.0,57328,5.0,142.0,6.0,1.0,1.0,168.0,2.0,9.0,38.0,1.0,1.0,7.0,2.0,12.0,7.0,7.0,29.0,309.0,3.0,4.0,1.0,20.0,47.0,1.0,1.0,0.0,7.0,3.0,1.0,3.0,0.0,2.0,1.0,35.9,16.0,3.0,7.0,5.0,29.0,3.0,1.0,1.0,374.0,15.0,9.0,10.0,3.0,10.0,2.0,219.0,9.0,15.0,7.0,83.0,15.0,1.0,1.0,6.0,26.0,3.0,8.0,3.0,11.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442014,2012-08-25 15:00:00,"St. Mary's Stadium, Southampton",29604,Home,Southampton,Wigan Athletic,0,2,L,0,0,0,0,,56.0,,2.0,2.0,22.0,21.0,6.0,4.0,153.0,10.0,4.0,,2.0,12.0,6.0,108.0,135.0,36.0,16.0,2.0,10.0,,,,2.0,33.0,11.0,13.0,9.0,18.0,29.0,192.0,,0.0,127.0,11.0,1.0,,,3.0,,44.0,58.0,8.0,75.0,2.0,24.0,11.0,1.0,127.0,,7.0,115.0,653.0,11.0,6.0,22.0,21.0,,11.0,10.0,,0.0,4.0,4.0,25.0,70.0,,57328,8.0,201.0,10.0,1.0,,212.0,,6.0,53.0,4.0,,5.0,,9.0,6.0,6.0,46.0,383.0,9.0,6.0,1.0,31.0,67.0,,1.0,0.0,3.0,,,2.0,0.0,9.0,,49.2,25.0,2.0,5.0,4.0,42.0,10.0,,,451.0,16.0,17.0,20.0,6.0,25.0,4.0,272.0,7.0,14.0,11.0,92.0,27.0,,,6.0,12.0,2.0,9.0,2.0,14.0,1.0,,10.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442023,2012-09-02 16:00:00,"St. Mary's Stadium, Southampton",31609,Home,Southampton,Manchester United,2,3,L,1,1,0,0,1.0,61.0,1.0,1.0,1.0,24.0,27.0,9.0,7.0,161.0,4.0,3.0,2.0,1.0,12.0,4.0,120.0,142.0,35.0,15.0,3.0,11.0,,2.0,,2.0,15.0,18.0,15.0,4.0,29.0,31.0,211.0,,0.0,135.0,8.0,4.0,,1.0,,2.0,50.0,62.0,7.0,98.0,2.0,11.0,4.0,5.0,130.0,,11.0,108.0,680.0,9.0,5.0,23.0,26.0,3.0,14.0,11.0,2.0,1.0,4.0,5.0,19.0,71.0,1.0,98777,3.0,195.0,7.0,,1.0,209.0,,12.0,39.0,4.0,2.0,2.0,2.0,8.0,9.0,8.0,48.0,402.0,4.0,4.0,1.0,38.0,89.0,,,0.0,7.0,3.0,2.0,3.0,0.0,3.0,2.0,45.1,18.0,2.0,2.0,4.0,51.0,4.0,1.0,2.0,487.0,20.0,10.0,18.0,7.0,24.0,2.0,293.0,6.0,25.0,7.0,91.0,30.0,1.0,4.0,4.0,21.0,3.0,12.0,3.0,9.0,,4.0,4.0,,,2.0,1.0,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442029,2012-09-15 15:00:00,"Emirates Stadium, London",60097,Away,Southampton,Arsenal,1,6,L,1,4,0,0,,44.0,,1.0,1.0,33.0,29.0,5.0,6.0,185.0,1.0,3.0,1.0,1.0,5.0,3.0,136.0,120.0,39.0,10.0,1.0,10.0,,,,1.0,12.0,20.0,9.0,3.0,19.0,33.0,222.0,,0.0,134.0,7.0,5.0,,,,,54.0,75.0,2.0,107.0,3.0,9.0,5.0,4.0,120.0,,17.0,157.0,761.0,5.0,3.0,16.0,18.0,1.0,5.0,7.0,,0.0,6.0,3.0,16.0,56.0,1.0,80447,2.0,282.0,4.0,,,297.0,,11.0,48.0,5.0,,5.0,1.0,6.0,8.0,10.0,48.0,503.0,3.0,10.0,,22.0,66.0,,,0.0,8.0,4.0,1.0,6.0,0.0,1.0,,50.0,16.0,3.0,5.0,2.0,44.0,3.0,,1.0,585.0,11.0,16.0,21.0,5.0,18.0,1.0,300.0,4.0,19.0,6.0,87.0,18.0,,3.0,1.0,27.0,5.0,8.0,3.0,8.0,1.0,3.0,3.0,,1.0,1.0,2.0,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,,2.0,2.0,,1.0,,,,1.0,5.0,5.0,1.0,5.0,1.0,16.0,489.0,570.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442043,2012-09-22 15:00:00,"St. Mary's Stadium, Southampton",30713,Home,Southampton,Aston Villa,4,1,W,0,1,0,0,,66.0,,,,36.0,39.0,5.0,7.0,205.0,7.0,10.0,4.0,4.0,14.0,7.0,117.0,194.0,75.0,16.0,,19.0,1.0,3.0,,1.0,21.0,21.0,21.0,1.0,15.0,45.0,243.0,,0.0,174.0,6.0,1.0,1.0,1.0,4.0,3.0,70.0,69.0,6.0,62.0,4.0,20.0,8.0,7.0,176.0,,8.0,108.0,734.0,10.0,14.0,21.0,27.0,1.0,9.0,20.0,3.0,1.0,2.0,8.0,25.0,80.0,1.0,80447,4.0,139.0,8.0,,,164.0,4.0,12.0,48.0,9.0,5.0,4.0,3.0,13.0,3.0,10.0,58.0,375.0,14.0,3.0,1.0,29.0,105.0,1.0,,0.0,4.0,1.0,4.0,1.0,0.0,7.0,3.0,60.4,21.0,2.0,4.0,,63.0,1.0,,3.0,492.0,17.0,12.0,31.0,9.0,32.0,2.0,349.0,9.0,14.0,26.0,116.0,27.0,2.0,2.0,9.0,25.0,1.0,14.0,3.0,18.0,,2.0,1.0,,2.0,1.0,3.0,,2.0,1.0,,,2.0,,2.0,,,,2.0,1.0,,,,,8.0,,,2.0,,2.0,2.0,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,3.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6,442051,2012-09-29 15:00:00,"Goodison Park, Liverpool",37922,Away,Southampton,Everton,1,3,L,1,3,0,0,,61.0,1.0,2.0,,23.0,33.0,4.0,3.0,182.0,6.0,5.0,1.0,,9.0,5.0,109.0,162.0,48.0,10.0,,7.0,,,,2.0,21.0,19.0,20.0,3.0,21.0,42.0,197.0,,0.0,137.0,7.0,3.0,,1.0,,,55.0,58.0,5.0,61.0,1.0,18.0,10.0,2.0,149.0,,15.0,89.0,652.0,8.0,9.0,14.0,30.0,2.0,6.0,20.0,1.0,0.0,5.0,4.0,24.0,70.0,,80447,4.0,155.0,8.0,,,182.0,,12.0,36.0,9.0,2.0,7.0,,13.0,7.0,7.0,44.0,346.0,3.0,7.0,,20.0,98.0,,,0.0,10.0,3.0,1.0,3.0,0.0,4.0,1.0,47.6,21.0,1.0,7.0,,63.0,3.0,,,441.0,13.0,14.0,19.0,5.0,25.0,3.0,280.0,3.0,18.0,14.0,88.0,20.0,,1.0,10.0,26.0,3.0,8.0,3.0,7.0,,1.0,3.0,1.0,1.0,1.0,2.0,,,1.0,,2.0,,1.0,1.0,,2.0,,,,2.0,,1.0,,4.0,4.0,1.0,,2.0,1.0,,,1.0,1.0,3.0,,1.0,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
7,442063,2012-10-07 13:30:00,"St. Mary's Stadium, Southampton",28004,Home,Southampton,Fulham,2,2,D,1,0,0,0,,51.0,1.0,,1.0,19.0,43.0,5.0,3.0,146.0,8.0,2.0,2.0,2.0,12.0,4.0,85.0,168.0,46.0,14.0,3.0,12.0,,,,1.0,26.0,15.0,20.0,8.0,12.0,31.0,180.0,,0.0,132.0,14.0,1.0,,,3.0,1.0,52.0,63.0,7.0,59.0,2.0,18.0,6.0,1.0,145.0,,11.0,75.0,573.0,8.0,13.0,17.0,16.0,,7.0,18.0,2.0,4.0,4.0,5.0,22.0,69.0,2.0,80447,4.0,99.0,9.0,2.0,,110.0,,9.0,41.0,4.0,,1.0,,9.0,3.0,2.0,40.0,271.0,7.0,4.0,2.0,27.0,82.0,,1.0,0.0,8.0,2.0,2.0,2.0,0.0,5.0,2.0,41.9,18.0,7.0,1.0,4.0,32.0,8.0,,1.0,365.0,12.0,7.0,12.0,6.0,21.0,4.0,281.0,6.0,10.0,15.0,80.0,21.0,,5.0,7.0,22.0,2.0,9.0,3.0,7.0,,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,,,1.0,1.0,2.0,1.0,,1.0,,4.0,4.0,2.0,,3.0,,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,,,2.0,2.0,1.0,2.0,,1.0,,,,,,,,2.0,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
8,442078,2012-10-20 15:00:00,"Boleyn Ground, London",34925,Away,Southampton,West Ham United,1,4,L,0,0,0,0,,61.0,,,1.0,21.0,28.0,4.0,,195.0,4.0,3.0,1.0,3.0,7.0,2.0,105.0,164.0,50.0,11.0,,16.0,,1.0,,4.0,22.0,15.0,19.0,3.0,18.0,40.0,175.0,,0.0,114.0,13.0,1.0,,1.0,1.0,1.0,47.0,50.0,1.0,70.0,1.0,19.0,5.0,5.0,155.0,,8.0,102.0,667.0,5.0,2.0,11.0,22.0,,12.0,17.0,1.0,2.0,4.0,6.0,26.0,55.0,1.0,80447,4.0,213.0,13.0,,1.0,235.0,1.0,3.0,54.0,8.0,6.0,6.0,1.0,11.0,3.0,2.0,43.0,384.0,11.0,3.0,1.0,35.0,83.0,,1.0,0.0,6.0,2.0,1.0,4.0,0.0,3.0,1.0,61.3,21.0,3.0,6.0,1.0,50.0,3.0,1.0,1.0,472.0,8.0,19.0,23.0,8.0,17.0,3.0,259.0,8.0,17.0,18.0,76.0,30.0,,4.0,10.0,18.0,3.0,8.0,3.0,8.0,,4.0,3.0,2.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,3.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,2.0,,,2.0,,,2.0,,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,442086,2012-10-28 15:00:00,"St. Mary's Stadium, Southampton",31944,Home,Southampton,Tottenham Hotspur,1,2,L,0,2,0,0,,48.0,,1.0,3.0,28.0,14.0,7.0,6.0,149.0,7.0,3.0,1.0,2.0,10.0,2.0,119.0,148.0,48.0,15.0,4.0,18.0,,,,4.0,26.0,17.0,9.0,2.0,17.0,32.0,232.0,,0.0,170.0,15.0,1.0,,,3.0,1.0,72.0,71.0,6.0,69.0,1.0,24.0,9.0,3.0,143.0,,10.0,136.0,659.0,8.0,8.0,15.0,13.0,,10.0,6.0,,0.0,2.0,4.0,25.0,84.0,1.0,80447,4.0,161.0,12.0,2.0,,174.0,1.0,9.0,54.0,4.0,3.0,7.0,,17.0,2.0,9.0,47.0,386.0,9.0,7.0,2.0,30.0,74.0,,,0.0,3.0,1.0,1.0,2.0,0.0,6.0,,52.3,23.0,3.0,7.0,7.0,44.0,2.0,,1.0,473.0,9.0,10.0,17.0,6.0,31.0,3.0,325.0,6.0,17.0,17.0,116.0,23.0,1.0,1.0,1.0,19.0,2.0,11.0,3.0,8.0,2.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,4.0,2.0,2.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,
10,442097,2012-11-05 20:00:00,"The Hawthorns, West Bromwich",25635,Away,Southampton,West Bromwich Albion,0,2,L,0,1,0,0,,60.0,,,,20.0,21.0,4.0,2.0,164.0,6.0,2.0,,3.0,7.0,3.0,116.0,154.0,51.0,10.0,2.0,19.0,,,,1.0,25.0,16.0,14.0,5.0,14.0,35.0,199.0,,0.0,130.0,11.0,1.0,,,1.0,,84.0,58.0,3.0,79.0,2.0,20.0,7.0,2.0,147.0,1.0,10.0,142.0,701.0,6.0,4.0,15.0,27.0,1.0,6.0,5.0,,0.0,4.0,4.0,24.0,70.0,,80447,5.0,220.0,12.0,,,236.0,,9.0,55.0,4.0,3.0,4.0,,14.0,7.0,8.0,50.0,413.0,7.0,4.0,1.0,27.0,102.0,,,0.0,8.0,1.0,,2.0,0.0,3.0,,56.5,24.0,1.0,4.0,2.0,62.0,6.0,,1.0,501.0,11.0,12.0,16.0,5.0,21.0,2.0,290.0,5.0,12.0,19.0,81.0,27.0,,2.0,1.0,23.0,1.0,7.0,3.0,11.0,,2.0,6.0,,,2.0,3.0,1.0,2.0,2.0,1.0,,,,1.0,,1.0,1.0,2.0,,1.0,,,1.0,1.0,3.0,2.0,,3.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
