gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,savedIbox,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,wonCorners,attIboxTarget,attObxLeft,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,interceptionsInBox,totalKeeperSweeper,errorLeadToShot,attSetpiece,attAssistSetplay,attCorner,attFastbreak,accurateFlickOn,attBxLeft,effectiveBlockedCross,blockedCross,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,goalAssistOpenplay,goalFastbreak,attOneOnOne,midfielderGoals,freekickCross,goalAssist,goalsOpenplay,attSvLowRight,punches,lostCorners,attIboxGoal,goalAssistIntentional,forwardGoals,handBall,bigChanceScored,attGoalLowCentre,postScoringAtt,attIboxPost,attOboxGoal,attSvHighLeft,attGoalHighCentre,subsGoals,attHdTarget,hitWoodwork,accurateFreekickCross,attRfGoal,attFreekickGoal,goalsConceded,attCmissHighRight,attPostRight,goalsConcededIbox,errorLeadToGoal,attGoalHighRight,ptsGainedLosingPos,defenderGoals,attFreekickTarget,goalsConcededObox,attSvHighRight,contentiousDecision,attGoalHighLeft,shieldBallOop,attHdPost,attObxdLeft,attPostHigh,secondYellow,attPostLeft,penaltyConceded,penaltyFaced,goalAssistSetplay,goalAssistDeadball,attPenTarget,penaltyWon,attCmissHighLeft,foulThrowIn,penGoalsConceded,attHdGoal,ptsDroppedWinningPos,attPenGoal,clearanceOffLine,penaltySave,attOboxPost
1,441999,2012-08-18 15:00:00,"Emirates Stadium, London",60078,Home,Arsenal,Sunderland,0,0,D,0,0,0,0,1.0,65.0,1.0,5.0,31.0,7.0,12.0,8.0,11.0,2.0,2.0,190.0,6.0,23.0,3.0,18.0,1.0,2.0,3.0,215.0,127.0,59.0,2.0,23.0,5.0,14.0,1.0,2.0,25.0,12.0,3.0,6.0,7.0,25.0,29.0,389.0,2.0,1.0,0.0,202.0,12.0,1.0,1.0,2.0,1.0,83.0,93.0,12.0,88.0,3.0,18.0,12.0,2.0,6.0,4.0,127.0,2.0,2.0,211.0,908.0,18.0,1.0,38.0,22.0,631.0,24.0,1.0,2.0,5.0,0.0,1.0,6.0,22.0,696.0,85.0,1.0,8758,9.0,255.0,2.0,12.0,1.0,264.0,1.0,1.0,58.0,1.0,6.0,2.0,2.0,10.0,2.0,1.0,2.0,40.0,638.0,8.0,4.0,7.0,79.0,2.0,0.0,2.0,1.0,0.0,5.0,2.0,70.1,22.0,1.0,5.0,1.0,2.0,10.0,67.0,7.0,1.0,704.0,13.0,2.0,14.0,19.0,10.0,35.0,1.0,6.0,465.0,13.0,23.0,12.0,162.0,34.0,4.0,16.0,21.0,3.0,37.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442015,2012-08-26 13:30:00,"bet365 Stadium, Stoke",27072,Away,Arsenal,Stoke City,0,0,D,0,0,0,0,,55.0,1.0,1.0,35.0,31.0,8.0,7.0,8.0,1.0,2.0,196.0,4.0,13.0,5.0,11.0,,,2.0,133.0,168.0,80.0,2.0,17.0,3.0,41.0,1.0,1.0,28.0,21.0,1.0,16.0,11.0,36.0,33.0,260.0,1.0,1.0,0.0,161.0,9.0,,1.0,1.0,3.0,52.0,80.0,4.0,77.0,5.0,17.0,9.0,2.0,3.0,5.0,168.0,,3.0,119.0,759.0,7.0,8.0,26.0,12.0,414.0,22.0,2.0,4.0,19.0,0.0,1.0,7.0,28.0,508.0,71.0,2.0,98980,6.0,168.0,,14.0,,192.0,,8.0,80.0,1.0,4.0,1.0,8.0,10.0,3.0,4.0,2.0,62.0,424.0,10.0,2.0,20.0,83.0,,0.0,1.0,,0.0,,1.0,66.7,25.0,1.0,1.0,,8.0,4.0,50.0,11.0,3.0,525.0,10.0,,19.0,20.0,11.0,34.0,4.0,6.0,361.0,9.0,30.0,29.0,117.0,23.0,10.0,28.0,10.0,3.0,22.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442020,2012-09-02 13:30:00,"Anfield, Liverpool",44932,Away,Arsenal,Liverpool,2,0,W,1,0,0,0,3.0,56.0,2.0,,25.0,36.0,6.0,10.0,5.0,4.0,,169.0,3.0,9.0,2.0,10.0,,1.0,5.0,139.0,135.0,67.0,,11.0,2.0,10.0,,1.0,13.0,26.0,2.0,21.0,2.0,30.0,19.0,253.0,,1.0,0.0,130.0,7.0,2.0,6.0,,2.0,81.0,47.0,6.0,73.0,2.0,11.0,6.0,,1.0,2.0,135.0,2.0,12.0,124.0,730.0,7.0,9.0,12.0,20.0,404.0,27.0,,8.0,17.0,2.0,4.0,4.0,20.0,478.0,62.0,2.0,98980,3.0,172.0,2.0,8.0,,192.0,,14.0,53.0,,6.0,1.0,3.0,9.0,7.0,9.0,1.0,50.0,422.0,12.0,11.0,22.0,72.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,47.0,14.0,1.0,3.0,,3.0,2.0,50.0,2.0,3.0,505.0,16.0,,15.0,11.0,4.0,19.0,2.0,2.0,326.0,,25.0,14.0,87.0,20.0,8.0,32.0,10.0,3.0,19.0,2.0,1.0,,3.0,,1.0,2.0,,1.0,,1.0,1.0,3.0,,2.0,,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442029,2012-09-15 15:00:00,"Emirates Stadium, London",60097,Home,Arsenal,Southampton,6,1,W,4,1,0,0,3.0,50.0,,3.0,30.0,19.0,8.0,9.0,15.0,2.0,1.0,182.0,6.0,10.0,3.0,18.0,,1.0,9.0,157.0,125.0,48.0,1.0,23.0,3.0,6.0,2.0,1.0,25.0,14.0,1.0,8.0,4.0,42.0,23.0,299.0,2.0,,0.0,169.0,4.0,1.0,2.0,,,60.0,85.0,11.0,87.0,1.0,22.0,8.0,1.0,3.0,3.0,125.0,2.0,5.0,148.0,784.0,14.0,2.0,45.0,19.0,491.0,21.0,,2.0,11.0,0.0,2.0,7.0,22.0,557.0,61.0,2.0,8758,7.0,213.0,1.0,17.0,1.0,236.0,3.0,7.0,39.0,,7.0,,4.0,9.0,5.0,6.0,3.0,47.0,506.0,7.0,3.0,16.0,73.0,,0.0,,2.0,0.0,6.0,4.0,50.0,20.0,2.0,1.0,,4.0,6.0,54.0,8.0,1.0,574.0,12.0,,15.0,15.0,8.0,42.0,1.0,4.0,363.0,10.0,41.0,10.0,139.0,23.0,4.0,21.0,16.0,3.0,22.0,8.0,4.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,,1.0,1.0,1.0,3.0,6.0,2.0,,,,2.0,2.0,3.0,1.0,1.0,3.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442041,2012-09-23 16:00:00,"Etihad Stadium, Manchester",47318,Away,Arsenal,Manchester City,1,1,D,0,1,0,0,1.0,55.0,1.0,1.0,33.0,27.0,6.0,2.0,5.0,5.0,2.0,202.0,2.0,12.0,2.0,8.0,1.0,,4.0,166.0,147.0,63.0,1.0,11.0,1.0,17.0,1.0,1.0,17.0,19.0,3.0,10.0,4.0,34.0,32.0,323.0,2.0,,0.0,180.0,8.0,3.0,2.0,2.0,,88.0,95.0,3.0,116.0,1.0,13.0,6.0,1.0,3.0,2.0,147.0,1.0,9.0,166.0,880.0,7.0,9.0,24.0,25.0,552.0,23.0,,5.0,16.0,0.0,4.0,4.0,24.0,628.0,68.0,2.0,98980,3.0,245.0,1.0,9.0,,267.0,1.0,12.0,69.0,,4.0,1.0,3.0,6.0,6.0,5.0,1.0,57.0,566.0,11.0,6.0,19.0,86.0,1.0,0.0,1.0,4.0,0.0,1.0,,58.8,22.0,,6.0,,3.0,2.0,58.0,4.0,,650.0,20.0,,20.0,22.0,5.0,28.0,1.0,3.0,400.0,9.0,33.0,17.0,144.0,23.0,6.0,23.0,9.0,3.0,30.0,4.0,,,1.0,,,3.0,,3.0,,,1.0,1.0,1.0,1.0,1.0,4.0,,,,1.0,,,,,1.0,,,1.0,,9.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,442049,2012-09-29 12:45:00,"Emirates Stadium, London",60101,Home,Arsenal,Chelsea,1,2,L,1,1,0,0,1.0,62.0,1.0,1.0,26.0,19.0,8.0,8.0,8.0,1.0,1.0,159.0,6.0,14.0,4.0,14.0,,,4.0,134.0,130.0,72.0,,16.0,2.0,16.0,2.0,3.0,35.0,23.0,1.0,11.0,6.0,19.0,21.0,259.0,2.0,,0.0,163.0,14.0,,,,,71.0,97.0,6.0,69.0,1.0,29.0,8.0,,2.0,5.0,130.0,1.0,3.0,116.0,703.0,13.0,7.0,34.0,19.0,403.0,25.0,2.0,3.0,11.0,2.0,2.0,8.0,21.0,458.0,46.0,1.0,98980,3.0,163.0,1.0,26.0,,176.0,2.0,8.0,70.0,,2.0,4.0,5.0,3.0,7.0,3.0,1.0,37.0,416.0,13.0,14.0,8.0,60.0,2.0,0.0,2.0,,0.0,5.0,1.0,51.4,17.0,,7.0,1.0,5.0,3.0,41.0,6.0,,478.0,11.0,,14.0,12.0,9.0,33.0,1.0,4.0,337.0,7.0,18.0,15.0,129.0,25.0,5.0,30.0,16.0,3.0,26.0,6.0,2.0,,,,,1.0,,1.0,,,,,2.0,3.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,5.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,442067,2012-10-06 17:30:00,"Boleyn Ground, London",34974,Away,Arsenal,West Ham United,3,1,W,1,1,0,0,3.0,60.0,1.0,4.0,39.0,27.0,9.0,11.0,12.0,2.0,,199.0,7.0,8.0,,19.0,,,7.0,160.0,136.0,59.0,,21.0,4.0,25.0,2.0,2.0,34.0,19.0,1.0,16.0,15.0,27.0,27.0,350.0,,,0.0,203.0,8.0,1.0,6.0,1.0,2.0,94.0,78.0,13.0,88.0,4.0,19.0,9.0,,3.0,3.0,136.0,3.0,8.0,164.0,811.0,15.0,9.0,31.0,9.0,516.0,25.0,,9.0,18.0,2.0,1.0,6.0,18.0,589.0,87.0,3.0,98980,6.0,189.0,1.0,16.0,,205.0,,5.0,56.0,,7.0,1.0,4.0,11.0,1.0,3.0,,59.0,532.0,12.0,9.0,23.0,79.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,68.7,16.0,1.0,1.0,,4.0,8.0,54.0,16.0,2.0,611.0,7.0,,9.0,16.0,6.0,47.0,3.0,3.0,440.0,8.0,24.0,18.0,156.0,24.0,11.0,21.0,17.0,3.0,14.0,16.0,3.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,4.0,3.0,4.0,2.0,2.0,3.0,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,,3.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,442072,2012-10-20 17:30:00,"Carrow Road, Norwich",26825,Away,Arsenal,Norwich City,0,1,L,0,1,0,0,1.0,49.0,1.0,1.0,41.0,23.0,7.0,3.0,7.0,2.0,1.0,187.0,4.0,7.0,2.0,14.0,,,5.0,191.0,155.0,45.0,1.0,14.0,2.0,14.0,1.0,3.0,25.0,9.0,2.0,17.0,9.0,32.0,31.0,354.0,,,0.0,201.0,10.0,1.0,,,,122.0,83.0,7.0,123.0,2.0,16.0,7.0,1.0,5.0,3.0,155.0,1.0,3.0,175.0,873.0,10.0,2.0,22.0,13.0,574.0,30.0,,5.0,14.0,0.0,,6.0,24.0,656.0,82.0,3.0,98980,4.0,238.0,1.0,11.0,,262.0,1.0,7.0,55.0,,9.0,4.0,2.0,12.0,4.0,1.0,1.0,63.0,588.0,11.0,5.0,22.0,73.0,,0.0,3.0,1.0,0.0,1.0,4.0,72.0,23.0,1.0,2.0,,2.0,3.0,48.0,10.0,,676.0,11.0,,14.0,19.0,6.0,35.0,3.0,3.0,439.0,7.0,27.0,13.0,160.0,15.0,11.0,14.0,10.0,3.0,19.0,10.0,3.0,,,,2.0,2.0,1.0,1.0,1.0,3.0,2.0,,,2.0,1.0,2.0,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,3.0,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,442079,2012-10-27 15:00:00,"Emirates Stadium, London",60103,Home,Arsenal,Queens Park Rangers,1,0,W,0,0,0,1,3.0,58.0,1.0,,29.0,14.0,8.0,8.0,12.0,2.0,3.0,187.0,10.0,13.0,4.0,14.0,,1.0,9.0,164.0,127.0,63.0,3.0,22.0,4.0,7.0,1.0,2.0,32.0,18.0,3.0,9.0,4.0,29.0,22.0,349.0,1.0,1.0,0.0,217.0,16.0,2.0,3.0,2.0,,104.0,102.0,6.0,83.0,2.0,28.0,10.0,3.0,8.0,3.0,127.0,2.0,3.0,169.0,817.0,13.0,11.0,35.0,18.0,520.0,20.0,,9.0,7.0,1.0,2.0,8.0,26.0,592.0,87.0,1.0,98980,4.0,189.0,3.0,19.0,,201.0,1.0,4.0,59.0,,7.0,1.0,5.0,6.0,3.0,2.0,2.0,45.0,528.0,9.0,17.0,14.0,79.0,2.0,0.0,1.0,1.0,0.0,8.0,5.0,66.5,25.0,1.0,6.0,,5.0,4.0,55.0,5.0,,603.0,10.0,,7.0,9.0,9.0,39.0,2.0,4.0,434.0,9.0,29.0,20.0,176.0,26.0,2.0,21.0,16.0,3.0,27.0,5.0,5.0,1.0,,,1.0,1.0,,,1.0,1.0,2.0,,2.0,3.0,1.0,3.0,,,1.0,1.0,,,,1.0,1.0,,1.0,5.0,1.0,2.0,1.0,,,2.0,1.0,1.0,2.0,2.0,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
10,442091,2012-11-03 12:45:00,"Old Trafford, Manchester",75492,Away,Arsenal,Manchester United,1,2,L,0,1,1,0,1.0,57.0,,1.0,39.0,29.0,2.0,4.0,5.0,4.0,,178.0,2.0,2.0,3.0,5.0,,,2.0,177.0,123.0,35.0,,7.0,1.0,14.0,1.0,,15.0,9.0,,16.0,1.0,10.0,21.0,206.0,1.0,,0.0,112.0,15.0,4.0,,,,58.0,78.0,3.0,73.0,1.0,14.0,2.0,,5.0,1.0,123.0,1.0,10.0,173.0,769.0,5.0,3.0,13.0,12.0,514.0,23.0,,8.0,18.0,2.0,2.0,2.0,17.0,583.0,49.0,1.0,98980,1.0,323.0,1.0,7.0,,336.0,,5.0,57.0,,3.0,1.0,6.0,10.0,4.0,3.0,,58.0,527.0,13.0,7.0,21.0,77.0,,0.0,2.0,4.0,1.0,2.0,,52.3,16.0,,2.0,,6.0,2.0,54.0,1.0,,601.0,9.0,,19.0,13.0,3.0,22.0,,1.0,280.0,3.0,10.0,10.0,81.0,24.0,12.0,10.0,7.0,2.0,5.0,1.0,1.0,,,,1.0,1.0,,2.0,,,,,1.0,1.0,5.0,5.0,,,,1.0,,,,1.0,2.0,,1.0,,,6.0,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,2.0,,,2.0,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
