gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attSvHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,attemptsIbox,saves,attRfTarget,attGoalLowCentre,attGoalHighRight,winningGoal,attSvLowLeft,interceptionsInBox,attMissRight,attemptsObox,attGoalHighCentre,keeperGoals,subsGoals,attLgCentre,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,successfulOpenPlayPass,openPlayPass,attSetpiece,ownGoals,defenderGoals,attObpGoal,attFreekickGoal,goalsConceded,attSvHighCentre,attFreekickMiss,attIboxMiss,goalsConcededIbox,ptsDroppedWinningPos,attBxRight,attMissLeft,offtargetAttAssist,attAssistSetplay,accurateFlickOn,shieldBallOop,errorLeadToGoal,shotFastbreak,postScoringAtt,attIboxPost,totalFastbreak,attHdPost,errorLeadToShot,attFastbreak,attCmissLeft,attPostHigh,attHdMiss,attMissHighRight,contentiousDecision,accuratePullBack,attCmissRight,sixYardBlock,handBall,attSvHighLeft,clearanceOffLine,penaltySave,ptsGainedLosingPos,penaltyConceded,attCorner,penaltyFaced,attCmissHighRight,attPostLeft,attOboxPost,penGoalsConceded,attObxLeft,goalFastbreak,attCmissHighLeft,attPostRight
1,442001,2012-08-18 15:00:00,"Craven Cottage, London",25062,Home,Fulham,Norwich City,5,0,W,2,0,0,0,4.0,3.0,55.0,2.0,1.0,1.0,2.0,1.0,1.0,40.0,28.0,7.0,10.0,2.0,148.0,6.0,4.0,5.0,5.0,11.0,9.0,157.0,122.0,40.0,1.0,15.0,2.0,3.0,2.0,3.0,3.0,2.0,22.0,9.0,2.0,13.0,5.0,12.0,35.0,2.0,236.0,1.0,1.0,1.0,1.0,0.0,138.0,12.0,1.0,3.0,3.0,1.0,68.0,29.0,11.0,101.0,17.0,1.0,1.0,2.0,107.0,3.0,4.0,162.0,734.0,7.0,16.0,24.0,1.0,3.0,14.0,4.0,3.0,0.0,3.0,18.0,55.0,2.0,1.0,9493,5.0,282.0,2.0,13.0,291.0,2.0,1.0,9.0,32.0,1.0,3.0,2.0,5.0,3.0,7.0,5.0,4.0,1.0,1.0,57.0,512.0,11.0,1.0,17.0,86.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,3.0,3.0,1.0,59.8,14.0,3.0,3.0,5.0,4.0,57.0,6.0,1.0,568.0,15.0,12.0,22.0,2.0,18.0,3.0,299.0,4.0,12.0,14.0,108.0,21.0,2.0,1.0,6.0,11.0,1.0,12.0,3.0,8.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442012,2012-08-25 15:00:00,"Old Trafford, Manchester",75352,Away,Fulham,Manchester United,2,3,L,1,3,0,0,2.0,,40.0,1.0,0.0,3.0,2.0,1.0,1.0,39.0,34.0,7.0,9.0,1.0,107.0,3.0,12.0,2.0,3.0,8.0,6.0,122.0,94.0,52.0,2.0,16.0,5.0,5.0,4.0,,,2.0,15.0,20.0,1.0,19.0,5.0,9.0,21.0,,152.0,,,0.0,,0.0,58.0,7.0,1.0,1.0,,,41.0,32.0,8.0,75.0,10.0,2.0,4.0,2.0,94.0,,11.0,117.0,618.0,7.0,16.0,20.0,,6.0,13.0,1.0,,1.0,4.0,12.0,24.0,,,9493,6.0,225.0,2.0,6.0,241.0,0.0,,12.0,45.0,,,,3.0,0.0,7.0,9.0,8.0,1.0,0.0,61.0,374.0,11.0,8.0,20.0,65.0,0.0,1.0,1.0,0.0,,,8.0,1.0,2.0,0.0,2.0,1.0,1.0,40.1,9.0,,1.0,3.0,7.0,45.0,8.0,,421.0,14.0,16.0,12.0,3.0,19.0,1.0,195.0,6.0,9.0,5.0,40.0,16.0,,8.0,4.0,24.0,0.0,13.0,3.0,21.0,8.0,8.0,0.0,8.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,8.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,1.0,354.0,396.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442027,2012-09-01 12:45:00,"Boleyn Ground, London",33458,Away,Fulham,West Ham United,0,3,L,0,3,0,0,2.0,,45.0,,,1.0,2.0,,,29.0,18.0,8.0,5.0,,191.0,2.0,7.0,,1.0,11.0,9.0,131.0,152.0,57.0,,15.0,3.0,18.0,5.0,1.0,,2.0,18.0,20.0,4.0,6.0,6.0,10.0,44.0,,236.0,,,,,0.0,130.0,5.0,1.0,,,4.0,46.0,73.0,10.0,89.0,12.0,,5.0,1.0,140.0,,10.0,143.0,757.0,10.0,15.0,18.0,,5.0,7.0,,1.0,0.0,6.0,35.0,64.0,,,9493,2.0,236.0,,7.0,256.0,,,8.0,52.0,,2.0,2.0,6.0,,8.0,6.0,6.0,,,52.0,470.0,12.0,3.0,23.0,84.0,,5.0,,0.0,,,6.0,2.0,,0.0,,,1.0,54.9,33.0,,1.0,6.0,5.0,47.0,6.0,4.0,554.0,13.0,19.0,25.0,1.0,20.0,2.0,316.0,9.0,9.0,17.0,98.0,18.0,,3.0,,21.0,,13.0,2.0,14.0,3.0,6.0,,,,6.0,,,,1.0,1.0,,,,,,,5.0,,1.0,1.0,,,,,,,,3.0,1.0,,,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442032,2012-09-15 15:00:00,"Craven Cottage, London",25691,Home,Fulham,West Bromwich Albion,3,0,W,2,0,0,1,2.0,2.0,59.0,,2.0,3.0,1.0,,,60.0,14.0,9.0,8.0,1.0,162.0,9.0,6.0,3.0,4.0,19.0,10.0,180.0,119.0,42.0,,23.0,4.0,8.0,3.0,,1.0,3.0,35.0,11.0,4.0,6.0,4.0,3.0,50.0,,332.0,,1.0,,1.0,0.0,208.0,7.0,3.0,1.0,1.0,,105.0,116.0,13.0,130.0,31.0,,5.0,2.0,111.0,,5.0,166.0,847.0,17.0,19.0,23.0,1.0,1.0,8.0,1.0,,0.0,3.0,23.0,73.0,,,9493,5.0,262.0,1.0,25.0,271.0,2.0,,5.0,37.0,,,3.0,11.0,2.0,8.0,5.0,4.0,1.0,1.0,76.0,585.0,10.0,4.0,10.0,80.0,,1.0,,0.0,,1.0,4.0,2.0,3.0,0.0,7.0,1.0,3.0,63.0,22.0,2.0,2.0,11.0,5.0,63.0,5.0,1.0,638.0,12.0,8.0,40.0,8.0,20.0,2.0,402.0,12.0,3.0,12.0,182.0,20.0,2.0,2.0,4.0,14.0,,20.0,2.0,16.0,2.0,5.0,,,,5.0,,1.0,,1.0,2.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,2.0,,5.0,,,3.0,4.0,6.0,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
5,442048,2012-09-22 15:00:00,"DW Stadium, Wigan",19284,Away,Fulham,Wigan Athletic,2,1,W,1,0,0,0,2.0,1.0,39.0,1.0,,1.0,1.0,,,14.0,34.0,3.0,4.0,,130.0,3.0,4.0,2.0,1.0,6.0,7.0,73.0,150.0,40.0,1.0,12.0,,15.0,3.0,,2.0,1.0,17.0,7.0,2.0,21.0,7.0,12.0,15.0,,118.0,,,,,0.0,81.0,13.0,1.0,1.0,,3.0,18.0,51.0,5.0,57.0,10.0,1.0,1.0,1.0,137.0,1.0,10.0,60.0,509.0,3.0,24.0,20.0,,6.0,14.0,2.0,,3.0,5.0,17.0,46.0,,,9493,8.0,123.0,1.0,9.0,138.0,1.0,,17.0,51.0,,1.0,,1.0,2.0,7.0,9.0,7.0,1.0,,35.0,238.0,7.0,7.0,29.0,80.0,,1.0,2.0,0.0,1.0,1.0,9.0,3.0,2.0,0.0,2.0,2.0,3.0,36.4,11.0,,,2.0,1.0,34.0,7.0,3.0,320.0,17.0,11.0,7.0,4.0,9.0,1.0,199.0,5.0,12.0,20.0,43.0,13.0,1.0,1.0,9.0,9.0,1.0,7.0,2.0,9.0,1.0,7.0,,,,2.0,,1.0,,3.0,2.0,,,,,,,7.0,,1.0,,,,,,,,,1.0,,,3.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
6,442052,2012-09-29 15:00:00,"Craven Cottage, London",25698,Home,Fulham,Manchester City,1,2,L,1,1,0,0,1.0,1.0,54.0,,1.0,3.0,,,,24.0,28.0,3.0,5.0,1.0,121.0,,2.0,1.0,6.0,2.0,3.0,62.0,136.0,43.0,2.0,7.0,1.0,9.0,1.0,,,1.0,12.0,11.0,1.0,16.0,2.0,12.0,16.0,,83.0,,,,1.0,0.0,76.0,8.0,3.0,,1.0,,30.0,42.0,,40.0,10.0,2.0,2.0,1.0,122.0,,11.0,53.0,466.0,2.0,26.0,26.0,2.0,5.0,13.0,,,0.0,7.0,9.0,59.0,2.0,,9493,3.0,119.0,,7.0,139.0,,1.0,13.0,37.0,,2.0,1.0,8.0,,15.0,12.0,8.0,,1.0,51.0,202.0,12.0,7.0,35.0,69.0,,,1.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,,,,28.9,9.0,,1.0,8.0,1.0,30.0,2.0,3.0,276.0,17.0,5.0,13.0,3.0,5.0,,149.0,2.0,8.0,14.0,39.0,16.0,1.0,2.0,8.0,15.0,,3.0,2.0,10.0,4.0,2.0,,,,1.0,,,,1.0,4.0,,,,,,,11.0,,,,,,1.0,,,,,2.0,,,2.0,2.0,,,1.0,2.0,,3.0,2.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
7,442063,2012-10-07 13:30:00,"St. Mary's Stadium, Southampton",28004,Away,Fulham,Southampton,2,2,D,0,1,0,0,,,55.0,,,1.0,4.0,,,45.0,40.0,3.0,3.0,1.0,172.0,7.0,4.0,2.0,4.0,10.0,3.0,143.0,173.0,41.0,1.0,13.0,,15.0,2.0,,1.0,1.0,25.0,8.0,,21.0,8.0,3.0,54.0,,173.0,,,,,0.0,112.0,7.0,,1.0,3.0,,53.0,62.0,5.0,76.0,17.0,1.0,3.0,3.0,154.0,,9.0,130.0,735.0,7.0,21.0,26.0,,4.0,28.0,1.0,,0.0,4.0,24.0,59.0,1.0,,9493,6.0,267.0,1.0,11.0,284.0,,2.0,6.0,46.0,1.0,1.0,,5.0,1.0,18.0,5.0,2.0,1.0,,72.0,433.0,13.0,2.0,19.0,89.0,,,1.0,0.0,,2.0,8.0,1.0,2.0,0.0,4.0,1.0,3.0,58.1,22.0,,,5.0,4.0,43.0,8.0,,521.0,16.0,13.0,25.0,6.0,19.0,3.0,262.0,7.0,3.0,12.0,72.0,24.0,,5.0,15.0,12.0,,7.0,2.0,13.0,5.0,8.0,,,,,1.0,,,,2.0,3.0,,,,,,11.0,,2.0,1.0,,,2.0,,,,,2.0,1.0,1.0,3.0,2.0,,2.0,,5.0,2.0,3.0,,,,,,,,1.0,,,,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
8,442069,2012-10-20 15:00:00,"Craven Cottage, London",25693,Home,Fulham,Aston Villa,1,0,W,0,0,0,0,1.0,,63.0,,,,2.0,1.0,1.0,41.0,36.0,4.0,4.0,,157.0,8.0,5.0,1.0,2.0,13.0,5.0,100.0,169.0,51.0,,19.0,2.0,14.0,4.0,,,2.0,31.0,6.0,,21.0,5.0,7.0,38.0,,224.0,,1.0,,,0.0,154.0,7.0,1.0,,1.0,3.0,74.0,84.0,6.0,76.0,26.0,,7.0,2.0,154.0,,7.0,122.0,678.0,10.0,14.0,25.0,,4.0,23.0,1.0,,1.0,4.0,32.0,72.0,,1.0,8595,10.0,154.0,1.0,18.0,174.0,1.0,1.0,6.0,44.0,,,2.0,7.0,,10.0,5.0,1.0,3.0,,57.0,370.0,11.0,5.0,20.0,74.0,,1.0,,0.0,,3.0,4.0,1.0,1.0,0.0,5.0,1.0,5.0,50.7,25.0,5.0,,8.0,4.0,42.0,6.0,4.0,455.0,11.0,12.0,25.0,10.0,23.0,3.0,312.0,10.0,6.0,27.0,110.0,20.0,,1.0,14.0,8.0,,16.0,3.0,11.0,1.0,6.0,,,,2.0,1.0,,,,1.0,4.0,,,,,,4.0,,1.0,,,,1.0,,1.0,,,,1.0,,8.0,,,3.0,3.0,7.0,2.0,1.0,1.0,,,,,,,2.0,,1.0,,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
9,442085,2012-10-27 15:00:00,"Select Car Leasing Stadium, Reading",24093,Away,Fulham,Reading,3,3,D,0,1,0,0,1.0,,52.0,1.0,1.0,1.0,2.0,1.0,1.0,41.0,43.0,8.0,5.0,1.0,187.0,7.0,4.0,3.0,3.0,15.0,6.0,168.0,161.0,53.0,2.0,19.0,3.0,11.0,3.0,1.0,2.0,1.0,24.0,11.0,,23.0,8.0,8.0,36.0,,295.0,,,1.0,,0.0,173.0,17.0,4.0,,,1.0,76.0,55.0,9.0,98.0,16.0,2.0,5.0,4.0,141.0,2.0,10.0,159.0,811.0,11.0,12.0,19.0,,5.0,26.0,3.0,1.0,1.0,1.0,25.0,65.0,,,8595,7.0,231.0,2.0,11.0,251.0,1.0,1.0,8.0,40.0,,,,2.0,2.0,8.0,5.0,3.0,3.0,,70.0,519.0,6.0,2.0,30.0,113.0,,,,0.0,,,6.0,4.0,2.0,0.0,4.0,1.0,4.0,65.9,18.0,1.0,2.0,2.0,5.0,60.0,8.0,1.0,612.0,9.0,6.0,15.0,8.0,18.0,3.0,385.0,9.0,8.0,28.0,139.0,23.0,2.0,5.0,17.0,15.0,1.0,13.0,3.0,9.0,5.0,8.0,1.0,,,,,1.0,,,1.0,,,,,,,7.0,,2.0,,,,,,1.0,,,3.0,2.0,,4.0,2.0,,1.0,4.0,6.0,1.0,3.0,1.0,,,,,,,,,4.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,
10,442089,2012-11-03 15:00:00,"Craven Cottage, London",25699,Home,Fulham,Everton,2,2,D,1,0,0,0,,1.0,66.0,1.0,,1.0,,,,28.0,38.0,6.0,4.0,1.0,128.0,4.0,4.0,2.0,3.0,7.0,4.0,79.0,144.0,51.0,1.0,9.0,3.0,10.0,1.0,,1.0,1.0,14.0,19.0,1.0,21.0,5.0,7.0,29.0,,158.0,,,1.0,,0.0,85.0,17.0,4.0,1.0,1.0,1.0,30.0,61.0,5.0,52.0,9.0,1.0,1.0,1.0,127.0,2.0,19.0,84.0,569.0,6.0,24.0,34.0,1.0,4.0,19.0,1.0,,3.0,9.0,15.0,53.0,1.0,,8595,1.0,111.0,1.0,7.0,128.0,1.0,,14.0,55.0,,1.0,,5.0,1.0,10.0,8.0,9.0,1.0,,59.0,265.0,10.0,8.0,16.0,84.0,,,2.0,0.0,,1.0,9.0,6.0,1.0,0.0,2.0,,1.0,40.9,13.0,1.0,,5.0,3.0,42.0,5.0,1.0,343.0,20.0,8.0,14.0,2.0,13.0,2.0,229.0,4.0,6.0,11.0,54.0,16.0,1.0,9.0,9.0,26.0,,7.0,3.0,17.0,9.0,5.0,,,,2.0,,1.0,,,2.0,,,,,,,8.0,,,,,,1.0,,,,1.0,2.0,,,1.0,2.0,,,,2.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
