matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
755307,1,2014-08-16 12:45:00,"Old Trafford, Manchester",75339,Home,Man Utd,Swansea,1,2,L,0,1,0,0,1.0,14.0,5.0,5.0,4.0,,1.0,,1.0,,11.0,7.0,41.0,61.0,558.0,482.0,59.6,13.0,13.0,17.0,12.0,12.0,14.0,1.0,,,4.0,11.0,133.0,2.0,2.0,,,65.0,44.0,20.0,10.0,4.0,4.0,,14.0,20.0,0.0,0.0,,,1.0
755320,2,2014-08-24 16:00:00,"Stadium of Light, Sunderland",43217,Away,Man Utd,Sunderland,1,1,D,1,1,0,0,1.0,10.0,3.0,4.0,3.0,1.0,1.0,1.0,,,6.0,3.0,17.0,54.0,544.0,480.0,55.3,23.0,18.0,18.0,24.0,24.0,15.0,2.0,2.0,,12.0,8.0,111.0,2.0,1.0,,,58.0,53.0,12.0,10.0,4.0,4.0,,15.0,10.0,0.0,0.0,,,1.0
755324,3,2014-08-30 12:45:00,"Turf Moor, Burnley",21099,Away,Man Utd,Burnley,0,0,D,0,0,0,0,,7.0,2.0,3.0,2.0,,,,,,6.0,3.0,17.0,68.0,553.0,451.0,64.0,21.0,16.0,22.0,30.0,30.0,17.0,2.0,1.0,,4.0,9.0,155.0,3.0,,1.0,,55.0,58.0,15.0,22.0,6.0,6.0,,14.0,9.0,0.0,0.0,,,1.0
755338,4,2014-09-14 16:00:00,"Old Trafford, Manchester",75355,Home,Man Utd,QPR,4,0,W,3,0,0,0,4.0,18.0,9.0,7.0,2.0,3.0,1.0,3.0,1.0,3.0,16.0,9.0,24.0,91.0,825.0,754.0,68.5,18.0,10.0,14.0,12.0,12.0,8.0,4.0,2.0,,7.0,8.0,108.0,1.0,,1.0,,45.0,36.0,14.0,7.0,3.0,3.0,,11.0,7.0,0.0,0.0,,,
755346,5,2014-09-21 13:30:00,"King Power Stadium, Leicester",31784,Away,Man Utd,Leicester,3,5,L,2,1,1,0,3.0,16.0,5.0,7.0,4.0,3.0,1.0,2.0,1.0,3.0,11.0,6.0,25.0,56.0,528.0,446.0,57.4,18.0,14.0,31.0,44.0,44.0,17.0,4.0,1.0,1.0,6.0,10.0,139.0,,5.0,,,55.0,53.0,18.0,23.0,4.0,4.0,,9.0,11.0,0.0,0.0,,,4.0
755358,6,2014-09-27 15:00:00,"Old Trafford, Manchester",75317,Home,Man Utd,West Ham,2,1,W,2,1,1,0,2.0,8.0,3.0,3.0,2.0,,,,,2.0,8.0,5.0,8.0,46.0,504.0,425.0,57.4,20.0,15.0,12.0,51.0,51.0,9.0,4.0,1.0,,5.0,6.0,118.0,3.0,1.0,,,49.0,46.0,11.0,21.0,7.0,7.0,,10.0,11.0,0.0,0.0,,,2.0
755368,7,2014-10-05 12:00:00,"Old Trafford, Manchester",75294,Home,Man Utd,Everton,2,1,W,1,0,0,0,2.0,15.0,4.0,8.0,3.0,3.0,1.0,2.0,,2.0,13.0,6.0,19.0,44.0,442.0,376.0,48.7,15.0,8.0,24.0,31.0,31.0,19.0,3.0,,,6.0,5.0,116.0,4.0,1.0,,,44.0,47.0,8.0,12.0,11.0,11.0,,18.0,9.0,0.0,0.0,,,1.0
755382,8,2014-10-20 20:00:00,"The Hawthorns, West Bromwich",25794,Away,Man Utd,West Brom,2,2,D,0,1,0,0,2.0,22.0,7.0,8.0,7.0,,,,1.0,1.0,14.0,10.0,36.0,76.0,574.0,485.0,62.7,19.0,12.0,14.0,28.0,28.0,14.0,2.0,,,4.0,9.0,155.0,,2.0,,,45.0,27.0,14.0,3.0,11.0,11.0,2.0,8.0,5.0,0.0,0.0,,,1.0
755385,9,2014-10-26 16:00:00,"Old Trafford, Manchester",75327,Home,Man Utd,Chelsea,1,1,D,0,0,0,1,1.0,19.0,7.0,10.0,2.0,1.0,1.0,1.0,,,15.0,6.0,25.0,60.0,439.0,375.0,51.7,16.0,14.0,12.0,25.0,25.0,14.0,2.0,2.0,,15.0,6.0,120.0,3.0,1.0,,,46.0,67.0,12.0,20.0,4.0,4.0,4.0,13.0,13.0,0.0,0.0,,,
755400,10,2014-11-02 13:30:00,"Etihad Stadium, Manchester",45358,Away,Man Utd,Man City,0,1,L,0,0,1,0,,9.0,2.0,5.0,2.0,1.0,,1.0,,,8.0,4.0,14.0,59.0,456.0,360.0,48.0,24.0,17.0,17.0,29.0,29.0,19.0,5.0,,,11.0,11.0,137.0,5.0,1.0,,,63.0,54.0,11.0,15.0,4.0,4.0,1.0,9.0,13.0,0.0,0.0,,,3.0
755405,11,2014-11-08 15:00:00,"Old Trafford, Manchester",75325,Home,Man Utd,Crystal Palace,1,0,W,0,0,0,0,1.0,23.0,5.0,7.0,11.0,,,,1.0,1.0,15.0,10.0,17.0,75.0,667.0,592.0,71.4,16.0,13.0,10.0,29.0,29.0,17.0,3.0,1.0,,3.0,11.0,140.0,1.0,,1.0,,59.0,55.0,20.0,19.0,11.0,11.0,1.0,8.0,11.0,0.0,0.0,,,
755413,12,2014-11-22 17:30:00,"Emirates Stadium, London",60074,Away,Man Utd,Arsenal,2,1,W,0,0,0,0,2.0,12.0,2.0,6.0,4.0,2.0,1.0,1.0,,1.0,9.0,6.0,11.0,40.0,317.0,230.0,38.6,27.0,22.0,10.0,45.0,45.0,23.0,6.0,1.0,,11.0,10.0,127.0,8.0,1.0,,,61.0,47.0,14.0,10.0,5.0,5.0,,8.0,11.0,0.0,0.0,,,4.0
755425,13,2014-11-29 15:00:00,"Old Trafford, Manchester",75345,Home,Man Utd,Hull,3,0,W,2,0,0,0,3.0,15.0,7.0,4.0,4.0,1.0,,2.0,,2.0,11.0,8.0,19.0,68.0,807.0,744.0,76.4,14.0,10.0,13.0,16.0,16.0,6.0,,,,7.0,9.0,113.0,2.0,,1.0,,47.0,47.0,13.0,11.0,7.0,7.0,1.0,12.0,12.0,0.0,0.0,,,5.0
755437,14,2014-12-02 19:45:00,"Old Trafford, Manchester",75388,Home,Man Utd,Stoke,2,1,W,1,1,0,0,2.0,10.0,3.0,5.0,2.0,3.0,1.0,3.0,,1.0,8.0,3.0,13.0,69.0,631.0,562.0,64.0,18.0,14.0,20.0,19.0,19.0,12.0,1.0,,,9.0,13.0,126.0,2.0,1.0,,,60.0,51.0,18.0,9.0,3.0,3.0,2.0,8.0,12.0,0.0,0.0,,,1.0
755449,15,2014-12-08 20:00:00,"St. Mary's Stadium, Southampton",31420,Away,Man Utd,Southampton,2,1,W,1,1,0,0,2.0,3.0,2.0,1.0,,1.0,2.0,,,1.0,2.0,1.0,9.0,67.0,478.0,384.0,48.1,27.0,21.0,21.0,33.0,33.0,13.0,3.0,2.0,,5.0,21.0,142.0,3.0,1.0,,,61.0,59.0,13.0,18.0,1.0,1.0,1.0,9.0,11.0,0.0,0.0,,,1.0
755459,16,2014-12-14 13:30:00,"Old Trafford, Manchester",75331,Home,Man Utd,Liverpool,3,0,W,2,0,0,0,3.0,11.0,6.0,3.0,2.0,3.0,2.0,1.0,,3.0,8.0,5.0,12.0,67.0,514.0,417.0,54.7,35.0,28.0,20.0,20.0,20.0,19.0,7.0,2.0,,17.0,13.0,141.0,8.0,,1.0,,63.0,55.0,6.0,8.0,2.0,2.0,1.0,13.0,13.0,0.0,0.0,,,1.0
