gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,possessionPercentage,accurateThrows,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,savedObox,attRfTarget,goals,attFreekickTotal,attOboxBlocked,attIboxTarget,attBxRight,goalAssistOpenplay,penaltyWon,midfielderGoals,goodHighClaim,freekickTotal,bigChanceCreated,attHdTarget,goalAssist,bigChanceMissed,attObxdLeft,attRfGoal,attCmissHigh,goalsOpenplay,accurateGoalKicks,attPenGoal,attAssistSetplay,attIboxGoal,goalAssistIntentional,shieldBallOop,attHdTotal,attHdMiss,attSvHighCentre,totalHighClaim,attFreekickMiss,attRfTotal,forwardGoals,effectiveBlockedCross,attHdGoal,goalsConcededIbox,blockedCross,goalAssistSetplay,goalAssistDeadball,attMissHighLeft,accurateThroughBall,accurateFreekickCross,attSetpiece,totalThroughBall,attCmissHighLeft,attemptsIbox,attObxLeft,attMissHighRight,attSvHighLeft,attemptsObox,contentiousDecision,touchesInOppBox,attCorner,attSvLowRight,attFreekickTarget,attSvLowLeft,attCmissLeft,handBall,attLfGoal,attGoalLowCentre,attOneOnOne,attLgCentre,penaltyConceded,penaltyFaced,penGoalsConceded,shotFastbreak,totalFastbreak,attFastbreak,cleanSheet,accuratePullBack,attGoalHighRight,errorLeadToGoal,foulThrowIn,attGoalHighLeft,attSvHighRight,secondYellow,sixYardBlock,postScoringAtt,attIboxPost,attGoalHighCentre,attPostLeft,attHdPost,hitWoodwork,attPostRight,clearanceOffLine,attOboxGoal,attObpGoal,attPostHigh
1,803164,2015-08-09 16:00:00,"bet365 Stadium, Stoke",27654,Home,Stoke City,Liverpool,0,1,L,0,0,0,0,1.0,1.0,64.0,2.0,27.0,16.0,2.0,7.0,2.0,171.0,5.0,5.0,2.0,4.0,1.0,1.0,93.0,171.0,62.0,7.0,21.0,4.0,1.0,1.0,19.0,20.0,1.0,12.0,2.0,15.0,46.0,137.0,0.0,97.0,9.0,1.0,2.0,52.0,65.0,2.0,54.0,4.0,2.0,17.0,19.0,7.0,2.0,167.0,4.0,94.0,607.0,4.0,7.0,13.0,287.0,32.0,4.0,7.0,4.0,2.0,4.0,2.0,25.0,384.0,66.0,1.0,9047,3.0,169.0,8.0,193.0,6.0,1.0,19.0,4.0,58.0,3.0,7.0,15.0,4.0,1.0,68.0,301.0,16.0,10.0,18.0,97.0,1.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,3.0,47.0,21.0,1.0,1.0,1.0,7.0,2.0,45.0,3.0,412.0,13.0,8.0,19.0,4.0,23.0,2.0,2.0,238.0,12.0,16.0,51.0,17.0,6.0,25.0,7.0,3.0,16.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803180,2015-08-15 15:00:00,"White Hart Lane, London",36004,Away,Stoke City,Tottenham Hotspur,2,2,D,0,2,0,0,,,60.0,1.0,24.0,15.0,3.0,1.0,5.0,150.0,8.0,9.0,5.0,11.0,1.0,7.0,94.0,134.0,56.0,15.0,17.0,2.0,4.0,,22.0,13.0,1.0,12.0,2.0,12.0,24.0,184.0,0.0,133.0,11.0,5.0,3.0,84.0,54.0,6.0,70.0,2.0,2.0,20.0,11.0,7.0,2.0,131.0,7.0,116.0,634.0,9.0,10.0,16.0,334.0,20.0,3.0,10.0,2.0,2.0,4.0,5.0,21.0,403.0,62.0,2.0,9047,8.0,175.0,10.0,188.0,4.0,,11.0,4.0,53.0,3.0,3.0,17.0,6.0,4.0,46.0,351.0,15.0,9.0,11.0,77.0,1.0,0.0,2.0,4.0,3.0,2.0,3.0,0.0,7.0,46.8,21.0,,1.0,,3.0,2.0,50.0,3.0,430.0,16.0,12.0,13.0,6.0,24.0,1.0,4.0,264.0,12.0,13.0,88.0,30.0,9.0,19.0,11.0,3.0,13.0,6.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,4.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803189,2015-08-22 15:00:00,"Carrow Road, Norwich",26771,Away,Stoke City,Norwich City,1,1,D,1,1,0,0,,,47.0,,23.0,18.0,2.0,3.0,6.0,152.0,2.0,5.0,3.0,5.0,,1.0,121.0,128.0,44.0,6.0,11.0,3.0,,1.0,8.0,9.0,,12.0,,10.0,32.0,204.0,0.0,100.0,5.0,4.0,3.0,80.0,55.0,2.0,80.0,,,8.0,9.0,1.0,1.0,122.0,10.0,114.0,640.0,3.0,4.0,15.0,372.0,19.0,5.0,11.0,3.0,1.0,5.0,3.0,21.0,436.0,54.0,,9047,3.0,190.0,4.0,205.0,3.0,,9.0,12.0,44.0,4.0,4.0,11.0,10.0,2.0,52.0,392.0,14.0,6.0,14.0,87.0,,0.0,1.0,9.0,5.0,1.0,,0.0,2.0,57.4,18.0,,3.0,,4.0,1.0,56.0,,467.0,15.0,18.0,14.0,4.0,20.0,,3.0,270.0,10.0,10.0,68.0,17.0,9.0,15.0,4.0,3.0,9.0,4.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,2.0,,1.0,1.0,,,,,7.0,,1.0,1.0,1.0,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803200,2015-08-29 15:00:00,"bet365 Stadium, Stoke",26747,Home,Stoke City,West Bromwich Albion,0,1,L,0,1,2,0,,2.0,52.0,,22.0,19.0,9.0,6.0,4.0,163.0,1.0,14.0,2.0,8.0,,5.0,92.0,131.0,52.0,13.0,9.0,2.0,2.0,2.0,18.0,15.0,3.0,17.0,5.0,16.0,30.0,178.0,0.0,97.0,4.0,1.0,,56.0,47.0,4.0,67.0,,,13.0,17.0,6.0,4.0,129.0,8.0,124.0,632.0,8.0,3.0,6.0,354.0,26.0,3.0,11.0,2.0,1.0,4.0,4.0,16.0,414.0,50.0,1.0,9047,1.0,198.0,7.0,216.0,2.0,,17.0,14.0,40.0,2.0,5.0,11.0,7.0,1.0,46.0,375.0,9.0,9.0,11.0,76.0,,0.0,5.0,5.0,1.0,1.0,,2.0,1.0,49.1,12.0,,1.0,,5.0,3.0,50.0,6.0,446.0,6.0,11.0,17.0,5.0,22.0,,1.0,248.0,16.0,12.0,69.0,15.0,10.0,18.0,8.0,3.0,22.0,9.0,6.0,,,,3.0,1.0,,2.0,3.0,2.0,1.0,,,,1.0,2.0,,2.0,,1.0,,,,,9.0,,,,,1.0,2.0,,1.0,1.0,,5.0,,6.0,,1.0,6.0,,,1.0,,,1.0,,,3.0,1.0,1.0,1.0,10.0,1.0,10.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803209,2015-09-12 15:00:00,"Emirates Stadium, London",59963,Away,Stoke City,Arsenal,0,2,L,0,1,0,0,,1.0,59.0,1.0,15.0,31.0,7.0,4.0,10.0,138.0,,8.0,1.0,6.0,1.0,3.0,76.0,139.0,37.0,9.0,12.0,,1.0,1.0,7.0,11.0,2.0,21.0,1.0,11.0,26.0,100.0,0.0,76.0,13.0,6.0,1.0,59.0,27.0,4.0,43.0,,1.0,6.0,16.0,2.0,3.0,129.0,23.0,48.0,496.0,6.0,9.0,15.0,212.0,28.0,4.0,13.0,,1.0,8.0,2.0,18.0,277.0,48.0,1.0,82660,,126.0,3.0,147.0,9.0,,16.0,13.0,54.0,3.0,3.0,13.0,6.0,,53.0,226.0,6.0,12.0,21.0,65.0,,0.0,3.0,13.0,8.0,2.0,4.0,0.0,,32.4,13.0,,,2.0,4.0,3.0,31.0,1.0,305.0,15.0,11.0,12.0,3.0,12.0,,,165.0,11.0,7.0,41.0,22.0,11.0,16.0,9.0,2.0,15.0,12.0,1.0,,,,2.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,5.0,,2.0,,2.0,2.0,,,,,,,1.0,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803215,2015-09-19 15:00:00,"bet365 Stadium, Stoke",27642,Home,Stoke City,Leicester City,2,2,D,2,0,0,0,,2.0,81.0,1.0,37.0,18.0,5.0,6.0,3.0,194.0,6.0,15.0,2.0,8.0,2.0,4.0,90.0,185.0,92.0,11.0,28.0,,,,26.0,20.0,2.0,15.0,2.0,5.0,43.0,165.0,0.0,126.0,7.0,3.0,4.0,71.0,67.0,4.0,68.0,3.0,4.0,24.0,22.0,9.0,3.0,182.0,7.0,80.0,647.0,5.0,9.0,14.0,293.0,33.0,8.0,13.0,,1.0,1.0,4.0,23.0,403.0,79.0,,9047,5.0,151.0,11.0,183.0,,,22.0,10.0,59.0,3.0,2.0,13.0,5.0,,82.0,310.0,12.0,11.0,29.0,100.0,,0.0,5.0,4.0,1.0,2.0,3.0,0.0,5.0,54.1,19.0,,2.0,,2.0,2.0,47.0,3.0,432.0,14.0,8.0,18.0,5.0,34.0,1.0,2.0,275.0,5.0,34.0,76.0,37.0,12.0,32.0,8.0,3.0,22.0,11.0,4.0,2.0,1.0,,2.0,,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,2.0,4.0,,2.0,2.0,1.0,,2.0,2.0,,1.0,,2.0,1.0,1.0,,2.0,1.0,,,,1.0,2.0,2.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,803224,2015-09-26 15:00:00,"bet365 Stadium, Stoke",27742,Home,Stoke City,Bournemouth,2,1,W,1,0,0,0,,,67.0,1.0,38.0,30.0,1.0,1.0,5.0,147.0,4.0,8.0,2.0,6.0,,5.0,80.0,151.0,48.0,8.0,14.0,,3.0,1.0,15.0,11.0,1.0,23.0,2.0,10.0,34.0,166.0,0.0,122.0,13.0,3.0,2.0,63.0,62.0,4.0,73.0,,1.0,13.0,16.0,3.0,,144.0,5.0,83.0,560.0,4.0,8.0,13.0,278.0,21.0,6.0,14.0,,1.0,4.0,2.0,22.0,361.0,90.0,,9047,3.0,126.0,8.0,137.0,8.0,,16.0,2.0,52.0,2.0,,9.0,7.0,,87.0,288.0,11.0,9.0,38.0,84.0,1.0,0.0,2.0,7.0,2.0,1.0,2.0,0.0,2.0,43.7,13.0,,5.0,1.0,,1.0,32.0,3.0,383.0,13.0,8.0,17.0,2.0,15.0,2.0,2.0,261.0,10.0,15.0,64.0,32.0,13.0,15.0,6.0,3.0,16.0,8.0,3.0,2.0,,1.0,3.0,2.0,2.0,,,2.0,2.0,2.0,,,1.0,,4.0,1.0,2.0,2.0,,1.0,,2.0,,,,2.0,2.0,,2.0,,,1.0,,5.0,1.0,2.0,1.0,1.0,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,803237,2015-10-03 15:00:00,"Villa Park, Birmingham",33189,Away,Stoke City,Aston Villa,1,0,W,0,0,0,0,,2.0,71.0,3.0,32.0,29.0,3.0,2.0,2.0,142.0,4.0,12.0,1.0,12.0,,5.0,80.0,144.0,68.0,12.0,18.0,,2.0,,16.0,19.0,3.0,23.0,4.0,7.0,40.0,137.0,0.0,90.0,12.0,1.0,,51.0,66.0,8.0,60.0,1.0,3.0,12.0,14.0,5.0,1.0,138.0,6.0,99.0,601.0,9.0,12.0,14.0,283.0,37.0,9.0,16.0,,0.0,6.0,4.0,25.0,356.0,48.0,,9047,6.0,168.0,7.0,188.0,9.0,,14.0,8.0,70.0,2.0,3.0,19.0,7.0,,64.0,301.0,12.0,22.0,25.0,81.0,,0.0,1.0,9.0,2.0,,4.0,0.0,3.0,43.7,19.0,,2.0,1.0,3.0,3.0,48.0,5.0,381.0,14.0,9.0,20.0,4.0,22.0,1.0,3.0,209.0,6.0,17.0,59.0,26.0,16.0,27.0,9.0,3.0,21.0,5.0,5.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,,,1.0,,1.0,5.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,8.0,,6.0,,,6.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
9,803249,2015-10-19 20:00:00,"Swansea.com Stadium, Swansea",20044,Away,Stoke City,Swansea City,1,0,W,1,0,0,0,,1.0,71.0,1.0,29.0,15.0,3.0,4.0,2.0,154.0,2.0,6.0,1.0,7.0,1.0,2.0,113.0,132.0,54.0,9.0,12.0,,,1.0,9.0,20.0,1.0,15.0,2.0,16.0,35.0,158.0,0.0,87.0,14.0,1.0,,58.0,36.0,1.0,80.0,1.0,2.0,7.0,15.0,4.0,2.0,132.0,5.0,125.0,645.0,7.0,9.0,15.0,368.0,36.0,7.0,11.0,,2.0,2.0,6.0,18.0,451.0,46.0,,9047,3.0,226.0,3.0,257.0,8.0,2.0,15.0,12.0,58.0,2.0,6.0,8.0,9.0,,72.0,382.0,6.0,16.0,35.0,81.0,,0.0,1.0,1.0,,,3.0,0.0,2.0,45.9,12.0,,1.0,,6.0,1.0,43.0,2.0,472.0,15.0,11.0,22.0,6.0,14.0,,4.0,224.0,15.0,11.0,58.0,23.0,11.0,32.0,8.0,3.0,13.0,6.0,2.0,1.0,,,2.0,,1.0,,,,3.0,,1.0,1.0,6.0,,1.0,,,1.0,,1.0,,,9.0,1.0,,1.0,,1.0,,,,6.0,,5.0,,4.0,,,4.0,,,2.0,2.0,,,2.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10,803260,2015-10-24 15:00:00,"bet365 Stadium, Stoke",27587,Home,Stoke City,Watford,0,2,L,0,1,0,0,1.0,,50.0,1.0,38.0,17.0,6.0,8.0,1.0,185.0,4.0,7.0,5.0,8.0,1.0,,135.0,158.0,54.0,11.0,13.0,,,1.0,26.0,16.0,,13.0,8.0,11.0,33.0,226.0,0.0,141.0,10.0,1.0,3.0,78.0,67.0,,68.0,1.0,3.0,18.0,17.0,6.0,5.0,154.0,6.0,138.0,724.0,7.0,4.0,12.0,412.0,18.0,3.0,5.0,,3.0,5.0,8.0,25.0,493.0,61.0,,9047,2.0,218.0,9.0,246.0,5.0,1.0,17.0,11.0,45.0,8.0,2.0,14.0,7.0,1.0,66.0,440.0,17.0,3.0,18.0,83.0,,0.0,3.0,5.0,,2.0,1.0,0.0,3.0,66.2,24.0,,5.0,2.0,2.0,3.0,58.0,11.0,526.0,12.0,10.0,17.0,8.0,33.0,1.0,3.0,306.0,11.0,13.0,107.0,21.0,4.0,19.0,9.0,3.0,17.0,5.0,11.0,,,,1.0,,,1.0,2.0,,,,,,1.0,1.0,2.0,,,2.0,,,,,8.0,,1.0,,,1.0,2.0,2.0,,1.0,,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,16.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
