gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,goalAssistIntentional,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,accurateKeeperSweeper,attSvHighRight,divingSave,freekickCross,attHdTarget,totalKeeperSweeper,accurateThroughBall,totalThroughBall,totalOffside,attMissHigh,attAssistSetplay,goalsConceded,accurateFlickOn,attHdMiss,goalsConcededIbox,handBall,attRfTarget,attOneOnOne,attMissRight,bigChanceMissed,attSetpiece,accurateCrossNocorner,shieldBallOop,errorLeadToGoal,goalsConcededObox,attGoalLowLeft,attCmissRight,shotFastbreak,goalAssistOpenplay,penaltyWon,totalFastbreak,attSvLowLeft,attGoalHighCentre,accurateFreekickCross,attRfGoal,goalsOpenplay,attPenGoal,attFastbreak,attCmissHighRight,attBxLeft,attSvHighCentre,forwardGoals,attGoalLowRight,attLfGoal,goalFastbreak,attOboxGoal,midfielderGoals,attMissHighLeft,attGoalHighLeft,attSvLowRight,attObxLeft,contentiousDecision,attCmissHigh,attFreekickTarget,attFreekickMiss,sixYardBlock,ownGoals,attIboxOwnGoal,attObxdRight,expectedGoalsOnTarget,attemptsIbox,postScoringAtt,expectedGoalsOnTargetConceded,attemptsObox,subsGoals,touchesInOppBox,hitWoodwork,expectedAssists,attCorner,attOboxPost,attPostRight,expectedGoals,defenderGoals,clearanceOffLine,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighRight,attSvHighLeft,attCmissHighLeft,penaltySave,attPostHigh,attIboxPost,attPostLeft,secondYellow,attHdPost
1,803162,2015-08-08 15:00:00,"Vitality Stadium, Bournemouth",11155,Away,Aston Villa,Bournemouth,1,0,W,0,0,0,0,2.0,1.0,61.0,1.0,1.0,1.0,32.0,39.0,3.0,3.0,2.0,149.0,1.0,1.0,10.0,1.0,1.0,4.0,1.0,3.0,89.0,135.0,64.0,1.0,7.0,1.0,17.0,1.0,1.0,2.0,1.0,15.0,20.0,1.0,30.0,2.0,16.0,35.0,157.0,1.0,1.0,0.0,102.0,13.0,4.0,62.0,61.0,3.0,66.0,4.0,13.0,15.0,1.0,7.0,1.0,126.0,1.0,8.0,87.0,604.0,3.0,8.0,28.0,294.0,33.0,6.0,23.0,1.0,4.0,2.0,1.0,19.0,363.0,56.0,1.0,96740,3.0,154.0,6.0,178.0,8.0,2.0,15.0,13.0,45.0,6.0,9.0,3.0,5.0,72.0,310.0,13.0,3.0,22.0,71.0,1.0,1.0,0.0,3.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,41.6,15.0,3.0,6.0,2.0,37.0,3.0,4.0,391.0,28.0,7.0,15.0,2.0,18.0,1.0,1.0,228.0,3.0,13.0,17.0,73.0,18.0,5.0,18.0,24.0,1.0,5.0,3.0,17.0,5.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803177,2015-08-14 19:45:00,"Villa Park, Birmingham",42200,Home,Aston Villa,Manchester United,0,1,L,0,1,0,0,,,68.0,1.0,,,33.0,13.0,1.0,,1.0,151.0,,3.0,12.0,,2.0,4.0,,1.0,121.0,151.0,55.0,,5.0,,12.0,1.0,,,1.0,15.0,18.0,,7.0,3.0,12.0,40.0,137.0,1.0,,0.0,97.0,14.0,2.0,49.0,38.0,2.0,62.0,1.0,12.0,13.0,,5.0,1.0,145.0,,5.0,107.0,630.0,2.0,8.0,19.0,340.0,31.0,8.0,7.0,,2.0,3.0,2.0,24.0,419.0,57.0,,96740,4.0,222.0,5.0,234.0,8.0,,13.0,7.0,54.0,5.0,14.0,4.0,6.0,60.0,356.0,10.0,5.0,19.0,80.0,,1.0,0.0,1.0,5.0,,,0.0,,3.0,1.0,45.6,20.0,2.0,5.0,1.0,41.0,3.0,2.0,441.0,19.0,4.0,18.0,3.0,29.0,3.0,2.0,222.0,2.0,9.0,12.0,52.0,26.0,1.0,4.0,22.0,,3.0,2.0,32.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803182,2015-08-22 15:00:00,"Selhurst Park, London",25295,Away,Aston Villa,Crystal Palace,1,2,L,0,0,0,0,1.0,,60.0,2.0,,,38.0,24.0,5.0,4.0,4.0,134.0,,5.0,9.0,1.0,2.0,9.0,,2.0,78.0,129.0,61.0,,11.0,1.0,24.0,2.0,1.0,1.0,2.0,21.0,10.0,,22.0,4.0,10.0,29.0,146.0,,,0.0,106.0,15.0,4.0,65.0,30.0,5.0,60.0,4.0,17.0,7.0,,7.0,4.0,127.0,1.0,10.0,91.0,548.0,7.0,17.0,18.0,265.0,24.0,10.0,18.0,,3.0,3.0,4.0,22.0,332.0,42.0,1.0,96740,4.0,142.0,8.0,158.0,8.0,1.0,7.0,14.0,59.0,5.0,12.0,6.0,7.0,73.0,283.0,12.0,6.0,28.0,78.0,1.0,1.0,0.0,1.0,6.0,3.0,1.0,0.0,,2.0,1.0,50.1,20.0,3.0,5.0,3.0,44.0,4.0,4.0,363.0,18.0,5.0,16.0,6.0,29.0,2.0,2.0,226.0,5.0,8.0,27.0,78.0,25.0,3.0,18.0,13.0,,8.0,1.0,19.0,3.0,6.0,4.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,,2.0,2.0,2.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803198,2015-08-29 15:00:00,"Villa Park, Birmingham",35399,Home,Aston Villa,Sunderland,2,2,D,2,1,0,0,,2.0,66.0,3.0,,,31.0,27.0,7.0,1.0,1.0,173.0,,14.0,15.0,2.0,3.0,18.0,,6.0,126.0,165.0,78.0,,21.0,1.0,22.0,2.0,4.0,,3.0,34.0,17.0,2.0,21.0,5.0,35.0,33.0,267.0,1.0,,0.0,157.0,10.0,2.0,71.0,55.0,8.0,87.0,3.0,29.0,12.0,,13.0,4.0,159.0,2.0,4.0,137.0,772.0,14.0,7.0,14.0,422.0,18.0,6.0,17.0,1.0,2.0,1.0,9.0,27.0,503.0,55.0,,96740,6.0,186.0,14.0,203.0,4.0,,12.0,5.0,67.0,7.0,18.0,3.0,2.0,56.0,439.0,14.0,5.0,16.0,93.0,1.0,,0.0,4.0,4.0,1.0,2.0,0.0,1.0,3.0,,62.0,26.0,4.0,7.0,4.0,60.0,5.0,2.0,523.0,14.0,15.0,16.0,11.0,41.0,3.0,7.0,354.0,17.0,30.0,29.0,118.0,37.0,2.0,15.0,20.0,,18.0,1.0,32.0,2.0,5.0,5.0,,2.0,,1.0,2.0,1.0,2.0,,,,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,,5.0,1.0,1.0,11.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803202,2015-09-13 16:00:00,"King Power Stadium, Leicester",31733,Away,Aston Villa,Leicester City,2,3,L,1,0,0,0,,,79.0,2.0,,,28.0,30.0,6.0,3.0,3.0,168.0,,3.0,9.0,2.0,,10.0,,4.0,94.0,173.0,74.0,,11.0,2.0,18.0,2.0,,1.0,,12.0,22.0,,24.0,5.0,12.0,21.0,136.0,,,0.0,92.0,13.0,1.0,58.0,47.0,7.0,60.0,1.0,7.0,24.0,,2.0,2.0,167.0,1.0,9.0,94.0,639.0,6.0,10.0,18.0,292.0,34.0,9.0,14.0,2.0,1.0,6.0,3.0,26.0,387.0,48.0,3.0,96740,4.0,177.0,5.0,211.0,5.0,,24.0,14.0,88.0,1.0,16.0,12.0,6.0,68.0,310.0,8.0,25.0,28.0,77.0,,,0.0,,4.0,,,0.0,1.0,1.0,,51.3,23.0,1.0,1.0,4.0,37.0,5.0,1.0,416.0,18.0,9.0,7.0,3.0,21.0,3.0,1.0,217.0,6.0,9.0,28.0,58.0,35.0,3.0,11.0,29.0,,6.0,3.0,32.0,3.0,10.0,5.0,3.0,,,2.0,,1.0,1.0,,,1.0,,2.0,3.0,2.0,,3.0,,1.0,,2.0,1.0,1.0,,,1.0,,,1.0,1.0,2.0,,2.0,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803220,2015-09-19 15:00:00,"Villa Park, Birmingham",36321,Home,Aston Villa,West Bromwich Albion,0,1,L,0,1,0,0,3.0,,57.0,2.0,,,40.0,33.0,9.0,6.0,5.0,167.0,,4.0,12.0,,4.0,7.0,1.0,3.0,111.0,161.0,87.0,3.0,13.0,3.0,24.0,,,1.0,1.0,26.0,24.0,3.0,24.0,2.0,15.0,28.0,201.0,1.0,,0.0,136.0,10.0,2.0,61.0,73.0,4.0,64.0,4.0,24.0,16.0,3.0,12.0,4.0,152.0,1.0,7.0,109.0,680.0,6.0,14.0,20.0,333.0,29.0,9.0,21.0,,2.0,2.0,3.0,29.0,431.0,53.0,,96740,3.0,151.0,12.0,177.0,5.0,1.0,16.0,8.0,57.0,6.0,6.0,3.0,5.0,69.0,348.0,10.0,8.0,26.0,67.0,1.0,,0.0,1.0,7.0,3.0,,0.0,,1.0,,59.8,26.0,5.0,6.0,5.0,42.0,2.0,2.0,451.0,20.0,4.0,11.0,5.0,34.0,1.0,1.0,300.0,6.0,14.0,35.0,89.0,16.0,5.0,20.0,30.0,,9.0,3.0,23.0,5.0,7.0,2.0,2.0,,,3.0,,,,,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,3.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,803223,2015-09-26 15:00:00,"Anfield, Liverpool",44228,Away,Aston Villa,Liverpool,2,3,L,0,1,0,0,1.0,1.0,61.0,1.0,,,22.0,32.0,2.0,1.0,9.0,122.0,,7.0,11.0,2.0,,7.0,,4.0,93.0,127.0,51.0,,10.0,,7.0,,,,2.0,11.0,13.0,2.0,26.0,,11.0,15.0,126.0,,,0.0,74.0,13.0,2.0,34.0,63.0,3.0,44.0,4.0,11.0,17.0,,5.0,,121.0,1.0,14.0,84.0,558.0,4.0,7.0,18.0,254.0,31.0,5.0,17.0,2.0,0.0,7.0,4.0,14.0,316.0,39.0,3.0,96740,7.0,154.0,5.0,176.0,7.0,,17.0,10.0,53.0,11.0,10.0,7.0,7.0,51.0,273.0,8.0,7.0,19.0,61.0,1.0,2.0,0.0,7.0,11.0,5.0,2.0,0.0,2.0,5.0,,37.6,12.0,,11.0,1.0,33.0,1.0,2.0,343.0,18.0,9.0,6.0,5.0,15.0,,5.0,178.0,4.0,10.0,14.0,48.0,14.0,5.0,14.0,18.0,1.0,8.0,2.0,29.0,5.0,9.0,1.0,4.0,1.0,,4.0,1.0,,1.0,,,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,,2.0,,1.0,7.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,1.0,1.0,1.0,2.0,,,,,1.0,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,803237,2015-10-03 15:00:00,"Villa Park, Birmingham",33189,Home,Aston Villa,Stoke City,0,1,L,0,0,0,0,,,69.0,2.0,,,22.0,17.0,7.0,2.0,4.0,164.0,,4.0,22.0,,4.0,8.0,,2.0,118.0,150.0,70.0,2.0,13.0,5.0,17.0,2.0,2.0,1.0,1.0,29.0,17.0,,13.0,8.0,20.0,27.0,262.0,1.0,,0.0,165.0,12.0,2.0,75.0,56.0,5.0,71.0,2.0,22.0,14.0,2.0,7.0,2.0,146.0,1.0,8.0,125.0,711.0,7.0,9.0,14.0,387.0,21.0,4.0,10.0,,1.0,3.0,3.0,29.0,458.0,60.0,,96740,3.0,142.0,15.0,159.0,6.0,,14.0,2.0,68.0,8.0,11.0,4.0,2.0,54.0,400.0,12.0,12.0,21.0,77.0,1.0,1.0,0.0,1.0,5.0,1.0,,0.0,,2.0,,56.3,27.0,7.0,8.0,7.0,45.0,9.0,2.0,478.0,14.0,10.0,14.0,4.0,35.0,3.0,2.0,348.0,9.0,18.0,18.0,127.0,28.0,4.0,8.0,18.0,,8.0,3.0,39.0,4.0,9.0,9.0,3.0,,,2.0,,1.0,,,,2.0,,1.0,1.0,4.0,1.0,1.0,,1.0,,1.0,1.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,803243,2015-10-17 15:00:00,"Stamford Bridge, London",41596,Away,Aston Villa,Chelsea,0,2,L,0,1,0,0,1.0,,67.0,2.0,,,29.0,27.0,3.0,3.0,2.0,161.0,,4.0,10.0,,5.0,6.0,,1.0,92.0,169.0,78.0,1.0,10.0,1.0,24.0,1.0,2.0,1.0,2.0,18.0,15.0,,27.0,4.0,23.0,23.0,169.0,,,0.0,101.0,17.0,,83.0,43.0,3.0,71.0,4.0,14.0,24.0,1.0,3.0,2.0,169.0,1.0,7.0,100.0,673.0,4.0,15.0,27.0,308.0,28.0,10.0,19.0,,3.0,3.0,3.0,31.0,395.0,54.0,,88554,3.0,165.0,8.0,197.0,11.0,,24.0,6.0,80.0,4.0,20.0,3.0,3.0,66.0,330.0,21.0,8.0,32.0,70.0,,,0.0,5.0,4.0,1.0,,0.0,,1.0,,51.0,26.0,1.0,4.0,3.0,36.0,4.0,1.0,424.0,27.0,9.0,11.0,6.0,19.0,1.0,4.0,245.0,5.0,19.0,28.0,73.0,29.0,2.0,19.0,19.0,,5.0,2.0,32.0,2.0,11.0,4.0,1.0,1.0,,,3.0,,1.0,,,,3.0,2.0,2.0,6.0,1.0,2.0,,,,1.0,1.0,3.0,3.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,803258,2015-10-24 15:00:00,"Villa Park, Birmingham",33324,Home,Aston Villa,Swansea City,1,2,L,0,0,0,0,1.0,1.0,71.0,,,,35.0,18.0,2.0,2.0,2.0,171.0,,7.0,15.0,1.0,3.0,8.0,,3.0,90.0,166.0,58.0,1.0,9.0,1.0,22.0,,,1.0,1.0,25.0,11.0,2.0,15.0,4.0,14.0,31.0,162.0,,,0.0,115.0,10.0,1.0,36.0,76.0,3.0,55.0,1.0,21.0,24.0,1.0,2.0,,163.0,2.0,5.0,61.0,573.0,5.0,26.0,19.0,257.0,30.0,19.0,13.0,1.0,2.0,1.0,5.0,29.0,353.0,47.0,,88554,3.0,118.0,18.0,141.0,4.0,1.0,24.0,10.0,54.0,3.0,14.0,5.0,4.0,70.0,273.0,7.0,6.0,41.0,84.0,1.0,,0.0,3.0,6.0,2.0,1.0,0.0,1.0,2.0,,47.9,21.0,3.0,3.0,1.0,39.0,4.0,1.0,377.0,19.0,6.0,13.0,5.0,27.0,3.0,5.0,261.0,5.0,13.0,22.0,77.0,34.0,1.0,12.0,14.0,1.0,6.0,2.0,25.0,1.0,14.0,4.0,,1.0,,1.0,1.0,,1.0,,1.0,,2.0,2.0,2.0,5.0,1.0,1.0,,1.0,,2.0,1.0,,4.0,,,1.0,1.0,2.0,,1.0,,,,,,,1.0,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
