gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attFreekickTotal,accurateKeeperSweeper,attGoalHighRight,freekickTotal,attGoalHighCentre,attMissHighLeft,totalKeeperSweeper,totalOffside,attSvLowRight,attFreekickMiss,savedObox,attCmissRight,attHdTarget,attGoalHighLeft,shieldBallOop,attPostRight,goalsConcededObox,attGoalLowCentre,attCmissHigh,defenderGoals,attCmissLeft,errorLeadToGoal,goalFastbreak,attHdPost,attPostHigh,clearanceOffLine,punches,attSvHighLeft,cleanSheet,attOboxPost,penaltyConceded,penaltyFaced,penGoalsConceded,attObpGoal,attSvHighCentre,attSvHighRight,attFreekickTarget,attPenTarget,attObxLeft,attOboxGoal,secondYellow,attLgCentre,foulThrowIn,attCmissHighRight,attPenMiss
11,803265,2015-10-31 15:00:00,"The Hawthorns, West Bromwich",24150,Away,Leicester City,West Bromwich Albion,3,2,W,0,1,0,0,,1.0,3.0,69.0,1.0,,3.0,,,33.0,27.0,3.0,6.0,4.0,2.0,,162.0,9.0,2.0,3.0,,10.0,,5.0,63.0,167.0,53.0,13.0,2.0,28.0,2.0,1.0,1.0,,2.0,1.0,1.0,28.0,,19.0,,19.0,3.0,4.0,41.0,1.0,152.0,,,0.0,140.0,11.0,,2.0,2.0,1.0,,3.0,71.0,60.0,8.0,52.0,,2.0,25.0,23.0,12.0,1.0,159.0,3.0,,8.0,,93.0,560.0,8.0,16.0,1.0,16.0,248.0,32.0,7.0,13.0,2.0,2.0,3.0,2.0,21.0,347.0,78.0,1.0,,,86417,5.0,115.0,1.0,13.0,,,138.0,9.0,1.0,,23.0,7.0,67.0,1.0,,3.0,9.0,6.0,2.0,,,86.0,258.0,3.0,16.0,,37.0,79.0,1.0,0.0,3.0,6.0,1.0,3.0,2.0,5.0,0.0,9.0,2.0,2.0,52.3,18.0,1.0,4.0,3.0,,5.0,35.0,4.0,3.0,370.0,16.0,4.0,21.0,3.0,27.0,,2.0,260.0,5.0,4.0,23.0,70.0,25.0,1.0,4.0,11.0,25.0,,2.0,11.0,3.0,10.0,4.0,8.0,4.0,,,,,1.0,,,1.0,,,3.0,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
12,803280,2015-11-07 15:00:00,"King Power Stadium, Leicester",32029,Home,Leicester City,Watford,2,1,W,0,0,0,0,,2.0,1.0,80.0,1.0,,1.0,,,28.0,23.0,5.0,5.0,3.0,,2.0,178.0,3.0,10.0,2.0,6.0,8.0,,6.0,78.0,173.0,45.0,12.0,1.0,13.0,1.0,1.0,3.0,,,2.0,,25.0,,10.0,3.0,17.0,4.0,3.0,43.0,,163.0,,1.0,0.0,133.0,11.0,1.0,1.0,1.0,1.0,3.0,,71.0,59.0,6.0,60.0,2.0,1.0,21.0,31.0,5.0,1.0,167.0,,,3.0,,60.0,578.0,6.0,13.0,,31.0,252.0,35.0,7.0,12.0,,0.0,,2.0,15.0,354.0,75.0,2.0,,,86417,3.0,104.0,,13.0,,1.0,134.0,7.0,2.0,,31.0,6.0,42.0,2.0,2.0,1.0,9.0,5.0,5.0,2.0,1.0,69.0,264.0,9.0,6.0,2.0,31.0,86.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,5.0,0.0,1.0,,1.0,41.3,10.0,1.0,5.0,,2.0,2.0,38.0,4.0,,376.0,31.0,5.0,28.0,4.0,26.0,2.0,3.0,267.0,6.0,2.0,11.0,84.0,29.0,1.0,3.0,12.0,15.0,,1.0,8.0,3.0,18.0,3.0,21.0,4.0,,2.0,,,1.0,1.0,2.0,4.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
13,803285,2015-11-21 15:00:00,"St. James' Park, Newcastle",50151,Away,Leicester City,Newcastle United,3,0,W,1,0,0,0,1.0,2.0,2.0,75.0,1.0,,5.0,,,34.0,16.0,3.0,6.0,,,2.0,166.0,5.0,14.0,3.0,2.0,15.0,,7.0,74.0,167.0,69.0,18.0,1.0,19.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,24.0,1.0,24.0,1.0,12.0,5.0,7.0,33.0,,167.0,,,0.0,166.0,12.0,,1.0,,,2.0,3.0,57.0,67.0,10.0,55.0,4.0,1.0,19.0,29.0,4.0,1.0,163.0,3.0,,6.0,,80.0,608.0,11.0,15.0,1.0,23.0,270.0,23.0,17.0,9.0,2.0,1.0,5.0,5.0,29.0,354.0,76.0,2.0,,1.0,86417,5.0,119.0,2.0,13.0,2.0,,135.0,6.0,2.0,,29.0,7.0,58.0,2.0,4.0,3.0,15.0,3.0,3.0,,,68.0,281.0,8.0,8.0,2.0,37.0,72.0,1.0,0.0,4.0,4.0,1.0,3.0,,4.0,0.0,2.0,1.0,2.0,45.7,19.0,1.0,7.0,3.0,4.0,6.0,44.0,9.0,3.0,375.0,23.0,12.0,21.0,5.0,39.0,3.0,3.0,264.0,9.0,6.0,20.0,108.0,37.0,2.0,2.0,9.0,27.0,1.0,,12.0,3.0,22.0,2.0,13.0,9.0,1.0,2.0,,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
14,803295,2015-11-28 17:30:00,"King Power Stadium, Leicester",32115,Home,Leicester City,Manchester United,1,1,D,1,1,0,0,,1.0,,61.0,1.0,,,,,20.0,26.0,4.0,2.0,1.0,,1.0,146.0,1.0,11.0,1.0,,5.0,,3.0,42.0,166.0,61.0,7.0,2.0,16.0,2.0,2.0,1.0,,1.0,1.0,,13.0,,18.0,,18.0,1.0,3.0,36.0,,91.0,,,0.0,108.0,5.0,1.0,3.0,,1.0,1.0,3.0,37.0,55.0,4.0,36.0,3.0,,12.0,14.0,7.0,2.0,158.0,1.0,,6.0,,43.0,482.0,4.0,13.0,,23.0,165.0,26.0,9.0,14.0,1.0,0.0,2.0,1.0,31.0,248.0,72.0,3.0,,,86417,1.0,81.0,1.0,4.0,,,92.0,4.0,1.0,,14.0,7.0,49.0,4.0,2.0,1.0,18.0,4.0,2.0,,,59.0,171.0,7.0,8.0,,29.0,66.0,2.0,0.0,,8.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,,31.1,22.0,,3.0,1.0,2.0,2.0,17.0,1.0,3.0,267.0,23.0,7.0,12.0,2.0,23.0,,,188.0,5.0,3.0,17.0,56.0,26.0,1.0,5.0,11.0,27.0,,1.0,7.0,3.0,24.0,5.0,9.0,1.0,,3.0,,,,2.0,3.0,3.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
15,803305,2015-12-05 15:00:00,"Swansea.com Stadium, Swansea",20836,Away,Leicester City,Swansea City,3,0,W,2,0,0,0,,1.0,2.0,84.0,3.0,,3.0,1.0,1.0,31.0,22.0,6.0,3.0,2.0,1.0,1.0,164.0,3.0,6.0,3.0,2.0,14.0,,5.0,80.0,159.0,37.0,16.0,3.0,19.0,1.0,2.0,1.0,,2.0,1.0,,13.0,,17.0,1.0,19.0,5.0,9.0,47.0,2.0,158.0,,,0.0,144.0,19.0,1.0,3.0,3.0,,1.0,,74.0,39.0,10.0,66.0,1.0,2.0,8.0,24.0,2.0,2.0,156.0,5.0,,8.0,,76.0,572.0,10.0,8.0,,24.0,266.0,44.0,5.0,6.0,3.0,3.0,,4.0,23.0,366.0,74.0,2.0,1.0,,86417,6.0,123.0,4.0,5.0,,1.0,148.0,11.0,1.0,,24.0,6.0,69.0,4.0,1.0,2.0,7.0,2.0,3.0,1.0,,77.0,278.0,3.0,13.0,1.0,31.0,84.0,2.0,0.0,1.0,3.0,2.0,3.0,,1.0,0.0,2.0,3.0,,41.0,15.0,,2.0,1.0,1.0,6.0,43.0,8.0,,386.0,24.0,10.0,27.0,5.0,26.0,1.0,3.0,251.0,12.0,9.0,9.0,86.0,31.0,,3.0,5.0,19.0,,,13.0,2.0,16.0,3.0,16.0,8.0,,3.0,,,,2.0,3.0,2.0,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,
16,803313,2015-12-14 20:00:00,"King Power Stadium, Leicester",32054,Home,Leicester City,Chelsea,2,1,W,1,0,0,0,2.0,2.0,1.0,61.0,,1.0,1.0,,,19.0,33.0,4.0,4.0,2.0,1.0,1.0,150.0,2.0,15.0,2.0,2.0,7.0,,5.0,53.0,173.0,69.0,9.0,,23.0,1.0,,2.0,,2.0,1.0,1.0,15.0,,18.0,2.0,20.0,,4.0,32.0,,113.0,1.0,,0.0,122.0,16.0,1.0,,1.0,1.0,2.0,,46.0,39.0,4.0,35.0,1.0,,15.0,23.0,7.0,2.0,160.0,1.0,,8.0,,37.0,489.0,5.0,13.0,,19.0,153.0,21.0,7.0,13.0,2.0,2.0,5.0,3.0,26.0,252.0,73.0,,,,78412,2.0,53.0,,6.0,,,76.0,8.0,1.0,1.0,23.0,9.0,62.0,,2.0,2.0,6.0,3.0,4.0,,,62.0,164.0,8.0,11.0,,26.0,72.0,,0.0,3.0,8.0,3.0,2.0,1.0,7.0,0.0,2.0,2.0,,34.4,13.0,,4.0,1.0,2.0,1.0,28.0,1.0,,275.0,19.0,8.0,11.0,3.0,33.0,,1.0,214.0,4.0,4.0,20.0,60.0,29.0,1.0,5.0,7.0,26.0,,1.0,8.0,3.0,21.0,5.0,14.0,1.0,,4.0,,,,1.0,4.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
17,803325,2015-12-19 15:00:00,"Goodison Park, Liverpool",39570,Away,Leicester City,Everton,3,2,W,1,1,0,0,1.0,,2.0,68.0,2.0,1.0,,,,21.0,33.0,3.0,5.0,2.0,3.0,2.0,162.0,3.0,8.0,3.0,2.0,5.0,,5.0,42.0,162.0,63.0,10.0,,24.0,1.0,1.0,,,1.0,,2.0,7.0,,23.0,1.0,25.0,2.0,7.0,25.0,,81.0,,2.0,0.0,94.0,14.0,2.0,1.0,2.0,,1.0,2.0,35.0,31.0,1.0,35.0,,3.0,5.0,13.0,1.0,2.0,154.0,,,10.0,,33.0,505.0,2.0,17.0,,35.0,154.0,29.0,6.0,14.0,1.0,1.0,4.0,4.0,24.0,246.0,63.0,2.0,1.0,,78412,6.0,89.0,,3.0,,1.0,116.0,5.0,,,13.0,11.0,69.0,9.0,,1.0,21.0,3.0,5.0,,2.0,64.0,167.0,6.0,20.0,2.0,31.0,85.0,1.0,0.0,3.0,10.0,2.0,3.0,2.0,5.0,0.0,3.0,1.0,1.0,32.6,18.0,1.0,3.0,1.0,,,39.0,2.0,2.0,272.0,35.0,8.0,12.0,5.0,20.0,,3.0,163.0,4.0,5.0,19.0,41.0,26.0,1.0,7.0,11.0,30.0,,2.0,5.0,3.0,13.0,7.0,7.0,2.0,,2.0,,,,,2.0,2.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
18,803335,2015-12-26 15:00:00,"Anfield, Liverpool",44123,Away,Leicester City,Liverpool,0,1,L,0,0,0,0,1.0,3.0,,59.0,,,1.0,,,19.0,47.0,2.0,4.0,3.0,,,163.0,4.0,7.0,,2.0,6.0,,3.0,35.0,200.0,59.0,7.0,,29.0,1.0,,,,,,1.0,17.0,,17.0,2.0,36.0,6.0,8.0,20.0,,97.0,,,0.0,137.0,8.0,2.0,,,1.0,,1.0,36.0,60.0,3.0,39.0,1.0,,11.0,16.0,3.0,,189.0,,1.0,13.0,,41.0,517.0,6.0,13.0,,19.0,146.0,24.0,11.0,24.0,,1.0,10.0,3.0,34.0,244.0,87.0,,,1.0,78412,5.0,66.0,,8.0,1.0,1.0,84.0,2.0,,,16.0,12.0,61.0,,1.0,,21.0,13.0,3.0,2.0,,76.0,159.0,11.0,9.0,,46.0,85.0,,0.0,3.0,7.0,3.0,,1.0,4.0,0.0,4.0,,2.0,35.2,20.0,2.0,2.0,,1.0,1.0,26.0,6.0,1.0,278.0,19.0,11.0,10.0,3.0,31.0,,3.0,211.0,1.0,7.0,22.0,62.0,22.0,,3.0,20.0,21.0,,1.0,5.0,3.0,14.0,3.0,8.0,6.0,,2.0,,,,,2.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
19,803346,2015-12-29 19:45:00,"King Power Stadium, Leicester",32072,Home,Leicester City,Manchester City,0,0,D,0,0,0,0,,2.0,,60.0,,,,,,18.0,36.0,6.0,3.0,5.0,,1.0,174.0,5.0,9.0,,4.0,9.0,,4.0,48.0,196.0,42.0,11.0,,24.0,2.0,,2.0,,,1.0,2.0,17.0,,9.0,2.0,26.0,1.0,6.0,32.0,,127.0,,,0.0,103.0,11.0,4.0,,,2.0,2.0,,76.0,30.0,3.0,46.0,4.0,2.0,16.0,33.0,7.0,4.0,186.0,2.0,,14.0,,61.0,557.0,8.0,7.0,,20.0,194.0,16.0,4.0,21.0,,1.0,7.0,6.0,28.0,305.0,67.0,2.0,,,78412,1.0,83.0,2.0,7.0,,1.0,115.0,7.0,,,33.0,11.0,61.0,3.0,3.0,,15.0,7.0,3.0,3.0,,57.0,205.0,8.0,8.0,1.0,19.0,83.0,,0.0,,13.0,4.0,,,2.0,0.0,5.0,,2.0,39.3,13.0,1.0,3.0,1.0,3.0,,29.0,1.0,,329.0,20.0,8.0,13.0,7.0,19.0,,3.0,231.0,6.0,6.0,11.0,58.0,30.0,,8.0,18.0,14.0,,,9.0,3.0,19.0,8.0,14.0,1.0,1.0,2.0,,1.0,,,2.0,2.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,
20,803353,2016-01-02 15:00:00,"King Power Stadium, Leicester",32006,Home,Leicester City,Bournemouth,0,0,D,0,0,0,1,1.0,1.0,,78.0,,,,,,41.0,8.0,7.0,8.0,,,1.0,195.0,6.0,9.0,,2.0,11.0,,2.0,90.0,181.0,50.0,16.0,2.0,22.0,1.0,,,1.0,,,3.0,30.0,1.0,15.0,1.0,6.0,7.0,12.0,53.0,1.0,241.0,1.0,1.0,0.0,191.0,9.0,,,,,,1.0,85.0,71.0,3.0,76.0,,5.0,23.0,20.0,9.0,4.0,179.0,1.0,1.0,5.0,1.0,118.0,681.0,10.0,14.0,1.0,13.0,368.0,20.0,7.0,3.0,,1.0,5.0,8.0,30.0,463.0,106.0,4.0,,,78412,4.0,142.0,3.0,14.0,,1.0,159.0,4.0,,1.0,20.0,5.0,67.0,5.0,1.0,,21.0,4.0,2.0,2.0,,84.0,377.0,5.0,14.0,1.0,29.0,91.0,,0.0,,1.0,,,,4.0,0.0,5.0,,2.0,53.5,22.0,2.0,6.0,1.0,1.0,2.0,50.0,7.0,1.0,479.0,13.0,14.0,35.0,12.0,43.0,1.0,7.0,350.0,6.0,11.0,18.0,129.0,44.0,,5.0,3.0,18.0,,,10.0,3.0,19.0,5.0,10.0,7.0,,1.0,,,,,1.0,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
21,803367,2016-01-13 20:00:00,"White Hart Lane, London",35850,Away,Leicester City,Tottenham Hotspur,1,0,W,0,0,0,0,,,,68.0,,,3.0,1.0,1.0,23.0,51.0,3.0,3.0,5.0,,1.0,150.0,3.0,5.0,1.0,4.0,7.0,,2.0,42.0,169.0,63.0,10.0,2.0,28.0,,,1.0,,,,1.0,15.0,,21.0,1.0,44.0,3.0,7.0,21.0,,108.0,,,0.0,119.0,10.0,3.0,,,,3.0,1.0,48.0,54.0,6.0,45.0,1.0,1.0,12.0,17.0,1.0,,162.0,,,10.0,,56.0,529.0,6.0,14.0,,16.0,165.0,32.0,10.0,28.0,1.0,0.0,11.0,1.0,18.0,258.0,66.0,,,1.0,78412,6.0,75.0,,8.0,1.0,,101.0,1.0,,,17.0,11.0,56.0,,2.0,,14.0,11.0,2.0,1.0,,70.0,180.0,12.0,5.0,,35.0,74.0,,0.0,2.0,16.0,2.0,1.0,,3.0,0.0,1.0,1.0,1.0,38.3,13.0,,4.0,,2.0,5.0,28.0,8.0,1.0,293.0,16.0,5.0,5.0,3.0,29.0,2.0,3.0,207.0,6.0,7.0,18.0,58.0,23.0,,7.0,24.0,28.0,1.0,,5.0,3.0,14.0,7.0,7.0,8.0,,,,,,,,2.0,1.0,,3.0,,,1.0,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
22,803375,2016-01-16 17:30:00,"Villa Park, Birmingham",32763,Away,Leicester City,Aston Villa,1,1,D,1,0,0,0,1.0,1.0,1.0,70.0,,,1.0,,,39.0,33.0,4.0,4.0,4.0,,3.0,179.0,3.0,6.0,1.0,3.0,9.0,1.0,5.0,68.0,167.0,51.0,12.0,1.0,44.0,2.0,,,,,2.0,1.0,11.0,,15.0,2.0,30.0,2.0,10.0,45.0,,145.0,1.0,1.0,0.0,121.0,15.0,1.0,,,,2.0,1.0,49.0,62.0,4.0,61.0,1.0,2.0,9.0,16.0,2.0,2.0,164.0,1.0,1.0,9.0,,90.0,597.0,8.0,16.0,,20.0,268.0,29.0,11.0,13.0,,2.0,4.0,5.0,23.0,372.0,78.0,2.0,1.0,1.0,78412,4.0,143.0,2.0,5.0,1.0,1.0,174.0,9.0,1.0,1.0,16.0,7.0,85.0,2.0,3.0,1.0,13.0,5.0,5.0,1.0,,81.0,285.0,10.0,9.0,1.0,37.0,97.0,,0.0,2.0,3.0,3.0,1.0,1.0,9.0,0.0,2.0,,1.0,43.5,17.0,1.0,4.0,2.0,3.0,2.0,46.0,4.0,1.0,398.0,20.0,9.0,29.0,5.0,25.0,1.0,3.0,235.0,7.0,8.0,15.0,69.0,27.0,1.0,5.0,12.0,20.0,,1.0,7.0,3.0,15.0,5.0,7.0,4.0,1.0,,,1.0,,,,4.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,
23,803389,2016-01-23 15:00:00,"King Power Stadium, Leicester",32018,Home,Leicester City,Stoke City,3,0,W,1,0,0,0,1.0,1.0,2.0,74.0,1.0,,3.0,,,25.0,19.0,4.0,4.0,2.0,,,169.0,3.0,16.0,3.0,6.0,9.0,,5.0,60.0,175.0,70.0,15.0,,27.0,2.0,,3.0,,2.0,2.0,3.0,24.0,,13.0,,13.0,4.0,10.0,37.0,1.0,154.0,1.0,,0.0,128.0,10.0,,,1.0,,4.0,4.0,68.0,48.0,6.0,54.0,2.0,2.0,20.0,18.0,4.0,3.0,169.0,3.0,,1.0,,76.0,586.0,5.0,18.0,,14.0,243.0,22.0,9.0,10.0,2.0,0.0,1.0,3.0,33.0,336.0,77.0,2.0,,,78412,6.0,109.0,1.0,12.0,,,123.0,3.0,3.0,,18.0,2.0,61.0,2.0,6.0,2.0,14.0,2.0,1.0,1.0,,67.0,260.0,13.0,7.0,2.0,28.0,96.0,,0.0,2.0,4.0,1.0,2.0,,8.0,0.0,2.0,1.0,1.0,45.2,21.0,,5.0,,6.0,3.0,46.0,8.0,4.0,359.0,14.0,11.0,16.0,7.0,41.0,1.0,4.0,260.0,10.0,10.0,22.0,77.0,30.0,1.0,2.0,8.0,19.0,,,11.0,2.0,25.0,2.0,12.0,8.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,2.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
24,803395,2016-02-02 19:45:00,"King Power Stadium, Leicester",32121,Home,Leicester City,Liverpool,2,0,W,0,0,0,0,,3.0,1.0,87.0,,,,,,20.0,39.0,10.0,7.0,1.0,1.0,,164.0,3.0,12.0,2.0,2.0,5.0,,6.0,43.0,191.0,60.0,13.0,3.0,35.0,1.0,,,,1.0,2.0,2.0,13.0,,10.0,3.0,31.0,2.0,14.0,30.0,,123.0,,,0.0,129.0,6.0,,,,,,1.0,70.0,43.0,3.0,56.0,1.0,,11.0,21.0,6.0,3.0,183.0,1.0,,5.0,,62.0,570.0,3.0,13.0,1.0,32.0,198.0,38.0,6.0,25.0,1.0,0.0,8.0,2.0,23.0,302.0,78.0,,,,78412,2.0,87.0,1.0,5.0,,,119.0,3.0,1.0,1.0,21.0,9.0,82.0,,2.0,2.0,11.0,9.0,2.0,2.0,,77.0,207.0,7.0,12.0,1.0,46.0,74.0,,0.0,2.0,12.0,1.0,1.0,,6.0,0.0,2.0,,2.0,36.1,14.0,1.0,6.0,,2.0,3.0,26.0,3.0,1.0,325.0,32.0,18.0,18.0,4.0,21.0,1.0,1.0,219.0,4.0,14.0,26.0,72.0,33.0,2.0,8.0,20.0,16.0,,,10.0,3.0,24.0,8.0,11.0,3.0,2.0,1.0,2.0,2.0,,,1.0,3.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,,,,
25,803405,2016-02-06 12:45:00,"Etihad Stadium, Manchester",54693,Away,Leicester City,Manchester City,3,1,W,1,0,0,0,1.0,1.0,1.0,59.0,,1.0,2.0,2.0,2.0,14.0,27.0,2.0,2.0,3.0,,3.0,150.0,6.0,14.0,3.0,3.0,12.0,,7.0,50.0,152.0,62.0,14.0,,24.0,3.0,,,,1.0,2.0,2.0,16.0,,25.0,1.0,24.0,3.0,10.0,30.0,2.0,126.0,,,0.0,115.0,15.0,1.0,,1.0,,2.0,1.0,73.0,42.0,8.0,40.0,,3.0,13.0,16.0,5.0,1.0,149.0,4.0,1.0,16.0,,56.0,512.0,8.0,10.0,,18.0,181.0,35.0,4.0,12.0,3.0,2.0,6.0,4.0,15.0,269.0,76.0,3.0,1.0,2.0,78412,10.0,70.0,3.0,6.0,1.0,1.0,92.0,11.0,2.0,1.0,16.0,14.0,64.0,3.0,1.0,1.0,10.0,6.0,2.0,,,63.0,190.0,9.0,12.0,1.0,30.0,74.0,,0.0,4.0,11.0,2.0,3.0,1.0,3.0,0.0,4.0,2.0,2.0,34.1,11.0,1.0,2.0,,1.0,2.0,28.0,4.0,2.0,296.0,18.0,3.0,16.0,5.0,25.0,2.0,4.0,220.0,10.0,10.0,12.0,57.0,16.0,,14.0,11.0,27.0,1.0,1.0,9.0,3.0,25.0,14.0,14.0,4.0,,2.0,,,1.0,,2.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
26,803412,2016-02-14 12:00:00,"Emirates Stadium, London",60009,Away,Leicester City,Arsenal,1,2,L,1,0,1,0,1.0,,1.0,71.0,,1.0,,,,12.0,32.0,4.0,,4.0,,1.0,147.0,2.0,9.0,1.0,1.0,6.0,,3.0,40.0,168.0,71.0,7.0,,30.0,1.0,,,,,,2.0,11.0,,25.0,1.0,25.0,1.0,1.0,20.0,,100.0,,1.0,0.0,100.0,10.0,1.0,,,1.0,,,29.0,64.0,2.0,31.0,9.0,1.0,10.0,25.0,2.0,3.0,161.0,1.0,2.0,22.0,,51.0,491.0,5.0,7.0,,26.0,149.0,33.0,4.0,16.0,,3.0,6.0,4.0,15.0,229.0,60.0,,,,78412,3.0,62.0,1.0,8.0,,,89.0,5.0,1.0,,25.0,17.0,72.0,1.0,2.0,,12.0,2.0,2.0,1.0,1.0,68.0,160.0,8.0,16.0,1.0,30.0,73.0,,0.0,4.0,11.0,4.0,1.0,2.0,1.0,1.0,1.0,,2.0,27.9,7.0,1.0,6.0,,2.0,,23.0,1.0,,269.0,26.0,6.0,10.0,4.0,21.0,1.0,1.0,191.0,5.0,1.0,17.0,52.0,23.0,1.0,7.0,12.0,37.0,,2.0,5.0,3.0,20.0,7.0,15.0,1.0,,1.0,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
