gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,goals,attFreekickTotal,attOboxBlocked,goalAssistOpenplay,attSvLowCentre,attMissHighRight,divingSave,midfielderGoals,freekickTotal,attGoalHighCentre,attOboxMiss,goalAssist,penaltyConceded,attRfGoal,goalsOpenplay,punches,attFreekickTarget,overrun,attIboxGoal,goalAssistIntentional,attHdTotal,penaltyFaced,penGoalsConceded,attHdGoal,attGoalLowRight,accurateKeeperSweeper,attMissRight,totalKeeperSweeper,accurateThroughBall,attHdMiss,effectiveBlockedCross,blockedCross,handBall,attObxLeft,shotFastbreak,cleanSheet,totalFastbreak,attHdTarget,attMissHighLeft,totalPullBack,attFastbreak,attSvHighCentre,contentiousDecision,attCmissLeft,attLfGoal,attCmissRight,goalFastbreak,attGoalHighLeft,attFreekickMiss,attGoalLowCentre,postScoringAtt,attOboxGoal,attFreekickPost,hitWoodwork,defenderGoals,attOboxPost,attPostHigh,forwardGoals,attGoalHighRight,attFreekickGoal,penaltyWon,attPenGoal,clearanceOffLine,attPostRight,errorLeadToGoal,goalsConcededObox,expectedGoalsOnTarget,attemptsIbox,expectedGoalsOnTargetConceded,attemptsObox,touchesInOppBox,expectedAssists,expectedGoalsFreekick,attCorner,expectedGoals,accuratePullBack,attIboxPost,attHdPost,foulThrowIn,attObxdRight,attSvHighRight,attPostLeft,attCmissHighRight,attLgCentre,attObxdLeft
1,803169,2015-08-08 12:45:00,"Old Trafford, Manchester",75261,Away,Tottenham Hotspur,Manchester United,0,1,L,0,1,0,0,1.0,66.0,3.0,33.0,20.0,1.0,2.0,1.0,3.0,147.0,2.0,6.0,3.0,7.0,4.0,141.0,151.0,55.0,9.0,8.0,3.0,2.0,1.0,12.0,25.0,1.0,13.0,2.0,9.0,42.0,1.0,135.0,0.0,98.0,12.0,1.0,2.0,2.0,1.0,42.0,39.0,6.0,79.0,1.0,10.0,20.0,3.0,144.0,1.0,6.0,120.0,679.0,5.0,7.0,29.0,372.0,27.0,7.0,12.0,3.0,4.0,1.0,24.0,467.0,58.0,1.0,1.0,97485,4.0,258.0,1.0,5.0,1.0,2.0,285.0,10.0,20.0,7.0,43.0,1.0,1.0,2.0,2.0,4.0,9.0,4.0,7.0,1.0,74.0,391.0,12.0,2.0,2.0,31.0,78.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,50.0,18.0,5.0,2.0,4.0,3.0,42.0,2.0,1.0,487.0,29.0,13.0,22.0,2.0,31.0,1.0,2.0,214.0,5.0,9.0,11.0,52.0,29.0,1.0,9.0,26.0,1.0,5.0,3.0,14.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803180,2015-08-15 15:00:00,"White Hart Lane, London",36004,Home,Tottenham Hotspur,Stoke City,2,2,D,2,0,0,0,2.0,49.0,2.0,27.0,17.0,6.0,4.0,5.0,3.0,176.0,3.0,9.0,2.0,9.0,7.0,122.0,148.0,53.0,13.0,13.0,3.0,1.0,1.0,14.0,11.0,2.0,11.0,4.0,17.0,29.0,,168.0,0.0,104.0,15.0,,2.0,1.0,1.0,70.0,44.0,6.0,78.0,2.0,10.0,12.0,5.0,142.0,4.0,11.0,124.0,687.0,6.0,5.0,16.0,391.0,16.0,5.0,10.0,2.0,2.0,2.0,35.0,473.0,61.0,,1.0,93464,3.0,242.0,3.0,4.0,,,267.0,4.0,12.0,10.0,56.0,,,1.0,3.0,4.0,9.0,4.0,3.0,,74.0,407.0,11.0,9.0,,33.0,88.0,2.0,0.0,3.0,4.0,2.0,2.0,0.0,2.0,1.0,53.2,29.0,3.0,2.0,4.0,4.0,50.0,4.0,1.0,500.0,16.0,8.0,13.0,2.0,26.0,1.0,,247.0,8.0,16.0,17.0,58.0,23.0,,6.0,16.0,2.0,11.0,2.0,20.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803191,2015-08-22 15:00:00,"King Power Stadium, Leicester",31971,Away,Tottenham Hotspur,Leicester City,1,1,D,0,0,0,0,2.0,48.0,3.0,32.0,41.0,7.0,3.0,1.0,3.0,162.0,5.0,11.0,,16.0,6.0,156.0,138.0,53.0,19.0,16.0,2.0,1.0,1.0,18.0,8.0,3.0,34.0,5.0,10.0,30.0,,245.0,0.0,164.0,14.0,,,,,84.0,86.0,8.0,68.0,,13.0,8.0,6.0,131.0,2.0,7.0,137.0,715.0,12.0,4.0,8.0,425.0,24.0,3.0,28.0,4.0,6.0,8.0,26.0,505.0,73.0,,1.0,93464,6.0,200.0,1.0,7.0,,,226.0,11.0,8.0,5.0,60.0,,,2.0,,1.0,9.0,6.0,3.0,5.0,61.0,440.0,7.0,11.0,3.0,19.0,70.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,,65.2,22.0,5.0,2.0,1.0,4.0,49.0,7.0,,523.0,8.0,12.0,17.0,9.0,24.0,3.0,6.0,315.0,12.0,8.0,25.0,126.0,17.0,,22.0,11.0,1.0,15.0,3.0,18.0,4.0,7.0,1.0,,,,,1.0,,1.0,1.0,4.0,,,,,,3.0,1.0,,,1.0,,,3.0,1.0,1.0,4.0,,,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803194,2015-08-29 17:30:00,"White Hart Lane, London",35865,Home,Tottenham Hotspur,Everton,0,0,D,0,0,0,0,4.0,66.0,3.0,29.0,17.0,9.0,9.0,3.0,1.0,134.0,3.0,5.0,,18.0,6.0,133.0,129.0,54.0,20.0,11.0,5.0,2.0,2.0,22.0,19.0,1.0,14.0,3.0,13.0,28.0,2.0,204.0,0.0,151.0,20.0,,1.0,,,48.0,64.0,11.0,65.0,1.0,19.0,14.0,4.0,126.0,3.0,4.0,108.0,624.0,17.0,9.0,13.0,351.0,23.0,4.0,9.0,4.0,1.0,7.0,16.0,416.0,56.0,,1.0,93464,6.0,171.0,3.0,15.0,,,188.0,11.0,14.0,8.0,55.0,,,1.0,3.0,4.0,13.0,4.0,7.0,3.0,57.0,372.0,9.0,8.0,1.0,17.0,66.0,3.0,0.0,2.0,1.0,,3.0,0.0,2.0,1.0,49.9,14.0,1.0,2.0,4.0,6.0,41.0,6.0,,440.0,13.0,12.0,17.0,8.0,35.0,1.0,2.0,274.0,10.0,11.0,16.0,119.0,34.0,,7.0,25.0,,19.0,2.0,10.0,6.0,6.0,,,2.0,,,,,3.0,,1.0,,1.0,,,,6.0,,,,,,,4.0,,,1.0,,,,,,1.0,,1.0,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803211,2015-09-13 13:30:00,"Stadium of Light, Sunderland",40303,Away,Tottenham Hotspur,Sunderland,1,0,W,0,0,0,0,1.0,59.0,3.0,33.0,31.0,7.0,4.0,2.0,1.0,152.0,2.0,9.0,2.0,13.0,4.0,107.0,156.0,55.0,15.0,25.0,2.0,3.0,2.0,22.0,18.0,1.0,25.0,6.0,12.0,38.0,1.0,193.0,0.0,142.0,12.0,,1.0,2.0,1.0,58.0,50.0,7.0,50.0,3.0,16.0,14.0,3.0,150.0,3.0,6.0,102.0,646.0,12.0,2.0,15.0,313.0,22.0,6.0,12.0,1.0,5.0,6.0,30.0,386.0,73.0,,,93464,5.0,136.0,2.0,11.0,,,154.0,4.0,14.0,9.0,65.0,,,2.0,,6.0,19.0,6.0,3.0,2.0,70.0,327.0,11.0,8.0,,24.0,77.0,,0.0,6.0,1.0,,2.0,0.0,1.0,1.0,56.1,27.0,1.0,,6.0,5.0,42.0,8.0,2.0,411.0,15.0,18.0,25.0,6.0,34.0,1.0,2.0,279.0,9.0,12.0,9.0,99.0,28.0,,9.0,26.0,,13.0,3.0,13.0,3.0,8.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,4.0,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,,,,,2.0,1.0,2.0,1.0,1.0,6.0,6.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803213,2015-09-20 13:30:00,"White Hart Lane, London",35723,Home,Tottenham Hotspur,Crystal Palace,1,0,W,0,0,0,0,2.0,55.0,2.0,38.0,27.0,13.0,6.0,4.0,3.0,162.0,3.0,11.0,4.0,17.0,6.0,101.0,156.0,61.0,21.0,18.0,1.0,3.0,1.0,17.0,24.0,4.0,21.0,5.0,18.0,22.0,,212.0,0.0,144.0,9.0,1.0,1.0,1.0,3.0,71.0,49.0,13.0,65.0,3.0,12.0,18.0,2.0,150.0,,6.0,108.0,698.0,14.0,7.0,18.0,342.0,20.0,10.0,18.0,1.0,4.0,4.0,30.0,415.0,65.0,,,93464,3.0,149.0,,9.0,1.0,,166.0,4.0,18.0,5.0,68.0,,,,3.0,6.0,18.0,6.0,4.0,3.0,68.0,358.0,11.0,10.0,2.0,32.0,85.0,3.0,0.0,5.0,2.0,,5.0,0.0,1.0,,57.1,24.0,3.0,2.0,6.0,9.0,51.0,6.0,3.0,436.0,18.0,18.0,16.0,6.0,26.0,2.0,4.0,287.0,13.0,16.0,9.0,106.0,22.0,,17.0,32.0,,16.0,3.0,24.0,12.0,6.0,,,2.0,,,1.0,3.0,7.0,1.0,,,3.0,1.0,3.0,,2.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,2.0,2.0,,,2.0,1.0,3.0,,1.0,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,803228,2015-09-26 12:45:00,"White Hart Lane, London",35867,Home,Tottenham Hotspur,Manchester City,4,1,W,1,1,0,0,3.0,57.0,4.0,30.0,40.0,3.0,7.0,7.0,1.0,176.0,5.0,13.0,2.0,10.0,8.0,83.0,182.0,61.0,15.0,23.0,4.0,2.0,1.0,17.0,16.0,,35.0,4.0,13.0,34.0,,155.0,0.0,120.0,17.0,1.0,1.0,1.0,2.0,55.0,61.0,9.0,66.0,4.0,13.0,28.0,5.0,177.0,2.0,13.0,82.0,671.0,7.0,7.0,26.0,278.0,22.0,9.0,24.0,5.0,8.0,1.0,31.0,382.0,65.0,1.0,1.0,93464,7.0,141.0,1.0,7.0,1.0,2.0,166.0,13.0,28.0,10.0,65.0,,,1.0,5.0,5.0,10.0,9.0,5.0,,72.0,291.0,5.0,7.0,1.0,29.0,94.0,,0.0,9.0,3.0,1.0,1.0,0.0,4.0,1.0,46.0,21.0,3.0,2.0,5.0,4.0,45.0,5.0,2.0,407.0,26.0,14.0,17.0,3.0,25.0,1.0,1.0,258.0,6.0,11.0,15.0,62.0,22.0,,24.0,28.0,1.0,11.0,3.0,17.0,16.0,5.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,,1.0,2.0,,4.0,2.0,1.0,,1.0,2.0,,2.0,2.0,1.0,,6.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,5.0,5.0,,,,,,,1.0,2.0,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,803238,2015-10-04 16:00:00,"Swansea.com Stadium, Swansea",20845,Away,Tottenham Hotspur,Swansea City,2,2,D,1,2,0,0,4.0,62.0,2.0,27.0,28.0,10.0,6.0,1.0,5.0,160.0,2.0,13.0,4.0,15.0,11.0,126.0,140.0,43.0,19.0,18.0,4.0,2.0,2.0,26.0,17.0,5.0,20.0,6.0,23.0,27.0,,198.0,0.0,128.0,19.0,,2.0,1.0,1.0,72.0,45.0,11.0,69.0,2.0,20.0,10.0,4.0,132.0,1.0,8.0,128.0,680.0,14.0,4.0,19.0,395.0,18.0,4.0,19.0,4.0,4.0,4.0,13.0,466.0,62.0,,,97485,1.0,212.0,1.0,15.0,,,227.0,6.0,10.0,8.0,61.0,,1.0,,,5.0,10.0,4.0,6.0,1.0,45.0,408.0,8.0,8.0,1.0,16.0,69.0,3.0,0.0,5.0,1.0,2.0,,0.0,,1.0,54.4,11.0,4.0,5.0,5.0,4.0,42.0,6.0,1.0,483.0,19.0,6.0,17.0,4.0,32.0,2.0,3.0,282.0,12.0,21.0,5.0,91.0,34.0,1.0,18.0,17.0,2.0,15.0,3.0,25.0,6.0,6.0,,,,,,2.0,3.0,2.0,,4.0,,1.0,2.0,3.0,,1.0,,,2.0,,,1.0,3.0,,,1.0,,,,1.0,2.0,1.0,2.0,,1.0,2.0,2.0,,,2.0,,2.0,,,,2.0,,,1.0,,,,,,,,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,803246,2015-10-17 12:45:00,"White Hart Lane, London",35926,Home,Tottenham Hotspur,Liverpool,0,0,D,0,0,0,0,1.0,74.0,2.0,26.0,36.0,8.0,3.0,3.0,3.0,165.0,6.0,12.0,2.0,9.0,4.0,85.0,186.0,78.0,13.0,20.0,2.0,,,21.0,31.0,2.0,30.0,7.0,10.0,25.0,,143.0,0.0,111.0,15.0,,1.0,2.0,1.0,93.0,37.0,6.0,58.0,2.0,14.0,27.0,3.0,180.0,,4.0,99.0,687.0,8.0,9.0,20.0,286.0,29.0,2.0,16.0,1.0,5.0,3.0,31.0,383.0,59.0,,,97485,3.0,167.0,,9.0,1.0,,192.0,7.0,27.0,4.0,74.0,1.0,,2.0,2.0,5.0,22.0,8.0,3.0,2.0,61.0,304.0,11.0,12.0,1.0,28.0,79.0,1.0,0.0,6.0,1.0,,4.0,0.0,4.0,1.0,48.5,23.0,7.0,1.0,5.0,5.0,40.0,8.0,1.0,407.0,20.0,19.0,13.0,4.0,26.0,2.0,1.0,236.0,9.0,9.0,14.0,66.0,27.0,,15.0,41.0,,10.0,2.0,22.0,11.0,8.0,,,2.0,,,,,3.0,,2.0,1.0,,,,,3.0,,,,,,,1.0,,,1.0,,,,,3.0,,3.0,,1.0,4.0,4.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,803259,2015-10-25 14:05:00,"Vitality Stadium, Bournemouth",11332,Away,Tottenham Hotspur,Bournemouth,5,1,W,3,1,0,0,1.0,65.0,,34.0,24.0,5.0,5.0,1.0,2.0,165.0,4.0,6.0,3.0,8.0,10.0,120.0,151.0,57.0,15.0,12.0,5.0,1.0,1.0,15.0,17.0,,19.0,4.0,10.0,34.0,1.0,226.0,0.0,123.0,15.0,,1.0,,,85.0,62.0,7.0,87.0,2.0,11.0,14.0,4.0,146.0,1.0,6.0,117.0,691.0,4.0,12.0,26.0,390.0,19.0,11.0,13.0,1.0,3.0,1.0,23.0,468.0,60.0,,,97485,6.0,180.0,,7.0,,2.0,200.0,11.0,14.0,7.0,63.0,,,1.0,5.0,1.0,9.0,5.0,2.0,,70.0,402.0,8.0,8.0,3.0,26.0,94.0,2.0,0.0,4.0,1.0,1.0,,0.0,2.0,1.0,54.2,18.0,6.0,,1.0,3.0,55.0,5.0,,489.0,26.0,19.0,14.0,2.0,29.0,2.0,,304.0,8.0,10.0,19.0,85.0,37.0,,12.0,24.0,1.0,9.0,3.0,16.0,5.0,5.0,5.0,2.0,1.0,,,5.0,,3.0,1.0,2.0,,,2.0,,1.0,1.0,1.0,,3.0,2.0,,,,5.0,1.0,2.0,,,,1.0,,,,,,,,1.0,,,,,2.0,,,,,,,2.0,,,,,1.0,1.0,,,1.0,,1.0,,3.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
