gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,attFreekickTotal,attBxRight,attSvHighRight,cleanSheet,freekickCross,freekickTotal,attCmissHigh,attMissHigh,attCmissLeft,attHdMiss,attSvHighCentre,attFreekickMiss,attIboxMiss,savedObox,bigChanceCreated,attMissHighLeft,accurateFreekickCross,bigChanceMissed,sixYardBlock,attSetpiece,attAssistSetplay,attLgCentre,errorLeadToShot,bigChanceScored,attGoalLowLeft,goalAssistSetplay,attSvLowLeft,goalAssistIntentional,forwardGoals,attGoalLowCentre,attOneOnOne,postScoringAtt,attFreekickPost,hitWoodwork,penaltyConceded,attOboxPost,attPostHigh,penaltyFaced,penGoalsConceded,penaltySave,attLfGoal,attIboxPost,accurateThroughBall,attOboxGoal,attHdPost,touchesInOppBox,penaltyWon,attCmissHighLeft,attPenGoal,attPostRight,attGoalHighCentre,ownGoals,attIboxOwnGoal,attHdGoal,attGoalHighRight,attPostLeft,defenderGoals,attObxdLeft,clearanceOffLine,attObxRight,goalAssistDeadball,attPenTarget,secondYellow,attCmissHighRight,attSvHighLeft,attemptsIbox,attemptsObox,ptsDroppedWinningPos,attFreekickGoal
1,803170,2015-08-08 15:00:00,"Goodison Park, Liverpool",39063,Away,Watford,Everton,2,2,D,1,0,0,0,1.0,2.0,67.0,1.0,2.0,22.0,53.0,6.0,3.0,3.0,140.0,3.0,11.0,2.0,1.0,8.0,1.0,1.0,5.0,52.0,142.0,72.0,11.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,19.0,2.0,42.0,2.0,17.0,21.0,126.0,1.0,0.0,120.0,13.0,1.0,1.0,1.0,2.0,53.0,41.0,7.0,47.0,8.0,1.0,11.0,10.0,2.0,3.0,131.0,1.0,6.0,47.0,510.0,7.0,17.0,1.0,37.0,186.0,31.0,9.0,21.0,1.0,1.0,2.0,2.0,1.0,14.0,255.0,68.0,98780,4.0,77.0,9.0,84.0,8.0,2.0,1.0,10.0,9.0,53.0,3.0,1.0,1.0,2.0,11.0,4.0,3.0,59.0,200.0,7.0,6.0,31.0,85.0,1.0,1.0,2.0,3.0,0.0,2.0,8.0,3.0,2.0,2.0,5.0,0.0,2.0,4.0,1.0,1.0,33.4,10.0,4.0,1.0,3.0,3.0,37.0,2.0,2.0,286.0,37.0,9.0,12.0,3.0,24.0,1.0,215.0,7.0,16.0,29.0,73.0,20.0,2.0,19.0,25.0,1.0,11.0,3.0,16.0,1.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803181,2015-08-15 15:00:00,"Vicarage Road, Watford",20011,Home,Watford,West Bromwich Albion,0,0,D,0,0,0,0,,3.0,56.0,,2.0,45.0,20.0,9.0,4.0,,145.0,10.0,9.0,,4.0,15.0,,,5.0,147.0,151.0,52.0,16.0,1.0,26.0,1.0,1.0,1.0,,3.0,4.0,33.0,9.0,4.0,18.0,2.0,32.0,36.0,261.0,2.0,0.0,183.0,13.0,,1.0,,,85.0,94.0,8.0,73.0,,,31.0,20.0,12.0,4.0,149.0,,4.0,133.0,721.0,15.0,11.0,,20.0,403.0,21.0,12.0,5.0,,1.0,1.0,1.0,7.0,32.0,480.0,83.0,88935,5.0,167.0,17.0,182.0,5.0,,,20.0,8.0,64.0,,,6.0,,12.0,2.0,5.0,85.0,418.0,10.0,4.0,37.0,67.0,1.0,,,1.0,0.0,3.0,4.0,,,,6.0,0.0,9.0,1.0,2.0,1.0,63.9,26.0,2.0,,6.0,3.0,42.0,2.0,,498.0,20.0,17.0,21.0,8.0,34.0,1.0,349.0,9.0,31.0,18.0,134.0,26.0,3.0,5.0,15.0,,15.0,2.0,16.0,,3.0,11.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803188,2015-08-23 16:00:00,"Vicarage Road, Watford",20166,Home,Watford,Southampton,0,0,D,0,0,0,0,,,75.0,,3.0,33.0,15.0,7.0,2.0,4.0,187.0,4.0,11.0,,1.0,10.0,,,,85.0,185.0,62.0,13.0,4.0,23.0,,,,,,2.0,30.0,12.0,,14.0,2.0,10.0,40.0,205.0,1.0,0.0,153.0,10.0,4.0,,,2.0,90.0,64.0,5.0,71.0,,1.0,28.0,18.0,9.0,3.0,184.0,1.0,8.0,88.0,639.0,7.0,16.0,,14.0,294.0,26.0,8.0,11.0,,,0.0,,4.0,31.0,401.0,80.0,73698,2.0,115.0,17.0,138.0,6.0,,,18.0,14.0,51.0,,4.0,10.0,,12.0,6.0,9.0,80.0,316.0,11.0,5.0,30.0,82.0,,,,1.0,0.0,2.0,2.0,3.0,,,4.0,0.0,3.0,,3.0,2.0,52.0,25.0,4.0,,13.0,7.0,43.0,5.0,2.0,431.0,14.0,8.0,19.0,6.0,36.0,1.0,323.0,7.0,7.0,25.0,93.0,30.0,,11.0,15.0,,9.0,2.0,17.0,,,10.0,5.0,,,,2.0,,1.0,2.0,,1.0,1.0,,3.0,,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803199,2015-08-29 15:00:00,"Etihad Stadium, Manchester",53218,Away,Watford,Manchester City,0,2,L,0,0,0,0,,,51.0,,3.0,27.0,23.0,3.0,,3.0,138.0,1.0,8.0,,2.0,4.0,,,,119.0,115.0,50.0,7.0,2.0,9.0,,,,,,2.0,13.0,21.0,,16.0,3.0,29.0,29.0,209.0,,0.0,93.0,12.0,3.0,,,,61.0,49.0,2.0,75.0,1.0,,10.0,14.0,2.0,2.0,108.0,,8.0,126.0,634.0,4.0,7.0,,19.0,377.0,30.0,2.0,6.0,,,2.0,5.0,2.0,11.0,432.0,42.0,97296,3.0,185.0,8.0,211.0,7.0,,,14.0,13.0,48.0,,1.0,3.0,,10.0,10.0,8.0,52.0,393.0,9.0,13.0,16.0,66.0,,,,1.0,0.0,2.0,9.0,2.0,,2.0,3.0,0.0,,,,,41.3,9.0,4.0,,4.0,5.0,44.0,3.0,,458.0,19.0,11.0,18.0,2.0,19.0,1.0,260.0,7.0,26.0,3.0,68.0,12.0,3.0,5.0,30.0,2.0,4.0,3.0,12.0,,3.0,9.0,3.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803210,2015-09-12 15:00:00,"Vicarage Road, Watford",20057,Home,Watford,Swansea City,1,0,W,0,0,1,0,,3.0,56.0,,,34.0,27.0,8.0,3.0,3.0,139.0,1.0,5.0,1.0,5.0,11.0,,2.0,6.0,72.0,141.0,47.0,17.0,4.0,20.0,4.0,1.0,1.0,,3.0,3.0,15.0,12.0,1.0,20.0,1.0,17.0,17.0,147.0,,0.0,134.0,11.0,1.0,1.0,,1.0,65.0,48.0,7.0,55.0,3.0,3.0,14.0,17.0,4.0,3.0,134.0,,3.0,64.0,520.0,10.0,14.0,,25.0,222.0,25.0,19.0,11.0,1.0,1.0,1.0,1.0,4.0,21.0,299.0,71.0,88935,4.0,90.0,6.0,102.0,6.0,1.0,,17.0,11.0,44.0,,,1.0,,12.0,5.0,3.0,87.0,236.0,13.0,6.0,56.0,80.0,1.0,,,3.0,0.0,2.0,3.0,1.0,1.0,,4.0,1.0,1.0,3.0,,,39.2,18.0,2.0,,2.0,4.0,32.0,1.0,1.0,330.0,25.0,4.0,9.0,7.0,21.0,,243.0,14.0,15.0,13.0,84.0,24.0,2.0,9.0,17.0,,14.0,3.0,9.0,,2.0,11.0,1.0,,2.0,,4.0,,1.0,4.0,,,1.0,,,,,4.0,2.0,2.0,,,1.0,,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803219,2015-09-19 15:00:00,"St. James' Park, Newcastle",47806,Away,Watford,Newcastle United,2,1,W,2,0,0,0,,1.0,79.0,,,39.0,19.0,6.0,2.0,4.0,156.0,2.0,9.0,2.0,,12.0,,1.0,4.0,78.0,166.0,56.0,13.0,3.0,11.0,1.0,,,2.0,2.0,2.0,9.0,24.0,1.0,14.0,4.0,25.0,17.0,177.0,1.0,0.0,128.0,12.0,3.0,,,7.0,59.0,35.0,6.0,69.0,4.0,1.0,5.0,19.0,1.0,2.0,161.0,,9.0,78.0,587.0,7.0,9.0,,18.0,257.0,33.0,21.0,5.0,2.0,,2.0,3.0,6.0,16.0,346.0,74.0,97296,4.0,100.0,4.0,119.0,5.0,2.0,,19.0,14.0,56.0,1.0,1.0,4.0,2.0,14.0,6.0,5.0,85.0,275.0,7.0,15.0,54.0,93.0,,,,2.0,0.0,5.0,5.0,2.0,2.0,1.0,3.0,0.0,,,2.0,,42.4,11.0,6.0,1.0,8.0,3.0,41.0,5.0,7.0,381.0,18.0,15.0,8.0,6.0,32.0,2.0,271.0,9.0,21.0,11.0,79.0,22.0,9.0,5.0,29.0,1.0,11.0,3.0,13.0,,9.0,12.0,5.0,,1.0,,,,,,,,,,2.0,,,4.0,2.0,2.0,2.0,,1.0,,,3.0,,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,803226,2015-09-27 16:00:00,"Vicarage Road, Watford",20168,Home,Watford,Crystal Palace,0,1,L,0,0,0,0,,,44.0,,1.0,34.0,20.0,9.0,4.0,2.0,159.0,5.0,3.0,,7.0,10.0,,,2.0,92.0,164.0,58.0,15.0,3.0,10.0,,,1.0,,1.0,4.0,30.0,10.0,2.0,15.0,6.0,17.0,19.0,166.0,,0.0,136.0,17.0,2.0,,,3.0,41.0,44.0,4.0,56.0,2.0,1.0,24.0,12.0,8.0,3.0,159.0,,8.0,79.0,585.0,8.0,17.0,,10.0,270.0,22.0,17.0,9.0,,1.0,4.0,5.0,6.0,30.0,354.0,85.0,98780,5.0,129.0,12.0,151.0,11.0,,,12.0,11.0,51.0,,,7.0,,7.0,8.0,5.0,83.0,290.0,22.0,10.0,56.0,79.0,,,,2.0,0.0,,4.0,1.0,,1.0,5.0,0.0,4.0,1.0,5.0,2.0,55.3,15.0,1.0,,7.0,4.0,32.0,6.0,3.0,386.0,10.0,2.0,11.0,9.0,41.0,1.0,265.0,6.0,15.0,21.0,86.0,9.0,5.0,7.0,14.0,1.0,8.0,3.0,15.0,,5.0,7.0,6.0,,2.0,2.0,,,,4.0,2.0,,1.0,,5.0,,,5.0,1.0,,2.0,1.0,,,4.0,2.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,803239,2015-10-03 15:00:00,"Vitality Stadium, Bournemouth",11187,Away,Watford,Bournemouth,1,1,D,1,1,0,0,,1.0,62.0,,2.0,36.0,16.0,5.0,4.0,5.0,169.0,3.0,11.0,1.0,3.0,6.0,,,2.0,97.0,175.0,57.0,11.0,2.0,26.0,1.0,,4.0,,,2.0,16.0,15.0,,11.0,3.0,12.0,35.0,163.0,,0.0,127.0,13.0,4.0,,,2.0,63.0,67.0,4.0,72.0,2.0,2.0,13.0,23.0,4.0,3.0,170.0,,6.0,83.0,614.0,6.0,14.0,,16.0,298.0,32.0,13.0,8.0,,4.0,1.0,2.0,2.0,31.0,398.0,71.0,98780,2.0,149.0,6.0,175.0,12.0,,,23.0,6.0,64.0,1.0,1.0,2.0,1.0,17.0,6.0,3.0,86.0,309.0,8.0,15.0,43.0,96.0,,,1.0,1.0,0.0,1.0,5.0,3.0,1.0,1.0,7.0,0.0,3.0,1.0,1.0,,45.6,18.0,3.0,2.0,5.0,4.0,42.0,3.0,2.0,421.0,16.0,5.0,18.0,5.0,18.0,,262.0,6.0,11.0,20.0,76.0,14.0,3.0,7.0,18.0,1.0,7.0,3.0,16.0,,3.0,11.0,3.0,,,1.0,2.0,,,3.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,2.0,,,,1.0,,,,,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,803242,2015-10-17 17:30:00,"Vicarage Road, Watford",20721,Home,Watford,Arsenal,0,3,L,0,0,0,0,,,58.0,,,38.0,25.0,6.0,3.0,3.0,127.0,3.0,8.0,,3.0,7.0,1.0,,1.0,63.0,139.0,55.0,8.0,1.0,12.0,,,1.0,,1.0,1.0,16.0,20.0,1.0,22.0,3.0,16.0,33.0,144.0,,0.0,118.0,11.0,3.0,,,2.0,37.0,34.0,1.0,41.0,3.0,3.0,13.0,19.0,4.0,4.0,136.0,,13.0,75.0,510.0,6.0,14.0,,17.0,205.0,17.0,21.0,8.0,,1.0,2.0,6.0,6.0,18.0,278.0,67.0,98780,1.0,85.0,8.0,98.0,6.0,,2.0,19.0,7.0,58.0,,1.0,3.0,,16.0,4.0,5.0,75.0,226.0,12.0,18.0,43.0,63.0,,,,,0.0,2.0,9.0,2.0,,3.0,7.0,0.0,2.0,1.0,,,33.3,12.0,5.0,,4.0,1.0,36.0,3.0,2.0,306.0,17.0,12.0,17.0,6.0,31.0,1.0,224.0,5.0,15.0,10.0,68.0,28.0,5.0,7.0,25.0,3.0,7.0,3.0,13.0,,5.0,12.0,3.0,,1.0,,1.0,,,1.0,,,,1.0,,,,2.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,803260,2015-10-24 15:00:00,"bet365 Stadium, Stoke",27587,Away,Watford,Stoke City,2,0,W,1,0,0,0,,,52.0,1.0,3.0,29.0,25.0,6.0,3.0,,133.0,4.0,3.0,2.0,3.0,9.0,,,3.0,56.0,141.0,45.0,13.0,2.0,13.0,,,,2.0,1.0,1.0,12.0,18.0,1.0,21.0,4.0,12.0,21.0,114.0,,0.0,111.0,18.0,,,1.0,,33.0,44.0,7.0,38.0,5.0,,8.0,18.0,3.0,3.0,137.0,,4.0,42.0,455.0,6.0,17.0,,20.0,169.0,22.0,14.0,10.0,2.0,,1.0,3.0,2.0,18.0,238.0,59.0,98780,5.0,78.0,3.0,91.0,9.0,2.0,,18.0,13.0,54.0,,,2.0,2.0,18.0,7.0,8.0,64.0,188.0,10.0,7.0,40.0,74.0,,,,4.0,0.0,2.0,11.0,,1.0,,5.0,0.0,3.0,,1.0,,33.8,9.0,8.0,,2.0,5.0,34.0,5.0,,269.0,20.0,11.0,8.0,5.0,27.0,1.0,190.0,9.0,11.0,13.0,67.0,19.0,4.0,9.0,20.0,,11.0,3.0,11.0,,4.0,14.0,5.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,1.0,,,1.0,2.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,2.0,,2.0,,,2.0,,,,,2.0,,1.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
