gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,goalAssistOpenplay,attMissHighRight,crosses18yardplus,attOboxMiss,contentiousDecision,attHdTarget,hitWoodwork,attMissHigh,attGoalHighLeft,goalsConceded,attHdMiss,accurateCornersIntobox,goalsConcededIbox,attGoalLowRight,attGoalHighRight,penaltyWon,errorLeadToShot,penaltyConceded,attPenGoal,penaltyFaced,penGoalsConceded,errorLeadToGoal,attLfGoal,attSvLowRight,handBall,attFreekickTotal,shotFastbreak,postScoringAtt,goalFastbreak,attIboxPost,totalFastbreak,freekickTotal,attObxdRight,attMissHighLeft,bigChanceMissed,totalPullBack,attFastbreak,attPostHigh,attFreekickMiss,goalsConcededObox,attOneOnOne,foulThrowIn,attLgCentre,attCmissHighRight,attSvHighLeft,sixYardBlock,attCmissHigh,defenderGoals,attCmissHighLeft,attFreekickTarget,accuratePullBack,attHdPost,attPostRight,clearanceOffLine,attObxdLeft,ownGoals,attFreekickGoal,attSvHighCentre,attIboxOwnGoal,attPostLeft,attSvHighRight,attOboxPost,attGoalHighCentre,attObxLeft,penaltySave
1,803171,2015-08-09 13:30:00,"Emirates Stadium, London",59996,Away,West Ham United,Arsenal,2,0,W,1,0,0,0,1.0,1.0,59.0,1.0,1.0,1.0,1.0,33.0,25.0,4.0,2.0,6.0,1.0,159.0,1.0,1.0,12.0,2.0,2.0,7.0,1.0,4.0,59.0,148.0,64.0,8.0,2.0,32.0,1.0,1.0,2.0,1.0,1.0,7.0,16.0,1.0,19.0,1.0,13.0,27.0,106.0,1.0,1.0,0.0,95.0,9.0,5.0,1.0,1.0,2.0,2.0,47.0,51.0,5.0,58.0,3.0,1.0,6.0,18.0,142.0,1.0,16.0,83.0,538.0,4.0,13.0,12.0,236.0,29.0,11.0,14.0,1.0,2.0,3.0,9.0,2.0,21.0,326.0,63.0,1.0,1.0,86934,2.0,151.0,4.0,1.0,176.0,5.0,1.0,18.0,11.0,75.0,2.0,1.0,2.0,1.0,10.0,6.0,6.0,81.0,256.0,12.0,22.0,2.0,41.0,80.0,1.0,1.0,0.0,2.0,5.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,38.2,13.0,2.0,1.0,2.0,2.0,41.0,4.0,3.0,359.0,12.0,6.0,13.0,2.0,11.0,2.0,190.0,5.0,11.0,19.0,45.0,18.0,1.0,4.0,12.0,21.0,1.0,6.0,3.0,18.0,4.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803176,2015-08-15 15:00:00,"Boleyn Ground, London",34857,Home,West Ham United,Leicester City,1,2,L,0,2,1,0,1.0,,56.0,,,,,58.0,22.0,3.0,3.0,3.0,,190.0,,5.0,9.0,1.0,2.0,8.0,,3.0,130.0,163.0,61.0,10.0,2.0,20.0,2.0,2.0,,2.0,1.0,41.0,12.0,,17.0,8.0,23.0,36.0,247.0,,,0.0,159.0,11.0,2.0,,,3.0,,108.0,76.0,5.0,75.0,1.0,,33.0,9.0,158.0,,7.0,158.0,756.0,6.0,3.0,4.0,445.0,24.0,6.0,17.0,1.0,,1.0,2.0,3.0,35.0,529.0,80.0,,,86934,2.0,226.0,23.0,1.0,252.0,9.0,1.0,9.0,11.0,62.0,,1.0,6.0,1.0,7.0,3.0,11.0,91.0,468.0,12.0,6.0,1.0,31.0,93.0,,,0.0,2.0,4.0,3.0,1.0,,1.0,4.0,1.0,,2.0,69.8,33.0,1.0,1.0,6.0,4.0,68.0,8.0,,553.0,4.0,12.0,23.0,3.0,46.0,2.0,342.0,5.0,22.0,25.0,111.0,25.0,1.0,1.0,13.0,15.0,,8.0,3.0,22.0,1.0,2.0,8.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803183,2015-08-22 15:00:00,"Boleyn Ground, London",34977,Home,West Ham United,Bournemouth,3,4,L,0,2,1,0,,2.0,71.0,1.0,1.0,1.0,1.0,35.0,15.0,4.0,,3.0,1.0,177.0,,3.0,7.0,3.0,3.0,7.0,,4.0,75.0,175.0,59.0,10.0,2.0,27.0,1.0,1.0,1.0,1.0,1.0,19.0,15.0,,11.0,5.0,16.0,36.0,146.0,,,0.0,135.0,8.0,2.0,2.0,,2.0,1.0,57.0,48.0,5.0,52.0,5.0,,14.0,21.0,171.0,,9.0,69.0,570.0,4.0,15.0,27.0,242.0,34.0,11.0,9.0,1.0,1.0,0.0,2.0,2.0,25.0,346.0,83.0,,,86934,3.0,111.0,9.0,,138.0,4.0,3.0,21.0,9.0,64.0,1.0,3.0,5.0,,12.0,6.0,1.0,91.0,254.0,11.0,12.0,2.0,42.0,96.0,,,0.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,,,1.0,45.8,22.0,2.0,,5.0,3.0,41.0,5.0,1.0,373.0,27.0,8.0,15.0,3.0,33.0,1.0,254.0,9.0,15.0,21.0,70.0,24.0,,1.0,7.0,20.0,,3.0,3.0,16.0,1.0,10.0,5.0,1.0,,1.0,3.0,2.0,,,,1.0,,4.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803201,2015-08-29 15:00:00,"Anfield, Liverpool",43680,Away,West Ham United,Liverpool,3,0,W,2,0,1,1,1.0,1.0,59.0,,1.0,,,21.0,25.0,4.0,2.0,1.0,1.0,128.0,,2.0,9.0,3.0,3.0,6.0,,5.0,71.0,135.0,62.0,12.0,1.0,17.0,1.0,1.0,1.0,,2.0,15.0,16.0,1.0,20.0,3.0,12.0,30.0,125.0,1.0,,0.0,99.0,12.0,1.0,1.0,1.0,2.0,,36.0,72.0,4.0,45.0,1.0,,12.0,14.0,130.0,1.0,4.0,82.0,516.0,4.0,4.0,20.0,221.0,37.0,4.0,12.0,1.0,1.0,2.0,5.0,2.0,16.0,288.0,57.0,,,86934,5.0,115.0,8.0,1.0,134.0,6.0,2.0,14.0,10.0,42.0,1.0,,2.0,3.0,12.0,9.0,1.0,73.0,238.0,15.0,2.0,1.0,29.0,76.0,1.0,,0.0,1.0,5.0,,3.0,,1.0,,1.0,,1.0,37.3,12.0,3.0,1.0,2.0,3.0,29.0,7.0,,326.0,20.0,5.0,15.0,4.0,18.0,2.0,207.0,9.0,12.0,14.0,52.0,12.0,2.0,6.0,12.0,25.0,,9.0,3.0,16.0,6.0,5.0,7.0,2.0,1.0,,2.0,2.0,1.0,,,2.0,,,1.0,2.0,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803207,2015-09-14 20:00:00,"Boleyn Ground, London",34907,Home,West Ham United,Newcastle United,2,0,W,1,0,0,0,1.0,1.0,64.0,,,,,28.0,25.0,7.0,6.0,4.0,,127.0,1.0,4.0,10.0,2.0,4.0,13.0,1.0,3.0,62.0,136.0,48.0,17.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,16.0,16.0,,20.0,3.0,12.0,16.0,146.0,1.0,1.0,0.0,128.0,8.0,1.0,2.0,,2.0,1.0,70.0,47.0,6.0,53.0,5.0,3.0,13.0,14.0,131.0,1.0,6.0,72.0,542.0,11.0,5.0,33.0,226.0,33.0,13.0,17.0,1.0,1.0,0.0,5.0,7.0,27.0,290.0,51.0,,,86934,5.0,97.0,9.0,1.0,111.0,2.0,2.0,14.0,6.0,35.0,,,1.0,2.0,20.0,8.0,2.0,59.0,239.0,11.0,8.0,1.0,30.0,66.0,,,0.0,2.0,7.0,4.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,39.1,22.0,3.0,1.0,1.0,6.0,37.0,6.0,1.0,314.0,33.0,11.0,6.0,8.0,23.0,4.0,219.0,10.0,12.0,9.0,88.0,21.0,,5.0,15.0,18.0,,13.0,3.0,16.0,5.0,4.0,6.0,2.0,1.0,2.0,2.0,3.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803221,2015-09-19 17:30:00,"Etihad Stadium, Manchester",53545,Away,West Ham United,Manchester City,2,1,W,2,1,0,0,,1.0,67.0,1.0,1.0,1.0,,28.0,57.0,2.0,1.0,8.0,1.0,134.0,,3.0,13.0,2.0,,5.0,,3.0,52.0,149.0,58.0,6.0,,24.0,,1.0,1.0,,1.0,7.0,13.0,1.0,43.0,2.0,7.0,17.0,77.0,,1.0,0.0,67.0,7.0,5.0,1.0,1.0,,3.0,25.0,48.0,2.0,37.0,6.0,1.0,5.0,17.0,135.0,2.0,18.0,56.0,504.0,2.0,8.0,17.0,175.0,44.0,11.0,28.0,2.0,2.0,2.0,10.0,3.0,13.0,246.0,42.0,1.0,,86934,1.0,115.0,4.0,,141.0,7.0,2.0,17.0,12.0,67.0,1.0,2.0,1.0,1.0,14.0,9.0,3.0,70.0,189.0,10.0,17.0,1.0,34.0,65.0,1.0,,0.0,1.0,16.0,6.0,1.0,1.0,0.0,2.0,1.0,,1.0,28.5,9.0,2.0,1.0,1.0,,24.0,3.0,3.0,279.0,17.0,11.0,12.0,3.0,12.0,3.0,145.0,4.0,6.0,15.0,37.0,12.0,1.0,9.0,23.0,20.0,,4.0,3.0,21.0,9.0,10.0,3.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,803229,2015-09-26 15:00:00,"Boleyn Ground, London",34857,Home,West Ham United,Norwich City,2,2,D,1,1,0,0,,2.0,69.0,,3.0,,,32.0,22.0,5.0,2.0,5.0,2.0,134.0,1.0,7.0,6.0,2.0,4.0,16.0,1.0,7.0,85.0,149.0,58.0,19.0,2.0,15.0,5.0,1.0,,3.0,3.0,24.0,14.0,,18.0,6.0,9.0,27.0,160.0,,,0.0,111.0,7.0,2.0,1.0,,3.0,1.0,53.0,47.0,10.0,56.0,3.0,1.0,18.0,17.0,145.0,5.0,9.0,74.0,565.0,9.0,7.0,19.0,247.0,21.0,10.0,14.0,2.0,,0.0,4.0,5.0,25.0,322.0,68.0,,1.0,86934,10.0,111.0,12.0,3.0,135.0,3.0,2.0,17.0,9.0,44.0,,3.0,4.0,1.0,15.0,7.0,5.0,68.0,264.0,17.0,8.0,4.0,29.0,65.0,2.0,,0.0,3.0,5.0,2.0,2.0,2.0,0.0,5.0,1.0,1.0,4.0,42.9,19.0,2.0,,4.0,4.0,33.0,7.0,1.0,349.0,19.0,9.0,18.0,8.0,38.0,4.0,238.0,12.0,8.0,21.0,73.0,40.0,1.0,,13.0,17.0,,13.0,3.0,13.0,,9.0,7.0,2.0,2.0,3.0,3.0,4.0,,2.0,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,1.0,,1.0,3.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,803241,2015-10-03 15:00:00,"Stadium of Light, Sunderland",42932,Away,West Ham United,Sunderland,2,2,D,1,2,0,1,1.0,1.0,61.0,,,,,43.0,12.0,8.0,3.0,1.0,3.0,138.0,1.0,9.0,9.0,2.0,5.0,16.0,1.0,6.0,115.0,139.0,62.0,20.0,1.0,15.0,,3.0,,3.0,4.0,32.0,11.0,4.0,11.0,7.0,19.0,33.0,233.0,,,0.0,149.0,11.0,,1.0,,1.0,,83.0,74.0,9.0,55.0,,1.0,25.0,6.0,138.0,1.0,6.0,132.0,643.0,14.0,7.0,12.0,345.0,21.0,5.0,10.0,1.0,,4.0,4.0,7.0,26.0,414.0,66.0,,,86934,7.0,141.0,16.0,1.0,152.0,6.0,1.0,6.0,7.0,52.0,1.0,2.0,4.0,2.0,12.0,6.0,5.0,70.0,365.0,14.0,4.0,1.0,21.0,79.0,2.0,,0.0,,1.0,1.0,2.0,3.0,0.0,8.0,1.0,,3.0,55.9,25.0,4.0,,4.0,5.0,46.0,8.0,,440.0,12.0,9.0,22.0,9.0,37.0,6.0,320.0,14.0,18.0,21.0,109.0,31.0,,,10.0,19.0,,15.0,3.0,25.0,,4.0,8.0,4.0,1.0,,8.0,3.0,,,,2.0,,2.0,3.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,1.0,,2.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
9,803251,2015-10-17 15:00:00,"Selhurst Park, London",24812,Away,West Ham United,Crystal Palace,3,1,W,1,1,0,1,,3.0,66.0,,,,,19.0,20.0,12.0,7.0,,1.0,154.0,3.0,7.0,17.0,3.0,2.0,19.0,2.0,4.0,162.0,141.0,66.0,24.0,6.0,13.0,1.0,2.0,1.0,,3.0,25.0,20.0,,14.0,8.0,19.0,22.0,296.0,,,0.0,199.0,11.0,,2.0,1.0,1.0,,84.0,72.0,9.0,47.0,,4.0,17.0,19.0,135.0,4.0,5.0,153.0,733.0,14.0,5.0,9.0,425.0,24.0,2.0,12.0,3.0,1.0,3.0,2.0,10.0,22.0,498.0,57.0,2.0,,86934,7.0,148.0,12.0,,164.0,5.0,2.0,19.0,6.0,49.0,2.0,4.0,8.0,3.0,9.0,1.0,4.0,42.0,437.0,9.0,6.0,2.0,18.0,58.0,1.0,,0.0,3.0,1.0,,3.0,3.0,0.0,3.0,3.0,1.0,3.0,61.5,21.0,3.0,2.0,8.0,8.0,36.0,9.0,,516.0,9.0,12.0,14.0,12.0,36.0,5.0,377.0,14.0,19.0,13.0,149.0,31.0,,1.0,10.0,27.0,,18.0,3.0,26.0,1.0,11.0,9.0,2.0,3.0,1.0,4.0,6.0,,,1.0,1.0,,1.0,2.0,4.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,2.0,1.0,3.0,,,1.0,,1.0,,,,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,
10,803252,2015-10-24 15:00:00,"Boleyn Ground, London",34977,Home,West Ham United,Chelsea,2,1,W,1,0,0,1,,,59.0,1.0,1.0,,,31.0,21.0,6.0,1.0,2.0,2.0,151.0,,5.0,11.0,2.0,2.0,9.0,,5.0,73.0,145.0,53.0,12.0,2.0,15.0,1.0,,4.0,2.0,,19.0,13.0,2.0,18.0,5.0,11.0,26.0,131.0,,,0.0,107.0,10.0,1.0,1.0,,2.0,2.0,71.0,39.0,6.0,60.0,,1.0,14.0,8.0,142.0,1.0,6.0,86.0,561.0,7.0,7.0,16.0,268.0,16.0,5.0,10.0,1.0,4.0,1.0,1.0,3.0,26.0,343.0,58.0,,2.0,86934,4.0,156.0,8.0,1.0,175.0,7.0,1.0,8.0,6.0,55.0,,4.0,6.0,1.0,11.0,3.0,3.0,69.0,282.0,12.0,13.0,1.0,29.0,70.0,,1.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,5.0,1.0,,2.0,45.5,20.0,3.0,2.0,6.0,3.0,30.0,7.0,2.0,370.0,16.0,12.0,15.0,4.0,29.0,2.0,214.0,9.0,9.0,13.0,59.0,32.0,,2.0,9.0,17.0,1.0,9.0,3.0,17.0,2.0,4.0,7.0,1.0,1.0,1.0,4.0,2.0,,1.0,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,
11,803271,2015-10-31 15:00:00,"Vicarage Road, Watford",20598,Away,West Ham United,Watford,0,2,L,0,1,1,0,,,51.0,,,,,41.0,39.0,2.0,1.0,3.0,1.0,146.0,,3.0,6.0,,,6.0,,3.0,96.0,138.0,58.0,8.0,,12.0,2.0,1.0,,,2.0,17.0,11.0,1.0,29.0,2.0,12.0,35.0,127.0,,,0.0,73.0,12.0,2.0,,1.0,1.0,1.0,26.0,72.0,3.0,65.0,2.0,1.0,15.0,18.0,128.0,,15.0,90.0,597.0,4.0,12.0,13.0,293.0,21.0,14.0,21.0,,,1.0,9.0,3.0,21.0,366.0,47.0,,1.0,86934,3.0,193.0,10.0,1.0,214.0,8.0,,18.0,9.0,49.0,1.0,3.0,4.0,,11.0,5.0,5.0,75.0,317.0,14.0,9.0,2.0,37.0,71.0,1.0,,0.0,1.0,7.0,3.0,,3.0,1.0,2.0,,1.0,2.0,49.4,19.0,3.0,1.0,4.0,,42.0,2.0,1.0,397.0,13.0,7.0,24.0,5.0,24.0,2.0,200.0,5.0,10.0,24.0,40.0,19.0,,1.0,16.0,15.0,,5.0,3.0,16.0,1.0,9.0,2.0,,,1.0,4.0,2.0,,2.0,1.0,,,2.0,,1.0,2.0,,,,,,,,,2.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,
12,803274,2015-11-07 15:00:00,"Boleyn Ground, London",34977,Home,West Ham United,Everton,1,1,D,1,1,0,0,,,60.0,,3.0,,,22.0,16.0,8.0,3.0,3.0,3.0,128.0,,6.0,12.0,1.0,3.0,14.0,3.0,4.0,104.0,103.0,54.0,16.0,3.0,6.0,,2.0,4.0,1.0,2.0,23.0,14.0,3.0,11.0,2.0,16.0,20.0,186.0,,,0.0,103.0,11.0,,1.0,2.0,3.0,,50.0,61.0,7.0,71.0,1.0,4.0,21.0,10.0,98.0,,7.0,132.0,617.0,12.0,7.0,15.0,362.0,26.0,4.0,7.0,,5.0,1.0,3.0,7.0,18.0,416.0,48.0,,1.0,86934,5.0,199.0,13.0,,214.0,3.0,1.0,10.0,6.0,39.0,,2.0,9.0,1.0,8.0,6.0,5.0,41.0,379.0,12.0,15.0,2.0,12.0,64.0,1.0,1.0,0.0,4.0,5.0,,1.0,2.0,0.0,4.0,,,3.0,50.8,18.0,5.0,1.0,10.0,4.0,48.0,3.0,,435.0,15.0,3.0,11.0,8.0,26.0,6.0,244.0,10.0,15.0,12.0,73.0,18.0,,5.0,6.0,18.0,,14.0,3.0,19.0,5.0,2.0,3.0,1.0,,,5.0,2.0,1.0,,,2.0,,1.0,3.0,2.0,1.0,,1.0,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
13,803291,2015-11-22 16:00:00,"White Hart Lane, London",35968,Away,West Ham United,Tottenham Hotspur,1,4,L,0,2,0,0,,,60.0,,2.0,,,32.0,26.0,5.0,3.0,8.0,1.0,165.0,,4.0,13.0,1.0,2.0,9.0,,4.0,69.0,161.0,64.0,10.0,3.0,12.0,2.0,,1.0,2.0,,23.0,20.0,1.0,22.0,6.0,9.0,21.0,143.0,,,0.0,89.0,9.0,5.0,1.0,1.0,1.0,2.0,67.0,41.0,7.0,58.0,2.0,,17.0,14.0,157.0,,14.0,80.0,618.0,4.0,14.0,18.0,263.0,24.0,14.0,14.0,1.0,1.0,2.0,5.0,2.0,32.0,343.0,45.0,,,86934,3.0,146.0,9.0,1.0,172.0,6.0,,14.0,7.0,51.0,1.0,3.0,5.0,1.0,19.0,8.0,4.0,64.0,285.0,13.0,9.0,4.0,34.0,70.0,,,0.0,1.0,7.0,6.0,1.0,6.0,0.0,,1.0,1.0,2.0,44.2,26.0,4.0,1.0,5.0,3.0,39.0,6.0,2.0,372.0,18.0,13.0,8.0,3.0,26.0,,223.0,5.0,8.0,10.0,58.0,25.0,,3.0,13.0,28.0,,6.0,3.0,21.0,3.0,11.0,6.0,,1.0,1.0,7.0,2.0,,2.0,1.0,1.0,1.0,4.0,,4.0,3.0,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
