gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attFreekickTotal,interceptionsInBox,freekickTotal,secondYellow,accurateFreekickCross,totalOffside,attMissHigh,attFreekickMiss,attOboxBlocked,attBxRight,postScoringAtt,attIboxPost,cleanSheet,attHdPost,hitWoodwork,errorLeadToShot,attCmissLeft,attPostHigh,attHdMiss,accurateKeeperSweeper,totalKeeperSweeper,ownGoals,totalThroughBall,shieldBallOop,attIboxOwnGoal,goalsConcededObox,bigChanceCreated,bigChanceMissed,attSvLowRight,attSvHighCentre,handBall,attGoalLowLeft,attCmissRight,attSvHighRight,attRfGoal,attCmissHigh,defenderGoals,goalAssistSetplay,goalAssistDeadball,accurateThroughBall,attOneOnOne,errorLeadToGoal,attGoalLowRight,attLfGoal,attMissHighRight,attOboxGoal,attGoalHighCentre,clearanceOffLine,attSvHighLeft,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attHdTarget,attPostRight,attCmissHighRight,foulThrowIn,penaltyWon,attLgCentre,attCmissHighLeft,attPenGoal,attObxLeft,attGoalHighRight,penaltySave,attFreekickGoal
1,803166,2015-08-09 13:30:00,"St. James' Park, Newcastle",49019,Home,Newcastle United,Southampton,2,2,D,1,1,0,0,1.0,1.0,58.0,2.0,41.0,24.0,3.0,3.0,2.0,1.0,178.0,1.0,9.0,10.0,2.0,4.0,8.0,1.0,4.0,108.0,162.0,49.0,9.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,13.0,1.0,20.0,5.0,15.0,40.0,211.0,0.0,137.0,9.0,1.0,2.0,1.0,1.0,3.0,1.0,91.0,90.0,5.0,81.0,1.0,30.0,11.0,8.0,2.0,158.0,1.0,10.0,118.0,698.0,5.0,6.0,15.0,372.0,25.0,1.0,4.0,11.0,1.0,2.0,3.0,3.0,34.0,458.0,69.0,92170,4.0,194.0,19.0,1.0,1.0,218.0,5.0,1.0,11.0,11.0,54.0,5.0,1.0,15.0,4.0,9.0,66.0,396.0,12.0,7.0,2.0,19.0,81.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,2.0,2.0,2.0,3.0,0.0,6.0,1.0,1.0,56.3,26.0,7.0,1.0,5.0,2.0,51.0,6.0,1.0,485.0,15.0,7.0,20.0,3.0,30.0,3.0,1.0,302.0,4.0,13.0,14.0,94.0,20.0,1.0,1.0,10.0,13.0,1.0,2.0,4.0,3.0,21.0,1.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803178,2015-08-15 15:00:00,"Swansea.com Stadium, Swansea",20678,Away,Newcastle United,Swansea City,0,2,L,0,1,1,0,,,53.0,,26.0,18.0,3.0,,4.0,2.0,131.0,,2.0,7.0,,3.0,2.0,,2.0,72.0,127.0,43.0,4.0,8.0,1.0,,,,,,10.0,16.0,1.0,13.0,3.0,11.0,17.0,85.0,0.0,60.0,8.0,,,,2.0,3.0,,41.0,38.0,2.0,61.0,,7.0,13.0,,2.0,122.0,,7.0,69.0,496.0,2.0,7.0,13.0,247.0,30.0,1.0,9.0,8.0,,1.0,7.0,,19.0,309.0,36.0,92170,,178.0,4.0,,,198.0,6.0,1.0,13.0,10.0,42.0,1.0,,18.0,12.0,4.0,57.0,261.0,11.0,7.0,,25.0,64.0,,,,,0.0,1.0,4.0,1.0,,2.0,1.0,1.0,2.0,,,34.2,16.0,1.0,1.0,1.0,,34.0,4.0,,333.0,13.0,11.0,6.0,2.0,15.0,,,145.0,4.0,11.0,6.0,31.0,14.0,,2.0,6.0,19.0,,2.0,3.0,3.0,15.0,2.0,6.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803187,2015-08-22 12:45:00,"Old Trafford, Manchester",75354,Away,Newcastle United,Manchester United,0,0,D,0,0,0,0,,,64.0,2.0,28.0,35.0,2.0,,8.0,,124.0,,6.0,10.0,,1.0,6.0,,,60.0,134.0,58.0,7.0,13.0,,1.0,,,,3.0,18.0,15.0,,32.0,4.0,9.0,18.0,100.0,0.0,81.0,11.0,4.0,1.0,,,1.0,1.0,22.0,55.0,3.0,49.0,,14.0,17.0,4.0,1.0,131.0,,9.0,47.0,496.0,5.0,7.0,20.0,188.0,36.0,,11.0,21.0,,2.0,9.0,3.0,13.0,254.0,48.0,95434,3.0,107.0,9.0,1.0,1.0,130.0,7.0,,17.0,5.0,54.0,3.0,,16.0,11.0,2.0,65.0,201.0,15.0,14.0,1.0,35.0,59.0,1.0,,,1.0,0.0,2.0,11.0,3.0,,,1.0,0.0,6.0,,2.0,30.7,10.0,1.0,,3.0,3.0,25.0,5.0,1.0,280.0,20.0,10.0,6.0,4.0,20.0,,2.0,168.0,3.0,9.0,14.0,46.0,17.0,,10.0,19.0,20.0,,,4.0,3.0,17.0,10.0,6.0,5.0,5.0,,4.0,,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803192,2015-08-29 12:45:00,"St. James' Park, Newcastle",50388,Home,Newcastle United,Arsenal,0,1,L,0,0,1,0,,,59.0,,26.0,33.0,,,9.0,,107.0,,,4.0,,1.0,1.0,,,63.0,122.0,42.0,1.0,9.0,,,,,,1.0,12.0,18.0,,27.0,,10.0,32.0,96.0,0.0,60.0,15.0,5.0,,,,,1.0,41.0,38.0,,37.0,,12.0,18.0,5.0,,116.0,,15.0,61.0,456.0,1.0,3.0,13.0,194.0,40.0,,6.0,15.0,,6.0,7.0,1.0,23.0,247.0,39.0,95434,,110.0,7.0,,,136.0,7.0,,18.0,8.0,50.0,3.0,,11.0,8.0,3.0,54.0,206.0,8.0,5.0,,18.0,45.0,,,,1.0,0.0,5.0,9.0,6.0,,1.0,1.0,1.0,,,,26.3,20.0,2.0,,3.0,,26.0,,1.0,268.0,13.0,12.0,14.0,1.0,10.0,,1.0,144.0,1.0,10.0,9.0,40.0,9.0,,2.0,15.0,21.0,,1.0,1.0,3.0,13.0,2.0,6.0,,3.0,,2.0,,,,2.0,,,,1.0,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803207,2015-09-14 20:00:00,"Boleyn Ground, London",34907,Away,Newcastle United,West Ham United,0,2,L,0,1,0,0,2.0,,53.0,1.0,37.0,21.0,8.0,6.0,1.0,2.0,174.0,,9.0,8.0,,1.0,8.0,,4.0,108.0,155.0,35.0,14.0,9.0,4.0,,,1.0,,,32.0,12.0,,13.0,5.0,17.0,42.0,194.0,0.0,135.0,11.0,1.0,,,,1.0,1.0,65.0,65.0,5.0,71.0,2.0,27.0,12.0,7.0,4.0,147.0,,9.0,124.0,697.0,8.0,6.0,18.0,377.0,21.0,2.0,1.0,7.0,,2.0,4.0,3.0,36.0,457.0,62.0,95434,4.0,209.0,19.0,,,229.0,5.0,,12.0,8.0,48.0,6.0,,18.0,8.0,6.0,65.0,394.0,6.0,10.0,,13.0,70.0,,,,,0.0,1.0,6.0,1.0,,2.0,3.0,0.0,8.0,,,60.9,34.0,2.0,,6.0,5.0,50.0,7.0,1.0,477.0,18.0,8.0,26.0,5.0,31.0,1.0,1.0,280.0,8.0,17.0,5.0,91.0,23.0,,3.0,4.0,17.0,,1.0,11.0,3.0,18.0,3.0,8.0,7.0,,,2.0,,,,2.0,1.0,,4.0,2.0,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803219,2015-09-19 15:00:00,"St. James' Park, Newcastle",47806,Home,Newcastle United,Watford,1,2,L,0,2,0,0,3.0,,70.0,2.0,36.0,8.0,6.0,8.0,2.0,1.0,200.0,,4.0,15.0,1.0,,12.0,2.0,5.0,108.0,173.0,56.0,15.0,11.0,2.0,,1.0,2.0,,3.0,40.0,16.0,2.0,7.0,5.0,16.0,39.0,218.0,0.0,158.0,8.0,,,,1.0,,1.0,60.0,89.0,7.0,67.0,2.0,35.0,16.0,9.0,3.0,172.0,1.0,7.0,118.0,728.0,11.0,6.0,21.0,384.0,26.0,1.0,3.0,3.0,1.0,1.0,3.0,5.0,29.0,468.0,63.0,95434,6.0,191.0,26.0,,,214.0,3.0,2.0,16.0,9.0,56.0,8.0,1.0,11.0,6.0,5.0,63.0,405.0,12.0,9.0,,15.0,84.0,,,,,0.0,3.0,5.0,1.0,1.0,2.0,3.0,0.0,4.0,1.0,1.0,57.6,28.0,2.0,3.0,8.0,3.0,58.0,5.0,1.0,493.0,21.0,18.0,22.0,7.0,45.0,,4.0,319.0,6.0,15.0,11.0,117.0,32.0,,2.0,2.0,19.0,,2.0,13.0,3.0,26.0,2.0,5.0,5.0,1.0,,2.0,,,,4.0,1.0,,1.0,,,,,,,,1.0,,1.0,2.0,2.0,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,803225,2015-09-26 17:30:00,"St. James' Park, Newcastle",48682,Home,Newcastle United,Chelsea,2,2,D,1,0,0,0,,,56.0,1.0,23.0,25.0,5.0,1.0,2.0,3.0,141.0,,2.0,11.0,2.0,,10.0,,5.0,57.0,156.0,72.0,11.0,20.0,2.0,,1.0,1.0,,2.0,11.0,24.0,1.0,20.0,2.0,16.0,21.0,120.0,0.0,76.0,12.0,2.0,,1.0,,,1.0,31.0,55.0,7.0,42.0,1.0,9.0,21.0,3.0,2.0,151.0,,7.0,53.0,516.0,8.0,6.0,20.0,176.0,33.0,,2.0,12.0,2.0,1.0,4.0,3.0,28.0,257.0,47.0,95434,4.0,83.0,6.0,,,115.0,5.0,,21.0,10.0,69.0,1.0,1.0,11.0,9.0,5.0,65.0,201.0,15.0,10.0,,33.0,76.0,,,,1.0,0.0,2.0,6.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,35.5,19.0,2.0,,1.0,3.0,37.0,4.0,1.0,293.0,20.0,7.0,15.0,3.0,16.0,1.0,1.0,189.0,8.0,16.0,17.0,47.0,17.0,1.0,5.0,10.0,30.0,1.0,,10.0,3.0,31.0,5.0,13.0,4.0,1.0,,2.0,,,,1.0,,,2.0,2.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,803235,2015-10-03 15:00:00,"Etihad Stadium, Manchester",53850,Away,Newcastle United,Manchester City,1,6,L,1,1,0,0,,1.0,56.0,,28.0,23.0,2.0,,5.0,3.0,141.0,,1.0,10.0,1.0,1.0,6.0,,4.0,72.0,140.0,55.0,6.0,6.0,2.0,,1.0,2.0,,,9.0,17.0,1.0,15.0,3.0,15.0,31.0,119.0,0.0,77.0,8.0,3.0,,,,,1.0,34.0,48.0,5.0,59.0,,6.0,19.0,1.0,,132.0,,14.0,63.0,524.0,5.0,2.0,21.0,231.0,32.0,,8.0,8.0,1.0,2.0,4.0,1.0,13.0,303.0,53.0,95434,4.0,132.0,5.0,,,150.0,4.0,1.0,19.0,11.0,43.0,,1.0,9.0,9.0,4.0,66.0,250.0,13.0,9.0,,28.0,69.0,,,,,0.0,2.0,7.0,3.0,1.0,6.0,,0.0,1.0,1.0,2.0,35.7,8.0,1.0,,,1.0,33.0,3.0,1.0,335.0,21.0,8.0,13.0,1.0,15.0,,1.0,194.0,4.0,14.0,8.0,39.0,18.0,1.0,3.0,7.0,24.0,1.0,4.0,6.0,3.0,22.0,3.0,16.0,3.0,2.0,,4.0,,,,3.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,2.0,,2.0,2.0,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,803248,2015-10-18 16:00:00,"St. James' Park, Newcastle",47006,Home,Newcastle United,Norwich City,6,2,W,3,2,0,0,,4.0,58.0,3.0,33.0,18.0,1.0,4.0,3.0,,137.0,,3.0,11.0,6.0,,9.0,,6.0,88.0,143.0,49.0,11.0,23.0,,3.0,5.0,,2.0,,15.0,11.0,,15.0,2.0,20.0,33.0,153.0,0.0,116.0,10.0,1.0,4.0,4.0,,,1.0,47.0,41.0,7.0,63.0,,13.0,16.0,6.0,,140.0,,8.0,85.0,560.0,4.0,8.0,19.0,272.0,28.0,,7.0,8.0,5.0,1.0,7.0,2.0,16.0,347.0,60.0,95434,5.0,135.0,7.0,1.0,1.0,161.0,7.0,1.0,16.0,5.0,73.0,3.0,6.0,7.0,10.0,,73.0,285.0,10.0,16.0,,28.0,65.0,3.0,,,1.0,0.0,1.0,7.0,2.0,5.0,2.0,3.0,0.0,3.0,4.0,2.0,44.2,14.0,,2.0,4.0,3.0,31.0,3.0,1.0,373.0,19.0,11.0,20.0,2.0,34.0,,2.0,227.0,5.0,16.0,16.0,76.0,18.0,2.0,4.0,8.0,13.0,2.0,2.0,10.0,3.0,26.0,4.0,8.0,3.0,2.0,,5.0,,,,3.0,1.0,,,2.0,,,,,,1.0,,,,1.0,2.0,,2.0,,,,4.0,,,,,3.0,,,3.0,,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10,803256,2015-10-25 12:00:00,"Stadium of Light, Sunderland",47653,Away,Newcastle United,Sunderland,0,3,L,0,1,1,0,2.0,,49.0,3.0,37.0,9.0,8.0,9.0,,6.0,174.0,,7.0,15.0,,3.0,16.0,,8.0,120.0,149.0,60.0,21.0,17.0,4.0,,,1.0,,2.0,30.0,13.0,4.0,5.0,9.0,25.0,25.0,192.0,0.0,143.0,10.0,,,,3.0,1.0,2.0,25.0,83.0,10.0,71.0,4.0,21.0,16.0,9.0,2.0,145.0,1.0,6.0,91.0,647.0,15.0,9.0,10.0,348.0,25.0,1.0,6.0,3.0,,2.0,4.0,6.0,22.0,431.0,66.0,95434,7.0,179.0,11.0,,1.0,209.0,2.0,,16.0,10.0,42.0,7.0,,11.0,3.0,4.0,73.0,364.0,12.0,5.0,1.0,24.0,67.0,,,,,0.0,1.0,1.0,,,3.0,3.0,1.0,6.0,,2.0,60.3,19.0,,2.0,7.0,5.0,36.0,10.0,2.0,456.0,10.0,4.0,10.0,8.0,37.0,1.0,6.0,277.0,10.0,22.0,14.0,106.0,15.0,,1.0,3.0,19.0,,3.0,16.0,3.0,25.0,1.0,5.0,10.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,3.0,,,,,,,,,2.0,1.0,1.0,,3.0,1.0,,,,1.0,3.0,,3.0,,2.0,,,,,,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
