gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attCmissRight,postScoringAtt,attSvLowCentre,attIboxPost,attOboxTarget,attSvHighRight,freekickCross,contentiousDecision,attHdTarget,hitWoodwork,totalPullBack,attCmissHigh,attAssistSetplay,shieldBallOop,attPostRight,bigChanceScored,attGoalLowRight,goals,accurateKeeperSweeper,goalAssistOpenplay,attGoalHighRight,attOneOnOne,penaltyWon,attGoalHighCentre,bigChanceCreated,goalAssist,totalKeeperSweeper,penaltyConceded,attRfGoal,totalOffside,goalsOpenplay,attPenGoal,attSvLowRight,attCmissLeft,punches,attIboxGoal,goalAssistIntentional,penaltyFaced,penGoalsConceded,forwardGoals,accuratePullBack,attFreekickTotal,freekickTotal,attGoalHighLeft,attFreekickTarget,goalsConcededObox,goalAssistSetplay,defenderGoals,attHdGoal,errorLeadToGoal,attLfGoal,cleanSheet,attOboxGoal,midfielderGoals,attPostHigh,attFreekickMiss,sixYardBlock,attLgLeft,attPenTarget,accurateFreekickCross,attGoalLowLeft,attCmissHighLeft,attGoalLowCentre,shotFastbreak,totalFastbreak,attFastbreak,goalAssistDeadball,attObxdLeft,attPostLeft,attSvHighLeft,attLgCentre,clearanceOffLine,penaltySave,attObxRight,attOboxPost,attObxLeft
11,803264,2015-11-01 16:00:00,"St. Mary's Stadium, Southampton",31229,Away,Bournemouth,Southampton,0,2,L,0,2,0,1,54.0,,2.0,30.0,21.0,9.0,5.0,,1.0,161.0,5.0,7.0,3.0,11.0,2.0,133.0,146.0,44.0,16.0,3.0,19.0,1.0,,2.0,17.0,10.0,20.0,4.0,8.0,26.0,233.0,1.0,0.0,148.0,5.0,,1.0,,88.0,66.0,4.0,80.0,,3.0,13.0,16.0,8.0,5.0,145.0,7.0,140.0,703.0,9.0,6.0,12.0,413.0,26.0,1.0,1.0,12.0,2.0,5.0,7.0,33.0,499.0,51.0,1.0,,78007,6.0,197.0,,5.0,,225.0,4.0,16.0,6.0,49.0,1.0,,16.0,4.0,3.0,2.0,55.0,425.0,5.0,4.0,10.0,67.0,0.0,4.0,4.0,,2.0,3.0,,0.0,3.0,4.0,,51.5,31.0,4.0,2.0,1.0,,,5.0,43.0,6.0,,514.0,12.0,15.0,14.0,9.0,31.0,2.0,4.0,306.0,7.0,8.0,14.0,108.0,26.0,4.0,12.0,18.0,2.0,10.0,3.0,13.0,4.0,3.0,6.0,,1.0,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,3.0,,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12,803276,2015-11-07 12:45:00,"Vitality Stadium, Bournemouth",11155,Home,Bournemouth,Newcastle United,0,1,L,0,1,0,0,55.0,,2.0,46.0,6.0,10.0,10.0,,2.0,210.0,12.0,9.0,4.0,16.0,5.0,152.0,165.0,55.0,20.0,5.0,14.0,5.0,1.0,1.0,44.0,15.0,5.0,14.0,18.0,34.0,289.0,,0.0,191.0,9.0,,2.0,,106.0,87.0,9.0,83.0,3.0,3.0,30.0,28.0,7.0,5.0,164.0,2.0,137.0,798.0,14.0,5.0,13.0,485.0,20.0,,2.0,2.0,2.0,,7.0,24.0,563.0,72.0,,,78007,6.0,224.0,1.0,19.0,2.0,242.0,4.0,28.0,5.0,55.0,1.0,3.0,15.0,,4.0,4.0,60.0,501.0,11.0,6.0,8.0,74.0,0.0,3.0,,,1.0,2.0,,0.0,12.0,5.0,,67.3,22.0,2.0,7.0,1.0,1.0,3.0,7.0,54.0,16.0,,582.0,13.0,15.0,24.0,8.0,53.0,,3.0,384.0,5.0,17.0,13.0,149.0,25.0,,1.0,22.0,1.0,15.0,3.0,21.0,,5.0,16.0,,,1.0,,1.0,,,1.0,4.0,,3.0,1.0,1.0,2.0,2.0,,,,,,1.0,,,,,,1.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
13,803284,2015-11-21 15:00:00,"Swansea.com Stadium, Swansea",20878,Away,Bournemouth,Swansea City,2,2,D,2,2,0,0,67.0,,2.0,27.0,19.0,7.0,7.0,2.0,,178.0,3.0,17.0,1.0,13.0,4.0,154.0,158.0,54.0,16.0,4.0,14.0,1.0,,2.0,18.0,9.0,16.0,4.0,11.0,35.0,233.0,1.0,0.0,163.0,9.0,2.0,1.0,,72.0,77.0,9.0,82.0,1.0,,14.0,28.0,2.0,2.0,155.0,7.0,121.0,752.0,10.0,4.0,20.0,429.0,20.0,2.0,7.0,10.0,2.0,5.0,4.0,27.0,520.0,56.0,,,80498,7.0,208.0,,11.0,1.0,230.0,5.0,28.0,2.0,45.0,,7.0,14.0,4.0,1.0,1.0,59.0,438.0,8.0,5.0,22.0,76.0,0.0,5.0,4.0,2.0,2.0,1.0,,0.0,2.0,1.0,,57.3,25.0,1.0,4.0,,,7.0,6.0,48.0,5.0,,535.0,20.0,12.0,18.0,6.0,29.0,1.0,4.0,323.0,8.0,11.0,18.0,118.0,33.0,2.0,10.0,11.0,2.0,13.0,3.0,22.0,2.0,15.0,5.0,,2.0,,,1.0,,1.0,,1.0,,,,3.0,,1.0,,,1.0,,2.0,,2.0,1.0,,,,1.0,2.0,,1.0,2.0,5.0,2.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
14,803294,2015-11-28 15:00:00,"Vitality Stadium, Bournemouth",11228,Home,Bournemouth,Everton,3,3,D,0,2,0,0,77.0,,3.0,33.0,21.0,6.0,9.0,3.0,1.0,177.0,7.0,9.0,1.0,15.0,10.0,149.0,165.0,50.0,19.0,1.0,11.0,4.0,,2.0,29.0,22.0,16.0,6.0,17.0,42.0,263.0,,0.0,175.0,6.0,3.0,2.0,1.0,79.0,85.0,12.0,73.0,3.0,2.0,23.0,22.0,6.0,1.0,160.0,7.0,143.0,774.0,11.0,4.0,21.0,432.0,33.0,,4.0,7.0,2.0,4.0,3.0,34.0,526.0,62.0,,1.0,80498,9.0,191.0,1.0,17.0,1.0,214.0,3.0,22.0,2.0,54.0,,5.0,13.0,4.0,2.0,1.0,55.0,447.0,6.0,13.0,10.0,75.0,0.0,2.0,5.0,3.0,3.0,1.0,,0.0,6.0,5.0,,57.3,32.0,2.0,4.0,4.0,,5.0,4.0,46.0,10.0,1.0,542.0,21.0,13.0,21.0,5.0,46.0,1.0,4.0,357.0,5.0,14.0,13.0,131.0,35.0,2.0,5.0,22.0,3.0,13.0,3.0,20.0,2.0,7.0,10.0,,4.0,1.0,,5.0,,3.0,,,1.0,2.0,,,,2.0,,,2.0,,3.0,,2.0,1.0,,,1.0,3.0,2.0,,,2.0,2.0,2.0,,,,,2.0,2.0,,,,,,,1.0,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
15,803303,2015-12-05 17:30:00,"Stamford Bridge, London",41631,Away,Bournemouth,Chelsea,1,0,W,0,0,0,0,57.0,1.0,5.0,19.0,36.0,5.0,5.0,7.0,3.0,138.0,,16.0,2.0,8.0,5.0,66.0,152.0,55.0,15.0,1.0,11.0,4.0,2.0,1.0,10.0,15.0,29.0,2.0,7.0,24.0,111.0,1.0,0.0,85.0,13.0,5.0,,2.0,33.0,58.0,5.0,48.0,4.0,1.0,8.0,22.0,3.0,4.0,145.0,13.0,71.0,555.0,7.0,5.0,20.0,218.0,23.0,,4.0,13.0,1.0,4.0,3.0,22.0,289.0,45.0,1.0,,80498,3.0,126.0,1.0,4.0,1.0,144.0,5.0,22.0,15.0,64.0,1.0,4.0,16.0,6.0,7.0,1.0,61.0,237.0,10.0,19.0,22.0,64.0,0.0,3.0,11.0,5.0,,2.0,,0.0,,1.0,,37.1,15.0,,2.0,2.0,,5.0,6.0,19.0,4.0,2.0,323.0,20.0,12.0,10.0,4.0,17.0,,,189.0,9.0,7.0,11.0,51.0,21.0,9.0,12.0,19.0,,12.0,1.0,25.0,9.0,11.0,4.0,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
16,803315,2015-12-12 17:30:00,"Vitality Stadium, Bournemouth",11334,Home,Bournemouth,Manchester United,2,1,W,1,1,0,0,60.0,,,26.0,39.0,4.0,5.0,4.0,2.0,144.0,3.0,14.0,4.0,8.0,5.0,78.0,134.0,76.0,11.0,,9.0,1.0,,3.0,16.0,22.0,31.0,2.0,14.0,29.0,149.0,,0.0,97.0,12.0,3.0,1.0,2.0,62.0,58.0,4.0,65.0,2.0,,14.0,14.0,4.0,2.0,126.0,9.0,83.0,597.0,7.0,11.0,14.0,280.0,27.0,,10.0,21.0,2.0,3.0,4.0,17.0,346.0,53.0,1.0,2.0,80498,5.0,154.0,2.0,8.0,,173.0,5.0,14.0,9.0,62.0,1.0,1.0,10.0,2.0,7.0,3.0,50.0,300.0,12.0,18.0,23.0,70.0,0.0,3.0,7.0,4.0,1.0,3.0,,0.0,3.0,1.0,,43.5,12.0,1.0,5.0,,,1.0,,43.0,5.0,2.0,370.0,14.0,8.0,17.0,6.0,22.0,,4.0,213.0,5.0,8.0,23.0,72.0,25.0,,19.0,27.0,1.0,6.0,2.0,30.0,,10.0,5.0,1.0,1.0,,,1.0,,2.0,,2.0,,,,1.0,,,,,,,2.0,,,1.0,2.0,,,1.0,1.0,,,2.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,
17,803323,2015-12-19 15:00:00,"The Hawthorns, West Bromwich",26127,Away,Bournemouth,West Bromwich Albion,2,1,W,0,0,0,2,48.0,,2.0,41.0,33.0,9.0,9.0,1.0,4.0,130.0,3.0,14.0,7.0,14.0,6.0,174.0,110.0,49.0,16.0,3.0,13.0,1.0,,1.0,20.0,12.0,25.0,7.0,18.0,27.0,315.0,1.0,0.0,206.0,9.0,1.0,3.0,,97.0,100.0,9.0,74.0,,1.0,13.0,14.0,3.0,2.0,102.0,5.0,174.0,744.0,11.0,4.0,11.0,477.0,19.0,1.0,4.0,15.0,1.0,3.0,5.0,25.0,536.0,50.0,,,80498,2.0,178.0,1.0,8.0,2.0,195.0,2.0,14.0,4.0,37.0,,4.0,8.0,2.0,2.0,,63.0,490.0,12.0,5.0,17.0,53.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,,67.4,24.0,1.0,3.0,4.0,,4.0,5.0,38.0,8.0,,552.0,11.0,5.0,20.0,5.0,31.0,,2.0,377.0,6.0,14.0,11.0,176.0,22.0,2.0,14.0,12.0,1.0,13.0,3.0,19.0,2.0,8.0,8.0,,,,1.0,1.0,1.0,3.0,,2.0,,,1.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,
18,803333,2015-12-26 15:00:00,"Vitality Stadium, Bournemouth",11218,Home,Bournemouth,Crystal Palace,0,0,D,0,0,0,0,53.0,,1.0,23.0,37.0,4.0,3.0,,4.0,174.0,4.0,14.0,2.0,8.0,4.0,106.0,159.0,70.0,10.0,1.0,18.0,1.0,,2.0,20.0,21.0,31.0,8.0,18.0,25.0,185.0,,0.0,125.0,10.0,,,1.0,74.0,68.0,6.0,58.0,3.0,1.0,12.0,16.0,3.0,1.0,153.0,6.0,126.0,691.0,8.0,6.0,20.0,349.0,20.0,,6.0,21.0,1.0,4.0,2.0,24.0,442.0,53.0,,,80498,5.0,185.0,1.0,7.0,,212.0,5.0,16.0,10.0,56.0,3.0,7.0,10.0,2.0,8.0,1.0,53.0,366.0,13.0,10.0,26.0,72.0,0.0,3.0,9.0,1.0,,1.0,,0.0,3.0,1.0,1.0,55.2,19.0,1.0,3.0,,1.0,7.0,2.0,46.0,8.0,1.0,464.0,20.0,7.0,12.0,4.0,25.0,1.0,3.0,272.0,6.0,16.0,18.0,81.0,22.0,4.0,20.0,26.0,,8.0,3.0,25.0,4.0,6.0,8.0,,,1.0,,1.0,,3.0,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
19,803343,2015-12-28 17:30:00,"Emirates Stadium, London",59983,Away,Bournemouth,Arsenal,0,2,L,0,1,0,0,59.0,1.0,1.0,27.0,27.0,6.0,4.0,4.0,1.0,146.0,,11.0,1.0,9.0,3.0,140.0,133.0,46.0,10.0,3.0,15.0,1.0,,,10.0,16.0,24.0,1.0,11.0,26.0,205.0,,0.0,145.0,8.0,4.0,,1.0,76.0,61.0,6.0,82.0,2.0,1.0,9.0,23.0,3.0,1.0,130.0,11.0,148.0,696.0,9.0,4.0,13.0,417.0,19.0,1.0,8.0,16.0,0.0,2.0,3.0,18.0,493.0,51.0,1.0,,80498,2.0,228.0,,6.0,,252.0,3.0,23.0,10.0,48.0,2.0,5.0,14.0,1.0,4.0,1.0,59.0,433.0,7.0,7.0,18.0,68.0,0.0,3.0,9.0,3.0,2.0,2.0,,0.0,,,,48.6,17.0,,5.0,2.0,,5.0,4.0,38.0,3.0,1.0,516.0,13.0,8.0,11.0,3.0,25.0,,2.0,274.0,6.0,9.0,8.0,113.0,30.0,3.0,14.0,20.0,2.0,8.0,3.0,21.0,3.0,7.0,3.0,,2.0,,,1.0,,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,803353,2016-01-02 15:00:00,"King Power Stadium, Leicester",32006,Away,Bournemouth,Leicester City,0,0,D,0,0,1,0,66.0,1.0,2.0,50.0,45.0,4.0,2.0,2.0,,166.0,,14.0,1.0,7.0,,103.0,164.0,67.0,9.0,3.0,18.0,,1.0,1.0,13.0,19.0,33.0,1.0,8.0,31.0,119.0,1.0,0.0,73.0,5.0,2.0,,4.0,67.0,44.0,3.0,65.0,,1.0,12.0,20.0,3.0,1.0,152.0,9.0,92.0,642.0,7.0,8.0,17.0,307.0,23.0,,8.0,28.0,1.0,2.0,4.0,22.0,393.0,46.0,1.0,,78007,1.0,205.0,2.0,7.0,,240.0,5.0,20.0,20.0,50.0,1.0,5.0,12.0,7.0,6.0,1.0,89.0,324.0,8.0,9.0,25.0,90.0,0.0,2.0,7.0,1.0,,1.0,,1.0,,1.0,,46.5,19.0,1.0,1.0,2.0,,5.0,5.0,50.0,1.0,4.0,426.0,17.0,10.0,19.0,4.0,15.0,,3.0,199.0,6.0,7.0,22.0,45.0,31.0,2.0,22.0,24.0,,8.0,2.0,22.0,2.0,10.0,1.0,,,1.0,,,,,,2.0,1.0,,,2.0,,,1.0,,,,,2.0,,,,,,2.0,,2.0,1.0,,2.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
21,803365,2016-01-12 19:45:00,"Vitality Stadium, Bournemouth",11071,Home,Bournemouth,West Ham United,1,3,L,1,0,0,0,57.0,1.0,,20.0,25.0,8.0,3.0,3.0,1.0,143.0,1.0,18.0,,11.0,4.0,111.0,163.0,51.0,11.0,4.0,21.0,,,,10.0,13.0,19.0,3.0,12.0,29.0,174.0,,0.0,126.0,8.0,2.0,1.0,,75.0,77.0,8.0,55.0,,1.0,7.0,27.0,,1.0,157.0,3.0,104.0,638.0,9.0,7.0,22.0,296.0,17.0,1.0,6.0,13.0,1.0,1.0,2.0,31.0,390.0,57.0,1.0,2.0,93538,1.0,138.0,2.0,7.0,,165.0,5.0,27.0,7.0,67.0,1.0,6.0,18.0,7.0,3.0,1.0,60.0,311.0,5.0,18.0,21.0,71.0,0.0,4.0,7.0,1.0,3.0,2.0,,0.0,1.0,1.0,,48.7,28.0,1.0,2.0,,2.0,6.0,4.0,35.0,4.0,,413.0,22.0,7.0,9.0,3.0,20.0,,2.0,258.0,7.0,12.0,10.0,81.0,28.0,5.0,9.0,18.0,1.0,10.0,3.0,32.0,5.0,17.0,4.0,,2.0,,,,,3.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,
22,803377,2016-01-16 15:00:00,"Vitality Stadium, Bournemouth",11065,Home,Bournemouth,Norwich City,3,0,W,1,0,0,0,72.0,1.0,1.0,24.0,26.0,6.0,6.0,3.0,2.0,148.0,5.0,13.0,3.0,11.0,8.0,86.0,149.0,61.0,15.0,,15.0,4.0,2.0,2.0,16.0,12.0,24.0,4.0,17.0,25.0,143.0,,0.0,103.0,8.0,2.0,,3.0,65.0,58.0,7.0,39.0,3.0,1.0,12.0,18.0,5.0,6.0,147.0,6.0,80.0,580.0,7.0,5.0,20.0,254.0,38.0,1.0,3.0,20.0,1.0,4.0,4.0,28.0,330.0,48.0,1.0,2.0,93538,5.0,123.0,1.0,5.0,,147.0,4.0,18.0,5.0,50.0,2.0,4.0,17.0,4.0,,2.0,70.0,261.0,13.0,8.0,36.0,73.0,0.0,1.0,3.0,2.0,,2.0,,0.0,3.0,3.0,,45.4,24.0,,1.0,,1.0,4.0,1.0,30.0,5.0,3.0,353.0,20.0,14.0,13.0,6.0,23.0,2.0,,222.0,6.0,17.0,18.0,68.0,26.0,6.0,20.0,19.0,,11.0,3.0,20.0,6.0,9.0,5.0,,1.0,,,3.0,,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,2.0,1.0,,3.0,1.0,3.0,2.0,2.0,,,1.0,,3.0,2.0,2.0,,1.0,1.0,2.0,1.0,,2.0,1.0,3.0,2.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,2.0,1.0,,,,,,1.0,,,,,,,,
23,803383,2016-01-23 15:00:00,"Stadium of Light, Sunderland",41367,Away,Bournemouth,Sunderland,1,1,D,1,1,0,0,65.0,2.0,,25.0,35.0,7.0,5.0,4.0,4.0,149.0,5.0,7.0,1.0,13.0,5.0,147.0,142.0,47.0,15.0,3.0,15.0,3.0,2.0,1.0,20.0,12.0,32.0,4.0,22.0,22.0,250.0,1.0,0.0,144.0,9.0,2.0,1.0,1.0,78.0,86.0,7.0,68.0,2.0,2.0,16.0,22.0,1.0,3.0,139.0,5.0,141.0,752.0,11.0,8.0,25.0,418.0,25.0,2.0,4.0,22.0,1.0,4.0,6.0,28.0,490.0,51.0,2.0,,93538,5.0,182.0,1.0,13.0,1.0,199.0,2.0,22.0,5.0,50.0,2.0,10.0,19.0,5.0,2.0,1.0,50.0,427.0,5.0,6.0,16.0,72.0,0.0,3.0,3.0,2.0,1.0,4.0,,0.0,4.0,2.0,,57.3,26.0,1.0,3.0,1.0,1.0,11.0,3.0,42.0,4.0,1.0,505.0,25.0,8.0,13.0,7.0,30.0,1.0,4.0,326.0,8.0,21.0,13.0,110.0,23.0,3.0,21.0,23.0,1.0,13.0,3.0,19.0,3.0,11.0,4.0,,,2.0,,1.0,,1.0,,2.0,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
24,803393,2016-02-02 20:00:00,"Selhurst Park, London",24855,Away,Bournemouth,Crystal Palace,2,1,W,1,1,0,0,60.0,1.0,,29.0,45.0,4.0,3.0,2.0,,163.0,1.0,4.0,3.0,5.0,4.0,86.0,161.0,42.0,8.0,2.0,21.0,1.0,,1.0,15.0,11.0,32.0,2.0,9.0,22.0,158.0,,0.0,128.0,15.0,2.0,,3.0,47.0,54.0,4.0,63.0,1.0,,13.0,5.0,3.0,1.0,148.0,8.0,74.0,578.0,4.0,6.0,10.0,271.0,29.0,,9.0,24.0,4.0,4.0,1.0,24.0,357.0,57.0,,,93538,4.0,130.0,1.0,10.0,,165.0,7.0,5.0,10.0,57.0,1.0,4.0,20.0,6.0,5.0,1.0,79.0,287.0,11.0,12.0,45.0,80.0,0.0,1.0,5.0,1.0,1.0,1.0,,0.0,1.0,1.0,,49.4,21.0,,1.0,,,4.0,2.0,40.0,3.0,3.0,386.0,10.0,3.0,16.0,2.0,20.0,,1.0,236.0,4.0,7.0,11.0,90.0,21.0,,17.0,16.0,1.0,6.0,3.0,12.0,,3.0,3.0,2.0,2.0,,,2.0,,1.0,,,,,,2.0,,,,,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,,,1.0,,2.0,,,,,2.0,,,,1.0,1.0,2.0,2.0,,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,
25,803402,2016-02-07 13:30:00,"Vitality Stadium, Bournemouth",11357,Home,Bournemouth,Arsenal,0,2,L,0,2,0,0,72.0,,2.0,34.0,24.0,11.0,11.0,3.0,2.0,165.0,3.0,11.0,2.0,12.0,4.0,126.0,166.0,50.0,17.0,4.0,10.0,2.0,2.0,,27.0,18.0,20.0,3.0,8.0,45.0,212.0,,0.0,154.0,6.0,1.0,,1.0,73.0,81.0,7.0,61.0,4.0,2.0,24.0,17.0,9.0,5.0,162.0,6.0,133.0,715.0,9.0,6.0,19.0,371.0,33.0,3.0,3.0,16.0,0.0,3.0,5.0,34.0,461.0,63.0,,,93538,2.0,182.0,,13.0,1.0,204.0,3.0,17.0,4.0,41.0,1.0,5.0,17.0,4.0,3.0,2.0,62.0,391.0,8.0,7.0,18.0,83.0,0.0,1.0,3.0,3.0,2.0,,,0.0,2.0,,,50.7,30.0,,1.0,2.0,1.0,5.0,6.0,47.0,7.0,1.0,485.0,19.0,11.0,24.0,7.0,38.0,1.0,2.0,308.0,6.0,8.0,9.0,114.0,32.0,1.0,13.0,22.0,2.0,13.0,3.0,19.0,1.0,5.0,7.0,1.0,2.0,1.0,,1.0,,2.0,1.0,2.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,803417,2016-02-13 15:00:00,"Vitality Stadium, Bournemouth",10863,Home,Bournemouth,Stoke City,1,3,L,0,1,0,0,63.0,2.0,2.0,45.0,8.0,4.0,4.0,3.0,1.0,203.0,5.0,7.0,4.0,7.0,2.0,127.0,138.0,47.0,11.0,3.0,13.0,1.0,2.0,1.0,28.0,12.0,8.0,6.0,17.0,31.0,283.0,1.0,0.0,190.0,7.0,1.0,,2.0,88.0,93.0,5.0,92.0,2.0,1.0,22.0,11.0,4.0,1.0,138.0,4.0,128.0,731.0,5.0,4.0,11.0,444.0,22.0,1.0,2.0,4.0,4.0,1.0,2.0,22.0,520.0,97.0,1.0,,93538,3.0,193.0,2.0,14.0,2.0,205.0,5.0,11.0,7.0,43.0,1.0,7.0,14.0,7.0,5.0,,74.0,471.0,18.0,8.0,17.0,80.0,0.0,5.0,2.0,1.0,3.0,1.0,,0.0,3.0,,,65.7,22.0,,4.0,,,7.0,5.0,59.0,9.0,2.0,550.0,11.0,6.0,18.0,4.0,40.0,2.0,3.0,373.0,6.0,17.0,7.0,136.0,29.0,3.0,4.0,15.0,1.0,6.0,3.0,17.0,3.0,5.0,9.0,1.0,,,,,,,,4.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,2.0,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
27,803424,2016-02-27 15:00:00,"Vicarage Road, Watford",20831,Away,Bournemouth,Watford,0,0,D,0,0,0,0,56.0,,2.0,38.0,42.0,5.0,6.0,1.0,1.0,138.0,9.0,13.0,2.0,7.0,3.0,79.0,167.0,67.0,11.0,2.0,14.0,2.0,1.0,1.0,27.0,15.0,36.0,5.0,12.0,47.0,153.0,,0.0,116.0,16.0,1.0,,2.0,68.0,82.0,4.0,51.0,,,22.0,22.0,10.0,2.0,161.0,6.0,82.0,596.0,7.0,7.0,12.0,242.0,20.0,1.0,7.0,26.0,1.0,4.0,3.0,28.0,323.0,59.0,1.0,,93538,5.0,114.0,1.0,11.0,2.0,130.0,10.0,22.0,9.0,52.0,1.0,3.0,26.0,8.0,6.0,2.0,75.0,258.0,14.0,9.0,29.0,78.0,0.0,2.0,4.0,1.0,,2.0,,0.0,9.0,1.0,1.0,53.1,23.0,,5.0,,1.0,3.0,4.0,39.0,5.0,2.0,350.0,12.0,7.0,30.0,4.0,33.0,,2.0,247.0,4.0,11.0,22.0,73.0,27.0,1.0,24.0,20.0,,9.0,3.0,20.0,1.0,13.0,5.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,3.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
