playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,putthroughBlockedDistribution,ownGoalScored,lastPlayerTackle,tacklesWon,hitWoodwork,successfulCrossesOpenPlay,blockedShots,totalShots,foulWonPenalty,unsuccessfulCrossesOpenPlay,oboxBlocked,successfulCrossesAndCorners,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,successfulDribbles,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,offsides,awayGoals,substituteOn,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,shotsBlockedInBox,leftFootGoals,unsuccessfulDribbles,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,overruns,goalAssists,successfulLayoffs,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,homeGoals,oboxTarget,iboxBlocked,throughBalls,rightFootGoals,headedGoals,clearancesOffTheLine,secondGoalAssists,unsuccessfulLayoffs,redCards2ndYellow,penaltiesTaken,penaltyGoals
149065,José Sá,Goalkeeper,Wolverhampton Wanderers,Portugal,2025-26,1.0,0.0813,0.0,30.0,1.0,21.0,7.0,23.0,23.0,278.0,694.0,173.0,18.0,4.0,3.0,2070.0,1.0,22.0,4.0,5.0,273.0,29.0,3.0,34.1016,1.0,56.0,47.0,37.0,1.0,97.0,65.0,6.0,0.0,23.0,1.0,468.0,217.0,23.0,5.0,1.0,1.0,113.0,33.0,5.0,17.0,0.0,180.0,390.0,1.0,281.0,93.0,16.0,129.0,143.0,957.0,117.0,303.0,44.0,2.0,271.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79602,Dan Bentley,Goalkeeper,Wolverhampton Wanderers,England,2025-26,,0.0064,0.0,3.0,,,,3.0,3.0,44.0,88.0,21.0,1.0,,1.0,270.0,,3.0,,2.0,30.0,3.0,1.0,7.1481,,6.0,5.0,7.0,,10.0,7.0,2.0,0.0,3.0,,62.0,26.0,3.0,,,,10.0,7.0,2.0,1.0,0.0,26.0,60.0,,44.0,12.0,,16.0,14.0,122.0,28.0,34.0,7.0,0.0,44.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101982,Sam Johnstone,Goalkeeper,Wolverhampton Wanderers,England,2025-26,1.0,0.0455,0.0,7.0,2.0,13.0,,12.0,12.0,193.0,438.0,100.0,4.0,,1.0,1080.0,1.0,5.0,6.0,2.0,118.0,14.0,1.0,18.5688,,54.0,24.0,24.0,,39.0,39.0,,0.0,6.0,1.0,322.0,108.0,12.0,3.0,4.0,1.0,99.0,18.0,2.0,3.0,0.0,112.0,271.0,,195.0,45.0,17.0,77.0,127.0,576.0,93.0,146.0,26.0,0.0,193.0,22.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491460,Alfie Brooks,Goalkeeper,Wolverhampton Wanderers U21,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627888,Josh Gracey,Goalkeeper,Wolverhampton Wanderers U21,Northern Ireland,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87835,Matt Doherty,Defender,Wolverhampton Wanderers,Ireland,2025-26,38.0,0.1836,0.0,,16.0,,37.0,11.0,11.0,58.0,298.0,,31.0,,,791.0,10.0,45.0,2.0,24.0,225.0,,2.0,11.8481,3.0,1.0,37.0,15.0,28.0,28.0,,6.0,0.0,83.0,,121.0,28.0,11.0,,,8.0,98.0,13.0,52.0,21.0,0.0,,288.0,,76.0,,,104.0,15.0,427.0,7.0,144.0,,4.0,21.0,20.0,5.0,,,8.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,7.0,2.0,3.0,5.0,3.0,1.0,2.0,6.0,16.0,7.0,45.0,15.0,8.0,2.0,9.0,1.0,0.0893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490721,Hugo Bueno,Defender,Wolverhampton Wanderers,Spain,2025-26,152.0,3.5144,0.0,,67.0,,116.0,35.0,26.0,165.0,848.0,,42.0,3.0,,2364.0,23.0,141.0,6.0,122.0,658.0,,4.0,41.5771,36.0,8.0,67.0,44.0,129.0,226.0,,24.0,0.0,293.0,,281.0,115.0,35.0,,,28.0,382.0,38.0,251.0,19.0,0.0,,807.0,18.0,426.0,,,68.0,25.0,1692.0,31.0,359.0,,3.0,49.0,75.0,67.0,,,39.0,,41.0,4.0,12.0,,72.0,1.0,58.0,1.0,47.0,28.0,25.0,109.0,78.0,6.0,31.0,4.0,18.0,38.0,273.0,189.0,9.0,1.0,13.0,,0.8586,6.0,1.1557,1.0,3.0,0.0,9.0,2.0,2.0,12.0,3.0,1.0,46.0,1.0,1.0,29.0,0.0596,3.0,2.0,3.0,45.0,3.0,1.0,3.0,3.0,,,,,,,,,
231480,Santiago Bueno,Defender,Wolverhampton Wanderers,Uruguay,2025-26,93.0,1.4514,0.0,,50.0,,80.0,29.0,28.0,147.0,1085.0,2.0,94.0,4.0,,2553.0,46.0,109.0,5.0,61.0,882.0,,4.0,45.2471,9.0,19.0,116.0,47.0,47.0,273.0,,11.0,0.0,202.0,,344.0,68.0,29.0,,,22.0,290.0,42.0,108.0,48.0,0.0,2.0,1055.0,2.0,175.0,,,394.0,56.0,1435.0,32.0,650.0,,4.0,67.0,50.0,29.0,,1.0,28.0,,2.0,2.0,8.0,1.0,4.0,,2.0,,41.0,1.0,22.0,4.0,7.0,1.0,,21.0,30.0,27.0,74.0,7.0,1.0,,9.0,,2.278,7.0,3.0762,3.0,2.0,2.0,1.0,4.0,4.0,,2.0,,2.0,,,,,1.0,1.0,,,,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,
497949,David Møller Wolfe,Defender,Wolverhampton Wanderers,Norway,2025-26,26.0,1.0837,0.0,,10.0,,53.0,22.0,11.0,67.0,260.0,,19.0,,,1049.0,8.0,30.0,3.0,19.0,179.0,,2.0,18.4794,6.0,4.0,31.0,23.0,18.0,94.0,,4.0,0.0,56.0,,101.0,27.0,22.0,,,5.0,127.0,20.0,37.0,11.0,0.0,,258.0,6.0,129.0,,,10.0,14.0,465.0,8.0,74.0,,1.0,14.0,21.0,21.0,,1.0,5.0,,8.0,2.0,1.0,,22.0,,8.0,,19.0,17.0,4.0,25.0,5.0,1.0,5.0,2.0,10.0,7.0,55.0,46.0,7.0,,3.0,,0.1227,,,,,,11.0,,,,2.0,,3.0,,,3.0,,1.0,2.0,1.0,3.0,,,,2.0,,,,,,,,,
501837,Yerson Mosquera,Defender,Wolverhampton Wanderers,Colombia,2025-26,124.0,0.6862,0.0,,62.0,,97.0,27.0,24.0,155.0,796.0,,105.0,4.0,,2142.0,58.0,160.0,5.0,113.0,619.0,,4.0,37.8793,11.0,6.0,114.0,40.0,66.0,92.0,,44.0,0.0,284.0,,341.0,93.0,27.0,,,23.0,229.0,35.0,179.0,47.0,0.0,,774.0,3.0,294.0,,,277.0,22.0,1395.0,42.0,414.0,,11.0,58.0,66.0,40.0,2.0,1.0,39.0,4.0,2.0,8.0,22.0,,17.0,1.0,2.0,2.0,54.0,81.0,19.0,17.0,19.0,16.0,9.0,17.0,34.0,30.0,86.0,75.0,7.0,1.0,12.0,2.0,2.5183,6.0,0.6483,,1.0,,3.0,6.0,6.0,,7.0,,14.0,,,,,1.0,,,,,,,7.0,,,,2.0,,,,,
