gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,attRfTarget,attFreekickTotal,accurateKeeperSweeper,attOneOnOne,attSvHighRight,attSvLowLeft,freekickTotal,bigChanceCreated,totalKeeperSweeper,bigChanceMissed,defenderGoals,goalsConceded,attFreekickMiss,goalsConcededIbox,ptsDroppedWinningPos,attOboxBlocked,attObxdLeft,attMissHighRight,hitWoodwork,accurateThroughBall,totalThroughBall,attBxLeft,accuratePullBack,shotFastbreak,goalAssistOpenplay,goalFastbreak,penaltyWon,totalFastbreak,midfielderGoals,penaltyConceded,attRfGoal,goalsOpenplay,attPenGoal,attFastbreak,penaltyFaced,penGoalsConceded,ptsGainedLosingPos,attCmissLeft,clearanceOffLine,attLfGoal,attLgCentre,attGoalHighRight,attCmissHighRight,errorLeadToGoal,goalsConcededObox,postScoringAtt,attIboxPost,sixYardBlock,attFreekickTarget,attPostRight,attGoalLowCentre,contentiousDecision,attOboxGoal,attGoalHighCentre,attSvHighLeft,errorLeadToShot,attFreekickGoal,punches,attGoalHighLeft,ownGoals,attIboxOwnGoal,attPostHigh,attPostLeft,attHdPost,attSvHighCentre,attOboxPost,attFreekickPost,attCmissHighLeft,attObxRight
1,855176,2016-08-13 15:00:00,"Selhurst Park, London",24490,Away,West Bromwich Albion,Crystal Palace,1,0,W,0,0,0,0,1.0,1.0,62.0,1.0,3.0,2.0,1.0,1.0,32.0,23.0,5.0,4.0,8.0,4.0,134.0,9.0,5.0,1.0,1.0,11.0,1.0,3.0,38.0,167.0,55.0,13.0,21.0,1.0,1.0,1.0,3.0,21.0,9.0,1.0,17.0,4.0,7.0,27.0,91.0,1.0,0.0,92.0,15.0,2.0,3.0,1.0,26.0,60.0,4.0,33.0,2.0,2.0,17.0,20.0,5.0,6.0,4.0,167.0,7.0,40.0,476.0,5.0,9.0,21.0,1.0,19.0,132.0,19.0,1.0,10.0,15.0,1.0,2.0,3.0,7.0,34.0,217.0,61.0,3.0,91972,7.0,61.0,8.0,3.0,85.0,8.0,1.0,20.0,8.0,69.0,2.0,2.0,2.0,15.0,7.0,3.0,2.0,87.0,143.0,12.0,8.0,5.0,41.0,5.0,86.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,6.0,1.0,1.0,6.0,37.7,28.0,3.0,2.0,2.0,2.0,30.0,6.0,1.0,245.0,19.0,21.0,15.0,8.0,26.0,3.0,4.0,181.0,3.0,7.0,21.0,46.0,26.0,1.0,3.0,12.0,18.0,1.0,5.0,2.0,12.0,3.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855190,2016-08-20 15:00:00,"The Hawthorns, West Bromwich",23654,Home,West Bromwich Albion,Everton,1,2,L,1,1,0,0,1.0,1.0,62.0,,,2.0,1.0,1.0,23.0,17.0,3.0,2.0,8.0,5.0,142.0,8.0,14.0,1.0,3.0,8.0,2.0,4.0,44.0,156.0,59.0,11.0,13.0,3.0,,1.0,1.0,18.0,15.0,,16.0,5.0,,37.0,91.0,,0.0,103.0,16.0,3.0,2.0,,35.0,38.0,6.0,37.0,1.0,3.0,13.0,17.0,3.0,5.0,3.0,156.0,10.0,60.0,466.0,5.0,8.0,22.0,,17.0,167.0,34.0,,7.0,12.0,1.0,3.0,1.0,2.0,13.0,261.0,58.0,1.0,91972,7.0,91.0,6.0,2.0,123.0,12.0,,17.0,7.0,60.0,,,4.0,15.0,3.0,1.0,1.0,66.0,174.0,9.0,16.0,2.0,20.0,4.0,58.0,,0.0,3.0,4.0,5.0,1.0,2.0,0.0,5.0,1.0,,2.0,33.6,10.0,1.0,2.0,4.0,2.0,22.0,7.0,,283.0,17.0,12.0,11.0,5.0,26.0,3.0,2.0,178.0,6.0,,14.0,51.0,18.0,,,12.0,23.0,1.0,4.0,3.0,18.0,,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855201,2016-08-28 13:30:00,"The Hawthorns, West Bromwich",23690,Home,West Bromwich Albion,Middlesbrough,0,0,D,0,0,0,0,1.0,2.0,66.0,,,1.0,,,28.0,11.0,4.0,6.0,8.0,2.0,143.0,7.0,12.0,,3.0,9.0,1.0,2.0,78.0,151.0,59.0,13.0,31.0,1.0,,2.0,1.0,22.0,13.0,1.0,6.0,5.0,10.0,30.0,151.0,1.0,0.0,113.0,12.0,,3.0,,64.0,40.0,3.0,50.0,1.0,4.0,17.0,16.0,5.0,5.0,,151.0,5.0,79.0,527.0,6.0,9.0,22.0,,11.0,249.0,29.0,,12.0,10.0,,1.0,1.0,6.0,20.0,331.0,65.0,,91972,6.0,115.0,9.0,,135.0,5.0,,16.0,6.0,66.0,1.0,1.0,2.0,16.0,2.0,2.0,1.0,65.0,259.0,10.0,4.0,3.0,31.0,4.0,77.0,,0.0,1.0,4.0,2.0,,1.0,0.0,4.0,,,5.0,41.0,15.0,5.0,2.0,2.0,5.0,42.0,5.0,,350.0,11.0,15.0,12.0,6.0,37.0,3.0,6.0,237.0,2.0,9.0,21.0,67.0,30.0,,4.0,5.0,16.0,,9.0,3.0,19.0,4.0,6.0,5.0,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855202,2016-09-10 15:00:00,"Vitality Stadium, Bournemouth",11184,Away,West Bromwich Albion,Bournemouth,0,1,L,0,0,0,0,,1.0,66.0,,2.0,2.0,,,31.0,25.0,6.0,4.0,6.0,4.0,116.0,6.0,5.0,,1.0,7.0,1.0,2.0,61.0,140.0,45.0,12.0,17.0,2.0,,1.0,1.0,17.0,12.0,,22.0,5.0,2.0,30.0,107.0,,0.0,110.0,11.0,3.0,1.0,1.0,37.0,42.0,5.0,41.0,6.0,3.0,12.0,21.0,6.0,4.0,4.0,140.0,8.0,54.0,463.0,6.0,10.0,19.0,1.0,16.0,175.0,28.0,,5.0,12.0,,3.0,2.0,2.0,22.0,243.0,64.0,,91972,3.0,85.0,7.0,,102.0,3.0,1.0,21.0,10.0,58.0,,1.0,3.0,17.0,4.0,4.0,1.0,73.0,186.0,8.0,15.0,1.0,18.0,3.0,71.0,,0.0,5.0,10.0,2.0,,3.0,0.0,3.0,,,2.0,36.5,17.0,,4.0,3.0,4.0,32.0,5.0,1.0,272.0,16.0,12.0,14.0,6.0,26.0,3.0,2.0,187.0,6.0,2.0,16.0,58.0,22.0,,2.0,11.0,16.0,,9.0,3.0,8.0,2.0,12.0,5.0,,,,,1.0,,,1.0,,1.0,1.0,2.0,,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855221,2016-09-17 15:00:00,"The Hawthorns, West Bromwich",22209,Home,West Bromwich Albion,West Ham United,4,2,W,3,0,0,0,,2.0,66.0,3.0,,,1.0,,26.0,17.0,2.0,3.0,6.0,3.0,115.0,4.0,6.0,4.0,3.0,7.0,1.0,6.0,55.0,125.0,34.0,8.0,12.0,1.0,1.0,1.0,1.0,11.0,13.0,1.0,17.0,2.0,1.0,17.0,94.0,,0.0,77.0,14.0,1.0,1.0,5.0,24.0,43.0,5.0,38.0,1.0,1.0,9.0,13.0,2.0,3.0,1.0,125.0,15.0,52.0,426.0,3.0,6.0,16.0,,13.0,172.0,37.0,,8.0,12.0,3.0,2.0,9.0,2.0,15.0,231.0,43.0,,91972,4.0,93.0,5.0,,113.0,8.0,1.0,13.0,11.0,64.0,,1.0,2.0,10.0,8.0,2.0,,71.0,183.0,4.0,16.0,1.0,31.0,2.0,72.0,,0.0,1.0,6.0,3.0,4.0,3.0,0.0,3.0,1.0,,,29.6,9.0,,3.0,3.0,,31.0,2.0,5.0,260.0,13.0,10.0,11.0,2.0,14.0,1.0,1.0,158.0,5.0,1.0,8.0,51.0,12.0,1.0,4.0,12.0,17.0,,5.0,3.0,18.0,4.0,6.0,2.0,3.0,1.0,,,1.0,,,1.0,,2.0,1.0,,,2.0,,2.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855228,2016-09-24 15:00:00,"bet365 Stadium, Stoke",27645,Away,West Bromwich Albion,Stoke City,1,1,D,0,0,0,0,,,53.0,,,1.0,1.0,1.0,22.0,21.0,5.0,1.0,4.0,,147.0,2.0,9.0,1.0,1.0,7.0,1.0,3.0,70.0,162.0,46.0,9.0,26.0,1.0,,1.0,1.0,16.0,10.0,1.0,15.0,5.0,4.0,31.0,121.0,,0.0,102.0,13.0,,,1.0,49.0,33.0,6.0,52.0,3.0,1.0,11.0,13.0,5.0,6.0,2.0,162.0,9.0,50.0,509.0,5.0,9.0,16.0,1.0,11.0,214.0,25.0,,11.0,12.0,1.0,4.0,7.0,1.0,32.0,294.0,65.0,,9089,3.0,101.0,5.0,1.0,122.0,8.0,2.0,13.0,10.0,64.0,,1.0,1.0,19.0,3.0,2.0,,74.0,220.0,8.0,6.0,1.0,31.0,2.0,73.0,1.0,0.0,,6.0,1.0,1.0,2.0,0.0,1.0,1.0,,2.0,43.8,22.0,,2.0,1.0,3.0,26.0,6.0,1.0,319.0,11.0,10.0,8.0,3.0,25.0,1.0,1.0,213.0,6.0,4.0,15.0,52.0,20.0,1.0,,11.0,14.0,1.0,6.0,3.0,18.0,,10.0,6.0,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,1.0,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855237,2016-10-01 15:00:00,"Stadium of Light, Sunderland",40043,Away,West Bromwich Albion,Sunderland,1,1,D,1,0,0,0,1.0,3.0,58.0,,,2.0,,,34.0,30.0,7.0,5.0,9.0,2.0,145.0,3.0,1.0,1.0,,10.0,,7.0,71.0,156.0,43.0,17.0,19.0,2.0,2.0,4.0,5.0,27.0,13.0,4.0,26.0,4.0,1.0,19.0,143.0,,0.0,120.0,13.0,,,4.0,38.0,66.0,6.0,47.0,1.0,,23.0,13.0,8.0,14.0,3.0,156.0,6.0,62.0,523.0,9.0,16.0,29.0,,10.0,224.0,27.0,,13.0,19.0,1.0,3.0,1.0,4.0,23.0,301.0,64.0,,91972,5.0,92.0,9.0,,108.0,8.0,1.0,13.0,9.0,55.0,,1.0,4.0,14.0,1.0,2.0,2.0,67.0,232.0,7.0,7.0,,30.0,2.0,75.0,1.0,0.0,1.0,6.0,1.0,1.0,2.0,0.0,3.0,,,2.0,44.0,17.0,2.0,1.0,4.0,3.0,40.0,5.0,4.0,325.0,10.0,14.0,13.0,7.0,31.0,,4.0,244.0,10.0,,18.0,72.0,21.0,1.0,5.0,18.0,17.0,,15.0,3.0,4.0,5.0,7.0,5.0,,1.0,3.0,,,,,1.0,,,,,,1.0,,1.0,2.0,1.0,,,,,,2.0,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,855251,2016-10-15 15:00:00,"The Hawthorns, West Bromwich",24263,Home,West Bromwich Albion,Tottenham Hotspur,1,1,D,0,0,0,0,,2.0,44.0,,4.0,,,,22.0,24.0,1.0,2.0,7.0,7.0,102.0,4.0,9.0,1.0,,4.0,,4.0,55.0,132.0,43.0,8.0,14.0,3.0,2.0,2.0,,21.0,12.0,,20.0,5.0,5.0,19.0,89.0,,0.0,95.0,14.0,5.0,1.0,2.0,41.0,40.0,2.0,24.0,1.0,1.0,16.0,19.0,1.0,9.0,,132.0,10.0,47.0,410.0,3.0,10.0,16.0,,11.0,128.0,24.0,,11.0,15.0,,2.0,9.0,2.0,17.0,202.0,46.0,,9089,3.0,55.0,6.0,,71.0,7.0,,19.0,12.0,52.0,1.0,1.0,2.0,7.0,10.0,3.0,1.0,69.0,140.0,9.0,13.0,1.0,40.0,3.0,60.0,1.0,0.0,3.0,8.0,3.0,1.0,2.0,0.0,2.0,,,2.0,28.5,12.0,2.0,2.0,2.0,1.0,20.0,5.0,2.0,228.0,11.0,8.0,6.0,3.0,26.0,2.0,3.0,178.0,4.0,5.0,9.0,54.0,10.0,,4.0,14.0,16.0,,5.0,2.0,12.0,4.0,10.0,5.0,1.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,855258,2016-10-22 17:30:00,"Anfield, Liverpool",53218,Away,West Bromwich Albion,Liverpool,1,2,L,0,2,0,0,1.0,,55.0,1.0,1.0,1.0,,,30.0,25.0,3.0,4.0,4.0,5.0,144.0,3.0,7.0,1.0,2.0,6.0,,1.0,58.0,157.0,52.0,7.0,33.0,,,,1.0,14.0,12.0,,22.0,2.0,6.0,34.0,122.0,,0.0,108.0,13.0,3.0,2.0,,40.0,40.0,3.0,57.0,3.0,,12.0,9.0,3.0,6.0,2.0,157.0,14.0,59.0,493.0,5.0,21.0,14.0,,14.0,191.0,18.0,2.0,18.0,14.0,1.0,3.0,6.0,3.0,18.0,289.0,65.0,2.0,9089,3.0,85.0,4.0,1.0,104.0,4.0,,9.0,14.0,70.0,,3.0,,11.0,7.0,3.0,,76.0,204.0,9.0,9.0,,43.0,2.0,80.0,,0.0,,3.0,4.0,1.0,4.0,0.0,3.0,,1.0,1.0,32.5,16.0,1.0,2.0,,2.0,40.0,2.0,,318.0,14.0,7.0,13.0,4.0,22.0,,2.0,228.0,2.0,6.0,20.0,51.0,27.0,,3.0,13.0,18.0,,4.0,3.0,16.0,3.0,6.0,2.0,1.0,,,,2.0,,,,,1.0,2.0,,1.0,2.0,,2.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,855271,2016-10-29 15:00:00,"The Hawthorns, West Bromwich",22470,Home,West Bromwich Albion,Manchester City,0,4,L,0,2,0,0,1.0,1.0,48.0,,1.0,1.0,,,33.0,17.0,3.0,3.0,6.0,3.0,112.0,4.0,9.0,,3.0,7.0,,1.0,68.0,103.0,38.0,9.0,10.0,,1.0,,1.0,16.0,8.0,1.0,17.0,1.0,,17.0,102.0,,0.0,71.0,17.0,2.0,2.0,,42.0,35.0,1.0,46.0,2.0,2.0,15.0,13.0,3.0,5.0,2.0,103.0,12.0,55.0,431.0,6.0,3.0,19.0,,9.0,205.0,22.0,2.0,12.0,9.0,,4.0,8.0,6.0,12.0,257.0,40.0,1.0,9089,5.0,122.0,8.0,1.0,141.0,10.0,1.0,13.0,7.0,48.0,1.0,3.0,2.0,12.0,9.0,5.0,1.0,65.0,220.0,9.0,12.0,1.0,34.0,,62.0,1.0,0.0,5.0,7.0,3.0,,,0.0,4.0,,,3.0,30.1,12.0,2.0,2.0,2.0,1.0,35.0,1.0,,281.0,9.0,5.0,10.0,7.0,21.0,,4.0,156.0,3.0,,8.0,48.0,18.0,,,9.0,12.0,,7.0,3.0,14.0,,6.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,4.0,,3.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
