gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,goalAssistSetplay,attMissLeft,attSvHighRight,attSvHighLeft,attHdTarget,accurateFreekickCross,attAssistSetplay,attSvLowRight,attCmissLeft,goalsConceded,possWonAtt3rd,attFreekickMiss,goalAssistDeadball,attLfGoal,attGoalLowCentre,attCmissRight,postScoringAtt,attIboxPost,attOboxTarget,attHdPost,hitWoodwork,defenderGoals,overrun,attPostHigh,attSvHighCentre,sixYardBlock,penaltyConceded,penaltyFaced,penGoalsConceded,goalsConcededIbox,attPostLeft,punches,accurateKeeperSweeper,totalKeeperSweeper,accurateThroughBall,accuratePullBack,attOneOnOne,shieldBallOop,errorLeadToGoal,goalFastbreak,attGoalHighCentre,attCmissHighLeft,attOboxPost,attPostRight,attGoalHighRight,clearanceOffLine,contentiousDecision,attObxLeft,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,attCmissHighRight,ownGoals,attIboxOwnGoal,attFreekickPost,penaltySave,attObpGoal,attFreekickTarget,attLgCentre,attObxdLeft,ptsGainedLosingPos
1,442006,2012-08-18 15:00:00,"The Hawthorns, West Bromwich",26039,Home,West Bromwich Albion,Liverpool,3,0,W,1,0,0,1,1.0,2.0,1.0,31.0,1.0,1.0,1.0,2.0,27.0,10.0,7.0,5.0,1.0,126.0,5.0,4.0,3.0,5.0,12.0,6.0,87.0,127.0,48.0,1.0,2.0,18.0,4.0,7.0,3.0,1.0,2.0,1.0,1.0,16.0,15.0,3.0,5.0,16.0,15.0,162.0,1.0,1.0,1.0,2.0,0.0,106.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,46.0,31.0,6.0,52.0,1.0,1.0,11.0,2.0,4.0,3.0,120.0,2.0,10.0,84.0,508.0,1.0,11.0,2.0,15.0,14.0,1.0,8.0,7.0,1.0,1.0,7.0,6.0,15.0,69.0,3.0,9089,6.0,125.0,1.0,6.0,1.0,144.0,2.0,1.0,11.0,38.0,1.0,1.0,2.0,3.0,1.0,10.0,6.0,2.0,3.0,1.0,50.0,282.0,11.0,6.0,27.0,80.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,3.0,40.5,9.0,2.0,1.0,3.0,6.0,44.0,7.0,2.0,349.0,14.0,12.0,10.0,6.0,16.0,2.0,3.0,221.0,10.0,16.0,14.0,73.0,12.0,2.0,4.0,2.0,19.0,1.0,10.0,3.0,7.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,442018,2012-08-25 15:00:00,"White Hart Lane, London",36166,Away,West Bromwich Albion,Tottenham Hotspur,1,1,D,0,0,0,0,,2.0,,46.0,,1.0,5.0,3.0,30.0,22.0,3.0,4.0,1.0,126.0,6.0,4.0,1.0,4.0,10.0,6.0,90.0,148.0,45.0,,1.0,13.0,,5.0,5.0,1.0,,,1.0,15.0,13.0,13.0,5.0,20.0,19.0,144.0,2.0,,,,0.0,102.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,37.0,52.0,7.0,48.0,1.0,,10.0,1.0,2.0,3.0,139.0,1.0,9.0,79.0,533.0,,6.0,5.0,16.0,18.0,,8.0,16.0,1.0,3.0,5.0,3.0,29.0,74.0,,9089,4.0,130.0,2.0,5.0,1.0,145.0,1.0,2.0,9.0,39.0,,,3.0,2.0,,19.0,13.0,4.0,1.0,,55.0,268.0,8.0,6.0,32.0,75.0,1.0,,0.0,7.0,1.0,1.0,,0.0,3.0,,3.0,41.0,23.0,1.0,4.0,2.0,3.0,39.0,5.0,2.0,343.0,10.0,17.0,11.0,4.0,11.0,3.0,1.0,213.0,6.0,20.0,16.0,58.0,20.0,,3.0,8.0,17.0,,8.0,3.0,9.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,442026,2012-09-01 15:00:00,"The Hawthorns, West Bromwich",25383,Home,West Bromwich Albion,Everton,2,0,W,0,0,0,0,,,2.0,45.0,,,,,22.0,22.0,6.0,2.0,3.0,160.0,7.0,4.0,2.0,3.0,9.0,5.0,83.0,155.0,42.0,,1.0,12.0,2.0,15.0,1.0,,1.0,1.0,1.0,18.0,8.0,8.0,6.0,10.0,26.0,140.0,2.0,1.0,,,0.0,107.0,12.0,,,,,3.0,2.0,54.0,39.0,5.0,43.0,,2.0,12.0,1.0,4.0,2.0,141.0,3.0,12.0,80.0,529.0,,7.0,3.0,5.0,27.0,,6.0,12.0,2.0,1.0,5.0,4.0,20.0,69.0,2.0,9089,3.0,151.0,1.0,5.0,,165.0,,,7.0,50.0,,,5.0,2.0,1.0,12.0,1.0,1.0,,,59.0,284.0,16.0,2.0,29.0,88.0,,,0.0,3.0,2.0,2.0,3.0,0.0,5.0,2.0,2.0,44.3,18.0,,1.0,2.0,2.0,43.0,6.0,2.0,366.0,4.0,18.0,9.0,5.0,17.0,2.0,2.0,219.0,8.0,10.0,12.0,56.0,10.0,1.0,1.0,4.0,10.0,1.0,9.0,3.0,7.0,1.0,6.0,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,442032,2012-09-15 15:00:00,"Craven Cottage, London",25691,Away,West Bromwich Albion,Fulham,0,3,L,0,2,1,0,,1.0,,36.0,,,4.0,2.0,37.0,23.0,5.0,1.0,4.0,125.0,4.0,4.0,,1.0,8.0,5.0,110.0,126.0,37.0,,,10.0,1.0,12.0,2.0,1.0,1.0,,1.0,14.0,13.0,10.0,4.0,19.0,27.0,154.0,,,,,0.0,86.0,10.0,4.0,1.0,,2.0,1.0,,28.0,44.0,7.0,47.0,4.0,,10.0,,3.0,1.0,113.0,,13.0,91.0,533.0,,6.0,,7.0,16.0,,8.0,7.0,,0.0,5.0,1.0,16.0,58.0,2.0,9089,1.0,152.0,,6.0,1.0,175.0,,,10.0,42.0,,,1.0,8.0,,9.0,10.0,3.0,,,62.0,302.0,7.0,6.0,26.0,75.0,1.0,,0.0,5.0,3.0,,,1.0,2.0,,1.0,37.0,16.0,1.0,1.0,8.0,3.0,44.0,4.0,,373.0,6.0,14.0,13.0,2.0,20.0,2.0,1.0,212.0,8.0,18.0,8.0,53.0,8.0,,3.0,4.0,18.0,,7.0,3.0,4.0,3.0,4.0,,,2.0,,,,1.0,2.0,,2.0,3.0,2.0,,,,,,,,3.0,,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,442046,2012-09-22 15:00:00,"The Hawthorns, West Bromwich",23854,Home,West Bromwich Albion,Reading,1,0,W,0,0,0,0,1.0,,,57.0,,,,1.0,33.0,27.0,5.0,2.0,3.0,193.0,7.0,5.0,1.0,2.0,10.0,4.0,93.0,179.0,45.0,,,11.0,,20.0,,,,1.0,,29.0,9.0,12.0,9.0,28.0,28.0,198.0,,1.0,,,0.0,134.0,15.0,,,,3.0,1.0,2.0,78.0,28.0,4.0,70.0,1.0,2.0,20.0,,4.0,2.0,164.0,,5.0,84.0,631.0,,7.0,4.0,8.0,25.0,,13.0,21.0,1.0,1.0,3.0,6.0,23.0,76.0,,9089,5.0,148.0,,15.0,,170.0,,,11.0,53.0,,2.0,1.0,5.0,1.0,12.0,5.0,2.0,2.0,,59.0,339.0,7.0,5.0,40.0,91.0,,,0.0,1.0,1.0,1.0,1.0,0.0,3.0,,3.0,52.9,18.0,2.0,,5.0,1.0,43.0,9.0,2.0,440.0,6.0,11.0,12.0,6.0,20.0,4.0,3.0,299.0,6.0,27.0,22.0,83.0,23.0,1.0,9.0,8.0,11.0,,9.0,3.0,8.0,9.0,9.0,,,1.0,,,,,2.0,,,,1.0,,,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,442050,2012-09-30 16:00:00,"Villa Park, Birmingham",34489,Away,West Bromwich Albion,Aston Villa,1,1,D,0,0,0,0,2.0,2.0,1.0,47.0,,,1.0,2.0,20.0,54.0,8.0,7.0,,111.0,6.0,4.0,1.0,3.0,10.0,3.0,83.0,155.0,62.0,,1.0,14.0,3.0,13.0,1.0,,,,2.0,17.0,20.0,25.0,4.0,14.0,31.0,161.0,1.0,,,,0.0,123.0,12.0,2.0,,,,,1.0,40.0,60.0,4.0,49.0,1.0,,13.0,1.0,5.0,4.0,126.0,,13.0,79.0,547.0,,8.0,5.0,10.0,21.0,1.0,7.0,28.0,,1.0,8.0,6.0,23.0,62.0,1.0,9089,4.0,99.0,,8.0,,118.0,,,13.0,48.0,,6.0,3.0,1.0,1.0,11.0,8.0,5.0,2.0,,32.0,254.0,8.0,6.0,18.0,65.0,,,0.0,11.0,1.0,1.0,,0.0,4.0,,2.0,42.6,17.0,2.0,1.0,1.0,5.0,38.0,4.0,1.0,322.0,8.0,13.0,15.0,6.0,12.0,2.0,2.0,221.0,5.0,14.0,24.0,89.0,18.0,1.0,6.0,12.0,26.0,,11.0,3.0,10.0,6.0,4.0,,,2.0,,,,,2.0,,2.0,1.0,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,442066,2012-10-06 15:00:00,"The Hawthorns, West Bromwich",23987,Home,West Bromwich Albion,Queens Park Rangers,3,2,W,2,1,0,0,,,,49.0,1.0,1.0,,2.0,33.0,23.0,6.0,3.0,2.0,146.0,5.0,4.0,3.0,5.0,11.0,5.0,97.0,144.0,53.0,,,14.0,2.0,12.0,1.0,1.0,1.0,2.0,,17.0,16.0,12.0,2.0,22.0,28.0,179.0,,,,,0.0,112.0,17.0,1.0,1.0,3.0,,3.0,1.0,62.0,34.0,7.0,62.0,,1.0,15.0,,5.0,3.0,133.0,2.0,7.0,77.0,555.0,,8.0,4.0,6.0,22.0,,14.0,15.0,2.0,2.0,4.0,4.0,22.0,59.0,1.0,9089,6.0,134.0,2.0,7.0,,152.0,2.0,2.0,8.0,57.0,,,3.0,2.0,3.0,11.0,6.0,6.0,3.0,,52.0,308.0,12.0,11.0,28.0,78.0,1.0,,0.0,5.0,1.0,3.0,,0.0,5.0,2.0,1.0,44.9,11.0,,1.0,2.0,4.0,51.0,2.0,1.0,382.0,5.0,16.0,13.0,5.0,23.0,,2.0,247.0,10.0,22.0,15.0,72.0,20.0,,2.0,9.0,22.0,1.0,14.0,3.0,5.0,2.0,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,2.0,,,,1.0,,,,1.0,,,,3.0,,1.0,,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,442077,2012-10-20 15:00:00,"The Hawthorns, West Bromwich",24891,Home,West Bromwich Albion,Manchester City,1,2,L,0,0,0,1,2.0,1.0,1.0,34.0,1.0,,3.0,1.0,28.0,22.0,11.0,4.0,1.0,137.0,3.0,7.0,1.0,3.0,12.0,4.0,83.0,120.0,56.0,,1.0,17.0,4.0,8.0,3.0,1.0,,1.0,1.0,15.0,15.0,18.0,5.0,15.0,17.0,177.0,2.0,,,,0.0,114.0,13.0,2.0,1.0,,1.0,2.0,1.0,82.0,30.0,8.0,53.0,,,10.0,1.0,1.0,7.0,116.0,3.0,12.0,80.0,507.0,,10.0,3.0,4.0,15.0,,5.0,15.0,1.0,4.0,7.0,4.0,13.0,55.0,,9089,6.0,107.0,2.0,7.0,1.0,122.0,1.0,1.0,10.0,40.0,,,,2.0,1.0,12.0,12.0,7.0,3.0,,45.0,281.0,16.0,11.0,20.0,74.0,1.0,,0.0,9.0,3.0,1.0,,0.0,2.0,,2.0,43.9,11.0,1.0,,3.0,5.0,46.0,6.0,1.0,353.0,4.0,8.0,7.0,8.0,18.0,1.0,1.0,246.0,11.0,14.0,16.0,75.0,16.0,1.0,3.0,13.0,17.0,,12.0,3.0,9.0,3.0,6.0,1.0,,3.0,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,4.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,442084,2012-10-28 15:00:00,"St. James' Park, Newcastle",49731,Away,West Bromwich Albion,Newcastle United,1,2,L,0,1,0,0,,2.0,1.0,54.0,,1.0,1.0,1.0,17.0,35.0,3.0,4.0,1.0,152.0,2.0,6.0,1.0,3.0,10.0,4.0,90.0,159.0,53.0,,1.0,11.0,,19.0,3.0,,1.0,1.0,1.0,18.0,21.0,21.0,4.0,30.0,29.0,165.0,,,,,0.0,107.0,7.0,1.0,,,,3.0,3.0,58.0,47.0,5.0,66.0,1.0,4.0,14.0,1.0,2.0,3.0,145.0,4.0,6.0,96.0,611.0,,8.0,2.0,18.0,18.0,,4.0,23.0,1.0,2.0,3.0,5.0,23.0,72.0,,9089,4.0,161.0,3.0,9.0,1.0,176.0,,2.0,10.0,55.0,,2.0,7.0,6.0,1.0,13.0,7.0,4.0,1.0,,43.0,324.0,13.0,10.0,20.0,85.0,,,0.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,49.6,20.0,1.0,,6.0,1.0,47.0,4.0,3.0,404.0,15.0,13.0,12.0,6.0,14.0,1.0,3.0,246.0,5.0,30.0,11.0,57.0,25.0,1.0,3.0,14.0,23.0,1.0,7.0,3.0,12.0,3.0,4.0,,,1.0,,,,,1.0,2.0,1.0,2.0,3.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,2.0,,,,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,442097,2012-11-05 20:00:00,"The Hawthorns, West Bromwich",25635,Home,West Bromwich Albion,Southampton,2,0,W,1,0,0,0,,,1.0,73.0,2.0,,,2.0,28.0,31.0,7.0,6.0,1.0,155.0,11.0,4.0,2.0,1.0,16.0,3.0,73.0,154.0,55.0,,,17.0,2.0,19.0,1.0,4.0,1.0,2.0,,25.0,18.0,18.0,8.0,13.0,17.0,173.0,1.0,1.0,1.0,,0.0,135.0,7.0,2.0,5.0,,,2.0,5.0,77.0,53.0,6.0,64.0,,3.0,17.0,,6.0,4.0,141.0,2.0,6.0,89.0,588.0,,11.0,8.0,14.0,24.0,,16.0,21.0,2.0,1.0,2.0,10.0,22.0,70.0,,9089,7.0,137.0,1.0,9.0,1.0,153.0,,1.0,6.0,51.0,1.0,2.0,3.0,2.0,2.0,7.0,4.0,1.0,2.0,,47.0,299.0,11.0,2.0,35.0,79.0,4.0,,0.0,6.0,3.0,1.0,2.0,0.0,5.0,1.0,3.0,43.5,16.0,2.0,1.0,3.0,4.0,42.0,8.0,6.0,381.0,14.0,14.0,10.0,10.0,14.0,6.0,6.0,253.0,8.0,12.0,19.0,94.0,32.0,2.0,4.0,11.0,21.0,1.0,14.0,3.0,13.0,4.0,8.0,,,4.0,,,,1.0,3.0,1.0,,,4.0,,,1.0,,3.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
