gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attOboxBlocked,shotFastbreak,cleanSheet,totalFastbreak,bigChanceCreated,attMissHighLeft,accurateThroughBall,bigChanceMissed,totalThroughBall,attFastbreak,attCmissLeft,punches,overrun,shieldBallOop,foulThrowIn,attHdMiss,handBall,attRfTarget,attGoalLowCentre,goals,accuratePullBack,attCmissRight,attPenTarget,goalAssistOpenplay,attGoalHighRight,attMissHighRight,penaltyWon,midfielderGoals,attMissRight,goalAssist,accurateFreekickCross,attSetpiece,attRfGoal,totalPullBack,goalsOpenplay,attSvLowRight,attIboxGoal,goalAssistIntentional,attHdGoal,bigChanceScored,attGoalLowRight,attemptsIbox,attSvHighRight,attSvLowLeft,attemptsObox,touchesInOppBox,errorLeadToShot,clearanceOffLine,forwardGoals,contentiousDecision,attGoalLowLeft,attSvHighLeft,goalAssistSetplay,goalAssistDeadball,defenderGoals,attGoalHighLeft,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,attObxdLeft,attPenGoal,attFreekickTarget,errorLeadToGoal,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostHigh,attCmissHighRight,attObxdRight,attLgCentre,attLfGoal,attObxRight,attGoalHighCentre,attOboxGoal,ownGoals,attIboxOwnGoal,attObpGoal,attOboxPost,attObxLeft,attOneOnOne,attFreekickGoal,attPostRight,attPostLeft
1,803165,2015-08-10 20:00:00,"The Hawthorns, West Bromwich",24564,Home,West Bromwich Albion,Manchester City,0,3,L,0,2,0,0,1.0,1.0,56.0,1.0,1.0,22.0,21.0,5.0,2.0,4.0,114.0,4.0,7.0,6.0,6.0,2.0,80.0,110.0,39.0,2.0,9.0,12.0,1.0,1.0,1.0,1.0,2.0,22.0,11.0,1.0,15.0,6.0,4.0,15.0,150.0,0.0,98.0,12.0,4.0,3.0,2.0,29.0,43.0,3.0,47.0,2.0,16.0,11.0,2.0,4.0,4.0,104.0,11.0,87.0,502.0,5.0,7.0,1.0,16.0,258.0,31.0,15.0,9.0,1.0,4.0,10.0,3.0,16.0,318.0,47.0,91972,1.0,121.0,9.0,1.0,136.0,9.0,11.0,2.0,40.0,2.0,2.0,2.0,10.0,9.0,2.0,4.0,45.0,267.0,9.0,7.0,1.0,32.0,60.0,0.0,6.0,3.0,3.0,1.0,0.0,3.0,1.0,30.9,13.0,1.0,1.0,1.0,2.0,1.0,42.0,6.0,2.0,328.0,16.0,2.0,8.0,9.0,6.0,26.0,1.0,2.0,214.0,5.0,4.0,6.0,71.0,18.0,3.0,8.0,17.0,2.0,6.0,3.0,9.0,3.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803181,2015-08-15 15:00:00,"Vicarage Road, Watford",20011,Away,West Bromwich Albion,Watford,0,0,D,0,0,0,0,,,46.0,4.0,,33.0,39.0,2.0,2.0,5.0,130.0,4.0,4.0,2.0,5.0,,63.0,144.0,64.0,1.0,6.0,18.0,,1.0,,,2.0,16.0,19.0,,31.0,3.0,8.0,13.0,120.0,0.0,94.0,10.0,1.0,,1.0,33.0,65.0,1.0,35.0,1.0,13.0,19.0,1.0,2.0,1.0,136.0,7.0,57.0,479.0,4.0,14.0,,20.0,174.0,23.0,16.0,17.0,,2.0,2.0,4.0,13.0,254.0,54.0,91972,1.0,78.0,11.0,,93.0,6.0,19.0,16.0,52.0,,,2.0,10.0,9.0,7.0,2.0,74.0,194.0,11.0,9.0,1.0,44.0,79.0,0.0,2.0,1.0,,5.0,0.0,3.0,3.0,36.1,9.0,1.0,,,2.0,1.0,41.0,4.0,1.0,285.0,20.0,1.0,12.0,9.0,5.0,22.0,1.0,4.0,208.0,1.0,8.0,26.0,53.0,14.0,6.0,16.0,24.0,,2.0,3.0,7.0,6.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803184,2015-08-23 13:30:00,"The Hawthorns, West Bromwich",23256,Home,West Bromwich Albion,Chelsea,2,3,L,1,3,0,1,,,60.0,2.0,,19.0,15.0,7.0,,2.0,147.0,6.0,6.0,4.0,12.0,6.0,98.0,140.0,45.0,1.0,15.0,19.0,2.0,1.0,1.0,3.0,1.0,23.0,9.0,2.0,10.0,6.0,15.0,37.0,160.0,0.0,133.0,9.0,2.0,1.0,,56.0,34.0,6.0,49.0,2.0,18.0,15.0,1.0,5.0,2.0,135.0,10.0,79.0,543.0,8.0,6.0,,15.0,264.0,23.0,7.0,7.0,1.0,2.0,3.0,6.0,20.0,344.0,60.0,7551,4.0,130.0,12.0,,148.0,3.0,15.0,10.0,43.0,1.0,2.0,5.0,10.0,5.0,6.0,3.0,61.0,284.0,11.0,7.0,2.0,27.0,71.0,0.0,7.0,,3.0,,0.0,5.0,3.0,43.9,16.0,5.0,2.0,,5.0,3.0,30.0,8.0,,373.0,15.0,,9.0,15.0,6.0,33.0,1.0,4.0,248.0,12.0,13.0,16.0,93.0,22.0,1.0,6.0,13.0,3.0,8.0,3.0,6.0,1.0,9.0,8.0,3.0,,,,,,,1.0,2.0,,1.0,,4.0,1.0,,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803200,2015-08-29 15:00:00,"bet365 Stadium, Stoke",26747,Away,West Bromwich Albion,Stoke City,1,0,W,1,0,0,2,,,53.0,3.0,2.0,32.0,26.0,7.0,1.0,4.0,128.0,7.0,9.0,1.0,10.0,5.0,140.0,121.0,40.0,,15.0,12.0,1.0,,,1.0,,28.0,15.0,3.0,24.0,4.0,15.0,34.0,277.0,0.0,146.0,9.0,,,,87.0,61.0,6.0,56.0,1.0,24.0,17.0,,9.0,2.0,119.0,3.0,131.0,660.0,7.0,4.0,,18.0,381.0,22.0,4.0,18.0,1.0,4.0,4.0,4.0,25.0,438.0,66.0,77760,6.0,124.0,15.0,,137.0,4.0,17.0,9.0,52.0,1.0,3.0,4.0,12.0,10.0,6.0,2.0,57.0,394.0,4.0,14.0,2.0,21.0,69.0,0.0,6.0,2.0,,,0.0,6.0,4.0,50.9,21.0,3.0,1.0,1.0,4.0,4.0,49.0,5.0,,455.0,18.0,,12.0,23.0,6.0,40.0,1.0,4.0,346.0,10.0,15.0,9.0,117.0,23.0,3.0,17.0,19.0,,13.0,3.0,15.0,3.0,8.0,5.0,2.0,,1.0,,1.0,,,,,,,1.0,,,,3.0,,4.0,,1.0,,1.0,,1.0,,1.0,,,3.0,1.0,,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,7.0,22.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803208,2015-09-12 15:00:00,"The Hawthorns, West Bromwich",24265,Home,West Bromwich Albion,Southampton,0,0,D,0,0,0,0,,,67.0,1.0,2.0,28.0,28.0,3.0,3.0,4.0,162.0,3.0,6.0,2.0,7.0,1.0,61.0,169.0,52.0,,8.0,20.0,1.0,1.0,,1.0,1.0,17.0,17.0,,20.0,4.0,6.0,36.0,132.0,0.0,127.0,5.0,,1.0,4.0,35.0,52.0,3.0,42.0,1.0,13.0,17.0,,1.0,2.0,161.0,10.0,68.0,509.0,6.0,14.0,1.0,9.0,213.0,26.0,9.0,18.0,,1.0,5.0,4.0,17.0,307.0,74.0,91972,1.0,95.0,11.0,,114.0,3.0,17.0,11.0,42.0,,1.0,3.0,19.0,5.0,2.0,2.0,74.0,224.0,5.0,6.0,1.0,24.0,90.0,0.0,5.0,3.0,,2.0,0.0,2.0,2.0,35.1,13.0,1.0,2.0,,3.0,3.0,41.0,4.0,4.0,333.0,9.0,,8.0,14.0,4.0,23.0,1.0,2.0,236.0,3.0,6.0,21.0,71.0,28.0,3.0,12.0,20.0,,6.0,3.0,10.0,3.0,8.0,4.0,1.0,,1.0,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803220,2015-09-19 15:00:00,"Villa Park, Birmingham",36321,Away,West Bromwich Albion,Aston Villa,1,0,W,1,0,0,0,,2.0,56.0,3.0,2.0,26.0,38.0,3.0,2.0,3.0,135.0,3.0,8.0,3.0,10.0,6.0,71.0,157.0,57.0,,10.0,35.0,3.0,,,1.0,,21.0,10.0,2.0,35.0,6.0,5.0,21.0,130.0,0.0,110.0,11.0,,3.0,,47.0,70.0,9.0,26.0,4.0,16.0,17.0,,4.0,,154.0,3.0,71.0,534.0,8.0,10.0,2.0,29.0,211.0,26.0,10.0,24.0,,3.0,5.0,1.0,33.0,280.0,65.0,91972,3.0,93.0,9.0,1.0,107.0,5.0,17.0,9.0,87.0,,1.0,1.0,9.0,10.0,1.0,,73.0,220.0,10.0,12.0,1.0,38.0,72.0,0.0,2.0,,,2.0,0.0,3.0,2.0,40.2,21.0,4.0,2.0,,1.0,3.0,29.0,7.0,1.0,303.0,29.0,,26.0,13.0,1.0,25.0,1.0,1.0,217.0,6.0,5.0,24.0,63.0,19.0,3.0,23.0,15.0,,9.0,3.0,12.0,3.0,10.0,7.0,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,3.0,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,803227,2015-09-28 20:00:00,"The Hawthorns, West Bromwich",24240,Home,West Bromwich Albion,Everton,2,3,L,1,0,0,0,,,57.0,1.0,,31.0,22.0,5.0,2.0,1.0,164.0,5.0,11.0,,7.0,4.0,85.0,159.0,58.0,,9.0,15.0,,,,,,24.0,11.0,2.0,21.0,6.0,12.0,40.0,159.0,0.0,150.0,9.0,1.0,,,45.0,62.0,4.0,60.0,2.0,18.0,22.0,,7.0,2.0,158.0,7.0,88.0,589.0,5.0,9.0,,19.0,272.0,28.0,7.0,10.0,,0.0,3.0,3.0,24.0,371.0,69.0,91972,2.0,135.0,11.0,,158.0,7.0,22.0,11.0,45.0,,3.0,1.0,10.0,5.0,4.0,,74.0,289.0,7.0,5.0,,26.0,72.0,0.0,4.0,,3.0,3.0,0.0,2.0,2.0,46.0,23.0,4.0,,,1.0,1.0,33.0,6.0,,397.0,19.0,,12.0,21.0,4.0,27.0,3.0,2.0,263.0,5.0,9.0,21.0,89.0,23.0,1.0,10.0,19.0,3.0,7.0,3.0,16.0,1.0,12.0,6.0,1.0,,,,2.0,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,,2.0,,2.0,,1.0,,1.0,,1.0,,,2.0,2.0,,,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,803240,2015-10-03 12:45:00,"Selhurst Park, London",24033,Away,West Bromwich Albion,Crystal Palace,0,2,L,0,0,0,0,,1.0,52.0,4.0,1.0,22.0,35.0,4.0,3.0,6.0,141.0,1.0,15.0,1.0,4.0,2.0,66.0,158.0,66.0,,7.0,14.0,1.0,1.0,,,,11.0,12.0,1.0,28.0,3.0,,20.0,85.0,0.0,96.0,13.0,2.0,,1.0,23.0,60.0,2.0,40.0,1.0,8.0,15.0,,7.0,2.0,151.0,8.0,55.0,496.0,3.0,11.0,,10.0,175.0,24.0,8.0,19.0,,3.0,6.0,2.0,18.0,269.0,64.0,91972,,106.0,1.0,,138.0,9.0,15.0,10.0,60.0,1.0,1.0,4.0,7.0,13.0,2.0,3.0,75.0,190.0,13.0,17.0,1.0,31.0,81.0,0.0,8.0,2.0,2.0,5.0,0.0,1.0,,39.6,14.0,2.0,2.0,,4.0,2.0,34.0,3.0,1.0,302.0,10.0,,14.0,7.0,3.0,19.0,,1.0,175.0,4.0,,16.0,42.0,15.0,6.0,18.0,22.0,2.0,5.0,3.0,17.0,6.0,9.0,3.0,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,803250,2015-10-17 15:00:00,"The Hawthorns, West Bromwich",24225,Home,West Bromwich Albion,Sunderland,1,0,W,0,0,0,0,,1.0,51.0,1.0,1.0,40.0,18.0,2.0,4.0,2.0,151.0,4.0,8.0,2.0,6.0,2.0,129.0,171.0,59.0,,9.0,22.0,1.0,,,,2.0,24.0,8.0,,12.0,1.0,13.0,55.0,214.0,0.0,167.0,12.0,1.0,,1.0,80.0,76.0,1.0,57.0,1.0,23.0,8.0,,4.0,1.0,165.0,4.0,115.0,636.0,6.0,7.0,,11.0,332.0,17.0,13.0,11.0,,2.0,5.0,5.0,23.0,426.0,79.0,91972,4.0,138.0,19.0,,155.0,7.0,8.0,5.0,62.0,,2.0,3.0,13.0,5.0,1.0,1.0,81.0,348.0,13.0,7.0,,27.0,75.0,0.0,5.0,1.0,,2.0,0.0,4.0,1.0,56.2,22.0,4.0,1.0,,3.0,2.0,40.0,1.0,1.0,452.0,11.0,,14.0,29.0,5.0,29.0,,4.0,321.0,3.0,10.0,29.0,107.0,23.0,2.0,8.0,9.0,,9.0,2.0,18.0,2.0,6.0,1.0,1.0,,1.0,,,1.0,,1.0,,,2.0,,1.0,,,1.0,2.0,,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,803261,2015-10-24 15:00:00,"Carrow Road, Norwich",26983,Away,West Bromwich Albion,Norwich City,1,0,W,0,0,0,0,,2.0,52.0,1.0,,21.0,44.0,3.0,2.0,3.0,149.0,5.0,5.0,2.0,5.0,4.0,54.0,169.0,50.0,,7.0,24.0,,,1.0,1.0,,20.0,9.0,3.0,37.0,3.0,3.0,16.0,127.0,0.0,102.0,6.0,2.0,1.0,3.0,71.0,47.0,2.0,44.0,2.0,17.0,11.0,,6.0,,162.0,8.0,69.0,502.0,3.0,9.0,,23.0,189.0,28.0,12.0,25.0,1.0,2.0,4.0,3.0,16.0,285.0,71.0,91972,2.0,74.0,10.0,,93.0,6.0,11.0,14.0,48.0,2.0,,1.0,11.0,8.0,1.0,2.0,87.0,196.0,11.0,10.0,1.0,55.0,99.0,0.0,13.0,2.0,,2.0,0.0,4.0,3.0,39.4,10.0,1.0,,1.0,1.0,,31.0,3.0,3.0,316.0,23.0,,8.0,9.0,3.0,24.0,1.0,3.0,243.0,2.0,3.0,25.0,46.0,15.0,6.0,23.0,10.0,,6.0,2.0,5.0,6.0,9.0,3.0,,,1.0,,3.0,,,2.0,2.0,,,4.0,2.0,,,2.0,,1.0,,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
