gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,savedObox,attRfTarget,fouledFinalThird,attFreekickTotal,attBxRight,postScoringAtt,accurateKeeperSweeper,attIboxPost,divingSave,attSvHighLeft,attSvLowLeft,goodHighClaim,interceptionsInBox,freekickTotal,attPostLeft,hitWoodwork,totalKeeperSweeper,attSetpiece,challengeLost,attAssistSetplay,attFreekickTarget,savedIbox,goalsConceded,shieldBallOop,foulThrowIn,totalHighClaim,accurateCornersIntobox,goalsConcededIbox,goalsConcededObox,handBall,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attObxdRight,sixYardBlock,attCmissHighLeft,goalAssistIntentional,attSvHighCentre,attHdGoal,bigChanceScored,attGoalLowLeft,attRfGoal,attObxRight,clearanceOffLine,forwardGoals,freekickCross,attGoalHighCentre,attCmissLeft,attFreekickMiss,accuratePullBack,totalPullBack,penaltyWon,attHdTarget,attPenGoal,attGoalHighLeft,attSvHighRight,accurateFreekickCross,ownGoals,attIboxOwnGoal,attPenTarget,goalFastbreak,attPostRight,secondYellow,errorLeadToGoal,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,attFreekickPost,attOboxPost,attPostHigh,attHdPost,attFreekickGoal,attObxLeft
1,360476,2012-01-11 19:45:00,"White Hart Lane, London",36132,Home,Tottenham Hotspur,Everton,2,0,W,1,0,0,0,2.0,56.0,1.0,2.0,53.0,51.0,8.0,9.0,2.0,178.0,5.0,6.0,2.0,12.0,1.0,4.0,184.0,161.0,51.0,16.0,3.0,11.0,1.0,1.0,2.0,1.0,1.0,20.0,6.0,1.0,1.0,25.0,5.0,36.0,39.0,302.0,1.0,1.0,1.0,0.0,169.0,6.0,1.0,1.0,81.0,88.0,6.0,101.0,1.0,15.0,5.0,4.0,135.0,2.0,8.0,157.0,835.0,1.0,10.0,3.0,13.0,16.0,2.0,8.0,32.0,2.0,1.0,5.0,6.0,19.0,85.0,3.0,1.0,7958,4.0,253.0,2.0,10.0,262.0,8.0,35.0,1.0,4.0,1.0,1.0,11.0,2.0,19.0,5.0,4.0,2.0,70.0,550.0,15.0,22.0,83.0,1.0,1.0,1.0,0.0,5.0,4.0,1.0,1.0,0.0,5.0,1.0,62.1,16.0,1.0,2.0,2.0,11.0,5.0,59.0,6.0,620.0,10.0,14.0,29.0,7.0,16.0,3.0,378.0,6.0,34.0,19.0,133.0,27.0,3.0,16.0,11.0,15.0,2.0,10.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360484,2011-08-22 20:00:00,"Old Trafford, Manchester",75498,Away,Tottenham Hotspur,Manchester United,0,3,L,0,0,0,0,6.0,68.0,,1.0,19.0,26.0,13.0,12.0,,167.0,1.0,13.0,,14.0,1.0,9.0,92.0,158.0,56.0,21.0,4.0,11.0,3.0,3.0,,4.0,,11.0,18.0,,6.0,11.0,2.0,25.0,33.0,179.0,1.0,,,0.0,110.0,9.0,3.0,,52.0,53.0,8.0,67.0,2.0,9.0,2.0,4.0,141.0,,15.0,86.0,638.0,1.0,11.0,11.0,21.0,33.0,2.0,2.0,12.0,,2.0,8.0,6.0,25.0,68.0,2.0,,7958,1.0,143.0,,7.0,162.0,8.0,45.0,1.0,8.0,,2.0,7.0,,7.0,13.0,5.0,1.0,51.0,321.0,12.0,19.0,90.0,3.0,2.0,,0.0,1.0,11.0,,3.0,0.0,,1.0,47.0,16.0,1.0,1.0,5.0,7.0,5.0,47.0,3.0,412.0,16.0,14.0,15.0,7.0,10.0,2.0,261.0,8.0,23.0,9.0,60.0,22.0,2.0,4.0,22.0,16.0,3.0,16.0,4.0,3.0,6.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,8.0,3.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360496,2011-08-28 13:30:00,"White Hart Lane, London",36150,Home,Tottenham Hotspur,Manchester City,1,5,L,0,2,0,0,1.0,48.0,,3.0,51.0,27.0,12.0,6.0,,124.0,9.0,11.0,1.0,18.0,2.0,5.0,120.0,134.0,58.0,21.0,7.0,8.0,,,,,1.0,23.0,14.0,,4.0,13.0,7.0,19.0,41.0,188.0,,,,0.0,121.0,14.0,,,52.0,63.0,12.0,51.0,3.0,17.0,5.0,2.0,120.0,2.0,11.0,105.0,605.0,,16.0,11.0,22.0,17.0,2.0,6.0,15.0,1.0,2.0,3.0,6.0,22.0,61.0,,,7958,5.0,142.0,2.0,12.0,163.0,15.0,38.0,,6.0,1.0,1.0,5.0,,7.0,11.0,11.0,,71.0,321.0,9.0,12.0,74.0,,1.0,,0.0,2.0,5.0,1.0,4.0,0.0,6.0,3.0,41.5,22.0,2.0,2.0,1.0,6.0,10.0,52.0,9.0,400.0,17.0,5.0,21.0,6.0,20.0,4.0,260.0,11.0,15.0,20.0,77.0,23.0,1.0,7.0,18.0,17.0,3.0,18.0,1.0,10.0,2.0,3.0,3.0,2.0,1.0,,1.0,,4.0,1.0,1.0,1.0,3.0,2.0,,,1.0,,7.0,1.0,1.0,2.0,5.0,1.0,,1.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360508,2011-09-10 15:00:00,"Molineux Stadium, Wolverhampton",25274,Away,Tottenham Hotspur,Wolverhampton Wanderers,2,0,W,0,0,0,0,1.0,59.0,1.0,3.0,37.0,30.0,5.0,6.0,,174.0,6.0,3.0,2.0,13.0,1.0,5.0,123.0,166.0,47.0,16.0,2.0,9.0,1.0,,2.0,1.0,1.0,23.0,19.0,,2.0,18.0,8.0,13.0,34.0,210.0,1.0,1.0,,0.0,130.0,12.0,,,57.0,72.0,7.0,96.0,1.0,15.0,4.0,2.0,154.0,1.0,6.0,114.0,733.0,,9.0,2.0,16.0,30.0,,8.0,14.0,2.0,2.0,1.0,6.0,19.0,64.0,3.0,1.0,7958,6.0,227.0,,11.0,248.0,15.0,52.0,1.0,5.0,,1.0,7.0,2.0,19.0,4.0,4.0,3.0,59.0,431.0,6.0,26.0,96.0,,,,0.0,,4.0,2.0,1.0,0.0,1.0,2.0,56.6,16.0,2.0,3.0,,7.0,5.0,54.0,10.0,507.0,14.0,19.0,16.0,6.0,18.0,4.0,282.0,8.0,12.0,12.0,96.0,13.0,1.0,9.0,26.0,13.0,2.0,11.0,1.0,10.0,3.0,2.0,2.0,1.0,2.0,,1.0,,1.0,,2.0,,3.0,1.0,,,1.0,,4.0,2.0,,3.0,,,,1.0,5.0,,,,,,,,,,2.0,,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360517,2011-09-18 13:30:00,"White Hart Lane, London",36129,Home,Tottenham Hotspur,Liverpool,4,0,W,1,0,0,2,4.0,57.0,1.0,2.0,40.0,23.0,12.0,12.0,,177.0,6.0,6.0,4.0,17.0,,9.0,153.0,121.0,43.0,26.0,5.0,9.0,3.0,3.0,2.0,4.0,4.0,20.0,13.0,1.0,2.0,10.0,2.0,28.0,25.0,354.0,1.0,1.0,1.0,0.0,190.0,14.0,3.0,1.0,118.0,67.0,11.0,110.0,3.0,18.0,4.0,4.0,108.0,4.0,,174.0,793.0,,15.0,7.0,13.0,23.0,,5.0,17.0,2.0,1.0,,6.0,18.0,77.0,2.0,,7958,10.0,210.0,3.0,12.0,219.0,7.0,44.0,,3.0,,3.0,5.0,4.0,10.0,3.0,6.0,2.0,56.0,558.0,9.0,15.0,77.0,3.0,1.0,,0.0,1.0,1.0,3.0,2.0,0.0,5.0,1.0,62.3,16.0,1.0,9.0,3.0,5.0,7.0,59.0,4.0,614.0,9.0,16.0,14.0,10.0,21.0,6.0,415.0,13.0,28.0,10.0,157.0,19.0,,8.0,18.0,21.0,3.0,11.0,,4.0,1.0,1.0,5.0,3.0,1.0,,,,,,,1.0,,3.0,,,,,4.0,,,,,2.0,,1.0,1.0,,,4.0,,,1.0,,,,2.0,,,2.0,,4.0,,,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,360528,2011-09-24 15:00:00,"DW Stadium, Wigan",18788,Away,Tottenham Hotspur,Wigan Athletic,2,1,W,2,0,0,1,1.0,73.0,,3.0,32.0,19.0,3.0,3.0,1.0,198.0,9.0,10.0,2.0,15.0,,6.0,159.0,157.0,50.0,16.0,1.0,5.0,2.0,,1.0,,3.0,20.0,11.0,,2.0,12.0,8.0,31.0,40.0,275.0,,,,0.0,159.0,6.0,,2.0,65.0,85.0,9.0,110.0,,12.0,4.0,,150.0,1.0,1.0,143.0,815.0,,9.0,9.0,19.0,26.0,,4.0,4.0,2.0,1.0,1.0,6.0,21.0,75.0,1.0,,93464,10.0,261.0,2.0,8.0,276.0,7.0,46.0,1.0,3.0,,2.0,13.0,1.0,16.0,4.0,3.0,3.0,58.0,527.0,13.0,18.0,94.0,,2.0,1.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,6.0,63.9,17.0,5.0,7.0,1.0,13.0,4.0,53.0,9.0,610.0,16.0,18.0,21.0,6.0,17.0,6.0,354.0,7.0,29.0,10.0,117.0,25.0,1.0,2.0,17.0,10.0,2.0,17.0,1.0,9.0,2.0,3.0,2.0,1.0,1.0,,2.0,,,,2.0,1.0,1.0,1.0,,1.0,2.0,,10.0,4.0,,,1.0,2.0,1.0,1.0,7.0,,1.0,,1.0,1.0,,,1.0,,2.0,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,360537,2011-10-02 16:00:00,"White Hart Lane, London",36274,Home,Tottenham Hotspur,Arsenal,2,1,W,1,0,0,0,2.0,63.0,1.0,2.0,22.0,44.0,6.0,8.0,1.0,127.0,4.0,11.0,2.0,15.0,1.0,6.0,65.0,165.0,70.0,18.0,2.0,8.0,3.0,3.0,1.0,1.0,3.0,24.0,21.0,,1.0,27.0,7.0,3.0,21.0,125.0,,,1.0,0.0,96.0,12.0,3.0,1.0,49.0,30.0,7.0,34.0,1.0,17.0,2.0,2.0,148.0,4.0,7.0,76.0,553.0,,11.0,8.0,20.0,25.0,,11.0,23.0,1.0,2.0,3.0,8.0,23.0,57.0,2.0,,7958,6.0,106.0,4.0,13.0,120.0,7.0,45.0,2.0,2.0,1.0,6.0,5.0,2.0,14.0,6.0,4.0,4.0,47.0,227.0,8.0,27.0,85.0,3.0,3.0,,0.0,1.0,7.0,1.0,,0.0,2.0,2.0,38.3,17.0,2.0,4.0,2.0,5.0,4.0,44.0,9.0,302.0,16.0,16.0,10.0,8.0,19.0,6.0,206.0,7.0,2.0,21.0,61.0,23.0,2.0,11.0,30.0,12.0,3.0,17.0,2.0,9.0,3.0,2.0,4.0,2.0,2.0,,,,3.0,,,1.0,3.0,2.0,,,,,4.0,3.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,360543,2011-10-16 16:00:00,"St. James' Park, Newcastle",46420,Away,Tottenham Hotspur,Newcastle United,2,2,D,1,0,0,0,2.0,69.0,2.0,2.0,20.0,44.0,5.0,4.0,2.0,155.0,4.0,8.0,2.0,10.0,1.0,6.0,81.0,169.0,57.0,13.0,2.0,9.0,3.0,,1.0,2.0,1.0,10.0,19.0,,1.0,24.0,1.0,5.0,28.0,128.0,1.0,,1.0,0.0,100.0,15.0,,1.0,40.0,33.0,8.0,50.0,1.0,9.0,3.0,1.0,149.0,,7.0,87.0,577.0,,8.0,4.0,11.0,26.0,,9.0,27.0,1.0,2.0,2.0,2.0,15.0,55.0,1.0,,7958,5.0,156.0,,6.0,185.0,12.0,50.0,,7.0,,3.0,5.0,1.0,12.0,7.0,4.0,,43.0,280.0,11.0,31.0,80.0,,,,0.0,3.0,5.0,1.0,1.0,0.0,3.0,1.0,45.0,11.0,,4.0,,5.0,4.0,39.0,2.0,373.0,10.0,12.0,10.0,3.0,15.0,2.0,198.0,7.0,4.0,14.0,61.0,29.0,4.0,13.0,24.0,11.0,3.0,16.0,4.0,2.0,2.0,1.0,2.0,,3.0,,,,2.0,1.0,,,1.0,,,,,,8.0,1.0,,2.0,2.0,2.0,,,1.0,2.0,,2.0,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
9,360551,2011-10-23 15:00:00,"Ewood Park, Blackburn",22786,Away,Tottenham Hotspur,Blackburn Rovers,2,1,W,1,1,0,0,2.0,42.0,,1.0,48.0,42.0,4.0,7.0,2.0,159.0,1.0,8.0,2.0,9.0,,6.0,105.0,164.0,47.0,9.0,,16.0,2.0,,2.0,2.0,,17.0,11.0,,2.0,24.0,4.0,8.0,34.0,168.0,,,1.0,0.0,116.0,8.0,,2.0,65.0,55.0,7.0,69.0,,13.0,4.0,1.0,146.0,3.0,17.0,100.0,640.0,,6.0,6.0,9.0,20.0,2.0,12.0,23.0,2.0,1.0,5.0,2.0,28.0,63.0,2.0,2.0,7958,3.0,188.0,2.0,8.0,210.0,13.0,53.0,,2.0,,4.0,8.0,2.0,13.0,2.0,3.0,,78.0,355.0,19.0,34.0,92.0,,1.0,2.0,0.0,,8.0,1.0,1.0,0.0,1.0,,55.5,20.0,,1.0,2.0,8.0,1.0,45.0,5.0,433.0,6.0,10.0,25.0,2.0,14.0,1.0,240.0,2.0,8.0,7.0,80.0,7.0,3.0,15.0,13.0,8.0,2.0,15.0,3.0,5.0,1.0,2.0,2.0,,,,2.0,,1.0,,1.0,2.0,1.0,,,,2.0,,12.0,1.0,,3.0,1.0,1.0,,3.0,,1.0,,,,,,,,,2.0,,,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
10,360566,2011-10-30 16:00:00,"White Hart Lane, London",36147,Home,Tottenham Hotspur,Queens Park Rangers,3,1,W,2,0,0,0,5.0,46.0,1.0,4.0,43.0,29.0,7.0,14.0,3.0,163.0,8.0,5.0,3.0,19.0,4.0,10.0,126.0,151.0,53.0,25.0,2.0,18.0,3.0,2.0,2.0,1.0,2.0,12.0,15.0,,4.0,18.0,3.0,13.0,43.0,201.0,,,,0.0,132.0,12.0,2.0,3.0,58.0,51.0,11.0,63.0,5.0,10.0,,1.0,140.0,5.0,6.0,125.0,674.0,,13.0,10.0,12.0,20.0,,7.0,16.0,2.0,0.0,6.0,8.0,22.0,62.0,1.0,,7958,14.0,193.0,4.0,9.0,213.0,14.0,53.0,1.0,6.0,,3.0,1.0,3.0,6.0,8.0,4.0,2.0,62.0,386.0,14.0,20.0,99.0,2.0,3.0,,0.0,,8.0,3.0,3.0,0.0,7.0,2.0,55.8,15.0,2.0,3.0,2.0,1.0,6.0,55.0,4.0,477.0,9.0,16.0,24.0,9.0,18.0,8.0,276.0,8.0,12.0,11.0,93.0,19.0,2.0,8.0,23.0,16.0,1.0,8.0,2.0,4.0,1.0,2.0,3.0,2.0,,,2.0,,1.0,,2.0,,1.0,2.0,,,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,,,,1.0,,1.0,,2.0,,,2.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
