gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,savedObox,attLfGoal,postScoringAtt,attOboxTarget,attMissHighRight,cleanSheet,midfielderGoals,hitWoodwork,bigChanceMissed,sixYardBlock,attCmissHigh,totalOffside,attOboxPost,attPostHigh,attCmissHighRight,attGoalLowRight,accuratePullBack,attCmissRight,attFreekickTotal,shotFastbreak,totalFastbreak,freekickTotal,attMissHighLeft,attFastbreak,attSvLowRight,punches,attGoalLowCentre,attSvHighLeft,attGoalHighLeft,forwardGoals,handBall,subsGoals,attCmissHighLeft,errorLeadToShot,ownGoals,attIboxOwnGoal,secondYellow,attFreekickMiss,attGoalHighRight,attFreekickTarget,clearanceOffLine,attIboxPost,attSvHighRight,attPostLeft,foulThrowIn,goalFastbreak,errorLeadToGoal,attOneOnOne,penaltyWon,attPenGoal,contentiousDecision,goalsConcededObox,attPostRight,attHdPost,attObxdLeft,attLgRight
1,2367545,2023-08-13 14:00:00,"Gtech Community Stadium, Brentford",17066,Away,Tottenham Hotspur,Brentford,2,2,D,2,2,0,0,2.0,1.0,56.0,1.0,2.0,1.0,1.0,11.0,17.0,5.0,7.0,12.0,4.0,1.0,189.0,3.0,16.0,2.0,3.0,11.0,6.0,195.0,124.0,54.0,18.0,4.0,15.0,4.0,3.0,3.0,1.0,2.0,1.0,23.0,10.0,17.0,6.0,8.0,27.0,458.0,1.0,0.0,286.0,13.0,1.0,2.0,1.0,2.0,2.0,86.0,124.0,10.0,116.0,2.0,3.0,17.0,16.0,6.0,1.0,7.0,1.0,124.0,1.0,9.0,211.0,907.0,1.0,8.0,3.0,33.0,1.0,10.0,622.0,21.0,1.0,6.0,2.0,4.0,4.0,3.0,1.0,16.0,693.0,81.0,1.0,1.0,85971,4.0,183.0,8.0,1.0,1.0,199.0,4.0,1.0,3.0,5.0,5.0,50.0,2.0,2.0,3.0,1.0,10.0,2.0,5.0,2.0,30.0,638.0,11.0,5.0,1.0,7.0,7.0,52.0,1.0,0.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,4.0,69.6,14.0,2.0,6.0,3.0,1.0,4.0,6.0,34.0,6.0,1.0,2.0,711.0,1.0,10.0,7.0,8.0,6.0,36.0,1.0,5.0,535.0,7.0,7.0,12.0,247.0,23.0,1.0,6.0,16.0,1.0,2.0,10.0,3.0,26.0,2.0,1.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367555,2023-08-19 17:30:00,"Tottenham Hotspur Stadium, London",61910,Home,Tottenham Hotspur,Manchester United,2,0,W,0,0,0,0,4.0,1.0,64.0,,3.0,,,21.0,20.0,4.0,6.0,13.0,6.0,1.0,172.0,5.0,14.0,2.0,2.0,13.0,6.0,126.0,128.0,40.0,17.0,1.0,10.0,4.0,1.0,1.0,,3.0,2.0,16.0,9.0,20.0,5.0,8.0,36.0,194.0,,0.0,131.0,9.0,,1.0,2.0,2.0,,56.0,46.0,6.0,76.0,,1.0,11.0,25.0,4.0,1.0,3.0,1.0,128.0,2.0,16.0,128.0,715.0,,11.0,4.0,40.0,,5.0,409.0,24.0,,14.0,,1.0,1.0,9.0,7.0,18.0,482.0,42.0,1.0,,85971,8.0,239.0,6.0,1.0,,264.0,6.0,,2.0,9.0,9.0,51.0,4.0,,12.0,1.0,16.0,6.0,8.0,1.0,33.0,428.0,8.0,10.0,2.0,3.0,2.0,49.0,1.0,0.0,1.0,6.0,4.0,2.0,,,0.0,2.0,,,3.0,55.7,15.0,3.0,4.0,1.0,,12.0,4.0,32.0,5.0,,,502.0,,5.0,9.0,18.0,7.0,33.0,3.0,5.0,254.0,8.0,8.0,3.0,101.0,21.0,,14.0,15.0,,,14.0,5.0,27.0,,,9.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367558,2023-08-26 12:30:00,"Vitality Stadium, Bournemouth",10567,Away,Tottenham Hotspur,Bournemouth,2,0,W,1,0,0,0,1.0,2.0,61.0,1.0,2.0,,,16.0,27.0,5.0,8.0,12.0,3.0,2.0,177.0,2.0,14.0,2.0,5.0,12.0,6.0,119.0,105.0,60.0,17.0,2.0,12.0,4.0,2.0,2.0,2.0,,2.0,10.0,14.0,27.0,2.0,3.0,33.0,227.0,,0.0,154.0,11.0,,2.0,1.0,2.0,,50.0,66.0,7.0,104.0,2.0,3.0,8.0,18.0,5.0,,2.0,3.0,105.0,4.0,6.0,137.0,750.0,,9.0,3.0,47.0,1.0,12.0,456.0,25.0,2.0,11.0,2.0,2.0,3.0,3.0,5.0,17.0,512.0,45.0,4.0,1.0,85971,6.0,252.0,4.0,3.0,,272.0,7.0,1.0,1.0,7.0,6.0,54.0,4.0,,4.0,2.0,15.0,5.0,4.0,1.0,31.0,477.0,16.0,14.0,1.0,3.0,1.0,49.0,1.0,0.0,3.0,6.0,1.0,2.0,,1.0,0.0,1.0,2.0,3.0,2.0,56.9,15.0,1.0,8.0,2.0,2.0,4.0,4.0,38.0,2.0,,,537.0,,12.0,10.0,20.0,7.0,27.0,1.0,4.0,275.0,7.0,3.0,8.0,124.0,20.0,3.0,11.0,22.0,,,12.0,5.0,21.0,,3.0,7.0,2.0,2.0,1.0,,,,1.0,2.0,,2.0,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367571,2023-09-02 15:00:00,"Turf Moor, Burnley",21750,Away,Tottenham Hotspur,Burnley,5,2,W,2,1,0,0,1.0,2.0,68.0,1.0,4.0,,,22.0,17.0,9.0,3.0,11.0,3.0,5.0,180.0,3.0,14.0,5.0,2.0,15.0,11.0,145.0,123.0,57.0,21.0,3.0,8.0,3.0,,,4.0,1.0,3.0,7.0,13.0,17.0,3.0,7.0,37.0,223.0,2.0,0.0,147.0,9.0,3.0,2.0,3.0,,,66.0,58.0,12.0,98.0,,,4.0,13.0,10.0,,,2.0,123.0,3.0,8.0,140.0,766.0,1.0,11.0,3.0,54.0,,13.0,461.0,23.0,,8.0,4.0,,3.0,5.0,3.0,11.0,533.0,50.0,1.0,,85971,9.0,268.0,4.0,,,289.0,5.0,4.0,,8.0,9.0,53.0,2.0,1.0,4.0,4.0,13.0,8.0,8.0,,44.0,488.0,15.0,9.0,,6.0,2.0,52.0,,0.0,2.0,7.0,2.0,3.0,2.0,,0.0,3.0,3.0,2.0,,53.9,10.0,,11.0,1.0,,4.0,7.0,33.0,4.0,,,563.0,,13.0,13.0,16.0,3.0,26.0,,1.0,281.0,18.0,6.0,9.0,109.0,30.0,2.0,8.0,19.0,,2.0,19.0,5.0,28.0,,2.0,8.0,4.0,,1.0,,3.0,,,1.0,,1.0,2.0,,1.0,,,,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367585,2023-09-16 15:00:00,"Tottenham Hotspur Stadium, London",61706,Home,Tottenham Hotspur,Sheffield United,2,1,W,0,0,0,1,2.0,1.0,65.0,,7.0,1.0,1.0,16.0,5.0,9.0,8.0,19.0,4.0,5.0,200.0,7.0,14.0,2.0,4.0,26.0,10.0,175.0,141.0,58.0,28.0,2.0,22.0,3.0,6.0,,1.0,3.0,,32.0,7.0,5.0,7.0,7.0,22.0,337.0,,0.0,257.0,13.0,3.0,1.0,3.0,,1.0,76.0,85.0,17.0,81.0,,3.0,25.0,26.0,9.0,1.0,7.0,2.0,141.0,3.0,6.0,164.0,833.0,,21.0,2.0,56.0,1.0,6.0,518.0,32.0,1.0,2.0,2.0,,6.0,,9.0,23.0,592.0,72.0,,,93264,7.0,215.0,18.0,2.0,,233.0,5.0,1.0,2.0,10.0,1.0,59.0,5.0,,6.0,1.0,15.0,1.0,1.0,3.0,33.0,545.0,12.0,5.0,3.0,6.0,5.0,56.0,,0.0,,2.0,3.0,2.0,1.0,,0.0,5.0,2.0,,6.0,70.1,21.0,4.0,7.0,4.0,,6.0,9.0,46.0,15.0,,1.0,620.0,,6.0,10.0,10.0,9.0,67.0,2.0,7.0,419.0,14.0,6.0,16.0,207.0,20.0,2.0,2.0,17.0,1.0,1.0,21.0,5.0,26.0,,2.0,10.0,15.0,1.0,,,5.0,2.0,,1.0,,2.0,,3.0,2.0,,,1.0,,,,,,,,1.0,,2.0,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,2367588,2023-09-24 14:00:00,"Emirates Stadium, London",60156,Away,Tottenham Hotspur,Arsenal,2,2,D,1,1,0,0,,2.0,56.0,1.0,4.0,,,15.0,21.0,4.0,3.0,9.0,4.0,3.0,150.0,,6.0,2.0,1.0,8.0,5.0,116.0,114.0,53.0,13.0,,14.0,2.0,,,2.0,,1.0,10.0,15.0,21.0,4.0,4.0,31.0,144.0,,0.0,85.0,19.0,1.0,4.0,2.0,,2.0,34.0,60.0,7.0,78.0,,1.0,6.0,16.0,4.0,,1.0,3.0,114.0,3.0,9.0,105.0,627.0,,6.0,1.0,20.0,,6.0,361.0,27.0,1.0,13.0,2.0,,4.0,3.0,1.0,17.0,420.0,43.0,2.0,,93264,6.0,241.0,5.0,1.0,1.0,272.0,6.0,1.0,2.0,4.0,12.0,64.0,2.0,,5.0,2.0,9.0,5.0,10.0,2.0,34.0,385.0,11.0,8.0,,4.0,1.0,46.0,,0.0,,11.0,3.0,2.0,2.0,,0.0,,2.0,3.0,,53.5,14.0,,5.0,2.0,,6.0,4.0,31.0,4.0,1.0,2.0,449.0,1.0,6.0,13.0,11.0,4.0,18.0,,1.0,187.0,10.0,4.0,8.0,61.0,17.0,1.0,13.0,28.0,,2.0,11.0,3.0,17.0,,1.0,4.0,4.0,2.0,1.0,,1.0,,,,,2.0,,,3.0,,,,1.0,2.0,,,,,,,,,,,1.0,,2.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
7,2367605,2023-09-30 17:30:00,"Tottenham Hotspur Stadium, London",62001,Home,Tottenham Hotspur,Liverpool,2,1,W,1,1,0,2,4.0,1.0,63.0,,4.0,,,13.0,14.0,14.0,8.0,10.0,3.0,2.0,190.0,2.0,9.0,2.0,4.0,21.0,8.0,186.0,118.0,57.0,24.0,8.0,9.0,3.0,2.0,,1.0,1.0,1.0,29.0,19.0,14.0,5.0,8.0,23.0,376.0,,0.0,257.0,11.0,,2.0,2.0,1.0,1.0,72.0,85.0,18.0,107.0,1.0,2.0,24.0,24.0,14.0,,11.0,2.0,118.0,2.0,9.0,179.0,886.0,,19.0,,51.0,1.0,11.0,575.0,24.0,,6.0,1.0,,5.0,3.0,3.0,20.0,633.0,58.0,1.0,,85971,5.0,229.0,12.0,,,246.0,6.0,1.0,2.0,14.0,4.0,42.0,3.0,,4.0,1.0,11.0,3.0,4.0,1.0,18.0,603.0,17.0,7.0,1.0,1.0,2.0,55.0,,0.0,2.0,5.0,2.0,2.0,1.0,,0.0,1.0,1.0,,2.0,64.5,20.0,,9.0,3.0,1.0,4.0,12.0,48.0,11.0,,1.0,662.0,,11.0,5.0,11.0,4.0,48.0,1.0,2.0,445.0,14.0,7.0,10.0,223.0,26.0,1.0,6.0,23.0,,1.0,22.0,5.0,19.0,,1.0,14.0,12.0,1.0,,,4.0,,,,1.0,2.0,1.0,,4.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2367614,2023-10-07 12:30:00,"Kenilworth Road, Luton",10929,Away,Tottenham Hotspur,Luton Town,1,0,W,0,0,1,0,1.0,1.0,57.0,,,1.0,,17.0,26.0,5.0,6.0,10.0,2.0,2.0,193.0,4.0,9.0,1.0,4.0,11.0,4.0,138.0,149.0,60.0,15.0,2.0,9.0,3.0,2.0,1.0,,2.0,2.0,13.0,14.0,26.0,4.0,15.0,29.0,226.0,,0.0,161.0,7.0,,1.0,1.0,1.0,1.0,49.0,99.0,4.0,96.0,2.0,1.0,9.0,26.0,5.0,,3.0,3.0,149.0,4.0,8.0,126.0,785.0,,9.0,3.0,40.0,,9.0,449.0,29.0,,14.0,1.0,1.0,1.0,4.0,7.0,29.0,520.0,62.0,2.0,,93264,6.0,251.0,5.0,,,264.0,3.0,,1.0,8.0,9.0,48.0,4.0,1.0,3.0,,22.0,4.0,7.0,5.0,49.0,473.0,16.0,8.0,1.0,9.0,3.0,77.0,1.0,0.0,1.0,5.0,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,1.0,66.9,22.0,1.0,8.0,,,3.0,2.0,47.0,6.0,,1.0,553.0,,9.0,11.0,11.0,9.0,30.0,1.0,6.0,302.0,8.0,15.0,15.0,120.0,13.0,3.0,14.0,20.0,,,11.0,5.0,24.0,,3.0,8.0,6.0,1.0,1.0,,,,1.0,,,3.0,,,4.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
9,2367627,2023-10-23 20:00:00,"Tottenham Hotspur Stadium, London",61286,Home,Tottenham Hotspur,Fulham,2,0,W,1,0,0,0,1.0,1.0,59.0,,4.0,,,15.0,12.0,5.0,4.0,10.0,3.0,2.0,175.0,1.0,9.0,2.0,4.0,12.0,5.0,173.0,122.0,47.0,15.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,11.0,12.0,12.0,2.0,10.0,25.0,223.0,,0.0,146.0,10.0,,2.0,,1.0,1.0,61.0,55.0,8.0,92.0,1.0,1.0,9.0,30.0,5.0,,,1.0,122.0,1.0,7.0,153.0,778.0,,8.0,3.0,33.0,,6.0,495.0,27.0,1.0,8.0,2.0,3.0,2.0,3.0,4.0,19.0,568.0,57.0,1.0,1.0,93264,6.0,296.0,8.0,3.0,,316.0,8.0,2.0,3.0,11.0,4.0,45.0,2.0,,4.0,2.0,10.0,3.0,4.0,1.0,27.0,518.0,14.0,12.0,2.0,6.0,1.0,61.0,,0.0,2.0,5.0,3.0,2.0,,1.0,0.0,1.0,1.0,,1.0,55.6,17.0,1.0,9.0,3.0,1.0,4.0,6.0,44.0,3.0,,1.0,593.0,,6.0,12.0,14.0,4.0,21.0,,3.0,288.0,10.0,10.0,5.0,109.0,19.0,2.0,8.0,19.0,,,11.0,5.0,16.0,,2.0,11.0,3.0,,,,2.0,1.0,1.0,1.0,,1.0,,1.0,4.0,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
10,2367633,2023-10-27 20:00:00,"Selhurst Park, London",25074,Away,Tottenham Hotspur,Crystal Palace,2,1,W,0,0,0,0,,1.0,53.0,,1.0,,,28.0,23.0,6.0,2.0,4.0,2.0,,199.0,2.0,8.0,2.0,2.0,6.0,1.0,211.0,118.0,52.0,10.0,4.0,4.0,,,1.0,1.0,,2.0,16.0,14.0,23.0,,8.0,23.0,287.0,,0.0,164.0,11.0,,2.0,,,1.0,67.0,114.0,4.0,112.0,,1.0,16.0,20.0,6.0,,3.0,2.0,118.0,1.0,8.0,210.0,943.0,,5.0,1.0,19.0,,6.0,641.0,23.0,1.0,7.0,1.0,1.0,1.0,6.0,2.0,21.0,701.0,68.0,,,93264,2.0,384.0,13.0,,,397.0,4.0,,2.0,8.0,8.0,46.0,5.0,,4.0,1.0,13.0,5.0,7.0,1.0,44.0,669.0,18.0,8.0,,4.0,,66.0,1.0,0.0,1.0,11.0,2.0,2.0,1.0,,0.0,2.0,1.0,1.0,,75.7,21.0,,7.0,1.0,,4.0,5.0,55.0,2.0,,1.0,732.0,,6.0,11.0,12.0,4.0,29.0,,2.0,351.0,8.0,8.0,6.0,130.0,19.0,,7.0,20.0,,1.0,9.0,5.0,21.0,,,8.0,2.0,,1.0,,,,,,,,,,3.0,,,,1.0,2.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
