gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attRfTarget,attFreekickTotal,attSvLowCentre,attMissLeft,attOboxTarget,attOboxGoal,interceptionsInBox,freekickTotal,attOboxMiss,bigChanceMissed,attCmissHigh,attCmissLeft,attFreekickTarget,attSvHighCentre,clearanceOffLine,accurateCornersIntobox,attGoalLowLeft,attGoalLowRight,attLfGoal,accuratePullBack,attCmissRight,penaltyWon,ptsGainedLosingPos,midfielderGoals,attMissRight,contentiousDecision,attMissHighLeft,attObxdLeft,attPenGoal,accurateFlickOn,shieldBallOop,shotFastbreak,attBxRight,postScoringAtt,cleanSheet,totalFastbreak,attPostLeft,attHdTarget,hitWoodwork,attFastbreak,attSvLowRight,attOboxPost,attMissHighRight,totalOffside,errorLeadToShot,goalFastbreak,attGoalHighCentre,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,defenderGoals,foulThrowIn,attHdGoal,attCmissHighRight,accurateKeeperSweeper,attSvHighLeft,totalKeeperSweeper,attFreekickMiss,attGoalHighLeft,attFreekickGoal,attGoalLowCentre,secondYellow,penaltyConceded,penaltyFaced,penGoalsConceded,attIboxPost,attPostHigh,attObxLeft,attHdPost,attPostRight,ownGoals,attIboxOwnGoal,attSvHighRight,errorLeadToGoal
1,2210274,2021-08-14 15:00:00,"Goodison Park, Liverpool",38487.0,Away,Southampton,Everton,1,3,L,1,0,0,0,1.0,2.0,1.0,19.0,50.0,1.0,1.0,10.0,22.0,1.0,2.0,5.0,3.0,154.0,9.0,4.0,10.0,1.0,4.0,4.0,3.0,77.0,180.0,61.0,6.0,1.0,25.0,2.0,1.0,22.0,12.0,1.0,22.0,8.0,2.0,32.0,1.0,146.0,0.0,124.0,15.0,2.0,2.0,3.0,3.0,61.0,48.0,3.0,45.0,14.0,15.0,1.0,4.0,180.0,1.0,11.0,94.0,581.0,1.0,4.0,26.0,5.0,240.0,18.0,2.0,12.0,1.0,0.0,3.0,1.0,26.0,345.0,57.0,1.0,2.0,96787,3.0,114.0,7.0,1.0,2.0,139.0,6.0,1.0,1.0,15.0,10.0,68.0,4.0,6.0,1.0,15.0,3.0,5.0,1.0,49.0,256.0,11.0,7.0,2.0,16.0,1.0,68.0,2.0,0.0,1.0,6.0,2.0,1.0,3.0,0.0,4.0,1.0,2.0,51.9,17.0,1.0,4.0,1.0,6.0,2.0,27.0,8.0,3.0,370.0,5.0,10.0,8.0,1.0,32.0,1.0,253.0,2.0,2.0,19.0,68.0,18.0,1.0,2.0,12.0,21.0,3.0,3.0,3.0,23.0,3.0,2.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210288,2021-08-22 14:00:00,"St. Mary's Stadium, Southampton",29485.0,Home,Southampton,Manchester United,1,1,D,1,0,0,0,,1.0,,33.0,62.0,,1.0,6.0,22.0,5.0,2.0,3.0,2.0,110.0,16.0,3.0,9.0,1.0,3.0,5.0,3.0,67.0,151.0,53.0,8.0,,16.0,1.0,,17.0,13.0,,22.0,6.0,1.0,19.0,,117.0,0.0,95.0,12.0,2.0,1.0,1.0,1.0,45.0,50.0,1.0,43.0,11.0,15.0,5.0,4.0,151.0,1.0,11.0,71.0,496.0,4.0,5.0,13.0,20.0,189.0,21.0,,8.0,,2.0,5.0,4.0,19.0,267.0,52.0,1.0,,96787,1.0,87.0,6.0,,,107.0,6.0,,,15.0,11.0,57.0,1.0,2.0,,18.0,4.0,4.0,2.0,47.0,201.0,10.0,11.0,1.0,21.0,1.0,60.0,2.0,0.0,1.0,7.0,3.0,,1.0,0.0,1.0,,,36.4,10.0,,14.0,1.0,2.0,1.0,27.0,7.0,2.0,291.0,20.0,9.0,4.0,4.0,18.0,1.0,201.0,5.0,1.0,11.0,44.0,23.0,,1.0,8.0,23.0,1.0,5.0,3.0,19.0,2.0,1.0,8.0,7.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2210296,2021-08-28 15:00:00,"St. James' Park, Newcastle",44017.0,Away,Southampton,Newcastle United,2,2,D,0,0,0,0,,1.0,2.0,23.0,69.0,,6.0,13.0,10.0,9.0,6.0,12.0,2.0,176.0,10.0,3.0,15.0,2.0,3.0,18.0,6.0,133.0,147.0,54.0,22.0,3.0,16.0,2.0,,21.0,10.0,,10.0,4.0,6.0,24.0,,296.0,0.0,181.0,6.0,2.0,,1.0,3.0,76.0,59.0,12.0,79.0,17.0,13.0,10.0,5.0,147.0,2.0,7.0,137.0,726.0,17.0,2.0,35.0,2.0,436.0,32.0,2.0,3.0,,3.0,1.0,6.0,19.0,502.0,58.0,3.0,,96787,5.0,158.0,11.0,2.0,1.0,181.0,4.0,1.0,1.0,13.0,7.0,62.0,4.0,5.0,1.0,13.0,3.0,2.0,1.0,38.0,451.0,10.0,10.0,1.0,13.0,2.0,59.0,,0.0,1.0,4.0,3.0,2.0,2.0,0.0,2.0,,1.0,63.7,10.0,,6.0,4.0,6.0,9.0,38.0,4.0,3.0,525.0,2.0,19.0,10.0,7.0,29.0,2.0,365.0,15.0,6.0,14.0,145.0,25.0,,3.0,3.0,15.0,2.0,17.0,3.0,27.0,,3.0,9.0,4.0,3.0,1.0,4.0,3.0,2.0,,,1.0,5.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2210309,2021-09-11 15:00:00,"St. Mary's Stadium, Southampton",,Home,Southampton,West Ham United,0,0,D,0,0,0,1,,,,24.0,57.0,,3.0,19.0,23.0,1.0,2.0,10.0,3.0,144.0,10.0,2.0,5.0,,,8.0,3.0,99.0,129.0,41.0,11.0,,16.0,3.0,,13.0,4.0,,23.0,5.0,4.0,26.0,,129.0,0.0,97.0,10.0,1.0,,1.0,4.0,44.0,41.0,4.0,39.0,8.0,9.0,1.0,3.0,129.0,,5.0,108.0,559.0,7.0,1.0,20.0,12.0,296.0,30.0,2.0,13.0,,3.0,6.0,4.0,14.0,372.0,44.0,,,96787,5.0,183.0,4.0,,,202.0,7.0,,2.0,9.0,3.0,46.0,,6.0,,20.0,8.0,2.0,4.0,48.0,310.0,12.0,6.0,1.0,19.0,4.0,66.0,,0.0,1.0,4.0,3.0,,,0.0,1.0,,3.0,41.8,11.0,1.0,1.0,2.0,6.0,3.0,34.0,5.0,4.0,390.0,12.0,10.0,14.0,5.0,25.0,4.0,201.0,6.0,3.0,17.0,59.0,19.0,,1.0,13.0,8.0,,7.0,2.0,9.0,,1.0,2.0,5.0,1.0,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2210315,2021-09-18 15:00:00,"Etihad Stadium, Manchester",52698.0,Away,Southampton,Manchester City,0,0,D,0,0,0,0,2.0,1.0,,25.0,59.0,,3.0,19.0,23.0,4.0,2.0,6.0,1.0,133.0,15.0,,13.0,,2.0,8.0,2.0,66.0,127.0,54.0,10.0,3.0,22.0,2.0,,13.0,11.0,,23.0,4.0,1.0,19.0,,97.0,0.0,92.0,12.0,1.0,,2.0,1.0,51.0,28.0,6.0,47.0,9.0,13.0,4.0,2.0,127.0,,9.0,73.0,499.0,8.0,4.0,19.0,17.0,229.0,22.0,8.0,13.0,,2.0,7.0,2.0,17.0,298.0,42.0,,,96787,1.0,142.0,5.0,1.0,,157.0,7.0,,1.0,13.0,12.0,58.0,,,,14.0,7.0,3.0,,54.0,239.0,5.0,13.0,,25.0,1.0,60.0,1.0,0.0,1.0,8.0,1.0,,,0.0,,,,36.1,11.0,,7.0,4.0,,6.0,25.0,5.0,1.0,319.0,17.0,8.0,10.0,2.0,23.0,1.0,175.0,8.0,1.0,15.0,49.0,25.0,,1.0,13.0,21.0,,9.0,3.0,18.0,,1.0,6.0,5.0,1.0,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2210329,2021-09-26 14:00:00,"St. Mary's Stadium, Southampton",28002.0,Home,Southampton,Wolverhampton Wanderers,0,1,L,0,0,0,0,1.0,,,24.0,67.0,,2.0,24.0,10.0,10.0,3.0,8.0,2.0,142.0,10.0,2.0,7.0,,4.0,15.0,6.0,129.0,142.0,42.0,18.0,5.0,15.0,3.0,,26.0,9.0,,10.0,5.0,3.0,44.0,,232.0,0.0,162.0,12.0,2.0,1.0,2.0,1.0,64.0,73.0,11.0,76.0,21.0,18.0,10.0,7.0,142.0,,5.0,150.0,677.0,15.0,8.0,25.0,11.0,405.0,29.0,4.0,1.0,,0.0,2.0,4.0,21.0,486.0,54.0,1.0,1.0,96787,3.0,186.0,12.0,,1.0,210.0,9.0,,1.0,18.0,3.0,46.0,1.0,2.0,,18.0,,3.0,,53.0,416.0,8.0,8.0,,17.0,,68.0,,0.0,,5.0,2.0,,1.0,0.0,1.0,,,57.0,18.0,,8.0,4.0,3.0,7.0,44.0,5.0,1.0,497.0,11.0,5.0,18.0,5.0,38.0,3.0,313.0,15.0,3.0,14.0,122.0,27.0,,,1.0,13.0,1.0,16.0,3.0,14.0,,,9.0,5.0,6.0,1.0,3.0,,3.0,,1.0,1.0,2.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,4.0,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2210333,2021-10-02 15:00:00,"Stamford Bridge, London",40109.0,Away,Southampton,Chelsea,1,3,L,0,1,1,0,,,1.0,29.0,68.0,1.0,,18.0,12.0,4.0,1.0,2.0,6.0,146.0,10.0,1.0,12.0,1.0,2.0,4.0,2.0,72.0,137.0,51.0,6.0,1.0,14.0,,,7.0,9.0,,12.0,2.0,4.0,33.0,,127.0,0.0,95.0,13.0,3.0,1.0,,1.0,66.0,41.0,2.0,60.0,5.0,18.0,4.0,1.0,137.0,1.0,17.0,66.0,528.0,4.0,5.0,17.0,10.0,242.0,29.0,4.0,5.0,,3.0,4.0,2.0,18.0,317.0,47.0,,,96787,1.0,132.0,4.0,,,153.0,8.0,1.0,,18.0,9.0,62.0,1.0,2.0,,24.0,3.0,2.0,,51.0,258.0,11.0,19.0,,11.0,1.0,68.0,,0.0,,7.0,5.0,1.0,3.0,1.0,1.0,,1.0,38.4,13.0,1.0,3.0,,2.0,1.0,31.0,2.0,1.0,344.0,10.0,9.0,13.0,3.0,13.0,1.0,198.0,4.0,2.0,4.0,58.0,30.0,,2.0,5.0,24.0,3.0,4.0,3.0,19.0,,2.0,6.0,2.0,1.0,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2210349,2021-10-16 15:00:00,"St. Mary's Stadium, Southampton",30506.0,Home,Southampton,Leeds United,1,0,W,0,0,0,0,,1.0,1.0,35.0,72.0,,,15.0,9.0,11.0,4.0,8.0,,150.0,12.0,7.0,17.0,1.0,2.0,13.0,5.0,67.0,149.0,73.0,19.0,2.0,14.0,2.0,1.0,18.0,15.0,,9.0,7.0,5.0,31.0,,147.0,0.0,128.0,16.0,,2.0,1.0,,60.0,47.0,5.0,53.0,11.0,20.0,11.0,,149.0,1.0,2.0,92.0,570.0,10.0,10.0,27.0,10.0,263.0,17.0,2.0,3.0,1.0,2.0,1.0,8.0,27.0,343.0,60.0,1.0,,96787,6.0,136.0,10.0,,,145.0,8.0,1.0,,20.0,4.0,61.0,1.0,4.0,1.0,19.0,1.0,2.0,4.0,45.0,276.0,14.0,11.0,2.0,8.0,5.0,67.0,,0.0,2.0,1.0,,1.0,,0.0,4.0,1.0,4.0,45.3,18.0,3.0,13.0,1.0,4.0,2.0,27.0,8.0,,362.0,10.0,12.0,8.0,12.0,25.0,5.0,235.0,10.0,5.0,20.0,82.0,37.0,1.0,1.0,3.0,22.0,,13.0,3.0,26.0,,1.0,10.0,8.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,7.0,1.0,,,,,,3.0,,,,,2.0,,,,4.0,,1.0,,,2.0,,1.0,,,1.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2210359,2021-10-23 15:00:00,"St. Mary's Stadium, Southampton",29145.0,Home,Southampton,Burnley,2,2,D,1,1,0,0,,,1.0,30.0,66.0,1.0,4.0,12.0,22.0,4.0,2.0,12.0,3.0,156.0,15.0,6.0,8.0,2.0,1.0,13.0,4.0,104.0,168.0,43.0,16.0,1.0,29.0,,1.0,27.0,5.0,1.0,22.0,6.0,5.0,26.0,,185.0,0.0,141.0,10.0,2.0,,1.0,1.0,69.0,68.0,9.0,62.0,21.0,19.0,4.0,7.0,168.0,2.0,4.0,128.0,657.0,11.0,6.0,27.0,12.0,329.0,25.0,3.0,7.0,2.0,1.0,1.0,4.0,31.0,430.0,52.0,,,96787,4.0,168.0,13.0,1.0,,202.0,6.0,1.0,,19.0,6.0,57.0,,7.0,1.0,19.0,5.0,5.0,2.0,41.0,347.0,10.0,6.0,,21.0,2.0,54.0,,0.0,,2.0,2.0,2.0,2.0,0.0,5.0,1.0,3.0,61.3,21.0,2.0,5.0,2.0,8.0,5.0,24.0,6.0,1.0,450.0,12.0,4.0,8.0,7.0,35.0,6.0,275.0,11.0,5.0,14.0,102.0,26.0,1.0,,7.0,11.0,1.0,14.0,3.0,16.0,2.0,,5.0,6.0,2.0,,1.0,2.0,2.0,,1.0,,1.0,2.0,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,2.0,,,,,1.0,1.0,1.0,4.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10,2210369,2021-10-30 15:00:00,"Vicarage Road, Watford",20869.0,Away,Southampton,Watford,1,0,W,1,0,0,0,,,,28.0,71.0,2.0,4.0,27.0,25.0,3.0,2.0,9.0,3.0,201.0,15.0,5.0,7.0,1.0,2.0,11.0,1.0,111.0,162.0,73.0,12.0,1.0,21.0,,1.0,26.0,10.0,1.0,25.0,8.0,5.0,41.0,,168.0,0.0,140.0,6.0,2.0,,2.0,4.0,77.0,43.0,5.0,58.0,18.0,13.0,3.0,3.0,162.0,2.0,5.0,112.0,674.0,9.0,11.0,33.0,12.0,342.0,30.0,2.0,12.0,1.0,2.0,1.0,6.0,13.0,454.0,59.0,1.0,,96787,6.0,201.0,13.0,,,243.0,2.0,1.0,3.0,13.0,10.0,52.0,3.0,11.0,1.0,2.0,5.0,9.0,3.0,58.0,364.0,16.0,10.0,1.0,15.0,1.0,82.0,,0.0,3.0,5.0,2.0,1.0,,0.0,1.0,,3.0,61.3,10.0,2.0,2.0,,11.0,5.0,48.0,8.0,4.0,482.0,12.0,8.0,19.0,6.0,39.0,4.0,265.0,7.0,4.0,35.0,90.0,27.0,1.0,3.0,12.0,15.0,,10.0,3.0,14.0,,3.0,5.0,8.0,,,,1.0,,,,,2.0,2.0,3.0,1.0,,,1.0,4.0,,,,2.0,1.0,,,,1.0,,,,,3.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
