matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,totalOffside,totalDistance
2444474,1,2024-08-17 15:00:00,"St. James' Park, Newcastle",52196,Away,Southampton,Newcastle,0,1,L,0,1,0,1,,19.0,4.0,4.0,11.0,,,2.0,,3.0,,,,15.0,11.0,50.0,67.0,649.0,579.0,77.8,48.0,13.0,6.0,3.0,14.0,14.0,6.0,2.0,,1.0,1.0,9.0,126.0,,1.0,,,43.0,40.0,9.0,7.0,12.0,12.0,2.0,16.0,15.0,0.0,0.0,,2.0,
2444487,2,2024-08-24 15:00:00,"St. Mary's Stadium, Southampton",31150,Home,Southampton,Nott'm Forest,0,1,L,0,0,0,0,,5.0,1.0,1.0,3.0,,,,,,,,,4.0,4.0,26.0,45.0,656.0,596.0,64.6,21.0,18.0,12.0,2.0,17.0,17.0,9.0,6.0,2.0,,7.0,12.0,114.0,7.0,1.0,,,42.0,56.0,4.0,11.0,4.0,4.0,,14.0,13.0,0.0,0.0,,,
2444491,3,2024-08-31 15:00:00,"Gtech Community Stadium, Brentford",16955,Away,Southampton,Brentford,1,3,L,0,1,0,0,1.0,18.0,6.0,7.0,5.0,,,2.0,,2.0,1.0,,1.0,14.0,9.0,25.0,57.0,621.0,548.0,63.4,31.0,15.0,10.0,9.0,17.0,17.0,3.0,5.0,,3.0,6.0,12.0,116.0,4.0,3.0,,,35.0,39.0,3.0,9.0,8.0,8.0,,7.0,10.0,0.0,0.0,,2.0,109783.52
2444507,4,2024-09-14 12:30:00,"St. Mary's Stadium, Southampton",31144,Home,Southampton,Man Utd,0,3,L,0,2,1,0,,6.0,4.0,1.0,1.0,,,1.0,,3.0,,,,4.0,3.0,14.0,37.0,480.0,421.0,44.2,18.0,21.0,14.0,11.0,16.0,16.0,8.0,7.0,,,14.0,9.0,101.0,7.0,3.0,,,41.0,54.0,4.0,7.0,,,2.0,11.0,12.0,0.0,0.0,1.0,,111262.33
2444517,5,2024-09-21 15:00:00,"St. Mary's Stadium, Southampton",31117,Home,Southampton,Ipswich,1,1,D,1,0,0,0,1.0,11.0,3.0,5.0,3.0,,,4.0,1.0,3.0,1.0,,1.0,8.0,4.0,17.0,43.0,492.0,428.0,53.6,23.0,16.0,7.0,15.0,33.0,33.0,5.0,3.0,,,8.0,12.0,98.0,5.0,1.0,,,50.0,59.0,9.0,18.0,2.0,2.0,2.0,16.0,16.0,0.0,0.0,,3.0,106650.84
2444520,6,2024-09-30 20:00:00,"Vitality Stadium, Bournemouth",11243,Away,Southampton,Bournemouth,1,3,L,0,3,0,0,1.0,9.0,3.0,3.0,3.0,,,,1.0,,,,,7.0,4.0,18.0,48.0,577.0,499.0,59.8,16.0,20.0,12.0,8.0,22.0,22.0,7.0,5.0,1.0,,8.0,12.0,128.0,3.0,3.0,,,62.0,48.0,17.0,9.0,4.0,4.0,2.0,12.0,19.0,0.0,0.0,,1.0,116258.45
2444530,7,2024-10-05 15:00:00,"Emirates Stadium, London",60307,Away,Southampton,Arsenal,1,3,L,0,0,0,0,1.0,8.0,2.0,1.0,5.0,,,1.0,,2.0,2.0,,1.0,5.0,5.0,9.0,32.0,395.0,337.0,41.4,8.0,15.0,10.0,9.0,33.0,33.0,10.0,10.0,1.0,2.0,14.0,9.0,97.0,3.0,3.0,,,45.0,48.0,15.0,9.0,1.0,1.0,,9.0,10.0,0.0,0.0,,,108608.28
2444547,8,2024-10-19 15:00:00,"St. Mary's Stadium, Southampton",31145,Home,Southampton,Leicester,2,3,L,2,0,1,0,2.0,14.0,7.0,5.0,2.0,,,2.0,2.0,1.0,1.0,,1.0,12.0,7.0,28.0,47.0,359.0,297.0,42.0,29.0,21.0,16.0,9.0,30.0,30.0,7.0,4.0,,,7.0,18.0,129.0,1.0,3.0,,,49.0,54.0,12.0,7.0,10.0,10.0,,10.0,10.0,0.0,0.0,,1.0,
2444558,9,2024-10-26 15:00:00,"Etihad Stadium, Manchester",52844,Away,Southampton,Man City,0,1,L,0,1,0,0,,5.0,2.0,2.0,1.0,,,1.0,,1.0,1.0,,,5.0,3.0,13.0,18.0,479.0,434.0,43.1,14.0,14.0,9.0,6.0,30.0,30.0,8.0,8.0,1.0,,9.0,3.0,71.0,6.0,1.0,,,37.0,36.0,8.0,6.0,1.0,1.0,1.0,9.0,9.0,0.0,0.0,,2.0,
2444567,10,2024-11-02 15:00:00,"St. Mary's Stadium, Southampton",31143,Home,Southampton,Everton,1,0,W,0,0,0,0,1.0,9.0,2.0,5.0,2.0,,,1.0,,1.0,,,1.0,9.0,4.0,20.0,58.0,589.0,540.0,65.3,22.0,14.0,8.0,7.0,22.0,22.0,3.0,3.0,2.0,,11.0,9.0,105.0,5.0,,,1.0,49.0,51.0,7.0,6.0,3.0,3.0,1.0,14.0,16.0,0.0,0.0,,3.0,
