gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attLfGoal,goals,accuratePullBack,accurateKeeperSweeper,goalAssistOpenplay,goalAssist,totalKeeperSweeper,accurateThroughBall,errorLeadToShot,totalPullBack,goalsOpenplay,punches,attIboxGoal,goalAssistIntentional,forwardGoals,postScoringAtt,attIboxPost,attSvHighRight,cleanSheet,attSvLowLeft,goodHighClaim,contentiousDecision,attPostLeft,sixYardBlock,attSvHighCentre,totalHighClaim,attOneOnOne,attLgCentre,attFreekickTarget,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attSvHighLeft,attRfGoal,attOboxPost,attPostRight,attHdGoal,handBall,secondYellow,ownGoals,attIboxOwnGoal,attGoalLowRight,goalFastbreak,attOboxGoal,midfielderGoals,attGoalHighRight,attPostHigh,attGoalHighCentre,attMissHighLeft,attGoalHighLeft,attGoalLowCentre,defenderGoals,attCmissHighLeft,foulThrowIn,attHdPost,penaltyWon,attPenMiss,attPenGoal,clearanceOffLine,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickGoal,attCmissHighRight,attFreekickMiss,attObxdLeft
1,803171,2015-08-09 13:30:00,"Emirates Stadium, London",59996,Home,Arsenal,West Ham United,0,2,L,0,1,0,0,1.0,2.0,74.0,1.0,6.0,24.0,18.0,6.0,6.0,2.0,2.0,184.0,9.0,22.0,4.0,17.0,1.0,6.0,157.0,142.0,75.0,1.0,22.0,3.0,19.0,5.0,1.0,2.0,3.0,2.0,33.0,9.0,1.0,12.0,3.0,17.0,34.0,333.0,1.0,0.0,215.0,12.0,1.0,1.0,3.0,119.0,49.0,11.0,65.0,1.0,2.0,30.0,18.0,1.0,9.0,2.0,136.0,1.0,4.0,150.0,781.0,15.0,6.0,2.0,1.0,18.0,465.0,29.0,4.0,15.0,1.0,2.0,6.0,18.0,539.0,64.0,1.0,8758,8.0,157.0,1.0,18.0,1.0,178.0,5.0,18.0,7.0,64.0,1.0,2.0,3.0,6.0,10.0,4.0,7.0,2.0,41.0,481.0,9.0,12.0,2.0,12.0,64.0,1.0,3.0,1.0,0.0,2.0,4.0,1.0,2.0,2.0,0.0,7.0,1.0,3.0,61.8,17.0,1.0,4.0,5.0,6.0,9.0,45.0,5.0,556.0,18.0,16.0,20.0,7.0,50.0,2.0,5.0,411.0,13.0,16.0,32.0,181.0,33.0,2.0,10.0,12.0,1.0,18.0,2.0,27.0,2.0,2.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803172,2015-08-16 13:30:00,"Selhurst Park, London",24732,Away,Arsenal,Crystal Palace,2,1,W,1,1,0,0,1.0,1.0,72.0,1.0,5.0,31.0,36.0,4.0,7.0,3.0,5.0,187.0,5.0,7.0,4.0,17.0,,7.0,138.0,139.0,66.0,,20.0,2.0,15.0,5.0,2.0,2.0,5.0,2.0,23.0,23.0,1.0,31.0,4.0,29.0,24.0,300.0,,0.0,225.0,12.0,1.0,2.0,2.0,94.0,46.0,11.0,83.0,2.0,1.0,19.0,18.0,,2.0,1.0,134.0,1.0,6.0,156.0,792.0,15.0,6.0,,,12.0,460.0,34.0,7.0,19.0,1.0,3.0,6.0,20.0,537.0,73.0,,98745,8.0,183.0,2.0,15.0,1.0,197.0,7.0,18.0,6.0,54.0,,5.0,2.0,4.0,8.0,5.0,3.0,3.0,59.0,478.0,14.0,9.0,1.0,22.0,84.0,2.0,1.0,1.0,0.0,2.0,6.0,2.0,1.0,2.0,0.0,4.0,2.0,2.0,59.2,20.0,2.0,6.0,2.0,4.0,7.0,59.0,6.0,564.0,12.0,13.0,16.0,6.0,35.0,1.0,5.0,390.0,10.0,24.0,19.0,174.0,25.0,2.0,17.0,27.0,,19.0,3.0,12.0,,2.0,13.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803185,2015-08-24 20:00:00,"Emirates Stadium, London",60080,Home,Arsenal,Liverpool,0,0,D,0,0,0,0,,2.0,90.0,2.0,5.0,15.0,26.0,9.0,7.0,8.0,2.0,210.0,6.0,14.0,4.0,15.0,,5.0,204.0,174.0,69.0,,19.0,,29.0,2.0,,,,2.0,23.0,21.0,3.0,22.0,7.0,21.0,44.0,368.0,2.0,0.0,293.0,2.0,6.0,,2.0,141.0,62.0,9.0,82.0,4.0,3.0,16.0,25.0,,4.0,6.0,170.0,2.0,11.0,171.0,928.0,14.0,6.0,1.0,1.0,27.0,551.0,35.0,1.0,12.0,1.0,3.0,6.0,18.0,647.0,70.0,,98745,7.0,202.0,2.0,10.0,1.0,227.0,,25.0,3.0,65.0,,2.0,5.0,8.0,13.0,4.0,1.0,1.0,45.0,564.0,12.0,9.0,1.0,19.0,68.0,,2.0,,0.0,3.0,8.0,6.0,,2.0,0.0,3.0,,3.0,65.7,14.0,2.0,10.0,2.0,8.0,5.0,37.0,7.0,667.0,27.0,17.0,25.0,9.0,48.0,3.0,2.0,463.0,9.0,18.0,20.0,233.0,35.0,1.0,11.0,23.0,,15.0,2.0,22.0,,1.0,11.0,7.0,,,,,,,,,,3.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803192,2015-08-29 12:45:00,"St. James' Park, Newcastle",50388,Away,Arsenal,Newcastle United,1,0,W,0,0,0,1,,5.0,56.0,,4.0,24.0,14.0,7.0,7.0,,4.0,202.0,3.0,5.0,4.0,16.0,1.0,9.0,234.0,119.0,50.0,2.0,22.0,3.0,9.0,6.0,,3.0,3.0,3.0,15.0,15.0,3.0,8.0,7.0,33.0,44.0,507.0,1.0,0.0,294.0,8.0,,,,99.0,107.0,13.0,111.0,2.0,1.0,8.0,17.0,2.0,,2.0,113.0,2.0,1.0,230.0,969.0,14.0,8.0,,,15.0,692.0,20.0,2.0,9.0,1.0,,3.0,24.0,753.0,90.0,,99127,6.0,208.0,3.0,8.0,,219.0,3.0,17.0,5.0,42.0,,3.0,2.0,3.0,12.0,,5.0,1.0,35.0,712.0,15.0,4.0,2.0,7.0,64.0,,1.0,1.0,0.0,1.0,,,,4.0,0.0,1.0,,,73.7,24.0,,5.0,2.0,3.0,7.0,59.0,9.0,777.0,15.0,16.0,27.0,6.0,47.0,2.0,4.0,573.0,15.0,31.0,9.0,242.0,27.0,1.0,7.0,21.0,,17.0,2.0,10.0,,1.0,12.0,9.0,,,1.0,1.0,,,,,1.0,,3.0,,,1.0,,,,,,1.0,3.0,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803209,2015-09-12 15:00:00,"Emirates Stadium, London",59963,Home,Arsenal,Stoke City,2,0,W,1,0,0,0,,3.0,66.0,2.0,7.0,25.0,13.0,6.0,7.0,3.0,5.0,200.0,10.0,12.0,4.0,24.0,1.0,12.0,189.0,137.0,54.0,1.0,29.0,1.0,7.0,8.0,,4.0,3.0,1.0,25.0,13.0,2.0,10.0,10.0,29.0,36.0,348.0,2.0,0.0,218.0,6.0,,,3.0,81.0,88.0,17.0,72.0,2.0,3.0,15.0,16.0,1.0,1.0,2.0,134.0,8.0,2.0,167.0,842.0,18.0,6.0,2.0,2.0,25.0,526.0,25.0,2.0,5.0,1.0,3.0,6.0,19.0,605.0,58.0,2.0,99127,11.0,206.0,8.0,11.0,2.0,220.0,4.0,16.0,7.0,37.0,,9.0,3.0,5.0,14.0,7.0,3.0,2.0,41.0,544.0,13.0,8.0,3.0,7.0,66.0,,2.0,1.0,0.0,2.0,1.0,1.0,,1.0,0.0,5.0,,5.0,67.6,19.0,2.0,6.0,5.0,5.0,8.0,49.0,13.0,628.0,25.0,9.0,21.0,9.0,50.0,5.0,6.0,433.0,17.0,28.0,12.0,170.0,30.0,1.0,5.0,18.0,,21.0,3.0,19.0,,1.0,4.0,13.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,5.0,,5.0,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,3.0,,,,,1.0,,3.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803212,2015-09-19 12:45:00,"Stamford Bridge, London",41584,Away,Arsenal,Chelsea,0,2,L,0,0,2,0,,,64.0,4.0,,16.0,22.0,5.0,1.0,5.0,2.0,136.0,3.0,17.0,3.0,5.0,1.0,2.0,88.0,140.0,56.0,1.0,9.0,3.0,13.0,2.0,,,,1.0,15.0,14.0,,17.0,5.0,7.0,22.0,140.0,1.0,0.0,97.0,11.0,4.0,,2.0,66.0,28.0,2.0,59.0,3.0,2.0,10.0,17.0,1.0,2.0,2.0,135.0,,9.0,77.0,573.0,5.0,4.0,,,19.0,268.0,32.0,2.0,11.0,2.0,10.0,3.0,19.0,337.0,48.0,,98745,2.0,143.0,1.0,6.0,,173.0,8.0,17.0,11.0,61.0,,1.0,3.0,5.0,10.0,14.0,3.0,,43.0,280.0,11.0,15.0,,15.0,51.0,,1.0,,0.0,5.0,5.0,1.0,2.0,3.0,2.0,3.0,4.0,,37.1,17.0,,1.0,2.0,5.0,3.0,28.0,5.0,360.0,19.0,15.0,14.0,4.0,24.0,,2.0,202.0,8.0,7.0,7.0,68.0,25.0,1.0,10.0,21.0,2.0,6.0,3.0,25.0,,1.0,6.0,5.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,803222,2015-09-26 15:00:00,"King Power Stadium, Leicester",32047,Away,Arsenal,Leicester City,5,2,W,2,1,0,0,,2.0,68.0,1.0,10.0,23.0,46.0,4.0,6.0,5.0,5.0,178.0,2.0,16.0,1.0,23.0,,12.0,143.0,139.0,70.0,,27.0,3.0,12.0,7.0,2.0,3.0,1.0,1.0,11.0,15.0,,37.0,4.0,15.0,40.0,247.0,,0.0,160.0,12.0,3.0,3.0,,90.0,52.0,20.0,58.0,2.0,1.0,7.0,16.0,,1.0,,130.0,4.0,11.0,153.0,782.0,18.0,7.0,,,14.0,440.0,37.0,1.0,22.0,1.0,3.0,2.0,19.0,508.0,61.0,,98745,12.0,211.0,2.0,6.0,,230.0,4.0,16.0,10.0,59.0,,7.0,2.0,6.0,19.0,5.0,5.0,,47.0,456.0,9.0,15.0,,11.0,78.0,2.0,4.0,1.0,0.0,1.0,6.0,4.0,2.0,4.0,0.0,2.0,,1.0,58.0,18.0,,2.0,4.0,6.0,13.0,55.0,5.0,532.0,14.0,18.0,28.0,2.0,31.0,,2.0,313.0,19.0,15.0,23.0,126.0,21.0,3.0,18.0,21.0,2.0,25.0,3.0,20.0,,3.0,6.0,5.0,3.0,2.0,5.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,,,,,2.0,3.0,,,3.0,,3.0,2.0,,,3.0,1.0,1.0,,2.0,,,1.0,2.0,,,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
8,803234,2015-10-04 16:00:00,"Emirates Stadium, London",60084,Home,Arsenal,Manchester United,3,0,W,3,0,0,0,,1.0,77.0,3.0,,20.0,28.0,3.0,4.0,5.0,1.0,155.0,1.0,16.0,3.0,10.0,,5.0,79.0,124.0,74.0,1.0,12.0,2.0,11.0,2.0,,2.0,1.0,4.0,7.0,25.0,,21.0,3.0,10.0,27.0,131.0,,0.0,89.0,8.0,4.0,,2.0,34.0,33.0,5.0,74.0,5.0,,4.0,20.0,1.0,,1.0,117.0,3.0,2.0,81.0,606.0,7.0,10.0,,1.0,23.0,298.0,45.0,1.0,12.0,1.0,1.0,5.0,12.0,361.0,39.0,,99127,5.0,183.0,2.0,2.0,1.0,203.0,5.0,20.0,5.0,53.0,,3.0,2.0,6.0,7.0,7.0,1.0,,57.0,313.0,17.0,12.0,,26.0,70.0,,1.0,2.0,0.0,3.0,6.0,2.0,,3.0,0.0,,1.0,1.0,37.8,11.0,1.0,2.0,1.0,6.0,2.0,34.0,3.0,389.0,23.0,16.0,22.0,5.0,20.0,1.0,3.0,193.0,7.0,8.0,12.0,61.0,19.0,1.0,10.0,29.0,,10.0,3.0,22.0,,1.0,12.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,,1.0,3.0,,3.0,2.0,,1.0,1.0,,1.0,,4.0,,,,,4.0,1.0,,,1.0,,,,2.0,,,,,,,,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,803242,2015-10-17 17:30:00,"Vicarage Road, Watford",20721,Away,Arsenal,Watford,3,0,W,0,0,0,0,,,69.0,1.0,3.0,32.0,31.0,4.0,4.0,1.0,1.0,210.0,7.0,18.0,,16.0,1.0,6.0,153.0,151.0,58.0,,17.0,3.0,10.0,2.0,,1.0,1.0,,22.0,14.0,1.0,27.0,7.0,30.0,47.0,306.0,,0.0,207.0,12.0,1.0,,,80.0,94.0,12.0,90.0,4.0,2.0,15.0,18.0,,4.0,,147.0,4.0,2.0,174.0,857.0,11.0,7.0,2.0,1.0,21.0,536.0,40.0,6.0,19.0,1.0,1.0,4.0,12.0,606.0,65.0,,98745,7.0,252.0,1.0,11.0,,267.0,7.0,18.0,5.0,55.0,,7.0,4.0,3.0,20.0,6.0,2.0,1.0,50.0,551.0,11.0,8.0,2.0,14.0,72.0,,,,0.0,5.0,3.0,,,4.0,0.0,4.0,,2.0,66.7,10.0,,1.0,4.0,3.0,6.0,50.0,9.0,627.0,21.0,16.0,31.0,5.0,47.0,3.0,4.0,382.0,11.0,29.0,12.0,168.0,24.0,2.0,17.0,17.0,,15.0,3.0,27.0,,2.0,6.0,9.0,,,3.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,,3.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,3.0,,,,3.0,,,,,,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10,803254,2015-10-24 17:30:00,"Emirates Stadium, London",59985,Home,Arsenal,Everton,2,1,W,2,1,0,1,1.0,2.0,77.0,2.0,5.0,40.0,14.0,5.0,6.0,4.0,,183.0,8.0,17.0,4.0,16.0,1.0,5.0,128.0,143.0,63.0,,20.0,1.0,8.0,2.0,,3.0,1.0,2.0,19.0,16.0,1.0,12.0,7.0,29.0,35.0,301.0,1.0,0.0,198.0,11.0,2.0,,1.0,69.0,86.0,10.0,78.0,1.0,3.0,12.0,23.0,,4.0,2.0,141.0,3.0,5.0,138.0,777.0,11.0,8.0,1.0,2.0,34.0,432.0,31.0,9.0,6.0,2.0,2.0,6.0,23.0,503.0,82.0,1.0,99127,9.0,156.0,1.0,7.0,2.0,170.0,8.0,23.0,7.0,71.0,,7.0,,4.0,14.0,5.0,4.0,1.0,61.0,449.0,13.0,18.0,3.0,21.0,85.0,,1.0,,0.0,1.0,5.0,2.0,1.0,6.0,0.0,5.0,1.0,7.0,56.2,22.0,4.0,8.0,1.0,4.0,6.0,62.0,7.0,527.0,34.0,20.0,27.0,9.0,42.0,3.0,5.0,376.0,7.0,28.0,13.0,148.0,33.0,6.0,5.0,20.0,,14.0,2.0,33.0,,6.0,13.0,7.0,,,2.0,,1.0,1.0,2.0,1.0,,2.0,,1.0,,2.0,2.0,1.0,2.0,1.0,,,,1.0,,,,,1.0,,,,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,
