gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,goalAssistOpenplay,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attFreekickPost,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attObpGoal,attSvLowRight,redCard,overrun,lostCorners,attIboxGoal,attOboxPost,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,interceptionsInBox,attGoalHighCentre,contentiousDecision,accurateLaunches,totalKeeperSweeper,errorLeadToShot,sixYardBlock,totalPullBack,attMissHigh,punches,savedIbox,goalsConceded,clearanceOffLine,totalHighClaim,effectiveBlockedCross,attHdGoal,goalsConcededIbox,blockedCross,attOneOnOne,goodHighClaim,totalFlickOn,foulThrowIn,ptsDroppedWinningPos,goalsConcededObox,attGoalLowLeft,attBxRight,midfielderGoals,attHdTarget,attGoalHighLeft,accurateFlickOn,shieldBallOop,attCmissRight,attMissLeft,attCmissHigh,attCmissLeft,attSvHighCentre,attFreekickMiss,attIboxPost,attMissHighRight,penaltyWon,freekickCross,attPenGoal,attPostHigh,ownGoals,attIboxOwnGoal,shotFastbreak,totalFastbreak,accurateFreekickCross,attFastbreak,attCmissHighRight,attOboxGoal,winningGoal,keeperGoals,subsGoals,attFreekickGoal,accuratePullBack,attObxLeft,ptsGainedLosingPos,secondYellow,attHdPost,attObxdRight,penaltySave,penaltyConceded,penaltyFaced,goalFastbreak,attPostRight,penGoalsConceded,attFreekickTarget,errorLeadToGoal,attObxdLeft,attSvHighLeft,attCmissHighLeft
1,2128288,2020-09-12 12:30:00,"Craven Cottage, London",,Away,Arsenal,Fulham,3,0,W,1,0,0,0,1.0,1.0,2.0,31.0,45.0,1.0,2.0,1.0,1.0,1.0,31.0,11.0,4.0,6.0,9.0,2.0,1.0,2.0,127.0,1.0,17.0,4.0,6.0,3.0,4.0,8.0,6.0,197.0,99.0,35.0,2.0,13.0,2.0,8.0,3.0,1.0,1.0,16.0,5.0,1.0,11.0,2.0,5.0,38.0,199.0,1.0,1.0,0.0,123.0,12.0,1.0,1.0,65.0,64.0,6.0,84.0,1.0,1.0,14.0,13.0,4.0,2.0,3.0,1.0,99.0,1.0,1.0,1.0,218.0,775.0,4.0,26.0,1.0,18.0,545.0,15.0,2.0,10.0,2.0,2.0,1.0,2.0,21.0,608.0,55.0,2.0,98745,2.0,367.0,1.0,11.0,1.0,384.0,6.0,1.0,4.0,4.0,36.0,2.0,1.0,2.0,3.0,2.0,8.0,4.0,4.0,52.0,562.0,12.0,6.0,2.0,2.0,2.0,57.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,54.4,20.0,1.0,10.0,2.0,3.0,3.0,39.0,3.0,626.0,18.0,8.0,16.0,4.0,26.0,2.0,2.0,258.0,5.0,5.0,7.0,91.0,17.0,2.0,10.0,12.0,8.0,3.0,9.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128296,2020-09-19 20:00:00,"Emirates Stadium, London",,Home,Arsenal,West Ham United,2,1,W,1,1,0,0,,,2.0,17.0,47.0,,,2.0,,,30.0,17.0,2.0,3.0,5.0,2.0,,1.0,156.0,1.0,13.0,3.0,8.0,2.0,,6.0,3.0,198.0,138.0,44.0,,7.0,1.0,16.0,,,2.0,17.0,5.0,,17.0,5.0,13.0,40.0,264.0,,,0.0,148.0,11.0,1.0,,97.0,48.0,5.0,102.0,,,12.0,21.0,2.0,,5.0,,138.0,2.0,7.0,,213.0,844.0,4.0,29.0,,11.0,556.0,18.0,,12.0,2.0,0.0,6.0,1.0,13.0,645.0,53.0,1.0,98745,3.0,316.0,,7.0,,340.0,5.0,1.0,21.0,5.0,40.0,3.0,,5.0,6.0,2.0,16.0,7.0,4.0,51.0,577.0,12.0,5.0,,10.0,,82.0,,,0.0,1.0,5.0,2.0,,0.0,3.0,2.0,1.0,62.6,13.0,,4.0,2.0,6.0,3.0,56.0,7.0,669.0,11.0,6.0,25.0,1.0,33.0,,1.0,346.0,3.0,13.0,17.0,108.0,19.0,1.0,12.0,8.0,7.0,3.0,12.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128310,2020-09-28 20:00:00,"Anfield, Liverpool",,Away,Arsenal,Liverpool,1,3,L,1,2,0,0,,,1.0,33.0,55.0,,2.0,,,,23.0,37.0,1.0,1.0,3.0,5.0,1.0,2.0,126.0,,18.0,,5.0,1.0,,3.0,3.0,94.0,138.0,38.0,,4.0,,6.0,2.0,,,8.0,6.0,1.0,37.0,3.0,6.0,39.0,59.0,,,0.0,51.0,7.0,1.0,1.0,39.0,18.0,2.0,57.0,,1.0,5.0,18.0,1.0,,3.0,1.0,138.0,2.0,12.0,,118.0,561.0,3.0,11.0,,7.0,276.0,32.0,,19.0,,2.0,6.0,1.0,11.0,371.0,29.0,3.0,98745,3.0,240.0,2.0,2.0,,283.0,4.0,,18.0,9.0,31.0,4.0,,5.0,6.0,1.0,12.0,9.0,9.0,58.0,299.0,11.0,8.0,,23.0,,51.0,,,0.0,1.0,7.0,1.0,,0.0,,,,34.0,7.0,,,,6.0,,21.0,3.0,395.0,7.0,7.0,15.0,1.0,9.0,,,120.0,3.0,5.0,12.0,23.0,17.0,1.0,19.0,11.0,4.0,3.0,8.0,7.0,3.0,,1.0,,,,,1.0,,1.0,,,,1.0,3.0,3.0,,1.0,1.0,,3.0,1.0,2.0,1.0,8.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128316,2020-10-04 14:00:00,"Emirates Stadium, London",,Home,Arsenal,Sheffield United,2,1,W,0,0,0,0,,,1.0,31.0,41.0,,1.0,1.0,,,26.0,18.0,1.0,2.0,5.0,1.0,1.0,2.0,180.0,,20.0,1.0,12.0,2.0,2.0,6.0,5.0,188.0,122.0,45.0,,6.0,,14.0,2.0,,2.0,18.0,4.0,,18.0,2.0,9.0,31.0,289.0,1.0,,0.0,148.0,3.0,,1.0,126.0,69.0,6.0,122.0,,,16.0,22.0,1.0,,6.0,,122.0,1.0,1.0,,209.0,860.0,4.0,14.0,,10.0,606.0,19.0,,12.0,2.0,0.0,2.0,,22.0,676.0,55.0,,98745,2.0,335.0,,10.0,,357.0,2.0,,22.0,9.0,35.0,1.0,,,2.0,2.0,15.0,5.0,6.0,56.0,623.0,8.0,7.0,,16.0,,71.0,,1.0,0.0,1.0,4.0,2.0,,0.0,1.0,1.0,2.0,64.5,20.0,,1.0,1.0,2.0,1.0,53.0,2.0,699.0,10.0,5.0,19.0,,28.0,,,360.0,2.0,7.0,17.0,121.0,19.0,,12.0,8.0,6.0,3.0,18.0,10.0,2.0,1.0,,1.0,,,,2.0,1.0,1.0,,,,,,1.0,,,2.0,1.0,,2.0,,,4.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128331,2020-10-17 17:30:00,"Etihad Stadium, Manchester",,Away,Arsenal,Manchester City,0,1,L,0,1,0,0,,1.0,,26.0,57.0,,1.0,2.0,,,21.0,12.0,4.0,5.0,7.0,4.0,,1.0,130.0,,12.0,4.0,9.0,,2.0,7.0,3.0,121.0,111.0,49.0,2.0,11.0,1.0,15.0,3.0,,,13.0,10.0,,12.0,6.0,4.0,32.0,118.0,,,0.0,76.0,10.0,3.0,,52.0,35.0,5.0,67.0,,1.0,7.0,13.0,4.0,2.0,6.0,3.0,111.0,1.0,8.0,,144.0,618.0,6.0,14.0,,6.0,377.0,26.0,,5.0,,1.0,4.0,2.0,15.0,442.0,35.0,1.0,98745,5.0,277.0,1.0,1.0,1.0,308.0,3.0,,13.0,4.0,46.0,2.0,,2.0,4.0,,14.0,5.0,3.0,50.0,391.0,15.0,10.0,1.0,15.0,5.0,42.0,,,0.0,1.0,6.0,,,0.0,3.0,,2.0,41.5,12.0,1.0,1.0,2.0,4.0,3.0,21.0,6.0,462.0,6.0,6.0,20.0,5.0,19.0,1.0,2.0,167.0,3.0,2.0,12.0,51.0,25.0,,5.0,13.0,3.0,3.0,14.0,9.0,6.0,,2.0,,2.0,,,2.0,,,,,2.0,,3.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128336,2020-10-25 19:15:00,"Emirates Stadium, London",,Home,Arsenal,Leicester City,0,1,L,0,0,0,0,,2.0,,35.0,56.0,,,1.0,,,26.0,5.0,3.0,7.0,9.0,1.0,,1.0,121.0,,18.0,6.0,2.0,,2.0,10.0,4.0,154.0,126.0,36.0,1.0,12.0,3.0,15.0,4.0,,,20.0,11.0,,5.0,7.0,2.0,43.0,268.0,,,0.0,141.0,13.0,,1.0,114.0,63.0,6.0,100.0,,1.0,13.0,21.0,3.0,1.0,4.0,,126.0,,2.0,,200.0,745.0,9.0,22.0,,12.0,483.0,19.0,,3.0,,3.0,1.0,4.0,19.0,561.0,70.0,,98745,5.0,233.0,,9.0,,245.0,5.0,,21.0,2.0,46.0,,,1.0,6.0,,17.0,4.0,1.0,44.0,495.0,9.0,7.0,1.0,7.0,4.0,66.0,,,0.0,2.0,3.0,,,0.0,5.0,,3.0,56.3,18.0,2.0,3.0,1.0,6.0,4.0,48.0,9.0,575.0,12.0,5.0,22.0,4.0,31.0,1.0,4.0,350.0,2.0,2.0,11.0,91.0,27.0,,3.0,15.0,7.0,3.0,8.0,8.0,9.0,1.0,3.0,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,4.0,,,,,,,1.0,,2.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128351,2020-11-01 16:30:00,"Old Trafford, Manchester",,Away,Arsenal,Manchester United,1,0,W,0,0,0,0,,,1.0,24.0,61.0,1.0,1.0,,,,14.0,25.0,4.0,2.0,3.0,3.0,,1.0,140.0,,16.0,2.0,6.0,1.0,2.0,5.0,2.0,138.0,122.0,46.0,,7.0,,18.0,,1.0,,16.0,15.0,,25.0,3.0,6.0,23.0,194.0,,1.0,0.0,113.0,12.0,,,79.0,48.0,1.0,90.0,,2.0,13.0,16.0,4.0,,5.0,3.0,122.0,,4.0,,133.0,673.0,5.0,15.0,1.0,12.0,415.0,24.0,,17.0,,3.0,2.0,4.0,9.0,480.0,41.0,,98745,3.0,237.0,,7.0,,259.0,7.0,1.0,16.0,4.0,45.0,,,,,,19.0,4.0,2.0,37.0,429.0,11.0,5.0,,13.0,1.0,54.0,,,0.0,4.0,6.0,1.0,,0.0,2.0,,1.0,46.7,7.0,1.0,5.0,,,,34.0,3.0,501.0,12.0,4.0,12.0,5.0,18.0,,1.0,258.0,4.0,5.0,9.0,78.0,28.0,1.0,17.0,20.0,5.0,3.0,12.0,6.0,3.0,,,1.0,1.0,,,3.0,,,,,1.0,,1.0,,,1.0,,,,,,1.0,4.0,1.0,,,,,,,,2.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2128356,2020-11-08 19:15:00,"Emirates Stadium, London",,Home,Arsenal,Aston Villa,0,3,L,0,1,0,0,,1.0,,25.0,52.0,,,1.0,,,18.0,12.0,5.0,6.0,8.0,3.0,,1.0,140.0,,10.0,3.0,8.0,,5.0,8.0,2.0,154.0,133.0,39.0,,13.0,2.0,15.0,2.0,,,25.0,2.0,,12.0,2.0,5.0,39.0,185.0,,,0.0,129.0,11.0,1.0,,52.0,52.0,3.0,77.0,,2.0,23.0,11.0,5.0,,8.0,3.0,133.0,1.0,15.0,,167.0,712.0,7.0,26.0,,8.0,439.0,26.0,1.0,7.0,,0.0,10.0,5.0,23.0,519.0,43.0,,98745,5.0,276.0,2.0,14.0,2.0,312.0,5.0,,11.0,1.0,52.0,,,1.0,1.0,,11.0,1.0,1.0,43.0,458.0,13.0,12.0,1.0,14.0,2.0,46.0,,,0.0,1.0,8.0,,,0.0,2.0,,1.0,58.8,19.0,1.0,1.0,,1.0,3.0,28.0,3.0,538.0,8.0,7.0,20.0,8.0,32.0,1.0,5.0,251.0,6.0,5.0,11.0,99.0,24.0,,7.0,7.0,8.0,3.0,15.0,7.0,3.0,,1.0,,2.0,,,2.0,,,1.0,1.0,1.0,1.0,4.0,3.0,1.0,,,,3.0,,1.0,,2.0,,,,,2.0,,,,,,,3.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2128369,2020-11-22 16:30:00,"Elland Road, Leeds",,Away,Arsenal,Leeds United,0,0,D,0,0,1,0,,1.0,,,65.0,,1.0,1.0,,,14.0,29.0,4.0,3.0,5.0,4.0,,1.0,130.0,,,3.0,14.0,,4.0,6.0,2.0,52.0,138.0,44.0,2.0,9.0,,11.0,2.0,,,13.0,5.0,,29.0,3.0,5.0,27.0,91.0,,1.0,0.0,57.0,8.0,3.0,,35.0,31.0,3.0,55.0,,,10.0,6.0,4.0,2.0,,4.0,138.0,1.0,15.0,,73.0,486.0,5.0,14.0,1.0,11.0,211.0,30.0,,16.0,,0.0,5.0,3.0,16.0,284.0,34.0,1.0,98745,4.0,132.0,1.0,7.0,,164.0,5.0,,6.0,17.0,41.0,1.0,,2.0,2.0,,11.0,10.0,5.0,58.0,220.0,9.0,4.0,1.0,22.0,1.0,59.0,,,0.0,1.0,5.0,,,1.0,2.0,,1.0,33.7,11.0,1.0,2.0,,2.0,1.0,25.0,3.0,310.0,11.0,12.0,6.0,6.0,14.0,1.0,2.0,159.0,5.0,5.0,11.0,34.0,23.0,,16.0,10.0,6.0,3.0,20.0,2.0,3.0,,2.0,,2.0,,1.0,5.0,,,,,1.0,1.0,3.0,,,,1.0,,,1.0,,,6.0,1.0,,,,1.0,,,,,,,3.0,1.0,1.0,,2.0,,2.0,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,2128376,2020-11-29 19:15:00,"Emirates Stadium, London",,Home,Arsenal,Wolverhampton Wanderers,1,2,L,1,2,0,0,1.0,,,31.0,46.0,,1.0,3.0,1.0,,26.0,16.0,3.0,2.0,10.0,3.0,,1.0,160.0,,10.0,3.0,2.0,1.0,4.0,6.0,2.0,138.0,136.0,43.0,2.0,13.0,1.0,15.0,1.0,,,35.0,6.0,,16.0,4.0,1.0,37.0,247.0,,,0.0,186.0,13.0,2.0,,112.0,73.0,3.0,84.0,,1.0,31.0,18.0,3.0,2.0,10.0,2.0,136.0,1.0,9.0,,112.0,683.0,5.0,37.0,,9.0,401.0,17.0,,8.0,1.0,3.0,4.0,3.0,21.0,474.0,75.0,1.0,98745,5.0,176.0,2.0,20.0,,190.0,4.0,,18.0,3.0,48.0,2.0,1.0,2.0,5.0,,14.0,2.0,3.0,45.0,420.0,12.0,10.0,,3.0,3.0,47.0,,1.0,0.0,,4.0,1.0,,0.0,3.0,1.0,4.0,56.2,19.0,3.0,4.0,3.0,5.0,4.0,37.0,8.0,494.0,9.0,8.0,16.0,7.0,49.0,,5.0,339.0,7.0,1.0,16.0,134.0,20.0,,8.0,13.0,8.0,3.0,6.0,9.0,8.0,,,,2.0,,,,,,1.0,1.0,4.0,,2.0,2.0,,1.0,,1.0,2.0,,,1.0,7.0,,,,,1.0,,,1.0,5.0,,,2.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
