gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attRfTarget,accuratePullBack,attOboxBlocked,attBxRight,attSvLowCentre,attOboxTarget,attMissHighRight,attOboxGoal,midfielderGoals,freekickCross,interceptionsInBox,contentiousDecision,attHdTarget,totalPullBack,attSvLowRight,goalsConceded,attCmissHighRight,accurateCrossNocorner,attSvHighCentre,clearanceOffLine,goalsConcededIbox,attFreekickTotal,freekickTotal,attMissHighLeft,errorLeadToShot,penaltyConceded,attCmissHighLeft,attCmissLeft,penaltyFaced,penGoalsConceded,attFreekickMiss,attLfGoal,ptsGainedLosingPos,attSvHighLeft,sixYardBlock,attGoalHighLeft,attFreekickTarget,errorLeadToGoal,attGoalLowCentre,ptsDroppedWinningPos,postScoringAtt,penaltyWon,attGoalHighCentre,secondYellow,attPostLeft,hitWoodwork,attCmissHigh,attPenGoal,attFreekickGoal,attOboxPost,goalsConcededObox,attCmissRight,attIboxPost,defenderGoals,attPostRight,attHdGoal,attSvHighRight,penaltySave,accurateFreekickCross,attPostHigh,foulThrowIn,attGoalHighRight,attLgCentre,attHdPost
1,1059711,2019-08-11 14:00:00,"St. James' Park, Newcastle",47635.0,Away,Arsenal,Newcastle United,1,0,W,0,0,0,0,1.0,1.0,71.0,1.0,1.0,2.0,25.0,22.0,1.0,4.0,7.0,2.0,191.0,1.0,12.0,1.0,1.0,8.0,2.0,167.0,149.0,48.0,8.0,21.0,1.0,2.0,2.0,1.0,1.0,1.0,10.0,6.0,22.0,3.0,6.0,30.0,1.0,230.0,1.0,0.0,143.0,7.0,1.0,3.0,1.0,3.0,105.0,66.0,4.0,107.0,1.0,7.0,12.0,1.0,2.0,1.0,149.0,2.0,4.0,151.0,819.0,5.0,5.0,24.0,6.0,505.0,27.0,4.0,11.0,1.0,2.0,3.0,3.0,4.0,30.0,594.0,65.0,1.0,98980,3.0,294.0,1.0,5.0,1.0,325.0,7.0,1.0,12.0,8.0,65.0,2.0,3.0,13.0,1.0,15.0,5.0,7.0,2.0,51.0,523.0,11.0,11.0,2.0,17.0,1.0,66.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,61.9,28.0,2.0,6.0,3.0,13.0,2.0,44.0,3.0,3.0,616.0,6.0,13.0,16.0,4.0,23.0,1.0,3.0,301.0,2.0,5.0,14.0,101.0,25.0,1.0,1.0,11.0,11.0,6.0,3.0,25.0,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059712,2019-08-17 12:30:00,"Emirates Stadium, London",60214.0,Home,Arsenal,Burnley,2,1,W,1,1,0,0,2.0,,53.0,1.0,,2.0,24.0,28.0,7.0,2.0,8.0,3.0,148.0,5.0,14.0,2.0,2.0,15.0,9.0,147.0,141.0,55.0,15.0,20.0,5.0,,,1.0,,,17.0,7.0,28.0,4.0,3.0,32.0,,185.0,,0.0,158.0,13.0,,,1.0,,73.0,51.0,11.0,75.0,1.0,14.0,12.0,7.0,1.0,3.0,141.0,2.0,13.0,159.0,731.0,12.0,7.0,28.0,9.0,417.0,23.0,3.0,21.0,2.0,,2.0,4.0,3.0,20.0,497.0,41.0,1.0,98980,4.0,263.0,2.0,11.0,1.0,298.0,7.0,2.0,12.0,13.0,51.0,5.0,5.0,9.0,1.0,14.0,5.0,10.0,,50.0,443.0,9.0,4.0,,12.0,2.0,43.0,,1.0,0.0,5.0,7.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,67.5,17.0,,5.0,2.0,9.0,3.0,22.0,10.0,,529.0,9.0,10.0,13.0,3.0,31.0,3.0,,248.0,12.0,2.0,21.0,118.0,14.0,1.0,3.0,21.0,12.0,12.0,3.0,20.0,3.0,4.0,10.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059725,2019-08-24 17:30:00,"Anfield, Liverpool",53298.0,Away,Arsenal,Liverpool,1,3,L,0,1,0,0,2.0,,62.0,1.0,,2.0,22.0,27.0,5.0,4.0,4.0,2.0,168.0,2.0,14.0,1.0,2.0,5.0,3.0,145.0,129.0,48.0,9.0,7.0,,1.0,1.0,,,2.0,13.0,7.0,27.0,3.0,4.0,39.0,,144.0,,0.0,88.0,5.0,1.0,1.0,,1.0,58.0,46.0,3.0,83.0,,10.0,16.0,5.0,4.0,3.0,129.0,1.0,17.0,120.0,738.0,4.0,,11.0,7.0,428.0,39.0,2.0,13.0,,1.0,1.0,13.0,2.0,20.0,493.0,39.0,,98980,2.0,305.0,2.0,6.0,,338.0,3.0,1.0,16.0,10.0,45.0,4.0,4.0,10.0,1.0,18.0,8.0,8.0,,47.0,447.0,7.0,9.0,1.0,11.0,1.0,45.0,1.0,,0.0,,6.0,2.0,1.0,,0.0,,1.0,1.0,48.0,18.0,1.0,1.0,1.0,10.0,2.0,31.0,4.0,1.0,516.0,7.0,18.0,21.0,4.0,19.0,1.0,1.0,191.0,4.0,3.0,11.0,65.0,12.0,,1.0,13.0,16.0,7.0,3.0,21.0,1.0,8.0,4.0,1.0,,,,,,,1.0,2.0,2.0,,,,,1.0,1.0,,1.0,,3.0,,1.0,,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059732,2019-09-01 16:30:00,"Emirates Stadium, London",60333.0,Home,Arsenal,Tottenham Hotspur,2,2,D,1,2,0,0,2.0,2.0,69.0,,6.0,3.0,25.0,11.0,13.0,9.0,13.0,7.0,145.0,9.0,14.0,2.0,4.0,18.0,8.0,110.0,128.0,71.0,26.0,13.0,3.0,,1.0,2.0,,6.0,25.0,12.0,11.0,10.0,5.0,36.0,,239.0,,0.0,187.0,13.0,5.0,,2.0,1.0,86.0,64.0,12.0,71.0,2.0,15.0,14.0,13.0,1.0,5.0,128.0,2.0,6.0,127.0,673.0,14.0,3.0,35.0,11.0,357.0,22.0,3.0,6.0,2.0,1.0,3.0,1.0,6.0,11.0,429.0,62.0,1.0,98980,9.0,150.0,,13.0,1.0,165.0,11.0,1.0,14.0,2.0,46.0,2.0,3.0,9.0,2.0,19.0,7.0,2.0,,45.0,380.0,18.0,7.0,2.0,11.0,5.0,50.0,,,0.0,1.0,6.0,1.0,2.0,3.0,0.0,2.0,,3.0,54.8,9.0,2.0,10.0,,10.0,8.0,30.0,11.0,1.0,453.0,11.0,10.0,20.0,10.0,43.0,2.0,5.0,313.0,13.0,4.0,16.0,151.0,26.0,2.0,,6.0,23.0,18.0,2.0,17.0,,6.0,11.0,,1.0,,,3.0,1.0,5.0,1.0,1.0,3.0,1.0,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,7.0,1.0,,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059750,2019-09-15 16:30:00,"Vicarage Road, Watford",21360.0,Away,Arsenal,Watford,2,2,D,2,0,0,0,,1.0,47.0,,5.0,,16.0,16.0,3.0,3.0,4.0,8.0,140.0,,13.0,2.0,1.0,6.0,4.0,134.0,119.0,42.0,7.0,8.0,2.0,1.0,,2.0,,1.0,3.0,10.0,16.0,,6.0,30.0,,196.0,,0.0,123.0,4.0,2.0,1.0,,,64.0,74.0,4.0,73.0,,3.0,11.0,3.0,1.0,2.0,119.0,1.0,16.0,119.0,625.0,4.0,2.0,16.0,11.0,361.0,24.0,1.0,9.0,2.0,,3.0,6.0,2.0,14.0,432.0,52.0,,98980,3.0,190.0,,1.0,,214.0,3.0,1.0,11.0,16.0,45.0,2.0,,8.0,2.0,17.0,15.0,12.0,,42.0,386.0,12.0,16.0,,9.0,,61.0,1.0,1.0,0.0,1.0,7.0,3.0,2.0,1.0,0.0,2.0,1.0,,47.6,13.0,,,,8.0,1.0,39.0,1.0,,466.0,11.0,11.0,12.0,2.0,14.0,,,255.0,4.0,5.0,4.0,83.0,15.0,2.0,,9.0,13.0,7.0,3.0,19.0,,3.0,1.0,,1.0,,,2.0,,1.0,1.0,1.0,,1.0,,,1.0,3.0,1.0,,,,2.0,,,1.0,,2.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
6,1059752,2019-09-22 16:30:00,"Emirates Stadium, London",60331.0,Home,Arsenal,Aston Villa,3,2,W,0,1,1,0,1.0,1.0,54.0,1.0,5.0,2.0,31.0,20.0,7.0,7.0,14.0,7.0,142.0,5.0,13.0,3.0,4.0,16.0,6.0,137.0,122.0,47.0,21.0,5.0,2.0,,1.0,,,2.0,20.0,6.0,20.0,6.0,4.0,43.0,,219.0,,0.0,198.0,13.0,3.0,,1.0,1.0,50.0,71.0,7.0,56.0,4.0,14.0,9.0,7.0,4.0,1.0,122.0,2.0,8.0,130.0,662.0,12.0,2.0,45.0,8.0,374.0,20.0,,12.0,,1.0,5.0,2.0,9.0,16.0,438.0,60.0,,98980,9.0,182.0,2.0,10.0,,190.0,9.0,2.0,9.0,8.0,53.0,1.0,2.0,10.0,1.0,12.0,6.0,8.0,1.0,49.0,396.0,14.0,15.0,4.0,7.0,5.0,52.0,,,0.0,4.0,4.0,2.0,2.0,1.0,1.0,,,2.0,58.1,16.0,2.0,7.0,,10.0,5.0,32.0,9.0,1.0,465.0,8.0,14.0,27.0,10.0,38.0,4.0,8.0,295.0,12.0,4.0,9.0,150.0,16.0,1.0,,12.0,12.0,12.0,3.0,19.0,,1.0,9.0,,,,,2.0,,3.0,4.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,2.0,,1.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,1.0,3.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
7,1059768,2019-09-30 20:00:00,"Old Trafford, Manchester",73201.0,Away,Arsenal,Manchester United,1,1,D,0,1,0,0,3.0,1.0,52.0,,2.0,1.0,29.0,14.0,3.0,5.0,7.0,3.0,139.0,4.0,8.0,1.0,4.0,7.0,5.0,89.0,134.0,54.0,10.0,10.0,3.0,3.0,,1.0,,,20.0,11.0,14.0,3.0,5.0,40.0,1.0,158.0,,0.0,118.0,13.0,3.0,3.0,,,59.0,76.0,4.0,59.0,2.0,17.0,17.0,3.0,3.0,1.0,134.0,3.0,4.0,77.0,563.0,6.0,6.0,23.0,8.0,261.0,24.0,2.0,8.0,1.0,,2.0,6.0,3.0,19.0,330.0,41.0,1.0,98980,6.0,129.0,3.0,12.0,,153.0,7.0,,17.0,11.0,45.0,5.0,4.0,1.0,1.0,15.0,12.0,5.0,,59.0,283.0,17.0,8.0,,17.0,,65.0,3.0,,0.0,,8.0,1.0,1.0,1.0,0.0,1.0,3.0,,45.2,16.0,,5.0,,1.0,2.0,36.0,7.0,,364.0,8.0,7.0,23.0,3.0,23.0,2.0,2.0,231.0,5.0,4.0,11.0,90.0,20.0,1.0,2.0,8.0,19.0,9.0,3.0,16.0,2.0,10.0,7.0,1.0,,,,1.0,,1.0,,,1.0,,,,2.0,,1.0,,,4.0,1.0,,2.0,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
8,1059772,2019-10-06 14:00:00,"Emirates Stadium, London",60326.0,Home,Arsenal,Bournemouth,1,0,W,1,0,0,0,,,62.0,,1.0,3.0,31.0,17.0,3.0,3.0,9.0,2.0,165.0,2.0,12.0,1.0,,10.0,2.0,109.0,166.0,55.0,12.0,26.0,1.0,,1.0,,,1.0,24.0,13.0,17.0,10.0,7.0,37.0,,152.0,1.0,0.0,138.0,12.0,,,,1.0,56.0,78.0,5.0,71.0,1.0,14.0,27.0,3.0,3.0,2.0,166.0,1.0,5.0,98.0,653.0,8.0,4.0,37.0,8.0,324.0,25.0,3.0,8.0,1.0,1.0,1.0,1.0,5.0,28.0,418.0,58.0,1.0,98980,2.0,184.0,1.0,11.0,,205.0,7.0,,27.0,11.0,66.0,6.0,,2.0,,18.0,5.0,3.0,1.0,78.0,334.0,6.0,14.0,1.0,19.0,3.0,78.0,,,0.0,1.0,5.0,1.0,1.0,,0.0,1.0,2.0,2.0,52.5,26.0,,6.0,3.0,2.0,4.0,31.0,14.0,1.0,443.0,8.0,9.0,13.0,6.0,38.0,2.0,3.0,262.0,7.0,6.0,14.0,86.0,25.0,,2.0,8.0,23.0,9.0,3.0,17.0,2.0,9.0,14.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,2.0,,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
9,1059789,2019-10-21 20:00:00,"Bramall Lane, Sheffield",30775.0,Away,Arsenal,Sheffield United,0,1,L,0,1,0,0,2.0,,59.0,,1.0,1.0,44.0,12.0,4.0,4.0,5.0,1.0,170.0,6.0,20.0,,1.0,7.0,3.0,194.0,150.0,59.0,9.0,28.0,1.0,2.0,,,,1.0,30.0,6.0,12.0,8.0,6.0,42.0,,275.0,,0.0,201.0,12.0,,2.0,,,79.0,100.0,3.0,91.0,1.0,22.0,13.0,4.0,6.0,1.0,150.0,1.0,5.0,178.0,835.0,6.0,5.0,32.0,5.0,527.0,29.0,2.0,7.0,,,4.0,1.0,4.0,24.0,609.0,58.0,,98980,3.0,279.0,1.0,16.0,,307.0,3.0,,13.0,7.0,62.0,4.0,1.0,5.0,,16.0,3.0,5.0,1.0,68.0,548.0,8.0,3.0,1.0,12.0,1.0,59.0,2.0,1.0,0.0,1.0,7.0,,,1.0,0.0,,,2.0,68.6,22.0,2.0,4.0,1.0,5.0,2.0,40.0,12.0,,633.0,5.0,12.0,22.0,4.0,42.0,3.0,3.0,356.0,3.0,6.0,15.0,160.0,20.0,,,7.0,17.0,7.0,3.0,29.0,,6.0,12.0,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,1.0,,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
10,1059792,2019-10-27 16:30:00,"Emirates Stadium, London",60345.0,Home,Arsenal,Crystal Palace,2,2,D,2,1,0,0,2.0,1.0,67.0,1.0,,,23.0,18.0,5.0,4.0,10.0,2.0,144.0,8.0,8.0,2.0,3.0,11.0,6.0,124.0,135.0,54.0,15.0,25.0,3.0,1.0,,,,3.0,29.0,10.0,18.0,11.0,6.0,27.0,,184.0,,0.0,131.0,18.0,1.0,1.0,2.0,2.0,66.0,74.0,6.0,61.0,2.0,18.0,10.0,5.0,6.0,3.0,135.0,,8.0,115.0,639.0,7.0,2.0,27.0,6.0,346.0,31.0,1.0,7.0,1.0,,2.0,4.0,5.0,22.0,426.0,57.0,1.0,98980,7.0,186.0,,11.0,,212.0,8.0,2.0,10.0,4.0,65.0,2.0,1.0,5.0,,15.0,2.0,4.0,1.0,50.0,362.0,8.0,8.0,3.0,16.0,6.0,60.0,1.0,1.0,0.0,2.0,5.0,2.0,2.0,,0.0,1.0,,3.0,56.2,22.0,2.0,4.0,,5.0,1.0,42.0,12.0,2.0,444.0,6.0,8.0,14.0,8.0,34.0,4.0,4.0,261.0,8.0,6.0,17.0,88.0,25.0,,,7.0,21.0,8.0,2.0,14.0,,1.0,12.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,2.0,,4.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,2.0,1.0,,,,,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,
