gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,handBall,attIboxBlocked,accurateKeeperSweeper,attSvLowCentre,attOboxTarget,attMissHighRight,cleanSheet,interceptionsInBox,totalKeeperSweeper,accurateThroughBall,errorLeadToShot,shieldBallOop,bigChanceScored,attLfGoal,attGoalLowCentre,shotFastbreak,attSvHighRight,totalFastbreak,bigChanceCreated,attMissHighLeft,attCmissHighLeft,attPenGoal,attFastbreak,attSvLowRight,punches,overrun,forwardGoals,accuratePullBack,attMissLeft,ptsGainedLosingPos,attCmissHigh,ownGoals,attCmissLeft,attIboxOwnGoal,attGoalHighRight,attOboxGoal,sixYardBlock,penaltyConceded,attGoalHighLeft,penaltyFaced,penGoalsConceded,goalFastbreak,attOneOnOne,postScoringAtt,attIboxPost,contentiousDecision,hitWoodwork,attPostRight,attObxLeft,attHdPost,attPostHigh,errorLeadToGoal,attHdTarget,attFreekickTarget,attFreekickMiss,attPostLeft,attOboxPost,attFreekickGoal,foulThrowIn,attObpGoal,clearanceOffLine,attCmissHighRight,attLgLeft,attSvHighLeft,attGoalHighCentre,attObxdLeft
1,855173,2016-08-14 16:00:00,"Emirates Stadium, London",60033,Home,Arsenal,Liverpool,3,4,L,1,1,0,0,1.0,1.0,54.0,2.0,1.0,1.0,1.0,1.0,29.0,9.0,2.0,1.0,6.0,3.0,1.0,174.0,6.0,10.0,3.0,5.0,6.0,1.0,5.0,128.0,152.0,70.0,1.0,1.0,9.0,1.0,17.0,2.0,1.0,2.0,19.0,12.0,6.0,5.0,19.0,45.0,183.0,1.0,0.0,138.0,13.0,2.0,1.0,1.0,2.0,1.0,76.0,42.0,4.0,69.0,1.0,14.0,21.0,3.0,1.0,4.0,2.0,152.0,12.0,114.0,687.0,1.0,2.0,7.0,19.0,17.0,367.0,21.0,6.0,5.0,3.0,3.0,6.0,2.0,25.0,457.0,53.0,1.0,98745,3.0,209.0,1.0,8.0,1.0,233.0,11.0,2.0,1.0,21.0,4.0,62.0,1.0,1.0,4.0,5.0,2.0,13.0,4.0,1.0,2.0,56.0,386.0,16.0,11.0,1.0,15.0,1.0,77.0,0.0,4.0,2.0,3.0,4.0,2.0,0.0,5.0,1.0,2.0,50.7,23.0,1.0,3.0,2.0,1.0,5.0,1.0,43.0,5.0,1.0,485.0,17.0,17.0,25.0,3.0,35.0,1.0,1.0,271.0,6.0,18.0,22.0,93.0,22.0,2.0,5.0,22.0,1.0,3.0,5.0,3.0,14.0,3.0,2.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855182,2016-08-20 17:30:00,"King Power Stadium, Leicester",32008,Away,Arsenal,Leicester City,0,0,D,0,0,0,0,,2.0,69.0,,,,,,17.0,27.0,8.0,5.0,5.0,1.0,2.0,195.0,2.0,22.0,,1.0,11.0,1.0,4.0,134.0,171.0,76.0,,,13.0,2.0,15.0,1.0,1.0,,21.0,14.0,19.0,6.0,23.0,40.0,285.0,,0.0,190.0,7.0,1.0,,,1.0,3.0,106.0,78.0,8.0,90.0,3.0,15.0,24.0,8.0,,2.0,3.0,171.0,3.0,136.0,810.0,,11.0,4.0,26.0,21.0,440.0,31.0,1.0,18.0,,2.0,4.0,3.0,36.0,539.0,62.0,,98745,2.0,167.0,,12.0,,190.0,5.0,,2.0,24.0,4.0,50.0,2.0,,2.0,7.0,,17.0,5.0,1.0,,54.0,450.0,11.0,6.0,,25.0,1.0,80.0,0.0,2.0,1.0,,,2.0,0.0,1.0,,,60.5,31.0,,3.0,2.0,1.0,7.0,5.0,42.0,7.0,3.0,555.0,21.0,14.0,22.0,4.0,37.0,1.0,1.0,386.0,8.0,21.0,23.0,147.0,28.0,,11.0,20.0,,,12.0,3.0,31.0,,,11.0,7.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855200,2016-08-27 15:00:00,"Vicarage Road, Watford",20545,Away,Arsenal,Watford,3,1,W,3,0,0,0,,,47.0,,,3.0,,,23.0,33.0,4.0,1.0,6.0,6.0,4.0,170.0,5.0,22.0,3.0,4.0,7.0,,7.0,119.0,126.0,75.0,,,10.0,1.0,19.0,3.0,1.0,2.0,16.0,17.0,25.0,2.0,18.0,31.0,225.0,1.0,0.0,141.0,15.0,5.0,2.0,1.0,2.0,4.0,90.0,52.0,5.0,73.0,,14.0,13.0,4.0,,2.0,2.0,126.0,8.0,128.0,724.0,,5.0,4.0,22.0,15.0,395.0,17.0,4.0,19.0,2.0,1.0,2.0,2.0,22.0,459.0,68.0,,98745,2.0,191.0,1.0,10.0,,203.0,6.0,1.0,2.0,13.0,12.0,57.0,7.0,,2.0,9.0,2.0,13.0,6.0,5.0,1.0,55.0,411.0,18.0,11.0,,18.0,,90.0,0.0,3.0,2.0,3.0,1.0,,0.0,5.0,2.0,1.0,54.7,20.0,,3.0,,,11.0,1.0,54.0,2.0,4.0,490.0,15.0,6.0,15.0,2.0,29.0,,,303.0,8.0,16.0,14.0,99.0,15.0,3.0,14.0,22.0,1.0,1.0,9.0,3.0,30.0,,3.0,7.0,2.0,2.0,,,,1.0,,,2.0,,4.0,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855203,2016-09-10 15:00:00,"Emirates Stadium, London",59962,Home,Arsenal,Southampton,2,1,W,1,1,0,0,,,66.0,1.0,1.0,3.0,,,20.0,15.0,2.0,4.0,15.0,5.0,,190.0,9.0,14.0,2.0,4.0,12.0,,2.0,164.0,144.0,48.0,,,17.0,1.0,19.0,,2.0,,28.0,10.0,13.0,6.0,22.0,32.0,335.0,1.0,0.0,199.0,10.0,4.0,1.0,,2.0,1.0,83.0,34.0,7.0,57.0,1.0,22.0,25.0,2.0,,3.0,1.0,144.0,7.0,177.0,805.0,,8.0,12.0,43.0,20.0,489.0,34.0,2.0,8.0,,2.0,2.0,5.0,24.0,571.0,69.0,1.0,98745,8.0,172.0,1.0,17.0,1.0,197.0,6.0,2.0,2.0,25.0,7.0,51.0,6.0,1.0,,4.0,,17.0,5.0,3.0,2.0,45.0,498.0,8.0,6.0,4.0,17.0,5.0,67.0,0.0,1.0,2.0,2.0,1.0,7.0,0.0,5.0,,6.0,56.7,24.0,4.0,4.0,5.0,,4.0,8.0,44.0,6.0,1.0,588.0,20.0,9.0,18.0,7.0,47.0,4.0,6.0,419.0,7.0,21.0,13.0,157.0,22.0,2.0,8.0,13.0,,1.0,10.0,3.0,21.0,,2.0,13.0,6.0,,7.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,2.0,,1.0,3.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855215,2016-09-17 15:00:00,"The MKM Stadium, Hull",22536,Away,Arsenal,Hull City,4,1,W,1,0,0,1,,2.0,61.0,1.0,1.0,,,,16.0,9.0,8.0,12.0,16.0,1.0,3.0,232.0,1.0,2.0,4.0,3.0,15.0,,9.0,221.0,106.0,32.0,1.0,,24.0,3.0,6.0,4.0,2.0,3.0,13.0,11.0,8.0,2.0,48.0,24.0,521.0,1.0,0.0,334.0,12.0,,1.0,3.0,,,74.0,76.0,12.0,114.0,1.0,11.0,17.0,8.0,,1.0,3.0,106.0,3.0,234.0,963.0,,12.0,3.0,55.0,18.0,725.0,20.0,,3.0,3.0,2.0,2.0,3.0,7.0,783.0,75.0,,98745,11.0,221.0,4.0,10.0,,232.0,8.0,2.0,3.0,17.0,3.0,48.0,5.0,,2.0,5.0,4.0,13.0,3.0,3.0,2.0,25.0,741.0,8.0,13.0,,4.0,3.0,65.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,,60.7,7.0,,5.0,2.0,,5.0,9.0,60.0,4.0,,801.0,18.0,13.0,15.0,6.0,41.0,,3.0,582.0,12.0,46.0,5.0,291.0,30.0,3.0,3.0,17.0,,1.0,20.0,3.0,7.0,,3.0,11.0,4.0,,6.0,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,,,1.0,2.0,,,,,2.0,,,,,,,1.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,855223,2016-09-24 17:30:00,"Emirates Stadium, London",60028,Home,Arsenal,Chelsea,3,0,W,3,0,0,0,,1.0,67.0,1.0,1.0,1.0,,,17.0,24.0,5.0,5.0,9.0,2.0,1.0,189.0,3.0,11.0,3.0,2.0,11.0,,5.0,128.0,154.0,48.0,,1.0,14.0,2.0,16.0,1.0,2.0,2.0,20.0,16.0,19.0,9.0,25.0,29.0,301.0,,0.0,196.0,9.0,2.0,2.0,1.0,,2.0,81.0,59.0,6.0,73.0,2.0,11.0,18.0,5.0,1.0,1.0,2.0,154.0,7.0,139.0,731.0,,7.0,1.0,30.0,20.0,424.0,25.0,3.0,14.0,2.0,0.0,2.0,5.0,20.0,504.0,63.0,,98745,5.0,140.0,,10.0,,156.0,6.0,2.0,1.0,18.0,7.0,54.0,3.0,,5.0,1.0,3.0,16.0,2.0,2.0,2.0,46.0,438.0,9.0,9.0,2.0,18.0,2.0,80.0,0.0,1.0,1.0,3.0,,,0.0,1.0,2.0,2.0,49.5,19.0,1.0,5.0,2.0,,1.0,4.0,45.0,9.0,2.0,529.0,20.0,13.0,18.0,5.0,37.0,2.0,3.0,393.0,7.0,23.0,10.0,159.0,30.0,,10.0,18.0,,,11.0,3.0,19.0,,,7.0,9.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,,2.0,1.0,1.0,1.0,,2.0,1.0,,,,1.0,,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,855232,2016-10-02 16:30:00,"Turf Moor, Burnley",20982,Away,Arsenal,Burnley,1,0,W,0,0,0,0,,1.0,62.0,1.0,,,1.0,,29.0,23.0,5.0,4.0,13.0,1.0,1.0,232.0,3.0,14.0,1.0,1.0,15.0,1.0,3.0,209.0,157.0,46.0,,1.0,18.0,2.0,20.0,2.0,4.0,,21.0,15.0,20.0,2.0,22.0,32.0,417.0,,0.0,278.0,3.0,1.0,,,,1.0,66.0,101.0,9.0,98.0,2.0,20.0,15.0,5.0,1.0,4.0,3.0,157.0,5.0,202.0,938.0,,13.0,9.0,47.0,10.0,625.0,27.0,5.0,14.0,1.0,0.0,3.0,6.0,23.0,724.0,71.0,,98745,5.0,223.0,,16.0,,245.0,,1.0,1.0,15.0,6.0,54.0,6.0,1.0,,4.0,,8.0,5.0,2.0,1.0,53.0,637.0,2.0,6.0,1.0,21.0,3.0,73.0,0.0,2.0,1.0,1.0,,3.0,0.0,3.0,,,67.2,23.0,,6.0,3.0,,4.0,7.0,47.0,6.0,1.0,741.0,10.0,18.0,17.0,8.0,43.0,1.0,4.0,517.0,14.0,21.0,14.0,225.0,24.0,6.0,13.0,16.0,,,14.0,2.0,22.0,,6.0,8.0,6.0,,5.0,,1.0,,1.0,1.0,1.0,,,,2.0,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,,2.0,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
8,855243,2016-10-15 15:00:00,"Emirates Stadium, London",60007,Home,Arsenal,Swansea City,3,2,W,2,1,1,0,1.0,1.0,85.0,,1.0,,,,22.0,17.0,5.0,5.0,10.0,4.0,2.0,181.0,3.0,18.0,3.0,1.0,12.0,,6.0,139.0,152.0,57.0,,,16.0,2.0,10.0,3.0,1.0,1.0,11.0,9.0,13.0,5.0,8.0,35.0,270.0,,0.0,217.0,7.0,1.0,3.0,1.0,1.0,,76.0,52.0,7.0,64.0,1.0,6.0,24.0,6.0,,2.0,4.0,152.0,9.0,130.0,743.0,,10.0,7.0,41.0,27.0,412.0,28.0,2.0,11.0,1.0,0.0,2.0,5.0,18.0,491.0,67.0,,98745,4.0,161.0,3.0,3.0,1.0,172.0,4.0,2.0,1.0,24.0,7.0,47.0,11.0,,9.0,3.0,2.0,20.0,4.0,6.0,,42.0,428.0,10.0,5.0,1.0,15.0,2.0,80.0,0.0,6.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,48.7,16.0,,14.0,1.0,,3.0,3.0,54.0,5.0,,514.0,27.0,17.0,18.0,7.0,34.0,1.0,,353.0,10.0,8.0,12.0,162.0,37.0,5.0,10.0,17.0,,1.0,13.0,3.0,27.0,,5.0,14.0,5.0,,1.0,3.0,2.0,,1.0,,2.0,3.0,3.0,,,3.0,1.0,1.0,2.0,,2.0,4.0,1.0,1.0,,2.0,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
9,855253,2016-10-22 15:00:00,"Emirates Stadium, London",59982,Home,Arsenal,Middlesbrough,0,0,D,0,0,0,0,,,59.0,,,,,,24.0,15.0,7.0,1.0,3.0,4.0,5.0,210.0,6.0,13.0,,5.0,6.0,1.0,6.0,206.0,165.0,59.0,,3.0,10.0,1.0,23.0,3.0,2.0,,29.0,7.0,12.0,8.0,25.0,50.0,450.0,,0.0,309.0,6.0,4.0,,1.0,1.0,1.0,90.0,91.0,5.0,86.0,1.0,21.0,20.0,7.0,3.0,4.0,3.0,165.0,8.0,204.0,909.0,,6.0,4.0,35.0,14.0,590.0,16.0,2.0,8.0,,1.0,4.0,1.0,26.0,690.0,86.0,1.0,98745,1.0,160.0,1.0,16.0,,178.0,4.0,,,20.0,3.0,55.0,6.0,,5.0,6.0,,14.0,3.0,3.0,1.0,50.0,604.0,13.0,6.0,,12.0,,71.0,0.0,3.0,4.0,,,2.0,0.0,3.0,,1.0,74.9,26.0,,4.0,,1.0,6.0,1.0,49.0,8.0,1.0,706.0,14.0,7.0,24.0,3.0,54.0,3.0,,557.0,8.0,24.0,24.0,242.0,31.0,1.0,7.0,9.0,,,7.0,2.0,26.0,,1.0,4.0,8.0,,,1.0,,3.0,,1.0,2.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,2.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,,,,,,,,,,,
10,855268,2016-10-29 12:30:00,"Stadium of Light, Sunderland",44322,Away,Arsenal,Sunderland,4,1,W,1,0,0,0,,2.0,56.0,,,,1.0,1.0,22.0,23.0,7.0,6.0,14.0,,1.0,198.0,5.0,13.0,4.0,2.0,15.0,1.0,7.0,159.0,120.0,57.0,,2.0,21.0,1.0,14.0,2.0,4.0,3.0,14.0,17.0,23.0,8.0,19.0,57.0,297.0,,0.0,178.0,13.0,,,3.0,,2.0,67.0,54.0,7.0,88.0,3.0,6.0,9.0,7.0,2.0,1.0,5.0,120.0,1.0,144.0,766.0,,10.0,4.0,27.0,15.0,495.0,29.0,1.0,15.0,4.0,3.0,1.0,8.0,17.0,570.0,73.0,,98745,7.0,215.0,2.0,5.0,,236.0,6.0,1.0,1.0,9.0,2.0,48.0,8.0,,1.0,2.0,3.0,8.0,2.0,,4.0,42.0,507.0,8.0,8.0,1.0,14.0,2.0,75.0,0.0,,,4.0,1.0,2.0,0.0,3.0,3.0,4.0,65.5,14.0,1.0,3.0,2.0,,2.0,2.0,49.0,8.0,2.0,589.0,15.0,10.0,34.0,12.0,33.0,2.0,6.0,367.0,11.0,17.0,17.0,136.0,20.0,1.0,15.0,19.0,2.0,1.0,17.0,3.0,19.0,,1.0,2.0,8.0,1.0,1.0,,,1.0,1.0,,3.0,,3.0,,1.0,1.0,1.0,2.0,,,,3.0,1.0,,,,,,1.0,2.0,,2.0,,2.0,,,,,,,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,
