gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attCmissRight,attMissLeft,attOboxTarget,attSetpiece,shieldBallOop,attSvHighCentre,attFreekickTotal,attMissHighRight,midfielderGoals,freekickTotal,overrun,attCmissHighRight,attBxLeft,attLfGoal,attBxRight,attGoalHighRight,attOboxGoal,bigChanceMissed,totalPullBack,attFreekickGoal,punches,accuratePullBack,shotFastbreak,postScoringAtt,attIboxPost,totalFastbreak,attPostLeft,hitWoodwork,attFastbreak,attPostHigh,goalsConcededObox,secondYellow,attCmissHigh,attSvLowRight,attFreekickTarget,attSvHighRight,accurateFreekickCross,goalAssistSetplay,goalAssistDeadball,attOneOnOne,attGoalHighCentre,attGoalLowRight,goalFastbreak,cleanSheet,penaltyWon,defenderGoals,attPenGoal,attOboxPost,attSvHighLeft,ownGoals,attIboxOwnGoal,clearanceOffLine,attFreekickMiss,attCmissLeft,attPostRight,foulThrowIn,attObxLeft,attFreekickPost,attLgCentre,attObxRight,attObxdLeft
1,803167,2015-08-08 15:00:00,"King Power Stadium, Leicester",32242,Away,Sunderland,Leicester City,2,4,L,0,3,0,0,1.0,2.0,61.0,1.0,1.0,1.0,32.0,14.0,3.0,3.0,4.0,1.0,171.0,1.0,6.0,5.0,2.0,3.0,9.0,5.0,105.0,152.0,60.0,11.0,1.0,16.0,3.0,4.0,2.0,2.0,20.0,15.0,13.0,3.0,5.0,30.0,154.0,0.0,91.0,17.0,4.0,1.0,3.0,3.0,53.0,46.0,5.0,56.0,1.0,1.0,17.0,15.0,9.0,3.0,151.0,2.0,1.0,16.0,110.0,636.0,1.0,5.0,13.0,2.0,11.0,324.0,26.0,1.0,8.0,3.0,2.0,4.0,4.0,4.0,4.0,25.0,414.0,53.0,2.0,3.0,7958,4.0,199.0,5.0,1.0,1.0,230.0,11.0,1.0,15.0,10.0,57.0,2.0,1.0,7.0,2.0,17.0,4.0,8.0,2.0,63.0,347.0,12.0,6.0,2.0,22.0,91.0,0.0,6.0,3.0,2.0,4.0,4.0,0.0,3.0,2.0,4.0,56.0,20.0,1.0,4.0,7.0,2.0,56.0,3.0,1.0,3.0,442.0,1.0,11.0,14.0,14.0,4.0,31.0,3.0,1.0,232.0,4.0,4.0,25.0,57.0,21.0,1.0,3.0,3.0,19.0,1.0,4.0,8.0,2.0,10.0,1.0,3.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803179,2015-08-15 15:00:00,"Stadium of Light, Sunderland",41379,Home,Sunderland,Norwich City,1,3,L,0,2,0,0,,,58.0,1.0,2.0,,24.0,20.0,3.0,1.0,3.0,,170.0,,3.0,6.0,1.0,2.0,4.0,2.0,80.0,168.0,52.0,6.0,1.0,18.0,,2.0,,,13.0,24.0,15.0,6.0,10.0,32.0,104.0,0.0,84.0,7.0,2.0,,2.0,1.0,45.0,50.0,1.0,56.0,2.0,2.0,7.0,30.0,1.0,1.0,163.0,,,9.0,80.0,575.0,,3.0,12.0,,17.0,259.0,26.0,,5.0,7.0,,2.0,1.0,8.0,3.0,20.0,368.0,59.0,,1.0,7958,3.0,166.0,4.0,,,200.0,6.0,1.0,30.0,5.0,55.0,1.0,2.0,4.0,,12.0,9.0,1.0,,74.0,267.0,6.0,15.0,1.0,33.0,93.0,0.0,6.0,1.0,1.0,3.0,2.0,0.0,1.0,,2.0,43.9,15.0,2.0,3.0,4.0,1.0,38.0,6.0,,1.0,386.0,,17.0,11.0,13.0,3.0,21.0,2.0,2.0,199.0,3.0,10.0,9.0,35.0,20.0,,4.0,6.0,31.0,,3.0,4.0,2.0,10.0,,4.0,17.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803190,2015-08-22 15:00:00,"Stadium of Light, Sunderland",39198,Home,Sunderland,Swansea City,1,1,D,0,1,0,0,2.0,,77.0,1.0,5.0,,21.0,17.0,6.0,2.0,8.0,1.0,139.0,,3.0,12.0,1.0,3.0,7.0,2.0,72.0,148.0,67.0,10.0,3.0,18.0,1.0,1.0,1.0,1.0,16.0,18.0,14.0,3.0,4.0,18.0,110.0,0.0,77.0,16.0,3.0,,1.0,1.0,36.0,32.0,3.0,40.0,2.0,1.0,13.0,6.0,5.0,3.0,145.0,,1.0,10.0,67.0,490.0,,4.0,19.0,,14.0,203.0,25.0,,11.0,4.0,1.0,1.0,4.0,4.0,4.0,15.0,295.0,49.0,,,7958,3.0,109.0,7.0,,,130.0,9.0,1.0,6.0,7.0,51.0,,4.0,3.0,1.0,10.0,10.0,4.0,1.0,58.0,216.0,9.0,10.0,2.0,32.0,79.0,0.0,4.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,39.3,11.0,1.0,3.0,3.0,3.0,36.0,3.0,,1.0,318.0,,14.0,5.0,5.0,5.0,17.0,2.0,2.0,204.0,7.0,2.0,22.0,37.0,38.0,,1.0,4.0,25.0,,1.0,4.0,3.0,16.0,,1.0,1.0,3.0,,,,,3.0,,,2.0,3.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803198,2015-08-29 15:00:00,"Villa Park, Birmingham",35399,Away,Sunderland,Aston Villa,2,2,D,1,2,0,0,,,61.0,,2.0,1.0,25.0,39.0,3.0,1.0,4.0,,148.0,1.0,2.0,5.0,2.0,1.0,6.0,3.0,72.0,147.0,67.0,7.0,,29.0,1.0,1.0,1.0,,13.0,29.0,30.0,4.0,9.0,22.0,105.0,0.0,73.0,14.0,1.0,,1.0,1.0,11.0,41.0,3.0,52.0,1.0,2.0,9.0,12.0,3.0,2.0,138.0,1.0,,14.0,57.0,537.0,,3.0,12.0,1.0,22.0,227.0,27.0,,9.0,19.0,1.0,1.0,1.0,4.0,2.0,14.0,305.0,48.0,1.0,,7958,2.0,138.0,5.0,,1.0,153.0,6.0,1.0,12.0,12.0,78.0,2.0,1.0,3.0,1.0,14.0,7.0,7.0,,65.0,241.0,8.0,15.0,1.0,34.0,73.0,0.0,5.0,2.0,1.0,2.0,3.0,0.0,1.0,,2.0,38.0,11.0,1.0,2.0,3.0,1.0,26.0,4.0,1.0,1.0,329.0,1.0,22.0,12.0,13.0,3.0,15.0,1.0,1.0,189.0,4.0,8.0,22.0,33.0,23.0,1.0,1.0,16.0,32.0,,2.0,4.0,3.0,13.0,,1.0,7.0,4.0,,,1.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803211,2015-09-13 13:30:00,"Stadium of Light, Sunderland",40303,Home,Sunderland,Tottenham Hotspur,0,1,L,0,0,0,0,,,66.0,,1.0,2.0,28.0,30.0,6.0,4.0,3.0,1.0,141.0,,2.0,8.0,,2.0,10.0,2.0,60.0,166.0,65.0,12.0,3.0,9.0,1.0,3.0,,1.0,23.0,18.0,21.0,5.0,7.0,27.0,134.0,0.0,103.0,11.0,2.0,1.0,1.0,4.0,64.0,47.0,5.0,43.0,2.0,2.0,18.0,14.0,5.0,2.0,157.0,1.0,,8.0,69.0,543.0,,10.0,18.0,,13.0,206.0,28.0,,8.0,11.0,,3.0,2.0,5.0,5.0,25.0,287.0,59.0,1.0,2.0,7958,2.0,88.0,12.0,,,104.0,7.0,,14.0,8.0,55.0,2.0,2.0,8.0,,9.0,7.0,4.0,,63.0,220.0,12.0,9.0,,27.0,82.0,0.0,8.0,2.0,,1.0,5.0,0.0,1.0,,,43.9,21.0,,3.0,8.0,5.0,42.0,6.0,,4.0,313.0,,13.0,17.0,12.0,5.0,32.0,1.0,1.0,232.0,8.0,5.0,25.0,62.0,20.0,,3.0,9.0,22.0,,1.0,12.0,3.0,17.0,,3.0,11.0,6.0,1.0,2.0,1.0,1.0,,,,,,,,2.0,,3.0,,1.0,,,1.0,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803218,2015-09-19 15:00:00,"Vitality Stadium, Bournemouth",11271,Away,Sunderland,Bournemouth,0,2,L,0,2,1,0,1.0,,59.0,,2.0,1.0,42.0,18.0,5.0,2.0,3.0,1.0,164.0,,3.0,14.0,,2.0,5.0,2.0,98.0,157.0,73.0,9.0,3.0,18.0,1.0,1.0,,,12.0,18.0,14.0,2.0,23.0,27.0,144.0,0.0,103.0,15.0,1.0,,,,60.0,48.0,3.0,75.0,2.0,1.0,10.0,22.0,6.0,2.0,153.0,1.0,1.0,7.0,79.0,619.0,1.0,4.0,15.0,,18.0,295.0,26.0,,11.0,10.0,,1.0,4.0,6.0,2.0,26.0,388.0,62.0,,,7958,2.0,176.0,4.0,,,195.0,9.0,,22.0,6.0,72.0,,4.0,1.0,,9.0,8.0,3.0,1.0,90.0,317.0,13.0,17.0,1.0,44.0,83.0,0.0,7.0,1.0,,2.0,5.0,1.0,1.0,,,46.9,20.0,,3.0,1.0,4.0,43.0,3.0,,,416.0,,18.0,11.0,13.0,3.0,18.0,2.0,1.0,233.0,7.0,22.0,21.0,57.0,26.0,,1.0,6.0,25.0,,1.0,6.0,3.0,26.0,,1.0,12.0,3.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,2.0,3.0,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,803230,2015-09-26 15:00:00,"Old Trafford, Manchester",75328,Away,Sunderland,Manchester United,0,3,L,0,1,0,0,2.0,,67.0,,3.0,1.0,29.0,18.0,4.0,3.0,4.0,2.0,137.0,,2.0,9.0,,2.0,9.0,4.0,59.0,129.0,53.0,9.0,3.0,8.0,4.0,1.0,,1.0,6.0,17.0,11.0,2.0,6.0,20.0,91.0,0.0,60.0,17.0,2.0,1.0,2.0,2.0,29.0,26.0,8.0,50.0,2.0,,4.0,7.0,,1.0,122.0,1.0,,6.0,65.0,473.0,,8.0,10.0,1.0,14.0,211.0,37.0,,13.0,3.0,,2.0,3.0,4.0,1.0,11.0,280.0,37.0,,,7958,,140.0,2.0,1.0,,159.0,7.0,,7.0,13.0,51.0,,,3.0,,10.0,6.0,6.0,,74.0,229.0,12.0,11.0,1.0,36.0,75.0,0.0,5.0,1.0,,3.0,3.0,0.0,2.0,,1.0,33.8,6.0,,2.0,3.0,4.0,31.0,2.0,,2.0,311.0,,14.0,10.0,7.0,1.0,14.0,,,158.0,4.0,5.0,11.0,33.0,19.0,,2.0,,23.0,,3.0,6.0,2.0,17.0,,2.0,7.0,2.0,1.0,,,,3.0,,,,1.0,,,3.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,803241,2015-10-03 15:00:00,"Stadium of Light, Sunderland",42932,Home,Sunderland,West Ham United,2,2,D,2,1,1,0,,,48.0,,4.0,2.0,27.0,32.0,6.0,4.0,4.0,,153.0,,2.0,4.0,2.0,3.0,9.0,3.0,73.0,137.0,52.0,12.0,2.0,21.0,1.0,1.0,1.0,,8.0,21.0,22.0,1.0,10.0,16.0,143.0,0.0,92.0,14.0,,,2.0,3.0,37.0,35.0,6.0,61.0,1.0,3.0,7.0,7.0,2.0,3.0,127.0,1.0,,12.0,80.0,547.0,,6.0,19.0,1.0,12.0,261.0,16.0,,11.0,17.0,2.0,1.0,2.0,5.0,3.0,18.0,331.0,50.0,2.0,,7958,2.0,139.0,3.0,,,156.0,9.0,1.0,7.0,13.0,62.0,2.0,2.0,1.0,1.0,8.0,8.0,7.0,1.0,62.0,280.0,9.0,9.0,1.0,24.0,85.0,0.0,8.0,,1.0,2.0,9.0,1.0,1.0,2.0,1.0,44.1,16.0,,3.0,1.0,4.0,44.0,1.0,,3.0,367.0,,12.0,11.0,5.0,5.0,19.0,1.0,2.0,219.0,7.0,8.0,15.0,52.0,17.0,1.0,6.0,14.0,25.0,,2.0,10.0,3.0,12.0,1.0,6.0,2.0,1.0,,3.0,1.0,,1.0,,1.0,,,1.0,,3.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
9,803250,2015-10-17 15:00:00,"The Hawthorns, West Bromwich",24225,Away,Sunderland,West Bromwich Albion,0,1,L,0,0,0,0,,,48.0,,,2.0,32.0,43.0,5.0,2.0,1.0,1.0,141.0,,3.0,7.0,,2.0,8.0,2.0,72.0,154.0,62.0,9.0,4.0,29.0,1.0,1.0,,1.0,19.0,15.0,34.0,5.0,10.0,27.0,141.0,0.0,100.0,13.0,1.0,,1.0,2.0,51.0,41.0,7.0,52.0,2.0,,14.0,9.0,5.0,,145.0,1.0,1.0,7.0,87.0,540.0,,7.0,8.0,1.0,11.0,242.0,25.0,1.0,11.0,18.0,,1.0,2.0,2.0,1.0,19.0,325.0,58.0,1.0,,7958,2.0,118.0,8.0,2.0,,144.0,5.0,,9.0,9.0,59.0,3.0,5.0,2.0,,10.0,2.0,4.0,,78.0,256.0,10.0,8.0,1.0,39.0,82.0,0.0,1.0,1.0,,1.0,1.0,0.0,2.0,,2.0,43.8,12.0,1.0,,2.0,6.0,38.0,5.0,,3.0,352.0,,11.0,6.0,16.0,1.0,28.0,1.0,1.0,227.0,5.0,10.0,22.0,60.0,16.0,,6.0,13.0,24.0,,1.0,5.0,3.0,10.0,1.0,6.0,3.0,5.0,,,,1.0,2.0,,1.0,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,803256,2015-10-25 12:00:00,"Stadium of Light, Sunderland",47653,Home,Sunderland,Newcastle United,3,0,W,1,0,0,1,,3.0,47.0,1.0,4.0,3.0,29.0,25.0,3.0,4.0,8.0,,143.0,1.0,4.0,5.0,3.0,2.0,8.0,3.0,60.0,140.0,42.0,9.0,2.0,14.0,,,1.0,,11.0,9.0,18.0,1.0,8.0,29.0,129.0,0.0,121.0,12.0,4.0,,1.0,,42.0,51.0,7.0,48.0,1.0,,10.0,15.0,3.0,,133.0,2.0,,13.0,60.0,495.0,,5.0,18.0,,14.0,207.0,18.0,,6.0,13.0,2.0,,0.0,5.0,1.0,23.0,290.0,75.0,,,7958,3.0,95.0,6.0,1.0,,115.0,8.0,1.0,15.0,9.0,60.0,2.0,,3.0,1.0,12.0,8.0,6.0,,66.0,220.0,7.0,15.0,1.0,25.0,65.0,0.0,10.0,4.0,3.0,,4.0,0.0,3.0,1.0,,39.7,20.0,,3.0,3.0,5.0,33.0,1.0,,,311.0,,14.0,6.0,14.0,1.0,25.0,1.0,,207.0,4.0,7.0,17.0,71.0,20.0,1.0,2.0,10.0,14.0,,,6.0,3.0,18.0,,2.0,10.0,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,2.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
