gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attObxLeft,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,attHdTarget,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,fouledFinalThird,attCmissRight,attOboxBlocked,postScoringAtt,attSvLowCentre,totalFastbreak,freekickCross,secondYellow,attObxdRight,totalFlickOn,hitWoodwork,accurateFreekickCross,errorLeadToShot,totalPullBack,attAssistSetplay,attOboxPost,attPostHigh,accurateFlickOn,shieldBallOop,attHdMiss,possWonAtt3rd,clearanceOffLine,attOpenplay,attBxRight,attIboxPost,cleanSheet,bigChanceCreated,attHdPost,accurateThroughBall,bigChanceMissed,totalThroughBall,attSvLowRight,attGoalLowLeft,attMissHighRight,attSetpiece,goalsOpenplay,forwardGoals,attLfGoal,attFreekickTotal,attGoalHighRight,attOboxGoal,freekickTotal,sixYardBlock,defenderGoals,attFreekickGoal,punches,attLfTarget,attSvHighLeft,attGoalHighLeft,attHdGoal,errorLeadToGoal,attCmissHigh,accuratePullBack,goalFastbreak,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attFreekickTarget,ownGoals,attObxdLeft,penGoalsConceded,attPenTarget,penaltyWon,attFreekickMiss,attSvHighRight,attPostLeft,attGoalHighCentre,attCmissHighLeft,attCmissHighRight,attGoalLowCentre,foulThrowIn,attPostRight,penaltySave,attPenGoal,attFreekickPost,attObxRight
1,360471,2011-08-13 15:00:00,"Anfield, Liverpool",45018,Away,Sunderland,Liverpool,1,1,D,0,1,0,0,1.0,44.0,1.0,1.0,1.0,31.0,32.0,8.0,4.0,1.0,122.0,5.0,5.0,1.0,10.0,4.0,74.0,149.0,47.0,14.0,25.0,2.0,1.0,1.0,1.0,1.0,3.0,20.0,15.0,1.0,17.0,3.0,1.0,41.0,161.0,0.0,121.0,13.0,1.0,1.0,2.0,4.0,45.0,63.0,3.0,46.0,1.0,1.0,17.0,5.0,8.0,134.0,9.0,74.0,496.0,9.0,2.0,12.0,17.0,2.0,3.0,10.0,1.0,1.0,4.0,1.0,7.0,18.0,81.0,98769,4.0,85.0,10.0,1.0,94.0,1.0,11.0,59.0,2.0,1.0,8.0,5.0,4.0,3.0,64.0,241.0,17.0,4.0,16.0,74.0,1.0,1.0,0.0,2.0,6.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,39.9,11.0,1.0,1.0,1.0,1.0,37.0,3.0,1.0,4.0,316.0,10.0,9.0,22.0,9.0,18.0,2.0,1.0,242.0,8.0,1.0,9.0,72.0,17.0,1.0,1.0,16.0,1.0,2.0,14.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360486,2011-08-20 12:00:00,"Stadium of Light, Sunderland",47751,Home,Sunderland,Newcastle United,0,1,L,0,0,1,0,,30.0,,1.0,1.0,27.0,25.0,7.0,1.0,2.0,131.0,5.0,8.0,,12.0,3.0,54.0,174.0,55.0,15.0,12.0,1.0,,1.0,,,5.0,30.0,20.0,2.0,9.0,8.0,3.0,34.0,137.0,0.0,148.0,17.0,4.0,,,2.0,33.0,73.0,6.0,38.0,,2.0,23.0,5.0,3.0,158.0,8.0,46.0,481.0,10.0,1.0,7.0,10.0,,8.0,16.0,,,2.0,2.0,6.0,28.0,85.0,98769,5.0,54.0,14.0,,63.0,,7.0,55.0,,,13.0,5.0,5.0,1.0,56.0,186.0,7.0,4.0,24.0,80.0,1.0,1.0,0.0,3.0,6.0,4.0,,1.0,1.0,3.0,,3.0,50.0,18.0,1.0,2.0,,3.0,38.0,8.0,,2.0,269.0,7.0,12.0,14.0,9.0,19.0,2.0,5.0,236.0,11.0,3.0,16.0,89.0,6.0,1.0,6.0,24.0,,3.0,18.0,1.0,7.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360495,2011-08-27 15:00:00,"Liberty Stadium, Swansea",19938,Away,Sunderland,Swansea City,0,0,D,0,0,0,0,,63.0,,,3.0,19.0,41.0,4.0,3.0,2.0,136.0,3.0,6.0,,11.0,2.0,58.0,173.0,57.0,12.0,9.0,2.0,,1.0,,,,23.0,25.0,,23.0,4.0,16.0,28.0,108.0,0.0,100.0,10.0,1.0,,,1.0,30.0,43.0,7.0,48.0,3.0,1.0,19.0,4.0,1.0,155.0,12.0,53.0,528.0,10.0,,27.0,24.0,1.0,4.0,17.0,,,1.0,4.0,4.0,24.0,74.0,98769,4.0,99.0,13.0,,120.0,,12.0,40.0,,2.0,15.0,6.0,7.0,1.0,43.0,204.0,7.0,6.0,24.0,84.0,1.0,,0.0,1.0,7.0,3.0,,,0.0,2.0,,2.0,38.0,16.0,2.0,,2.0,6.0,45.0,4.0,,1.0,295.0,19.0,10.0,15.0,4.0,21.0,1.0,2.0,198.0,7.0,10.0,18.0,56.0,30.0,2.0,9.0,26.0,,3.0,11.0,2.0,4.0,,1.0,,3.0,1.0,,1.0,2.0,,,5.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,2.0,,10.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360507,2011-09-10 15:00:00,"Stadium of Light, Sunderland",36699,Home,Sunderland,Chelsea,1,2,L,0,1,0,0,,64.0,,,1.0,31.0,24.0,7.0,2.0,1.0,156.0,6.0,5.0,1.0,9.0,3.0,73.0,175.0,41.0,13.0,10.0,2.0,,,,1.0,4.0,24.0,16.0,,10.0,4.0,8.0,17.0,153.0,0.0,122.0,7.0,3.0,,,,47.0,60.0,3.0,56.0,,,20.0,10.0,5.0,161.0,7.0,77.0,567.0,6.0,1.0,8.0,21.0,,12.0,15.0,1.0,,1.0,6.0,6.0,19.0,80.0,98769,5.0,122.0,8.0,,142.0,1.0,15.0,38.0,3.0,,13.0,12.0,4.0,1.0,59.0,269.0,3.0,3.0,31.0,102.0,,1.0,0.0,,7.0,3.0,1.0,2.0,0.0,5.0,,3.0,40.1,14.0,1.0,,,3.0,47.0,4.0,,,362.0,6.0,17.0,8.0,7.0,28.0,1.0,2.0,244.0,8.0,6.0,7.0,74.0,34.0,2.0,5.0,26.0,2.0,3.0,6.0,2.0,4.0,,2.0,,2.0,,2.0,,2.0,,,15.0,,1.0,1.0,,2.0,,,3.0,1.0,2.0,1.0,,8.0,,,,1.0,,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360515,2011-09-18 15:00:00,"Stadium of Light, Sunderland",32296,Home,Sunderland,Stoke City,4,0,W,3,0,0,0,,53.0,2.0,1.0,1.0,43.0,39.0,5.0,1.0,3.0,163.0,2.0,5.0,4.0,7.0,6.0,102.0,166.0,52.0,9.0,22.0,1.0,,2.0,,1.0,,20.0,15.0,2.0,16.0,6.0,36.0,26.0,200.0,0.0,119.0,15.0,2.0,2.0,2.0,2.0,53.0,75.0,6.0,88.0,2.0,1.0,14.0,6.0,,143.0,7.0,83.0,621.0,5.0,,11.0,21.0,,21.0,21.0,1.0,,1.0,5.0,1.0,24.0,83.0,98769,1.0,152.0,8.0,,170.0,2.0,5.0,55.0,1.0,2.0,12.0,3.0,2.0,,77.0,350.0,12.0,4.0,42.0,101.0,2.0,,0.0,2.0,6.0,1.0,2.0,,0.0,1.0,1.0,,56.7,17.0,1.0,,2.0,2.0,57.0,6.0,,3.0,436.0,5.0,8.0,15.0,1.0,21.0,1.0,1.0,286.0,8.0,36.0,17.0,72.0,23.0,3.0,10.0,18.0,,3.0,11.0,3.0,6.0,,1.0,1.0,1.0,,1.0,2.0,,,,5.0,,,,,1.0,,,,,,1.0,,6.0,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,360524,2011-09-26 20:00:00,"Carrow Road, Norwich",26107,Away,Sunderland,Norwich City,1,2,L,0,1,0,0,,75.0,1.0,2.0,,39.0,20.0,9.0,6.0,1.0,236.0,4.0,3.0,1.0,11.0,5.0,121.0,213.0,34.0,14.0,19.0,3.0,,,3.0,1.0,1.0,19.0,12.0,1.0,8.0,4.0,43.0,52.0,255.0,0.0,177.0,7.0,2.0,1.0,1.0,2.0,61.0,99.0,6.0,81.0,2.0,2.0,15.0,7.0,5.0,201.0,4.0,132.0,777.0,10.0,,18.0,37.0,1.0,10.0,12.0,1.0,3.0,1.0,5.0,5.0,30.0,99.0,98769,4.0,181.0,8.0,,212.0,,6.0,48.0,1.0,4.0,15.0,8.0,1.0,,74.0,432.0,3.0,3.0,34.0,124.0,,1.0,0.0,1.0,7.0,,,2.0,0.0,3.0,,,57.3,23.0,,1.0,4.0,2.0,59.0,4.0,,2.0,570.0,13.0,12.0,30.0,7.0,22.0,1.0,2.0,377.0,7.0,39.0,14.0,109.0,24.0,1.0,2.0,14.0,2.0,2.0,10.0,1.0,4.0,,,,2.0,,,,,,,14.0,,,1.0,,,,,4.0,,,2.0,,13.0,,,,1.0,,,2.0,3.0,2.0,,3.0,1.0,1.0,,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,360535,2011-10-01 15:00:00,"Stadium of Light, Sunderland",34815,Home,Sunderland,West Bromwich Albion,2,2,D,2,2,0,0,2.0,72.0,1.0,1.0,,36.0,23.0,6.0,,4.0,184.0,4.0,5.0,2.0,12.0,7.0,103.0,177.0,61.0,14.0,16.0,4.0,,2.0,1.0,2.0,3.0,29.0,14.0,1.0,13.0,7.0,28.0,53.0,194.0,0.0,148.0,11.0,1.0,1.0,1.0,2.0,57.0,65.0,7.0,55.0,2.0,,22.0,8.0,4.0,167.0,3.0,94.0,639.0,8.0,1.0,18.0,36.0,,6.0,16.0,2.0,1.0,2.0,3.0,5.0,20.0,84.0,98769,5.0,145.0,12.0,,168.0,1.0,6.0,47.0,3.0,3.0,13.0,6.0,6.0,1.0,67.0,335.0,14.0,4.0,23.0,95.0,2.0,1.0,0.0,3.0,4.0,,2.0,2.0,0.0,3.0,2.0,3.0,51.9,16.0,1.0,,3.0,1.0,58.0,7.0,,2.0,436.0,15.0,13.0,29.0,6.0,29.0,1.0,2.0,297.0,11.0,24.0,21.0,95.0,27.0,2.0,9.0,21.0,2.0,3.0,10.0,2.0,7.0,,4.0,,1.0,,2.0,2.0,2.0,,,18.0,,2.0,,2.0,2.0,,,8.0,1.0,1.0,1.0,,11.0,1.0,,,1.0,,2.0,1.0,5.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,360539,2011-10-16 13:30:00,"Emirates Stadium, London",60078,Away,Sunderland,Arsenal,1,2,L,1,1,0,0,,57.0,,,,15.0,31.0,4.0,2.0,,146.0,3.0,3.0,1.0,6.0,2.0,73.0,155.0,42.0,8.0,15.0,1.0,,,,,1.0,12.0,18.0,,17.0,2.0,8.0,21.0,126.0,0.0,87.0,19.0,2.0,1.0,,,29.0,63.0,3.0,42.0,1.0,1.0,10.0,3.0,1.0,141.0,13.0,70.0,525.0,4.0,1.0,18.0,32.0,1.0,5.0,18.0,,,3.0,7.0,3.0,18.0,62.0,98769,2.0,124.0,6.0,,141.0,1.0,13.0,66.0,5.0,1.0,12.0,8.0,5.0,1.0,42.0,247.0,9.0,13.0,33.0,75.0,,,0.0,,9.0,4.0,,2.0,0.0,2.0,,3.0,37.3,14.0,,,1.0,2.0,35.0,2.0,,,331.0,11.0,9.0,8.0,4.0,13.0,1.0,3.0,202.0,3.0,8.0,5.0,44.0,19.0,6.0,10.0,25.0,1.0,3.0,13.0,6.0,2.0,1.0,2.0,,2.0,,1.0,,1.0,,,13.0,,,1.0,,2.0,,,5.0,1.0,2.0,,1.0,5.0,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,360552,2011-10-22 15:00:00,"University of Bolton Stadium, Bolton",24349,Away,Sunderland,Bolton Wanderers,2,0,W,0,0,0,0,1.0,54.0,1.0,3.0,5.0,22.0,33.0,7.0,5.0,1.0,161.0,5.0,7.0,2.0,13.0,4.0,49.0,203.0,54.0,19.0,16.0,1.0,,1.0,1.0,1.0,2.0,30.0,14.0,1.0,16.0,11.0,15.0,19.0,149.0,0.0,139.0,17.0,1.0,1.0,,,37.0,55.0,7.0,48.0,3.0,1.0,19.0,8.0,4.0,186.0,5.0,53.0,545.0,9.0,,13.0,13.0,1.0,11.0,14.0,1.0,1.0,3.0,3.0,6.0,30.0,86.0,98769,8.0,66.0,8.0,,84.0,2.0,13.0,60.0,4.0,2.0,15.0,9.0,3.0,3.0,51.0,210.0,15.0,3.0,29.0,92.0,1.0,2.0,0.0,,2.0,3.0,2.0,,0.0,2.0,1.0,1.0,48.1,24.0,,,2.0,7.0,41.0,11.0,,,311.0,11.0,20.0,9.0,8.0,22.0,3.0,4.0,257.0,12.0,15.0,16.0,81.0,26.0,1.0,7.0,16.0,,1.0,12.0,1.0,11.0,,,,2.0,,2.0,,,,,13.0,1.0,,,1.0,3.0,,,4.0,1.0,1.0,3.0,,,2.0,,1.0,,,,,1.0,,1.0,1.0,2.0,,1.0,,,,,,3.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,360564,2011-10-29 15:00:00,"Stadium of Light, Sunderland",37062,Home,Sunderland,Aston Villa,2,2,D,1,1,0,0,,55.0,2.0,,3.0,20.0,26.0,6.0,4.0,2.0,164.0,12.0,6.0,2.0,12.0,5.0,79.0,179.0,52.0,16.0,17.0,1.0,,,1.0,1.0,,31.0,13.0,2.0,16.0,5.0,22.0,27.0,180.0,0.0,145.0,8.0,1.0,1.0,1.0,,47.0,63.0,7.0,59.0,1.0,,26.0,9.0,1.0,168.0,9.0,55.0,570.0,8.0,1.0,12.0,24.0,1.0,5.0,12.0,2.0,1.0,1.0,5.0,5.0,30.0,85.0,98769,5.0,84.0,13.0,,115.0,,11.0,58.0,,3.0,6.0,5.0,2.0,4.0,51.0,252.0,14.0,10.0,30.0,84.0,,,0.0,,6.0,1.0,2.0,2.0,0.0,8.0,2.0,5.0,50.0,24.0,2.0,1.0,3.0,6.0,43.0,5.0,,,357.0,8.0,14.0,16.0,5.0,22.0,4.0,4.0,273.0,6.0,18.0,12.0,88.0,22.0,3.0,7.0,20.0,1.0,3.0,15.0,4.0,5.0,1.0,6.0,,3.0,,,,4.0,,,11.0,,2.0,,1.0,2.0,,,5.0,1.0,3.0,2.0,,9.0,1.0,,,1.0,,,,3.0,,,,2.0,1.0,1.0,1.0,2.0,,,2.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
