gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,totalScoringAtt,aerialLost,attIboxTarget,attObxLeft,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,attLgLeft,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attIboxBlocked,attLfGoal,goals,attCmissRight,attOboxBlocked,attBxRight,goalAssistOpenplay,midfielderGoals,attPostLeft,attHdPost,goalAssist,attRfGoal,defenderGoals,goalsOpenplay,attMissHigh,attIboxGoal,attOboxPost,goalAssistIntentional,foulThrowIn,attBxLeft,attSvHighCentre,blockedScoringAtt,goalsConcededIbox,errorLeadToGoal,attGoalLowRight,attFreekickTotal,accurateKeeperSweeper,attOneOnOne,attMissHighRight,cleanSheet,attOboxGoal,freekickTotal,attHdTarget,attMissHighLeft,attFreekickGoal,attFreekickTarget,shieldBallOop,attCmissHigh,attFreekickMiss,attemptsIbox,attemptsObox,touchesInOppBox,accurateThroughBall,attCorner,clearanceOffLine,sixYardBlock,punches,contentiousDecision,accuratePullBack,totalPullBack,attGoalHighLeft,forwardGoals,attGoalHighCentre,attLgCentre,attPenGoal,shotFastbreak,attCmissHighLeft,attFastbreak,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,attCmissHighRight,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,ownGoals,attPostRight,attIboxOwnGoal,attHdGoal,secondYellow,goalFastbreak,penaltySave
1,694904,2013-08-17 12:45:00,"Anfield, Liverpool",44822,Away,Stoke City,Liverpool,0,1,L,0,1,0,0,1.0,1.0,2.0,58.0,2.0,26.0,31.0,2.0,3.0,10.0,4.0,144.0,6.0,6.0,4.0,8.0,6.0,102.0,159.0,74.0,1.0,12.0,15.0,3.0,1.0,1.0,1.0,3.0,17.0,1.0,23.0,3.0,27.0,6.0,20.0,29.0,135.0,1.0,0.0,90.0,12.0,6.0,1.0,1.0,2.0,4.0,1.0,40.0,46.0,3.0,61.0,2.0,2.0,11.0,21.0,4.0,2.0,155.0,1.0,17.0,109.0,669.0,4.0,14.0,1.0,14.0,327.0,30.0,10.0,13.0,1.0,1.0,5.0,5.0,25.0,406.0,44.0,1.0,1.0,61595,6.0,208.0,3.0,3.0,1.0,230.0,7.0,21.0,12.0,71.0,2.0,1.0,2.0,20.0,8.0,9.0,43.0,337.0,10.0,12.0,4.0,22.0,64.0,2.0,1.0,0.0,1.0,12.0,8.0,1.0,1.0,5.0,0.0,2.0,3.0,44.7,19.0,3.0,1.0,4.0,2.0,40.0,6.0,1.0,416.0,14.0,26.0,15.0,1.0,6.0,18.0,4.0,3.0,203.0,6.0,18.0,24.0,59.0,17.0,2.0,12.0,34.0,6.0,3.0,14.0,2.0,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694919,2013-08-24 15:00:00,"bet365 Stadium, Stoke",25270,Home,Stoke City,Crystal Palace,2,1,W,0,1,0,0,,1.0,1.0,66.0,1.0,25.0,23.0,6.0,4.0,4.0,1.0,156.0,5.0,13.0,,13.0,4.0,91.0,166.0,65.0,,14.0,24.0,,,2.0,1.0,,26.0,1.0,17.0,2.0,23.0,6.0,15.0,28.0,160.0,,0.0,116.0,14.0,3.0,,,,1.0,2.0,49.0,60.0,7.0,65.0,,2.0,20.0,24.0,9.0,1.0,166.0,2.0,7.0,97.0,640.0,9.0,8.0,2.0,11.0,309.0,15.0,9.0,11.0,,3.0,2.0,6.0,31.0,400.0,54.0,,2.0,61595,4.0,162.0,1.0,10.0,,183.0,5.0,24.0,11.0,71.0,3.0,1.0,4.0,5.0,7.0,4.0,43.0,317.0,6.0,6.0,2.0,23.0,81.0,,,0.0,2.0,,3.0,1.0,1.0,2.0,0.0,2.0,3.0,49.6,25.0,2.0,,9.0,4.0,47.0,7.0,2.0,409.0,11.0,17.0,15.0,,6.0,24.0,3.0,3.0,252.0,7.0,13.0,28.0,71.0,34.0,,11.0,20.0,11.0,3.0,27.0,,12.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694929,2013-08-31 15:00:00,"Boleyn Ground, London",34946,Away,Stoke City,West Ham United,1,0,W,0,0,0,0,,,2.0,56.0,,22.0,27.0,10.0,5.0,,1.0,148.0,5.0,7.0,3.0,9.0,5.0,77.0,140.0,64.0,,15.0,33.0,2.0,,,4.0,3.0,19.0,,15.0,2.0,27.0,4.0,14.0,31.0,185.0,,0.0,127.0,12.0,,,,,,3.0,50.0,55.0,4.0,80.0,1.0,,15.0,8.0,5.0,5.0,140.0,1.0,5.0,100.0,581.0,9.0,8.0,,7.0,308.0,24.0,11.0,19.0,1.0,1.0,2.0,5.0,18.0,394.0,61.0,,,77305,3.0,134.0,2.0,10.0,,160.0,4.0,8.0,8.0,71.0,1.0,1.0,7.0,11.0,4.0,3.0,48.0,314.0,10.0,16.0,,28.0,86.0,,1.0,0.0,,3.0,,,,2.0,0.0,3.0,2.0,55.1,12.0,1.0,,3.0,7.0,42.0,4.0,4.0,405.0,7.0,9.0,9.0,,7.0,15.0,2.0,2.0,264.0,8.0,13.0,34.0,86.0,17.0,1.0,19.0,17.0,13.0,2.0,10.0,1.0,4.0,4.0,,,1.0,,1.0,,2.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,3.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694937,2013-09-14 15:00:00,"bet365 Stadium, Stoke",25052,Home,Stoke City,Manchester City,0,0,D,0,0,0,0,,,2.0,47.0,3.0,20.0,15.0,6.0,4.0,3.0,1.0,140.0,4.0,9.0,1.0,7.0,3.0,77.0,137.0,73.0,,11.0,13.0,1.0,,,2.0,2.0,18.0,,13.0,2.0,15.0,2.0,13.0,27.0,166.0,,0.0,123.0,13.0,,,,1.0,,5.0,37.0,68.0,3.0,52.0,,1.0,16.0,14.0,7.0,3.0,137.0,3.0,2.0,87.0,567.0,7.0,9.0,,10.0,274.0,18.0,10.0,8.0,1.0,1.0,,4.0,30.0,343.0,63.0,,1.0,50089,3.0,118.0,3.0,9.0,,134.0,6.0,14.0,14.0,54.0,3.0,1.0,5.0,15.0,8.0,10.0,39.0,280.0,11.0,7.0,,22.0,75.0,,1.0,0.0,2.0,4.0,,,,3.0,0.0,4.0,2.0,42.1,26.0,2.0,,2.0,5.0,46.0,2.0,5.0,356.0,10.0,14.0,15.0,,7.0,22.0,,4.0,240.0,5.0,13.0,34.0,80.0,18.0,3.0,8.0,23.0,10.0,3.0,16.0,3.0,8.0,2.0,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694950,2013-09-22 13:30:00,"Emirates Stadium, London",60002,Away,Stoke City,Arsenal,1,3,L,1,2,0,0,,,,55.0,3.0,32.0,9.0,4.0,4.0,5.0,2.0,169.0,6.0,6.0,1.0,7.0,3.0,113.0,128.0,50.0,,10.0,19.0,,,1.0,,2.0,25.0,1.0,15.0,2.0,9.0,7.0,20.0,42.0,241.0,,0.0,142.0,14.0,2.0,2.0,,1.0,1.0,2.0,70.0,72.0,4.0,83.0,,1.0,18.0,7.0,10.0,,128.0,1.0,12.0,146.0,663.0,4.0,7.0,1.0,4.0,421.0,24.0,3.0,5.0,1.0,2.0,5.0,3.0,16.0,493.0,60.0,,,50089,6.0,199.0,1.0,7.0,,210.0,5.0,4.0,4.0,61.0,5.0,1.0,2.0,8.0,5.0,4.0,59.0,434.0,8.0,9.0,3.0,11.0,76.0,1.0,,0.0,,6.0,3.0,,3.0,3.0,0.0,2.0,4.0,49.6,16.0,3.0,,2.0,2.0,50.0,7.0,2.0,511.0,4.0,18.0,19.0,,4.0,28.0,4.0,3.0,326.0,2.0,17.0,16.0,97.0,23.0,1.0,5.0,20.0,4.0,3.0,11.0,1.0,4.0,7.0,1.0,,2.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,3.0,3.0,,1.0,,1.0,,,,1.0,,,,,,2.0,,,6.0,4.0,14.0,2.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694957,2013-09-29 13:30:00,"bet365 Stadium, Stoke",26184,Home,Stoke City,Norwich City,0,1,L,0,1,0,0,1.0,,,66.0,1.0,28.0,29.0,4.0,1.0,2.0,1.0,187.0,3.0,7.0,3.0,6.0,1.0,109.0,174.0,76.0,,8.0,27.0,,,,,3.0,25.0,,19.0,1.0,29.0,7.0,29.0,38.0,195.0,,0.0,127.0,14.0,2.0,1.0,,1.0,3.0,,57.0,79.0,2.0,74.0,1.0,,18.0,16.0,5.0,2.0,174.0,,3.0,93.0,687.0,4.0,13.0,,12.0,354.0,37.0,14.0,21.0,1.0,2.0,2.0,4.0,34.0,449.0,82.0,,1.0,77305,2.0,172.0,,10.0,,197.0,6.0,16.0,6.0,85.0,1.0,4.0,2.0,9.0,5.0,5.0,60.0,364.0,12.0,9.0,2.0,40.0,90.0,,1.0,0.0,1.0,3.0,1.0,,1.0,5.0,0.0,,2.0,55.8,31.0,2.0,,,2.0,47.0,7.0,,463.0,12.0,22.0,14.0,,5.0,20.0,3.0,3.0,291.0,5.0,25.0,38.0,78.0,22.0,1.0,21.0,22.0,6.0,3.0,20.0,1.0,9.0,7.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,2.0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694962,2013-10-05 15:00:00,"Craven Cottage, London",24634,Away,Stoke City,Fulham,0,1,L,0,0,0,0,,,,68.0,,22.0,14.0,9.0,3.0,1.0,1.0,171.0,11.0,8.0,3.0,14.0,3.0,122.0,152.0,62.0,,16.0,17.0,2.0,,,,3.0,27.0,,12.0,1.0,14.0,5.0,27.0,22.0,211.0,,0.0,122.0,13.0,1.0,1.0,1.0,2.0,2.0,2.0,75.0,70.0,6.0,72.0,2.0,3.0,22.0,12.0,5.0,4.0,152.0,1.0,3.0,135.0,707.0,9.0,12.0,,18.0,389.0,30.0,5.0,7.0,1.0,2.0,4.0,8.0,24.0,484.0,58.0,1.0,,77305,6.0,202.0,1.0,15.0,2.0,227.0,3.0,12.0,4.0,60.0,3.0,5.0,7.0,6.0,6.0,3.0,46.0,402.0,10.0,13.0,5.0,22.0,83.0,,2.0,0.0,3.0,7.0,1.0,,1.0,3.0,0.0,7.0,5.0,55.8,19.0,3.0,,3.0,7.0,46.0,5.0,2.0,500.0,18.0,13.0,11.0,,9.0,15.0,4.0,5.0,300.0,8.0,24.0,28.0,81.0,27.0,5.0,7.0,16.0,9.0,3.0,13.0,5.0,4.0,5.0,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,4.0,1.0,1.0,,1.0,1.0,,,,,1.0,2.0,,,,2.0,3.0,,,,,3.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,694977,2013-10-19 15:00:00,"bet365 Stadium, Stoke",25904,Home,Stoke City,West Bromwich Albion,0,0,D,0,0,0,0,,,1.0,53.0,2.0,24.0,25.0,3.0,2.0,5.0,2.0,136.0,5.0,6.0,3.0,9.0,3.0,100.0,143.0,55.0,,9.0,19.0,1.0,,,,1.0,19.0,,19.0,2.0,25.0,6.0,18.0,31.0,172.0,,0.0,112.0,12.0,3.0,1.0,,,2.0,3.0,63.0,76.0,3.0,53.0,4.0,,13.0,17.0,1.0,2.0,143.0,1.0,8.0,112.0,607.0,7.0,7.0,,23.0,301.0,23.0,9.0,11.0,,1.0,2.0,6.0,20.0,388.0,66.0,1.0,1.0,77305,2.0,143.0,1.0,10.0,,169.0,2.0,17.0,12.0,55.0,,2.0,5.0,10.0,4.0,7.0,48.0,310.0,10.0,11.0,2.0,26.0,75.0,2.0,1.0,0.0,2.0,6.0,3.0,,,2.0,0.0,3.0,2.0,49.7,15.0,2.0,,1.0,5.0,39.0,6.0,3.0,401.0,23.0,9.0,17.0,1.0,6.0,16.0,2.0,4.0,251.0,5.0,16.0,21.0,66.0,18.0,2.0,11.0,20.0,7.0,3.0,11.0,2.0,10.0,6.0,,,,,,,,2.0,,,,,,,,,4.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,3.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,694985,2013-10-26 15:00:00,"Old Trafford, Manchester",75274,Away,Stoke City,Manchester United,2,3,L,2,1,0,0,,,1.0,52.0,1.0,22.0,39.0,2.0,1.0,2.0,2.0,118.0,6.0,7.0,1.0,5.0,5.0,60.0,110.0,50.0,,10.0,7.0,3.0,,,2.0,,12.0,,11.0,,39.0,2.0,13.0,20.0,102.0,,0.0,75.0,18.0,2.0,,,1.0,,2.0,48.0,37.0,4.0,43.0,1.0,,10.0,18.0,1.0,,110.0,3.0,6.0,61.0,475.0,4.0,17.0,,18.0,193.0,27.0,12.0,20.0,1.0,6.0,6.0,1.0,16.0,266.0,53.0,,,77305,4.0,109.0,3.0,9.0,,131.0,9.0,18.0,10.0,48.0,,,1.0,7.0,13.0,5.0,39.0,205.0,8.0,12.0,1.0,26.0,61.0,,,0.0,1.0,12.0,1.0,,3.0,5.0,0.0,5.0,,33.3,14.0,,,1.0,2.0,33.0,2.0,2.0,282.0,18.0,9.0,12.0,,2.0,10.0,1.0,2.0,163.0,9.0,12.0,19.0,38.0,17.0,4.0,20.0,18.0,8.0,3.0,9.0,4.0,13.0,2.0,1.0,1.0,2.0,,2.0,,1.0,,,,,,,2.0,,1.0,2.0,1.0,,,,1.0,,3.0,3.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,2.0,,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10,694997,2013-11-02 15:00:00,"bet365 Stadium, Stoke",26053,Home,Stoke City,Southampton,1,1,D,1,1,0,0,,,1.0,66.0,1.0,19.0,23.0,3.0,1.0,1.0,1.0,165.0,4.0,10.0,2.0,7.0,3.0,54.0,179.0,59.0,,9.0,15.0,1.0,,,,2.0,16.0,,20.0,1.0,23.0,5.0,17.0,34.0,124.0,,0.0,100.0,13.0,,,1.0,,2.0,,70.0,38.0,2.0,53.0,2.0,2.0,11.0,24.0,1.0,1.0,179.0,1.0,5.0,53.0,548.0,5.0,13.0,,13.0,200.0,25.0,9.0,8.0,,3.0,1.0,5.0,34.0,307.0,76.0,,,77305,2.0,91.0,1.0,8.0,,116.0,,24.0,11.0,53.0,,,3.0,21.0,5.0,5.0,45.0,211.0,13.0,11.0,1.0,31.0,103.0,1.0,,0.0,2.0,5.0,,,1.0,5.0,0.0,2.0,2.0,39.2,25.0,2.0,,3.0,4.0,51.0,5.0,,325.0,13.0,8.0,14.0,,5.0,19.0,2.0,4.0,225.0,6.0,15.0,15.0,49.0,30.0,5.0,8.0,23.0,6.0,2.0,16.0,5.0,15.0,5.0,,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
