matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2292926,12,2022-10-20 20:15:00,"King Power Stadium, Leicester",30814.0,Away,Leeds,Leicester,0,2,L,0,2,0,0,,14.0,2.0,8.0,4.0,,,1.0,,1.0,1.0,,,11.0,5.0,26.0,50.0,518.0,406.0,53.2,25.0,30.0,16.0,12.0,14.0,14.0,23.0,3.0,1.0,,5.0,14.0,165.0,,2.0,,,1.0,60.0,48.0,12.0,6.0,9.0,9.0,3.0,11.0,14.0,0.0,0.0,,,2.0
2292933,13,2022-10-23 14:00:00,"Elland Road, Leeds",36447.0,Home,Leeds,Fulham,2,3,L,1,1,0,0,2.0,14.0,5.0,4.0,5.0,,,3.0,2.0,2.0,,,1.0,12.0,8.0,27.0,68.0,488.0,390.0,57.2,24.0,22.0,9.0,12.0,7.0,7.0,10.0,4.0,,,13.0,8.0,149.0,1.0,3.0,,,,47.0,58.0,14.0,17.0,3.0,3.0,1.0,12.0,7.0,0.0,0.0,,,4.0
2292947,14,2022-10-29 19:45:00,"Anfield, Liverpool",53274.0,Away,Leeds,Liverpool,2,1,W,1,1,0,0,2.0,14.0,6.0,6.0,2.0,,,1.0,1.0,1.0,1.0,,1.0,9.0,5.0,22.0,58.0,304.0,192.0,31.0,19.0,21.0,7.0,10.0,47.0,47.0,15.0,4.0,1.0,,12.0,9.0,163.0,9.0,1.0,,,,48.0,47.0,15.0,15.0,4.0,5.0,1.0,3.0,8.0,0.0,0.0,,,
2292953,15,2022-11-05 15:00:00,"Elland Road, Leeds",36304.0,Home,Leeds,Bournemouth,4,3,W,1,2,0,0,4.0,18.0,4.0,6.0,8.0,,,1.0,2.0,,,,2.0,15.0,9.0,48.0,64.0,443.0,362.0,60.9,30.0,26.0,17.0,6.0,14.0,14.0,10.0,2.0,,,10.0,8.0,150.0,2.0,3.0,,,,65.0,53.0,25.0,13.0,13.0,13.0,1.0,16.0,9.0,0.0,0.0,1.0,1.0,
2292967,16,2022-11-12 15:00:00,"Tottenham Hotspur Stadium, London",61667.0,Away,Leeds,Spurs,3,4,L,2,1,1,0,3.0,12.0,5.0,2.0,5.0,,,4.0,3.0,1.0,,,3.0,9.0,9.0,14.0,67.0,464.0,366.0,45.3,17.0,19.0,10.0,6.0,24.0,24.0,9.0,4.0,,,12.0,7.0,142.0,3.0,4.0,,,,42.0,45.0,13.0,14.0,2.0,2.0,3.0,7.0,8.0,0.0,0.0,,,1.0
2292976,17,2022-12-28 20:00:00,"Elland Road, Leeds",36889.0,Home,Leeds,Man City,1,3,L,0,1,0,0,1.0,9.0,1.0,4.0,4.0,,,,,,,,1.0,5.0,2.0,17.0,30.0,307.0,225.0,31.0,18.0,13.0,6.0,4.0,19.0,19.0,13.0,5.0,,1.0,8.0,7.0,123.0,6.0,3.0,,,,38.0,39.0,5.0,7.0,3.0,3.0,,11.0,14.0,0.0,0.0,,,
2292985,18,2022-12-31 15:00:00,"St. James' Park, Newcastle",52211.0,Away,Leeds,Newcastle,0,0,D,0,0,0,0,,8.0,1.0,3.0,4.0,,,,,,,,,7.0,4.0,18.0,52.0,297.0,189.0,41.0,11.0,32.0,18.0,10.0,23.0,23.0,13.0,2.0,,,9.0,6.0,150.0,5.0,,,1.0,,59.0,59.0,12.0,15.0,3.0,3.0,,19.0,11.0,0.0,0.0,,,
2292996,19,2023-01-04 19:45:00,"Elland Road, Leeds",36173.0,Home,Leeds,West Ham,2,2,D,1,1,0,0,2.0,14.0,6.0,6.0,2.0,,,1.0,1.0,1.0,,,2.0,11.0,8.0,29.0,38.0,476.0,378.0,63.3,23.0,19.0,13.0,13.0,21.0,21.0,9.0,2.0,,1.0,3.0,14.0,161.0,,2.0,,,,65.0,58.0,23.0,25.0,8.0,8.0,2.0,11.0,18.0,0.0,0.0,,,3.0
2293000,20,2023-01-13 20:00:00,"Villa Park, Birmingham",42008.0,Away,Leeds,Aston Villa,1,2,L,0,1,0,0,1.0,16.0,4.0,4.0,8.0,,,3.0,1.0,4.0,1.0,,1.0,12.0,9.0,40.0,57.0,357.0,248.0,46.6,35.0,27.0,14.0,12.0,7.0,7.0,13.0,2.0,,,8.0,14.0,189.0,3.0,2.0,,,,56.0,70.0,11.0,16.0,11.0,11.0,2.0,18.0,12.0,0.0,0.0,,,5.0
2293014,21,2023-01-22 14:00:00,"Elland Road, Leeds",36260.0,Home,Leeds,Brentford,0,0,D,0,0,0,0,,9.0,5.0,1.0,3.0,,,,,,,,,7.0,7.0,38.0,64.0,501.0,369.0,58.5,19.0,17.0,8.0,7.0,18.0,18.0,16.0,1.0,,,7.0,9.0,176.0,,,,1.0,,60.0,49.0,18.0,18.0,2.0,2.0,,10.0,18.0,0.0,0.0,,,1.0
