playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,iboxTarget,shotsOnTargetInBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,expectedGoals,successfulCrossesOpenPlay,goalAssists,offsides,oboxBlocked,successfulCrossesAndCorners,lastPlayerTackle,shotsBlockedOutsideBox,clearancesOffTheLine,handballsConceded,ownGoalScored,foulWonPenalty,goals,awayGoals,homeGoals,headedGoals,hitWoodwork,unsuccessfulLayoffs,cornersTakenInclShortCorners,successfulCornersIntoBox,rightFootGoals,unsuccessfulCornersIntoBox,leftFootGoals,shotsOnTargetOutsideBox,penaltiesTaken,oboxTarget,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltyGoals
200720,Caoimhín Kelleher,Goalkeeper,Brentford,Ireland,2025-26,6.0,3.0,0.2554,0.0,23.0,1.0,38.0,1.0,2.0,37.0,37.0,450.0,1295.0,199.0,1.0,9.0,10.0,8.0,3330.0,2.0,16.0,4.0,3.0,9.0,597.0,3.0,31.0,5.0,49.0624,2.0,118.0,47.0,49.0,4.0,223.0,110.0,6.0,0.0,22.0,10.0,795.0,300.0,37.0,4.0,1.0,173.0,45.0,13.0,7.0,0.0,249.0,945.0,460.0,3.0,115.0,29.0,277.0,3.0,1.0,248.0,1674.0,275.0,672.0,3.0,69.0,1.0,448.0,61.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507433,Hákon Valdimarsson,Goalkeeper,Brentford,Iceland,2025-26,,,0.0011,0.0,,,,,,1.0,1.0,11.0,41.0,6.0,,,,,90.0,,,,,,18.0,,,,1.2825,,4.0,,3.0,,10.0,1.0,,0.0,,,21.0,7.0,1.0,,,7.0,3.0,,,0.0,9.0,31.0,11.0,,3.0,1.0,10.0,,,12.0,48.0,8.0,23.0,,1.0,0.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235448,Ellery Balcombe,Goalkeeper,Brentford,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535017,Julian Eyestone,Goalkeeper,Brentford,United States,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472713,Aaron Hickey,Defender,Brentford,Scotland,2025-26,33.0,,0.1384,0.0,,15.0,,,35.0,21.0,8.0,47.0,286.0,,,18.0,,,685.0,9.0,33.0,2.0,,24.0,228.0,,,,8.969,1.0,3.0,23.0,9.0,24.0,115.0,,9.0,0.0,66.0,,78.0,35.0,21.0,,8.0,104.0,7.0,48.0,9.0,0.0,,279.0,81.0,1.0,,,27.0,7.0,8.0,11.0,447.0,8.0,135.0,4.0,,1.0,12.0,20.0,,1.0,1.0,1.0,0.2445,5.0,2.0,4.0,13.0,1.0,1.0,14.0,10.0,9.0,1.0,6.0,7.0,4.0,12.0,1.0,4.0,1.0,7.0,6.0,66.0,39.0,7.0,0.4549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194010,Rico Henry,Defender,Brentford,Jamaica,2025-26,68.0,,0.5462,0.0,,15.0,,,75.0,25.0,14.0,111.0,481.0,,,40.0,3.0,,1328.0,21.0,66.0,1.0,1.0,47.0,347.0,,,4.0,20.6413,3.0,5.0,41.0,22.0,47.0,118.0,,17.0,0.0,134.0,,180.0,72.0,25.0,,4.0,174.0,21.0,94.0,19.0,0.0,,480.0,218.0,15.0,,,39.0,15.0,8.0,23.0,817.0,20.0,199.0,5.0,,2.0,36.0,43.0,,1.0,,2.0,,4.0,1.0,22.0,11.0,,,21.0,14.0,26.0,,1.0,15.0,22.0,24.0,,4.0,7.0,11.0,5.0,144.0,79.0,8.0,0.1792,3.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
444765,Sepp van den Berg,Defender,Brentford,Netherlands,2025-26,96.0,,1.4865,0.0,,23.0,,1.0,113.0,32.0,30.0,163.0,1422.0,29.0,,211.0,8.0,,2761.0,71.0,175.0,3.0,,35.0,1206.0,,,3.0,39.1401,5.0,6.0,195.0,41.0,25.0,450.0,,11.0,0.0,271.0,,444.0,109.0,32.0,,13.0,332.0,38.0,60.0,140.0,0.0,29.0,1377.0,184.0,1.0,,,409.0,15.0,29.0,53.0,1815.0,32.0,927.0,3.0,,2.0,50.0,53.0,,3.0,7.0,,2.0279,20.0,,,2.0,7.0,7.0,18.0,55.0,1.0,2.0,11.0,,,4.0,2.0,13.0,4.0,10.0,23.0,119.0,3.0,,3.1253,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
231065,Ethan Pinnock,Defender,Brentford,Jamaica,2025-26,14.0,,0.0603,0.0,,5.0,,,14.0,4.0,4.0,23.0,133.0,1.0,,23.0,1.0,,321.0,10.0,20.0,,,7.0,101.0,,,,3.885,,4.0,27.0,5.0,4.0,29.0,,2.0,0.0,34.0,,55.0,11.0,4.0,,1.0,23.0,5.0,11.0,13.0,0.0,1.0,132.0,27.0,1.0,,,33.0,,5.0,9.0,196.0,4.0,87.0,,,1.0,9.0,6.0,,,1.0,,0.1209,1.0,,,,1.0,1.0,3.0,9.0,2.0,,2.0,,,1.0,,,1.0,4.0,5.0,16.0,,3.0,0.0106,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
191866,Kristoffer Ajer,Defender,Brentford,Norway,2025-26,89.0,,0.7218,0.0,,37.0,,,80.0,27.0,20.0,141.0,706.0,,,105.0,4.0,,1807.0,45.0,105.0,2.0,1.0,45.0,541.0,,,3.0,28.1905,3.0,9.0,119.0,32.0,44.0,161.0,,5.0,0.0,194.0,,262.0,59.0,27.0,,15.0,156.0,30.0,89.0,60.0,0.0,,703.0,180.0,3.0,,,212.0,23.0,18.0,24.0,1026.0,30.0,410.0,11.0,,4.0,61.0,29.0,,2.0,3.0,,0.5102,8.0,,6.0,7.0,3.0,3.0,19.0,47.0,2.0,1.0,9.0,8.0,6.0,14.0,1.0,5.0,7.0,22.0,16.0,71.0,26.0,7.0,0.7805,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
432830,Nathan Collins,Defender,Brentford,Ireland,2025-26,114.0,,1.622,0.0,,31.0,,,137.0,35.0,32.0,296.0,1753.0,65.0,,162.0,9.0,,2972.0,73.0,144.0,4.0,1.0,55.0,1369.0,,,4.0,44.7338,9.0,21.0,209.0,44.0,41.0,459.0,,17.0,0.0,258.0,,650.0,139.0,35.0,,17.0,409.0,40.0,96.0,89.0,0.0,53.0,1653.0,333.0,7.0,12.0,,514.0,20.0,37.0,88.0,2245.0,93.0,1049.0,3.0,,7.0,159.0,81.0,,4.0,6.0,1.0,1.6987,16.0,,,3.0,5.0,5.0,18.0,80.0,,3.0,14.0,3.0,,13.0,3.0,10.0,4.0,14.0,41.0,130.0,4.0,,2.2774,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
