playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,crossesNotClaimed,substituteOn,unsuccessfulCrossesOpenPlay,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,successfulLayoffs,foulWonPenalty,offsides,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,shotsBlockedInBox,tacklesLost,lastPlayerTackle,iboxBlocked,shotsOffTargetIncWoodwork,clearancesOffTheLine,foulAttemptedTackle,expectedGoals,goals,awayGoals,penaltiesConceded,ownGoalScored,homeGoals,headedGoals,hitWoodwork,throughBalls,oboxBlocked,leftFootGoals,shotsBlockedOutsideBox,handballsConceded,shotsOnTargetOutsideBox,oboxTarget,rightFootGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals
118342,Mark Flekken,Goalkeeper,Brentford,Netherlands,2024-25,6.0,0.1482,0.0,43.0,4.0,46.0,12.0,37.0,2.0,37.0,448.0,1588.0,212.0,5.0,4.0,7.0,1.0,3276.0,12.0,5.0,2.0,8.0,802.0,20.0,1.0,53.4148,1.0,108.0,46.0,55.0,6.0,367.0,153.0,3.0,0.0,18.0,2.0,3.0,865.0,317.0,37.0,3.0,201.0,50.0,14.0,4.0,0.0,239.0,1193.0,3.0,466.0,4.0,1.0,95.0,37.0,356.0,338.0,1986.0,1.0,259.0,939.0,104.0,1.0,436.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507433,Hákon Valdimarsson,Goalkeeper,Brentford,Iceland,2024-25,,0.0045,0.0,2.0,,3.0,,2.0,,1.0,24.0,63.0,16.0,,1.0,,,144.0,1.0,,,,21.0,1.0,,0.5762,,9.0,3.0,2.0,,9.0,3.0,,0.0,1.0,,,41.0,14.0,2.0,,12.0,2.0,,1.0,0.0,13.0,41.0,,24.0,,,10.0,,13.0,18.0,78.0,,12.0,27.0,,0.0,24.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535017,Julian Eyestone,Goalkeeper,Brentford,United States,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472713,Aaron Hickey,Defender,Brentford,Scotland,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194010,Rico Henry,Defender,Brentford,Jamaica,2024-25,11.0,0.0087,0.0,,2.0,,6.0,5.0,,,12.0,37.0,,,4.0,,,94.0,6.0,1.0,6.0,4.0,25.0,,,2.0558,,,2.0,3.0,9.0,9.0,,2.0,0.0,17.0,3.0,,17.0,7.0,5.0,,12.0,2.0,13.0,2.0,0.0,,37.0,,23.0,2.0,,,,1.0,,68.0,,6.0,13.0,,0.0,6.0,4.0,,5.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444765,Sepp van den Berg,Defender,Brentford,Netherlands,2024-25,120.0,0.5309,0.0,,39.0,,136.0,31.0,,29.0,173.0,1209.0,21.0,,172.0,5.0,,2588.0,142.0,5.0,21.0,48.0,999.0,,1.0,43.9307,6.0,10.0,131.0,49.0,42.0,318.0,,5.0,0.0,262.0,14.0,,432.0,97.0,31.0,,296.0,44.0,90.0,94.0,0.0,21.0,1170.0,,212.0,24.0,4.0,,,306.0,37.0,1628.0,4.0,20.0,743.0,,3.0,37.0,62.0,,2.0,4.0,78.0,50.0,8.0,3.0,4.0,10.0,38.0,23.0,21.0,153.0,53.0,3.0,2.0,6.0,1.0,0.7375,18.0,2.0,1.0,1.0,3.0,6.0,6.0,1.0,2.0,15.0,1.0,2.0,12.0,1.0,3.0,1.9645,,,,,,,,,,,,,,,,,,,,,,,,
231065,Ethan Pinnock,Defender,Brentford,Jamaica,2024-25,72.0,0.6529,0.0,,35.0,,72.0,22.0,,21.0,128.0,1032.0,72.0,,107.0,2.0,,1913.0,105.0,2.0,19.0,41.0,858.0,,1.0,33.1486,8.0,5.0,139.0,35.0,29.0,368.0,,4.0,1.0,177.0,11.0,,366.0,50.0,22.0,,223.0,33.0,70.0,64.0,0.0,72.0,945.0,7.0,168.0,19.0,3.0,,,209.0,46.0,1370.0,1.0,31.0,682.0,,2.0,56.0,50.0,,1.0,8.0,43.0,24.0,20.0,6.0,8.0,10.0,18.0,8.0,24.0,89.0,19.0,1.0,,6.0,,2.7528,10.0,,,,1.0,4.0,4.0,,,16.0,1.0,,4.0,,3.0,1.0926,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
51927,Ben Mee,Defender,Brentford,England,2024-25,10.0,0.0264,0.0,,2.0,,13.0,7.0,,2.0,26.0,116.0,3.0,,10.0,,,181.0,7.0,,1.0,2.0,84.0,,,4.0478,,1.0,7.0,4.0,5.0,34.0,,,0.0,17.0,,,50.0,11.0,7.0,,31.0,4.0,7.0,5.0,0.0,3.0,108.0,,28.0,2.0,,,,19.0,6.0,139.0,1.0,9.0,59.0,,2.0,13.0,8.0,,5.0,,5.0,3.0,1.0,,,,3.0,5.0,4.0,13.0,3.0,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
191866,Kristoffer Ajer,Defender,Brentford,Norway,2024-25,68.0,0.4981,0.0,,26.0,,99.0,24.0,,17.0,124.0,558.0,,,51.0,1.0,,1441.0,66.0,2.0,31.0,38.0,414.0,,,20.2482,8.0,3.0,47.0,25.0,45.0,87.0,,6.0,0.0,134.0,13.0,,242.0,42.0,24.0,,222.0,23.0,83.0,28.0,0.0,,556.0,8.0,175.0,18.0,7.0,,,133.0,20.0,830.0,12.0,14.0,216.0,,5.0,25.0,32.0,,7.0,10.0,23.0,39.0,5.0,8.0,10.0,20.0,4.0,13.0,12.0,96.0,66.0,4.0,4.0,3.0,,1.6054,5.0,1.0,,2.0,4.0,3.0,3.0,,4.0,8.0,1.0,4.0,2.0,,7.0,0.9559,,,,,,,,,,,,,,,,,,,,,,,,
432830,Nathan Collins,Defender,Brentford,Ireland,2024-25,124.0,1.5761,0.0,,40.0,,164.0,38.0,3.0,38.0,268.0,1961.0,3.0,,189.0,8.0,,3420.0,194.0,5.0,28.0,75.0,1613.0,,1.0,53.991,7.0,16.0,220.0,57.0,54.0,363.0,,31.0,1.0,318.0,20.0,,715.0,162.0,38.0,,517.0,52.0,129.0,119.0,0.0,3.0,1889.0,4.0,313.0,24.0,6.0,,,672.0,80.0,2496.0,,54.0,1178.0,,5.0,104.0,85.0,,,6.0,70.0,71.0,1.0,5.0,6.0,13.0,57.0,29.0,34.0,211.0,10.0,2.0,3.0,6.0,,2.8613,14.0,,2.0,6.0,2.0,4.0,4.0,1.0,2.0,16.0,2.0,2.0,8.0,,11.0,2.5006,2.0,0.0,,,2.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
607464,Michael Kayode,Defender,Brentford,Italy,2024-25,27.0,0.6936,0.0,,17.0,,20.0,12.0,1.0,6.0,26.0,173.0,,,13.0,1.0,,528.0,38.0,1.0,6.0,29.0,140.0,,,5.9054,7.0,3.0,17.0,5.0,23.0,6.0,,3.0,0.0,65.0,3.0,,57.0,34.0,12.0,,76.0,4.0,52.0,9.0,0.0,,173.0,6.0,83.0,11.0,9.0,,,76.0,7.0,337.0,5.0,5.0,74.0,,2.0,6.0,11.0,,6.0,7.0,4.0,13.0,24.0,8.0,7.0,11.0,,8.0,7.0,34.0,34.0,3.0,,,2.0,,2.0,,,,3.0,,,,,6.0,1.0,,2.0,,2.0,0.2065,,,,,,,,,,,,,,,,,,,,,,,,
570241,Kim Ji-Soo,Defender,Brentford,South Korea,2024-25,2.0,0.0027,0.0,,,,1.0,3.0,,,3.0,28.0,,,,,,28.0,,,,,21.0,,,,,1.0,2.0,,2.0,13.0,,,0.0,2.0,,,9.0,,3.0,,12.0,,2.0,,0.0,,27.0,,4.0,,,,,6.0,4.0,31.0,,1.0,13.0,,0.0,2.0,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
