fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round,opponent_team_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out,ict_index,avg_value,team_id,team,players_used,players_played
10,11,False,2025-08-18T19:00:00Z,1,0,1,Leeds,25,988,0,0,1,11,0,0,0,2,0,2,0,110,160.6,73.9,62.0,40,44,16,77,11,0.57,0.43000000000000005,0.9999999999999999,22.769999999999996,0,5405944,0,0,29.6,49.5,9,Everton,32,13
16,6,True,2025-08-24T13:00:00Z,2,0,2,Brighton,78,988,2,2,11,0,0,1,0,4,0,4,6,260,276.8,147.5,101.0,46,44,15,87,11,1.5899999999999999,0.98,2.5700000000000003,26.730000000000004,-486325,5243086,185303,671628,52.5,49.1,9,Everton,34,15
30,20,False,2025-08-30T14:00:00Z,2,3,3,Wolves,58,1054,3,3,1,22,0,0,0,1,0,2,6,217,300.20000000000005,154.29999999999998,169.0,49,51,16,94,11,2.14,1.46,3.5999999999999996,12.48,304359,5964836,959439,655080,62.4,49.1,9,Everton,35,16
36,2,True,2025-09-13T14:00:00Z,0,0,4,Aston Villa,49,1033,0,0,11,1,0,0,0,4,0,1,2,201,164.8,235.6,192.0,27,49,24,81,11,2.1399999999999997,1.3,3.44,6.8100000000000005,1491335,7677851,2269323,777988,59.2,49.0,9,Everton,36,14
46,12,False,2025-09-20T11:30:00Z,2,1,5,Liverpool,33,1014,1,1,0,22,0,0,0,4,0,1,1,122,206.2,135.10000000000002,86.0,38,49,18,85,11,0.7000000000000001,0.6299999999999999,1.33,10.29,-62456,7611648,585174,647630,42.7,48.8,9,Everton,36,15
55,19,True,2025-09-29T19:00:00Z,1,1,6,West Ham,35,988,1,1,0,11,0,0,0,3,0,2,3,165,228.39999999999998,151.5,155.0,48,45,10,82,11,0.74,0.66,1.4,12.87,657815,8487414,1355920,698105,53.5,48.8,9,Everton,36,13
66,8,True,2025-10-05T13:00:00Z,2,1,7,Crystal Palace,50,990,2,1,0,11,0,0,0,2,0,5,6,197,288.40000000000003,157.9,206.0,52,48,19,98,11,2.1399999999999997,1.58,3.72,18.149999999999995,-398054,8019219,337421,735475,65.2,48.8,9,Everton,36,15
76,13,False,2025-10-18T14:00:00Z,2,0,8,Man City,27,985,0,0,0,22,0,0,0,2,0,5,0,91,173.4,60.60000000000001,57.0,42,41,18,85,11,0.8,0.78,1.5799999999999998,26.259999999999998,-796468,7268613,244855,1041323,29.1,48.7,9,Everton,36,16
86,18,True,2025-10-26T16:30:00Z,0,3,9,Spurs,19,992,0,0,0,34,0,0,0,2,0,1,0,92,122.39999999999999,108.79999999999998,116.0,34,47,20,76,11,1.59,1.4700000000000002,3.06,23.0,17239,7356563,369845,352606,34.7,48.6,9,Everton,36,15
98,17,False,2025-11-03T20:00:00Z,1,1,10,Sunderland,34,986,1,0,0,11,0,0,0,2,0,2,2,132,211.60000000000002,82.4,76.0,59,44,12,97,11,0.8600000000000001,0.55,1.4100000000000001,11.990000000000002,-261877,7112962,232312,494189,37.0,48.5,9,Everton,36,15
