gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,attLfGoal,goals,goalAssistOpenplay,cleanSheet,attOboxGoal,attOboxMiss,goalAssist,attRfGoal,totalThroughBall,accurateKeeperThrows,goalsOpenplay,attGoalHighLeft,punches,goalAssistIntentional,keeperThrows,forwardGoals,goalsConcededObox,attIboxBlocked,errorLeadToShot,sixYardBlock,attAssistSetplay,attCorner,attBxLeft,attLfTarget,attGoalLowRight,midfielderGoals,attSvLowLeft,ptsDroppedWinningPos,attCmissRight,attHdTarget,ownGoals,attFreekickTarget,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,totalPullBack,defenderGoals,attIboxGoal,attSvHighCentre,attHdGoal,postScoringAtt,accurateKeeperSweeper,attIboxPost,contentiousDecision,attHdPost,hitWoodwork,totalKeeperSweeper,attPostHigh,foulThrowIn,bigChanceScored,attGoalLowCentre,penaltyWon,penaltyConceded,attPenGoal,penaltyFaced,penGoalsConceded,goalFastbreak,attLgCentre,attOboxPost,accurateFreekickCross,attGoalHighCentre,attMissHighLeft,errorLeadToGoal,shieldBallOop,attGoalHighRight,penaltySave,attOneOnOne,accurateThroughBall,accuratePullBack,attFreekickGoal,attSvHighLeft,ptsGainedLosingPos,secondYellow,attObxLeft,attFreekickMiss,attFreekickPost
1,855174,2016-08-13 15:00:00,"Turf Moor, Burnley",19126,Home,Burnley,Swansea City,0,1,L,0,0,0,0,59.0,3.0,43.0,16.0,4.0,3.0,6.0,7.0,3.0,166.0,5.0,6.0,3.0,5.0,3.0,65.0,170.0,53.0,1.0,10.0,2.0,32.0,1.0,1.0,4.0,1.0,1.0,23.0,9.0,2.0,14.0,7.0,13.0,42.0,140.0,1.0,1.0,0.0,146.0,10.0,2.0,1.0,2.0,1.0,52.0,45.0,1.0,67.0,1.0,1.0,16.0,17.0,4.0,1.0,5.0,170.0,1.0,11.0,55.0,558.0,5.0,18.0,25.0,18.0,237.0,21.0,13.0,10.0,3.0,3.0,4.0,41.0,326.0,92.0,95508,1.0,114.0,1.0,9.0,1.0,124.0,8.0,17.0,9.0,69.0,1.0,3.0,10.0,6.0,5.0,2.0,84.0,249.0,14.0,8.0,31.0,83.0,1.0,1.0,1.0,0.0,4.0,4.0,5.0,1.0,5.0,0.0,4.0,1.0,47.5,29.0,1.0,2.0,2.0,1.0,41.0,7.0,1.0,353.0,18.0,14.0,21.0,5.0,40.0,1.0,5.0,252.0,6.0,11.0,20.0,76.0,25.0,4.0,8.0,14.0,1.0,8.0,2.0,11.0,4.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855444,2016-08-20 15:00:00,"Turf Moor, Burnley",21313,Home,Burnley,Liverpool,2,0,W,2,0,0,0,45.0,4.0,23.0,34.0,3.0,2.0,,5.0,,109.0,,7.0,,3.0,2.0,34.0,118.0,39.0,,3.0,,11.0,,,,,1.0,3.0,10.0,,26.0,,4.0,15.0,61.0,,,0.0,68.0,14.0,3.0,,,,34.0,21.0,2.0,35.0,4.0,,3.0,22.0,3.0,,3.0,118.0,,9.0,32.0,380.0,1.0,13.0,3.0,18.0,118.0,17.0,10.0,18.0,0.0,8.0,1.0,11.0,186.0,50.0,85017,,69.0,,,,88.0,10.0,22.0,16.0,58.0,,3.0,10.0,17.0,7.0,,65.0,130.0,5.0,16.0,30.0,58.0,,,,0.0,1.0,12.0,1.0,,3.0,0.0,,,19.6,8.0,,4.0,,,19.0,1.0,,210.0,18.0,15.0,4.0,1.0,7.0,,,125.0,1.0,4.0,15.0,29.0,15.0,4.0,15.0,13.0,,3.0,3.0,10.0,4.0,14.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855192,2016-08-27 15:00:00,"Stamford Bridge, London",41607,Away,Burnley,Chelsea,0,3,L,0,2,0,0,57.0,1.0,18.0,30.0,2.0,1.0,4.0,6.0,,147.0,5.0,7.0,,5.0,,92.0,132.0,44.0,,6.0,1.0,15.0,,,1.0,,1.0,20.0,13.0,,23.0,5.0,18.0,30.0,152.0,,,0.0,103.0,9.0,4.0,,,,49.0,45.0,1.0,72.0,3.0,2.0,15.0,18.0,2.0,,8.0,132.0,,14.0,99.0,584.0,3.0,6.0,8.0,17.0,300.0,21.0,2.0,15.0,2.0,6.0,4.0,15.0,389.0,72.0,85017,2.0,167.0,,7.0,,186.0,8.0,18.0,9.0,44.0,,2.0,6.0,8.0,6.0,1.0,54.0,314.0,6.0,11.0,20.0,69.0,,,1.0,0.0,1.0,9.0,6.0,3.0,2.0,0.0,3.0,2.0,39.9,12.0,2.0,,2.0,1.0,36.0,5.0,,410.0,17.0,7.0,14.0,4.0,26.0,2.0,3.0,244.0,3.0,15.0,15.0,54.0,28.0,6.0,14.0,17.0,2.0,4.0,3.0,9.0,6.0,8.0,5.0,,,,,,,,1.0,,,,7.0,,,,,7.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855204,2016-09-10 15:00:00,"Turf Moor, Burnley",18803,Home,Burnley,Hull City,1,1,D,0,0,0,0,48.0,1.0,44.0,33.0,8.0,7.0,6.0,2.0,,145.0,7.0,7.0,,9.0,2.0,105.0,121.0,35.0,,14.0,2.0,12.0,,,1.0,,2.0,18.0,9.0,1.0,28.0,5.0,10.0,42.0,168.0,1.0,,0.0,102.0,13.0,1.0,,,1.0,56.0,54.0,6.0,53.0,,1.0,13.0,16.0,8.0,,7.0,121.0,,5.0,92.0,578.0,7.0,14.0,18.0,21.0,300.0,17.0,9.0,28.0,2.0,,3.0,27.0,374.0,67.0,91979,4.0,153.0,,6.0,,162.0,9.0,16.0,13.0,43.0,1.0,,9.0,6.0,7.0,2.0,81.0,314.0,3.0,5.0,20.0,90.0,,,,0.0,1.0,9.0,1.0,1.0,6.0,0.0,5.0,2.0,38.8,22.0,2.0,3.0,6.0,,54.0,5.0,1.0,395.0,21.0,12.0,20.0,6.0,23.0,2.0,2.0,251.0,5.0,9.0,16.0,58.0,22.0,2.0,25.0,10.0,,10.0,3.0,9.0,2.0,5.0,5.0,,,,1.0,1.0,,1.0,4.0,1.0,1.0,,3.0,1.0,,,,3.0,,1.0,4.0,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855216,2016-09-17 15:00:00,"King Power Stadium, Leicester",31916,Away,Burnley,Leicester City,0,3,L,0,1,0,0,62.0,2.0,33.0,40.0,4.0,3.0,3.0,4.0,,142.0,3.0,7.0,1.0,5.0,2.0,82.0,148.0,58.0,1.0,7.0,1.0,18.0,1.0,,1.0,2.0,1.0,13.0,13.0,1.0,34.0,1.0,17.0,21.0,107.0,1.0,,0.0,94.0,9.0,1.0,,1.0,,51.0,46.0,1.0,53.0,3.0,2.0,12.0,22.0,4.0,1.0,3.0,148.0,1.0,8.0,84.0,550.0,4.0,8.0,6.0,15.0,238.0,29.0,9.0,25.0,1.0,5.0,4.0,25.0,334.0,59.0,91979,2.0,147.0,1.0,8.0,1.0,171.0,5.0,22.0,9.0,45.0,,4.0,10.0,7.0,4.0,,85.0,251.0,10.0,8.0,45.0,77.0,,,,0.0,1.0,7.0,2.0,3.0,3.0,0.0,3.0,2.0,41.0,23.0,1.0,4.0,1.0,,28.0,1.0,,361.0,15.0,10.0,11.0,4.0,16.0,,2.0,203.0,2.0,17.0,28.0,49.0,22.0,4.0,21.0,14.0,3.0,4.0,3.0,8.0,4.0,12.0,1.0,,,,,,,,2.0,,,,2.0,,,,,2.0,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855224,2016-09-26 20:00:00,"Turf Moor, Burnley",18519,Home,Burnley,Watford,2,0,W,1,0,0,0,62.0,,32.0,34.0,3.0,4.0,10.0,2.0,1.0,159.0,7.0,3.0,3.0,10.0,4.0,64.0,164.0,66.0,,13.0,1.0,34.0,2.0,,3.0,,1.0,24.0,13.0,,31.0,7.0,8.0,26.0,138.0,,,0.0,112.0,11.0,2.0,,2.0,1.0,54.0,53.0,7.0,60.0,,2.0,17.0,10.0,3.0,,6.0,164.0,,5.0,66.0,555.0,6.0,15.0,19.0,15.0,235.0,16.0,19.0,18.0,1.0,6.0,3.0,18.0,328.0,65.0,91979,6.0,110.0,,9.0,2.0,127.0,5.0,10.0,4.0,69.0,,5.0,14.0,7.0,,,78.0,241.0,15.0,10.0,44.0,95.0,,1.0,,0.0,,6.0,2.0,,6.0,0.0,3.0,6.0,43.5,13.0,1.0,8.0,6.0,,43.0,7.0,1.0,349.0,15.0,7.0,9.0,3.0,37.0,4.0,1.0,246.0,3.0,7.0,31.0,60.0,30.0,2.0,17.0,18.0,,5.0,2.0,11.0,2.0,5.0,7.0,1.0,,,2.0,,1.0,,2.0,2.0,,,2.0,,,1.0,2.0,2.0,,,5.0,,,2.0,6.0,1.0,1.0,2.0,1.0,,,2.0,,,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855232,2016-10-02 16:30:00,"Turf Moor, Burnley",20982,Home,Burnley,Arsenal,0,1,L,0,0,0,0,57.0,,31.0,31.0,5.0,2.0,5.0,2.0,,152.0,7.0,6.0,,10.0,1.0,72.0,155.0,54.0,,10.0,3.0,14.0,1.0,,,,1.0,20.0,18.0,,24.0,2.0,6.0,32.0,108.0,,,0.0,100.0,2.0,1.0,,,1.0,41.0,47.0,4.0,60.0,6.0,3.0,18.0,15.0,5.0,,8.0,155.0,1.0,13.0,67.0,556.0,8.0,17.0,11.0,21.0,237.0,36.0,10.0,13.0,0.0,6.0,6.0,24.0,332.0,64.0,91979,5.0,145.0,1.0,10.0,2.0,173.0,2.0,15.0,11.0,46.0,,4.0,13.0,5.0,6.0,1.0,76.0,246.0,3.0,14.0,28.0,77.0,,,,0.0,,6.0,2.0,1.0,4.0,0.0,5.0,5.0,32.8,21.0,3.0,1.0,3.0,,32.0,2.0,1.0,351.0,21.0,11.0,12.0,6.0,24.0,2.0,3.0,198.0,3.0,6.0,20.0,50.0,11.0,2.0,11.0,26.0,1.0,5.0,1.0,11.0,2.0,6.0,2.0,,,,,,,,2.0,,,1.0,3.0,,,,,3.0,,,,,,2.0,3.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,855249,2016-10-16 16:00:00,"St. Mary's Stadium, Southampton",29040,Away,Burnley,Southampton,1,3,L,0,0,0,0,45.0,4.0,26.0,40.0,2.0,1.0,4.0,11.0,,141.0,4.0,2.0,4.0,4.0,1.0,63.0,128.0,49.0,,6.0,,20.0,,,,,2.0,13.0,4.0,,33.0,4.0,10.0,29.0,112.0,,,0.0,92.0,10.0,3.0,,1.0,2.0,50.0,33.0,1.0,55.0,1.0,1.0,9.0,13.0,2.0,,5.0,128.0,,24.0,48.0,488.0,4.0,10.0,13.0,16.0,200.0,13.0,6.0,22.0,2.0,10.0,3.0,17.0,278.0,55.0,91979,4.0,103.0,,3.0,3.0,119.0,6.0,13.0,13.0,47.0,,1.0,10.0,10.0,2.0,1.0,74.0,211.0,11.0,10.0,24.0,84.0,,,1.0,0.0,2.0,8.0,7.0,3.0,4.0,0.0,2.0,2.0,35.4,15.0,1.0,1.0,1.0,,37.0,4.0,2.0,307.0,16.0,4.0,11.0,4.0,19.0,2.0,2.0,201.0,3.0,10.0,25.0,44.0,18.0,2.0,20.0,12.0,3.0,2.0,3.0,6.0,2.0,5.0,4.0,,,,1.0,,,,2.0,,1.0,,6.0,,,,,6.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
9,855254,2016-10-22 15:00:00,"Turf Moor, Burnley",21416,Home,Burnley,Everton,2,1,W,1,0,0,0,49.0,4.0,25.0,53.0,5.0,4.0,4.0,7.0,1.0,136.0,,1.0,1.0,5.0,3.0,56.0,135.0,44.0,,10.0,3.0,23.0,,1.0,,1.0,1.0,19.0,11.0,1.0,43.0,1.0,14.0,21.0,90.0,,,0.0,80.0,16.0,3.0,1.0,2.0,,31.0,41.0,3.0,51.0,4.0,1.0,18.0,18.0,6.0,,10.0,135.0,,9.0,51.0,502.0,5.0,15.0,7.0,23.0,181.0,18.0,12.0,21.0,2.0,10.0,2.0,19.0,269.0,56.0,91979,3.0,107.0,,6.0,3.0,129.0,11.0,18.0,5.0,59.0,,1.0,10.0,12.0,2.0,1.0,66.0,197.0,15.0,14.0,38.0,71.0,1.0,,,0.0,,8.0,3.0,1.0,5.0,0.0,,1.0,34.9,17.0,1.0,1.0,3.0,,30.0,2.0,,294.0,23.0,4.0,9.0,4.0,25.0,,2.0,184.0,5.0,12.0,15.0,41.0,20.0,4.0,19.0,13.0,1.0,6.0,3.0,3.0,4.0,8.0,2.0,,,1.0,2.0,,,,1.0,,1.0,,5.0,1.0,,,,5.0,2.0,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,2.0,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10,855264,2016-10-29 15:00:00,"Old Trafford, Manchester",75325,Away,Burnley,Manchester United,0,0,D,0,0,0,1,62.0,3.0,37.0,41.0,3.0,2.0,4.0,11.0,,116.0,8.0,1.0,2.0,6.0,1.0,48.0,117.0,51.0,,7.0,1.0,24.0,1.0,,1.0,1.0,4.0,16.0,13.0,,41.0,1.0,9.0,17.0,98.0,,,0.0,94.0,9.0,5.0,,4.0,4.0,38.0,26.0,1.0,36.0,5.0,,15.0,11.0,3.0,,5.0,117.0,,21.0,48.0,452.0,5.0,11.0,17.0,19.0,151.0,30.0,9.0,23.0,3.0,19.0,5.0,10.0,219.0,68.0,91979,3.0,72.0,,6.0,1.0,90.0,3.0,11.0,10.0,51.0,,2.0,12.0,17.0,2.0,1.0,88.0,162.0,12.0,13.0,41.0,75.0,,,1.0,0.0,,19.0,8.0,,5.0,0.0,7.0,2.0,28.1,8.0,2.0,2.0,1.0,,28.0,1.0,4.0,248.0,19.0,6.0,9.0,5.0,29.0,1.0,3.0,174.0,3.0,8.0,23.0,48.0,13.0,3.0,23.0,17.0,,5.0,3.0,2.0,3.0,8.0,1.0,2.0,,,,,1.0,,2.0,,,,4.0,,,,,4.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
