gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attObxdLeft,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attBxRight,goalAssistOpenplay,attSvLowCentre,goalAssist,accurateFreekickCross,sixYardBlock,attSetpiece,penaltyConceded,attCmissHigh,goalsOpenplay,attGoalHighLeft,accurateFlickOn,accurateCrossNocorner,goalAssistIntentional,penaltyFaced,penGoalsConceded,attHdGoal,handBall,postScoringAtt,attIboxPost,midfielderGoals,contentiousDecision,attPostLeft,hitWoodwork,errorLeadToShot,punches,attFreekickMiss,attLfGoal,attMissHighRight,attOboxGoal,attHdTarget,attCmissHighLeft,clearanceOffLine,attPostRight,errorLeadToGoal,shotFastbreak,goalFastbreak,cleanSheet,totalFastbreak,attSvHighLeft,attLgCentre,attFastbreak,attFreekickGoal,attOneOnOne,attGoalHighCentre,penaltySave,ownGoals,attIboxOwnGoal,attPenTarget,ptsGainedLosingPos,attGoalHighRight,attCmissHighRight,shieldBallOop,attSvHighCentre,ptsDroppedWinningPos,goalsConcededObox,attPostHigh,defenderGoals,attOboxPost,foulThrowIn,attObxdRight,attFreekickPost
1,855179,2016-08-13 17:30:00,"Etihad Stadium, Manchester",54362,Home,Manchester City,Sunderland,2,1,W,1,0,0,0,1.0,1.0,49.0,1.0,1.0,3.0,28.0,26.0,6.0,5.0,8.0,2.0,2.0,206.0,3.0,13.0,2.0,4.0,10.0,1.0,2.0,4.0,183.0,151.0,46.0,2.0,16.0,1.0,21.0,1.0,2.0,3.0,24.0,4.0,2.0,15.0,7.0,22.0,32.0,369.0,1.0,1.0,0.0,217.0,11.0,2.0,1.0,1.0,1.0,109.0,87.0,4.0,101.0,2.0,3.0,17.0,15.0,8.0,2.0,4.0,5.0,151.0,1.0,4.0,191.0,864.0,9.0,2.0,36.0,9.0,569.0,19.0,1.0,3.0,15.0,2.0,1.0,2.0,6.0,27.0,662.0,83.0,1.0,97299,7.0,219.0,1.0,12.0,245.0,6.0,2.0,1.0,3.0,15.0,3.0,59.0,1.0,1.0,1.0,13.0,3.0,1.0,1.0,1.0,60.0,585.0,13.0,11.0,1.0,23.0,2.0,76.0,1.0,2.0,0.0,2.0,2.0,6.0,1.0,2.0,1.0,0.0,1.0,76.9,26.0,1.0,5.0,1.0,1.0,4.0,50.0,9.0,1.0,681.0,9.0,9.0,19.0,8.0,37.0,3.0,3.0,460.0,10.0,21.0,16.0,173.0,24.0,1.0,2.0,9.0,5.0,1.0,11.0,3.0,21.0,2.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855185,2016-08-20 12:30:00,"bet365 Stadium, Stoke",27455,Away,Manchester City,Stoke City,4,1,W,2,0,0,0,,3.0,65.0,1.0,1.0,2.0,23.0,28.0,3.0,3.0,9.0,2.0,2.0,177.0,5.0,12.0,4.0,5.0,10.0,,,6.0,111.0,153.0,65.0,,12.0,2.0,21.0,2.0,1.0,1.0,18.0,14.0,,22.0,7.0,11.0,19.0,237.0,,1.0,0.0,149.0,13.0,2.0,,2.0,1.0,88.0,82.0,8.0,79.0,2.0,,11.0,15.0,3.0,,2.0,1.0,153.0,2.0,5.0,126.0,704.0,6.0,10.0,46.0,17.0,383.0,26.0,,6.0,15.0,2.0,4.0,2.0,2.0,19.0,470.0,55.0,2.0,97299,3.0,166.0,,7.0,185.0,11.0,,3.0,1.0,15.0,6.0,69.0,4.0,1.0,5.0,17.0,3.0,2.0,1.0,1.0,58.0,398.0,12.0,14.0,1.0,26.0,1.0,76.0,1.0,1.0,0.0,,2.0,7.0,1.0,4.0,1.0,0.0,2.0,57.5,16.0,,5.0,2.0,5.0,4.0,45.0,7.0,1.0,493.0,17.0,15.0,12.0,2.0,30.0,3.0,1.0,326.0,7.0,11.0,21.0,103.0,26.0,2.0,2.0,15.0,20.0,1.0,9.0,3.0,19.0,2.0,9.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855197,2016-08-28 16:00:00,"Etihad Stadium, Manchester",54008,Home,Manchester City,West Ham United,3,1,W,2,0,0,0,1.0,2.0,56.0,1.0,,6.0,27.0,27.0,5.0,9.0,17.0,1.0,1.0,194.0,4.0,17.0,3.0,5.0,18.0,2.0,1.0,5.0,159.0,127.0,64.0,1.0,22.0,1.0,23.0,2.0,1.0,5.0,15.0,15.0,,23.0,4.0,20.0,28.0,280.0,,,0.0,178.0,5.0,,,3.0,,74.0,82.0,11.0,76.0,,2.0,11.0,23.0,5.0,1.0,3.0,4.0,127.0,4.0,7.0,158.0,794.0,14.0,5.0,38.0,9.0,494.0,29.0,1.0,2.0,18.0,1.0,1.0,2.0,7.0,25.0,569.0,68.0,2.0,97299,6.0,232.0,2.0,5.0,246.0,4.0,,2.0,3.0,23.0,7.0,63.0,6.0,3.0,3.0,11.0,2.0,5.0,1.0,,51.0,508.0,10.0,17.0,1.0,14.0,,67.0,1.0,3.0,0.0,,1.0,4.0,1.0,3.0,1.0,0.0,2.0,67.1,22.0,1.0,2.0,6.0,3.0,7.0,48.0,5.0,,587.0,9.0,8.0,22.0,10.0,35.0,1.0,5.0,356.0,11.0,20.0,16.0,134.0,22.0,2.0,4.0,16.0,21.0,1.0,18.0,3.0,28.0,4.0,9.0,5.0,1.0,1.0,1.0,,1.0,2.0,1.0,3.0,2.0,1.0,3.0,,1.0,2.0,1.0,,3.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855206,2016-09-10 12:30:00,"Old Trafford, Manchester",75272,Away,Manchester City,Manchester United,2,1,W,2,1,0,0,1.0,2.0,77.0,1.0,,1.0,35.0,36.0,7.0,7.0,11.0,1.0,2.0,191.0,3.0,11.0,2.0,5.0,13.0,,,6.0,146.0,161.0,61.0,2.0,18.0,3.0,22.0,4.0,,,12.0,17.0,,31.0,3.0,22.0,23.0,283.0,,,0.0,194.0,10.0,,1.0,3.0,1.0,104.0,56.0,8.0,97.0,4.0,1.0,9.0,24.0,7.0,2.0,1.0,3.0,161.0,1.0,5.0,159.0,822.0,10.0,5.0,33.0,20.0,476.0,22.0,1.0,7.0,18.0,2.0,2.0,5.0,5.0,16.0,571.0,81.0,2.0,97299,3.0,206.0,,5.0,232.0,6.0,,1.0,,24.0,7.0,71.0,7.0,3.0,3.0,11.0,9.0,1.0,3.0,,69.0,486.0,14.0,15.0,2.0,29.0,3.0,72.0,3.0,,0.0,,2.0,4.0,2.0,1.0,1.0,0.0,1.0,60.1,12.0,,6.0,3.0,4.0,4.0,45.0,4.0,3.0,593.0,20.0,17.0,13.0,8.0,27.0,1.0,3.0,373.0,10.0,20.0,14.0,137.0,44.0,1.0,5.0,16.0,23.0,1.0,12.0,3.0,18.0,5.0,9.0,4.0,,,,1.0,3.0,1.0,,1.0,,,1.0,,,2.0,,3.0,2.0,,,,,,2.0,2.0,1.0,,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855217,2016-09-17 15:00:00,"Etihad Stadium, Manchester",54335,Home,Manchester City,Bournemouth,4,0,W,2,0,1,0,5.0,3.0,65.0,2.0,1.0,3.0,32.0,13.0,7.0,13.0,11.0,2.0,2.0,165.0,5.0,14.0,4.0,3.0,15.0,,,11.0,147.0,104.0,56.0,2.0,20.0,2.0,3.0,3.0,2.0,,12.0,17.0,4.0,10.0,3.0,21.0,41.0,293.0,,,0.0,190.0,8.0,2.0,2.0,,,91.0,66.0,12.0,111.0,,1.0,9.0,14.0,9.0,2.0,3.0,2.0,104.0,4.0,3.0,168.0,769.0,11.0,6.0,38.0,16.0,510.0,21.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,17.0,572.0,76.0,4.0,97299,6.0,238.0,1.0,6.0,251.0,5.0,,2.0,1.0,14.0,4.0,45.0,5.0,1.0,1.0,11.0,3.0,2.0,1.0,,60.0,526.0,11.0,21.0,1.0,13.0,1.0,51.0,1.0,,0.0,1.0,4.0,5.0,1.0,3.0,,1.0,1.0,64.2,15.0,1.0,13.0,2.0,1.0,5.0,31.0,5.0,1.0,591.0,16.0,10.0,27.0,4.0,30.0,3.0,1.0,352.0,6.0,21.0,6.0,148.0,28.0,1.0,,5.0,25.0,,17.0,3.0,18.0,,9.0,5.0,1.0,,,1.0,1.0,3.0,3.0,3.0,,,,,,3.0,,1.0,2.0,3.0,,,,1.0,1.0,1.0,3.0,,1.0,1.0,,1.0,,2.0,,1.0,,,,,,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
6,855230,2016-09-24 15:00:00,"Swansea.com Stadium, Swansea",20786,Away,Manchester City,Swansea City,3,1,W,1,1,0,0,1.0,2.0,72.0,1.0,2.0,5.0,33.0,18.0,7.0,4.0,11.0,4.0,,189.0,5.0,17.0,3.0,4.0,14.0,,1.0,4.0,138.0,131.0,53.0,1.0,18.0,1.0,10.0,,,3.0,19.0,10.0,1.0,16.0,7.0,11.0,35.0,239.0,,1.0,0.0,166.0,9.0,1.0,,2.0,,63.0,47.0,8.0,98.0,2.0,2.0,12.0,17.0,7.0,1.0,2.0,5.0,131.0,2.0,9.0,141.0,760.0,10.0,6.0,50.0,20.0,463.0,25.0,,2.0,6.0,,4.0,,6.0,15.0,543.0,63.0,1.0,97299,8.0,248.0,1.0,8.0,274.0,7.0,,3.0,,17.0,7.0,44.0,4.0,2.0,4.0,12.0,4.0,7.0,3.0,1.0,61.0,482.0,15.0,12.0,2.0,15.0,2.0,64.0,,1.0,0.0,,5.0,2.0,2.0,3.0,1.0,0.0,2.0,58.4,14.0,2.0,8.0,1.0,4.0,6.0,45.0,7.0,,566.0,20.0,6.0,23.0,8.0,36.0,3.0,3.0,311.0,12.0,10.0,10.0,124.0,33.0,2.0,2.0,6.0,11.0,1.0,14.0,3.0,24.0,2.0,9.0,7.0,,,,1.0,1.0,2.0,,2.0,1.0,,,,1.0,2.0,,2.0,2.0,1.0,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,1.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
7,855239,2016-10-02 14:15:00,"White Hart Lane, London",31793,Away,Manchester City,Tottenham Hotspur,0,2,L,0,2,0,0,3.0,,71.0,,4.0,2.0,18.0,24.0,6.0,5.0,6.0,6.0,3.0,197.0,2.0,22.0,,2.0,10.0,,,6.0,116.0,168.0,82.0,1.0,12.0,1.0,11.0,4.0,1.0,1.0,11.0,14.0,2.0,22.0,3.0,13.0,32.0,187.0,,,0.0,142.0,10.0,2.0,2.0,,,52.0,47.0,8.0,62.0,4.0,,8.0,19.0,6.0,1.0,3.0,3.0,168.0,1.0,8.0,109.0,740.0,9.0,4.0,24.0,21.0,355.0,28.0,1.0,5.0,16.0,1.0,2.0,2.0,2.0,26.0,448.0,71.0,2.0,97299,3.0,197.0,1.0,5.0,228.0,7.0,,,,19.0,6.0,56.0,5.0,5.0,6.0,19.0,6.0,2.0,,,59.0,382.0,20.0,12.0,1.0,23.0,,73.0,1.0,,0.0,1.0,3.0,4.0,2.0,,2.0,0.0,,57.7,21.0,,6.0,3.0,7.0,3.0,33.0,3.0,,484.0,21.0,17.0,11.0,3.0,26.0,1.0,,267.0,7.0,13.0,13.0,103.0,28.0,,1.0,15.0,27.0,2.0,10.0,3.0,29.0,1.0,10.0,3.0,,,,,,,2.0,,,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
8,855247,2016-10-15 15:00:00,"Etihad Stadium, Manchester",54512,Home,Manchester City,Everton,1,1,D,0,0,0,0,2.0,1.0,63.0,1.0,1.0,3.0,30.0,13.0,7.0,4.0,12.0,1.0,5.0,195.0,10.0,14.0,1.0,8.0,15.0,,,8.0,187.0,167.0,52.0,1.0,19.0,3.0,18.0,5.0,,2.0,44.0,12.0,2.0,10.0,13.0,18.0,31.0,407.0,2.0,2.0,0.0,303.0,7.0,1.0,1.0,3.0,,83.0,96.0,10.0,86.0,2.0,,31.0,22.0,7.0,1.0,4.0,2.0,167.0,1.0,1.0,193.0,878.0,10.0,3.0,64.0,11.0,562.0,33.0,1.0,2.0,5.0,,0.0,,5.0,20.0,647.0,80.0,,97299,8.0,176.0,2.0,24.0,186.0,4.0,,,1.0,22.0,3.0,55.0,5.0,,2.0,17.0,2.0,2.0,2.0,,43.0,573.0,9.0,6.0,4.0,6.0,2.0,51.0,3.0,,0.0,,2.0,1.0,,1.0,1.0,0.0,5.0,72.6,19.0,2.0,8.0,,2.0,6.0,37.0,13.0,,661.0,11.0,14.0,18.0,5.0,59.0,4.0,3.0,519.0,10.0,16.0,12.0,241.0,20.0,,3.0,3.0,17.0,1.0,11.0,3.0,25.0,3.0,10.0,13.0,,,,,1.0,1.0,,1.0,2.0,,3.0,,,1.0,,2.0,6.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,
9,855259,2016-10-23 13:30:00,"Etihad Stadium, Manchester",53731,Home,Manchester City,Southampton,1,1,D,0,1,0,0,1.0,1.0,65.0,,,2.0,35.0,14.0,6.0,8.0,8.0,1.0,1.0,179.0,6.0,18.0,1.0,2.0,12.0,,,3.0,151.0,172.0,62.0,,14.0,2.0,15.0,2.0,2.0,2.0,24.0,13.0,,11.0,8.0,23.0,29.0,302.0,,,0.0,199.0,11.0,1.0,,,1.0,82.0,58.0,6.0,83.0,,2.0,16.0,31.0,6.0,,4.0,4.0,172.0,1.0,3.0,169.0,813.0,10.0,11.0,40.0,10.0,466.0,22.0,1.0,6.0,9.0,3.0,3.0,1.0,6.0,28.0,557.0,61.0,,97299,5.0,192.0,,12.0,213.0,5.0,,,,31.0,7.0,69.0,2.0,1.0,7.0,17.0,3.0,5.0,,,57.0,488.0,10.0,9.0,1.0,17.0,5.0,68.0,2.0,,0.0,,3.0,3.0,1.0,1.0,1.0,0.0,1.0,64.7,24.0,1.0,3.0,3.0,7.0,4.0,41.0,10.0,1.0,582.0,10.0,27.0,17.0,7.0,37.0,3.0,3.0,393.0,5.0,22.0,16.0,145.0,31.0,,3.0,7.0,19.0,1.0,9.0,3.0,26.0,3.0,14.0,10.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,5.0,3.0,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
10,855271,2016-10-29 15:00:00,"The Hawthorns, West Bromwich",22470,Away,Manchester City,West Bromwich Albion,4,0,W,2,0,0,0,2.0,1.0,46.0,1.0,1.0,4.0,25.0,19.0,9.0,7.0,12.0,1.0,2.0,180.0,4.0,12.0,4.0,2.0,15.0,,1.0,8.0,209.0,105.0,48.0,1.0,21.0,5.0,8.0,3.0,1.0,2.0,13.0,6.0,1.0,19.0,3.0,26.0,23.0,336.0,,,0.0,186.0,10.0,,2.0,,,64.0,101.0,12.0,109.0,1.0,1.0,10.0,13.0,9.0,1.0,2.0,2.0,105.0,2.0,6.0,177.0,835.0,13.0,2.0,36.0,9.0,572.0,17.0,,3.0,10.0,2.0,3.0,1.0,3.0,12.0,641.0,74.0,2.0,97299,6.0,271.0,2.0,8.0,283.0,6.0,,2.0,1.0,13.0,10.0,38.0,4.0,3.0,5.0,7.0,3.0,9.0,1.0,,54.0,603.0,16.0,9.0,,18.0,1.0,70.0,1.0,,0.0,,1.0,1.0,,3.0,,0.0,,69.9,11.0,,3.0,2.0,5.0,9.0,46.0,7.0,,675.0,9.0,7.0,10.0,4.0,30.0,2.0,2.0,405.0,14.0,26.0,10.0,141.0,20.0,2.0,2.0,10.0,10.0,,19.0,3.0,17.0,2.0,7.0,7.0,1.0,,,1.0,3.0,2.0,,2.0,,,,,,4.0,,1.0,2.0,2.0,,,,1.0,,,2.0,,,,,1.0,,2.0,,1.0,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,
