gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accurateCross,cleanSheet,goodHighClaim,interceptionsInBox,contentiousDecision,attCmissHigh,totalOffside,punches,accurateCrossNocorner,totalHighClaim,attFreekickMiss,handBall,attGoalLowLeft,attGoalLowRight,attPenTarget,shotFastbreak,goalAssistOpenplay,totalFastbreak,attSvHighLeft,attSvLowLeft,goalAssist,attSetpiece,attRfGoal,defenderGoals,goalsOpenplay,attCorner,attFastbreak,goalAssistIntentional,attHdMiss,forwardGoals,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostHigh,accurateCornersIntobox,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,accurateFreekickCross,foulThrowIn,attHdGoal,attObxLeft,attGoalHighRight,attSvHighRight,attOboxGoal,attCmissRight,attPostLeft,attMissHighLeft,shieldBallOop,clearanceOffLine,ptsGainedLosingPos,penaltyConceded,penaltyFaced,penGoalsConceded,attGoalHighCentre,sixYardBlock,ownGoals,attIboxOwnGoal,goalsConcededObox,goalFastbreak,attOneOnOne,attGoalHighLeft,attObxdLeft,attLgCentre,attLgLeft,attLgRight,attFreekickGoal,ptsDroppedWinningPos,attCmissHighLeft,attPostRight,attPenMiss
11,855277,2016-11-06 16:30:00,"King Power Stadium, Leicester",31879,Home,Leicester City,West Bromwich Albion,1,2,L,0,0,0,0,,1.0,55.0,,,46.0,26.0,2.0,,3.0,3.0,,,210.0,,14.0,1.0,,4.0,,2.0,119.0,196.0,58.0,,5.0,,36.0,1.0,,1.0,,,25.0,10.0,,26.0,3.0,14.0,60.0,196.0,1.0,,0.0,169.0,8.0,2.0,,,78.0,70.0,2.0,76.0,1.0,22.0,26.0,2.0,,13.0,2.0,196.0,1.0,7.0,115.0,715.0,3.0,9.0,26.0,1.0,8.0,367.0,27.0,12.0,19.0,1.0,0.0,3.0,2.0,30.0,496.0,86.0,1.0,,90714,2.0,188.0,,9.0,227.0,3.0,,26.0,8.0,68.0,2.0,3.0,11.0,4.0,4.0,1.0,,101.0,381.0,7.0,10.0,,34.0,97.0,,,0.0,,,6.0,3.0,1.0,2.0,1.0,0.0,3.0,59.1,27.0,1.0,,1.0,3.0,,50.0,5.0,520.0,8.0,10.0,28.0,3.0,40.0,1.0,318.0,2.0,12.0,23.0,106.0,21.0,4.0,19.0,14.0,2.0,5.0,3.0,21.0,4.0,8.0,5.0,3.0,,,,,,4.0,,3.0,,,2.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,855290,2016-11-19 15:00:00,"Vicarage Road, Watford",20640,Away,Leicester City,Watford,1,2,L,1,2,0,0,,1.0,67.0,,3.0,20.0,27.0,4.0,4.0,7.0,1.0,1.0,1.0,187.0,,10.0,1.0,4.0,8.0,1.0,2.0,86.0,209.0,57.0,,11.0,3.0,28.0,1.0,1.0,1.0,,,31.0,13.0,,27.0,6.0,6.0,26.0,146.0,1.0,1.0,0.0,129.0,18.0,1.0,1.0,2.0,49.0,74.0,5.0,57.0,,25.0,18.0,4.0,,8.0,1.0,209.0,,7.0,80.0,610.0,5.0,9.0,24.0,,14.0,257.0,30.0,9.0,11.0,1.0,3.0,,3.0,22.0,388.0,80.0,,,90714,5.0,127.0,,15.0,162.0,7.0,2.0,18.0,9.0,72.0,,1.0,14.0,3.0,2.0,2.0,1.0,82.0,269.0,12.0,12.0,3.0,52.0,106.0,1.0,,0.0,,6.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,54.2,16.0,2.0,,,1.0,6.0,45.0,6.0,410.0,14.0,8.0,10.0,3.0,37.0,2.0,279.0,5.0,4.0,20.0,66.0,34.0,3.0,11.0,17.0,2.0,6.0,3.0,17.0,3.0,5.0,6.0,4.0,,1.0,,,,,1.0,3.0,1.0,,,,,,,,,,,,1.0,,,,3.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
13,855296,2016-11-26 15:00:00,"King Power Stadium, Leicester",32058,Home,Leicester City,Middlesbrough,2,2,D,1,1,0,0,1.0,2.0,60.0,,1.0,18.0,22.0,4.0,2.0,7.0,,1.0,,144.0,,9.0,2.0,5.0,7.0,,3.0,70.0,163.0,54.0,,11.0,1.0,31.0,,,,,2.0,19.0,8.0,1.0,22.0,1.0,16.0,29.0,102.0,1.0,2.0,0.0,101.0,15.0,,1.0,3.0,43.0,58.0,3.0,53.0,1.0,18.0,20.0,4.0,,6.0,2.0,163.0,,4.0,63.0,504.0,7.0,11.0,26.0,,11.0,200.0,20.0,8.0,11.0,,4.0,2.0,4.0,31.0,308.0,68.0,,,90714,6.0,113.0,,9.0,135.0,7.0,,20.0,6.0,65.0,,1.0,11.0,2.0,2.0,1.0,2.0,78.0,210.0,11.0,14.0,,46.0,77.0,,1.0,0.0,,,3.0,,2.0,2.0,5.0,0.0,2.0,40.7,22.0,2.0,1.0,1.0,1.0,2.0,17.0,2.0,330.0,11.0,4.0,9.0,6.0,32.0,3.0,214.0,7.0,14.0,22.0,50.0,29.0,4.0,11.0,13.0,2.0,7.0,3.0,11.0,4.0,11.0,2.0,5.0,,,2.0,,,3.0,,5.0,,,,,2.0,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
14,855308,2016-12-03 15:00:00,"Stadium of Light, Sunderland",39725,Away,Leicester City,Sunderland,1,2,L,0,0,0,0,,1.0,65.0,2.0,2.0,21.0,23.0,8.0,3.0,9.0,5.0,1.0,3.0,146.0,,7.0,1.0,3.0,11.0,,5.0,80.0,157.0,44.0,,17.0,5.0,12.0,2.0,1.0,1.0,1.0,1.0,22.0,9.0,2.0,23.0,3.0,13.0,32.0,152.0,2.0,,0.0,129.0,12.0,1.0,,1.0,67.0,50.0,7.0,45.0,2.0,19.0,22.0,8.0,,8.0,1.0,157.0,1.0,15.0,87.0,564.0,7.0,5.0,20.0,1.0,16.0,246.0,26.0,4.0,8.0,1.0,1.0,6.0,4.0,26.0,334.0,68.0,,,90714,7.0,112.0,,10.0,130.0,5.0,2.0,22.0,8.0,53.0,,1.0,16.0,8.0,4.0,,,62.0,259.0,7.0,16.0,3.0,26.0,77.0,1.0,,0.0,,2.0,3.0,3.0,1.0,2.0,,0.0,3.0,46.5,19.0,3.0,,2.0,1.0,7.0,32.0,4.0,358.0,16.0,3.0,13.0,5.0,28.0,4.0,250.0,10.0,13.0,16.0,83.0,28.0,1.0,8.0,14.0,2.0,9.0,3.0,17.0,1.0,10.0,4.0,5.0,,,4.0,,,3.0,,4.0,,,,1.0,,,,1.0,,,,1.0,4.0,,,1.0,4.0,,1.0,2.0,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,
15,855316,2016-12-10 17:30:00,"King Power Stadium, Leicester",31966,Home,Leicester City,Manchester City,4,2,W,3,0,0,0,2.0,2.0,44.0,1.0,1.0,18.0,44.0,3.0,3.0,8.0,2.0,,,110.0,1.0,6.0,4.0,,7.0,,6.0,34.0,107.0,45.0,,11.0,,19.0,1.0,2.0,,,1.0,6.0,11.0,1.0,44.0,2.0,6.0,22.0,78.0,1.0,,0.0,91.0,10.0,,1.0,,57.0,22.0,4.0,32.0,1.0,4.0,11.0,3.0,,1.0,1.0,107.0,4.0,11.0,29.0,371.0,3.0,13.0,20.0,,11.0,111.0,18.0,6.0,21.0,,3.0,7.0,3.0,12.0,173.0,51.0,1.0,,90714,3.0,47.0,2.0,3.0,53.0,8.0,,11.0,15.0,49.0,1.0,1.0,8.0,8.0,4.0,1.0,,61.0,122.0,7.0,13.0,1.0,25.0,65.0,,,0.0,,2.0,11.0,1.0,3.0,2.0,2.0,0.0,2.0,22.1,8.0,6.0,,,1.0,1.0,21.0,3.0,205.0,11.0,3.0,7.0,4.0,20.0,3.0,158.0,6.0,6.0,18.0,41.0,14.0,7.0,21.0,14.0,1.0,7.0,3.0,10.0,7.0,6.0,3.0,3.0,,1.0,3.0,,,,2.0,2.0,1.0,,,2.0,,,1.0,2.0,2.0,,2.0,3.0,,4.0,,3.0,3.0,1.0,3.0,2.0,3.0,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
16,855322,2016-12-13 19:45:00,"Vitality Stadium, Bournemouth",11068,Away,Leicester City,Bournemouth,0,1,L,0,1,0,0,1.0,,68.0,1.0,4.0,26.0,27.0,2.0,2.0,10.0,2.0,,2.0,141.0,,5.0,,3.0,10.0,,4.0,58.0,164.0,47.0,,12.0,,24.0,3.0,1.0,1.0,1.0,2.0,23.0,12.0,1.0,27.0,7.0,13.0,28.0,128.0,,,0.0,106.0,15.0,2.0,,2.0,38.0,48.0,7.0,39.0,1.0,16.0,14.0,2.0,,4.0,1.0,164.0,2.0,4.0,68.0,508.0,8.0,15.0,25.0,1.0,19.0,194.0,30.0,9.0,16.0,1.0,3.0,3.0,3.0,28.0,278.0,53.0,1.0,,90714,7.0,88.0,2.0,10.0,115.0,7.0,,14.0,9.0,67.0,3.0,,14.0,5.0,5.0,1.0,,71.0,208.0,4.0,10.0,2.0,39.0,69.0,,1.0,0.0,,3.0,4.0,1.0,,1.0,7.0,0.0,4.0,37.1,15.0,4.0,,2.0,,4.0,32.0,11.0,306.0,19.0,8.0,15.0,4.0,42.0,3.0,214.0,6.0,12.0,21.0,61.0,28.0,3.0,16.0,17.0,1.0,7.0,3.0,16.0,3.0,10.0,11.0,8.0,,1.0,1.0,,,2.0,,4.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,2.0,,,3.0,,,,,,,4.0,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,
17,855337,2016-12-17 15:00:00,"bet365 Stadium, Stoke",27663,Away,Leicester City,Stoke City,2,2,D,0,2,1,0,2.0,2.0,58.0,2.0,1.0,32.0,34.0,5.0,5.0,9.0,5.0,,2.0,135.0,,6.0,2.0,2.0,12.0,,8.0,67.0,127.0,45.0,1.0,14.0,2.0,18.0,4.0,1.0,2.0,1.0,1.0,25.0,11.0,2.0,34.0,6.0,13.0,29.0,120.0,,,0.0,87.0,12.0,4.0,1.0,1.0,32.0,63.0,11.0,42.0,1.0,19.0,12.0,5.0,1.0,6.0,1.0,127.0,2.0,7.0,67.0,500.0,7.0,12.0,16.0,2.0,8.0,208.0,32.0,11.0,24.0,2.0,6.0,5.0,1.0,19.0,283.0,50.0,,,90714,6.0,116.0,,12.0,141.0,8.0,,12.0,5.0,45.0,,1.0,10.0,9.0,2.0,1.0,,68.0,227.0,9.0,8.0,3.0,33.0,62.0,2.0,1.0,0.0,,,9.0,3.0,2.0,2.0,2.0,1.0,5.0,35.1,11.0,1.0,1.0,1.0,1.0,3.0,31.0,9.0,311.0,8.0,4.0,11.0,3.0,33.0,2.0,195.0,4.0,12.0,15.0,59.0,17.0,5.0,24.0,16.0,2.0,9.0,3.0,11.0,5.0,6.0,9.0,9.0,,1.0,1.0,1.0,,,,6.0,1.0,1.0,1.0,,1.0,,,2.0,,1.0,,2.0,1.0,,,2.0,3.0,,2.0,,,,,,,,3.0,,,,,,2.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
18,855346,2016-12-26 15:00:00,"King Power Stadium, Leicester",31985,Home,Leicester City,Everton,0,2,L,0,0,0,0,1.0,,73.0,1.0,,25.0,17.0,6.0,1.0,1.0,1.0,,,181.0,,10.0,,1.0,6.0,,2.0,93.0,196.0,57.0,,7.0,2.0,32.0,1.0,,3.0,1.0,1.0,20.0,12.0,1.0,17.0,2.0,13.0,43.0,170.0,,,0.0,147.0,14.0,,,,59.0,57.0,3.0,48.0,1.0,18.0,12.0,6.0,,12.0,3.0,196.0,1.0,5.0,71.0,573.0,6.0,18.0,13.0,1.0,15.0,252.0,27.0,9.0,10.0,3.0,3.0,,3.0,19.0,367.0,72.0,,,90714,1.0,97.0,1.0,6.0,117.0,7.0,2.0,12.0,7.0,66.0,,1.0,27.0,3.0,4.0,,,73.0,266.0,7.0,9.0,,36.0,93.0,,,0.0,,,4.0,,,2.0,6.0,0.0,1.0,42.0,13.0,3.0,,1.0,1.0,2.0,42.0,3.0,393.0,15.0,8.0,16.0,3.0,33.0,,296.0,5.0,12.0,21.0,85.0,36.0,4.0,10.0,19.0,2.0,6.0,3.0,16.0,4.0,4.0,3.0,1.0,,1.0,,,,3.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
19,855356,2016-12-31 15:00:00,"King Power Stadium, Leicester",32060,Home,Leicester City,West Ham United,1,0,W,1,0,0,0,3.0,1.0,63.0,3.0,1.0,27.0,41.0,3.0,5.0,9.0,5.0,,,147.0,,9.0,1.0,1.0,7.0,,4.0,56.0,157.0,51.0,1.0,12.0,1.0,40.0,2.0,,1.0,1.0,1.0,25.0,14.0,1.0,41.0,5.0,9.0,23.0,124.0,1.0,,0.0,112.0,11.0,4.0,,,52.0,67.0,4.0,40.0,1.0,20.0,15.0,3.0,1.0,6.0,1.0,157.0,1.0,11.0,68.0,520.0,6.0,12.0,28.0,,13.0,192.0,24.0,10.0,22.0,1.0,5.0,9.0,3.0,14.0,283.0,52.0,,,90714,5.0,86.0,,14.0,106.0,3.0,1.0,15.0,9.0,68.0,,3.0,12.0,13.0,3.0,2.0,,75.0,205.0,8.0,8.0,,40.0,81.0,,,0.0,1.0,1.0,7.0,2.0,1.0,,4.0,0.0,3.0,39.7,9.0,4.0,1.0,1.0,3.0,2.0,35.0,7.0,311.0,13.0,6.0,15.0,6.0,31.0,4.0,230.0,4.0,9.0,19.0,64.0,25.0,3.0,22.0,15.0,,10.0,3.0,13.0,3.0,11.0,7.0,5.0,1.0,,2.0,1.0,1.0,3.0,1.0,4.0,2.0,,1.0,,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
20,855366,2017-01-02 12:30:00,"Riverside Stadium, Middlesbrough",32437,Away,Leicester City,Middlesbrough,0,0,D,0,0,0,0,1.0,,70.0,1.0,,30.0,36.0,6.0,5.0,4.0,1.0,,1.0,153.0,,4.0,,3.0,8.0,,4.0,68.0,174.0,68.0,2.0,10.0,2.0,25.0,2.0,,,3.0,,15.0,19.0,2.0,36.0,2.0,11.0,22.0,140.0,1.0,,0.0,106.0,9.0,,,,47.0,56.0,4.0,44.0,2.0,13.0,14.0,6.0,2.0,7.0,2.0,174.0,,4.0,66.0,534.0,7.0,21.0,15.0,2.0,13.0,202.0,23.0,9.0,17.0,,0.0,2.0,4.0,31.0,300.0,64.0,,1.0,90714,1.0,82.0,,6.0,107.0,6.0,,14.0,13.0,66.0,,1.0,17.0,5.0,7.0,1.0,,75.0,219.0,10.0,16.0,1.0,38.0,77.0,,,0.0,1.0,1.0,2.0,,,,5.0,0.0,3.0,37.6,17.0,6.0,1.0,1.0,1.0,2.0,36.0,2.0,331.0,13.0,10.0,14.0,4.0,22.0,2.0,239.0,2.0,8.0,32.0,62.0,30.0,3.0,17.0,22.0,,6.0,3.0,12.0,3.0,7.0,2.0,3.0,1.0,4.0,2.0,,,,,2.0,4.0,,2.0,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
21,855375,2017-01-14 17:30:00,"King Power Stadium, Leicester",32066,Home,Leicester City,Chelsea,0,3,L,0,1,0,0,2.0,,63.0,,,26.0,17.0,4.0,3.0,3.0,,,,150.0,,6.0,,2.0,6.0,,2.0,75.0,147.0,42.0,,7.0,,19.0,2.0,,,,2.0,15.0,9.0,,17.0,3.0,8.0,20.0,106.0,1.0,,0.0,93.0,8.0,,,2.0,62.0,64.0,2.0,47.0,1.0,12.0,19.0,4.0,,2.0,4.0,147.0,,5.0,69.0,503.0,6.0,13.0,10.0,,17.0,221.0,30.0,7.0,9.0,2.0,1.0,3.0,4.0,30.0,322.0,53.0,,,90714,1.0,128.0,,8.0,152.0,4.0,,19.0,5.0,46.0,1.0,3.0,9.0,3.0,1.0,1.0,,68.0,232.0,9.0,13.0,,38.0,83.0,,,0.0,,,5.0,,,3.0,4.0,0.0,1.0,35.2,22.0,4.0,1.0,1.0,3.0,,33.0,3.0,341.0,17.0,4.0,8.0,5.0,28.0,1.0,204.0,3.0,8.0,14.0,46.0,24.0,2.0,9.0,13.0,2.0,6.0,3.0,8.0,2.0,11.0,3.0,2.0,,1.0,3.0,,,2.0,,2.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
22,855389,2017-01-22 12:00:00,"St. Mary's Stadium, Southampton",30548,Away,Leicester City,Southampton,0,3,L,0,2,0,0,,,55.0,2.0,,19.0,38.0,7.0,1.0,3.0,4.0,,2.0,176.0,,12.0,,2.0,7.0,,2.0,56.0,195.0,68.0,1.0,11.0,2.0,35.0,1.0,,,1.0,2.0,20.0,11.0,1.0,38.0,2.0,6.0,28.0,125.0,2.0,,0.0,114.0,10.0,3.0,,1.0,74.0,40.0,2.0,39.0,1.0,18.0,33.0,8.0,1.0,6.0,5.0,195.0,1.0,14.0,66.0,554.0,7.0,19.0,11.0,,14.0,184.0,19.0,6.0,21.0,,1.0,3.0,5.0,27.0,304.0,58.0,,1.0,90714,1.0,79.0,1.0,11.0,112.0,6.0,,33.0,15.0,61.0,,,12.0,6.0,5.0,2.0,,69.0,200.0,7.0,6.0,,37.0,82.0,,1.0,0.0,,2.0,7.0,2.0,,3.0,2.0,0.0,1.0,39.9,12.0,2.0,1.0,1.0,,2.0,28.0,2.0,337.0,14.0,6.0,14.0,7.0,30.0,2.0,245.0,9.0,5.0,32.0,63.0,29.0,3.0,21.0,17.0,3.0,6.0,2.0,18.0,3.0,19.0,2.0,4.0,,2.0,2.0,,,1.0,2.0,4.0,2.0,,,,,,2.0,,2.0,,,,2.0,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,
23,855394,2017-01-31 19:45:00,"Turf Moor, Burnley",19202,Away,Leicester City,Burnley,0,1,L,0,0,0,0,1.0,,64.0,,3.0,24.0,53.0,6.0,4.0,7.0,2.0,,3.0,164.0,,7.0,,1.0,8.0,,5.0,34.0,177.0,53.0,,13.0,2.0,52.0,1.0,,1.0,1.0,,16.0,7.0,4.0,53.0,2.0,12.0,26.0,92.0,,,0.0,83.0,8.0,2.0,,1.0,56.0,41.0,7.0,37.0,2.0,14.0,22.0,6.0,,3.0,,177.0,,15.0,51.0,502.0,7.0,15.0,18.0,1.0,11.0,151.0,32.0,8.0,30.0,1.0,0.0,9.0,1.0,25.0,258.0,58.0,,,90714,6.0,72.0,1.0,10.0,101.0,2.0,,22.0,18.0,81.0,,2.0,8.0,9.0,5.0,1.0,,91.0,160.0,3.0,5.0,1.0,49.0,94.0,,,0.0,,3.0,10.0,2.0,,1.0,3.0,0.0,3.0,40.1,18.0,3.0,,,2.0,5.0,39.0,2.0,286.0,11.0,7.0,10.0,3.0,29.0,3.0,201.0,6.0,9.0,31.0,36.0,21.0,3.0,30.0,12.0,1.0,11.0,2.0,16.0,3.0,17.0,2.0,4.0,,,,3.0,,4.0,,4.0,,,,,,,2.0,,2.0,2.0,2.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,855406,2017-02-05 16:00:00,"King Power Stadium, Leicester",32072,Home,Leicester City,Manchester United,0,3,L,0,2,0,0,,,54.0,1.0,3.0,16.0,17.0,5.0,4.0,6.0,6.0,,1.0,144.0,,14.0,,4.0,8.0,,1.0,51.0,156.0,55.0,1.0,11.0,1.0,39.0,,2.0,,,2.0,23.0,13.0,1.0,17.0,7.0,11.0,23.0,111.0,2.0,,0.0,102.0,12.0,3.0,,2.0,47.0,58.0,4.0,50.0,2.0,16.0,18.0,5.0,1.0,4.0,3.0,156.0,,13.0,47.0,489.0,7.0,13.0,19.0,,12.0,172.0,17.0,6.0,13.0,,2.0,3.0,4.0,20.0,261.0,62.0,,,90714,2.0,85.0,,10.0,108.0,8.0,,18.0,7.0,78.0,,3.0,12.0,3.0,2.0,,,60.0,192.0,13.0,11.0,1.0,37.0,72.0,,,0.0,,1.0,3.0,5.0,,3.0,5.0,0.0,3.0,32.4,14.0,1.0,,1.0,3.0,4.0,25.0,10.0,292.0,12.0,9.0,10.0,6.0,23.0,3.0,207.0,4.0,9.0,16.0,60.0,26.0,2.0,13.0,14.0,3.0,7.0,2.0,22.0,2.0,15.0,10.0,4.0,,,1.0,,,1.0,,2.0,,1.0,,,,,,,,,,,1.0,,,,2.0,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,
25,855420,2017-02-12 16:00:00,"Swansea.com Stadium, Swansea",20391,Away,Leicester City,Swansea City,0,2,L,0,2,0,0,1.0,,64.0,1.0,1.0,38.0,23.0,5.0,5.0,4.0,2.0,,,205.0,,11.0,,1.0,7.0,,1.0,104.0,188.0,65.0,,9.0,3.0,34.0,1.0,1.0,2.0,1.0,1.0,16.0,10.0,,23.0,2.0,11.0,44.0,185.0,1.0,,0.0,147.0,14.0,2.0,,1.0,110.0,52.0,3.0,85.0,1.0,14.0,23.0,5.0,,5.0,2.0,188.0,2.0,7.0,111.0,677.0,5.0,15.0,16.0,,11.0,362.0,34.0,14.0,15.0,2.0,2.0,1.0,3.0,22.0,486.0,68.0,1.0,,90714,2.0,187.0,2.0,8.0,221.0,5.0,1.0,23.0,8.0,72.0,1.0,1.0,8.0,3.0,2.0,1.0,,103.0,371.0,7.0,8.0,1.0,59.0,94.0,,,0.0,,3.0,7.0,1.0,,2.0,7.0,0.0,1.0,51.0,15.0,3.0,,,2.0,4.0,43.0,3.0,505.0,11.0,7.0,19.0,4.0,29.0,2.0,300.0,3.0,11.0,29.0,87.0,24.0,3.0,15.0,18.0,2.0,8.0,3.0,24.0,3.0,11.0,3.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
26,855426,2017-02-27 20:00:00,"King Power Stadium, Leicester",32034,Home,Leicester City,Liverpool,3,1,W,2,0,0,0,2.0,2.0,78.0,2.0,2.0,25.0,31.0,2.0,3.0,10.0,6.0,,1.0,145.0,,8.0,3.0,,8.0,,8.0,43.0,177.0,82.0,1.0,14.0,,25.0,4.0,2.0,,2.0,,12.0,22.0,1.0,31.0,3.0,8.0,35.0,94.0,1.0,,0.0,104.0,8.0,5.0,1.0,,58.0,55.0,6.0,34.0,1.0,9.0,17.0,4.0,1.0,3.0,2.0,177.0,3.0,11.0,55.0,506.0,3.0,13.0,21.0,2.0,18.0,148.0,37.0,6.0,22.0,,0.0,5.0,2.0,29.0,255.0,63.0,1.0,,78412,8.0,69.0,1.0,6.0,94.0,4.0,1.0,17.0,9.0,69.0,1.0,3.0,13.0,6.0,4.0,2.0,,75.0,159.0,5.0,16.0,3.0,40.0,81.0,3.0,,0.0,,2.0,12.0,4.0,2.0,1.0,4.0,0.0,5.0,30.7,16.0,3.0,,,3.0,2.0,24.0,5.0,277.0,18.0,11.0,18.0,4.0,23.0,2.0,195.0,6.0,8.0,39.0,53.0,27.0,7.0,22.0,31.0,1.0,7.0,3.0,17.0,7.0,6.0,5.0,4.0,,4.0,8.0,,2.0,3.0,1.0,2.0,4.0,1.0,,,3.0,,,2.0,,,,2.0,1.0,2.0,,3.0,1.0,,2.0,1.0,2.0,,,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,
