gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,attSvHighLeft,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,attOneOnOne,cleanSheet,attMissRight,attGoalHighCentre,bigChanceCreated,attHdTarget,accurateThroughBall,sixYardBlock,totalThroughBall,totalOffside,attLfGoal,attSvHighRight,attSvLowLeft,freekickCross,attObxdRight,attMissHighLeft,penaltyConceded,attObxdLeft,defenderGoals,attFreekickTarget,attSvHighCentre,penaltyFaced,penGoalsConceded,goalsConcededIbox,handBall,attGoalLowRight,attGoalLowCentre,shotFastbreak,goalFastbreak,totalFastbreak,attSetpiece,attRfGoal,attFastbreak,punches,forwardGoals,postScoringAtt,attPostLeft,attLgCentre,attCmissLeft,attOboxPost,clearanceOffLine,contentiousDecision,totalPullBack,attPenTarget,penaltyWon,attCmissHighRight,attObxLeft,accurateFreekickCross,attPostHigh,attObxRight,attCmissRight,attIboxPost,attHdPost,attPenGoal,ptsDroppedWinningPos,errorLeadToGoal,ownGoals,attIboxOwnGoal,attOboxGoal,attCmissHighLeft,attObpGoal,attGoalHighRight,attGoalHighLeft,attPostRight,goalAssistDeadball,attPenMiss,foulThrowIn,accuratePullBack,attFreekickPost
1,855177,2016-08-13 15:00:00,"Goodison Park, Liverpool",39494,Away,Tottenham Hotspur,Everton,1,1,D,0,1,0,0,1.0,2.0,40.0,1.0,1.0,3.0,51.0,22.0,5.0,6.0,8.0,5.0,1.0,168.0,4.0,13.0,1.0,2.0,8.0,4.0,119.0,164.0,50.0,1.0,13.0,2.0,16.0,2.0,2.0,1.0,1.0,1.0,2.0,21.0,13.0,1.0,14.0,6.0,8.0,48.0,230.0,1.0,0.0,176.0,14.0,1.0,1.0,1.0,1.0,2.0,97.0,50.0,5.0,74.0,1.0,15.0,27.0,5.0,1.0,5.0,2.0,164.0,6.0,122.0,710.0,6.0,7.0,20.0,1.0,15.0,368.0,19.0,1.0,13.0,1.0,1.0,0.0,2.0,3.0,42.0,461.0,77.0,1.0,93264,4.0,158.0,1.0,10.0,182.0,8.0,27.0,6.0,63.0,1.0,5.0,1.0,12.0,6.0,4.0,1.0,84.0,384.0,10.0,9.0,1.0,16.0,4.0,73.0,1.0,0.0,2.0,5.0,4.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,57.5,33.0,1.0,2.0,2.0,5.0,5.0,39.0,6.0,2.0,483.0,15.0,1.0,16.0,27.0,4.0,35.0,1.0,2.0,322.0,5.0,8.0,10.0,129.0,11.0,1.0,10.0,18.0,1.0,8.0,2.0,22.0,1.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855188,2016-08-20 15:00:00,"White Hart Lane, London",31447,Home,Tottenham Hotspur,Crystal Palace,1,0,W,0,0,0,0,,1.0,55.0,,1.0,1.0,36.0,42.0,10.0,5.0,10.0,2.0,2.0,167.0,6.0,8.0,1.0,3.0,14.0,5.0,102.0,149.0,59.0,1.0,20.0,5.0,8.0,3.0,2.0,,,3.0,2.0,21.0,22.0,1.0,31.0,10.0,14.0,32.0,194.0,,0.0,129.0,19.0,,,1.0,1.0,,76.0,42.0,7.0,63.0,2.0,11.0,14.0,10.0,1.0,2.0,4.0,149.0,4.0,108.0,674.0,8.0,4.0,19.0,,8.0,345.0,20.0,12.0,18.0,1.0,,3.0,2.0,7.0,18.0,425.0,66.0,,93464,6.0,165.0,4.0,9.0,186.0,16.0,14.0,7.0,68.0,,9.0,,9.0,6.0,1.0,4.0,59.0,353.0,9.0,13.0,5.0,21.0,6.0,72.0,,0.0,3.0,3.0,1.0,1.0,,1.0,0.0,,,,6.0,56.9,13.0,3.0,1.0,,9.0,6.0,40.0,10.0,,440.0,8.0,,13.0,18.0,9.0,29.0,6.0,5.0,275.0,9.0,13.0,13.0,90.0,23.0,5.0,18.0,29.0,1.0,13.0,3.0,23.0,5.0,7.0,11.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855199,2016-08-27 12:30:00,"White Hart Lane, London",31211,Home,Tottenham Hotspur,Liverpool,1,1,D,0,1,0,0,,1.0,58.0,1.0,,1.0,50.0,27.0,4.0,4.0,5.0,2.0,1.0,167.0,5.0,12.0,1.0,3.0,8.0,4.0,104.0,166.0,67.0,2.0,11.0,1.0,6.0,1.0,,2.0,1.0,,1.0,17.0,17.0,2.0,19.0,5.0,15.0,42.0,164.0,,0.0,138.0,11.0,1.0,1.0,,,,41.0,65.0,4.0,55.0,,12.0,35.0,6.0,2.0,4.0,3.0,166.0,10.0,93.0,631.0,5.0,13.0,10.0,,10.0,289.0,23.0,9.0,10.0,1.0,3.0,3.0,6.0,4.0,27.0,388.0,70.0,,93264,4.0,147.0,,7.0,168.0,6.0,35.0,9.0,42.0,,4.0,1.0,11.0,3.0,,2.0,91.0,306.0,17.0,5.0,2.0,25.0,2.0,86.0,,0.0,1.0,5.0,2.0,1.0,1.0,6.0,0.0,2.0,1.0,1.0,2.0,49.3,20.0,1.0,3.0,1.0,4.0,2.0,48.0,5.0,,419.0,10.0,,14.0,20.0,5.0,27.0,3.0,2.0,268.0,5.0,13.0,16.0,75.0,24.0,,8.0,22.0,,7.0,3.0,18.0,,17.0,5.0,,,,,1.0,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855208,2016-09-10 15:00:00,"bet365 Stadium, Stoke",27385,Away,Tottenham Hotspur,Stoke City,4,0,W,1,0,0,0,,2.0,57.0,,1.0,3.0,44.0,32.0,6.0,10.0,14.0,2.0,2.0,167.0,2.0,7.0,4.0,4.0,16.0,8.0,138.0,135.0,42.0,,20.0,5.0,15.0,3.0,4.0,,4.0,,2.0,18.0,4.0,1.0,23.0,5.0,13.0,42.0,229.0,,0.0,153.0,18.0,,2.0,,3.0,1.0,49.0,71.0,14.0,84.0,,13.0,15.0,6.0,,2.0,,135.0,9.0,121.0,700.0,11.0,4.0,30.0,1.0,11.0,406.0,22.0,5.0,14.0,4.0,,2.0,7.0,2.0,22.0,483.0,71.0,,93264,4.0,199.0,1.0,11.0,220.0,7.0,15.0,7.0,64.0,,3.0,4.0,7.0,7.0,6.0,,69.0,426.0,11.0,11.0,1.0,11.0,1.0,65.0,,0.0,1.0,11.0,1.0,4.0,,2.0,0.0,2.0,3.0,,,60.3,19.0,,2.0,4.0,4.0,8.0,42.0,8.0,1.0,510.0,11.0,,14.0,22.0,4.0,38.0,,4.0,308.0,10.0,12.0,17.0,106.0,26.0,2.0,13.0,8.0,,18.0,3.0,16.0,2.0,6.0,8.0,2.0,,,1.0,1.0,1.0,2.0,,,,,,2.0,1.0,1.0,,,1.0,,,,,2.0,,,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855219,2016-09-18 16:30:00,"White Hart Lane, London",31251,Home,Tottenham Hotspur,Sunderland,1,0,W,0,0,0,1,,2.0,58.0,,,4.0,50.0,17.0,14.0,10.0,16.0,1.0,5.0,172.0,9.0,13.0,1.0,4.0,22.0,9.0,183.0,133.0,63.0,2.0,31.0,3.0,10.0,4.0,4.0,,,2.0,8.0,30.0,15.0,4.0,15.0,11.0,10.0,29.0,320.0,,0.0,190.0,7.0,,,1.0,,,103.0,70.0,12.0,82.0,,19.0,8.0,15.0,2.0,4.0,7.0,133.0,5.0,176.0,835.0,20.0,7.0,38.0,1.0,6.0,527.0,23.0,6.0,12.0,,,1.0,2.0,10.0,28.0,591.0,72.0,1.0,93264,4.0,235.0,1.0,12.0,249.0,5.0,8.0,6.0,53.0,,6.0,1.0,10.0,1.0,5.0,5.0,67.0,546.0,15.0,10.0,2.0,13.0,5.0,71.0,3.0,0.0,5.0,1.0,2.0,1.0,,2.0,0.0,4.0,,1.0,2.0,73.7,25.0,,1.0,4.0,7.0,7.0,54.0,14.0,,613.0,6.0,2.0,12.0,19.0,15.0,47.0,5.0,7.0,394.0,19.0,9.0,19.0,151.0,26.0,,11.0,16.0,,24.0,3.0,27.0,,3.0,14.0,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,3.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855227,2016-09-24 15:00:00,"Riverside Stadium, Middlesbrough",32703,Away,Tottenham Hotspur,Middlesbrough,2,1,W,2,0,0,0,,1.0,61.0,,,4.0,38.0,15.0,9.0,11.0,10.0,1.0,2.0,197.0,2.0,20.0,2.0,2.0,15.0,5.0,142.0,158.0,65.0,,19.0,3.0,16.0,1.0,,4.0,1.0,,,17.0,12.0,2.0,11.0,8.0,19.0,38.0,252.0,2.0,0.0,182.0,9.0,,,,,,87.0,45.0,8.0,88.0,,9.0,18.0,9.0,,4.0,4.0,158.0,5.0,123.0,750.0,13.0,4.0,35.0,,7.0,432.0,21.0,1.0,7.0,1.0,4.0,1.0,2.0,7.0,25.0,524.0,81.0,,97485,2.0,202.0,1.0,4.0,218.0,2.0,18.0,8.0,67.0,1.0,1.0,2.0,6.0,1.0,5.0,3.0,74.0,452.0,13.0,12.0,1.0,21.0,1.0,85.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,,,2.0,1.0,58.4,22.0,1.0,6.0,6.0,1.0,7.0,45.0,10.0,,550.0,7.0,,19.0,18.0,7.0,37.0,2.0,3.0,349.0,7.0,17.0,18.0,130.0,30.0,1.0,7.0,15.0,,18.0,3.0,32.0,1.0,9.0,10.0,,,,,1.0,,1.0,,,,1.0,3.0,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,2.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855239,2016-10-02 14:15:00,"White Hart Lane, London",31793,Home,Tottenham Hotspur,Manchester City,2,0,W,2,0,0,0,,3.0,70.0,1.0,2.0,2.0,26.0,31.0,6.0,4.0,7.0,6.0,3.0,154.0,1.0,12.0,2.0,5.0,7.0,7.0,69.0,175.0,56.0,1.0,13.0,,13.0,2.0,1.0,,1.0,1.0,3.0,14.0,20.0,4.0,26.0,4.0,4.0,32.0,143.0,1.0,0.0,140.0,20.0,,4.0,,1.0,,70.0,63.0,5.0,52.0,,10.0,19.0,6.0,1.0,1.0,2.0,175.0,6.0,73.0,576.0,6.0,,18.0,,14.0,238.0,21.0,3.0,16.0,1.0,,2.0,3.0,2.0,24.0,325.0,67.0,,93264,3.0,106.0,1.0,8.0,122.0,10.0,19.0,8.0,82.0,,6.0,1.0,15.0,6.0,4.0,,67.0,248.0,9.0,22.0,,20.0,,77.0,1.0,0.0,1.0,3.0,4.0,2.0,,,0.0,,1.0,,,42.3,13.0,,5.0,1.0,6.0,2.0,29.0,4.0,,348.0,14.0,1.0,20.0,16.0,4.0,28.0,1.0,2.0,240.0,9.0,3.0,11.0,85.0,32.0,,15.0,23.0,,10.0,3.0,19.0,,9.0,4.0,1.0,,,1.0,,,1.0,,1.0,,1.0,8.0,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,855251,2016-10-15 15:00:00,"The Hawthorns, West Bromwich",24263,Away,Tottenham Hotspur,West Bromwich Albion,1,1,D,0,0,0,0,,2.0,51.0,,,5.0,49.0,48.0,9.0,7.0,10.0,3.0,5.0,174.0,3.0,13.0,1.0,5.0,16.0,8.0,177.0,113.0,52.0,1.0,20.0,4.0,9.0,3.0,,,1.0,4.0,,23.0,9.0,4.0,37.0,5.0,17.0,28.0,319.0,1.0,0.0,205.0,10.0,1.0,2.0,,1.0,1.0,105.0,57.0,13.0,92.0,,18.0,19.0,10.0,1.0,2.0,2.0,113.0,7.0,158.0,812.0,15.0,3.0,35.0,,8.0,517.0,20.0,4.0,23.0,1.0,,2.0,1.0,3.0,15.0,578.0,81.0,,93264,6.0,224.0,1.0,14.0,236.0,5.0,19.0,6.0,43.0,,6.0,1.0,8.0,1.0,6.0,,72.0,540.0,14.0,9.0,,13.0,,52.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,,71.5,13.0,,4.0,4.0,6.0,9.0,37.0,8.0,1.0,601.0,8.0,,9.0,16.0,3.0,34.0,,1.0,388.0,13.0,17.0,14.0,168.0,21.0,2.0,23.0,11.0,,18.0,3.0,20.0,2.0,9.0,8.0,,,1.0,,2.0,,1.0,,,,,3.0,,1.0,1.0,2.0,,,,,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,855252,2016-10-22 12:30:00,"Vitality Stadium, Bournemouth",11201,Away,Tottenham Hotspur,Bournemouth,0,0,D,0,0,0,0,,1.0,61.0,,,3.0,42.0,34.0,6.0,8.0,9.0,1.0,3.0,191.0,2.0,10.0,,1.0,14.0,4.0,140.0,160.0,41.0,1.0,16.0,3.0,7.0,1.0,3.0,2.0,,2.0,1.0,9.0,14.0,3.0,22.0,3.0,17.0,27.0,261.0,,0.0,176.0,15.0,,1.0,,,3.0,88.0,61.0,8.0,91.0,1.0,6.0,20.0,7.0,1.0,3.0,,160.0,7.0,121.0,756.0,12.0,5.0,26.0,1.0,9.0,434.0,25.0,2.0,10.0,,2.0,4.0,4.0,6.0,27.0,520.0,80.0,,97485,3.0,192.0,,3.0,213.0,11.0,20.0,10.0,54.0,1.0,2.0,,20.0,1.0,5.0,1.0,69.0,451.0,9.0,9.0,2.0,13.0,3.0,76.0,1.0,0.0,4.0,7.0,1.0,,,2.0,0.0,,,2.0,1.0,61.6,16.0,1.0,4.0,3.0,2.0,6.0,49.0,4.0,3.0,543.0,9.0,,16.0,11.0,6.0,29.0,2.0,5.0,339.0,7.0,16.0,4.0,130.0,26.0,,7.0,18.0,,12.0,2.0,17.0,,9.0,4.0,,,,1.0,3.0,,,,,,1.0,3.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10,855269,2016-10-29 15:00:00,"White Hart Lane, London",31868,Home,Tottenham Hotspur,Leicester City,1,1,D,1,0,0,0,,3.0,56.0,,,3.0,43.0,38.0,12.0,13.0,10.0,,1.0,158.0,6.0,14.0,1.0,8.0,16.0,5.0,131.0,146.0,72.0,3.0,22.0,3.0,12.0,,,1.0,,3.0,5.0,26.0,7.0,4.0,38.0,7.0,11.0,35.0,236.0,2.0,0.0,161.0,11.0,,,,,,82.0,55.0,9.0,66.0,3.0,19.0,7.0,12.0,3.0,3.0,5.0,146.0,4.0,138.0,724.0,15.0,3.0,31.0,2.0,9.0,384.0,28.0,5.0,23.0,,1.0,3.0,1.0,7.0,36.0,467.0,73.0,,93264,4.0,175.0,,14.0,199.0,5.0,7.0,7.0,46.0,,3.0,,12.0,2.0,4.0,,76.0,405.0,20.0,5.0,1.0,17.0,3.0,73.0,,0.0,2.0,1.0,,1.0,1.0,,0.0,6.0,,,1.0,64.1,33.0,,,4.0,3.0,6.0,46.0,8.0,,493.0,9.0,2.0,15.0,17.0,11.0,44.0,,4.0,320.0,8.0,11.0,30.0,119.0,24.0,4.0,23.0,11.0,,15.0,2.0,18.0,4.0,3.0,8.0,1.0,,,,2.0,,,,,,2.0,2.0,1.0,,,2.0,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,,,2.0,,,,,,1.0,1.0,,1.0,2.0,,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
