gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,accurateKeeperSweeper,attOboxTarget,attMissHighRight,attSvHighRight,interceptionsInBox,secondYellow,attHdTarget,totalKeeperSweeper,accurateThroughBall,sixYardBlock,totalThroughBall,attBxLeft,attSvHighCentre,accurateCornersIntobox,penaltySave,attGoalLowLeft,goalAssistSetplay,attCmissRight,attFreekickTotal,freekickTotal,bigChanceCreated,bigChanceMissed,attSetpiece,penaltyConceded,attRfGoal,attMissHigh,punches,attCmissHighRight,clearanceOffLine,penaltyFaced,attFreekickMiss,forwardGoals,ptsDroppedWinningPos,shotFastbreak,attMissLeft,cleanSheet,totalFastbreak,attSvLowLeft,errorLeadToShot,attFastbreak,attCmissLeft,attHdMiss,postScoringAtt,attIboxPost,contentiousDecision,hitWoodwork,attPostHigh,attOboxGoal,midfielderGoals,attGoalHighLeft,attObxRight,attPostRight,bigChanceScored,attGoalLowRight,attGoalLowCentre,attFreekickPost,attPostLeft,attOboxPost,attHdGoal,goalAssistDeadball,penaltyWon,attSvHighLeft,attGoalHighCentre,attCmissHigh,attPenGoal,attFreekickTarget,shieldBallOop,attOneOnOne,attHdPost,totalPullBack,attObpGoal,penGoalsConceded,attCmissHighLeft,accuratePullBack,ptsGainedLosingPos,attObxLeft,ownGoals,attIboxOwnGoal,goalFastbreak,foulThrowIn,attObxdRight,attPenTarget,attPenMiss,attObxdLeft,attLgLeft
1,855172,2016-08-14 13:30:00,"Vitality Stadium, Bournemouth",11355,Home,Bournemouth,Manchester United,1,3,L,0,1,0,0,1.0,2.0,63.0,1.0,2.0,37.0,7.0,3.0,4.0,6.0,4.0,1.0,146.0,3.0,13.0,1.0,2.0,7.0,3.0,136.0,146.0,44.0,9.0,2.0,8.0,2.0,2.0,1.0,1.0,24.0,12.0,1.0,5.0,1.0,7.0,46.0,234.0,0.0,156.0,7.0,4.0,1.0,2.0,87.0,89.0,6.0,81.0,1.0,23.0,19.0,3.0,8.0,1.0,146.0,8.0,120.0,677.0,5.0,3.0,14.0,10.0,393.0,22.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,26.0,458.0,61.0,1.0,88498,3.0,181.0,14.0,192.0,4.0,19.0,6.0,50.0,1.0,3.0,5.0,1.0,19.0,3.0,3.0,58.0,412.0,10.0,8.0,1.0,11.0,3.0,59.0,1.0,0.0,3.0,2.0,3.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,47.4,24.0,6.0,5.0,4.0,43.0,4.0,2.0,483.0,10.0,19.0,25.0,2.0,26.0,1.0,315.0,4.0,7.0,8.0,115.0,30.0,1.0,2.0,15.0,2.0,5.0,3.0,21.0,1.0,1.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855191,2016-08-21 16:00:00,"London Stadium, London",56977,Away,Bournemouth,West Ham United,0,1,L,0,0,1,0,,3.0,53.0,,1.0,31.0,30.0,4.0,3.0,4.0,1.0,,145.0,3.0,4.0,,1.0,8.0,5.0,99.0,138.0,51.0,8.0,1.0,17.0,2.0,,,2.0,15.0,8.0,,27.0,6.0,5.0,30.0,153.0,0.0,100.0,15.0,,1.0,1.0,74.0,46.0,7.0,67.0,,9.0,14.0,4.0,3.0,,138.0,9.0,99.0,583.0,5.0,4.0,15.0,14.0,305.0,24.0,,5.0,22.0,,1.0,5.0,1.0,22.0,381.0,56.0,,90105,2.0,170.0,5.0,192.0,7.0,14.0,12.0,55.0,,1.0,5.0,,13.0,7.0,4.0,75.0,320.0,15.0,10.0,3.0,28.0,2.0,91.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,53.2,17.0,2.0,5.0,2.0,53.0,6.0,1.0,410.0,14.0,14.0,18.0,1.0,24.0,1.0,233.0,4.0,5.0,24.0,57.0,19.0,6.0,22.0,10.0,1.0,5.0,3.0,6.0,,6.0,1.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855193,2016-08-27 15:00:00,"Selhurst Park, London",23503,Away,Bournemouth,Crystal Palace,1,1,D,1,0,0,0,,1.0,45.0,1.0,1.0,32.0,52.0,5.0,4.0,5.0,3.0,,139.0,2.0,7.0,1.0,6.0,7.0,3.0,69.0,125.0,46.0,10.0,2.0,23.0,2.0,2.0,,2.0,12.0,10.0,,38.0,2.0,5.0,25.0,128.0,0.0,108.0,10.0,3.0,3.0,,52.0,39.0,5.0,47.0,2.0,10.0,7.0,5.0,1.0,3.0,125.0,16.0,71.0,514.0,6.0,3.0,18.0,9.0,236.0,27.0,,7.0,19.0,1.0,1.0,8.0,2.0,13.0,295.0,62.0,,90105,3.0,120.0,6.0,142.0,3.0,7.0,12.0,65.0,,2.0,2.0,,9.0,8.0,3.0,74.0,246.0,14.0,14.0,,25.0,,74.0,,0.0,2.0,10.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,,40.6,11.0,2.0,3.0,3.0,35.0,4.0,,326.0,9.0,16.0,10.0,4.0,21.0,1.0,196.0,6.0,5.0,8.0,71.0,12.0,2.0,17.0,17.0,1.0,5.0,3.0,10.0,,2.0,2.0,4.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855202,2016-09-10 15:00:00,"Vitality Stadium, Bournemouth",11184,Home,Bournemouth,West Bromwich Albion,1,0,W,0,0,0,0,,1.0,64.0,,2.0,33.0,37.0,4.0,3.0,8.0,2.0,,141.0,5.0,15.0,1.0,5.0,9.0,5.0,127.0,143.0,58.0,12.0,,16.0,2.0,2.0,1.0,3.0,27.0,14.0,,31.0,6.0,16.0,30.0,240.0,0.0,174.0,9.0,2.0,2.0,,69.0,95.0,5.0,75.0,1.0,21.0,21.0,4.0,4.0,2.0,143.0,6.0,134.0,697.0,7.0,1.0,31.0,13.0,379.0,29.0,1.0,4.0,26.0,1.0,1.0,4.0,4.0,23.0,452.0,59.0,1.0,88498,2.0,164.0,15.0,183.0,3.0,21.0,10.0,45.0,,1.0,2.0,1.0,16.0,6.0,7.0,68.0,399.0,11.0,5.0,1.0,26.0,1.0,63.0,,0.0,4.0,5.0,2.0,1.0,,1.0,0.0,4.0,1.0,1.0,63.5,18.0,6.0,3.0,2.0,35.0,10.0,,477.0,13.0,9.0,18.0,5.0,40.0,3.0,321.0,8.0,15.0,17.0,134.0,24.0,,23.0,15.0,,11.0,3.0,22.0,,,9.0,10.0,,3.0,,2.0,2.0,,4.0,,,,1.0,,2.0,3.0,,1.0,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855217,2016-09-17 15:00:00,"Etihad Stadium, Manchester",54335,Away,Bournemouth,Manchester City,0,4,L,0,2,0,1,1.0,,63.0,4.0,1.0,32.0,11.0,3.0,2.0,3.0,7.0,,119.0,3.0,21.0,,1.0,6.0,2.0,80.0,118.0,45.0,6.0,,6.0,1.0,,,,11.0,10.0,,10.0,5.0,6.0,10.0,104.0,0.0,66.0,11.0,7.0,1.0,,49.0,42.0,3.0,44.0,1.0,6.0,14.0,3.0,1.0,2.0,118.0,11.0,77.0,495.0,6.0,4.0,17.0,15.0,228.0,31.0,,8.0,5.0,,1.0,5.0,3.0,18.0,293.0,27.0,,88498,1.0,148.0,4.0,180.0,7.0,14.0,10.0,56.0,,2.0,6.0,,7.0,9.0,7.0,56.0,249.0,7.0,14.0,,27.0,,45.0,,0.0,4.0,5.0,3.0,,4.0,1.0,0.0,2.0,,,35.8,17.0,7.0,6.0,1.0,28.0,5.0,1.0,320.0,15.0,19.0,8.0,3.0,14.0,,151.0,4.0,5.0,3.0,47.0,15.0,3.0,4.0,14.0,3.0,6.0,3.0,27.0,,3.0,5.0,5.0,,2.0,,1.0,,,3.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855222,2016-09-24 15:00:00,"Vitality Stadium, Bournemouth",11291,Home,Bournemouth,Everton,1,0,W,1,0,0,0,,,69.0,1.0,2.0,29.0,29.0,5.0,5.0,6.0,2.0,,170.0,2.0,10.0,1.0,2.0,9.0,1.0,89.0,154.0,54.0,12.0,2.0,15.0,,,1.0,,15.0,10.0,,25.0,4.0,12.0,24.0,197.0,0.0,142.0,10.0,1.0,2.0,,73.0,94.0,5.0,70.0,2.0,11.0,19.0,6.0,5.0,3.0,154.0,6.0,93.0,638.0,8.0,5.0,20.0,11.0,319.0,27.0,,7.0,15.0,1.0,2.0,5.0,4.0,26.0,396.0,65.0,,88498,4.0,137.0,4.0,158.0,6.0,19.0,10.0,56.0,,1.0,3.0,1.0,17.0,7.0,4.0,72.0,332.0,13.0,6.0,,35.0,1.0,74.0,,0.0,3.0,3.0,1.0,,,3.0,0.0,2.0,,2.0,52.8,22.0,4.0,3.0,4.0,43.0,5.0,,422.0,11.0,14.0,17.0,7.0,22.0,3.0,279.0,5.0,12.0,13.0,88.0,34.0,3.0,14.0,18.0,,10.0,3.0,22.0,,3.0,9.0,5.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,3.0,1.0,,,,,1.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855240,2016-10-01 15:00:00,"Vicarage Road, Watford",20575,Away,Bournemouth,Watford,2,2,D,1,0,0,0,,,52.0,1.0,2.0,31.0,22.0,7.0,4.0,4.0,5.0,,154.0,2.0,12.0,2.0,4.0,7.0,2.0,83.0,144.0,56.0,11.0,1.0,18.0,,,1.0,,20.0,14.0,,21.0,5.0,7.0,33.0,165.0,0.0,128.0,12.0,2.0,2.0,1.0,62.0,43.0,3.0,56.0,,15.0,17.0,7.0,3.0,3.0,144.0,9.0,89.0,585.0,6.0,6.0,12.0,7.0,284.0,28.0,,1.0,12.0,1.0,4.0,5.0,4.0,22.0,356.0,56.0,,88498,2.0,136.0,10.0,160.0,6.0,17.0,7.0,55.0,,2.0,5.0,2.0,14.0,8.0,3.0,67.0,299.0,16.0,8.0,,14.0,1.0,60.0,,0.0,2.0,4.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,52.0,15.0,2.0,5.0,3.0,27.0,5.0,1.0,382.0,7.0,9.0,13.0,6.0,27.0,,242.0,6.0,6.0,14.0,92.0,14.0,4.0,12.0,15.0,2.0,9.0,3.0,21.0,,4.0,11.0,5.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,1.0,,,1.0,2.0,,,,,,1.0,2.0,,,,,,,,,,3.0,1.0,,3.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,855242,2016-10-15 15:00:00,"Vitality Stadium, Bournemouth",11029,Home,Bournemouth,Hull City,6,1,W,3,1,0,0,1.0,1.0,66.0,2.0,4.0,34.0,34.0,9.0,8.0,13.0,3.0,2.0,144.0,3.0,10.0,6.0,6.0,17.0,10.0,115.0,107.0,46.0,22.0,3.0,8.0,2.0,2.0,2.0,,12.0,7.0,,30.0,3.0,5.0,16.0,208.0,0.0,127.0,8.0,1.0,4.0,5.0,54.0,61.0,13.0,76.0,,9.0,16.0,9.0,1.0,3.0,107.0,4.0,124.0,667.0,12.0,2.0,33.0,24.0,388.0,19.0,,5.0,24.0,4.0,0.0,1.0,4.0,10.0,438.0,48.0,1.0,90105,9.0,197.0,4.0,216.0,2.0,16.0,9.0,47.0,2.0,,9.0,2.0,12.0,7.0,4.0,56.0,402.0,14.0,8.0,1.0,14.0,2.0,59.0,1.0,0.0,2.0,4.0,1.0,6.0,1.0,,0.0,2.0,4.0,3.0,49.5,7.0,6.0,9.0,7.0,38.0,5.0,5.0,459.0,24.0,13.0,9.0,5.0,24.0,,255.0,11.0,4.0,13.0,102.0,30.0,1.0,22.0,10.0,,15.0,3.0,21.0,,1.0,6.0,5.0,1.0,2.0,,2.0,,,3.0,,1.0,,,,,1.0,1.0,1.0,,3.0,2.0,,2.0,2.0,1.0,,2.0,,2.0,1.0,2.0,,,,,1.0,,,2.0,,,1.0,,,1.0,,2.0,1.0,,2.0,1.0,,2.0,,,1.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,855252,2016-10-22 12:30:00,"Vitality Stadium, Bournemouth",11201,Home,Bournemouth,Tottenham Hotspur,0,0,D,0,0,0,0,,1.0,71.0,3.0,3.0,24.0,37.0,1.0,4.0,7.0,4.0,,139.0,2.0,9.0,,,7.0,1.0,66.0,156.0,54.0,8.0,1.0,4.0,1.0,,,1.0,15.0,16.0,,32.0,5.0,11.0,21.0,120.0,0.0,97.0,10.0,3.0,,,51.0,71.0,4.0,59.0,1.0,10.0,20.0,1.0,3.0,,156.0,9.0,59.0,566.0,7.0,3.0,21.0,19.0,217.0,32.0,,8.0,18.0,,2.0,6.0,3.0,19.0,294.0,59.0,,90105,4.0,114.0,7.0,133.0,4.0,20.0,8.0,41.0,,1.0,8.0,,22.0,7.0,3.0,68.0,232.0,15.0,10.0,,39.0,2.0,70.0,,0.0,7.0,4.0,1.0,,,1.0,0.0,2.0,,2.0,38.4,15.0,4.0,8.0,4.0,29.0,7.0,,323.0,19.0,13.0,10.0,3.0,23.0,3.0,205.0,2.0,10.0,7.0,50.0,26.0,1.0,16.0,23.0,,6.0,3.0,14.0,,1.0,11.0,7.0,1.0,,,,,,2.0,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
10,855265,2016-10-29 15:00:00,"Riverside Stadium, Middlesbrough",29600,Away,Bournemouth,Middlesbrough,0,2,L,0,1,0,0,,,65.0,,1.0,26.0,14.0,11.0,7.0,7.0,1.0,,150.0,5.0,20.0,,3.0,14.0,3.0,152.0,147.0,59.0,18.0,6.0,11.0,3.0,,,1.0,21.0,13.0,,14.0,6.0,11.0,34.0,291.0,0.0,205.0,7.0,1.0,,1.0,73.0,78.0,8.0,70.0,2.0,15.0,21.0,11.0,2.0,5.0,147.0,5.0,154.0,726.0,11.0,2.0,38.0,13.0,421.0,26.0,2.0,3.0,8.0,,1.0,2.0,6.0,24.0,504.0,65.0,,90105,5.0,152.0,13.0,170.0,,21.0,10.0,52.0,,,3.0,,15.0,6.0,6.0,53.0,438.0,7.0,13.0,3.0,14.0,4.0,63.0,,0.0,3.0,4.0,1.0,,2.0,2.0,0.0,3.0,,2.0,59.6,22.0,3.0,4.0,7.0,35.0,9.0,1.0,526.0,13.0,21.0,17.0,8.0,38.0,2.0,377.0,9.0,10.0,16.0,156.0,30.0,3.0,8.0,16.0,2.0,12.0,3.0,21.0,,3.0,9.0,9.0,1.0,3.0,2.0,,3.0,1.0,3.0,,,2.0,3.0,,4.0,2.0,1.0,2.0,,,,,1.0,1.0,3.0,3.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
