gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,saves,attCmissRight,divingSave,goodHighClaim,interceptionsInBox,outfielderBlock,penaltyConceded,savedIbox,accurateFlickOn,penaltyFaced,totalHighClaim,penGoalsConceded,attGoalLowCentre,goalAssistOpenplay,attOboxGoal,attSvHighLeft,goalAssist,accurateThroughBall,attRfGoal,goalsOpenplay,attFreekickMiss,accurateCornersIntobox,attObxLeft,attOneOnOne,bigChanceCreated,attHdTarget,hitWoodwork,bigChanceMissed,ptsDroppedWinningPos,postScoringAtt,attIboxPost,attGoalHighRight,attSvHighRight,cleanSheet,contentiousDecision,attPostHigh,bigChanceScored,attGoalLowRight,accuratePullBack,midfielderGoals,goalAssistIntentional,attSvHighCentre,clearanceOffLine,attPostLeft,errorLeadToShot,goalAssistSetplay,goalAssistDeadball,penaltyWon,sixYardBlock,attPenGoal,foulThrowIn,goalsConcededObox,accurateKeeperSweeper,attHdPost,totalKeeperSweeper,handBall,attPostRight,attHdGoal,errorLeadToGoal,attGoalHighLeft,punches,defenderGoals,secondYellow,attCmissHighRight,attObxdLeft,attObpGoal,attGoalHighCentre,attPenTarget,penaltySave,attPenPost,attOboxPost
1,855181,2016-08-13 15:00:00,"St. Mary's Stadium, Southampton",31488,Home,Southampton,Watford,1,1,D,0,1,0,1,2.0,78.0,1.0,3.0,28.0,21.0,12.0,10.0,11.0,1.0,3.0,183.0,3.0,11.0,1.0,4.0,16.0,6.0,160.0,156.0,44.0,2.0,24.0,5.0,19.0,1.0,2.0,1.0,4.0,31.0,10.0,4.0,19.0,6.0,26.0,29.0,277.0,1.0,0.0,171.0,8.0,1.0,1.0,1.0,74.0,84.0,10.0,87.0,1.0,25.0,13.0,13.0,2.0,13.0,4.0,156.0,1.0,153.0,795.0,15.0,1.0,29.0,16.0,484.0,27.0,2.0,1.0,10.0,1.0,6.0,25.0,565.0,72.0,1.0,97032,4.0,221.0,11.0,3.0,231.0,2.0,2.0,13.0,6.0,60.0,1.0,3.0,1.0,4.0,2.0,7.0,4.0,1.0,2.0,57.0,495.0,11.0,8.0,1.0,13.0,3.0,86.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,64.3,21.0,3.0,1.0,5.0,3.0,4.0,8.0,51.0,6.0,583.0,16.0,22.0,19.0,10.0,45.0,6.0,383.0,11.0,26.0,9.0,122.0,41.0,1.0,3.0,9.0,13.0,1.0,16.0,3.0,14.0,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855184,2016-08-19 20:00:00,"Old Trafford, Manchester",75326,Away,Southampton,Manchester United,0,2,L,0,1,0,0,1.0,56.0,,1.0,37.0,22.0,6.0,6.0,7.0,,,154.0,6.0,3.0,,3.0,12.0,1.0,139.0,118.0,44.0,1.0,13.0,2.0,13.0,,1.0,1.0,3.0,23.0,20.0,1.0,15.0,,29.0,34.0,303.0,,0.0,176.0,8.0,,,1.0,118.0,86.0,3.0,90.0,1.0,23.0,20.0,6.0,1.0,10.0,3.0,118.0,7.0,150.0,716.0,10.0,3.0,21.0,16.0,439.0,23.0,4.0,4.0,8.0,0.0,9.0,21.0,511.0,67.0,1.0,97032,4.0,156.0,12.0,3.0,175.0,7.0,,20.0,8.0,48.0,,1.0,2.0,4.0,,5.0,5.0,1.0,1.0,71.0,453.0,10.0,16.0,2.0,19.0,,73.0,,2.0,0.0,,,4.0,,2.0,0.0,6.0,,2.0,56.6,18.0,2.0,,2.0,2.0,4.0,3.0,40.0,,533.0,16.0,6.0,23.0,9.0,26.0,6.0,381.0,5.0,26.0,6.0,139.0,26.0,,3.0,7.0,25.0,2.0,9.0,3.0,8.0,3.0,8.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855198,2016-08-27 15:00:00,"St. Mary's Stadium, Southampton",30152,Home,Southampton,Sunderland,1,1,D,0,0,0,0,2.0,57.0,,,20.0,31.0,15.0,4.0,1.0,,4.0,172.0,4.0,10.0,1.0,3.0,9.0,7.0,126.0,133.0,45.0,2.0,16.0,4.0,20.0,1.0,,1.0,2.0,21.0,12.0,5.0,24.0,5.0,18.0,16.0,222.0,,0.0,160.0,15.0,1.0,3.0,1.0,72.0,65.0,8.0,75.0,1.0,16.0,16.0,15.0,2.0,6.0,5.0,133.0,4.0,107.0,671.0,8.0,6.0,16.0,20.0,378.0,24.0,,7.0,15.0,2.0,1.0,20.0,465.0,66.0,1.0,97032,1.0,173.0,9.0,,191.0,9.0,1.0,16.0,6.0,58.0,1.0,2.0,4.0,6.0,,6.0,1.0,5.0,2.0,45.0,391.0,8.0,11.0,,25.0,1.0,64.0,1.0,1.0,0.0,,2.0,5.0,,1.0,0.0,3.0,,,63.8,18.0,,,2.0,,6.0,4.0,38.0,5.0,480.0,20.0,12.0,9.0,5.0,31.0,,310.0,12.0,18.0,11.0,110.0,24.0,,3.0,10.0,16.0,1.0,13.0,3.0,11.0,3.0,7.0,5.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855203,2016-09-10 15:00:00,"Emirates Stadium, London",59962,Away,Southampton,Arsenal,1,2,L,1,1,0,0,2.0,66.0,,1.0,32.0,31.0,4.0,3.0,6.0,,2.0,174.0,4.0,6.0,1.0,1.0,9.0,5.0,107.0,142.0,51.0,1.0,11.0,1.0,13.0,2.0,2.0,2.0,1.0,16.0,14.0,3.0,24.0,1.0,19.0,31.0,182.0,,0.0,131.0,8.0,,1.0,,53.0,66.0,5.0,77.0,,15.0,25.0,5.0,1.0,7.0,1.0,142.0,15.0,99.0,640.0,9.0,8.0,10.0,18.0,341.0,26.0,,8.0,16.0,5.0,4.0,14.0,427.0,67.0,,97032,3.0,180.0,8.0,1.0,197.0,4.0,,25.0,13.0,48.0,,1.0,2.0,1.0,,11.0,2.0,7.0,3.0,72.0,358.0,10.0,14.0,,28.0,,75.0,1.0,,0.0,1.0,1.0,6.0,1.0,2.0,0.0,4.0,,3.0,43.3,10.0,2.0,,4.0,1.0,1.0,2.0,41.0,1.0,457.0,18.0,9.0,16.0,4.0,22.0,3.0,276.0,5.0,16.0,19.0,80.0,30.0,,3.0,14.0,16.0,2.0,9.0,3.0,10.0,3.0,12.0,1.0,,,,,3.0,3.0,8.0,1.0,,1.0,1.0,3.0,1.0,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855218,2016-09-18 14:15:00,"St. Mary's Stadium, Southampton",29087,Home,Southampton,Swansea City,1,0,W,0,0,0,0,1.0,64.0,,3.0,47.0,14.0,6.0,2.0,13.0,,3.0,166.0,10.0,8.0,1.0,1.0,16.0,6.0,116.0,136.0,44.0,1.0,19.0,1.0,19.0,2.0,2.0,,,34.0,9.0,3.0,10.0,7.0,11.0,34.0,227.0,2.0,0.0,143.0,14.0,,1.0,,44.0,109.0,7.0,73.0,2.0,27.0,17.0,6.0,1.0,9.0,2.0,136.0,6.0,87.0,644.0,14.0,9.0,27.0,20.0,354.0,22.0,1.0,8.0,9.0,1.0,9.0,24.0,422.0,60.0,,97032,8.0,148.0,18.0,,157.0,7.0,1.0,17.0,7.0,52.0,,1.0,5.0,4.0,,12.0,3.0,3.0,3.0,77.0,365.0,9.0,7.0,2.0,25.0,3.0,85.0,3.0,,0.0,1.0,1.0,1.0,1.0,,0.0,8.0,1.0,4.0,53.0,21.0,3.0,,,2.0,4.0,4.0,60.0,7.0,442.0,20.0,10.0,25.0,9.0,41.0,6.0,319.0,13.0,11.0,18.0,99.0,34.0,,3.0,8.0,11.0,,15.0,3.0,12.0,3.0,10.0,7.0,,3.0,2.0,1.0,1.0,1.0,1.0,,3.0,2.0,,1.0,,,,,,,1.0,1.0,1.0,,2.0,,,3.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855231,2016-09-25 16:00:00,"London Stadium, London",56864,Away,Southampton,West Ham United,3,0,W,1,0,0,0,2.0,53.0,,3.0,33.0,38.0,3.0,7.0,15.0,3.0,3.0,170.0,3.0,5.0,3.0,3.0,15.0,9.0,113.0,116.0,45.0,,18.0,1.0,17.0,6.0,2.0,3.0,2.0,16.0,13.0,,31.0,2.0,19.0,24.0,199.0,,0.0,119.0,14.0,,,3.0,67.0,73.0,11.0,80.0,2.0,14.0,19.0,3.0,,6.0,2.0,116.0,7.0,109.0,652.0,13.0,10.0,26.0,12.0,371.0,23.0,,4.0,30.0,2.0,4.0,17.0,451.0,53.0,1.0,97032,9.0,190.0,5.0,1.0,211.0,9.0,4.0,19.0,11.0,47.0,,4.0,,2.0,,7.0,6.0,7.0,1.0,65.0,386.0,9.0,9.0,,22.0,,78.0,1.0,1.0,0.0,,2.0,7.0,3.0,,0.0,3.0,1.0,1.0,54.9,16.0,,,5.0,2.0,2.0,4.0,46.0,2.0,472.0,12.0,6.0,12.0,5.0,28.0,3.0,277.0,10.0,19.0,12.0,84.0,19.0,1.0,2.0,26.0,19.0,,17.0,3.0,6.0,2.0,10.0,2.0,,,1.0,,1.0,2.0,5.0,,1.0,3.0,,1.0,,1.0,2.0,,,2.0,4.0,,3.0,,,,1.0,2.0,1.0,,1.0,,,,,,1.0,,,2.0,2.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855235,2016-10-02 14:15:00,"King Power Stadium, Leicester",31563,Away,Southampton,Leicester City,0,0,D,0,0,0,0,1.0,70.0,,1.0,37.0,19.0,3.0,3.0,8.0,,3.0,210.0,7.0,5.0,,1.0,8.0,5.0,150.0,152.0,54.0,,11.0,2.0,19.0,4.0,,,1.0,28.0,14.0,1.0,15.0,6.0,21.0,44.0,248.0,,0.0,139.0,9.0,,2.0,1.0,86.0,94.0,6.0,104.0,,22.0,13.0,3.0,,10.0,,152.0,5.0,163.0,796.0,8.0,8.0,20.0,10.0,507.0,29.0,,3.0,9.0,0.0,2.0,22.0,605.0,61.0,,97032,6.0,284.0,11.0,,305.0,4.0,2.0,13.0,11.0,49.0,,2.0,2.0,1.0,,10.0,4.0,8.0,1.0,77.0,525.0,8.0,5.0,,24.0,,104.0,1.0,,0.0,,,3.0,,,0.0,6.0,1.0,2.0,61.9,21.0,1.0,,4.0,1.0,1.0,3.0,65.0,6.0,627.0,10.0,14.0,23.0,3.0,40.0,2.0,350.0,6.0,20.0,22.0,95.0,34.0,,3.0,9.0,19.0,,11.0,3.0,7.0,3.0,4.0,6.0,1.0,1.0,,,,1.0,3.0,,,1.0,,,,,,,,,2.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,855249,2016-10-16 16:00:00,"St. Mary's Stadium, Southampton",29040,Home,Southampton,Burnley,3,1,W,0,0,0,0,4.0,49.0,,8.0,42.0,19.0,10.0,9.0,24.0,,5.0,197.0,13.0,10.0,3.0,1.0,26.0,14.0,133.0,135.0,47.0,,34.0,3.0,25.0,7.0,4.0,4.0,3.0,41.0,6.0,4.0,13.0,8.0,23.0,38.0,307.0,1.0,0.0,179.0,11.0,,1.0,,90.0,115.0,19.0,103.0,2.0,33.0,13.0,10.0,,14.0,3.0,135.0,4.0,120.0,750.0,22.0,9.0,46.0,8.0,453.0,17.0,1.0,7.0,11.0,1.0,7.0,23.0,531.0,75.0,,97032,15.0,175.0,19.0,,189.0,8.0,1.0,13.0,10.0,49.0,,2.0,,,,10.0,2.0,4.0,2.0,76.0,469.0,10.0,2.0,3.0,25.0,7.0,87.0,2.0,1.0,0.0,,,4.0,3.0,1.0,0.0,9.0,,7.0,64.6,23.0,3.0,,3.0,3.0,,11.0,52.0,8.0,553.0,8.0,10.0,22.0,9.0,50.0,6.0,405.0,18.0,22.0,20.0,140.0,29.0,3.0,2.0,10.0,8.0,1.0,26.0,3.0,12.0,2.0,8.0,8.0,,,1.0,,,,1.0,1.0,,5.0,1.0,,1.0,,,,,1.0,1.0,3.0,,,4.0,,1.0,3.0,2.0,,3.0,,,,,,,,,2.0,3.0,,,1.0,4.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
9,855259,2016-10-23 13:30:00,"Etihad Stadium, Manchester",53731,Away,Southampton,Manchester City,1,1,D,1,0,0,0,,64.0,,,28.0,35.0,3.0,1.0,3.0,,1.0,154.0,1.0,9.0,1.0,2.0,3.0,2.0,61.0,150.0,69.0,,6.0,1.0,16.0,1.0,1.0,1.0,,13.0,24.0,,26.0,3.0,6.0,30.0,119.0,2.0,0.0,86.0,10.0,,,1.0,63.0,43.0,2.0,41.0,1.0,10.0,31.0,3.0,,3.0,2.0,150.0,8.0,63.0,549.0,3.0,14.0,16.0,18.0,207.0,33.0,,10.0,14.0,3.0,1.0,23.0,289.0,52.0,,97032,2.0,105.0,6.0,,128.0,7.0,,31.0,16.0,62.0,,1.0,4.0,2.0,,16.0,6.0,7.0,,73.0,223.0,11.0,18.0,,32.0,,66.0,,,0.0,,,10.0,1.0,1.0,0.0,1.0,,,35.3,21.0,,,4.0,,2.0,1.0,30.0,3.0,319.0,18.0,15.0,11.0,3.0,21.0,1.0,204.0,5.0,6.0,15.0,45.0,22.0,1.0,4.0,13.0,35.0,1.0,6.0,3.0,13.0,4.0,17.0,3.0,,2.0,,1.0,1.0,3.0,4.0,,2.0,6.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10,855266,2016-10-30 16:00:00,"St. Mary's Stadium, Southampton",31827,Home,Southampton,Chelsea,0,2,L,0,1,0,0,1.0,45.0,,1.0,29.0,13.0,4.0,5.0,6.0,,,162.0,7.0,8.0,,7.0,8.0,1.0,110.0,138.0,64.0,1.0,10.0,2.0,16.0,,1.0,,2.0,27.0,17.0,1.0,13.0,6.0,19.0,30.0,268.0,1.0,0.0,172.0,13.0,,,2.0,107.0,93.0,2.0,82.0,1.0,21.0,22.0,4.0,1.0,7.0,1.0,138.0,9.0,132.0,692.0,7.0,8.0,19.0,16.0,386.0,21.0,,4.0,10.0,0.0,6.0,24.0,460.0,72.0,1.0,97032,4.0,147.0,12.0,2.0,160.0,6.0,,22.0,7.0,69.0,,1.0,2.0,2.0,,7.0,4.0,5.0,2.0,56.0,408.0,16.0,13.0,1.0,21.0,1.0,70.0,1.0,,0.0,1.0,2.0,3.0,,2.0,0.0,6.0,,5.0,54.8,22.0,4.0,,4.0,,2.0,3.0,47.0,7.0,486.0,16.0,18.0,17.0,6.0,42.0,5.0,353.0,,17.0,18.0,128.0,16.0,,1.0,10.0,23.0,1.0,6.0,3.0,17.0,1.0,11.0,7.0,2.0,5.0,1.0,4.0,,2.0,2.0,,3.0,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
