gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowCentre,attCmissRight,attObxLeft,shotFastbreak,attBxRight,goalAssistOpenplay,attOneOnOne,attSvHighRight,cleanSheet,totalFastbreak,midfielderGoals,bigChanceCreated,attMissHighLeft,goalAssist,accurateThroughBall,bigChanceMissed,attSetpiece,totalThroughBall,attCmissHighLeft,goalsOpenplay,attMissHigh,attFastbreak,attCmissLeft,accurateCrossNocorner,goalAssistIntentional,attBxLeft,attHdGoal,attGoalHighRight,attCmissHigh,attSvLowRight,attLfTarget,goalAssistSetplay,goalAssistDeadball,attMissHighRight,ptsDroppedWinningPos,attGoalLowLeft,postScoringAtt,penaltyWon,attFreekickPost,attPostLeft,hitWoodwork,accurateFreekickCross,attRfGoal,totalPullBack,attPenGoal,punches,attOboxPost,shieldBallOop,accuratePullBack,attIboxPost,ptsGainedLosingPos,attPostHigh,foulThrowIn,clearanceOffLine,forwardGoals,secondYellow,attObxRight,attOboxGoal,attHdTarget,attFreekickMiss,attHdPost,errorLeadToShot,attSvHighCentre,attLgCentre,attFreekickGoal,attPenTarget,attCmissHighRight,attPostRight,attFreekickTarget,attGoalHighLeft,goalFastbreak,attObxdLeft,penaltySave,attSvHighLeft,attGoalHighCentre
1,855175,2016-08-15 20:00:00,"Stamford Bridge, London",41521,Away,West Ham United,Chelsea,1,2,L,0,0,0,0,1.0,2.0,65.0,1.0,1.0,1.0,37.0,26.0,3.0,2.0,4.0,4.0,1.0,2.0,137.0,1.0,3.0,1.0,3.0,4.0,3.0,83.0,139.0,68.0,1.0,7.0,1.0,24.0,1.0,1.0,1.0,1.0,7.0,19.0,1.0,24.0,1.0,13.0,27.0,94.0,0.0,78.0,16.0,3.0,1.0,2.0,1.0,44.0,34.0,3.0,45.0,4.0,1.0,6.0,13.0,3.0,1.0,1.0,1.0,139.0,1.0,9.0,85.0,527.0,3.0,9.0,7.0,19.0,235.0,39.0,10.0,18.0,1.0,2.0,4.0,1.0,12.0,318.0,47.0,8380,3.0,164.0,3.0,1.0,1.0,189.0,10.0,13.0,8.0,71.0,1.0,1.0,3.0,14.0,7.0,3.0,85.0,257.0,16.0,16.0,1.0,39.0,3.0,78.0,0.0,1.0,7.0,3.0,1.0,2.0,1.0,0.0,1.0,38.3,6.0,1.0,2.0,3.0,2.0,35.0,1.0,1.0,1.0,350.0,1.0,19.0,10.0,11.0,2.0,10.0,1.0,1.0,168.0,4.0,12.0,25.0,37.0,16.0,4.0,17.0,25.0,1.0,3.0,3.0,11.0,1.0,4.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855191,2016-08-21 16:00:00,"London Stadium, London",56977,Home,West Ham United,Bournemouth,1,0,W,0,0,0,1,,,62.0,,3.0,1.0,26.0,17.0,6.0,6.0,9.0,5.0,,1.0,144.0,7.0,10.0,1.0,3.0,12.0,2.0,69.0,123.0,55.0,1.0,16.0,4.0,24.0,1.0,,,2.0,22.0,10.0,,15.0,1.0,12.0,37.0,179.0,0.0,131.0,15.0,3.0,,,,70.0,71.0,6.0,55.0,4.0,3.0,21.0,14.0,7.0,1.0,5.0,3.0,123.0,1.0,4.0,87.0,554.0,11.0,5.0,27.0,30.0,262.0,28.0,6.0,9.0,,3.0,2.0,6.0,23.0,329.0,62.0,8380,3.0,105.0,16.0,,,116.0,6.0,14.0,6.0,51.0,,1.0,2.0,10.0,4.0,4.0,68.0,277.0,13.0,4.0,,26.0,,73.0,0.0,3.0,6.0,2.0,1.0,,2.0,0.0,2.0,46.8,17.0,1.0,6.0,2.0,5.0,33.0,1.0,,,355.0,,30.0,7.0,17.0,9.0,27.0,,6.0,261.0,8.0,10.0,17.0,86.0,22.0,3.0,9.0,16.0,,13.0,3.0,13.0,,3.0,13.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855197,2016-08-28 16:00:00,"Etihad Stadium, Manchester",54008,Away,West Ham United,Manchester City,1,3,L,0,2,0,0,,,50.0,,,2.0,40.0,17.0,2.0,1.0,7.0,3.0,,1.0,140.0,4.0,17.0,1.0,1.0,7.0,2.0,36.0,137.0,63.0,,9.0,,16.0,1.0,3.0,,3.0,18.0,13.0,,14.0,4.0,6.0,39.0,98.0,0.0,85.0,10.0,2.0,,,1.0,29.0,71.0,4.0,43.0,1.0,,14.0,23.0,2.0,,5.0,2.0,137.0,1.0,17.0,55.0,468.0,5.0,14.0,11.0,18.0,175.0,20.0,9.0,9.0,4.0,3.0,7.0,3.0,21.0,244.0,59.0,86934,2.0,102.0,9.0,,,113.0,5.0,23.0,17.0,64.0,,3.0,3.0,11.0,5.0,10.0,78.0,196.0,4.0,17.0,1.0,22.0,2.0,82.0,0.0,3.0,5.0,2.0,1.0,3.0,5.0,0.0,3.0,32.9,15.0,1.0,3.0,4.0,2.0,41.0,4.0,,1.0,274.0,,18.0,5.0,19.0,5.0,18.0,1.0,3.0,179.0,5.0,6.0,23.0,49.0,19.0,2.0,9.0,19.0,3.0,7.0,3.0,33.0,,2.0,14.0,4.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855211,2016-09-10 15:00:00,"London Stadium, London",56974,Home,West Ham United,Watford,2,4,L,2,2,0,0,1.0,,54.0,,,1.0,28.0,29.0,11.0,2.0,8.0,4.0,,1.0,154.0,3.0,10.0,2.0,3.0,14.0,4.0,102.0,124.0,51.0,2.0,19.0,3.0,16.0,1.0,1.0,2.0,3.0,25.0,6.0,1.0,22.0,4.0,9.0,29.0,221.0,0.0,145.0,10.0,2.0,,,,78.0,64.0,6.0,63.0,5.0,4.0,21.0,9.0,11.0,2.0,7.0,7.0,124.0,,10.0,126.0,672.0,11.0,3.0,24.0,26.0,369.0,20.0,3.0,17.0,1.0,2.0,2.0,8.0,30.0,420.0,60.0,86934,4.0,166.0,14.0,,,176.0,5.0,9.0,6.0,57.0,,2.0,3.0,8.0,3.0,1.0,47.0,384.0,14.0,8.0,1.0,10.0,1.0,65.0,0.0,3.0,4.0,4.0,2.0,4.0,1.0,0.0,4.0,57.9,26.0,2.0,2.0,3.0,4.0,44.0,4.0,,,445.0,,26.0,11.0,16.0,11.0,37.0,1.0,4.0,294.0,13.0,8.0,16.0,112.0,28.0,1.0,13.0,12.0,3.0,12.0,3.0,23.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,,,2.0,1.0,,,,,2.0,1.0,,2.0,,,4.0,,,1.0,3.0,,2.0,2.0,2.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855221,2016-09-17 15:00:00,"The Hawthorns, West Bromwich",22209,Away,West Ham United,West Bromwich Albion,2,4,L,0,3,0,0,,2.0,64.0,,1.0,6.0,41.0,9.0,8.0,2.0,15.0,2.0,,3.0,153.0,8.0,16.0,2.0,4.0,17.0,5.0,190.0,123.0,64.0,1.0,23.0,3.0,8.0,3.0,,1.0,5.0,26.0,17.0,,9.0,5.0,27.0,45.0,342.0,0.0,195.0,6.0,,1.0,1.0,,96.0,84.0,10.0,86.0,,1.0,21.0,13.0,8.0,1.0,6.0,4.0,123.0,1.0,6.0,193.0,830.0,14.0,2.0,39.0,25.0,532.0,22.0,5.0,7.0,,1.0,,7.0,20.0,598.0,78.0,86934,9.0,221.0,14.0,,1.0,228.0,2.0,13.0,5.0,34.0,,1.0,5.0,14.0,2.0,5.0,69.0,555.0,14.0,6.0,2.0,12.0,2.0,75.0,0.0,4.0,2.0,1.0,2.0,4.0,1.0,0.0,3.0,70.4,18.0,2.0,5.0,5.0,9.0,56.0,6.0,1.0,,622.0,1.0,25.0,8.0,23.0,9.0,39.0,2.0,4.0,420.0,18.0,23.0,12.0,148.0,31.0,1.0,7.0,22.0,4.0,17.0,3.0,25.0,,1.0,7.0,6.0,1.0,,1.0,,,2.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,1.0,,2.0,6.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855231,2016-09-25 16:00:00,"London Stadium, London",56864,Home,West Ham United,Southampton,0,3,L,0,1,0,0,,,51.0,,,3.0,23.0,18.0,6.0,3.0,7.0,6.0,,,133.0,8.0,9.0,,3.0,9.0,1.0,96.0,138.0,47.0,,13.0,2.0,12.0,1.0,2.0,1.0,2.0,28.0,4.0,,17.0,6.0,8.0,41.0,176.0,0.0,111.0,9.0,3.0,,3.0,3.0,81.0,48.0,3.0,44.0,3.0,4.0,22.0,19.0,6.0,,10.0,4.0,138.0,2.0,15.0,97.0,576.0,7.0,13.0,26.0,28.0,271.0,17.0,5.0,10.0,2.0,5.0,4.0,6.0,17.0,346.0,47.0,86934,5.0,118.0,9.0,,,133.0,5.0,19.0,7.0,45.0,,,5.0,11.0,3.0,3.0,55.0,286.0,14.0,5.0,2.0,20.0,2.0,59.0,0.0,1.0,2.0,6.0,,3.0,6.0,0.0,3.0,45.1,14.0,2.0,2.0,5.0,5.0,36.0,6.0,,3.0,370.0,,28.0,9.0,17.0,7.0,45.0,3.0,3.0,265.0,7.0,7.0,17.0,71.0,24.0,2.0,9.0,7.0,3.0,10.0,3.0,19.0,1.0,2.0,9.0,7.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,5.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855241,2016-10-01 15:00:00,"London Stadium, London",56945,Home,West Ham United,Middlesbrough,1,1,D,0,0,0,0,,,64.0,,,5.0,23.0,32.0,9.0,4.0,10.0,1.0,,1.0,140.0,6.0,10.0,1.0,2.0,14.0,2.0,67.0,134.0,52.0,1.0,19.0,1.0,20.0,,1.0,1.0,1.0,13.0,11.0,1.0,29.0,3.0,10.0,26.0,121.0,0.0,97.0,13.0,,,2.0,2.0,58.0,34.0,6.0,47.0,,3.0,10.0,10.0,9.0,1.0,4.0,7.0,134.0,,7.0,73.0,544.0,10.0,7.0,23.0,23.0,233.0,21.0,5.0,20.0,1.0,2.0,3.0,8.0,28.0,309.0,65.0,86934,6.0,131.0,4.0,3.0,,142.0,8.0,10.0,4.0,63.0,,5.0,4.0,3.0,2.0,3.0,64.0,246.0,12.0,4.0,3.0,28.0,2.0,69.0,0.0,,5.0,2.0,1.0,1.0,1.0,0.0,4.0,40.3,19.0,1.0,4.0,4.0,6.0,20.0,4.0,,3.0,327.0,,23.0,14.0,5.0,11.0,26.0,1.0,3.0,198.0,11.0,9.0,18.0,53.0,33.0,3.0,17.0,12.0,1.0,13.0,3.0,23.0,,3.0,7.0,4.0,,,2.0,,,2.0,1.0,,,,,,,1.0,1.0,,,3.0,3.0,,1.0,4.0,,1.0,5.0,,2.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,855245,2016-10-15 17:30:00,"Selhurst Park, London",25643,Away,West Ham United,Crystal Palace,1,0,W,1,0,1,0,,,61.0,1.0,2.0,,36.0,38.0,5.0,4.0,6.0,3.0,,2.0,144.0,5.0,11.0,1.0,,13.0,4.0,75.0,131.0,71.0,,12.0,3.0,27.0,2.0,2.0,3.0,2.0,16.0,21.0,1.0,30.0,5.0,19.0,26.0,152.0,0.0,99.0,13.0,1.0,,2.0,3.0,52.0,62.0,7.0,58.0,,3.0,11.0,20.0,6.0,,3.0,2.0,131.0,2.0,7.0,74.0,551.0,9.0,11.0,14.0,13.0,229.0,20.0,7.0,30.0,2.0,3.0,1.0,5.0,20.0,315.0,57.0,86934,4.0,104.0,6.0,,1.0,125.0,5.0,20.0,15.0,53.0,,1.0,1.0,9.0,5.0,8.0,73.0,251.0,12.0,6.0,2.0,27.0,1.0,76.0,0.0,,7.0,1.0,1.0,,3.0,1.0,2.0,44.8,19.0,2.0,1.0,1.0,3.0,42.0,6.0,1.0,3.0,351.0,,13.0,3.0,12.0,5.0,24.0,2.0,3.0,242.0,6.0,18.0,24.0,54.0,28.0,5.0,26.0,25.0,,10.0,3.0,17.0,,5.0,9.0,6.0,1.0,,1.0,,,,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,3.0,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
9,855261,2016-10-22 15:00:00,"London Stadium, London",56985,Home,West Ham United,Sunderland,1,0,W,0,0,0,0,,,57.0,1.0,2.0,5.0,33.0,34.0,8.0,7.0,12.0,2.0,1.0,2.0,172.0,4.0,18.0,1.0,4.0,17.0,3.0,139.0,134.0,56.0,,20.0,3.0,6.0,1.0,,1.0,4.0,31.0,9.0,1.0,29.0,5.0,14.0,35.0,301.0,0.0,187.0,10.0,1.0,,3.0,,62.0,91.0,10.0,84.0,3.0,3.0,26.0,11.0,8.0,,10.0,2.0,134.0,,4.0,146.0,778.0,12.0,7.0,32.0,21.0,452.0,25.0,4.0,22.0,,2.0,4.0,7.0,25.0,520.0,83.0,86934,7.0,172.0,13.0,1.0,,188.0,4.0,11.0,6.0,38.0,1.0,3.0,4.0,11.0,6.0,3.0,54.0,469.0,12.0,6.0,4.0,16.0,4.0,64.0,0.0,1.0,2.0,,,,,0.0,5.0,64.4,21.0,4.0,3.0,4.0,8.0,47.0,6.0,,,541.0,,21.0,13.0,22.0,9.0,48.0,1.0,6.0,384.0,8.0,12.0,13.0,143.0,23.0,,18.0,13.0,,13.0,3.0,21.0,,,9.0,6.0,,,2.0,,,1.0,,,1.0,1.0,,,,,1.0,1.0,,3.0,4.0,,,1.0,,2.0,3.0,,2.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
10,855263,2016-10-30 13:30:00,"Goodison Park, Liverpool",39574,Away,West Ham United,Everton,0,2,L,0,0,0,0,,2.0,55.0,,,2.0,22.0,19.0,6.0,3.0,7.0,4.0,,3.0,136.0,4.0,10.0,,5.0,10.0,3.0,110.0,124.0,40.0,2.0,13.0,4.0,14.0,2.0,,,1.0,27.0,6.0,1.0,19.0,7.0,13.0,32.0,180.0,0.0,111.0,12.0,3.0,,3.0,4.0,56.0,62.0,6.0,73.0,1.0,2.0,21.0,12.0,6.0,2.0,8.0,1.0,124.0,,12.0,99.0,616.0,9.0,5.0,21.0,14.0,328.0,19.0,3.0,9.0,,3.0,7.0,4.0,17.0,392.0,54.0,86934,5.0,175.0,10.0,,,189.0,4.0,12.0,6.0,52.0,,1.0,5.0,15.0,5.0,5.0,51.0,351.0,15.0,13.0,1.0,22.0,1.0,69.0,0.0,1.0,8.0,4.0,,2.0,3.0,0.0,1.0,50.7,15.0,1.0,7.0,5.0,6.0,39.0,8.0,,4.0,418.0,,14.0,10.0,22.0,4.0,31.0,2.0,3.0,256.0,9.0,12.0,8.0,82.0,18.0,3.0,9.0,7.0,2.0,9.0,3.0,15.0,,3.0,8.0,8.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,3.0,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
