gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowRight,attLfGoal,accuratePullBack,attBxRight,accurateKeeperSweeper,attMissLeft,interceptionsInBox,attMissRight,attHdTarget,totalKeeperSweeper,sixYardBlock,totalPullBack,defenderGoals,attAssistSetplay,attSvLowRight,attBxLeft,attCmissRight,penaltyWon,contentiousDecision,accurateFreekickCross,attPenGoal,attGoalHighLeft,ptsDroppedWinningPos,errorLeadToGoal,shotFastbreak,attOneOnOne,totalFastbreak,attFastbreak,attSvHighCentre,secondYellow,attMissHighLeft,ptsGainedLosingPos,attCmissLeft,attFreekickMiss,attSvHighLeft,attMissHighRight,attLgCentre,attGoalHighRight,midfielderGoals,attGoalHighCentre,attGoalLowLeft,cleanSheet,clearanceOffLine,attSvHighRight,hitWoodwork,attOboxGoal,attCmissHighLeft,attCmissHighRight,postScoringAtt,attPostLeft,attOboxPost,attObxLeft,attObxdLeft,goalAssistSetplay,goalAssistDeadball,attHdGoal
11,855272,2016-11-05 15:00:00,"Vitality Stadium, Bournemouth",11084,Away,Sunderland,Bournemouth,2,1,W,1,1,1,0,,,1.0,51.0,3.0,3.0,28.0,28.0,3.0,4.0,6.0,6.0,2.0,104.0,,2.0,10.0,2.0,2.0,8.0,4.0,57.0,126.0,55.0,,9.0,2.0,7.0,1.0,1.0,,12.0,16.0,1.0,28.0,1.0,13.0,15.0,112.0,0.0,108.0,17.0,4.0,1.0,1.0,2.0,45.0,28.0,8.0,33.0,11.0,14.0,3.0,,3.0,,126.0,,16.0,41.0,438.0,7.0,7.0,21.0,16.0,137.0,25.0,8.0,11.0,1.0,2.0,4.0,,21.0,197.0,65.0,,,81061,2.0,53.0,,7.0,,,70.0,13.0,1.0,14.0,15.0,56.0,,,,2.0,,1.0,18.0,6.0,7.0,,62.0,163.0,14.0,17.0,24.0,,58.0,,0.0,,3.0,12.0,3.0,2.0,1.0,,1.0,2.0,,1.0,,30.2,15.0,,3.0,,5.0,34.0,2.0,,2.0,235.0,,16.0,11.0,7.0,,25.0,,,177.0,5.0,13.0,14.0,62.0,14.0,1.0,5.0,,11.0,18.0,1.0,8.0,3.0,14.0,5.0,8.0,2.0,,,1.0,,1.0,,,5.0,,,,,2.0,,,,2.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12,855288,2016-11-19 15:00:00,"Stadium of Light, Sunderland",41271,Home,Sunderland,Hull City,3,0,W,1,0,1,0,,1.0,,57.0,1.0,2.0,39.0,37.0,3.0,4.0,8.0,5.0,,137.0,,4.0,5.0,3.0,2.0,9.0,4.0,82.0,117.0,47.0,,11.0,2.0,9.0,1.0,3.0,,13.0,8.0,,37.0,2.0,8.0,30.0,127.0,0.0,103.0,9.0,4.0,,,5.0,36.0,61.0,6.0,62.0,11.0,13.0,3.0,,5.0,1.0,117.0,,10.0,93.0,561.0,5.0,5.0,22.0,13.0,280.0,30.0,6.0,25.0,3.0,1.0,6.0,3.0,19.0,349.0,66.0,,2.0,80935,5.0,172.0,,6.0,,,185.0,8.0,1.0,13.0,9.0,37.0,,,,1.0,4.0,3.0,8.0,7.0,6.0,1.0,70.0,295.0,7.0,6.0,17.0,1.0,69.0,,0.0,,2.0,8.0,6.0,3.0,,3.0,1.0,3.0,1.0,,1.0,41.3,14.0,1.0,6.0,4.0,4.0,36.0,2.0,,5.0,374.0,,13.0,9.0,14.0,3.0,25.0,1.0,2.0,202.0,6.0,7.0,23.0,59.0,8.0,3.0,6.0,,25.0,12.0,,10.0,2.0,9.0,6.0,8.0,3.0,,1.0,2.0,,2.0,,1.0,1.0,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,
13,855297,2016-11-26 15:00:00,"Anfield, Liverpool",53114,Away,Sunderland,Liverpool,0,2,L,0,0,0,0,,,,56.0,3.0,1.0,33.0,48.0,4.0,2.0,2.0,5.0,1.0,116.0,,1.0,4.0,,2.0,3.0,1.0,26.0,140.0,57.0,1.0,6.0,3.0,11.0,1.0,,1.0,11.0,10.0,,48.0,3.0,4.0,8.0,80.0,0.0,76.0,9.0,3.0,,1.0,3.0,40.0,35.0,2.0,28.0,8.0,13.0,4.0,1.0,2.0,1.0,140.0,,14.0,35.0,411.0,3.0,7.0,10.0,17.0,101.0,25.0,9.0,25.0,,3.0,7.0,1.0,14.0,165.0,52.0,,,7958,1.0,46.0,,5.0,1.0,1.0,63.0,6.0,,13.0,20.0,47.0,,,1.0,1.0,,,19.0,13.0,13.0,,69.0,125.0,5.0,7.0,29.0,,68.0,2.0,0.0,,3.0,9.0,2.0,,2.0,5.0,0.0,1.0,,1.0,,22.7,8.0,,,1.0,4.0,34.0,4.0,1.0,3.0,205.0,1.0,17.0,10.0,4.0,1.0,18.0,,,153.0,4.0,2.0,27.0,39.0,13.0,,6.0,,25.0,21.0,2.0,4.0,2.0,14.0,6.0,6.0,4.0,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,855308,2016-12-03 15:00:00,"Stadium of Light, Sunderland",39725,Home,Sunderland,Leicester City,2,1,W,0,0,0,0,,,,64.0,2.0,4.0,40.0,31.0,8.0,5.0,14.0,4.0,5.0,152.0,,9.0,16.0,2.0,1.0,15.0,6.0,98.0,141.0,53.0,,22.0,2.0,16.0,3.0,,1.0,22.0,11.0,2.0,31.0,2.0,12.0,30.0,189.0,0.0,147.0,8.0,1.0,2.0,1.0,,81.0,60.0,8.0,59.0,20.0,22.0,8.0,,5.0,4.0,141.0,,9.0,106.0,635.0,14.0,2.0,38.0,15.0,304.0,23.0,7.0,21.0,,3.0,7.0,7.0,22.0,384.0,63.0,,,80935,9.0,143.0,,14.0,1.0,,162.0,5.0,,22.0,10.0,44.0,,,1.0,1.0,1.0,1.0,12.0,8.0,6.0,1.0,79.0,323.0,12.0,7.0,28.0,2.0,89.0,1.0,0.0,,3.0,4.0,2.0,2.0,1.0,1.0,0.0,8.0,,2.0,3.0,53.5,16.0,3.0,4.0,1.0,6.0,47.0,3.0,,2.0,415.0,,15.0,4.0,17.0,10.0,37.0,1.0,6.0,275.0,14.0,12.0,12.0,103.0,31.0,1.0,2.0,,21.0,13.0,1.0,19.0,3.0,26.0,2.0,12.0,3.0,,1.0,1.0,,2.0,1.0,5.0,2.0,3.0,,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
15,855320,2016-12-10 15:00:00,"Swansea.com Stadium, Swansea",20453,Away,Sunderland,Swansea City,0,3,L,0,0,0,0,1.0,,,61.0,,3.0,26.0,26.0,5.0,4.0,6.0,2.0,1.0,128.0,,5.0,7.0,,1.0,7.0,2.0,71.0,146.0,43.0,1.0,11.0,2.0,10.0,1.0,,,15.0,12.0,1.0,26.0,4.0,8.0,22.0,107.0,0.0,99.0,8.0,2.0,,1.0,2.0,32.0,48.0,4.0,34.0,11.0,13.0,5.0,1.0,5.0,2.0,146.0,,10.0,68.0,496.0,6.0,6.0,22.0,21.0,191.0,30.0,9.0,14.0,,2.0,2.0,3.0,24.0,276.0,48.0,,,80935,4.0,109.0,,5.0,1.0,1.0,137.0,3.0,,13.0,10.0,42.0,1.0,,1.0,2.0,4.0,,16.0,4.0,8.0,1.0,57.0,211.0,10.0,5.0,26.0,2.0,54.0,,0.0,,,7.0,2.0,,3.0,1.0,0.0,3.0,,1.0,2.0,38.3,16.0,,1.0,4.0,5.0,29.0,4.0,1.0,2.0,301.0,1.0,21.0,13.0,6.0,4.0,25.0,2.0,2.0,179.0,5.0,7.0,10.0,57.0,22.0,,4.0,,14.0,16.0,3.0,7.0,3.0,14.0,4.0,6.0,4.0,,,,1.0,,,1.0,2.0,2.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
16,855325,2016-12-14 19:45:00,"Stadium of Light, Sunderland",41008,Home,Sunderland,Chelsea,0,1,L,0,1,0,0,1.0,1.0,,52.0,2.0,,40.0,36.0,3.0,2.0,5.0,5.0,1.0,134.0,,4.0,7.0,,1.0,7.0,3.0,59.0,127.0,47.0,,8.0,1.0,16.0,2.0,,,13.0,9.0,1.0,36.0,4.0,3.0,33.0,132.0,0.0,94.0,15.0,2.0,1.0,,1.0,62.0,42.0,4.0,48.0,9.0,15.0,3.0,,7.0,1.0,127.0,,10.0,73.0,494.0,7.0,4.0,14.0,19.0,207.0,29.0,10.0,16.0,,3.0,3.0,3.0,12.0,278.0,65.0,,,80935,4.0,104.0,,2.0,1.0,,126.0,9.0,,15.0,14.0,59.0,,,,1.0,4.0,,14.0,9.0,8.0,,71.0,232.0,9.0,14.0,24.0,1.0,72.0,1.0,0.0,,,5.0,3.0,,1.0,,0.0,4.0,,1.0,1.0,33.9,8.0,,1.0,5.0,1.0,39.0,5.0,,1.0,314.0,,19.0,12.0,18.0,4.0,23.0,,3.0,201.0,5.0,3.0,18.0,54.0,11.0,,5.0,,16.0,14.0,,6.0,3.0,11.0,5.0,4.0,5.0,1.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
17,855338,2016-12-17 15:00:00,"Stadium of Light, Sunderland",40267,Home,Sunderland,Watford,1,0,W,0,0,0,0,1.0,,1.0,69.0,3.0,6.0,30.0,44.0,2.0,2.0,9.0,4.0,1.0,138.0,,6.0,8.0,1.0,4.0,9.0,2.0,49.0,136.0,61.0,,11.0,,18.0,1.0,,,24.0,14.0,,44.0,3.0,2.0,25.0,115.0,0.0,111.0,10.0,1.0,1.0,3.0,2.0,76.0,28.0,7.0,40.0,21.0,13.0,2.0,,5.0,2.0,136.0,,6.0,48.0,489.0,8.0,6.0,28.0,19.0,173.0,23.0,11.0,27.0,,1.0,2.0,2.0,18.0,251.0,71.0,,,80935,2.0,78.0,,13.0,1.0,,94.0,3.0,,13.0,6.0,49.0,,,2.0,2.0,,1.0,10.0,4.0,3.0,,71.0,187.0,9.0,9.0,30.0,1.0,80.0,1.0,0.0,,2.0,11.0,1.0,1.0,,2.0,0.0,5.0,,2.0,2.0,42.6,15.0,,3.0,,6.0,38.0,4.0,,2.0,275.0,,19.0,9.0,13.0,3.0,28.0,1.0,1.0,205.0,7.0,2.0,29.0,63.0,31.0,,7.0,,27.0,17.0,,9.0,3.0,12.0,7.0,6.0,4.0,,,1.0,,2.0,,,3.0,2.0,,,,,1.0,1.0,,2.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
18,855348,2016-12-26 15:00:00,"Old Trafford, Manchester",75325,Away,Sunderland,Manchester United,1,3,L,0,1,0,0,,1.0,,55.0,4.0,3.0,37.0,31.0,5.0,3.0,4.0,6.0,2.0,145.0,,3.0,6.0,1.0,4.0,4.0,4.0,77.0,126.0,27.0,2.0,9.0,,5.0,1.0,,2.0,18.0,9.0,2.0,31.0,4.0,9.0,32.0,155.0,0.0,125.0,9.0,4.0,,2.0,1.0,46.0,39.0,3.0,63.0,14.0,14.0,5.0,2.0,3.0,2.0,126.0,,13.0,80.0,524.0,3.0,5.0,11.0,11.0,257.0,26.0,7.0,16.0,,2.0,6.0,1.0,12.0,336.0,71.0,,,80935,3.0,124.0,,9.0,,,138.0,5.0,1.0,14.0,13.0,32.0,,,,2.0,6.0,1.0,11.0,13.0,6.0,,71.0,276.0,6.0,11.0,25.0,2.0,81.0,,0.0,1.0,1.0,6.0,2.0,,3.0,,0.0,1.0,,,,37.8,12.0,,1.0,6.0,3.0,50.0,5.0,,1.0,365.0,,11.0,7.0,16.0,2.0,26.0,2.0,,245.0,6.0,9.0,4.0,75.0,14.0,1.0,2.0,,16.0,11.0,3.0,5.0,2.0,7.0,2.0,8.0,5.0,,,,,1.0,4.0,,1.0,,,4.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
19,855353,2016-12-31 15:00:00,"Turf Moor, Burnley",21124,Away,Sunderland,Burnley,1,4,L,0,1,0,0,,1.0,,64.0,,2.0,33.0,39.0,6.0,5.0,5.0,2.0,1.0,166.0,1.0,,16.0,1.0,3.0,9.0,3.0,99.0,154.0,53.0,,11.0,1.0,11.0,1.0,1.0,,11.0,8.0,1.0,39.0,1.0,10.0,45.0,147.0,0.0,127.0,9.0,,1.0,1.0,4.0,75.0,41.0,6.0,69.0,10.0,10.0,6.0,,3.0,4.0,154.0,,11.0,84.0,626.0,8.0,7.0,19.0,13.0,293.0,24.0,6.0,24.0,1.0,1.0,2.0,3.0,25.0,388.0,79.0,,,81061,3.0,167.0,,6.0,,1.0,186.0,3.0,1.0,10.0,9.0,47.0,,,3.0,2.0,8.0,1.0,14.0,5.0,5.0,2.0,83.0,314.0,9.0,6.0,28.0,2.0,97.0,,0.0,,1.0,6.0,2.0,1.0,4.0,1.0,0.0,,1.0,,,54.2,24.0,,1.0,8.0,3.0,44.0,2.0,1.0,4.0,418.0,1.0,13.0,13.0,16.0,5.0,22.0,,1.0,243.0,6.0,9.0,18.0,72.0,26.0,1.0,4.0,,24.0,12.0,4.0,9.0,3.0,24.0,4.0,5.0,2.0,,,,,,3.0,2.0,2.0,,,3.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
20,855368,2017-01-02 15:00:00,"Stadium of Light, Sunderland",46494,Home,Sunderland,Liverpool,2,2,D,1,1,0,0,,1.0,2.0,76.0,7.0,3.0,13.0,27.0,5.0,2.0,5.0,13.0,2.0,114.0,,,6.0,2.0,6.0,5.0,5.0,62.0,133.0,43.0,1.0,10.0,2.0,14.0,,,2.0,6.0,15.0,3.0,27.0,2.0,1.0,26.0,92.0,0.0,93.0,10.0,8.0,,1.0,1.0,50.0,42.0,5.0,45.0,4.0,16.0,5.0,1.0,3.0,,133.0,,12.0,69.0,473.0,5.0,5.0,11.0,18.0,191.0,31.0,5.0,9.0,,2.0,2.0,,14.0,267.0,55.0,2.0,,81061,3.0,107.0,,,,,127.0,7.0,2.0,16.0,5.0,46.0,,,3.0,3.0,3.0,,17.0,9.0,3.0,,73.0,199.0,7.0,13.0,39.0,,70.0,,0.0,,3.0,5.0,6.0,2.0,2.0,2.0,0.0,,,,,29.3,11.0,,2.0,3.0,5.0,22.0,2.0,,1.0,290.0,,18.0,8.0,10.0,,17.0,,,169.0,8.0,1.0,9.0,47.0,29.0,2.0,2.0,,9.0,21.0,2.0,7.0,2.0,8.0,2.0,9.0,2.0,,,,,2.0,,,2.0,,,,,,,,1.0,,,2.0,1.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
21,855377,2017-01-14 15:00:00,"Stadium of Light, Sunderland",42722,Home,Sunderland,Stoke City,1,3,L,1,3,0,0,,,1.0,59.0,1.0,1.0,21.0,22.0,7.0,2.0,6.0,3.0,2.0,162.0,,2.0,8.0,1.0,3.0,9.0,3.0,104.0,169.0,44.0,,13.0,5.0,27.0,2.0,1.0,1.0,22.0,12.0,,22.0,4.0,12.0,47.0,184.0,0.0,146.0,16.0,2.0,,3.0,2.0,54.0,78.0,7.0,80.0,18.0,17.0,7.0,,7.0,2.0,169.0,1.0,10.0,93.0,661.0,7.0,5.0,17.0,11.0,328.0,25.0,4.0,9.0,1.0,3.0,5.0,2.0,38.0,418.0,78.0,1.0,,81061,3.0,160.0,1.0,8.0,2.0,,180.0,13.0,1.0,17.0,4.0,67.0,1.0,,1.0,5.0,4.0,1.0,30.0,4.0,1.0,3.0,74.0,342.0,9.0,13.0,24.0,2.0,88.0,,0.0,,2.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,51.2,35.0,1.0,3.0,4.0,6.0,40.0,5.0,,2.0,439.0,,11.0,8.0,21.0,4.0,33.0,1.0,2.0,281.0,10.0,10.0,10.0,92.0,24.0,1.0,1.0,,9.0,17.0,3.0,9.0,,12.0,1.0,9.0,5.0,,,,,2.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
22,855391,2017-01-21 15:00:00,"The Hawthorns, West Bromwich",24380,Away,Sunderland,West Bromwich Albion,0,2,L,0,2,0,0,,,,53.0,3.0,1.0,22.0,30.0,6.0,3.0,3.0,3.0,2.0,162.0,,4.0,5.0,,7.0,7.0,3.0,108.0,143.0,56.0,1.0,9.0,3.0,15.0,2.0,,2.0,21.0,12.0,1.0,30.0,3.0,24.0,34.0,221.0,0.0,158.0,12.0,1.0,,3.0,2.0,48.0,73.0,6.0,73.0,18.0,16.0,6.0,1.0,3.0,2.0,143.0,,9.0,108.0,641.0,6.0,6.0,16.0,9.0,345.0,19.0,5.0,25.0,,1.0,3.0,1.0,19.0,424.0,72.0,,1.0,81061,2.0,143.0,,12.0,2.0,,158.0,5.0,,16.0,7.0,54.0,,,,1.0,4.0,,15.0,5.0,1.0,1.0,54.0,360.0,15.0,10.0,21.0,,75.0,,0.0,,1.0,1.0,,,2.0,2.0,0.0,4.0,,1.0,1.0,55.6,19.0,,3.0,4.0,4.0,38.0,4.0,,2.0,451.0,,9.0,17.0,17.0,2.0,29.0,,,314.0,5.0,19.0,19.0,111.0,24.0,,3.0,,25.0,17.0,2.0,6.0,2.0,6.0,3.0,10.0,4.0,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,
23,855397,2017-01-31 19:45:00,"Stadium of Light, Sunderland",40058,Home,Sunderland,Tottenham Hotspur,0,0,D,0,0,0,0,,,,59.0,3.0,2.0,21.0,54.0,,,3.0,3.0,1.0,117.0,,,6.0,,2.0,2.0,1.0,34.0,126.0,58.0,,3.0,,12.0,1.0,,1.0,9.0,21.0,,54.0,2.0,6.0,27.0,77.0,0.0,90.0,9.0,2.0,,1.0,,25.0,52.0,2.0,37.0,7.0,15.0,,,1.0,,126.0,,7.0,38.0,417.0,2.0,4.0,12.0,8.0,128.0,22.0,6.0,22.0,,2.0,7.0,,15.0,191.0,53.0,,,81061,2.0,63.0,,5.0,,,77.0,6.0,,15.0,9.0,41.0,,,,2.0,1.0,,14.0,7.0,4.0,,69.0,140.0,12.0,10.0,27.0,,64.0,1.0,0.0,,1.0,12.0,,,,2.0,0.0,,,,,28.4,12.0,,5.0,1.0,2.0,20.0,2.0,,,226.0,,8.0,9.0,10.0,,19.0,,,158.0,3.0,6.0,19.0,43.0,20.0,,5.0,,22.0,24.0,,3.0,1.0,8.0,5.0,10.0,2.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
24,855403,2017-02-04 15:00:00,"Selhurst Park, London",25310,Away,Sunderland,Crystal Palace,4,0,W,4,0,0,0,,1.0,1.0,68.0,3.0,,18.0,58.0,5.0,5.0,5.0,8.0,1.0,129.0,,,5.0,4.0,1.0,7.0,7.0,49.0,118.0,45.0,,10.0,,16.0,2.0,2.0,,6.0,16.0,1.0,58.0,1.0,15.0,19.0,88.0,0.0,73.0,8.0,4.0,,,1.0,35.0,50.0,4.0,43.0,5.0,7.0,5.0,,,3.0,118.0,,14.0,57.0,468.0,4.0,3.0,8.0,12.0,183.0,37.0,1.0,34.0,2.0,3.0,5.0,3.0,19.0,245.0,53.0,1.0,,81061,2.0,110.0,,5.0,2.0,,128.0,7.0,1.0,7.0,10.0,46.0,,,2.0,1.0,2.0,3.0,7.0,7.0,6.0,,67.0,198.0,9.0,9.0,26.0,,66.0,,0.0,,2.0,7.0,6.0,3.0,,,0.0,,1.0,,1.0,34.3,10.0,,2.0,2.0,,25.0,1.0,,1.0,278.0,,12.0,8.0,10.0,3.0,12.0,,,156.0,4.0,12.0,13.0,35.0,13.0,2.0,6.0,,34.0,18.0,,7.0,3.0,10.0,6.0,3.0,1.0,,4.0,3.0,,1.0,,1.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,
25,855419,2017-02-11 15:00:00,"Stadium of Light, Sunderland",39931,Home,Sunderland,Southampton,0,4,L,0,2,0,0,1.0,,,68.0,2.0,1.0,27.0,25.0,4.0,2.0,2.0,5.0,1.0,168.0,,5.0,7.0,,6.0,3.0,1.0,101.0,156.0,55.0,1.0,6.0,3.0,9.0,,,,16.0,12.0,1.0,25.0,5.0,18.0,32.0,155.0,0.0,108.0,12.0,1.0,,2.0,,60.0,52.0,2.0,78.0,11.0,16.0,4.0,1.0,6.0,,156.0,,11.0,101.0,646.0,3.0,9.0,14.0,12.0,327.0,33.0,7.0,15.0,,1.0,3.0,1.0,32.0,419.0,60.0,,1.0,81061,1.0,198.0,,3.0,,,221.0,9.0,,16.0,5.0,49.0,,1.0,,1.0,5.0,,15.0,5.0,1.0,,64.0,348.0,15.0,6.0,21.0,1.0,77.0,,0.0,,2.0,2.0,3.0,,4.0,1.0,0.0,3.0,,1.0,1.0,46.2,28.0,1.0,,5.0,4.0,37.0,6.0,,,448.0,,12.0,16.0,15.0,1.0,24.0,2.0,1.0,243.0,3.0,17.0,18.0,62.0,26.0,,3.0,1.0,15.0,15.0,4.0,4.0,3.0,14.0,3.0,5.0,6.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,855424,2017-02-25 15:00:00,"Goodison Park, Liverpool",39595,Away,Sunderland,Everton,0,2,L,0,1,0,0,,,,71.0,2.0,6.0,23.0,35.0,2.0,1.0,8.0,6.0,,138.0,,3.0,9.0,,2.0,8.0,1.0,51.0,153.0,54.0,,10.0,,12.0,1.0,,,21.0,12.0,,35.0,6.0,8.0,25.0,101.0,0.0,107.0,16.0,4.0,,2.0,2.0,36.0,52.0,6.0,40.0,15.0,9.0,2.0,,3.0,2.0,153.0,,16.0,56.0,482.0,4.0,7.0,15.0,12.0,168.0,27.0,11.0,17.0,,2.0,3.0,2.0,16.0,253.0,54.0,,,81061,4.0,84.0,,10.0,1.0,,112.0,10.0,,9.0,13.0,57.0,,,,,4.0,,13.0,4.0,2.0,,57.0,182.0,10.0,13.0,22.0,5.0,74.0,1.0,0.0,,1.0,10.0,4.0,,2.0,2.0,0.0,,,1.0,3.0,36.4,14.0,1.0,4.0,4.0,6.0,32.0,6.0,,3.0,285.0,,12.0,12.0,10.0,3.0,30.0,3.0,1.0,194.0,6.0,7.0,19.0,60.0,28.0,,4.0,,17.0,16.0,2.0,4.0,3.0,13.0,4.0,5.0,6.0,,,,,1.0,,3.0,3.0,,1.0,,,1.0,,4.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
27,855436,2017-03-05 16:00:00,"Stadium of Light, Sunderland",41107,Home,Sunderland,Manchester City,0,2,L,0,1,0,0,,,,63.0,2.0,,19.0,15.0,4.0,1.0,7.0,5.0,1.0,127.0,,5.0,10.0,,,8.0,3.0,59.0,132.0,48.0,,11.0,3.0,13.0,3.0,,2.0,16.0,14.0,,15.0,6.0,8.0,30.0,106.0,0.0,97.0,11.0,3.0,1.0,,,33.0,59.0,4.0,44.0,10.0,9.0,4.0,,3.0,,132.0,,8.0,57.0,461.0,4.0,4.0,12.0,18.0,192.0,28.0,5.0,6.0,,1.0,2.0,4.0,22.0,268.0,58.0,,1.0,80935,6.0,99.0,1.0,7.0,,,116.0,9.0,,9.0,6.0,48.0,,,2.0,4.0,1.0,,11.0,6.0,1.0,,56.0,200.0,4.0,9.0,20.0,4.0,61.0,,0.0,,1.0,4.0,3.0,,2.0,1.0,0.0,1.0,,1.0,6.0,29.2,20.0,4.0,4.0,2.0,3.0,27.0,6.0,,,287.0,,18.0,13.0,11.0,5.0,24.0,4.0,4.0,187.0,4.0,7.0,9.0,50.0,25.0,,2.0,,6.0,25.0,2.0,7.0,2.0,12.0,2.0,7.0,6.0,,,,,,1.0,1.0,2.0,3.0,2.0,1.0,,1.0,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,
