gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attLgCentre,totalPullBack,handBall,attGoalLowLeft,goals,attPenTarget,goalAssistOpenplay,penaltyWon,ptsGainedLosingPos,attSvLowLeft,contentiousDecision,attHdTarget,goalAssist,sixYardBlock,attCmissHigh,defenderGoals,totalOffside,goalsOpenplay,attIboxGoal,goalAssistIntentional,attBxLeft,attSvHighCentre,attHdGoal,bigChanceScored,attLfGoal,attGoalHighRight,attSvHighLeft,midfielderGoals,attMissHighLeft,errorLeadToShot,totalThroughBall,attGoalHighLeft,forwardGoals,goalsConcededObox,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attOboxGoal,attObxdRight,attRfGoal,attFreekickTarget,shotFastbreak,totalFastbreak,attFastbreak,errorLeadToGoal,clearanceOffLine,postScoringAtt,attIboxPost,attSvHighRight,attPostLeft,attHdPost,hitWoodwork,attPenMiss,accurateThroughBall,attPostHigh,attPenGoal,attOboxPost,attPostRight,ptsDroppedWinningPos,cleanSheet,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,attGoalHighCentre
11,855274,2016-11-05 15:00:00,"Turf Moor, Burnley",19196,Away,Crystal Palace,Burnley,2,3,L,0,2,0,0,1.0,69.0,,2.0,37.0,13.0,8.0,3.0,8.0,3.0,2.0,184.0,10.0,14.0,4.0,11.0,2.0,5.0,111.0,182.0,59.0,,16.0,2.0,20.0,3.0,,1.0,2.0,2.0,42.0,5.0,,13.0,7.0,11.0,44.0,,209.0,1.0,0.0,142.0,12.0,1.0,5.0,1.0,53.0,74.0,7.0,94.0,,2.0,35.0,18.0,8.0,,16.0,5.0,182.0,2.0,9.0,119.0,725.0,10.0,12.0,31.0,13.0,388.0,24.0,16.0,10.0,1.0,2.0,2.0,4.0,25.0,488.0,79.0,1.0,82403,8.0,201.0,1.0,14.0,1.0,220.0,5.0,18.0,7.0,57.0,7.0,11.0,5.0,4.0,,82.0,400.0,10.0,4.0,,41.0,,98.0,,1.0,,0.0,3.0,4.0,4.0,3.0,5.0,,0.0,10.0,,2.0,61.8,23.0,1.0,2.0,7.0,4.0,48.0,7.0,1.0,508.0,13.0,,14.0,20.0,7.0,52.0,,1.0,330.0,11.0,11.0,27.0,90.0,35.0,1.0,10.0,8.0,2.0,14.0,3.0,23.0,1.0,8.0,7.0,,,,,1.0,2.0,,1.0,1.0,,1.0,,,1.0,,,,3.0,1.0,2.0,1.0,,,,2.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,
12,855282,2016-11-19 15:00:00,"Selhurst Park, London",25529,Home,Crystal Palace,Manchester City,1,2,L,0,1,0,0,,53.0,,2.0,31.0,26.0,2.0,3.0,6.0,1.0,,143.0,4.0,11.0,5.0,4.0,,2.0,46.0,157.0,70.0,1.0,8.0,,19.0,1.0,1.0,,1.0,4.0,17.0,19.0,,26.0,2.0,11.0,33.0,,90.0,,0.0,115.0,12.0,,1.0,1.0,34.0,42.0,2.0,43.0,1.0,,15.0,25.0,2.0,1.0,2.0,2.0,157.0,,8.0,44.0,480.0,2.0,7.0,16.0,14.0,153.0,22.0,9.0,9.0,,1.0,2.0,2.0,23.0,246.0,77.0,,82403,3.0,78.0,,12.0,1.0,93.0,5.0,25.0,10.0,59.0,1.0,10.0,2.0,4.0,,87.0,164.0,14.0,13.0,1.0,38.0,1.0,86.0,,,,0.0,5.0,7.0,2.0,2.0,3.0,,0.0,3.0,,2.0,38.3,22.0,1.0,4.0,1.0,2.0,37.0,2.0,1.0,276.0,14.0,1.0,10.0,12.0,4.0,23.0,1.0,2.0,200.0,3.0,9.0,20.0,46.0,20.0,1.0,9.0,26.0,2.0,5.0,3.0,16.0,1.0,19.0,2.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,855300,2016-11-26 15:00:00,"Swansea.com Stadium, Swansea",20276,Away,Crystal Palace,Swansea City,4,5,L,1,1,0,0,,40.0,1.0,3.0,39.0,35.0,2.0,,10.0,3.0,,127.0,7.0,10.0,2.0,11.0,,4.0,54.0,136.0,70.0,,12.0,1.0,21.0,1.0,1.0,,,,20.0,11.0,,35.0,5.0,7.0,16.0,,123.0,,0.0,113.0,24.0,2.0,2.0,4.0,34.0,28.0,8.0,48.0,1.0,1.0,15.0,15.0,2.0,,8.0,1.0,136.0,4.0,11.0,60.0,496.0,6.0,15.0,28.0,8.0,180.0,13.0,27.0,25.0,,5.0,3.0,3.0,22.0,258.0,74.0,,82403,6.0,87.0,1.0,5.0,,102.0,15.0,15.0,8.0,70.0,3.0,18.0,7.0,6.0,2.0,70.0,203.0,12.0,8.0,2.0,48.0,6.0,74.0,,,,0.0,,10.0,3.0,5.0,6.0,,0.0,3.0,,4.0,43.5,21.0,1.0,1.0,3.0,4.0,45.0,6.0,4.0,289.0,8.0,,13.0,9.0,4.0,28.0,4.0,2.0,207.0,8.0,5.0,33.0,62.0,16.0,4.0,25.0,15.0,4.0,6.0,3.0,15.0,4.0,7.0,6.0,,,,,1.0,4.0,,2.0,,,1.0,1.0,1.0,3.0,1.0,,1.0,,1.0,4.0,2.0,,,,3.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,3.0,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,3.0,,,,,,
14,855303,2016-12-03 15:00:00,"Selhurst Park, London",25393,Home,Crystal Palace,Southampton,3,0,W,2,0,0,0,,57.0,1.0,,32.0,36.0,4.0,2.0,5.0,3.0,1.0,145.0,5.0,4.0,1.0,5.0,,4.0,64.0,154.0,61.0,,9.0,2.0,23.0,,,,,1.0,11.0,14.0,1.0,36.0,2.0,14.0,14.0,,151.0,1.0,0.0,127.0,11.0,,,4.0,75.0,31.0,2.0,60.0,2.0,1.0,9.0,23.0,4.0,,4.0,1.0,154.0,1.0,12.0,69.0,560.0,3.0,15.0,16.0,12.0,230.0,30.0,18.0,16.0,,3.0,4.0,3.0,27.0,309.0,69.0,,82403,2.0,100.0,,5.0,1.0,125.0,4.0,23.0,10.0,84.0,2.0,15.0,5.0,6.0,,79.0,246.0,13.0,17.0,1.0,56.0,4.0,73.0,,,,0.0,1.0,9.0,2.0,,4.0,,0.0,3.0,1.0,2.0,41.6,21.0,2.0,2.0,2.0,2.0,37.0,4.0,4.0,338.0,12.0,,25.0,9.0,3.0,19.0,2.0,2.0,224.0,5.0,14.0,22.0,82.0,17.0,,16.0,22.0,,4.0,3.0,13.0,,11.0,4.0,,,,,,3.0,,,,,,,,1.0,,,1.0,,1.0,3.0,1.0,,1.0,,3.0,1.0,,,,,,,,2.0,,,1.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
15,855315,2016-12-10 15:00:00,"The MKM Stadium, Hull",17403,Away,Crystal Palace,Hull City,3,3,D,0,1,0,0,1.0,54.0,1.0,2.0,22.0,35.0,4.0,5.0,10.0,3.0,2.0,141.0,6.0,9.0,1.0,10.0,,6.0,73.0,141.0,48.0,,15.0,1.0,22.0,3.0,1.0,,1.0,2.0,17.0,2.0,,35.0,7.0,6.0,7.0,,132.0,,0.0,89.0,14.0,2.0,,,38.0,48.0,6.0,44.0,2.0,2.0,10.0,12.0,5.0,,5.0,4.0,141.0,1.0,11.0,82.0,516.0,9.0,5.0,30.0,4.0,229.0,26.0,9.0,21.0,,4.0,2.0,4.0,12.0,310.0,46.0,,82403,5.0,121.0,,5.0,,142.0,4.0,12.0,6.0,59.0,1.0,13.0,4.0,5.0,1.0,66.0,247.0,15.0,5.0,,49.0,2.0,75.0,,,1.0,0.0,2.0,4.0,2.0,3.0,,,0.0,5.0,,3.0,43.1,10.0,1.0,1.0,1.0,3.0,33.0,7.0,,340.0,4.0,,16.0,4.0,6.0,24.0,1.0,2.0,215.0,7.0,6.0,17.0,49.0,22.0,2.0,21.0,7.0,3.0,12.0,3.0,13.0,2.0,9.0,7.0,,1.0,,,,3.0,,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,3.0,1.0,2.0,,1.0,2.0,,1.0,,1.0,1.0,,,,1.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,1.0,1.0,,
16,855323,2016-12-14 20:00:00,"Selhurst Park, London",25547,Home,Crystal Palace,Manchester United,1,2,L,0,1,0,0,,68.0,1.0,,26.0,21.0,2.0,3.0,4.0,4.0,1.0,164.0,3.0,11.0,3.0,6.0,,3.0,86.0,150.0,56.0,,6.0,,24.0,1.0,,,,1.0,12.0,15.0,1.0,21.0,1.0,11.0,30.0,,149.0,,0.0,103.0,16.0,4.0,2.0,,47.0,54.0,3.0,62.0,2.0,1.0,11.0,20.0,2.0,,4.0,1.0,150.0,1.0,10.0,88.0,587.0,3.0,16.0,7.0,11.0,285.0,30.0,10.0,9.0,,2.0,3.0,3.0,15.0,374.0,57.0,1.0,82403,4.0,155.0,,5.0,2.0,180.0,9.0,20.0,12.0,68.0,7.0,13.0,6.0,9.0,1.0,65.0,301.0,9.0,7.0,2.0,38.0,1.0,79.0,,,,0.0,2.0,8.0,3.0,2.0,3.0,,0.0,2.0,1.0,2.0,39.1,11.0,1.0,4.0,7.0,,38.0,1.0,,400.0,11.0,,12.0,17.0,3.0,16.0,1.0,2.0,232.0,1.0,10.0,18.0,65.0,22.0,5.0,9.0,19.0,2.0,3.0,3.0,22.0,5.0,12.0,1.0,,,,,1.0,1.0,,1.0,,,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,
17,855333,2016-12-17 12:30:00,"Selhurst Park, London",25259,Home,Crystal Palace,Chelsea,0,1,L,0,1,0,0,,58.0,1.0,,34.0,20.0,3.0,2.0,3.0,5.0,2.0,169.0,4.0,5.0,6.0,3.0,,2.0,112.0,162.0,51.0,2.0,6.0,,17.0,1.0,,,1.0,2.0,22.0,9.0,1.0,20.0,4.0,5.0,41.0,,191.0,,0.0,144.0,12.0,3.0,3.0,1.0,101.0,30.0,1.0,91.0,,,18.0,24.0,3.0,2.0,7.0,2.0,162.0,,8.0,104.0,660.0,3.0,14.0,10.0,7.0,355.0,22.0,16.0,12.0,,2.0,4.0,2.0,23.0,454.0,59.0,,82403,3.0,183.0,,8.0,,201.0,6.0,24.0,5.0,65.0,4.0,13.0,5.0,4.0,1.0,71.0,370.0,14.0,13.0,,39.0,,84.0,1.0,,,0.0,,3.0,4.0,1.0,5.0,,0.0,3.0,,1.0,53.5,22.0,1.0,7.0,4.0,,46.0,5.0,1.0,476.0,7.0,2.0,13.0,20.0,4.0,29.0,1.0,2.0,297.0,3.0,4.0,21.0,86.0,19.0,2.0,12.0,12.0,1.0,4.0,3.0,15.0,2.0,8.0,5.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,855351,2016-12-26 12:30:00,"Vicarage Road, Watford",20304,Away,Crystal Palace,Watford,1,1,D,1,0,0,0,,61.0,1.0,,23.0,45.0,5.0,1.0,5.0,2.0,1.0,160.0,3.0,8.0,4.0,7.0,,4.0,42.0,161.0,73.0,,10.0,1.0,20.0,3.0,1.0,1.0,,3.0,11.0,17.0,,45.0,3.0,9.0,27.0,1.0,92.0,,0.0,88.0,17.0,2.0,3.0,2.0,38.0,35.0,4.0,33.0,1.0,,8.0,14.0,5.0,,1.0,4.0,161.0,1.0,3.0,57.0,503.0,4.0,15.0,12.0,12.0,158.0,30.0,11.0,28.0,1.0,4.0,2.0,3.0,22.0,262.0,64.0,1.0,82403,4.0,85.0,1.0,4.0,1.0,116.0,5.0,14.0,8.0,56.0,2.0,13.0,6.0,3.0,1.0,68.0,174.0,18.0,8.0,2.0,37.0,1.0,87.0,2.0,2.0,,0.0,,7.0,1.0,1.0,3.0,,0.0,2.0,2.0,3.0,43.9,15.0,1.0,,2.0,1.0,37.0,3.0,2.0,292.0,12.0,,7.0,8.0,5.0,19.0,1.0,1.0,187.0,6.0,8.0,28.0,34.0,20.0,3.0,28.0,21.0,1.0,7.0,2.0,15.0,3.0,6.0,3.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,2.0,,1.0,1.0,1.0,,
19,855352,2017-01-01 16:00:00,"Emirates Stadium, London",59975,Away,Crystal Palace,Arsenal,0,2,L,0,1,0,0,1.0,75.0,2.0,,26.0,26.0,3.0,2.0,4.0,5.0,2.0,151.0,4.0,7.0,3.0,5.0,1.0,4.0,76.0,147.0,59.0,,7.0,1.0,15.0,2.0,,2.0,3.0,,18.0,14.0,2.0,26.0,3.0,8.0,23.0,,151.0,1.0,0.0,130.0,7.0,3.0,2.0,6.0,65.0,34.0,3.0,53.0,5.0,1.0,15.0,16.0,3.0,,9.0,,147.0,1.0,14.0,71.0,561.0,4.0,14.0,13.0,21.0,241.0,29.0,12.0,9.0,2.0,1.0,10.0,2.0,9.0,319.0,62.0,,82403,2.0,111.0,1.0,4.0,,125.0,7.0,16.0,13.0,57.0,3.0,10.0,8.0,7.0,,71.0,258.0,9.0,10.0,1.0,29.0,3.0,76.0,,,,0.0,2.0,8.0,3.0,2.0,4.0,,0.0,2.0,,2.0,35.9,9.0,1.0,5.0,3.0,1.0,33.0,4.0,6.0,351.0,21.0,,14.0,4.0,2.0,27.0,2.0,2.0,244.0,3.0,8.0,23.0,73.0,27.0,,9.0,20.0,2.0,4.0,3.0,18.0,,13.0,4.0,,,,,,,,,,,1.0,,1.0,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,855363,2017-01-03 20:00:00,"Selhurst Park, London",24913,Home,Crystal Palace,Swansea City,1,2,L,0,1,0,0,1.0,45.0,,2.0,20.0,22.0,2.0,4.0,4.0,2.0,1.0,146.0,3.0,4.0,4.0,3.0,,3.0,111.0,156.0,46.0,1.0,7.0,,23.0,1.0,,,,,28.0,15.0,1.0,22.0,4.0,9.0,16.0,,137.0,2.0,0.0,118.0,13.0,1.0,3.0,,32.0,74.0,2.0,65.0,1.0,,24.0,13.0,3.0,1.0,7.0,2.0,156.0,,7.0,89.0,617.0,2.0,9.0,16.0,25.0,300.0,17.0,13.0,11.0,,2.0,2.0,1.0,32.0,389.0,69.0,,82403,2.0,181.0,,14.0,1.0,202.0,6.0,13.0,6.0,57.0,4.0,13.0,4.0,1.0,,61.0,315.0,14.0,9.0,,46.0,,69.0,1.0,,,0.0,3.0,5.0,2.0,2.0,3.0,,0.0,3.0,,,47.1,26.0,,3.0,4.0,2.0,35.0,4.0,,411.0,25.0,,8.0,4.0,2.0,36.0,,,237.0,3.0,9.0,11.0,67.0,19.0,2.0,11.0,17.0,2.0,5.0,3.0,8.0,2.0,6.0,4.0,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
21,855381,2017-01-14 15:00:00,"London Stadium, London",56984,Away,Crystal Palace,West Ham United,0,3,L,0,0,0,0,,45.0,,,28.0,21.0,7.0,,3.0,,1.0,173.0,2.0,4.0,3.0,6.0,2.0,1.0,88.0,138.0,49.0,1.0,10.0,3.0,20.0,,2.0,,1.0,,17.0,12.0,1.0,21.0,2.0,16.0,34.0,,190.0,1.0,0.0,124.0,14.0,,2.0,,74.0,62.0,1.0,74.0,1.0,3.0,15.0,14.0,7.0,1.0,4.0,3.0,138.0,1.0,8.0,103.0,612.0,5.0,9.0,10.0,12.0,342.0,18.0,4.0,14.0,1.0,2.0,3.0,5.0,24.0,418.0,60.0,1.0,86417,,168.0,1.0,9.0,2.0,183.0,7.0,14.0,8.0,65.0,2.0,17.0,6.0,3.0,2.0,54.0,356.0,9.0,13.0,1.0,16.0,,76.0,,,,0.0,1.0,2.0,,3.0,2.0,,0.0,2.0,,,55.9,21.0,,,2.0,3.0,47.0,2.0,,438.0,12.0,,14.0,15.0,6.0,22.0,,3.0,272.0,10.0,15.0,20.0,83.0,24.0,,14.0,17.0,3.0,7.0,3.0,9.0,,8.0,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,855385,2017-01-21 15:00:00,"Selhurst Park, London",25594,Home,Crystal Palace,Everton,0,1,L,0,0,0,0,,67.0,5.0,1.0,38.0,36.0,3.0,3.0,5.0,7.0,,152.0,6.0,8.0,6.0,7.0,,2.0,80.0,154.0,65.0,,8.0,3.0,9.0,2.0,,,,,25.0,13.0,,36.0,7.0,6.0,41.0,,166.0,,0.0,133.0,10.0,4.0,4.0,1.0,52.0,47.0,5.0,52.0,,,18.0,17.0,3.0,,7.0,,154.0,,9.0,87.0,574.0,5.0,12.0,21.0,9.0,256.0,27.0,14.0,16.0,,0.0,3.0,2.0,16.0,350.0,62.0,1.0,86417,4.0,112.0,,7.0,4.0,136.0,5.0,17.0,3.0,48.0,4.0,16.0,8.0,3.0,,78.0,272.0,15.0,17.0,2.0,36.0,2.0,75.0,,,,0.0,,7.0,2.0,1.0,5.0,,0.0,4.0,,4.0,44.0,11.0,,4.0,4.0,4.0,44.0,8.0,2.0,371.0,9.0,,8.0,20.0,2.0,44.0,2.0,1.0,260.0,1.0,5.0,25.0,82.0,27.0,6.0,16.0,18.0,1.0,2.0,3.0,14.0,6.0,10.0,8.0,,,1.0,1.0,,,,,,,1.0,,2.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,1.0,
23,855392,2017-01-31 19:45:00,"Vitality Stadium, Bournemouth",11286,Away,Crystal Palace,Bournemouth,2,0,W,0,0,0,0,,41.0,2.0,,24.0,23.0,5.0,2.0,6.0,2.0,1.0,122.0,9.0,7.0,3.0,8.0,,4.0,46.0,120.0,62.0,1.0,11.0,1.0,12.0,2.0,1.0,,,1.0,21.0,14.0,,23.0,3.0,9.0,17.0,,119.0,2.0,0.0,110.0,23.0,1.0,1.0,1.0,43.0,52.0,3.0,38.0,,,18.0,11.0,5.0,1.0,8.0,3.0,120.0,2.0,2.0,27.0,412.0,5.0,10.0,17.0,12.0,138.0,16.0,10.0,9.0,,4.0,3.0,5.0,22.0,199.0,58.0,1.0,82403,2.0,44.0,,9.0,2.0,57.0,13.0,11.0,14.0,63.0,2.0,9.0,8.0,9.0,2.0,68.0,154.0,14.0,15.0,1.0,37.0,1.0,65.0,1.0,,,0.0,2.0,2.0,,,5.0,,0.0,9.0,,2.0,34.9,18.0,,5.0,2.0,1.0,24.0,3.0,1.0,233.0,12.0,,7.0,10.0,6.0,32.0,,2.0,197.0,7.0,9.0,24.0,67.0,12.0,4.0,9.0,17.0,,7.0,3.0,14.0,4.0,8.0,3.0,,,,1.0,1.0,2.0,,1.0,,,,,1.0,2.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,
24,855403,2017-02-04 15:00:00,"Selhurst Park, London",25310,Home,Crystal Palace,Sunderland,0,4,L,0,4,0,0,2.0,59.0,1.0,2.0,42.0,6.0,7.0,6.0,14.0,3.0,4.0,185.0,10.0,9.0,3.0,12.0,3.0,9.0,116.0,161.0,46.0,1.0,21.0,2.0,13.0,6.0,,,3.0,2.0,40.0,8.0,3.0,6.0,7.0,20.0,39.0,,261.0,,0.0,190.0,9.0,1.0,2.0,,107.0,67.0,8.0,95.0,2.0,3.0,33.0,7.0,7.0,1.0,12.0,2.0,161.0,3.0,5.0,106.0,702.0,9.0,11.0,29.0,12.0,402.0,20.0,14.0,2.0,,3.0,,4.0,34.0,487.0,97.0,,82403,10.0,162.0,4.0,19.0,3.0,177.0,5.0,7.0,3.0,45.0,5.0,17.0,5.0,1.0,2.0,74.0,413.0,8.0,5.0,3.0,24.0,5.0,81.0,2.0,2.0,,0.0,3.0,1.0,2.0,4.0,2.0,,0.0,7.0,,7.0,65.7,31.0,2.0,3.0,5.0,4.0,62.0,7.0,,502.0,12.0,,9.0,17.0,8.0,56.0,3.0,6.0,365.0,8.0,17.0,16.0,129.0,30.0,1.0,2.0,13.0,3.0,12.0,3.0,18.0,1.0,4.0,7.0,1.0,,1.0,,,,,,,,4.0,,3.0,,1.0,,,1.0,,,,2.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,855418,2017-02-11 15:00:00,"bet365 Stadium, Stoke",27007,Away,Crystal Palace,Stoke City,0,1,L,0,0,0,0,1.0,64.0,1.0,,33.0,17.0,3.0,4.0,3.0,2.0,,150.0,2.0,5.0,3.0,5.0,,1.0,60.0,166.0,58.0,1.0,6.0,1.0,21.0,1.0,,1.0,1.0,2.0,16.0,15.0,,17.0,4.0,7.0,16.0,,101.0,,0.0,92.0,14.0,1.0,1.0,1.0,39.0,50.0,2.0,54.0,,,12.0,12.0,3.0,1.0,7.0,2.0,166.0,,5.0,63.0,536.0,4.0,14.0,9.0,21.0,216.0,28.0,21.0,12.0,1.0,3.0,2.0,3.0,34.0,303.0,60.0,,86417,1.0,128.0,,4.0,2.0,153.0,5.0,12.0,7.0,66.0,5.0,16.0,2.0,3.0,1.0,84.0,227.0,10.0,8.0,1.0,56.0,1.0,75.0,,1.0,1.0,0.0,2.0,5.0,2.0,1.0,4.0,,0.0,2.0,1.0,1.0,42.5,26.0,1.0,1.0,5.0,1.0,36.0,5.0,2.0,327.0,21.0,1.0,13.0,7.0,4.0,26.0,,2.0,190.0,1.0,6.0,24.0,43.0,27.0,3.0,12.0,19.0,1.0,2.0,3.0,16.0,3.0,6.0,5.0,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,855423,2017-02-25 15:00:00,"Selhurst Park, London",25416,Home,Crystal Palace,Middlesbrough,1,0,W,1,0,0,0,1.0,66.0,3.0,4.0,24.0,21.0,4.0,6.0,11.0,4.0,,166.0,7.0,13.0,6.0,13.0,,3.0,77.0,168.0,62.0,,15.0,1.0,21.0,2.0,2.0,,1.0,,29.0,12.0,,21.0,3.0,8.0,40.0,,163.0,2.0,0.0,159.0,13.0,,3.0,1.0,51.0,82.0,6.0,42.0,,1.0,26.0,11.0,4.0,,8.0,3.0,168.0,,4.0,62.0,562.0,10.0,13.0,33.0,12.0,236.0,23.0,8.0,14.0,,3.0,1.0,7.0,31.0,320.0,63.0,1.0,86417,8.0,95.0,,15.0,3.0,108.0,6.0,11.0,12.0,66.0,1.0,13.0,7.0,5.0,3.0,65.0,251.0,15.0,12.0,2.0,25.0,2.0,77.0,,,1.0,0.0,3.0,2.0,1.0,,3.0,1.0,0.0,5.0,2.0,3.0,45.6,23.0,2.0,4.0,1.0,5.0,33.0,4.0,1.0,347.0,12.0,,11.0,17.0,7.0,43.0,2.0,4.0,268.0,6.0,8.0,22.0,105.0,33.0,2.0,14.0,13.0,,10.0,3.0,26.0,2.0,4.0,4.0,,,,3.0,,1.0,,1.0,,,,3.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,1.0,,2.0,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,
