gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attLfGoal,attRfTarget,shotFastbreak,attSvLowCentre,attOboxGoal,penaltyWon,totalFastbreak,midfielderGoals,goodHighClaim,errorLeadToShot,totalPullBack,goalsOpenplay,attPenGoal,attFastbreak,punches,savedIbox,shieldBallOop,attBxLeft,totalHighClaim,forwardGoals,attGoalHighRight,attOneOnOne,accurateThroughBall,totalThroughBall,attFreekickGoal,attSvHighCentre,attGoalLowRight,goalAssistOpenplay,goalAssist,goalAssistIntentional,errorLeadToGoal,attHdTarget,attObxdLeft,attGoalHighLeft,attCmissLeft,attFreekickTarget,attHdGoal,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,penaltyConceded,penaltyFaced,penGoalsConceded,attMissHighRight,ptsGainedLosingPos,attCmissHigh,attSvHighRight,cleanSheet,postScoringAtt,attIboxPost,attSvHighLeft,attFreekickPost,attHdPost,hitWoodwork,attOboxPost,attPostHigh,foulThrowIn,attPostRight,secondYellow,clearanceOffLine,attLgCentre,attObxRight,goalFastbreak,attGoalHighCentre,attPostLeft,penaltySave
1,1059703,2019-08-10 15:00:00,"Vitality Stadium, Bournemouth",10714.0,Home,Bournemouth,Sheffield United,1,1,D,0,0,0,0,1.0,2.0,1.0,56.0,1.0,2.0,2.0,20.0,13.0,6.0,4.0,7.0,2.0,161.0,2.0,8.0,1.0,6.0,7.0,1.0,3.0,120.0,151.0,56.0,1.0,13.0,1.0,21.0,1.0,1.0,3.0,14.0,13.0,1.0,13.0,2.0,12.0,28.0,162.0,0.0,116.0,10.0,2.0,1.0,4.0,62.0,81.0,3.0,65.0,1.0,1.0,12.0,17.0,6.0,1.0,1.0,4.0,151.0,1.0,1.0,3.0,139.0,671.0,6.0,4.0,16.0,13.0,366.0,19.0,2.0,4.0,7.0,2.0,1.0,4.0,27.0,459.0,50.0,1.0,90105,4.0,224.0,1.0,7.0,1.0,5.0,252.0,6.0,1.0,17.0,9.0,49.0,1.0,1.0,5.0,13.0,5.0,4.0,1.0,58.0,384.0,17.0,6.0,1.0,24.0,3.0,79.0,1.0,0.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,52.9,20.0,1.0,3.0,5.0,3.0,41.0,3.0,485.0,13.0,1.0,5.0,11.0,7.0,22.0,1.0,3.0,247.0,8.0,9.0,14.0,79.0,29.0,2.0,7.0,18.0,1.0,3.0,1.0,17.0,2.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059713,2019-08-17 15:00:00,"Villa Park, Birmingham",40996.0,Away,Bournemouth,Aston Villa,2,1,W,2,0,0,0,,1.0,1.0,59.0,2.0,3.0,3.0,21.0,25.0,4.0,7.0,8.0,6.0,133.0,4.0,3.0,2.0,4.0,10.0,,4.0,59.0,125.0,49.0,,12.0,1.0,28.0,2.0,3.0,,14.0,9.0,,25.0,2.0,2.0,28.0,123.0,0.0,128.0,13.0,2.0,,2.0,47.0,44.0,6.0,46.0,,1.0,12.0,19.0,4.0,,1.0,2.0,125.0,1.0,,11.0,57.0,468.0,9.0,6.0,20.0,11.0,192.0,26.0,2.0,6.0,13.0,2.0,5.0,4.0,14.0,262.0,55.0,,90105,3.0,89.0,1.0,9.0,,,109.0,8.0,1.0,19.0,11.0,57.0,,2.0,3.0,17.0,10.0,5.0,1.0,72.0,208.0,10.0,9.0,1.0,29.0,1.0,65.0,,0.0,2.0,11.0,1.0,1.0,4.0,0.0,3.0,,37.4,14.0,,5.0,3.0,4.0,23.0,5.0,295.0,11.0,,5.0,10.0,4.0,20.0,1.0,2.0,200.0,3.0,2.0,22.0,81.0,15.0,3.0,13.0,15.0,,10.0,2.0,5.0,,3.0,11.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059722,2019-08-25 14:00:00,"Vitality Stadium, Bournemouth",10486.0,Home,Bournemouth,Manchester City,1,3,L,1,2,0,0,,5.0,,64.0,,,1.0,25.0,22.0,2.0,8.0,8.0,2.0,110.0,2.0,6.0,1.0,3.0,6.0,,7.0,51.0,122.0,42.0,1.0,10.0,,16.0,5.0,,,15.0,5.0,1.0,22.0,4.0,2.0,26.0,85.0,0.0,96.0,7.0,2.0,1.0,2.0,40.0,32.0,4.0,34.0,,1.0,11.0,13.0,2.0,1.0,2.0,,122.0,1.0,,14.0,54.0,419.0,4.0,6.0,16.0,16.0,161.0,32.0,,10.0,7.0,1.0,9.0,2.0,7.0,223.0,51.0,1.0,90105,5.0,96.0,3.0,7.0,,2.0,109.0,4.0,,13.0,5.0,46.0,,2.0,2.0,15.0,4.0,3.0,1.0,60.0,179.0,13.0,7.0,2.0,25.0,,56.0,1.0,0.0,2.0,5.0,,3.0,1.0,0.0,2.0,1.0,26.2,3.0,1.0,5.0,2.0,1.0,25.0,4.0,249.0,16.0,,9.0,10.0,2.0,24.0,,2.0,155.0,1.0,2.0,15.0,56.0,20.0,1.0,7.0,8.0,3.0,6.0,3.0,13.0,,1.0,6.0,4.0,,1.0,1.0,,3.0,1.0,,,,,,,,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059737,2019-08-31 15:00:00,"King Power Stadium, Leicester",31613.0,Away,Bournemouth,Leicester City,1,3,L,1,2,0,0,,,1.0,70.0,,1.0,2.0,19.0,18.0,5.0,3.0,3.0,3.0,170.0,2.0,15.0,1.0,,8.0,,2.0,95.0,163.0,59.0,,8.0,2.0,15.0,,1.0,1.0,17.0,11.0,1.0,18.0,4.0,8.0,26.0,159.0,0.0,122.0,11.0,1.0,,,63.0,63.0,6.0,62.0,2.0,,13.0,26.0,5.0,,2.0,2.0,163.0,1.0,,7.0,105.0,647.0,6.0,7.0,14.0,22.0,318.0,25.0,,5.0,10.0,3.0,4.0,2.0,21.0,408.0,40.0,,90105,1.0,177.0,,11.0,,,201.0,3.0,,26.0,7.0,55.0,,1.0,8.0,19.0,8.0,3.0,1.0,46.0,334.0,9.0,8.0,1.0,18.0,1.0,60.0,1.0,0.0,5.0,4.0,1.0,3.0,,0.0,,,45.0,18.0,,7.0,8.0,4.0,32.0,5.0,432.0,22.0,,16.0,13.0,2.0,31.0,2.0,,248.0,5.0,6.0,21.0,81.0,28.0,3.0,10.0,14.0,2.0,7.0,3.0,21.0,,3.0,8.0,5.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,2.0,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059742,2019-09-15 14:00:00,"Vitality Stadium, Bournemouth",10416.0,Home,Bournemouth,Everton,3,1,W,1,1,0,0,1.0,1.0,2.0,63.0,,1.0,1.0,17.0,37.0,4.0,5.0,8.0,4.0,151.0,2.0,6.0,3.0,5.0,9.0,,6.0,64.0,163.0,61.0,3.0,13.0,1.0,24.0,1.0,,2.0,7.0,9.0,2.0,37.0,5.0,3.0,35.0,83.0,0.0,82.0,5.0,2.0,1.0,1.0,56.0,37.0,5.0,57.0,1.0,3.0,2.0,17.0,5.0,3.0,,1.0,163.0,2.0,1.0,9.0,64.0,547.0,6.0,5.0,16.0,13.0,213.0,28.0,,2.0,21.0,0.0,4.0,4.0,23.0,309.0,46.0,,90105,6.0,151.0,,1.0,,1.0,183.0,4.0,2.0,17.0,12.0,56.0,,4.0,6.0,16.0,5.0,8.0,,53.0,232.0,14.0,10.0,1.0,25.0,3.0,61.0,,0.0,5.0,7.0,2.0,1.0,2.0,0.0,,3.0,40.5,12.0,1.0,4.0,6.0,2.0,19.0,7.0,336.0,13.0,,10.0,18.0,5.0,19.0,2.0,4.0,160.0,5.0,3.0,23.0,44.0,23.0,2.0,21.0,18.0,1.0,6.0,3.0,14.0,,2.0,7.0,7.0,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,2.0,3.0,,1.0,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059760,2019-09-20 20:00:00,"St. Mary's Stadium, Southampton",30168.0,Away,Bournemouth,Southampton,3,1,W,2,0,0,0,1.0,,3.0,72.0,,3.0,,23.0,25.0,3.0,3.0,3.0,6.0,150.0,1.0,12.0,3.0,1.0,4.0,,3.0,64.0,189.0,54.0,1.0,6.0,2.0,22.0,,,1.0,10.0,6.0,,25.0,5.0,8.0,23.0,82.0,0.0,64.0,9.0,4.0,,,68.0,31.0,4.0,39.0,1.0,,5.0,27.0,3.0,1.0,3.0,1.0,189.0,3.0,3.0,13.0,47.0,519.0,1.0,12.0,14.0,15.0,162.0,36.0,,9.0,10.0,3.0,8.0,,22.0,271.0,40.0,,90105,3.0,97.0,,2.0,,,136.0,6.0,1.0,27.0,16.0,68.0,1.0,2.0,5.0,17.0,12.0,7.0,,67.0,178.0,8.0,8.0,,30.0,1.0,77.0,,0.0,5.0,4.0,3.0,1.0,4.0,0.0,,1.0,35.2,18.0,,2.0,5.0,2.0,29.0,5.0,300.0,15.0,1.0,16.0,8.0,1.0,10.0,1.0,,174.0,2.0,6.0,26.0,33.0,25.0,2.0,10.0,8.0,1.0,4.0,3.0,26.0,,2.0,7.0,5.0,,1.0,,,,,,,1.0,,1.0,1.0,2.0,,,,2.0,,,,1.0,,,,,,,2.0,2.0,3.0,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
7,1059762,2019-09-28 15:00:00,"Vitality Stadium, Bournemouth",10729.0,Home,Bournemouth,West Ham United,2,2,D,1,1,0,0,,,2.0,68.0,1.0,1.0,3.0,31.0,21.0,2.0,3.0,11.0,4.0,163.0,6.0,11.0,2.0,1.0,12.0,,5.0,117.0,164.0,51.0,,13.0,1.0,25.0,2.0,,1.0,17.0,4.0,1.0,21.0,5.0,4.0,33.0,133.0,0.0,109.0,7.0,3.0,1.0,,65.0,54.0,8.0,59.0,1.0,,12.0,16.0,2.0,,2.0,,164.0,4.0,1.0,11.0,117.0,672.0,6.0,10.0,20.0,12.0,333.0,23.0,,3.0,10.0,3.0,7.0,4.0,30.0,435.0,45.0,,78007,8.0,222.0,2.0,10.0,1.0,1.0,245.0,4.0,2.0,16.0,4.0,61.0,,2.0,8.0,18.0,6.0,2.0,2.0,63.0,349.0,8.0,6.0,4.0,15.0,6.0,86.0,,0.0,,6.0,2.0,2.0,2.0,0.0,2.0,4.0,49.1,27.0,4.0,8.0,8.0,4.0,44.0,6.0,456.0,12.0,,15.0,13.0,4.0,32.0,4.0,4.0,228.0,5.0,3.0,24.0,66.0,26.0,1.0,10.0,8.0,2.0,6.0,3.0,19.0,2.0,1.0,7.0,6.0,,,3.0,,1.0,,,,1.0,,,,1.0,,,1.0,3.0,,,,1.0,,1.0,1.0,2.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
8,1059772,2019-10-06 14:00:00,"Emirates Stadium, London",60326.0,Away,Bournemouth,Arsenal,0,1,L,0,1,0,0,,,,64.0,,,1.0,22.0,31.0,5.0,1.0,5.0,1.0,164.0,3.0,14.0,,1.0,8.0,1.0,2.0,90.0,150.0,66.0,,10.0,,14.0,1.0,,3.0,16.0,8.0,1.0,31.0,5.0,4.0,35.0,136.0,0.0,81.0,6.0,,,1.0,56.0,46.0,3.0,54.0,5.0,1.0,11.0,24.0,5.0,,5.0,4.0,150.0,1.0,,9.0,95.0,643.0,5.0,5.0,19.0,19.0,292.0,29.0,,5.0,16.0,2.0,4.0,5.0,17.0,380.0,42.0,1.0,90105,3.0,177.0,2.0,5.0,,1.0,207.0,4.0,,24.0,10.0,55.0,,,5.0,16.0,3.0,7.0,1.0,49.0,310.0,12.0,12.0,3.0,18.0,2.0,74.0,,0.0,3.0,14.0,,1.0,2.0,0.0,1.0,3.0,47.5,15.0,3.0,5.0,5.0,1.0,43.0,5.0,403.0,19.0,,18.0,15.0,7.0,25.0,2.0,3.0,212.0,6.0,4.0,26.0,53.0,25.0,5.0,16.0,14.0,1.0,6.0,3.0,19.0,,5.0,13.0,5.0,,,2.0,,1.0,,,,,,,2.0,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
9,1059782,2019-10-19 15:00:00,"Vitality Stadium, Bournemouth",10669.0,Home,Bournemouth,Norwich City,0,0,D,0,0,0,0,,1.0,,56.0,,1.0,,33.0,23.0,6.0,6.0,5.0,1.0,160.0,6.0,8.0,,4.0,6.0,1.0,2.0,85.0,149.0,53.0,1.0,11.0,3.0,25.0,2.0,,1.0,33.0,8.0,,23.0,5.0,1.0,31.0,172.0,0.0,135.0,8.0,1.0,,3.0,77.0,69.0,3.0,63.0,3.0,2.0,28.0,17.0,6.0,1.0,8.0,3.0,149.0,1.0,,3.0,99.0,618.0,5.0,10.0,26.0,10.0,313.0,23.0,2.0,6.0,10.0,1.0,3.0,3.0,28.0,390.0,56.0,,90105,3.0,160.0,1.0,17.0,,,177.0,4.0,,17.0,6.0,56.0,,2.0,3.0,19.0,7.0,4.0,1.0,52.0,326.0,11.0,10.0,1.0,17.0,4.0,67.0,,0.0,3.0,7.0,,,1.0,0.0,5.0,1.0,47.7,25.0,1.0,5.0,3.0,3.0,46.0,6.0,407.0,10.0,,8.0,19.0,6.0,43.0,1.0,3.0,263.0,4.0,1.0,18.0,91.0,25.0,1.0,10.0,16.0,,6.0,2.0,14.0,,1.0,9.0,6.0,,,1.0,,2.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
10,1059800,2019-10-26 15:00:00,"Vicarage Road, Watford",20821.0,Away,Bournemouth,Watford,0,0,D,0,0,0,0,2.0,4.0,,61.0,,2.0,2.0,25.0,21.0,9.0,11.0,6.0,3.0,180.0,4.0,10.0,,6.0,11.0,,5.0,124.0,144.0,55.0,2.0,15.0,5.0,12.0,3.0,1.0,1.0,25.0,9.0,2.0,21.0,9.0,2.0,19.0,141.0,0.0,103.0,8.0,2.0,1.0,3.0,55.0,65.0,9.0,58.0,1.0,,16.0,18.0,9.0,2.0,5.0,1.0,144.0,1.0,,3.0,139.0,713.0,9.0,4.0,15.0,15.0,397.0,24.0,,4.0,10.0,3.0,1.0,2.0,17.0,478.0,50.0,,90105,3.0,280.0,1.0,8.0,,,305.0,3.0,,18.0,7.0,47.0,,3.0,11.0,11.0,4.0,5.0,,52.0,417.0,14.0,9.0,2.0,20.0,4.0,72.0,,0.0,3.0,5.0,,,,0.0,2.0,1.0,59.8,16.0,,4.0,11.0,7.0,38.0,10.0,501.0,15.0,,14.0,7.0,3.0,35.0,2.0,,221.0,2.0,2.0,15.0,68.0,22.0,2.0,10.0,16.0,,9.0,2.0,16.0,,2.0,8.0,10.0,,,1.0,1.0,3.0,,,1.0,,1.0,1.0,,,,1.0,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,
