gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,successfulPutThrough,wonCorners,attGoalLowRight,attLfGoal,attRfTarget,accuratePullBack,attCmissRight,attOboxBlocked,attIboxTarget,attBxRight,attSvLowCentre,attOneOnOne,attMissHighRight,cleanSheet,attOboxGoal,attSvLowLeft,contentiousDecision,attMissHighLeft,bigChanceMissed,sixYardBlock,totalPullBack,attCmissHigh,attMissHigh,attAssistSetplay,attSvLowRight,punches,shieldBallOop,effectiveBlockedCross,blockedCross,accurateFreekickCross,attCmissLeft,attFreekickTotal,goalAssistOpenplay,goodHighClaim,freekickTotal,totalHighClaim,attFreekickMiss,attSvHighLeft,attCmissHighLeft,foulThrowIn,attGoalHighCentre,attHdTarget,penaltyWon,hitWoodwork,attPenGoal,goalsConcededObox,attFreekickTarget,errorLeadToGoal,attPenMiss,clearanceOffLine,shotFastbreak,totalFastbreak,attFastbreak,postScoringAtt,attIboxPost,attHdPost,attPostHigh,attOboxPost,attPostRight,secondYellow,attSvHighRight,attPostLeft,ownGoals,attObxRight,attIboxOwnGoal,attObpGoal,goalFastbreak,attPenTarget,attFreekickPost,attObxdLeft
1,918901,2017-08-12 12:30:00,"Vicarage Road, Watford",20407,Home,Watford,Liverpool,3,3,D,2,1,0,0,1.0,1.0,3.0,59.0,1.0,1.0,1.0,1.0,1.0,35.0,28.0,2.0,3.0,6.0,2.0,166.0,1.0,2.0,11.0,3.0,2.0,5.0,4.0,85.0,173.0,60.0,9.0,25.0,3.0,1.0,16.0,12.0,1.0,1.0,28.0,3.0,11.0,40.0,130.0,0.0,134.0,14.0,1.0,2.0,1.0,2.0,29.0,82.0,3.0,54.0,1.0,3.0,13.0,29.0,3.0,3.0,2.0,173.0,1.0,13.0,90.0,595.0,1.0,4.0,8.0,11.0,11.0,262.0,21.0,14.0,15.0,1.0,3.0,0.0,1.0,2.0,26.0,372.0,79.0,1.0,1.0,89085,1.0,149.0,8.0,1.0,1.0,171.0,7.0,1.0,29.0,12.0,64.0,2.0,1.0,3.0,6.0,1.0,11.0,1.0,5.0,84.0,277.0,8.0,6.0,41.0,86.0,0.0,1.0,3.0,1.0,3.0,3.0,4.0,0.0,1.0,1.0,3.0,45.6,22.0,1.0,2.0,1.0,1.0,8.0,1.0,38.0,3.0,1.0,395.0,1.0,11.0,14.0,17.0,4.0,29.0,1.0,2.0,240.0,3.0,10.0,22.0,68.0,24.0,1.0,15.0,19.0,2.0,3.0,5.0,3.0,17.0,2.0,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918903,2017-08-19 15:00:00,"Vitality Stadium, Bournemouth",10501,Away,Watford,Bournemouth,2,0,W,0,0,0,0,1.0,1.0,1.0,64.0,1.0,,4.0,,,32.0,28.0,6.0,6.0,13.0,2.0,138.0,,4.0,9.0,2.0,1.0,12.0,7.0,74.0,136.0,51.0,19.0,16.0,1.0,2.0,20.0,13.0,,2.0,28.0,2.0,6.0,28.0,153.0,0.0,124.0,14.0,,2.0,,1.0,51.0,61.0,7.0,55.0,2.0,2.0,18.0,17.0,6.0,3.0,2.0,136.0,1.0,4.0,71.0,558.0,,10.0,7.0,34.0,18.0,253.0,24.0,11.0,13.0,,1.0,3.0,3.0,5.0,26.0,322.0,51.0,1.0,,89085,7.0,116.0,14.0,,,136.0,8.0,1.0,17.0,7.0,45.0,1.0,,7.0,4.0,2.0,20.0,2.0,4.0,64.0,265.0,6.0,6.0,32.0,70.0,0.0,2.0,8.0,2.0,1.0,,3.0,0.0,2.0,,2.0,44.2,22.0,2.0,3.0,2.0,,7.0,5.0,38.0,5.0,,338.0,,18.0,6.0,19.0,7.0,33.0,2.0,5.0,222.0,10.0,6.0,17.0,89.0,26.0,1.0,13.0,20.0,,,15.0,3.0,14.0,,6.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918921,2017-08-26 15:00:00,"Vicarage Road, Watford",20181,Home,Watford,Brighton and Hove Albion,0,0,D,0,0,1,0,1.0,,,37.0,,1.0,2.0,,,29.0,36.0,4.0,1.0,4.0,2.0,135.0,,3.0,8.0,,5.0,7.0,,88.0,124.0,55.0,8.0,20.0,,2.0,11.0,4.0,,,36.0,3.0,4.0,33.0,135.0,0.0,114.0,7.0,,2.0,,3.0,64.0,40.0,3.0,45.0,,,8.0,15.0,4.0,4.0,3.0,124.0,,10.0,66.0,514.0,,6.0,7.0,13.0,8.0,226.0,20.0,4.0,19.0,,,0.0,6.0,4.0,29.0,300.0,58.0,,,89085,2.0,112.0,1.0,2.0,,128.0,3.0,,15.0,13.0,43.0,,,,1.0,,8.0,6.0,8.0,71.0,244.0,18.0,5.0,26.0,73.0,0.0,4.0,11.0,1.0,,,1.0,1.0,3.0,,1.0,42.2,27.0,1.0,1.0,1.0,,1.0,3.0,39.0,3.0,,334.0,,8.0,9.0,11.0,5.0,26.0,,2.0,217.0,5.0,3.0,20.0,68.0,15.0,,19.0,10.0,,,5.0,3.0,11.0,,7.0,3.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,3.0,1.0,,5.0,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918929,2017-09-09 15:00:00,"St. Mary's Stadium, Southampton",31435,Away,Watford,Southampton,2,0,W,1,0,0,0,,,,63.0,1.0,1.0,2.0,,,24.0,34.0,8.0,2.0,4.0,1.0,163.0,,3.0,10.0,2.0,3.0,9.0,3.0,88.0,165.0,60.0,12.0,19.0,1.0,2.0,9.0,13.0,,1.0,34.0,3.0,9.0,20.0,160.0,0.0,113.0,11.0,,1.0,1.0,1.0,74.0,34.0,5.0,50.0,2.0,1.0,6.0,20.0,8.0,3.0,3.0,165.0,,4.0,83.0,601.0,,6.0,10.0,19.0,19.0,267.0,23.0,11.0,16.0,2.0,1.0,0.0,5.0,4.0,26.0,369.0,58.0,,,89085,1.0,119.0,2.0,,,149.0,7.0,2.0,20.0,5.0,55.0,,,1.0,7.0,2.0,14.0,5.0,3.0,60.0,276.0,8.0,6.0,35.0,78.0,0.0,1.0,7.0,,,,3.0,0.0,1.0,,1.0,47.3,12.0,1.0,2.0,1.0,,9.0,4.0,43.0,4.0,,384.0,,19.0,8.0,10.0,5.0,22.0,2.0,2.0,244.0,9.0,6.0,23.0,65.0,26.0,,16.0,19.0,,,8.0,3.0,21.0,,10.0,4.0,1.0,,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,2.0,,,1.0,,1.0,,,,1.0,,3.0,,3.0,3.0,,,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918941,2017-09-16 15:00:00,"Vicarage Road, Watford",20305,Home,Watford,Manchester City,0,6,L,0,3,0,0,,,,45.0,,2.0,,,,23.0,22.0,2.0,,5.0,4.0,126.0,,4.0,11.0,,2.0,5.0,1.0,70.0,123.0,35.0,7.0,14.0,,2.0,10.0,3.0,,,22.0,3.0,,33.0,96.0,0.0,62.0,8.0,,3.0,,2.0,68.0,18.0,1.0,51.0,5.0,1.0,7.0,17.0,2.0,2.0,1.0,123.0,2.0,18.0,65.0,482.0,,2.0,11.0,10.0,22.0,217.0,24.0,4.0,7.0,,,2.0,8.0,4.0,17.0,287.0,31.0,,1.0,89085,2.0,144.0,3.0,1.0,1.0,167.0,5.0,,17.0,14.0,54.0,1.0,,2.0,2.0,,12.0,10.0,9.0,42.0,236.0,6.0,13.0,12.0,67.0,0.0,,11.0,2.0,,6.0,6.0,0.0,1.0,,3.0,32.6,10.0,3.0,1.0,,,2.0,1.0,39.0,3.0,1.0,312.0,1.0,22.0,8.0,12.0,5.0,19.0,3.0,4.0,155.0,4.0,,12.0,34.0,15.0,,7.0,7.0,,6.0,3.0,3.0,22.0,,7.0,3.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,2.0,,,,1.0,3.0,,,,2.0,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918951,2017-09-23 15:00:00,"Liberty Stadium, Swansea",20372,Away,Watford,Swansea City,2,1,W,1,0,0,0,,,2.0,60.0,,,1.0,,,28.0,43.0,4.0,,4.0,2.0,160.0,,2.0,12.0,2.0,3.0,4.0,4.0,102.0,151.0,65.0,8.0,23.0,,1.0,12.0,7.0,1.0,1.0,43.0,4.0,13.0,28.0,158.0,0.0,96.0,16.0,,1.0,1.0,1.0,67.0,66.0,3.0,64.0,1.0,1.0,8.0,13.0,4.0,3.0,1.0,151.0,1.0,8.0,107.0,643.0,,3.0,4.0,21.0,12.0,333.0,22.0,8.0,28.0,1.0,,3.0,3.0,1.0,22.0,415.0,51.0,,,85624,3.0,184.0,4.0,,,211.0,10.0,2.0,13.0,8.0,68.0,,,3.0,4.0,2.0,15.0,2.0,4.0,64.0,340.0,8.0,8.0,31.0,78.0,0.0,2.0,6.0,2.0,1.0,1.0,2.0,0.0,2.0,,,49.2,18.0,,4.0,,,6.0,2.0,48.0,4.0,,433.0,,12.0,11.0,13.0,2.0,20.0,,1.0,234.0,8.0,12.0,29.0,63.0,24.0,1.0,28.0,17.0,,1.0,8.0,3.0,22.0,,6.0,4.0,,,2.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918961,2017-09-30 15:00:00,"The Hawthorns, West Bromwich",24606,Away,Watford,West Bromwich Albion,2,2,D,1,2,0,0,,,1.0,70.0,1.0,1.0,1.0,1.0,1.0,39.0,22.0,6.0,2.0,9.0,2.0,173.0,,3.0,9.0,2.0,4.0,12.0,3.0,143.0,157.0,68.0,15.0,31.0,,,27.0,13.0,,,22.0,5.0,9.0,49.0,253.0,0.0,170.0,11.0,1.0,,2.0,4.0,86.0,69.0,6.0,76.0,1.0,4.0,22.0,13.0,6.0,9.0,1.0,157.0,2.0,7.0,160.0,757.0,,9.0,9.0,23.0,5.0,450.0,23.0,4.0,14.0,2.0,,0.0,2.0,6.0,22.0,534.0,73.0,,,85624,6.0,214.0,9.0,2.0,,234.0,6.0,,13.0,6.0,77.0,,,1.0,7.0,1.0,11.0,2.0,5.0,66.0,464.0,12.0,10.0,14.0,74.0,0.0,1.0,7.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,6.0,65.1,15.0,4.0,6.0,2.0,,7.0,6.0,49.0,6.0,,552.0,,5.0,16.0,28.0,6.0,48.0,,5.0,345.0,7.0,9.0,27.0,123.0,34.0,,14.0,21.0,1.0,2.0,13.0,2.0,18.0,,4.0,6.0,1.0,1.0,,,2.0,5.0,1.0,,,,,,,,,,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918972,2017-10-14 17:30:00,"Vicarage Road, Watford",20384,Home,Watford,Arsenal,2,1,W,0,1,0,0,,,2.0,67.0,,2.0,2.0,,,26.0,24.0,4.0,1.0,7.0,5.0,166.0,,5.0,6.0,2.0,1.0,8.0,2.0,121.0,153.0,52.0,11.0,30.0,1.0,2.0,19.0,12.0,,,24.0,2.0,10.0,45.0,188.0,0.0,141.0,8.0,3.0,4.0,1.0,,77.0,64.0,2.0,58.0,1.0,3.0,17.0,14.0,4.0,7.0,3.0,153.0,,5.0,120.0,653.0,,8.0,13.0,22.0,16.0,354.0,23.0,5.0,13.0,,1.0,1.0,,6.0,19.0,446.0,63.0,,,85624,4.0,182.0,10.0,,,197.0,4.0,2.0,14.0,5.0,57.0,1.0,,1.0,5.0,1.0,12.0,4.0,1.0,65.0,365.0,9.0,2.0,28.0,87.0,0.0,4.0,5.0,3.0,2.0,1.0,5.0,0.0,5.0,,2.0,46.1,15.0,2.0,4.0,2.0,,5.0,3.0,45.0,2.0,,465.0,,16.0,13.0,21.0,6.0,36.0,,3.0,287.0,8.0,9.0,22.0,87.0,28.0,,13.0,15.0,,1.0,10.0,3.0,11.0,,5.0,2.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,918973,2017-10-21 12:30:00,"Stamford Bridge, London",41467,Away,Watford,Chelsea,2,4,L,1,1,0,0,1.0,,1.0,60.0,1.0,2.0,1.0,,,28.0,13.0,7.0,3.0,9.0,4.0,159.0,,6.0,5.0,2.0,6.0,11.0,5.0,96.0,154.0,51.0,16.0,24.0,1.0,2.0,22.0,12.0,,2.0,13.0,6.0,4.0,26.0,190.0,0.0,119.0,16.0,,3.0,1.0,3.0,49.0,72.0,7.0,61.0,4.0,1.0,16.0,17.0,7.0,5.0,1.0,154.0,3.0,6.0,90.0,608.0,,9.0,16.0,28.0,17.0,302.0,23.0,11.0,5.0,1.0,1.0,3.0,1.0,4.0,22.0,375.0,48.0,,,85624,4.0,140.0,8.0,2.0,,163.0,9.0,2.0,17.0,10.0,72.0,,,3.0,5.0,1.0,17.0,8.0,4.0,51.0,324.0,13.0,13.0,22.0,75.0,0.0,,6.0,2.0,2.0,4.0,6.0,0.0,3.0,1.0,3.0,47.5,13.0,2.0,2.0,1.0,,10.0,5.0,49.0,6.0,,406.0,,17.0,10.0,12.0,6.0,35.0,3.0,5.0,265.0,10.0,4.0,16.0,88.0,23.0,1.0,5.0,17.0,,3.0,9.0,3.0,17.0,3.0,5.0,6.0,1.0,,2.0,,1.0,4.0,1.0,1.0,2.0,,2.0,,,,,1.0,2.0,1.0,,,,1.0,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,918991,2017-10-28 15:00:00,"Vicarage Road, Watford",20087,Home,Watford,Stoke City,0,1,L,0,1,0,0,,,,62.0,,1.0,4.0,,,34.0,14.0,4.0,3.0,11.0,1.0,195.0,,7.0,11.0,,2.0,12.0,,146.0,174.0,52.0,15.0,32.0,,4.0,30.0,9.0,,,14.0,7.0,16.0,50.0,276.0,0.0,191.0,10.0,,1.0,,2.0,58.0,100.0,6.0,78.0,,2.0,23.0,25.0,4.0,8.0,,174.0,2.0,2.0,142.0,756.0,,11.0,9.0,34.0,5.0,440.0,29.0,5.0,10.0,,,4.0,1.0,6.0,29.0,542.0,74.0,,,85624,7.0,187.0,13.0,1.0,,205.0,5.0,,25.0,7.0,61.0,,,4.0,2.0,,19.0,4.0,5.0,66.0,456.0,9.0,3.0,18.0,70.0,0.0,,1.0,,,1.0,2.0,0.0,6.0,,5.0,70.2,24.0,5.0,3.0,1.0,,2.0,8.0,48.0,8.0,,561.0,,5.0,13.0,24.0,7.0,57.0,1.0,7.0,386.0,7.0,14.0,22.0,129.0,27.0,,10.0,11.0,,,10.0,2.0,16.0,,7.0,8.0,,,,,,4.0,,,,,,,,,,,2.0,2.0,,,1.0,1.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
