matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
2128286,1,2021-01-12 20:15:00,"Turf Moor, Burnley",,Home,Burnley,Man Utd,0,1,L,0,0,0,0,,11.0,,6.0,5.0,,,1.0,,2.0,,,,5.0,2.0,29.0,56.0,334.0,220.0,37.3,16.0,5.0,3.0,11.0,18.0,18.0,16.0,4.0,,,6.0,6.0,160.0,6.0,1.0,,,,32.0,54.0,12.0,22.0,3.0,3.0,,15.0,13.0,0.0,0.0,,,3.0
2128301,2,2020-09-20 19:00:00,"King Power Stadium, Leicester",,Away,Burnley,Leicester,2,4,L,1,1,0,0,2.0,16.0,5.0,8.0,3.0,,,2.0,,2.0,1.0,,1.0,11.0,5.0,27.0,58.0,292.0,199.0,32.2,25.0,12.0,6.0,12.0,28.0,28.0,11.0,6.0,,,4.0,8.0,129.0,3.0,4.0,,,1.0,59.0,47.0,30.0,18.0,4.0,4.0,2.0,13.0,11.0,0.0,0.0,,,1.0
2128307,3,2020-09-26 20:00:00,"Turf Moor, Burnley",,Home,Burnley,Southampton,0,1,L,0,1,0,0,,10.0,2.0,4.0,4.0,,,,,,,,,4.0,3.0,43.0,59.0,522.0,374.0,53.4,24.0,15.0,6.0,15.0,11.0,11.0,23.0,2.0,,,4.0,11.0,205.0,,1.0,,,,58.0,52.0,30.0,30.0,8.0,8.0,1.0,8.0,10.0,0.0,0.0,,,2.0
2128323,4,2020-10-03 20:00:00,"St. James' Park, Newcastle",,Away,Burnley,Newcastle,1,3,L,0,1,0,0,1.0,7.0,3.0,2.0,2.0,,,,,,,,,6.0,4.0,37.0,66.0,455.0,338.0,52.3,30.0,13.0,5.0,10.0,9.0,9.0,13.0,1.0,,,9.0,2.0,168.0,2.0,3.0,,,,60.0,51.0,33.0,23.0,4.0,4.0,2.0,17.0,13.0,0.0,0.0,,,5.0
2128335,5,2020-10-19 17:30:00,"The Hawthorns, West Bromwich",,Away,Burnley,West Brom,0,0,D,0,0,0,0,,9.0,4.0,4.0,1.0,,,1.0,,2.0,2.0,,,6.0,3.0,39.0,73.0,352.0,240.0,43.2,16.0,13.0,11.0,6.0,15.0,15.0,16.0,2.0,,,2.0,11.0,164.0,6.0,,,1.0,,62.0,60.0,25.0,29.0,2.0,2.0,2.0,17.0,15.0,0.0,0.0,,,
2128339,6,2020-10-26 20:00:00,"Turf Moor, Burnley",,Home,Burnley,Spurs,0,1,L,0,0,0,0,,13.0,4.0,5.0,4.0,,,1.0,,1.0,,,,9.0,7.0,26.0,75.0,364.0,270.0,38.3,10.0,15.0,10.0,14.0,16.0,16.0,12.0,4.0,,,7.0,7.0,136.0,2.0,1.0,,,,55.0,52.0,26.0,27.0,4.0,4.0,,9.0,7.0,0.0,0.0,,,4.0
2128347,7,2020-10-31 15:00:00,"Turf Moor, Burnley",,Home,Burnley,Chelsea,0,3,L,0,1,0,0,,5.0,,4.0,1.0,,,1.0,,1.0,,,,4.0,1.0,19.0,48.0,392.0,294.0,36.3,7.0,13.0,10.0,8.0,16.0,16.0,15.0,4.0,,1.0,8.0,10.0,138.0,6.0,3.0,,,,41.0,45.0,9.0,14.0,3.0,3.0,1.0,10.0,13.0,0.0,0.0,,,1.0
2128357,8,2020-11-06 17:30:00,"American Express Stadium, Falmer",,Away,Burnley,Brighton,0,0,D,0,0,0,0,,4.0,1.0,3.0,,,,,,,1.0,,,3.0,1.0,23.0,41.0,376.0,285.0,41.1,10.0,14.0,10.0,15.0,31.0,31.0,11.0,9.0,,,12.0,6.0,129.0,3.0,,,1.0,,55.0,39.0,25.0,13.0,3.0,3.0,1.0,5.0,10.0,0.0,0.0,,,1.0
2128367,9,2020-11-23 17:30:00,"Turf Moor, Burnley",,Home,Burnley,Crystal Palace,1,0,W,1,0,0,0,1.0,10.0,4.0,3.0,3.0,,,2.0,1.0,3.0,1.0,,,8.0,5.0,19.0,54.0,409.0,297.0,46.1,15.0,14.0,7.0,10.0,17.0,17.0,9.0,4.0,1.0,,13.0,8.0,154.0,5.0,,,1.0,,44.0,62.0,18.0,24.0,4.0,4.0,2.0,13.0,8.0,0.0,0.0,,,2.0
2128382,10,2020-11-28 15:00:00,"Etihad Stadium, Manchester",,Away,Burnley,Man City,0,5,L,0,3,0,0,,9.0,1.0,6.0,2.0,,,,,,,,,7.0,2.0,26.0,46.0,315.0,230.0,31.4,13.0,14.0,9.0,12.0,10.0,10.0,16.0,3.0,,1.0,8.0,2.0,125.0,1.0,5.0,,,,47.0,38.0,14.0,19.0,4.0,4.0,1.0,4.0,12.0,0.0,0.0,,,2.0
2128388,11,2020-12-05 12:30:00,"Turf Moor, Burnley",,Home,Burnley,Everton,1,1,D,1,1,0,0,1.0,8.0,3.0,2.0,3.0,,,1.0,,1.0,,,1.0,7.0,5.0,34.0,56.0,396.0,311.0,41.4,17.0,15.0,8.0,15.0,20.0,20.0,16.0,4.0,,,13.0,11.0,144.0,5.0,1.0,,,,59.0,59.0,18.0,22.0,8.0,8.0,1.0,6.0,9.0,0.0,0.0,,,
2128396,12,2020-12-13 19:15:00,"Emirates Stadium, London",2000.0,Away,Burnley,Arsenal,1,0,W,0,0,0,1,1.0,10.0,2.0,5.0,3.0,,,1.0,,1.0,,,,8.0,4.0,27.0,51.0,307.0,220.0,35.3,16.0,12.0,7.0,17.0,40.0,40.0,11.0,6.0,,,4.0,7.0,128.0,6.0,,,1.0,,46.0,36.0,25.0,10.0,4.0,4.0,3.0,11.0,5.0,0.0,0.0,,,3.0
2128407,13,2020-12-17 18:00:00,"Villa Park, Birmingham",,Away,Burnley,Aston Villa,0,0,D,0,0,0,0,,6.0,4.0,2.0,,,,,,,,,,5.0,3.0,21.0,62.0,273.0,166.0,40.9,9.0,19.0,10.0,16.0,25.0,25.0,13.0,9.0,,,16.0,4.0,150.0,6.0,,,1.0,,62.0,68.0,25.0,28.0,1.0,1.0,1.0,19.0,16.0,0.0,0.0,,,2.0
2128417,14,2020-12-21 17:30:00,"Turf Moor, Burnley",,Home,Burnley,Wolves,2,1,W,1,0,0,0,2.0,10.0,4.0,5.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,6.0,4.0,28.0,60.0,260.0,172.0,36.4,20.0,14.0,8.0,10.0,21.0,21.0,4.0,7.0,,,14.0,8.0,125.0,2.0,1.0,,,,52.0,48.0,18.0,12.0,1.0,1.0,2.0,11.0,15.0,0.0,0.0,,,1.0
2128429,15,2020-12-27 12:00:00,"Elland Road, Leeds",,Away,Burnley,Leeds,0,1,L,0,1,0,0,,14.0,6.0,4.0,4.0,,,2.0,,2.0,,,,12.0,8.0,56.0,68.0,378.0,271.0,48.6,39.0,11.0,4.0,6.0,15.0,15.0,25.0,1.0,,,8.0,13.0,175.0,3.0,1.0,,,,46.0,57.0,18.0,22.0,12.0,12.0,1.0,14.0,8.0,0.0,0.0,,,2.0
