gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,goalAssistSetplay,goalAssistDeadball,saves,goals,attGoalHighRight,divingSave,midfielderGoals,interceptionsInBox,bigChanceCreated,goalAssist,accurateThroughBall,bigChanceMissed,totalThroughBall,attMissHigh,savedIbox,attIboxGoal,goalAssistIntentional,shieldBallOop,attBxLeft,attHdGoal,goalsConcededObox,handBall,attGoalLowLeft,goalAssistOpenplay,sixYardBlock,penaltyConceded,goalsOpenplay,attSvLowRight,penaltyFaced,penGoalsConceded,forwardGoals,bigChanceScored,attemptsIbox,postScoringAtt,attIboxPost,penaltyWon,goodHighClaim,attemptsObox,contentiousDecision,subsGoals,attHdPost,touchesInOppBox,hitWoodwork,attRfGoal,attCmissHigh,attPenGoal,attCorner,attPostHigh,totalHighClaim,attFreekickMiss,punches,foulThrowIn,attGoalLowRight,attLfGoal,attOneOnOne,attSvLowLeft,attFreekickPost,attOboxPost,accurateKeeperSweeper,attHdTarget,totalKeeperSweeper,ownGoals,attIboxOwnGoal,attOboxGoal,cleanSheet,defenderGoals,errorLeadToShot,attObxdLeft,attSvHighCentre,attGoalLowCentre,attPostRight,accuratePullBack,totalPullBack,attCmissHighLeft,attGoalHighLeft,errorLeadToGoal,clearanceOffLine,goalFastbreak,attFreekickGoal,attObxRight,attGoalHighCentre,attPostLeft,attObxdRight,attSvHighLeft,attCmissHighRight,secondYellow,attFreekickTarget
1,694907,2013-08-17 15:00:00,"Stadium of Light, Sunderland",43905,Home,Sunderland,Fulham,0,1,L,0,0,0,0,2.0,54.0,2.0,30.0,13.0,15.0,7.0,1.0,147.0,4.0,7.0,4.0,13.0,1.0,3.0,142.0,130.0,56.0,2.0,21.0,5.0,18.0,1.0,1.0,1.0,2.0,5.0,28.0,17.0,2.0,12.0,6.0,16.0,50.0,196.0,2.0,1.0,0.0,151.0,15.0,1.0,2.0,75.0,73.0,5.0,55.0,3.0,23.0,11.0,2.0,2.0,8.0,129.0,1.0,116.0,644.0,12.0,5.0,5.0,372.0,23.0,1.0,4.0,8.0,0.0,4.0,8.0,28.0,447.0,88.0,1.0,98769,5.0,192.0,19.0,1.0,202.0,7.0,11.0,2.0,52.0,3.0,1.0,8.0,4.0,2.0,55.0,384.0,13.0,8.0,1.0,18.0,81.0,1.0,4.0,0.0,2.0,1.0,1.0,4.0,0.0,4.0,2.0,57.8,25.0,2.0,2.0,1.0,7.0,51.0,6.0,460.0,5.0,7.0,28.0,11.0,15.0,1.0,3.0,286.0,12.0,14.0,13.0,103.0,28.0,3.0,8.0,24.0,1.0,16.0,2.0,13.0,3.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694918,2013-08-24 15:00:00,"St. Mary's Stadium, Southampton",29596,Away,Sunderland,Southampton,1,1,D,1,0,0,0,1.0,50.0,,17.0,34.0,4.0,2.0,1.0,114.0,3.0,2.0,1.0,6.0,,3.0,47.0,149.0,49.0,1.0,8.0,1.0,32.0,2.0,,1.0,2.0,1.0,14.0,17.0,,33.0,2.0,7.0,22.0,109.0,,,0.0,94.0,13.0,1.0,1.0,66.0,54.0,3.0,41.0,,12.0,13.0,1.0,5.0,3.0,148.0,10.0,58.0,454.0,5.0,16.0,15.0,159.0,31.0,1.0,6.0,19.0,2.0,3.0,3.0,30.0,244.0,66.0,,98769,2.0,61.0,6.0,,85.0,1.0,12.0,18.0,62.0,1.0,,8.0,7.0,6.0,42.0,167.0,11.0,8.0,,29.0,81.0,,,0.0,1.0,5.0,1.0,5.0,0.0,2.0,1.0,33.4,20.0,,2.0,,1.0,37.0,2.0,260.0,15.0,6.0,11.0,4.0,11.0,1.0,1.0,189.0,5.0,4.0,15.0,49.0,11.0,3.0,19.0,21.0,1.0,6.0,3.0,8.0,3.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694923,2013-08-31 17:30:00,"Selhurst Park, London",22671,Away,Sunderland,Crystal Palace,1,3,L,0,1,1,0,1.0,53.0,4.0,27.0,33.0,3.0,4.0,,161.0,5.0,10.0,4.0,7.0,,2.0,97.0,161.0,62.0,1.0,10.0,2.0,32.0,,,2.0,,,26.0,18.0,1.0,33.0,6.0,9.0,42.0,164.0,1.0,,0.0,146.0,7.0,,3.0,82.0,57.0,5.0,58.0,1.0,20.0,12.0,1.0,7.0,,161.0,6.0,91.0,628.0,5.0,10.0,7.0,309.0,18.0,,5.0,16.0,0.0,3.0,2.0,27.0,397.0,82.0,,98769,2.0,156.0,10.0,,163.0,4.0,12.0,11.0,80.0,1.0,2.0,11.0,12.0,5.0,60.0,315.0,6.0,14.0,1.0,24.0,106.0,,,0.0,,6.0,3.0,4.0,1.0,3.0,2.0,50.0,25.0,1.0,2.0,2.0,6.0,56.0,6.0,407.0,7.0,18.0,16.0,2.0,23.0,2.0,2.0,270.0,4.0,8.0,22.0,82.0,23.0,2.0,16.0,24.0,2.0,8.0,2.0,20.0,2.0,8.0,6.0,2.0,,,4.0,1.0,,3.0,,,,1.0,,,,,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694938,2013-09-14 15:00:00,"Stadium of Light, Sunderland",39055,Home,Sunderland,Arsenal,1,3,L,0,1,0,0,1.0,48.0,2.0,16.0,22.0,9.0,3.0,1.0,119.0,7.0,2.0,5.0,13.0,,3.0,71.0,122.0,54.0,3.0,18.0,4.0,19.0,1.0,,1.0,1.0,4.0,23.0,16.0,1.0,22.0,6.0,7.0,27.0,132.0,2.0,,0.0,104.0,13.0,,,41.0,40.0,6.0,36.0,,17.0,18.0,3.0,11.0,4.0,122.0,12.0,53.0,473.0,11.0,16.0,11.0,196.0,19.0,,6.0,8.0,1.0,4.0,7.0,19.0,262.0,60.0,,88601,4.0,82.0,6.0,,94.0,8.0,13.0,6.0,52.0,4.0,5.0,9.0,2.0,3.0,33.0,207.0,10.0,6.0,2.0,14.0,71.0,,,0.0,,6.0,3.0,4.0,0.0,5.0,4.0,30.6,14.0,3.0,,5.0,6.0,39.0,6.0,279.0,11.0,9.0,13.0,9.0,26.0,2.0,4.0,208.0,11.0,5.0,17.0,61.0,20.0,3.0,8.0,25.0,3.0,11.0,3.0,9.0,3.0,13.0,6.0,1.0,,,3.0,1.0,,3.0,,7.0,,,1.0,,1.0,2.0,2.0,1.0,,,3.0,,,1.0,1.0,,,,,1.0,,,,1.0,9.0,1.0,1.0,1.0,3.0,9.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694948,2013-09-21 15:00:00,"The Hawthorns, West Bromwich",24595,Away,Sunderland,West Bromwich Albion,0,3,L,0,1,0,0,,59.0,2.0,29.0,23.0,4.0,4.0,,136.0,5.0,3.0,2.0,5.0,,,99.0,137.0,49.0,1.0,7.0,3.0,11.0,,,,,,28.0,20.0,,23.0,6.0,18.0,35.0,145.0,1.0,,0.0,93.0,12.0,,2.0,66.0,55.0,3.0,58.0,,22.0,13.0,1.0,8.0,1.0,137.0,10.0,107.0,572.0,5.0,6.0,9.0,309.0,37.0,,1.0,16.0,2.0,3.0,2.0,18.0,386.0,63.0,,98769,3.0,179.0,12.0,,196.0,,13.0,6.0,41.0,,3.0,6.0,3.0,2.0,58.0,319.0,9.0,8.0,,24.0,89.0,,,0.0,2.0,5.0,3.0,1.0,0.0,5.0,,45.9,13.0,,4.0,3.0,5.0,44.0,6.0,400.0,9.0,12.0,15.0,2.0,22.0,,1.0,232.0,3.0,17.0,15.0,51.0,11.0,3.0,16.0,23.0,3.0,5.0,3.0,5.0,3.0,10.0,6.0,,,,1.0,,,,,2.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694958,2013-09-29 16:00:00,"Stadium of Light, Sunderland",41415,Home,Sunderland,Liverpool,1,3,L,0,2,0,0,1.0,55.0,2.0,24.0,26.0,15.0,11.0,3.0,126.0,5.0,5.0,3.0,14.0,,5.0,99.0,144.0,52.0,1.0,23.0,5.0,15.0,1.0,1.0,3.0,2.0,3.0,38.0,17.0,3.0,26.0,10.0,13.0,30.0,206.0,1.0,1.0,0.0,151.0,9.0,1.0,1.0,74.0,49.0,9.0,55.0,4.0,28.0,12.0,1.0,9.0,6.0,144.0,7.0,68.0,571.0,11.0,13.0,6.0,266.0,21.0,1.0,4.0,16.0,2.0,4.0,5.0,23.0,332.0,67.0,,98769,4.0,77.0,18.0,2.0,86.0,3.0,12.0,8.0,49.0,4.0,7.0,6.0,8.0,6.0,46.0,278.0,10.0,8.0,3.0,21.0,73.0,1.0,,0.0,3.0,8.0,3.0,2.0,0.0,2.0,1.0,46.3,18.0,1.0,3.0,7.0,7.0,41.0,10.0,348.0,6.0,12.0,16.0,11.0,15.0,3.0,4.0,300.0,11.0,12.0,14.0,113.0,21.0,3.0,16.0,23.0,3.0,17.0,2.0,12.0,3.0,6.0,10.0,2.0,,,4.0,1.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694968,2013-10-05 17:30:00,"Stadium of Light, Sunderland",45426,Home,Sunderland,Manchester United,1,2,L,1,0,0,0,,56.0,2.0,30.0,27.0,1.0,3.0,,147.0,1.0,11.0,3.0,3.0,,2.0,81.0,166.0,57.0,1.0,6.0,1.0,19.0,1.0,,1.0,,,18.0,16.0,,27.0,3.0,6.0,38.0,154.0,,,0.0,133.0,15.0,,1.0,69.0,42.0,2.0,41.0,,15.0,21.0,1.0,5.0,,166.0,8.0,69.0,545.0,3.0,10.0,12.0,219.0,23.0,,12.0,11.0,2.0,2.0,1.0,18.0,313.0,72.0,,98769,3.0,77.0,9.0,,102.0,2.0,21.0,9.0,65.0,1.0,1.0,10.0,5.0,2.0,75.0,230.0,11.0,16.0,,46.0,88.0,,,0.0,,4.0,2.0,4.0,0.0,1.0,1.0,37.5,15.0,,4.0,1.0,3.0,34.0,4.0,338.0,12.0,17.0,15.0,1.0,23.0,,1.0,254.0,2.0,6.0,13.0,82.0,12.0,5.0,11.0,22.0,2.0,5.0,3.0,14.0,5.0,14.0,4.0,2.0,,,4.0,1.0,,2.0,1.0,2.0,1.0,,,1.0,,1.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,5.0,,,,,,,1.0,,,,,5.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,694978,2013-10-19 15:00:00,"Swansea.com Stadium, Swansea",20245,Away,Sunderland,Swansea City,0,4,L,0,0,0,0,,42.0,,13.0,16.0,1.0,2.0,1.0,124.0,3.0,7.0,3.0,5.0,,1.0,79.0,117.0,48.0,,6.0,,9.0,,,,1.0,1.0,12.0,14.0,1.0,16.0,2.0,10.0,24.0,108.0,,,0.0,66.0,13.0,,4.0,49.0,36.0,1.0,59.0,1.0,10.0,9.0,,2.0,,117.0,11.0,85.0,511.0,3.0,10.0,18.0,259.0,15.0,,3.0,9.0,2.0,2.0,4.0,14.0,330.0,48.0,1.0,77454,3.0,165.0,4.0,1.0,172.0,4.0,9.0,13.0,35.0,5.0,3.0,4.0,5.0,6.0,41.0,270.0,12.0,4.0,2.0,27.0,88.0,,1.0,0.0,2.0,7.0,4.0,,0.0,2.0,1.0,36.1,11.0,1.0,1.0,3.0,,38.0,2.0,347.0,18.0,5.0,13.0,5.0,11.0,1.0,5.0,187.0,3.0,10.0,9.0,27.0,19.0,5.0,9.0,20.0,3.0,3.0,3.0,12.0,5.0,4.0,2.0,2.0,,,4.0,,,4.0,,,1.0,,2.0,2.0,4.0,3.0,2.0,,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
9,694988,2013-10-27 13:30:00,"Stadium of Light, Sunderland",46313,Home,Sunderland,Newcastle United,2,1,W,1,0,0,0,1.0,33.0,,16.0,42.0,5.0,2.0,1.0,142.0,3.0,5.0,2.0,5.0,,4.0,64.0,155.0,59.0,1.0,8.0,1.0,30.0,1.0,,,,1.0,19.0,14.0,1.0,42.0,1.0,4.0,33.0,105.0,,,0.0,93.0,13.0,,1.0,45.0,55.0,3.0,55.0,1.0,18.0,18.0,1.0,8.0,2.0,155.0,2.0,80.0,542.0,3.0,16.0,13.0,221.0,10.0,,5.0,25.0,1.0,3.0,2.0,18.0,318.0,54.0,,77454,1.0,134.0,9.0,,149.0,3.0,18.0,14.0,57.0,4.0,2.0,9.0,14.0,6.0,52.0,236.0,14.0,8.0,,28.0,90.0,,,0.0,3.0,3.0,1.0,4.0,0.0,2.0,2.0,48.3,16.0,1.0,1.0,2.0,1.0,31.0,5.0,341.0,13.0,5.0,12.0,3.0,16.0,1.0,1.0,211.0,4.0,3.0,24.0,46.0,13.0,1.0,25.0,16.0,1.0,5.0,3.0,8.0,1.0,4.0,5.0,3.0,1.0,,4.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,694994,2013-11-02 15:00:00,"The MKM Stadium, Hull",24677,Away,Sunderland,Hull City,0,1,L,0,1,2,0,1.0,40.0,1.0,27.0,42.0,6.0,3.0,,132.0,2.0,,2.0,6.0,1.0,1.0,47.0,123.0,54.0,1.0,9.0,1.0,16.0,1.0,,,1.0,2.0,5.0,12.0,,42.0,1.0,11.0,16.0,74.0,1.0,,0.0,83.0,11.0,,1.0,20.0,29.0,3.0,39.0,1.0,4.0,11.0,1.0,2.0,5.0,123.0,8.0,45.0,435.0,5.0,13.0,7.0,149.0,19.0,2.0,12.0,33.0,0.0,11.0,3.0,18.0,218.0,62.0,,77454,2.0,99.0,1.0,2.0,116.0,1.0,11.0,18.0,42.0,,3.0,11.0,18.0,7.0,71.0,171.0,17.0,5.0,1.0,40.0,77.0,,,0.0,1.0,4.0,1.0,2.0,2.0,2.0,,30.0,13.0,,,3.0,2.0,28.0,2.0,263.0,7.0,10.0,8.0,6.0,18.0,,1.0,152.0,5.0,9.0,21.0,32.0,11.0,2.0,33.0,18.0,1.0,5.0,3.0,1.0,2.0,7.0,2.0,2.0,,,2.0,,,2.0,,2.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,3.0,,,,4.0,6.0,1.0,,,6.0,,,,,1.0,,4.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
