gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,goalAssistSetplay,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attOneOnOne,divingSave,goodHighClaim,attHdTarget,goalAssist,errorLeadToShot,totalPullBack,attMissHigh,goalAssistIntentional,shieldBallOop,attSvHighCentre,clearanceOffLine,totalHighClaim,forwardGoals,accurateKeeperSweeper,totalKeeperSweeper,penaltySave,bigChanceScored,savedObox,penaltyWon,ptsGainedLosingPos,penaltyConceded,attCmissHigh,attCmissHighRight,penaltyFaced,accuratePullBack,sixYardBlock,attIboxPost,attOboxTarget,attSvHighLeft,attHdPost,attPostHigh,errorLeadToGoal,goalAssistDeadball,contentiousDecision,attFreekickTotal,freekickTotal,expectedGoalsFreekick,attFreekickMiss,attCmissHighLeft,ptsDroppedWinningPos,attSvHighRight,attObxdLeft,attIboxOwnGoal,attPostRight,attPenTarget,attFreekickTarget,penGoalsConceded,foulThrowIn,attObxdRight,attLgRight,attLgCentre
1,2561899,2025-08-16 15:00:00,"Stadium of Light, Sunderland",46233.0,Home,Sunderland,West Ham United,3,0,W,0.0,0.0,0,0,0.0,,,38.0,2.0,1.0,1.0,1.6411,18.0,32.0,1.0,1.0,9.0,4.0,0.0,1.0,143.0,0.0,5.0,1.0,3.0,1.0,7.0,,5.0,48.0,113.0,42.0,10.0,,19.0,2.0,1.0,1.0,,1.0,17.0,5.0,0.0,32.0,5.0,9.0,17.0,0.3685,131.0,,1.0,0.0,0.0,94.0,8.0,0.0,2.0,0.0,1.0,1.0,63.0,55.0,4.0,65.0,,1.0,12.0,18.0,1.0,0.0,0.0,5.0,1.0,113.0,1.0,7.0,1.0,,67.0,497.0,2.0,2.0,15.0,,9.0,240.0,20.0,,5.0,15.0,0.0,6.0,3.0,0.315043,17.0,307.0,48.0,,,34.4,Unknown opta,4.0,124.0,2.0,6.0,,143.0,6.0,105329.91,1.0,6.0,6.0,46.0,0.0,,1.0,,2.0,2.0,8.0,5.0,3.0,0.0,55.0,250.0,10.0,7.0,3.0,31.0,5.0,52.0,1.0,0.0,0.0,,,0.0,3.0,0.0,1.0,7.0,4.0,3.0,,0.0,,0.0,2.0,5.0,37.2,11.0,2.0,1.0,1.0,3.0,1.0,22.0,5.0,323.0,9.0,6.0,6.0,4.0,18.0,3.0,3.0,197.0,4.0,8.0,18.0,61.0,10.0,5.0,15.0,14.0,2.0,0.0,5.0,4.0,7.0,0.7534,5.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561908,2025-08-23 15:00:00,"Turf Moor, Burnley",21285.0,Away,Sunderland,Burnley,0,2,L,0.0,0.0,0,0,0.0,,,43.0,0.0,0.0,3.0,0.6952,16.0,27.0,3.0,5.0,6.0,,0.0,1.0,187.0,0.0,5.0,2.0,0.0,,7.0,,1.0,150.0,144.0,48.0,9.0,2.0,15.0,1.0,,2.0,,,24.0,8.0,0.0,27.0,2.0,10.0,27.0,1.5816,303.0,,,0.0,0.0,180.0,5.0,0.0,,0.0,1.0,,111.0,76.0,4.0,98.0,2.0,3.0,23.0,24.0,3.0,0.0,0.0,14.0,1.0,144.0,2.0,4.0,0.0,,181.0,801.0,6.0,5.0,17.0,,7.0,512.0,19.0,,4.0,20.0,1.0,1.0,3.0,0.609293,19.0,593.0,68.0,1.0,,34.52,549912,3.0,232.0,2.0,9.0,1.0,251.0,2.0,111840.71,0.0,9.0,8.0,45.0,0.0,5.0,0.0,2.0,4.0,0.0,11.0,3.0,7.0,0.0,44.0,530.0,9.0,3.0,1.0,18.0,2.0,79.0,,0.0,0.0,,,0.0,,0.0,3.0,4.0,,0.0,,2.0,2.0,0.0,5.0,,58.1,18.0,,1.0,1.0,4.0,5.0,49.0,3.0,616.0,7.0,15.0,9.0,3.0,35.0,1.0,2.0,389.0,4.0,10.0,19.0,138.0,18.0,1.0,20.0,18.0,0.0,2.0,6.0,5.0,9.0,0.7732,1.0,9.0,3.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561922,2025-08-30 15:00:00,"Stadium of Light, Sunderland",46267.0,Home,Sunderland,Brentford,2,1,W,0.0,0.0,0,0,0.0,1.0,,34.0,1.0,1.0,1.0,1.0843,23.0,34.0,3.0,2.0,9.0,3.0,0.0,,154.0,0.0,3.0,4.0,2.0,2.0,5.0,1.0,3.0,97.0,120.0,65.0,12.0,2.0,22.0,1.0,1.0,1.0,,3.0,18.0,14.0,0.0,34.0,3.0,12.0,27.0,1.45,156.0,1.0,,0.0,0.0,114.0,11.0,0.0,1.0,0.0,,1.0,65.0,69.0,2.0,70.0,1.0,2.0,15.0,10.0,3.0,0.0,0.0,8.0,1.0,120.0,1.0,5.0,1.0,,98.0,599.0,4.0,2.0,16.0,,7.0,325.0,12.0,,5.0,17.0,3.0,1.0,3.0,0.414421,22.0,398.0,70.0,,,34.23,549912,7.0,187.0,,6.0,,201.0,4.0,108057.67,1.0,3.0,5.0,49.0,0.0,1.0,0.0,1.0,1.0,1.0,10.0,2.0,3.0,1.0,51.0,340.0,10.0,8.0,,17.0,2.0,68.0,1.0,0.0,0.0,,,0.0,,0.0,1.0,4.0,2.0,2.0,,1.0,,0.0,3.0,2.0,54.1,16.0,,3.0,1.0,1.0,3.0,41.0,3.0,419.0,7.0,6.0,14.0,6.0,32.0,,5.0,236.0,8.0,11.0,24.0,70.0,13.0,1.0,17.0,28.0,1.0,1.0,5.0,3.0,7.0,1.5429,1.0,3.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561929,2025-09-13 15:00:00,"Selhurst Park, London",25154.0,Away,Sunderland,Crystal Palace,0,0,D,0.0,0.0,0,0,0.0,1.0,,46.0,0.0,0.0,2.0,,21.0,34.0,1.0,2.0,5.0,6.0,0.0,,124.0,0.0,4.0,11.0,0.0,2.0,6.0,,,104.0,120.0,53.0,6.0,,14.0,,,1.0,,1.0,17.0,9.0,0.0,34.0,2.0,9.0,28.0,1.3646,122.0,,1.0,0.0,0.0,88.0,8.0,0.0,,0.0,,2.0,54.0,45.0,2.0,58.0,1.0,1.0,15.0,14.0,1.0,0.0,0.0,6.0,1.0,120.0,,8.0,0.0,,100.0,572.0,4.0,3.0,17.0,,10.0,303.0,18.0,2.0,4.0,21.0,1.0,4.0,4.0,0.506746,21.0,369.0,60.0,,,33.09,549912,3.0,192.0,,7.0,1.0,211.0,4.0,108474.36,0.0,4.0,7.0,33.0,0.0,,0.0,2.0,3.0,0.0,11.0,6.0,3.0,0.0,51.0,310.0,9.0,2.0,2.0,19.0,,67.0,,0.0,0.0,,,0.0,1.0,0.0,1.0,5.0,4.0,0.0,,0.0,2.0,0.0,3.0,,44.1,15.0,,1.0,1.0,4.0,2.0,34.0,3.0,386.0,10.0,3.0,13.0,4.0,32.0,1.0,3.0,192.0,4.0,9.0,21.0,49.0,18.0,2.0,21.0,13.0,0.0,0.0,4.0,3.0,18.0,0.3619,2.0,4.0,3.0,,,,,,3.0,2.0,,,,1.0,,,1.0,,,2.0,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561942,2025-09-21 14:00:00,"Stadium of Light, Sunderland",46261.0,Home,Sunderland,Aston Villa,1,1,D,0.0,0.0,1,0,1.0,1.0,1.0,30.0,1.0,0.0,3.0,0.9853,16.0,34.0,4.0,2.0,10.0,1.0,0.0,1.0,88.0,0.0,2.0,5.0,1.0,,10.0,,4.0,50.0,104.0,47.0,14.0,1.0,17.0,1.0,,1.0,1.0,,12.0,13.0,0.0,34.0,6.0,3.0,23.0,0.1524,59.0,2.0,,0.0,0.0,62.0,14.0,0.0,,0.0,,,29.0,29.0,6.0,27.0,1.0,2.0,6.0,15.0,4.0,0.0,0.0,3.0,1.0,104.0,1.0,6.0,0.0,,53.0,386.0,6.0,6.0,16.0,1.0,8.0,140.0,10.0,,5.0,17.0,2.0,6.0,4.0,0.398194,15.0,192.0,41.0,,,33.57,434399,5.0,94.0,1.0,3.0,2.0,106.0,6.0,99990.33,1.0,8.0,13.0,40.0,0.0,,0.0,,2.0,1.0,8.0,6.0,4.0,0.0,49.0,151.0,8.0,,3.0,17.0,2.0,48.0,,0.0,0.0,,,0.0,1.0,0.0,2.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,5.0,28.6,9.0,2.0,6.0,2.0,2.0,4.0,19.0,6.0,218.0,8.0,11.0,7.0,6.0,22.0,1.0,4.0,124.0,7.0,3.0,14.0,27.0,9.0,2.0,17.0,20.0,0.0,0.0,7.0,5.0,5.0,1.036,2.0,8.0,6.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
6,2561953,2025-09-27 17:30:00,"The City Ground, Nottingham",30226.0,Away,Sunderland,Nottingham Forest,1,0,W,1.0,0.0,0,0,0.0,,1.0,49.0,0.0,0.0,2.0,1.3864,33.0,42.0,3.0,5.0,8.0,6.0,0.0,1.0,117.0,0.0,3.0,7.0,1.0,4.0,5.0,,3.0,67.0,109.0,40.0,11.0,1.0,15.0,2.0,1.0,2.0,,3.0,19.0,7.0,0.0,42.0,3.0,5.0,30.0,1.6927,98.0,,1.0,0.0,0.0,71.0,6.0,0.0,1.0,0.0,1.0,2.0,49.0,28.0,5.0,57.0,1.0,1.0,16.0,16.0,3.0,1.0,0.0,6.0,2.0,109.0,2.0,15.0,0.0,,77.0,517.0,4.0,3.0,21.0,,6.0,243.0,24.0,,6.0,25.0,2.0,6.0,,0.708652,13.0,295.0,42.0,1.0,,33.33,549912,4.0,163.0,2.0,8.0,3.0,180.0,5.0,112234.45,0.0,8.0,12.0,46.0,0.0,1.0,1.0,1.0,4.0,0.0,9.0,7.0,6.0,0.0,62.0,258.0,10.0,9.0,,20.0,2.0,46.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,2.0,7.0,4.0,1.0,,0.0,1.0,0.0,2.0,1.0,35.4,8.0,,,,4.0,3.0,19.0,4.0,318.0,6.0,11.0,20.0,5.0,24.0,1.0,3.0,157.0,5.0,4.0,13.0,46.0,15.0,4.0,25.0,10.0,1.0,0.0,6.0,5.0,12.0,1.6563,4.0,8.0,4.0,1.0,,1.0,,1.0,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,,,,4.0,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
7,2561962,2025-10-04 15:00:00,"Old Trafford, Manchester",74004.0,Away,Sunderland,Manchester United,0,2,L,0.0,2.0,0,0,0.0,1.0,1.0,47.0,0.0,0.0,1.0,0.9379,16.0,31.0,3.0,3.0,5.0,4.0,0.0,1.0,153.0,0.0,4.0,11.0,0.0,1.0,6.0,,3.0,96.0,143.0,61.0,8.0,,14.0,2.0,,,,2.0,20.0,9.0,0.0,31.0,3.0,16.0,25.0,2.0742,174.0,1.0,,0.0,0.0,106.0,12.0,0.0,,0.0,,,70.0,73.0,3.0,63.0,1.0,,17.0,17.0,3.0,0.0,0.0,9.0,2.0,143.0,2.0,11.0,0.0,,116.0,636.0,5.0,4.0,14.0,,10.0,325.0,16.0,,3.0,22.0,4.0,2.0,3.0,0.362395,20.0,404.0,48.0,,,33.27,437505,3.0,171.0,2.0,8.0,,191.0,5.0,116635.23,0.0,9.0,7.0,48.0,0.0,1.0,0.0,2.0,5.0,0.0,14.0,4.0,3.0,0.0,52.0,341.0,9.0,7.0,1.0,19.0,2.0,80.0,,0.0,0.0,1.0,1.0,0.0,,0.0,1.0,2.0,2.0,0.0,,2.0,1.0,0.0,3.0,2.0,49.8,14.0,1.0,3.0,1.0,5.0,1.0,46.0,3.0,428.0,10.0,8.0,10.0,4.0,30.0,1.0,2.0,257.0,3.0,15.0,20.0,71.0,18.0,1.0,22.0,21.0,0.0,2.0,5.0,5.0,20.0,0.7097,1.0,9.0,3.0,,,1.0,,,4.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
8,2561972,2025-10-18 15:00:00,"Stadium of Light, Sunderland",46578.0,Home,Sunderland,Wolverhampton Wanderers,2,0,W,1.0,0.0,0,0,0.0,,,39.0,0.0,0.0,1.0,0.2218,15.0,36.0,3.0,1.0,5.0,3.0,0.0,,145.0,1.0,3.0,8.0,2.0,1.0,7.0,,2.0,68.0,141.0,60.0,8.0,2.0,34.0,1.0,,,1.0,1.0,12.0,9.0,0.0,36.0,2.0,4.0,21.0,0.2698,119.0,,1.0,0.0,0.0,101.0,5.0,0.0,,0.0,,2.0,47.0,41.0,4.0,56.0,2.0,1.0,10.0,14.0,3.0,0.0,0.0,6.0,1.0,141.0,2.0,8.0,0.0,1.0,72.0,515.0,5.0,9.0,17.0,1.0,7.0,233.0,23.0,,4.0,22.0,0.0,4.0,3.0,0.429548,17.0,311.0,47.0,,1.0,32.72,554197,2.0,132.0,1.0,2.0,,151.0,3.0,112199.85,1.0,6.0,16.0,60.0,0.0,,1.0,2.0,,1.0,11.0,8.0,7.0,0.0,56.0,248.0,12.0,7.0,1.0,26.0,1.0,59.0,,0.0,0.0,,,0.0,,0.0,1.0,2.0,2.0,1.0,,0.0,3.0,0.0,2.0,2.0,41.2,7.0,,1.0,2.0,,3.0,21.0,2.0,341.0,7.0,6.0,13.0,3.0,30.0,1.0,1.0,202.0,5.0,3.0,27.0,56.0,11.0,2.0,22.0,14.0,0.0,0.0,6.0,4.0,17.0,0.6471,2.0,6.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,2561979,2025-10-25 15:00:00,"Stamford Bridge, London",39489.0,Away,Sunderland,Chelsea,2,1,W,1.0,1.0,0,0,0.0,,1.0,43.0,0.0,1.0,3.0,1.5775,19.0,33.0,3.0,4.0,7.0,6.0,0.0,,135.0,1.0,1.0,4.0,2.0,2.0,6.0,,4.0,44.0,99.0,48.0,10.0,1.0,10.0,1.0,3.0,,,1.0,9.0,8.0,0.0,33.0,1.0,5.0,13.0,0.9874,109.0,,,0.0,0.0,90.0,13.0,0.0,4.0,0.0,1.0,2.0,33.0,44.0,5.0,50.0,1.0,,8.0,10.0,3.0,0.0,0.0,2.0,1.0,99.0,1.0,10.0,1.0,,64.0,461.0,5.0,5.0,17.0,,8.0,216.0,17.0,,7.0,18.0,1.0,4.0,1.0,0.417485,13.0,267.0,55.0,1.0,,34.46,549912,4.0,122.0,1.0,4.0,1.0,134.0,7.0,112497.35,2.0,5.0,8.0,40.0,0.0,1.0,0.0,2.0,4.0,1.0,10.0,6.0,3.0,0.0,49.0,230.0,15.0,9.0,,24.0,,62.0,3.0,0.0,0.0,,1.0,0.0,1.0,0.0,2.0,9.0,4.0,2.0,,1.0,2.0,0.0,1.0,1.0,31.6,8.0,,4.0,2.0,5.0,4.0,34.0,1.0,293.0,8.0,5.0,7.0,2.0,23.0,,1.0,168.0,5.0,4.0,17.0,52.0,11.0,1.0,18.0,14.0,0.0,1.0,6.0,3.0,7.0,1.3077,1.0,5.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,,,1.0,1.0,1.0,,,4.0,1.0,,,,1.0,2.0,,3.0,,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,0.0409,1.0,,,,,,,,,,,,,
10,2561992,2025-11-03 20:00:00,"Stadium of Light, Sunderland",41476.0,Home,Sunderland,Everton,1,1,D,0.0,1.0,0,0,0.0,,,54.0,0.0,0.0,7.0,1.3733,29.0,21.0,5.0,8.0,12.0,1.0,1.0,1.0,168.0,0.0,6.0,7.0,1.0,1.0,13.0,,3.0,147.0,143.0,52.0,17.0,,20.0,2.0,1.0,2.0,,2.0,21.0,10.0,1.0,21.0,4.0,12.0,23.0,0.736,221.0,1.0,,1.0,0.0,156.0,10.0,0.0,1.0,1.0,1.0,1.0,73.0,70.0,8.0,74.0,1.0,1.0,17.0,12.0,5.0,0.0,0.0,5.0,4.0,143.0,1.0,5.0,0.0,,140.0,714.0,10.0,4.0,29.0,,5.0,436.0,21.0,2.0,3.0,13.0,3.0,3.0,5.0,1.07415,17.0,511.0,80.0,,1.0,34.5,434399,5.0,234.0,1.0,11.0,3.0,246.0,4.0,109771.03,0.0,7.0,5.0,50.0,0.0,1.0,0.0,2.0,4.0,1.0,23.0,3.0,2.0,0.0,59.0,449.0,12.0,6.0,2.0,19.0,2.0,60.0,1.0,0.0,0.0,2.0,,0.0,,0.0,1.0,1.0,,0.0,,1.0,1.0,0.0,5.0,4.0,60.7,9.0,2.0,3.0,3.0,4.0,7.0,28.0,4.0,529.0,5.0,3.0,13.0,7.0,39.0,1.0,3.0,304.0,5.0,12.0,19.0,109.0,23.0,,13.0,14.0,0.0,1.0,11.0,2.0,18.0,1.2246,,7.0,4.0,,1.0,,,,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
