playerId,playerName,position,team,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,penaltiesSaved,expectedAssists,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,putthroughBlockedDistribution,successfulCrossesOpenPlay,totalTackles,totalShots,unsuccessfulCrossesOpenPlay,substituteOn,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,interceptions,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,successfulLayoffs,foulWonPenalty,goals,offsides,awayGoals,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,homeGoals,rightFootGoals,headedGoals,iboxBlocked,cornersWon,clearancesOffTheLine,handballsConceded,oboxBlocked,lastPlayerTackle,hitWoodwork,shotsBlockedOutsideBox,overruns,goalAssists,shotsOnTargetOutsideBox,oboxTarget,penaltiesConceded,ownGoalScored,leftFootGoals,successfulCornersIntoBox,unsuccessfulCornersIntoBox,cornersTakenInclShortCorners,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick
74854,Simon Moore,Goalkeeper,Sunderland,England,2025-26,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498016,Robin Roefs,Goalkeeper,Sunderland,Netherlands,2025-26,0.0,0.0,4.0,2.0,1.0,0.1534,45.0,36.0,5.0,35.0,35.0,480.0,1321.0,163.0,2.0,24.0,10.0,3.0,3150.0,35.0,8.0,11.0,638.0,1.0,25.0,2.0,44.2276,5.0,92.0,37.0,46.0,2.0,285.0,109.0,14.0,0.0,37.0,4.0,846.0,334.0,35.0,5.0,158.0,38.0,13.0,24.0,189.0,973.0,490.0,1.0,117.0,31.0,189.0,203.0,1.0,1688.0,291.0,683.0,72.0,475.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515046,Melker Ellborg,Goalkeeper,Sunderland,Sweden,2025-26,0.0,0.0,0.0,,,0.0186,,5.0,1.0,3.0,3.0,52.0,98.0,15.0,,,1.0,,270.0,2.0,,2.0,33.0,,3.0,,2.6062,,4.0,6.0,2.0,,13.0,10.0,1.0,0.0,2.0,1.0,70.0,33.0,3.0,,7.0,2.0,2.0,,17.0,67.0,52.0,1.0,12.0,3.0,15.0,13.0,,131.0,32.0,39.0,5.0,51.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461195,Dennis Cirkin,Defender,Sunderland,Latvia,2025-26,0.0,0.0,2.0,17.0,,0.0274,,,19.0,8.0,3.0,22.0,99.0,,,10.0,1.0,,320.0,18.0,,13.0,76.0,,,,3.3157,,,14.0,2.0,12.0,18.0,,2.0,0.0,35.0,,44.0,8.0,8.0,,38.0,2.0,25.0,5.0,,98.0,39.0,3.0,,,9.0,1.0,28.0,177.0,2.0,40.0,,3.0,7.0,7.0,1.0,8.0,1.0,2.0,5.0,1.0,5.0,4.0,3.0,2.0,3.0,1.0,2.0,6.0,1.0,5.0,1.0,4.0,5.0,17.0,1.0,1.0,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223827,Dan Ballard,Defender,Sunderland,Northern Ireland,2025-26,1.0,1.0,4.0,117.0,,0.6584,,,99.0,29.0,24.0,197.0,1103.0,66.0,,183.0,6.0,,2148.0,168.0,6.0,62.0,848.0,,,2.0,27.7888,15.0,10.0,185.0,34.0,40.0,214.0,,30.0,0.0,285.0,,413.0,69.0,29.0,,270.0,28.0,102.0,106.0,66.0,1025.0,221.0,3.0,,,400.0,58.0,76.0,1493.0,51.0,636.0,,98.0,46.0,9.0,1.0,33.0,21.0,1.0,5.0,1.0,77.0,72.0,,5.0,15.0,2.0,1.0,8.0,12.0,18.0,24.0,29.0,20.0,2.0,3.0,8.0,2.4595,5.0,9.0,2.2511,3.0,1.0,1.0,2.0,3.0,0.0,7.0,7.0,5.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
247955,Lutsharel Geertruida,Defender,Sunderland,Netherlands,2025-26,0.0,0.0,2.0,49.0,,0.8311,,,75.0,28.0,17.0,103.0,743.0,1.0,,26.0,3.0,,1685.0,63.0,4.0,51.0,614.0,,,1.0,23.1134,8.0,3.0,47.0,23.0,35.0,158.0,,7.0,0.0,112.0,,263.0,71.0,28.0,,288.0,19.0,86.0,12.0,1.0,734.0,153.0,7.0,,,198.0,26.0,124.0,1008.0,18.0,354.0,,28.0,40.0,22.0,2.0,37.0,7.0,7.0,11.0,2.0,14.0,14.0,16.0,11.0,16.0,5.0,7.0,8.0,4.0,21.0,10.0,15.0,19.0,41.0,3.0,9.0,1.152,4.0,3.0,0.8059,1.0,7.0,,,1.0,,3.0,3.0,1.0,,,,1.0,2.0,1.0,,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,
201895,Omar Alderete,Defender,Sunderland,Paraguay,2025-26,0.0,0.0,6.0,123.0,,0.9191,,,130.0,33.0,32.0,247.0,1304.0,8.0,,153.0,9.0,,2802.0,146.0,5.0,58.0,979.0,,,2.0,39.9712,8.0,12.0,217.0,40.0,58.0,449.0,,10.0,1.0,269.0,,548.0,103.0,33.0,,358.0,35.0,116.0,88.0,8.0,1278.0,299.0,17.0,,,217.0,78.0,90.0,1782.0,42.0,702.0,,117.0,65.0,23.0,3.0,32.0,17.0,8.0,1.0,3.0,65.0,47.0,,10.0,14.0,4.0,8.0,16.0,8.0,18.0,29.0,34.0,36.0,2.0,5.0,8.0,1.644,7.0,9.0,1.4859,3.0,2.0,,1.0,5.0,1.0,5.0,5.0,6.0,0.0,,1.0,6.0,5.0,,,1.0,,3.0,1.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,
434399,Reinildo Mandava,Defender,Sunderland,Mozambique,2025-26,1.0,1.0,7.0,99.0,,0.6994,,,72.0,25.0,23.0,115.0,814.0,,,62.0,6.0,,1969.0,121.0,6.0,87.0,675.0,,,1.0,26.0952,5.0,5.0,81.0,26.0,71.0,226.0,,35.0,0.0,220.0,,306.0,90.0,25.0,,335.0,20.0,158.0,34.0,,810.0,208.0,15.0,,,70.0,24.0,212.0,1265.0,21.0,368.0,,43.0,42.0,27.0,4.0,39.0,2.0,19.0,2.0,4.0,28.0,15.0,22.0,11.0,16.0,12.0,19.0,25.0,2.0,23.0,14.0,32.0,31.0,88.0,3.0,17.0,0.1781,2.0,,,,8.0,1.0,,1.0,,,,1.0,,,,1.0,3.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,
200834,Nordi Mukiele,Defender,Sunderland,France,2025-26,0.0,0.0,5.0,131.0,,2.4851,,,179.0,32.0,32.0,254.0,1189.0,38.0,,132.0,8.0,,2787.0,183.0,8.0,104.0,889.0,,,1.0,38.9486,20.0,5.0,156.0,40.0,78.0,141.0,,26.0,2.0,314.0,,517.0,131.0,32.0,,443.0,32.0,182.0,79.0,38.0,1133.0,518.0,13.0,,,399.0,46.0,132.0,2020.0,43.0,506.0,,75.0,81.0,64.0,14.0,69.0,16.0,72.0,,14.0,53.0,58.0,114.0,16.0,23.0,14.0,72.0,29.0,12.0,46.0,10.0,35.0,40.0,122.0,3.0,18.0,1.8846,10.0,4.0,1.3319,3.0,3.0,,3.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,7.0,14.0,,,3.0,2.0,,3.0,2.0,4.0,,,,1.0,1.0,,,,,,,,,
487676,Trai Hume,Defender,Sunderland,Northern Ireland,2025-26,0.0,0.0,9.0,153.0,,2.0126,,,200.0,38.0,34.0,258.0,1048.0,,,133.0,8.0,,3037.0,175.0,7.0,110.0,748.0,,,2.0,37.5198,28.0,8.0,99.0,42.0,85.0,173.0,,39.0,0.0,328.0,,425.0,102.0,38.0,,447.0,35.0,195.0,65.0,,1025.0,443.0,5.0,,,284.0,42.0,166.0,1723.0,31.0,356.0,,58.0,68.0,83.0,7.0,67.0,22.0,45.0,4.0,13.0,68.0,47.0,46.0,41.0,20.0,14.0,73.0,23.0,15.0,47.0,12.0,31.0,25.0,97.0,8.0,18.0,2.1546,12.0,7.0,2.2296,3.0,15.0,,2.0,1.0,1.0,4.0,4.0,5.0,1.0,2.0,,5.0,14.0,1.0,,7.0,2.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,,5.0,15.0,22.0,1.0,,,,,
