matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
441999,1,2012-08-18 15:00:00,"Emirates Stadium, London",60078,Away,Sunderland,Arsenal,0,0,D,0,0,0,0,,4.0,2.0,1.0,1.0,1.0,,1.0,,,3.0,2.0,5.0,47.0,308.0,228.0,29.9,2.0,28.0,17.0,22.0,34.0,22.0,9.0,1.0,,23.0,9.0,119.0,3.0,,1.0,,58.0,59.0,14.0,12.0,,,,9.0,12.0,0.0,0.0,,,1.0
442016,2,2012-12-11 19:45:00,"Stadium of Light, Sunderland",37723,Home,Sunderland,Reading,3,0,W,2,0,0,0,3.0,16.0,8.0,5.0,3.0,1.0,1.0,,,2.0,13.0,9.0,8.0,68.0,384.0,281.0,49.3,,21.0,14.0,14.0,60.0,30.0,5.0,1.0,,7.0,13.0,193.0,,,1.0,,72.0,55.0,35.0,21.0,6.0,6.0,,10.0,11.0,0.0,0.0,,,3.0
442024,3,2012-09-01 15:00:00,"Swansea.com Stadium, Swansea",20350,Away,Sunderland,Swansea,2,2,D,2,1,0,1,2.0,4.0,2.0,1.0,1.0,,,,,,2.0,1.0,10.0,52.0,354.0,285.0,36.2,,31.0,25.0,15.0,19.0,15.0,4.0,1.0,,10.0,20.0,113.0,,2.0,,,58.0,50.0,12.0,12.0,,,1.0,7.0,12.0,0.0,0.0,,,
442038,4,2012-09-15 17:30:00,"Stadium of Light, Sunderland",41997,Home,Sunderland,Liverpool,1,1,D,1,0,0,0,1.0,7.0,1.0,3.0,3.0,1.0,1.0,,,1.0,6.0,3.0,11.0,58.0,306.0,233.0,34.1,,25.0,21.0,15.0,20.0,12.0,4.0,2.0,1.0,14.0,24.0,137.0,,1.0,,,52.0,77.0,10.0,18.0,2.0,2.0,,18.0,11.0,0.0,0.0,,,1.0
442047,5,2012-09-22 15:00:00,"Boleyn Ground, London",33052,Away,Sunderland,West Ham,1,1,D,1,0,0,0,1.0,5.0,1.0,2.0,2.0,,,1.0,,1.0,4.0,3.0,5.0,57.0,291.0,212.0,38.7,,28.0,25.0,18.0,48.0,20.0,10.0,,,8.0,21.0,164.0,,1.0,,,67.0,76.0,25.0,34.0,1.0,1.0,,13.0,12.0,0.0,0.0,,,1.0
442058,6,2012-09-29 15:00:00,"Stadium of Light, Sunderland",37742,Home,Sunderland,Wigan,1,0,W,0,0,0,1,1.0,10.0,1.0,7.0,2.0,1.0,1.0,,,1.0,8.0,2.0,13.0,64.0,382.0,321.0,49.8,,16.0,13.0,13.0,22.0,12.0,2.0,1.0,,2.0,19.0,141.0,,,1.0,,51.0,54.0,8.0,9.0,8.0,8.0,,22.0,17.0,0.0,0.0,,,2.0
442061,7,2012-10-06 12:45:00,"Etihad Stadium, Manchester",47036,Away,Sunderland,Man City,0,3,L,0,1,0,0,,8.0,4.0,2.0,2.0,,,,,,6.0,6.0,13.0,56.0,339.0,267.0,39.5,,17.0,13.0,13.0,30.0,11.0,8.0,3.0,,9.0,13.0,149.0,,3.0,,,44.0,57.0,14.0,22.0,4.0,4.0,1.0,11.0,11.0,0.0,0.0,,,3.0
442074,8,2012-10-21 13:30:00,"Stadium of Light, Sunderland",47456,Home,Sunderland,Newcastle,1,1,D,0,1,0,1,1.0,21.0,2.0,10.0,9.0,,,,,,14.0,8.0,25.0,68.0,451.0,379.0,65.5,,26.0,19.0,17.0,23.0,13.0,5.0,,,6.0,7.0,159.0,,1.0,,,59.0,58.0,11.0,14.0,8.0,8.0,2.0,14.0,15.0,0.0,0.0,,,3.0
442087,9,2012-10-27 15:00:00,"bet365 Stadium, Stoke",27005,Away,Sunderland,Stoke,0,0,D,0,0,0,0,,7.0,,4.0,3.0,,,,,,5.0,2.0,17.0,65.0,359.0,269.0,47.8,,22.0,16.0,11.0,38.0,23.0,5.0,,,8.0,8.0,160.0,,,1.0,,57.0,64.0,20.0,35.0,3.0,3.0,2.0,7.0,12.0,0.0,0.0,,,
442094,10,2012-11-03 15:00:00,"Stadium of Light, Sunderland",41515,Home,Sunderland,Aston Villa,0,1,L,0,0,0,0,,12.0,,10.0,2.0,1.0,,1.0,,,10.0,2.0,24.0,74.0,409.0,330.0,55.6,,20.0,16.0,17.0,26.0,15.0,2.0,,,2.0,14.0,159.0,,1.0,,,58.0,53.0,16.0,22.0,6.0,6.0,1.0,9.0,17.0,0.0,0.0,,,5.0
