matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
855297,13,2016-11-26 15:00:00,"Anfield, Liverpool",53114,Away,Sunderland,Liverpool,0,2,L,0,0,0,0,,6.0,1.0,1.0,4.0,,,,,,3.0,2.0,18.0,52.0,205.0,125.0,22.7,10.0,21.0,10.0,17.0,48.0,48.0,13.0,7.0,,,7.0,10.0,140.0,5.0,2.0,,,57.0,47.0,27.0,11.0,4.0,4.0,1.0,9.0,5.0,0.0,0.0,,,1.0
855308,14,2016-12-03 15:00:00,"Stadium of Light, Sunderland",39725,Home,Sunderland,Leicester,2,1,W,0,0,0,0,2.0,22.0,6.0,10.0,6.0,,,,,,15.0,8.0,37.0,63.0,415.0,323.0,53.5,38.0,13.0,11.0,15.0,31.0,31.0,22.0,7.0,,,7.0,4.0,141.0,4.0,1.0,,,53.0,44.0,12.0,16.0,3.0,3.0,1.0,8.0,12.0,0.0,0.0,,,1.0
855320,15,2016-12-10 15:00:00,"Swansea.com Stadium, Swansea",20453,Away,Sunderland,Swansea,0,3,L,0,0,0,0,,11.0,2.0,4.0,5.0,,,,1.0,,7.0,4.0,25.0,48.0,301.0,211.0,38.3,22.0,16.0,12.0,21.0,26.0,26.0,13.0,2.0,,,5.0,13.0,146.0,2.0,3.0,,,43.0,42.0,10.0,10.0,4.0,4.0,1.0,8.0,10.0,0.0,0.0,,,2.0
855325,16,2016-12-14 19:45:00,"Stadium of Light, Sunderland",41008,Home,Sunderland,Chelsea,0,1,L,0,1,0,0,,8.0,3.0,4.0,1.0,,,,,,7.0,4.0,23.0,65.0,314.0,232.0,33.9,14.0,14.0,9.0,19.0,36.0,36.0,15.0,3.0,,,14.0,12.0,127.0,5.0,1.0,,,47.0,59.0,18.0,16.0,5.0,5.0,1.0,15.0,9.0,0.0,0.0,,,1.0
855338,17,2016-12-17 15:00:00,"Stadium of Light, Sunderland",40267,Home,Sunderland,Watford,1,0,W,0,0,0,0,1.0,11.0,2.0,3.0,6.0,,1.0,,,,9.0,7.0,28.0,71.0,275.0,187.0,42.6,28.0,17.0,14.0,19.0,44.0,44.0,13.0,2.0,,,9.0,9.0,136.0,4.0,,1.0,,61.0,49.0,29.0,18.0,4.0,4.0,1.0,10.0,9.0,0.0,0.0,,,2.0
855348,18,2016-12-26 15:00:00,"Old Trafford, Manchester",75325,Away,Sunderland,Man Utd,1,3,L,0,1,0,0,1.0,9.0,4.0,2.0,3.0,,,,,,4.0,3.0,26.0,71.0,365.0,276.0,37.8,11.0,11.0,9.0,11.0,31.0,31.0,14.0,6.0,,1.0,11.0,7.0,126.0,6.0,3.0,,,27.0,32.0,4.0,5.0,5.0,5.0,,9.0,6.0,0.0,0.0,,,2.0
855353,19,2016-12-31 15:00:00,"Turf Moor, Burnley",21124,Away,Sunderland,Burnley,1,4,L,0,1,0,0,1.0,11.0,3.0,5.0,3.0,,,,,1.0,9.0,6.0,22.0,79.0,418.0,314.0,54.2,19.0,12.0,8.0,13.0,39.0,39.0,10.0,2.0,,,6.0,13.0,154.0,2.0,4.0,,,53.0,47.0,18.0,11.0,2.0,2.0,,9.0,9.0,0.0,0.0,,,2.0
855368,20,2017-01-02 15:00:00,"Stadium of Light, Sunderland",46494,Home,Sunderland,Liverpool,2,2,D,1,1,0,0,2.0,10.0,5.0,,5.0,,2.0,,,,5.0,5.0,17.0,55.0,290.0,199.0,29.3,11.0,21.0,15.0,18.0,27.0,27.0,16.0,2.0,,,13.0,8.0,133.0,13.0,2.0,,,43.0,46.0,9.0,14.0,2.0,2.0,,10.0,7.0,0.0,0.0,2.0,2.0,3.0
855377,21,2017-01-14 15:00:00,"Stadium of Light, Sunderland",42722,Home,Sunderland,Stoke,1,3,L,1,3,0,0,1.0,13.0,3.0,4.0,6.0,1.0,1.0,1.0,,1.0,9.0,7.0,33.0,78.0,439.0,342.0,51.2,17.0,17.0,12.0,11.0,22.0,22.0,17.0,5.0,,1.0,13.0,8.0,169.0,3.0,3.0,,,44.0,67.0,10.0,27.0,5.0,5.0,2.0,16.0,9.0,0.0,0.0,,,5.0
855391,22,2017-01-21 15:00:00,"The Hawthorns, West Bromwich",24380,Away,Sunderland,West Brom,0,2,L,0,2,0,0,,9.0,3.0,2.0,4.0,,,,,,7.0,6.0,29.0,72.0,451.0,360.0,55.6,16.0,17.0,12.0,9.0,30.0,30.0,16.0,3.0,1.0,,10.0,17.0,143.0,3.0,2.0,,,56.0,54.0,19.0,15.0,4.0,4.0,2.0,12.0,15.0,0.0,0.0,,,1.0
855397,23,2017-01-31 19:45:00,"Stadium of Light, Sunderland",40058,Home,Sunderland,Spurs,0,0,D,0,0,0,0,,3.0,1.0,,2.0,,,,,,2.0,2.0,19.0,53.0,226.0,140.0,28.4,12.0,24.0,21.0,8.0,54.0,54.0,15.0,7.0,,,10.0,9.0,126.0,3.0,,1.0,,58.0,41.0,19.0,12.0,2.0,2.0,,9.0,12.0,0.0,0.0,,,2.0
855403,24,2017-02-04 15:00:00,"Selhurst Park, London",25310,Away,Sunderland,Crystal Palace,4,0,W,4,0,0,0,4.0,10.0,7.0,3.0,,,1.0,,,2.0,7.0,4.0,12.0,53.0,278.0,198.0,34.3,8.0,18.0,16.0,12.0,58.0,58.0,7.0,5.0,,,9.0,8.0,118.0,8.0,,1.0,,45.0,46.0,13.0,16.0,1.0,1.0,2.0,8.0,9.0,0.0,0.0,,,1.0
855419,25,2017-02-11 15:00:00,"Stadium of Light, Sunderland",39931,Home,Sunderland,Southampton,0,4,L,0,2,0,0,,6.0,1.0,1.0,4.0,,,,,,3.0,2.0,24.0,60.0,448.0,348.0,46.2,14.0,15.0,12.0,12.0,25.0,25.0,16.0,3.0,1.0,,6.0,16.0,156.0,5.0,4.0,,1.0,55.0,49.0,18.0,9.0,6.0,6.0,,12.0,15.0,0.0,0.0,,,1.0
855424,26,2017-02-25 15:00:00,"Goodison Park, Liverpool",39595,Away,Sunderland,Everton,0,2,L,0,1,0,0,,10.0,1.0,3.0,6.0,,,,1.0,,8.0,6.0,30.0,54.0,285.0,182.0,36.4,15.0,16.0,12.0,12.0,35.0,35.0,9.0,3.0,,,13.0,12.0,153.0,6.0,2.0,,,54.0,57.0,19.0,12.0,6.0,6.0,1.0,16.0,10.0,0.0,0.0,,,
855436,27,2017-03-05 16:00:00,"Stadium of Light, Sunderland",41107,Home,Sunderland,Man City,0,2,L,0,1,0,0,,11.0,3.0,5.0,3.0,,,1.0,1.0,,8.0,4.0,24.0,58.0,287.0,200.0,29.2,12.0,25.0,14.0,18.0,15.0,15.0,9.0,2.0,1.0,,9.0,13.0,132.0,5.0,2.0,,,48.0,48.0,9.0,13.0,6.0,6.0,,11.0,4.0,0.0,0.0,,,4.0
855450,28,2017-04-26 19:45:00,"Riverside Stadium, Middlesbrough",30742,Away,Sunderland,Boro,0,1,L,0,1,0,0,,10.0,4.0,4.0,2.0,,,,,,8.0,5.0,39.0,75.0,416.0,302.0,51.1,15.0,15.0,11.0,17.0,23.0,23.0,16.0,1.0,,,5.0,9.0,167.0,1.0,1.0,,,77.0,55.0,39.0,28.0,5.0,5.0,1.0,11.0,14.0,0.0,0.0,,,6.0
855458,29,2017-03-18 15:00:00,"Stadium of Light, Sunderland",41518,Home,Sunderland,Burnley,0,0,D,0,0,0,0,,14.0,5.0,7.0,2.0,2.0,,2.0,,,11.0,7.0,26.0,68.0,297.0,186.0,44.0,15.0,15.0,12.0,10.0,51.0,51.0,7.0,6.0,1.0,,7.0,5.0,148.0,3.0,,1.0,,50.0,59.0,24.0,31.0,3.0,3.0,2.0,14.0,7.0,0.0,0.0,,,
855471,30,2017-04-01 15:00:00,"Vicarage Road, Watford",20805,Away,Sunderland,Watford,0,1,L,0,0,0,0,,11.0,3.0,2.0,6.0,,,,,,9.0,8.0,41.0,62.0,302.0,208.0,43.3,11.0,9.0,7.0,5.0,34.0,34.0,15.0,8.0,,,8.0,10.0,151.0,9.0,1.0,,,47.0,63.0,23.0,28.0,9.0,9.0,1.0,8.0,12.0,0.0,0.0,,,
855475,31,2017-04-04 19:45:00,"King Power Stadium, Leicester",31757,Away,Sunderland,Leicester,0,2,L,0,0,0,0,,15.0,3.0,8.0,4.0,,,,1.0,,10.0,4.0,28.0,64.0,328.0,223.0,45.3,13.0,18.0,13.0,14.0,27.0,27.0,21.0,6.0,,,4.0,9.0,152.0,6.0,2.0,,,55.0,50.0,24.0,23.0,6.0,6.0,2.0,13.0,11.0,0.0,0.0,,,3.0
855488,32,2017-04-09 13:30:00,"Stadium of Light, Sunderland",43779,Home,Sunderland,Man Utd,0,3,L,0,1,1,0,,9.0,4.0,3.0,2.0,1.0,,1.0,,,6.0,3.0,29.0,54.0,237.0,158.0,29.7,14.0,16.0,12.0,23.0,24.0,24.0,17.0,4.0,,,12.0,9.0,121.0,6.0,3.0,,,59.0,56.0,12.0,19.0,4.0,4.0,,14.0,20.0,0.0,0.0,,,2.0
855498,33,2017-04-15 15:00:00,"Stadium of Light, Sunderland",40168,Home,Sunderland,West Ham,2,2,D,1,1,0,1,2.0,14.0,4.0,6.0,4.0,1.0,,1.0,,,8.0,5.0,32.0,70.0,367.0,285.0,47.6,23.0,17.0,14.0,11.0,21.0,21.0,17.0,2.0,,,9.0,8.0,131.0,1.0,2.0,,,44.0,49.0,10.0,14.0,7.0,7.0,2.0,14.0,10.0,0.0,0.0,,,2.0
855503,34,2017-05-16 19:45:00,"Emirates Stadium, London",59510,Away,Sunderland,Arsenal,0,2,L,0,0,0,0,,6.0,2.0,2.0,2.0,,,,,,4.0,4.0,22.0,43.0,336.0,251.0,37.5,11.0,15.0,10.0,10.0,32.0,32.0,13.0,12.0,,,9.0,5.0,109.0,11.0,2.0,,,41.0,46.0,7.0,18.0,3.0,3.0,,10.0,11.0,0.0,0.0,,,3.0
855518,35,2017-04-29 15:00:00,"Stadium of Light, Sunderland",38394,Home,Sunderland,Bournemouth,0,1,L,0,0,0,0,,17.0,5.0,9.0,3.0,2.0,,2.0,,,11.0,5.0,35.0,61.0,338.0,253.0,40.9,28.0,27.0,19.0,17.0,20.0,20.0,13.0,5.0,,,9.0,12.0,142.0,5.0,1.0,,,63.0,51.0,20.0,16.0,6.0,6.0,1.0,13.0,8.0,0.0,0.0,,,4.0
855526,36,2017-05-06 15:00:00,"The MKM Stadium, Hull",22480,Away,Sunderland,Hull,2,0,W,0,0,0,0,2.0,12.0,5.0,6.0,1.0,4.0,2.0,2.0,,2.0,9.0,3.0,28.0,63.0,317.0,220.0,40.5,23.0,16.0,11.0,13.0,27.0,27.0,15.0,6.0,,,4.0,7.0,138.0,5.0,,1.0,,56.0,32.0,20.0,8.0,4.0,4.0,2.0,8.0,10.0,0.0,0.0,,,4.0
855538,37,2017-05-13 15:00:00,"Stadium of Light, Sunderland",38781,Home,Sunderland,Swansea,0,2,L,0,2,0,0,,13.0,4.0,6.0,3.0,,,1.0,,,8.0,4.0,33.0,72.0,441.0,364.0,52.8,16.0,21.0,16.0,10.0,18.0,18.0,12.0,,,1.0,2.0,13.0,132.0,1.0,2.0,,,43.0,45.0,9.0,16.0,8.0,8.0,1.0,13.0,5.0,0.0,0.0,,,2.0
855544,38,2017-05-21 15:00:00,"Stamford Bridge, London",41618,Away,Sunderland,Chelsea,1,5,L,1,1,0,0,1.0,7.0,3.0,2.0,2.0,,1.0,,,,3.0,2.0,11.0,40.0,269.0,211.0,29.5,4.0,17.0,12.0,14.0,35.0,35.0,11.0,8.0,,2.0,12.0,12.0,90.0,3.0,5.0,,,39.0,53.0,5.0,10.0,1.0,1.0,2.0,15.0,8.0,0.0,0.0,,,1.0
