gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,shotFastbreak,attBxRight,attSvHighRight,totalFastbreak,hitWoodwork,attFastbreak,goalsConceded,goalsConcededIbox,handBall,penaltySave,goalAssistOpenplay,goalAssist,penaltyConceded,goalAssistIntentional,penaltyFaced,attHdGoal,attGoalLowLeft,attLfGoal,attGoalLowCentre,attOneOnOne,penaltyWon,ptsGainedLosingPos,attPenGoal,forwardGoals,ptsDroppedWinningPos,sixYardBlock,attGoalHighRight,attCmissHighLeft,shieldBallOop,penGoalsConceded,accurateThroughBall,errorLeadToShot,totalThroughBall,attOboxGoal,attGoalHighLeft,errorLeadToGoal,postScoringAtt,attPostLeft,attOboxPost,contentiousDecision,ownGoals,attIboxOwnGoal,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,defenderGoals,attFreekickGoal,attFreekickMiss,attGoalHighCentre,attLgCentre,foulThrowIn,goalFastbreak,attObxLeft,attLgRight,attIboxPost,attHdPost,attPostHigh,attCmissHighRight,clearanceOffLine,accuratePullBack,attObpGoal,attPostRight
1,855174,2016-08-13 15:00:00,"Turf Moor, Burnley",19126,Away,Swansea City,Burnley,1,0,W,0,0,0,0,1.0,1.0,68.0,1.0,2.0,1.0,32.0,49.0,6.0,4.0,11.0,3.0,3.0,165.0,12.0,8.0,1.0,4.0,13.0,1.0,9.0,82.0,137.0,69.0,1.0,17.0,1.0,20.0,5.0,1.0,2.0,1.0,28.0,16.0,3.0,34.0,3.0,16.0,29.0,155.0,1.0,1.0,0.0,84.0,14.0,3.0,1.0,1.0,2.0,2.0,2.0,51.0,68.0,9.0,54.0,1.0,1.0,25.0,17.0,6.0,1.0,7.0,2.0,137.0,1.0,6.0,82.0,613.0,12.0,14.0,22.0,4.0,22.0,278.0,31.0,1.0,6.0,24.0,1.0,2.0,2.0,4.0,13.0,359.0,39.0,1.0,97615,7.0,154.0,1.0,16.0,1.0,184.0,6.0,1.0,1.0,17.0,9.0,53.0,1.0,2.0,5.0,1.0,12.0,4.0,6.0,2.0,58.0,297.0,10.0,6.0,1.0,21.0,2.0,85.0,2.0,1.0,2.0,0.0,1.0,5.0,7.0,1.0,1.0,5.0,0.0,10.0,6.0,52.5,11.0,2.0,1.0,2.0,1.0,5.0,2.0,57.0,4.0,3.0,383.0,22.0,11.0,13.0,6.0,32.0,2.0,4.0,227.0,7.0,15.0,32.0,59.0,27.0,3.0,22.0,19.0,13.0,3.0,11.0,3.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855187,2016-08-20 15:00:00,"Swansea.com Stadium, Swansea",20024,Home,Swansea City,Hull City,0,2,L,0,0,0,0,,,79.0,,,2.0,19.0,17.0,14.0,1.0,9.0,2.0,3.0,191.0,13.0,10.0,,5.0,18.0,2.0,3.0,150.0,160.0,60.0,1.0,23.0,5.0,15.0,,,,5.0,38.0,15.0,3.0,15.0,6.0,31.0,25.0,311.0,,,0.0,206.0,7.0,,,,1.0,5.0,,69.0,126.0,6.0,73.0,,4.0,32.0,18.0,14.0,1.0,5.0,6.0,160.0,,9.0,149.0,800.0,17.0,11.0,39.0,,19.0,462.0,15.0,,1.0,12.0,,0.0,5.0,12.0,16.0,547.0,72.0,,97615,6.0,180.0,,22.0,1.0,188.0,6.0,,,18.0,2.0,53.0,3.0,,7.0,,16.0,3.0,2.0,4.0,30.0,478.0,10.0,4.0,1.0,7.0,2.0,76.0,1.0,2.0,,0.0,1.0,5.0,3.0,2.0,,2.0,0.0,10.0,3.0,56.6,14.0,3.0,7.0,2.0,,7.0,7.0,51.0,8.0,,563.0,19.0,18.0,13.0,13.0,47.0,3.0,7.0,413.0,19.0,29.0,23.0,156.0,49.0,,11.0,17.0,18.0,3.0,19.0,,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855196,2016-08-27 15:00:00,"King Power Stadium, Leicester",31727,Away,Swansea City,Leicester City,1,2,L,0,1,0,0,1.0,,61.0,1.0,2.0,1.0,30.0,37.0,5.0,4.0,4.0,4.0,1.0,156.0,5.0,14.0,1.0,3.0,9.0,,3.0,93.0,155.0,65.0,,9.0,,21.0,1.0,1.0,1.0,,23.0,13.0,1.0,32.0,5.0,14.0,33.0,103.0,,,0.0,86.0,10.0,3.0,,1.0,,1.0,1.0,29.0,56.0,4.0,36.0,1.0,2.0,18.0,19.0,5.0,,5.0,4.0,155.0,,8.0,78.0,583.0,7.0,8.0,24.0,,10.0,239.0,23.0,1.0,5.0,15.0,1.0,2.0,2.0,5.0,26.0,330.0,47.0,,97615,4.0,162.0,,12.0,,199.0,5.0,,,19.0,11.0,55.0,1.0,1.0,6.0,1.0,10.0,5.0,8.0,2.0,71.0,260.0,13.0,11.0,1.0,32.0,1.0,70.0,1.0,,1.0,0.0,,3.0,4.0,2.0,1.0,3.0,0.0,3.0,2.0,47.8,21.0,1.0,2.0,,,6.0,1.0,34.0,6.0,1.0,363.0,10.0,11.0,12.0,5.0,31.0,2.0,1.0,187.0,3.0,14.0,17.0,48.0,28.0,3.0,14.0,21.0,8.0,3.0,18.0,3.0,10.0,6.0,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855210,2016-09-11 16:00:00,"Swansea.com Stadium, Swansea",20865,Home,Swansea City,Chelsea,2,2,D,0,1,0,0,,2.0,53.0,,1.0,1.0,35.0,18.0,3.0,2.0,3.0,5.0,,141.0,2.0,5.0,2.0,2.0,2.0,,2.0,88.0,131.0,47.0,,6.0,1.0,17.0,,4.0,,1.0,15.0,13.0,,16.0,1.0,17.0,24.0,166.0,,,0.0,97.0,17.0,3.0,,1.0,,1.0,1.0,58.0,65.0,1.0,52.0,,,14.0,29.0,3.0,,4.0,2.0,131.0,,18.0,118.0,582.0,2.0,10.0,15.0,,10.0,296.0,21.0,,7.0,8.0,4.0,3.0,9.0,1.0,24.0,374.0,53.0,,97615,3.0,149.0,,9.0,,168.0,14.0,1.0,,29.0,11.0,59.0,,,5.0,1.0,12.0,10.0,8.0,1.0,68.0,313.0,9.0,9.0,,28.0,,76.0,,1.0,2.0,0.0,,,11.0,4.0,2.0,4.0,0.0,2.0,,44.9,22.0,,2.0,,,5.0,2.0,45.0,1.0,1.0,399.0,10.0,14.0,16.0,2.0,21.0,,,246.0,4.0,17.0,15.0,55.0,23.0,2.0,7.0,19.0,5.0,2.0,9.0,2.0,18.0,1.0,,,,,,,2.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855218,2016-09-18 14:15:00,"St. Mary's Stadium, Southampton",29087,Away,Swansea City,Southampton,0,1,L,0,0,0,0,1.0,,59.0,,3.0,1.0,27.0,30.0,3.0,1.0,6.0,5.0,2.0,159.0,6.0,7.0,,2.0,8.0,,3.0,95.0,122.0,52.0,,9.0,,18.0,3.0,1.0,,1.0,18.0,5.0,,21.0,1.0,18.0,25.0,174.0,2.0,,0.0,110.0,9.0,3.0,,,1.0,2.0,4.0,34.0,61.0,4.0,57.0,1.0,1.0,17.0,17.0,3.0,,7.0,3.0,122.0,,13.0,91.0,581.0,8.0,11.0,18.0,,8.0,294.0,28.0,,10.0,16.0,1.0,1.0,4.0,4.0,18.0,369.0,57.0,1.0,97615,4.0,147.0,,8.0,1.0,166.0,3.0,,,17.0,9.0,44.0,,1.0,5.0,,4.0,6.0,6.0,1.0,69.0,315.0,13.0,8.0,,36.0,,77.0,2.0,,2.0,0.0,,3.0,7.0,2.0,,3.0,0.0,6.0,1.0,47.0,14.0,1.0,,,,5.0,1.0,38.0,1.0,4.0,402.0,8.0,6.0,15.0,5.0,21.0,,2.0,254.0,7.0,15.0,19.0,76.0,21.0,4.0,11.0,14.0,8.0,3.0,12.0,4.0,7.0,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855230,2016-09-24 15:00:00,"Swansea.com Stadium, Swansea",20786,Home,Swansea City,Manchester City,1,3,L,1,1,0,0,,,64.0,,1.0,1.0,35.0,21.0,4.0,4.0,9.0,1.0,3.0,149.0,11.0,12.0,1.0,4.0,11.0,1.0,5.0,85.0,130.0,44.0,1.0,13.0,,10.0,2.0,4.0,3.0,3.0,22.0,8.0,2.0,18.0,2.0,24.0,43.0,145.0,,,0.0,93.0,15.0,,,,,2.0,,41.0,42.0,4.0,44.0,5.0,2.0,20.0,17.0,4.0,1.0,8.0,2.0,130.0,1.0,11.0,113.0,580.0,10.0,8.0,27.0,1.0,21.0,285.0,33.0,1.0,12.0,14.0,4.0,2.0,6.0,7.0,16.0,364.0,47.0,1.0,97615,5.0,170.0,1.0,10.0,1.0,198.0,10.0,,,17.0,15.0,53.0,1.0,1.0,6.0,1.0,15.0,7.0,9.0,1.0,64.0,304.0,9.0,17.0,,29.0,1.0,65.0,1.0,2.0,,0.0,1.0,3.0,7.0,,1.0,4.0,0.0,11.0,5.0,41.6,14.0,4.0,3.0,3.0,,6.0,1.0,41.0,2.0,,391.0,21.0,6.0,27.0,7.0,27.0,,5.0,215.0,4.0,21.0,10.0,60.0,22.0,3.0,12.0,13.0,10.0,3.0,17.0,3.0,8.0,2.0,,,,,,,3.0,3.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855238,2016-10-01 12:30:00,"Swansea.com Stadium, Swansea",20862,Home,Swansea City,Liverpool,1,2,L,1,0,0,0,,1.0,67.0,,3.0,1.0,30.0,35.0,2.0,1.0,6.0,5.0,2.0,168.0,4.0,10.0,1.0,1.0,4.0,,3.0,97.0,146.0,57.0,1.0,8.0,,16.0,1.0,,,2.0,16.0,16.0,1.0,28.0,3.0,16.0,29.0,149.0,,,0.0,93.0,11.0,4.0,,1.0,,,1.0,44.0,83.0,2.0,52.0,5.0,,13.0,26.0,2.0,1.0,4.0,1.0,146.0,3.0,10.0,89.0,625.0,4.0,16.0,12.0,,17.0,288.0,33.0,1.0,7.0,21.0,,2.0,9.0,2.0,24.0,381.0,49.0,,97615,5.0,161.0,4.0,9.0,1.0,197.0,6.0,,,26.0,10.0,64.0,,1.0,8.0,,10.0,8.0,9.0,1.0,68.0,306.0,8.0,19.0,,35.0,1.0,74.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0,1.0,1.0,6.0,0.0,3.0,3.0,40.6,20.0,2.0,7.0,,1.0,8.0,1.0,44.0,3.0,1.0,406.0,17.0,14.0,15.0,4.0,20.0,1.0,3.0,225.0,4.0,13.0,17.0,57.0,15.0,5.0,19.0,22.0,5.0,3.0,14.0,5.0,11.0,3.0,,,,,,,2.0,2.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,,3.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,855243,2016-10-15 15:00:00,"Emirates Stadium, London",60007,Away,Swansea City,Arsenal,2,3,L,1,2,0,1,,1.0,82.0,,,,22.0,21.0,4.0,3.0,9.0,3.0,,181.0,8.0,5.0,2.0,2.0,9.0,,6.0,131.0,160.0,47.0,,13.0,2.0,12.0,4.0,,2.0,1.0,22.0,21.0,,19.0,5.0,21.0,34.0,226.0,1.0,,0.0,139.0,10.0,2.0,,,2.0,1.0,3.0,45.0,110.0,5.0,72.0,2.0,,17.0,24.0,4.0,,8.0,1.0,160.0,4.0,10.0,141.0,724.0,6.0,10.0,26.0,4.0,18.0,395.0,42.0,,6.0,13.0,,1.0,3.0,4.0,13.0,494.0,59.0,,97615,9.0,200.0,3.0,8.0,1.0,232.0,6.0,1.0,1.0,24.0,9.0,57.0,1.0,2.0,8.0,2.0,14.0,6.0,5.0,3.0,61.0,418.0,7.0,18.0,2.0,25.0,3.0,86.0,,,,0.0,,3.0,5.0,3.0,1.0,3.0,0.0,5.0,5.0,51.3,11.0,1.0,4.0,,,9.0,2.0,53.0,6.0,3.0,525.0,18.0,14.0,16.0,5.0,28.0,3.0,4.0,315.0,5.0,18.0,10.0,100.0,24.0,,13.0,26.0,9.0,3.0,8.0,,10.0,6.0,,,,,,,3.0,3.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,855260,2016-10-22 15:00:00,"Swansea.com Stadium, Swansea",20694,Home,Swansea City,Watford,0,0,D,0,0,0,0,1.0,,78.0,,2.0,1.0,30.0,36.0,7.0,2.0,4.0,2.0,4.0,165.0,7.0,7.0,,2.0,10.0,1.0,5.0,107.0,149.0,54.0,,11.0,2.0,15.0,2.0,,2.0,1.0,24.0,11.0,3.0,33.0,5.0,13.0,23.0,195.0,,1.0,0.0,152.0,15.0,,1.0,,1.0,1.0,,67.0,74.0,7.0,55.0,,1.0,19.0,18.0,7.0,,5.0,1.0,149.0,2.0,5.0,116.0,660.0,9.0,10.0,23.0,,20.0,327.0,38.0,,10.0,19.0,,2.0,5.0,3.0,16.0,415.0,65.0,1.0,97615,3.0,160.0,2.0,13.0,1.0,186.0,7.0,,,18.0,6.0,48.0,,1.0,2.0,,17.0,5.0,4.0,,60.0,348.0,14.0,5.0,1.0,28.0,,71.0,1.0,,,0.0,,3.0,2.0,,,4.0,0.0,5.0,,53.8,15.0,,9.0,,,2.0,3.0,42.0,7.0,,443.0,20.0,10.0,12.0,3.0,31.0,2.0,1.0,281.0,9.0,12.0,19.0,107.0,28.0,3.0,19.0,15.0,10.0,1.0,12.0,3.0,11.0,7.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,855267,2016-10-31 20:00:00,"bet365 Stadium, Stoke",26602,Away,Swansea City,Stoke City,1,3,L,1,1,0,0,2.0,1.0,66.0,,,2.0,34.0,33.0,6.0,5.0,8.0,2.0,2.0,156.0,7.0,5.0,1.0,1.0,12.0,,6.0,117.0,140.0,52.0,,14.0,2.0,16.0,2.0,1.0,3.0,1.0,15.0,11.0,3.0,33.0,4.0,19.0,33.0,151.0,1.0,,0.0,102.0,14.0,1.0,,1.0,1.0,1.0,,47.0,53.0,9.0,69.0,1.0,2.0,11.0,21.0,6.0,,7.0,1.0,140.0,1.0,11.0,93.0,639.0,8.0,7.0,21.0,1.0,14.0,328.0,26.0,,1.0,21.0,2.0,0.0,5.0,3.0,24.0,410.0,55.0,,97615,4.0,203.0,,3.0,,229.0,5.0,,,21.0,12.0,59.0,,1.0,5.0,1.0,16.0,7.0,7.0,,73.0,347.0,7.0,8.0,3.0,17.0,3.0,81.0,,,,0.0,,2.0,6.0,2.0,1.0,3.0,0.0,4.0,4.0,54.4,20.0,2.0,4.0,2.0,1.0,5.0,4.0,50.0,4.0,,435.0,14.0,16.0,17.0,4.0,23.0,3.0,3.0,221.0,5.0,14.0,27.0,67.0,30.0,,21.0,14.0,11.0,3.0,10.0,,11.0,4.0,,,,,1.0,,3.0,3.0,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,2.0,2.0,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
