gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attGoalLowCentre,postScoringAtt,goalAssistOpenplay,attOneOnOne,attMissHighRight,attSvHighRight,cleanSheet,freekickCross,attGoalHighCentre,attOboxMiss,attPostLeft,attMissHighLeft,goalAssist,attSetpiece,totalPullBack,attOboxPost,attPostHigh,goalAssistIntentional,shieldBallOop,attHdGoal,attGoalLowLeft,attCmissRight,attIboxPost,attHdPost,accurateFreekickCross,attCmissHigh,attBxLeft,errorLeadToGoal,attObxLeft,shotFastbreak,goalFastbreak,attMissLeft,totalFastbreak,attFastbreak,attCmissLeft,attFreekickTarget,foulThrowIn,errorLeadToShot,clearanceOffLine,attFreekickMiss,accuratePullBack,contentiousDecision,attLgCentre,penaltyConceded,attCmissHighRight,penaltyFaced,penGoalsConceded,attOboxGoal,attFreekickGoal,attPostRight,attGoalHighRight,goalAssistSetplay,defenderGoals,attGoalHighLeft,sixYardBlock,goalAssistDeadball,attCmissHighLeft,attObpGoal
1,803168,2015-08-08 17:30:00,"Stamford Bridge, London",41232,Away,Swansea City,Chelsea,2,2,D,1,2,0,1,1.0,1.0,3.0,2.0,59.0,2.0,3.0,28.0,29.0,5.0,8.0,2.0,1.0,4.0,164.0,5.0,13.0,2.0,3.0,12.0,10.0,82.0,141.0,70.0,1.0,17.0,2.0,14.0,5.0,1.0,2.0,2.0,19.0,19.0,3.0,23.0,8.0,6.0,26.0,157.0,1.0,0.0,113.0,16.0,1.0,1.0,1.0,1.0,1.0,47.0,41.0,10.0,70.0,1.0,1.0,12.0,11.0,1.0,3.0,135.0,2.0,7.0,83.0,616.0,9.0,4.0,1.0,1.0,12.0,302.0,29.0,2.0,14.0,2.0,3.0,2.0,2.0,22.0,370.0,55.0,2.0,76542,10.0,170.0,3.0,9.0,194.0,8.0,1.0,11.0,7.0,59.0,1.0,4.0,4.0,4.0,1.0,18.0,5.0,3.0,1.0,1.0,58.0,322.0,15.0,14.0,3.0,19.0,69.0,3.0,1.0,0.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,48.0,19.0,2.0,5.0,1.0,5.0,5.0,44.0,8.0,1.0,399.0,12.0,10.0,14.0,2.0,25.0,4.0,2.0,224.0,6.0,5.0,21.0,75.0,17.0,1.0,4.0,1.0,13.0,22.0,1.0,11.0,3.0,19.0,4.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803178,2015-08-15 15:00:00,"Swansea.com Stadium, Swansea",20678,Home,Swansea City,Newcastle United,2,0,W,1,0,0,1,,,1.0,1.0,56.0,,2.0,33.0,18.0,12.0,6.0,2.0,1.0,3.0,169.0,3.0,7.0,2.0,1.0,18.0,6.0,182.0,111.0,42.0,,19.0,5.0,6.0,1.0,1.0,,2.0,19.0,17.0,3.0,11.0,4.0,38.0,35.0,335.0,,0.0,158.0,11.0,2.0,,1.0,,1.0,70.0,88.0,13.0,93.0,,2.0,15.0,12.0,,5.0,104.0,2.0,1.0,191.0,827.0,14.0,4.0,,2.0,16.0,573.0,12.0,5.0,9.0,,2.0,,5.0,26.0,620.0,91.0,1.0,61760,6.0,254.0,1.0,9.0,257.0,7.0,,12.0,5.0,43.0,,2.0,3.0,6.0,2.0,13.0,3.0,5.0,,,46.0,586.0,8.0,7.0,2.0,10.0,84.0,,,0.0,3.0,4.0,1.0,2.0,,3.0,0.0,2.0,3.0,65.8,26.0,2.0,4.0,1.0,7.0,7.0,68.0,4.0,1.0,635.0,16.0,3.0,25.0,6.0,24.0,1.0,2.0,397.0,10.0,37.0,8.0,125.0,31.0,1.0,,,6.0,19.0,,15.0,3.0,23.0,,7.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803190,2015-08-22 15:00:00,"Stadium of Light, Sunderland",39198,Away,Swansea City,Sunderland,1,1,D,1,0,0,0,,,4.0,,65.0,,3.0,25.0,28.0,10.0,7.0,1.0,,2.0,180.0,9.0,10.0,1.0,4.0,19.0,9.0,102.0,142.0,51.0,,20.0,2.0,22.0,3.0,1.0,1.0,2.0,20.0,6.0,5.0,23.0,3.0,15.0,35.0,236.0,,0.0,117.0,9.0,,1.0,,3.0,3.0,55.0,81.0,13.0,79.0,2.0,3.0,17.0,7.0,,5.0,137.0,2.0,4.0,133.0,705.0,17.0,8.0,2.0,1.0,20.0,391.0,21.0,3.0,18.0,1.0,2.0,3.0,6.0,20.0,465.0,59.0,,61760,7.0,183.0,2.0,8.0,194.0,5.0,1.0,7.0,8.0,67.0,,,2.0,5.0,1.0,11.0,6.0,4.0,2.0,,65.0,410.0,14.0,12.0,1.0,22.0,99.0,1.0,,0.0,2.0,3.0,1.0,1.0,1.0,4.0,0.0,9.0,5.0,60.7,19.0,2.0,2.0,1.0,6.0,5.0,57.0,4.0,3.0,494.0,20.0,15.0,15.0,6.0,31.0,,2.0,320.0,8.0,15.0,18.0,82.0,34.0,1.0,3.0,,17.0,9.0,1.0,17.0,1.0,20.0,3.0,6.0,4.0,,,1.0,1.0,,,,,4.0,,3.0,1.0,,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803196,2015-08-30 16:00:00,"Swansea.com Stadium, Swansea",20828,Home,Swansea City,Manchester United,2,1,W,0,0,0,0,,,1.0,,70.0,1.0,,25.0,32.0,4.0,1.0,3.0,,1.0,175.0,1.0,7.0,2.0,4.0,7.0,4.0,53.0,150.0,52.0,1.0,9.0,1.0,28.0,,1.0,,,7.0,8.0,2.0,29.0,,9.0,27.0,121.0,,0.0,95.0,6.0,1.0,,1.0,1.0,3.0,38.0,52.0,3.0,76.0,1.0,1.0,7.0,18.0,1.0,3.0,147.0,1.0,7.0,61.0,549.0,5.0,11.0,,1.0,21.0,242.0,25.0,12.0,18.0,,2.0,1.0,4.0,18.0,343.0,67.0,1.0,76542,3.0,134.0,1.0,2.0,158.0,3.0,1.0,18.0,7.0,58.0,,1.0,3.0,5.0,2.0,6.0,4.0,3.0,,,75.0,254.0,14.0,9.0,,44.0,88.0,,,0.0,,1.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,35.5,14.0,,6.0,1.0,6.0,1.0,39.0,,3.0,365.0,21.0,10.0,12.0,4.0,17.0,,1.0,214.0,7.0,7.0,17.0,42.0,27.0,1.0,2.0,,17.0,14.0,1.0,7.0,3.0,12.0,2.0,11.0,,1.0,,1.0,2.0,,1.0,,,2.0,,2.0,1.0,,2.0,1.0,,,,2.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,803210,2015-09-12 15:00:00,"Vicarage Road, Watford",20057,Away,Swansea City,Watford,0,1,L,0,0,0,1,,1.0,,,58.0,,,45.0,39.0,5.0,1.0,5.0,,3.0,189.0,2.0,6.0,,1.0,7.0,3.0,101.0,164.0,44.0,,8.0,1.0,13.0,1.0,1.0,,1.0,21.0,7.0,2.0,31.0,3.0,11.0,43.0,218.0,,0.0,150.0,14.0,3.0,,,,,65.0,79.0,3.0,71.0,,,18.0,15.0,,4.0,156.0,1.0,9.0,154.0,705.0,7.0,7.0,,,8.0,396.0,21.0,11.0,20.0,,1.0,4.0,4.0,24.0,491.0,76.0,,76542,1.0,200.0,1.0,14.0,220.0,6.0,,15.0,11.0,47.0,,1.0,6.0,3.0,,12.0,8.0,7.0,,,79.0,416.0,11.0,5.0,,25.0,88.0,1.0,,0.0,1.0,1.0,4.0,,1.0,3.0,0.0,2.0,1.0,60.8,22.0,1.0,5.0,1.0,3.0,1.0,57.0,3.0,,515.0,8.0,11.0,25.0,4.0,30.0,,2.0,316.0,6.0,10.0,20.0,97.0,27.0,,1.0,,18.0,8.0,1.0,8.0,3.0,12.0,1.0,6.0,3.0,1.0,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
6,803214,2015-09-19 15:00:00,"Swansea.com Stadium, Swansea",20805,Home,Swansea City,Everton,0,0,D,0,0,0,1,,,1.0,,67.0,,1.0,23.0,22.0,5.0,4.0,1.0,,2.0,175.0,5.0,8.0,,4.0,10.0,3.0,83.0,145.0,53.0,1.0,12.0,2.0,11.0,2.0,,,1.0,21.0,14.0,1.0,19.0,2.0,4.0,26.0,145.0,,0.0,95.0,12.0,1.0,,,,2.0,38.0,75.0,6.0,57.0,1.0,2.0,19.0,21.0,1.0,3.0,142.0,,11.0,92.0,610.0,9.0,4.0,,,13.0,307.0,27.0,4.0,9.0,,2.0,8.0,4.0,24.0,389.0,61.0,,76542,5.0,176.0,1.0,14.0,197.0,7.0,,21.0,7.0,50.0,,1.0,3.0,7.0,,5.0,6.0,1.0,1.0,,55.0,316.0,11.0,10.0,1.0,14.0,80.0,,,0.0,6.0,4.0,2.0,,,2.0,0.0,4.0,2.0,47.9,21.0,2.0,4.0,2.0,7.0,3.0,40.0,2.0,2.0,407.0,13.0,15.0,10.0,6.0,22.0,1.0,4.0,231.0,6.0,3.0,13.0,60.0,27.0,,2.0,,8.0,21.0,,9.0,3.0,10.0,2.0,15.0,2.0,,,,,,,,1.0,2.0,,2.0,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,2.0,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
7,803231,2015-09-26 15:00:00,"St. Mary's Stadium, Southampton",30704,Away,Swansea City,Southampton,1,3,L,0,1,0,0,,1.0,,1.0,62.0,,1.0,33.0,16.0,7.0,2.0,4.0,,2.0,189.0,3.0,5.0,1.0,3.0,7.0,4.0,130.0,143.0,42.0,1.0,11.0,2.0,17.0,1.0,,,3.0,23.0,7.0,2.0,14.0,3.0,17.0,43.0,241.0,1.0,0.0,131.0,14.0,2.0,,1.0,,7.0,80.0,69.0,4.0,84.0,1.0,1.0,20.0,19.0,1.0,8.0,141.0,,13.0,139.0,730.0,7.0,6.0,1.0,,15.0,422.0,24.0,6.0,13.0,,1.0,3.0,3.0,20.0,507.0,67.0,1.0,76542,4.0,214.0,1.0,11.0,239.0,6.0,1.0,19.0,8.0,50.0,1.0,2.0,3.0,5.0,,6.0,5.0,7.0,,1.0,56.0,452.0,18.0,4.0,,13.0,87.0,,,0.0,3.0,4.0,1.0,1.0,3.0,3.0,0.0,3.0,1.0,58.5,20.0,,1.0,,7.0,3.0,61.0,3.0,7.0,542.0,15.0,8.0,21.0,4.0,26.0,,1.0,326.0,8.0,16.0,13.0,92.0,26.0,,6.0,1.0,13.0,7.0,3.0,9.0,3.0,14.0,6.0,12.0,3.0,3.0,,,,,2.0,,,1.0,1.0,3.0,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
8,803238,2015-10-04 16:00:00,"Swansea.com Stadium, Swansea",20845,Home,Swansea City,Tottenham Hotspur,2,2,D,2,1,0,0,2.0,,,,65.0,1.0,2.0,47.0,21.0,4.0,2.0,9.0,,,157.0,5.0,8.0,2.0,4.0,9.0,2.0,95.0,145.0,61.0,,11.0,2.0,5.0,1.0,2.0,,,20.0,14.0,,16.0,5.0,5.0,48.0,146.0,,0.0,101.0,8.0,8.0,,1.0,,3.0,50.0,60.0,6.0,57.0,5.0,3.0,15.0,10.0,,4.0,140.0,1.0,9.0,95.0,610.0,7.0,8.0,1.0,1.0,22.0,294.0,31.0,7.0,6.0,,1.0,4.0,3.0,18.0,374.0,57.0,,76542,3.0,174.0,1.0,9.0,202.0,5.0,,10.0,7.0,43.0,,,1.0,7.0,1.0,13.0,10.0,3.0,1.0,,82.0,315.0,18.0,13.0,1.0,26.0,68.0,,,0.0,4.0,6.0,4.0,2.0,2.0,1.0,0.0,5.0,4.0,45.6,17.0,2.0,2.0,,7.0,4.0,41.0,5.0,4.0,404.0,22.0,9.0,32.0,5.0,25.0,,3.0,222.0,5.0,5.0,18.0,67.0,20.0,,3.0,,5.0,18.0,,8.0,2.0,16.0,3.0,4.0,5.0,5.0,,,1.0,,,1.0,,2.0,,2.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
9,803249,2015-10-19 20:00:00,"Swansea.com Stadium, Swansea",20044,Home,Swansea City,Stoke City,0,1,L,0,1,0,0,,,1.0,,61.0,,1.0,25.0,21.0,8.0,1.0,1.0,,1.0,189.0,2.0,16.0,,3.0,11.0,2.0,141.0,128.0,58.0,2.0,14.0,1.0,11.0,,,,2.0,23.0,12.0,2.0,17.0,1.0,22.0,24.0,261.0,,0.0,127.0,6.0,,,,,1.0,69.0,51.0,4.0,74.0,2.0,2.0,22.0,17.0,2.0,6.0,124.0,,6.0,144.0,765.0,11.0,6.0,,1.0,11.0,468.0,21.0,1.0,9.0,,2.0,1.0,7.0,29.0,526.0,66.0,1.0,76542,3.0,230.0,,15.0,233.0,2.0,,17.0,7.0,54.0,,1.0,1.0,4.0,,10.0,3.0,6.0,1.0,,38.0,489.0,14.0,6.0,,4.0,77.0,,,0.0,1.0,2.0,,,1.0,2.0,0.0,2.0,2.0,54.1,29.0,2.0,6.0,,4.0,2.0,57.0,1.0,1.0,548.0,11.0,12.0,11.0,10.0,35.0,,3.0,338.0,11.0,22.0,12.0,93.0,30.0,,3.0,,9.0,18.0,1.0,12.0,3.0,36.0,3.0,11.0,1.0,1.0,,1.0,,,3.0,,,1.0,,6.0,1.0,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,3.0,,,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10,803258,2015-10-24 15:00:00,"Villa Park, Birmingham",33324,Away,Swansea City,Aston Villa,2,1,W,0,0,0,0,,1.0,1.0,1.0,73.0,1.0,,32.0,22.0,5.0,4.0,2.0,1.0,,173.0,4.0,6.0,2.0,3.0,8.0,4.0,92.0,160.0,54.0,1.0,10.0,1.0,22.0,2.0,1.0,,2.0,17.0,11.0,,17.0,3.0,14.0,32.0,154.0,,0.0,88.0,8.0,1.0,,2.0,,3.0,43.0,89.0,4.0,65.0,1.0,1.0,14.0,21.0,1.0,3.0,155.0,3.0,6.0,89.0,611.0,7.0,8.0,1.0,,19.0,298.0,22.0,11.0,13.0,,3.0,1.0,4.0,25.0,392.0,53.0,,76542,3.0,167.0,2.0,10.0,188.0,5.0,1.0,21.0,11.0,58.0,,1.0,4.0,5.0,1.0,15.0,3.0,4.0,1.0,,69.0,317.0,10.0,15.0,,23.0,97.0,,1.0,0.0,2.0,4.0,,1.0,1.0,3.0,0.0,3.0,1.0,52.1,20.0,,3.0,,5.0,1.0,50.0,6.0,3.0,419.0,19.0,8.0,15.0,5.0,21.0,1.0,2.0,248.0,5.0,12.0,22.0,46.0,37.0,,4.0,,9.0,16.0,1.0,7.0,3.0,12.0,4.0,10.0,6.0,2.0,,,1.0,,,,,1.0,,3.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
