gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,savedObox,attCmissRight,attLgRight,attSvHighRight,attSvLowLeft,interceptionsInBox,contentiousDecision,accurateFreekickCross,penaltyConceded,totalPullBack,attCmissLeft,punches,overrun,accurateFlickOn,penaltyFaced,penGoalsConceded,attIboxBlocked,attLfGoal,accuratePullBack,attFreekickTotal,postScoringAtt,attIboxPost,cleanSheet,midfielderGoals,freekickTotal,attGoalHighCentre,hitWoodwork,accurateThroughBall,errorLeadToShot,totalThroughBall,defenderGoals,attMissHigh,attGoalHighLeft,attPostHigh,attSvHighCentre,attFreekickMiss,handBall,attGoalLowLeft,attFreekickTarget,errorLeadToGoal,attSvHighLeft,attPostRight,attGoalLowCentre,attOneOnOne,attHdTarget,attCmissHigh,accurateKeeperSweeper,attGoalHighRight,attOboxGoal,penaltyWon,totalKeeperSweeper,sixYardBlock,attCmissHighLeft,attPenGoal,attLgCentre,goalAssistSetplay,attObxdRight,attHdGoal,shotFastbreak,totalFastbreak,attFastbreak,attObpGoal,shieldBallOop,foulThrowIn,attPostLeft,attOboxPost,ownGoals,attIboxOwnGoal,attCmissHighRight,goalAssistDeadball,attObxLeft,attemptsIbox,ptsGainedLosingPos,attemptsObox,touchesInOppBox,ptsDroppedWinningPos,secondYellow,attLgLeft
1,694908,2013-08-17 17:30:00,"Swansea.com Stadium, Swansea",20733,Home,Swansea City,Manchester United,1,4,L,0,2,0,0,1.0,3.0,1.0,55.0,1.0,27.0,27.0,6.0,5.0,3.0,2.0,184.0,10.0,5.0,1.0,4.0,13.0,6.0,129.0,128.0,40.0,17.0,1.0,18.0,4.0,2.0,1.0,2.0,4.0,37.0,9.0,1.0,27.0,7.0,32.0,25.0,265.0,3.0,0.0,161.0,13.0,1.0,3.0,1.0,65.0,66.0,6.0,86.0,2.0,30.0,20.0,15.0,4.0,128.0,2.0,12.0,135.0,738.0,11.0,1.0,10.0,450.0,21.0,1.0,2.0,13.0,1.0,1.0,4.0,7.0,18.0,520.0,67.0,89238,6.0,208.0,1.0,12.0,1.0,222.0,2.0,1.0,20.0,5.0,41.0,2.0,5.0,1.0,16.0,2.0,4.0,41.0,463.0,10.0,4.0,1.0,9.0,67.0,3.0,0.0,4.0,4.0,1.0,4.0,0.0,7.0,1.0,3.0,53.7,16.0,3.0,8.0,2.0,5.0,1.0,1.0,53.0,7.0,1.0,534.0,10.0,3.0,11.0,10.0,29.0,3.0,6.0,349.0,9.0,30.0,13.0,121.0,19.0,1.0,2.0,13.0,14.0,3.0,14.0,3.0,11.0,2.0,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694920,2013-08-25 16:00:00,"White Hart Lane, London",36005,Away,Swansea City,Tottenham Hotspur,0,1,L,0,0,0,0,,,,62.0,,36.0,43.0,3.0,,5.0,5.0,161.0,4.0,10.0,,2.0,5.0,5.0,125.0,132.0,53.0,7.0,,14.0,3.0,1.0,,,1.0,10.0,12.0,2.0,43.0,2.0,24.0,33.0,151.0,,0.0,81.0,15.0,3.0,1.0,,51.0,33.0,3.0,72.0,1.0,8.0,12.0,4.0,2.0,132.0,,11.0,153.0,719.0,5.0,6.0,18.0,413.0,18.0,,2.0,22.0,,4.0,5.0,2.0,17.0,497.0,49.0,89238,,280.0,,3.0,1.0,303.0,7.0,,12.0,10.0,72.0,3.0,8.0,,10.0,10.0,5.0,60.0,427.0,10.0,22.0,,12.0,81.0,2.0,0.0,8.0,3.0,,1.0,0.0,3.0,,,52.4,17.0,,2.0,2.0,8.0,,1.0,48.0,3.0,,511.0,18.0,18.0,16.0,2.0,13.0,1.0,,218.0,7.0,23.0,22.0,49.0,31.0,,3.0,22.0,14.0,1.0,5.0,2.0,14.0,3.0,9.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694928,2013-09-01 13:30:00,"The Hawthorns, West Bromwich",23395,Away,Swansea City,West Bromwich Albion,2,0,W,1,0,0,0,,1.0,1.0,67.0,,49.0,29.0,6.0,4.0,1.0,1.0,160.0,3.0,9.0,2.0,3.0,10.0,4.0,184.0,120.0,50.0,12.0,2.0,15.0,1.0,,2.0,,,24.0,15.0,1.0,29.0,5.0,39.0,21.0,248.0,2.0,0.0,117.0,14.0,,3.0,2.0,59.0,49.0,7.0,111.0,,19.0,14.0,4.0,3.0,120.0,1.0,7.0,182.0,837.0,7.0,5.0,18.0,564.0,31.0,,2.0,17.0,2.0,3.0,3.0,3.0,12.0,628.0,56.0,89238,5.0,326.0,,12.0,1.0,345.0,7.0,1.0,14.0,8.0,57.0,3.0,9.0,2.0,12.0,3.0,5.0,68.0,571.0,10.0,16.0,1.0,14.0,83.0,1.0,0.0,2.0,1.0,2.0,,0.0,3.0,2.0,,58.0,12.0,,4.0,1.0,9.0,4.0,,61.0,5.0,2.0,637.0,18.0,11.0,14.0,4.0,19.0,,,316.0,8.0,36.0,13.0,86.0,23.0,,,17.0,18.0,,9.0,2.0,12.0,,9.0,5.0,,,,,,1.0,,1.0,,1.0,,,1.0,3.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694939,2013-09-16 20:00:00,"Swansea.com Stadium, Swansea",20752,Home,Swansea City,Liverpool,2,2,D,1,2,0,0,1.0,2.0,,49.0,,47.0,35.0,10.0,6.0,3.0,5.0,183.0,2.0,8.0,2.0,2.0,12.0,9.0,169.0,130.0,56.0,18.0,1.0,14.0,2.0,4.0,1.0,2.0,1.0,26.0,12.0,5.0,35.0,3.0,28.0,40.0,298.0,2.0,0.0,156.0,8.0,2.0,,,88.0,76.0,7.0,107.0,2.0,23.0,11.0,11.0,4.0,130.0,,7.0,169.0,836.0,11.0,9.0,21.0,538.0,14.0,1.0,1.0,19.0,1.0,2.0,2.0,5.0,24.0,616.0,73.0,89238,3.0,254.0,,12.0,,266.0,2.0,1.0,11.0,5.0,43.0,1.0,3.0,2.0,8.0,5.0,3.0,60.0,550.0,10.0,7.0,,5.0,80.0,2.0,0.0,7.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,58.9,23.0,1.0,3.0,,3.0,2.0,,57.0,3.0,,628.0,21.0,6.0,24.0,7.0,26.0,,3.0,388.0,11.0,28.0,22.0,116.0,28.0,1.0,,19.0,18.0,1.0,16.0,2.0,18.0,,2.0,3.0,1.0,1.0,,,3.0,1.0,,,,,,,,2.0,,,1.0,1.0,,2.0,,,,1.0,2.0,,,,,,,1.0,1.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694943,2013-09-22 13:30:00,"Selhurst Park, London",22466,Away,Swansea City,Crystal Palace,2,0,W,1,0,0,0,,2.0,2.0,67.0,,47.0,49.0,7.0,5.0,1.0,3.0,192.0,5.0,8.0,2.0,2.0,13.0,7.0,134.0,128.0,49.0,15.0,3.0,22.0,2.0,2.0,2.0,3.0,,22.0,14.0,3.0,49.0,8.0,26.0,28.0,220.0,,0.0,126.0,11.0,,1.0,1.0,51.0,80.0,10.0,103.0,,14.0,14.0,3.0,1.0,128.0,3.0,,121.0,787.0,8.0,3.0,20.0,476.0,34.0,,5.0,25.0,2.0,2.0,4.0,3.0,17.0,534.0,49.0,89238,4.0,271.0,2.0,10.0,,287.0,1.0,2.0,14.0,8.0,60.0,4.0,4.0,2.0,15.0,9.0,5.0,65.0,486.0,12.0,9.0,3.0,20.0,76.0,,0.0,6.0,,2.0,,0.0,3.0,1.0,1.0,56.6,15.0,1.0,4.0,,4.0,4.0,,48.0,8.0,1.0,550.0,20.0,12.0,23.0,4.0,16.0,2.0,2.0,285.0,9.0,25.0,15.0,101.0,22.0,1.0,2.0,25.0,16.0,,12.0,3.0,16.0,2.0,9.0,8.0,1.0,,,,,1.0,,,,1.0,,,3.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,,4.0,,3.0,2.0,,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694959,2013-09-28 17:30:00,"Swansea.com Stadium, Swansea",20712,Home,Swansea City,Arsenal,1,2,L,0,0,0,0,,,1.0,56.0,,39.0,7.0,7.0,1.0,2.0,2.0,201.0,1.0,7.0,1.0,2.0,6.0,3.0,165.0,142.0,45.0,10.0,1.0,27.0,1.0,1.0,1.0,,,20.0,11.0,1.0,7.0,4.0,25.0,50.0,290.0,3.0,0.0,183.0,6.0,1.0,1.0,2.0,62.0,96.0,4.0,102.0,1.0,16.0,19.0,7.0,5.0,142.0,1.0,7.0,156.0,812.0,5.0,4.0,16.0,526.0,24.0,,2.0,3.0,1.0,3.0,2.0,2.0,22.0,609.0,86.0,89238,1.0,250.0,1.0,8.0,,261.0,2.0,,19.0,7.0,57.0,3.0,8.0,1.0,14.0,3.0,6.0,52.0,539.0,11.0,8.0,,5.0,84.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,,58.5,21.0,,3.0,,8.0,2.0,,62.0,4.0,2.0,624.0,16.0,14.0,29.0,5.0,21.0,,,383.0,9.0,24.0,12.0,129.0,20.0,,3.0,3.0,16.0,2.0,8.0,2.0,11.0,3.0,10.0,4.0,,,,,1.0,,1.0,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694967,2013-10-06 13:30:00,"St. Mary's Stadium, Southampton",28570,Away,Swansea City,Southampton,0,2,L,0,1,0,0,,,,53.0,,50.0,18.0,7.0,1.0,2.0,4.0,150.0,9.0,9.0,,6.0,15.0,7.0,136.0,141.0,48.0,17.0,1.0,15.0,3.0,1.0,,1.0,1.0,29.0,12.0,4.0,18.0,4.0,24.0,47.0,232.0,1.0,0.0,155.0,8.0,2.0,3.0,,54.0,86.0,9.0,82.0,1.0,25.0,13.0,4.0,2.0,141.0,1.0,5.0,129.0,713.0,15.0,8.0,18.0,403.0,19.0,1.0,8.0,15.0,,1.0,3.0,6.0,26.0,479.0,56.0,89238,8.0,195.0,1.0,18.0,,216.0,1.0,,13.0,7.0,49.0,1.0,8.0,,12.0,7.0,2.0,71.0,418.0,13.0,4.0,,12.0,74.0,2.0,0.0,7.0,,,2.0,0.0,9.0,,6.0,57.4,25.0,3.0,6.0,,8.0,3.0,,46.0,4.0,,497.0,18.0,8.0,25.0,7.0,16.0,,4.0,310.0,10.0,20.0,13.0,122.0,19.0,,4.0,15.0,14.0,2.0,16.0,1.0,24.0,4.0,6.0,4.0,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,3.0,,,2.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,694978,2013-10-19 15:00:00,"Swansea.com Stadium, Swansea",20245,Home,Swansea City,Sunderland,4,0,W,0,0,0,0,,,1.0,53.0,,26.0,12.0,5.0,1.0,1.0,3.0,181.0,8.0,4.0,4.0,6.0,10.0,6.0,182.0,127.0,35.0,14.0,1.0,9.0,2.0,1.0,1.0,1.0,2.0,25.0,10.0,2.0,12.0,6.0,39.0,18.0,274.0,,0.0,150.0,12.0,,2.0,,44.0,76.0,6.0,90.0,1.0,19.0,12.0,10.0,1.0,127.0,1.0,5.0,175.0,792.0,6.0,6.0,13.0,539.0,23.0,1.0,2.0,3.0,1.0,1.0,,4.0,16.0,613.0,46.0,89238,4.0,287.0,1.0,7.0,2.0,308.0,4.0,2.0,12.0,4.0,48.0,2.0,5.0,1.0,7.0,1.0,2.0,38.0,553.0,13.0,7.0,3.0,10.0,75.0,2.0,0.0,2.0,,3.0,,0.0,5.0,,3.0,63.9,16.0,2.0,1.0,1.0,7.0,3.0,,49.0,7.0,,628.0,13.0,9.0,8.0,5.0,22.0,3.0,4.0,345.0,9.0,37.0,9.0,123.0,22.0,1.0,1.0,3.0,10.0,,8.0,3.0,15.0,1.0,6.0,7.0,1.0,1.0,,,1.0,,,1.0,,,1.0,1.0,2.0,3.0,,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,694989,2013-10-27 16:00:00,"Swansea.com Stadium, Swansea",20455,Home,Swansea City,West Ham United,0,0,D,0,0,0,0,,1.0,,49.0,,30.0,32.0,3.0,3.0,3.0,1.0,173.0,3.0,8.0,,1.0,8.0,5.0,151.0,157.0,45.0,10.0,1.0,17.0,4.0,1.0,,2.0,,24.0,13.0,1.0,32.0,9.0,28.0,29.0,234.0,1.0,0.0,142.0,12.0,2.0,1.0,1.0,46.0,64.0,6.0,72.0,1.0,15.0,15.0,7.0,2.0,157.0,2.0,12.0,182.0,797.0,7.0,6.0,12.0,468.0,15.0,,4.0,13.0,,1.0,4.0,2.0,22.0,561.0,69.0,89238,4.0,253.0,2.0,7.0,,270.0,3.0,,15.0,13.0,42.0,2.0,9.0,,21.0,3.0,7.0,48.0,484.0,12.0,3.0,1.0,15.0,83.0,1.0,0.0,6.0,3.0,,,0.0,,,3.0,67.0,22.0,,5.0,,9.0,3.0,1.0,44.0,9.0,1.0,578.0,12.0,3.0,14.0,2.0,24.0,3.0,,332.0,4.0,28.0,9.0,99.0,18.0,,2.0,13.0,17.0,,6.0,2.0,17.0,2.0,6.0,9.0,1.0,1.0,,1.0,1.0,,1.0,,,,,3.0,1.0,2.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
10,694991,2013-11-03 16:00:00,"Cardiff City Stadium, Cardiff",27463,Away,Swansea City,Cardiff City,0,1,L,0,0,1,0,,2.0,,42.0,,36.0,19.0,5.0,5.0,2.0,1.0,154.0,4.0,5.0,,1.0,6.0,3.0,131.0,133.0,53.0,10.0,2.0,18.0,1.0,1.0,,1.0,1.0,19.0,10.0,2.0,19.0,3.0,33.0,42.0,188.0,1.0,0.0,117.0,7.0,,,1.0,40.0,57.0,3.0,92.0,1.0,16.0,15.0,8.0,1.0,133.0,,4.0,143.0,706.0,6.0,2.0,13.0,423.0,18.0,,4.0,14.0,,1.0,3.0,3.0,21.0,504.0,60.0,89238,2.0,252.0,,8.0,,281.0,1.0,,15.0,7.0,48.0,5.0,5.0,,5.0,5.0,4.0,58.0,436.0,11.0,6.0,,20.0,60.0,1.0,0.0,6.0,1.0,,1.0,1.0,4.0,,,54.7,20.0,,1.0,2.0,5.0,3.0,,33.0,3.0,1.0,520.0,13.0,12.0,22.0,4.0,19.0,,3.0,258.0,5.0,28.0,25.0,84.0,16.0,,5.0,14.0,15.0,1.0,9.0,3.0,11.0,5.0,9.0,3.0,1.0,,,,1.0,1.0,,,,,,1.0,2.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
