playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,totalShots,throughBalls,unsuccessfulCrossesOpenPlay,substituteOn,successfulCrossesAndCorners,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,homeGoals,rightFootGoals,leftFootGoals,headedGoals,iboxBlocked,blocks,shotsBlockedOutsideBox,handballsConceded,offsides,unsuccessfulLayoffs,penaltiesConceded,clearancesOffTheLine,overruns,successfulLayoffs,shotsOnTargetOutsideBox,oboxTarget,expectedGoalsFreekick,setPiecesGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,redCards2ndYellow,penaltiesTaken,penaltyGoals,foulWonPenalty
59949,Séamus Coleman,Defender,Everton,Ireland,2024-25,4.0,,0.0304,0.0,,3.0,,9.0,5.0,,3.0,17.0,74.0,,,3.0,,,215.0,1.0,10.0,,8.0,49.0,,,4.2185,,1.0,7.0,4.0,3.0,3.0,,1.0,0.0,14.0,,46.0,7.0,5.0,,,1.0,,35.0,4.0,11.0,2.0,0.0,,74.0,3.0,28.0,,,18.0,1.0,8.0,127.0,,2.0,22.0,,1.0,8.0,3.0,,1.0,,4.0,2.0,,4.0,4.0,2.0,2.0,1.0,4.0,2.0,,2.0,4.0,,7.0,17.0,2.0,,0.5696,,1.0,0.2459,,,,1.0,1.0,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,
480455,Jarrad Branthwaite,Defender,Everton,England,2024-25,68.0,,0.6035,0.0,,36.0,,100.0,30.0,1.0,28.0,203.0,1184.0,10.0,,105.0,8.0,,2510.0,43.0,118.0,3.0,56.0,896.0,,,32.9358,2.0,19.0,188.0,28.0,25.0,380.0,,18.0,0.0,186.0,,518.0,93.0,30.0,,,16.0,4.0,356.0,25.0,81.0,62.0,0.0,10.0,1136.0,2.0,228.0,,,175.0,27.0,85.0,1558.0,,49.0,625.0,,4.0,103.0,50.0,,7.0,1.0,5.0,2.0,,15.0,28.0,,8.0,2.0,5.0,6.0,4.0,20.0,3.0,12.0,111.0,3.0,1.0,6.0,1.2016,3.0,3.0,0.7272,,,,3.0,3.0,3.0,,,,,3.0,23.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
474907,Reece Welch,Defender,Everton U21,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496178,Roman Dixon,Defender,Everton U21,England,2024-25,6.0,,0.0026,0.0,,5.0,,5.0,1.0,,1.0,7.0,16.0,,,3.0,,,90.0,3.0,5.0,1.0,5.0,8.0,,,2.5627,,,2.0,4.0,3.0,,,,0.0,11.0,,12.0,6.0,1.0,,,,,3.0,3.0,8.0,,0.0,,16.0,,13.0,,,3.0,1.0,1.0,38.0,,1.0,6.0,,0.0,2.0,3.0,,,,,,,1.0,,1.0,1.0,3.0,,3.0,,5.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179519,Orel Mangala,Midfielder,Everton,Belgium,2024-25,56.0,,0.6116,0.0,,16.0,,40.0,19.0,,14.0,47.0,483.0,,,14.0,3.0,,1255.0,8.0,53.0,1.0,47.0,421.0,,,16.3497,8.0,2.0,21.0,10.0,48.0,145.0,,17.0,0.0,109.0,,115.0,49.0,19.0,,,8.0,,251.0,9.0,95.0,6.0,0.0,,479.0,3.0,88.0,,,145.0,21.0,15.0,663.0,1.0,5.0,186.0,,2.0,7.0,15.0,1.0,14.0,,5.0,5.0,1.0,15.0,13.0,,5.0,9.0,5.0,21.0,8.0,8.0,14.0,24.0,78.0,,4.0,14.0,1.1205,2.0,6.0,1.8663,1.0,0.0,2.0,2.0,2.0,,1.0,1.0,,,,3.0,2.0,,2.0,,,1.0,2.0,10.0,3.0,3.0,,,,,,,,,,,,
121599,Abdoulaye Doucouré,Midfielder,Everton,Mali,2024-25,178.0,,1.3995,1.0,,48.0,,135.0,33.0,2.0,31.0,151.0,875.0,,,75.0,6.0,,2577.0,45.0,107.0,3.0,77.0,701.0,,,36.8794,26.0,3.0,19.0,33.0,133.0,254.0,,5.0,2.0,285.0,,203.0,150.0,33.0,,,20.0,,432.0,30.0,210.0,30.0,0.0,,861.0,14.0,278.0,,,241.0,10.0,23.0,1231.0,,7.0,293.0,,3.0,16.0,37.0,1.0,18.0,,22.0,2.0,1.0,52.0,71.0,,25.0,21.0,22.0,59.0,8.0,28.0,24.0,49.0,177.0,,14.0,23.0,4.1411,13.0,10.0,3.3824,3.0,1.0,1.0,7.0,7.0,12.0,2.0,2.0,,1.0,12.0,6.0,1.0,3.0,10.0,3.0,,,3.0,26.0,,,,,,,,,,,1.0,,,
502697,Charly Alcaraz,Midfielder,Everton,Argentina,2024-25,52.0,,0.0264,0.0,,11.0,,37.0,16.0,3.0,7.0,45.0,271.0,,,24.0,,,770.0,9.0,47.0,1.0,32.0,210.0,,,,11.0,,10.0,9.0,43.0,92.0,,12.0,0.0,99.0,,76.0,39.0,16.0,,,6.0,,163.0,8.0,75.0,15.0,0.0,,268.0,4.0,91.0,,,48.0,6.0,16.0,429.0,,2.0,68.0,,4.0,8.0,13.0,4.0,21.0,1.0,4.0,9.0,5.0,17.0,22.0,1.0,7.0,9.0,7.0,22.0,9.0,5.0,9.0,14.0,55.0,6.0,5.0,8.0,0.0684,6.0,12.0,0.2086,2.0,2.0,,1.0,1.0,,0.0,1.0,,1.0,,2.0,,,1.0,,,,1.0,13.0,,,,,4.0,1.0,,1.0,2.0,1.0,,,,
80801,Idrissa Gueye,Midfielder,Everton,Senegal,2024-25,168.0,,1.9676,0.0,,133.0,,137.0,37.0,3.0,35.0,181.0,1401.0,,,40.0,11.0,,3067.0,15.0,221.0,4.0,196.0,1143.0,,,43.9971,16.0,11.0,34.0,39.0,153.0,355.0,,46.0,0.0,389.0,,411.0,194.0,37.0,,,53.0,1.0,655.0,35.0,349.0,25.0,0.0,,1381.0,5.0,283.0,,,385.0,48.0,77.0,1930.0,1.0,19.0,569.0,,9.0,44.0,45.0,4.0,20.0,2.0,3.0,2.0,4.0,61.0,21.0,1.0,39.0,19.0,3.0,57.0,15.0,80.0,18.0,55.0,250.0,6.0,10.0,36.0,1.0856,7.0,5.0,0.4665,,,7.0,1.0,1.0,,,,,,,9.0,7.0,,,,,,2.0,24.0,4.0,4.0,,,,,,,,,,,,
463903,Jesper Lindstrøm,Midfielder,Everton,Denmark,2024-25,118.0,,1.9501,0.0,,45.0,,62.0,25.0,1.0,15.0,74.0,348.0,,,18.0,1.0,,1240.0,12.0,69.0,,63.0,264.0,,,15.1613,18.0,,14.0,14.0,106.0,34.0,,10.0,0.0,187.0,,78.0,70.0,25.0,,,20.0,,196.0,14.0,169.0,6.0,0.0,,345.0,15.0,218.0,,,140.0,12.0,10.0,679.0,,4.0,95.0,,2.0,12.0,15.0,9.0,20.0,1.0,29.0,10.0,17.0,30.0,44.0,,12.0,31.0,54.0,55.0,10.0,25.0,8.0,15.0,96.0,6.0,14.0,6.0,2.1208,8.0,10.0,1.2679,,,7.0,5.0,5.0,1.0,,,,,1.0,3.0,7.0,,1.0,1.0,,,1.0,12.0,5.0,5.0,0.2527,,25.0,4.0,6.0,6.0,18.0,,,,,
232928,James Garner,Midfielder,Everton,England,2024-25,70.0,,1.376,0.0,,47.0,,98.0,21.0,1.0,17.0,125.0,698.0,,,24.0,4.0,,1594.0,13.0,80.0,4.0,69.0,545.0,,,22.9936,12.0,7.0,34.0,19.0,57.0,186.0,,15.0,0.0,150.0,,228.0,73.0,21.0,,,16.0,,321.0,15.0,126.0,11.0,0.0,,659.0,7.0,229.0,,,145.0,23.0,28.0,1024.0,1.0,10.0,267.0,,5.0,27.0,35.0,5.0,10.0,2.0,23.0,4.0,15.0,39.0,15.0,19.0,16.0,12.0,42.0,21.0,6.0,31.0,7.0,20.0,139.0,23.0,6.0,13.0,0.6837,2.0,4.0,0.7182,,,1.0,3.0,3.0,1.0,,,,,1.0,4.0,1.0,1.0,,,,,,6.0,1.0,1.0,0.0389,,23.0,6.0,1.0,1.0,16.0,,,,,
490094,Tim Iroegbunam,Midfielder,Everton,England,2024-25,54.0,,0.1347,0.0,,29.0,,36.0,18.0,1.0,5.0,40.0,155.0,,,15.0,,,564.0,4.0,60.0,2.0,49.0,107.0,,,13.2742,2.0,,11.0,16.0,50.0,38.0,,12.0,0.0,114.0,,62.0,51.0,18.0,,,15.0,,63.0,14.0,99.0,11.0,0.0,,155.0,1.0,83.0,,,34.0,16.0,8.0,311.0,,1.0,52.0,,4.0,4.0,12.0,,3.0,,1.0,13.0,,19.0,12.0,,14.0,8.0,1.0,26.0,3.0,14.0,8.0,15.0,21.0,,2.0,10.0,0.2376,2.0,,,,,2.0,,,,,,,,,4.0,2.0,,,,,,3.0,1.0,,,,,,,,,,,,,,
547801,Callum Bates,Midfielder,Everton U21,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433154,Dwight McNeil,Midfielder,Everton U21,England,2024-25,88.0,,4.3207,0.0,,13.0,,67.0,21.0,6.0,15.0,88.0,505.0,,,20.0,3.0,,1371.0,17.0,58.0,3.0,55.0,401.0,,,21.1858,31.0,2.0,2.0,24.0,71.0,115.0,,18.0,1.0,146.0,,136.0,76.0,21.0,,,5.0,,332.0,21.0,126.0,3.0,0.0,,470.0,15.0,238.0,,,106.0,6.0,16.0,827.0,,4.0,124.0,,1.0,21.0,18.0,11.0,19.0,8.0,35.0,6.0,39.0,23.0,27.0,,7.0,20.0,66.0,53.0,9.0,8.0,24.0,6.0,148.0,5.0,5.0,5.0,1.0887,6.0,10.0,1.872,4.0,1.0,3.0,4.0,4.0,3.0,3.0,,4.0,,3.0,,3.0,,1.0,1.0,,,1.0,13.0,2.0,2.0,,,45.0,20.0,,,21.0,,,,,
177815,Dominic Calvert-Lewin,Forward,Leeds United,England,2024-25,156.0,,0.6652,0.0,,9.0,,99.0,26.0,1.0,19.0,103.0,282.0,,,170.0,3.0,,1613.0,84.0,127.0,2.0,41.0,177.0,,,24.1778,6.0,,23.0,18.0,72.0,64.0,,23.0,0.0,283.0,,79.0,35.0,26.0,,,2.0,,135.0,16.0,113.0,86.0,0.0,,281.0,12.0,233.0,,,60.0,7.0,2.0,596.0,1.0,2.0,45.0,,2.0,4.0,15.0,1.0,42.0,,5.0,7.0,1.0,17.0,96.0,,5.0,13.0,5.0,46.0,22.0,7.0,10.0,27.0,79.0,1.0,11.0,11.0,6.7498,8.0,20.0,4.8722,3.0,1.0,1.0,16.0,16.0,7.0,2.0,2.0,,1.0,7.0,2.0,1.0,2.0,27.0,7.0,,,2.0,16.0,1.0,1.0,,,,,,,,,,,,
440993,Iliman Ndiaye,Forward,Everton,Senegal,2024-25,176.0,,1.3518,0.0,,53.0,,97.0,33.0,,29.0,104.0,691.0,,,27.0,7.0,,2440.0,19.0,179.0,3.0,171.0,572.0,,,29.3778,18.0,,15.0,24.0,157.0,208.0,,52.0,3.0,355.0,,167.0,172.0,33.0,,,25.0,,384.0,21.0,328.0,8.0,0.0,,678.0,15.0,305.0,,,103.0,20.0,15.0,1246.0,,3.0,213.0,,3.0,7.0,28.0,9.0,27.0,2.0,22.0,4.0,10.0,47.0,91.0,,25.0,64.0,28.0,108.0,9.0,28.0,68.0,24.0,213.0,5.0,15.0,16.0,6.2444,10.0,18.0,7.688,9.0,4.0,5.0,8.0,8.0,5.0,5.0,6.0,3.0,,5.0,5.0,5.0,2.0,5.0,,,3.0,8.0,26.0,1.0,1.0,,,10.0,1.0,,,5.0,,,2.0,2.0,
221399,Jack Harrison,Forward,Leeds United,England,2024-25,156.0,,3.1335,0.0,,32.0,,110.0,34.0,,24.0,137.0,513.0,,,32.0,2.0,,2083.0,28.0,88.0,3.0,84.0,363.0,,,32.874,33.0,3.0,31.0,27.0,128.0,67.0,,28.0,0.0,244.0,,163.0,73.0,34.0,,,10.0,,284.0,24.0,212.0,4.0,0.0,,499.0,14.0,383.0,,,146.0,10.0,13.0,1041.0,,10.0,123.0,,0.0,27.0,33.0,16.0,19.0,4.0,73.0,10.0,31.0,49.0,73.0,1.0,16.0,43.0,100.0,84.0,12.0,22.0,24.0,13.0,137.0,7.0,16.0,7.0,3.5209,10.0,7.0,1.0704,1.0,1.0,1.0,4.0,4.0,9.0,0.0,,1.0,,9.0,2.0,1.0,,4.0,,,,2.0,15.0,2.0,2.0,,,32.0,10.0,,,18.0,1.0,,,,1.0
486385,Beto,Forward,Everton,Guinea-Bissau,2024-25,195.0,,0.4692,0.0,,14.0,,104.0,30.0,,15.0,109.0,264.0,,,204.0,1.0,,1528.0,105.0,155.0,3.0,56.0,152.0,,,22.6832,12.0,2.0,24.0,24.0,90.0,63.0,,23.0,0.0,350.0,,57.0,40.0,30.0,,,8.0,,89.0,21.0,146.0,99.0,0.0,,260.0,11.0,244.0,,,61.0,4.0,3.0,601.0,2.0,3.0,67.0,,2.0,5.0,20.0,1.0,41.0,1.0,3.0,15.0,1.0,23.0,92.0,,10.0,17.0,3.0,54.0,18.0,6.0,19.0,33.0,83.0,,9.0,14.0,8.2603,8.0,23.0,9.2618,8.0,2.0,3.0,13.0,13.0,5.0,6.0,5.0,1.0,2.0,5.0,2.0,3.0,,16.0,8.0,,,7.0,19.0,2.0,2.0,,,1.0,,,,,,,,,
491012,Youssef Chermiti,Forward,Everton U21,Portugal,2024-25,4.0,,0.0018,0.0,,,,4.0,4.0,,,4.0,10.0,,,3.0,,,42.0,1.0,4.0,,2.0,5.0,,,1.1122,,,,,3.0,4.0,,1.0,0.0,8.0,,3.0,,4.0,,,,,4.0,,5.0,2.0,0.0,,10.0,2.0,6.0,,,1.0,,1.0,18.0,,,2.0,,1.0,,1.0,,1.0,,1.0,4.0,,,3.0,,,,1.0,1.0,,,1.0,1.0,2.0,,,,0.1079,2.0,1.0,0.0304,,,,1.0,1.0,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,
115382,Neal Maupay,Forward,Everton,France,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440323,Armando Broja,Forward,Burnley,Albania,2024-25,47.0,,,0.0,,3.0,,18.0,10.0,,4.0,18.0,71.0,,,39.0,,,331.0,21.0,33.0,,15.0,53.0,,,,4.0,,4.0,2.0,26.0,20.0,,4.0,0.0,80.0,,17.0,9.0,10.0,,,2.0,,46.0,2.0,41.0,18.0,0.0,,71.0,,57.0,,,13.0,1.0,,152.0,,,7.0,,1.0,,6.0,,4.0,,1.0,6.0,,4.0,18.0,,3.0,7.0,1.0,20.0,4.0,1.0,8.0,6.0,21.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,1.0,5.0,,,,,,,,,,,,,,
536241,Martin Sherif,Forward,Everton U21,Netherlands,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496279,Isaac Heath,Forward,Everton U21,England,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504296,Coby Ebere,Forward,Everton U21,Germany,2024-25,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
