gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,lostCorners,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,savedObox,saves,attGoalLowCentre,goals,fouledFinalThird,attFreekickTotal,goalAssistOpenplay,freekickCross,freekickTotal,bigChanceCreated,contentiousDecision,attMissHighLeft,goalAssist,bigChanceMissed,attRfGoal,goalsOpenplay,overrun,attIboxGoal,goalAssistIntentional,accurateLayoffs,forwardGoals,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attLfGoal,accurateKeeperSweeper,cleanSheet,divingSave,midfielderGoals,attMissRight,attPostLeft,totalKeeperSweeper,accurateFreekickCross,totalThroughBall,savedIbox,attOboxPost,attHdGoal,goalFastbreak,attOboxTarget,attOneOnOne,attMissHighRight,attSvHighLeft,accurateThroughBall,errorLeadToShot,goalsConcededObox,attGoalLowRight,attOboxGoal,ptsGainedLosingPos,goodHighClaim,attCmissHigh,defenderGoals,attCmissHighLeft,foulThrowIn,totalHighClaim,attFreekickMiss,attSvLowLeft,attGoalHighCentre,ptsDroppedWinningPos,penaltyConceded,penaltyFaced,penGoalsConceded,penaltySave,attFreekickPost,shieldBallOop,attSvHighCentre,attGoalHighRight,attObpGoal,attFreekickTarget,attCmissRight,winningGoal,keeperGoals,subsGoals,attObxdLeft,ownGoals,attPenGoal,attGoalHighLeft,attFreekickGoal,punches,attCmissHighRight,attObxRight,attObxdRight,penaltyWon,attPenTarget,attIboxOwnGoal,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,errorLeadToGoal,secondYellow,attObxLeft,attPenPost
1,2128293,2020-09-12 20:00:00,"London Stadium, London",,Home,West Ham United,Newcastle United,0,2,L,0,0,0,0,2.0,1.0,23.0,59.0,3.0,21.0,18.0,5.0,4.0,10.0,1.0,161.0,9.0,4.0,5.0,11.0,1.0,3.0,119.0,132.0,41.0,15.0,4.0,25.0,3.0,1.0,1.0,1.0,1.0,3.0,30.0,1.0,2.0,18.0,7.0,1.0,39.0,205.0,1.0,0.0,111.0,13.0,1.0,64.0,89.0,7.0,67.0,1.0,23.0,14.0,5.0,9.0,1.0,132.0,10.0,127.0,1.0,640.0,10.0,5.0,28.0,1.0,2.0,7.0,379.0,28.0,4.0,10.0,2.0,6.0,4.0,17.0,452.0,56.0,86934,5.0,192.0,14.0,1.0,1.0,215.0,9.0,1.0,14.0,7.0,57.0,2.0,5.0,6.0,5.0,2.0,1.0,52.0,393.0,7.0,9.0,1.0,12.0,4.0,66.0,1.0,1.0,1.0,0.0,7.0,1.0,2.0,1.0,0.0,3.0,3.0,58.3,13.0,1.0,1.0,2.0,5.0,7.0,44.0,8.0,474.0,7.0,8.0,13.0,5.0,34.0,1.0,3.0,289.0,8.0,17.0,81.0,24.0,1.0,10.0,14.0,2.0,10.0,3.0,10.0,1.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2128296,2020-09-19 20:00:00,"Emirates Stadium, London",,Away,West Ham United,Arsenal,1,2,L,1,1,0,0,1.0,,17.0,39.0,,22.0,27.0,7.0,4.0,7.0,1.0,128.0,4.0,7.0,5.0,9.0,,3.0,84.0,115.0,40.0,14.0,5.0,17.0,2.0,2.0,,1.0,1.0,4.0,27.0,1.0,5.0,27.0,5.0,3.0,24.0,159.0,,0.0,92.0,13.0,2.0,84.0,48.0,5.0,72.0,1.0,22.0,20.0,7.0,7.0,2.0,115.0,5.0,99.0,1.0,564.0,7.0,5.0,19.0,1.0,1.0,10.0,296.0,16.0,8.0,13.0,1.0,3.0,4.0,19.0,361.0,38.0,86934,4.0,162.0,14.0,,,187.0,4.0,,20.0,5.0,44.0,2.0,3.0,12.0,2.0,3.0,,45.0,314.0,11.0,8.0,1.0,19.0,1.0,66.0,2.0,1.0,,0.0,7.0,1.0,2.0,2.0,0.0,5.0,3.0,37.4,16.0,1.0,2.0,,3.0,5.0,39.0,5.0,383.0,10.0,2.0,9.0,6.0,21.0,2.0,3.0,223.0,7.0,16.0,67.0,16.0,1.0,13.0,10.0,2.0,12.0,3.0,11.0,1.0,13.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2128315,2020-09-27 19:00:00,"London Stadium, London",,Home,West Ham United,Wolverhampton Wanderers,4,0,W,1,0,0,0,,,26.0,63.0,1.0,29.0,17.0,2.0,3.0,13.0,3.0,145.0,12.0,7.0,16.0,12.0,,7.0,83.0,128.0,70.0,15.0,,22.0,4.0,,1.0,1.0,3.0,1.0,9.0,,13.0,17.0,1.0,6.0,38.0,123.0,,0.0,87.0,7.0,,49.0,63.0,6.0,57.0,3.0,8.0,20.0,2.0,2.0,1.0,128.0,4.0,82.0,,560.0,8.0,3.0,20.0,1.0,1.0,12.0,265.0,29.0,4.0,10.0,0.0,5.0,6.0,19.0,344.0,54.0,86934,9.0,164.0,5.0,,2.0,182.0,6.0,,20.0,7.0,65.0,3.0,4.0,12.0,7.0,4.0,2.0,61.0,280.0,11.0,20.0,2.0,19.0,1.0,65.0,,1.0,,0.0,3.0,,,,0.0,6.0,4.0,36.9,13.0,2.0,7.0,1.0,4.0,1.0,34.0,1.0,367.0,12.0,12.0,21.0,7.0,21.0,1.0,5.0,194.0,7.0,19.0,48.0,19.0,1.0,10.0,24.0,,12.0,3.0,21.0,1.0,10.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,2.0,,2.0,1.0,4.0,1.0,5.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2128321,2020-10-04 12:00:00,"King Power Stadium, Leicester",,Away,West Ham United,Leicester City,3,0,W,2,0,0,0,,1.0,25.0,72.0,2.0,19.0,30.0,2.0,5.0,12.0,1.0,140.0,9.0,6.0,6.0,13.0,,6.0,50.0,125.0,52.0,14.0,1.0,17.0,2.0,3.0,1.0,1.0,1.0,3.0,12.0,1.0,6.0,30.0,4.0,4.0,32.0,94.0,,0.0,79.0,8.0,4.0,41.0,38.0,8.0,44.0,4.0,8.0,22.0,2.0,5.0,,125.0,3.0,62.0,,476.0,7.0,8.0,20.0,1.0,1.0,21.0,197.0,36.0,4.0,13.0,2.0,2.0,5.0,14.0,279.0,50.0,86934,8.0,120.0,1.0,1.0,2.0,146.0,5.0,,22.0,3.0,43.0,2.0,4.0,14.0,1.0,1.0,,54.0,208.0,10.0,11.0,3.0,19.0,1.0,63.0,3.0,1.0,,0.0,6.0,1.0,,3.0,0.0,4.0,6.0,30.5,7.0,4.0,2.0,1.0,5.0,3.0,29.0,4.0,296.0,21.0,3.0,14.0,5.0,19.0,2.0,4.0,162.0,3.0,24.0,37.0,26.0,1.0,13.0,12.0,,10.0,2.0,10.0,1.0,14.0,4.0,3.0,,,,3.0,1.0,,3.0,2.0,,3.0,,,3.0,,,3.0,,3.0,3.0,4.0,1.0,3.0,,,2.0,,1.0,,2.0,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2128334,2020-10-18 16:30:00,"Tottenham Hotspur Stadium, London",,Away,West Ham United,Tottenham Hotspur,3,3,D,0,3,0,0,,1.0,28.0,63.0,5.0,27.0,8.0,3.0,6.0,10.0,1.0,168.0,13.0,6.0,11.0,8.0,,4.0,102.0,164.0,57.0,13.0,,15.0,1.0,,,,1.0,,33.0,,6.0,8.0,7.0,2.0,34.0,212.0,,0.0,142.0,12.0,,117.0,51.0,7.0,67.0,,26.0,27.0,3.0,9.0,1.0,164.0,5.0,122.0,,666.0,7.0,7.0,29.0,,,5.0,356.0,20.0,2.0,6.0,5.0,1.0,1.0,23.0,441.0,61.0,86934,3.0,168.0,14.0,1.0,3.0,188.0,5.0,,27.0,4.0,61.0,3.0,9.0,15.0,6.0,4.0,1.0,49.0,374.0,13.0,10.0,,10.0,2.0,66.0,,,,0.0,3.0,,3.0,3.0,0.0,5.0,2.0,48.8,19.0,1.0,6.0,5.0,9.0,5.0,40.0,7.0,459.0,5.0,18.0,16.0,4.0,39.0,1.0,3.0,304.0,4.0,19.0,101.0,27.0,1.0,6.0,14.0,2.0,7.0,3.0,18.0,1.0,13.0,7.0,,2.0,3.0,,3.0,5.0,1.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,,4.0,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,,2.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2128344,2020-10-24 12:30:00,"London Stadium, London",,Home,West Ham United,Manchester City,1,1,D,1,0,0,0,1.0,,38.0,66.0,,38.0,28.0,4.0,2.0,2.0,1.0,155.0,17.0,2.0,6.0,5.0,,2.0,64.0,140.0,42.0,6.0,1.0,15.0,,1.0,,,,,12.0,,10.0,28.0,2.0,1.0,32.0,103.0,,0.0,76.0,14.0,1.0,36.0,55.0,2.0,51.0,1.0,10.0,20.0,4.0,2.0,2.0,140.0,6.0,55.0,,478.0,4.0,14.0,11.0,,,10.0,204.0,34.0,6.0,15.0,2.0,1.0,3.0,9.0,299.0,43.0,86934,2.0,123.0,7.0,,,156.0,8.0,1.0,20.0,15.0,47.0,1.0,3.0,13.0,8.0,12.0,1.0,76.0,224.0,6.0,11.0,,29.0,,71.0,1.0,,,0.0,10.0,,1.0,4.0,0.0,2.0,1.0,30.5,6.0,1.0,,,3.0,1.0,40.0,2.0,325.0,10.0,4.0,17.0,3.0,22.0,,1.0,181.0,3.0,15.0,47.0,18.0,2.0,15.0,15.0,1.0,6.0,2.0,12.0,2.0,10.0,2.0,,3.0,6.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,2.0,,,,,3.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2128350,2020-10-31 17:30:00,"Anfield, Liverpool",,Away,West Ham United,Liverpool,1,2,L,1,1,0,0,,,26.0,57.0,1.0,22.0,24.0,,1.0,4.0,1.0,143.0,15.0,3.0,6.0,1.0,,3.0,61.0,133.0,56.0,4.0,,16.0,2.0,,,,2.0,,18.0,,7.0,24.0,2.0,4.0,38.0,93.0,,0.0,71.0,14.0,,39.0,43.0,1.0,40.0,3.0,16.0,17.0,,8.0,,133.0,6.0,60.0,,472.0,,7.0,8.0,1.0,,11.0,194.0,34.0,4.0,13.0,1.0,1.0,,11.0,276.0,38.0,86934,4.0,120.0,7.0,,1.0,148.0,9.0,,17.0,8.0,50.0,,1.0,11.0,3.0,4.0,,62.0,210.0,13.0,11.0,1.0,23.0,,62.0,,,,0.0,1.0,,2.0,1.0,0.0,3.0,1.0,27.6,10.0,,2.0,,1.0,1.0,24.0,2.0,304.0,11.0,9.0,17.0,,20.0,,,174.0,2.0,20.0,40.0,12.0,3.0,13.0,18.0,2.0,3.0,3.0,7.0,3.0,11.0,2.0,,1.0,4.0,,1.0,,,,1.0,,,,,,,1.0,1.0,2.0,1.0,,4.0,,1.0,,,,,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2128365,2020-11-07 20:00:00,"London Stadium, London",,Home,West Ham United,Fulham,1,0,W,0,0,0,0,1.0,3.0,19.0,45.0,,25.0,18.0,6.0,6.0,10.0,2.0,155.0,6.0,10.0,5.0,10.0,,7.0,131.0,114.0,49.0,16.0,1.0,23.0,4.0,,,2.0,1.0,3.0,33.0,1.0,5.0,18.0,9.0,1.0,24.0,258.0,1.0,0.0,118.0,10.0,,102.0,89.0,3.0,76.0,2.0,24.0,13.0,6.0,9.0,2.0,114.0,7.0,144.0,1.0,701.0,6.0,3.0,25.0,1.0,2.0,14.0,431.0,17.0,2.0,13.0,2.0,6.0,7.0,18.0,490.0,68.0,86934,5.0,198.0,14.0,,,217.0,5.0,,13.0,6.0,53.0,3.0,3.0,15.0,6.0,6.0,1.0,42.0,446.0,9.0,9.0,3.0,10.0,5.0,67.0,,,,0.0,5.0,2.0,,,0.0,5.0,6.0,53.0,17.0,4.0,4.0,,3.0,1.0,52.0,9.0,506.0,14.0,5.0,13.0,8.0,32.0,5.0,4.0,322.0,4.0,23.0,93.0,21.0,1.0,13.0,14.0,,10.0,3.0,12.0,1.0,6.0,9.0,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,2.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2128373,2020-11-22 14:00:00,"Bramall Lane, Sheffield",,Away,West Ham United,Sheffield United,1,0,W,0,0,0,0,,,30.0,64.0,6.0,40.0,12.0,2.0,3.0,13.0,2.0,183.0,13.0,6.0,8.0,14.0,,3.0,116.0,164.0,58.0,15.0,1.0,21.0,2.0,1.0,3.0,1.0,2.0,3.0,22.0,1.0,8.0,12.0,5.0,9.0,43.0,237.0,,0.0,161.0,6.0,1.0,87.0,84.0,9.0,78.0,1.0,17.0,22.0,2.0,6.0,,164.0,6.0,120.0,1.0,700.0,11.0,9.0,30.0,,1.0,9.0,384.0,27.0,7.0,4.0,0.0,1.0,5.0,27.0,481.0,67.0,86934,7.0,166.0,9.0,1.0,1.0,193.0,4.0,,22.0,3.0,58.0,2.0,4.0,17.0,3.0,3.0,1.0,81.0,397.0,7.0,6.0,3.0,27.0,3.0,75.0,1.0,,1.0,0.0,2.0,1.0,,5.0,0.0,3.0,3.0,49.1,25.0,2.0,4.0,,4.0,7.0,41.0,6.0,497.0,9.0,12.0,21.0,5.0,24.0,3.0,4.0,326.0,9.0,31.0,117.0,27.0,2.0,4.0,12.0,,11.0,2.0,21.0,2.0,12.0,6.0,,2.0,5.0,,1.0,1.0,,,2.0,,2.0,,,,2.0,1.0,1.0,2.0,,,7.0,1.0,,,,,,1.0,4.0,,,,,1.0,,3.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2128385,2020-11-30 20:00:00,"London Stadium, London",,Home,West Ham United,Aston Villa,2,1,W,1,1,0,0,2.0,,29.0,58.0,2.0,26.0,29.0,2.0,1.0,4.0,,132.0,14.0,2.0,5.0,5.0,,2.0,50.0,134.0,49.0,6.0,1.0,30.0,,,,,,,11.0,,4.0,29.0,3.0,2.0,21.0,72.0,,0.0,54.0,20.0,,42.0,28.0,4.0,42.0,,8.0,5.0,2.0,4.0,1.0,134.0,10.0,48.0,,418.0,3.0,14.0,9.0,,,8.0,157.0,28.0,10.0,16.0,1.0,3.0,1.0,17.0,242.0,36.0,86934,2.0,103.0,3.0,,,128.0,13.0,,5.0,11.0,68.0,1.0,1.0,12.0,6.0,5.0,,65.0,173.0,6.0,14.0,,28.0,1.0,80.0,,,,0.0,7.0,,1.0,1.0,0.0,1.0,1.0,34.0,11.0,,4.0,1.0,1.0,3.0,35.0,3.0,272.0,8.0,4.0,7.0,1.0,17.0,1.0,,155.0,3.0,30.0,24.0,17.0,4.0,16.0,9.0,,4.0,3.0,7.0,4.0,1.0,3.0,1.0,3.0,5.0,1.0,2.0,,,1.0,1.0,,1.0,,,2.0,,,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,,,,3.0,,,,,,1.0,2.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
