gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attPostHigh,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,goals,attCmissRight,attSvLowCentre,attOboxTarget,attSvHighRight,attSvLowLeft,attHdTarget,accurateThroughBall,accurateFreekickCross,attSetpiece,penaltyConceded,attRfGoal,goalsOpenplay,attGoalHighLeft,attSvLowRight,savedIbox,attIboxGoal,accurateCrossNocorner,shieldBallOop,penaltyFaced,penGoalsConceded,forwardGoals,handBall,attFreekickTotal,freekickTotal,attMissHighLeft,totalPullBack,attFreekickMiss,attLfGoal,attGoalLowCentre,goalAssistOpenplay,attGoalHighRight,cleanSheet,attOboxGoal,midfielderGoals,goalAssist,sixYardBlock,attLgCentre,attOboxPost,attGoalLowLeft,goalAssistSetplay,attGoalHighCentre,attCmissHigh,goalAssistIntentional,attHdGoal,attSvHighLeft,attOneOnOne,secondYellow,ptsDroppedWinningPos,foulThrowIn,attPostRight,accuratePullBack,attLgLeft,errorLeadToGoal,goalAssistDeadball,ptsGainedLosingPos,attObxdLeft,attObpGoal,attFreekickTarget,penaltySave,attPenTarget,penaltyWon,shotFastbreak,totalFastbreak,defenderGoals,attCmissHighLeft,attFastbreak,attPenGoal,attCmissLeft,goalFastbreak,attObxLeft,clearanceOffLine,ownGoals,attFreekickGoal,attIboxOwnGoal
1,918898,2017-08-13 16:00:00,"Old Trafford, Manchester",74928,Away,West Ham United,Manchester United,0,4,L,0,1,0,0,1.0,61.0,1.0,1.0,25.0,26.0,3.0,2.0,6.0,1.0,1.0,140.0,1.0,3.0,5.0,7.0,1.0,101.0,129.0,56.0,9.0,1.0,23.0,1.0,1.0,1.0,2.0,1.0,14.0,1.0,16.0,26.0,1.0,16.0,32.0,147.0,1.0,0.0,112.0,7.0,1.0,4.0,1.0,58.0,46.0,2.0,48.0,3.0,1.0,13.0,13.0,3.0,1.0,2.0,129.0,1.0,1.0,13.0,108.0,1.0,584.0,6.0,6.0,12.0,1.0,12.0,295.0,32.0,3.0,10.0,2.0,2.0,8.0,5.0,13.0,362.0,56.0,1.0,8380,3.0,170.0,1.0,8.0,188.0,3.0,13.0,13.0,65.0,1.0,4.0,5.0,10.0,8.0,6.0,2.0,53.0,316.0,19.0,23.0,1.0,13.0,73.0,2.0,0.0,3.0,11.0,1.0,4.0,1.0,1.0,0.0,2.0,44.6,9.0,1.0,2.0,2.0,1.0,5.0,2.0,40.0,1.0,1.0,397.0,12.0,12.0,18.0,6.0,20.0,1.0,3.0,223.0,5.0,16.0,13.0,74.0,21.0,3.0,10.0,21.0,3.0,8.0,3.0,5.0,3.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,919210,2017-08-19 15:00:00,"St. Mary's Stadium, Southampton",31424,Away,West Ham United,Southampton,2,3,L,1,2,1,0,,44.0,1.0,1.0,34.0,38.0,3.0,1.0,13.0,2.0,,118.0,10.0,6.0,1.0,12.0,8.0,62.0,120.0,61.0,16.0,1.0,16.0,5.0,,,,,18.0,,9.0,38.0,2.0,3.0,23.0,104.0,,0.0,93.0,10.0,1.0,4.0,,34.0,35.0,7.0,46.0,2.0,6.0,16.0,13.0,3.0,8.0,1.0,120.0,,2.0,7.0,61.0,,455.0,6.0,11.0,14.0,1.0,12.0,169.0,15.0,5.0,21.0,,1.0,3.0,5.0,13.0,250.0,64.0,,73889,10.0,98.0,,4.0,113.0,5.0,13.0,12.0,39.0,1.0,,,4.0,7.0,6.0,,79.0,192.0,18.0,3.0,6.0,31.0,73.0,2.0,0.0,1.0,7.0,,3.0,3.0,,1.0,8.0,33.9,11.0,3.0,,,2.0,,2.0,36.0,2.0,,287.0,12.0,8.0,12.0,6.0,26.0,2.0,5.0,192.0,6.0,3.0,25.0,42.0,20.0,1.0,21.0,12.0,3.0,9.0,3.0,8.0,1.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918919,2017-08-26 15:00:00,"St. James' Park, Newcastle",52093,Away,West Ham United,Newcastle United,0,3,L,0,1,0,0,,50.0,2.0,,51.0,22.0,5.0,4.0,3.0,5.0,1.0,174.0,2.0,8.0,3.0,4.0,3.0,109.0,160.0,57.0,8.0,,25.0,2.0,,,,1.0,15.0,,13.0,22.0,5.0,12.0,34.0,133.0,,0.0,83.0,11.0,4.0,2.0,,54.0,59.0,2.0,74.0,,1.0,10.0,17.0,5.0,4.0,4.0,160.0,,,10.0,116.0,,661.0,4.0,8.0,10.0,,7.0,337.0,23.0,6.0,13.0,,3.0,3.0,2.0,32.0,441.0,64.0,,86934,2.0,227.0,1.0,4.0,262.0,6.0,17.0,11.0,56.0,,2.0,6.0,9.0,7.0,7.0,2.0,102.0,358.0,16.0,8.0,,39.0,95.0,,0.0,3.0,7.0,,3.0,1.0,,0.0,1.0,62.5,28.0,,2.0,1.0,1.0,6.0,,41.0,5.0,,473.0,7.0,6.0,17.0,5.0,17.0,1.0,1.0,226.0,3.0,10.0,16.0,41.0,16.0,2.0,13.0,17.0,3.0,7.0,3.0,16.0,2.0,6.0,5.0,1.0,,,,,2.0,1.0,,,1.0,,,,,,,,,3.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918932,2017-09-11 20:00:00,"London Stadium, London",56977,Home,West Ham United,Huddersfield Town,2,0,W,0,0,0,0,,52.0,2.0,3.0,35.0,23.0,9.0,8.0,10.0,2.0,,137.0,7.0,4.0,5.0,12.0,3.0,61.0,155.0,71.0,19.0,3.0,26.0,,,1.0,,2.0,32.0,1.0,11.0,23.0,10.0,1.0,24.0,131.0,3.0,0.0,113.0,11.0,2.0,2.0,,47.0,54.0,7.0,43.0,,3.0,22.0,23.0,9.0,8.0,4.0,155.0,1.0,,4.0,70.0,,535.0,7.0,12.0,15.0,1.0,10.0,202.0,23.0,9.0,14.0,,1.0,7.0,5.0,27.0,293.0,74.0,,8380,7.0,92.0,1.0,12.0,110.0,8.0,23.0,4.0,64.0,,,3.0,12.0,6.0,1.0,1.0,69.0,216.0,12.0,8.0,4.0,30.0,72.0,,0.0,1.0,3.0,1.0,,3.0,,0.0,1.0,43.5,24.0,1.0,5.0,1.0,,3.0,6.0,37.0,10.0,,311.0,10.0,14.0,17.0,10.0,38.0,2.0,5.0,233.0,8.0,1.0,34.0,61.0,18.0,5.0,14.0,21.0,,12.0,3.0,9.0,5.0,10.0,10.0,1.0,1.0,,2.0,1.0,,1.0,,1.0,,,2.0,1.0,,,1.0,,,,1.0,5.0,,,,,,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918942,2017-09-16 15:00:00,"The Hawthorns, West Bromwich",24942,Away,West Ham United,West Bromwich Albion,0,0,D,0,0,0,0,,51.0,,1.0,50.0,16.0,4.0,2.0,4.0,1.0,1.0,127.0,8.0,5.0,6.0,7.0,1.0,148.0,126.0,45.0,9.0,2.0,6.0,,,1.0,,1.0,33.0,,6.0,16.0,3.0,6.0,32.0,201.0,,0.0,107.0,7.0,,6.0,,83.0,63.0,3.0,73.0,,1.0,30.0,14.0,5.0,15.0,1.0,126.0,,,4.0,139.0,,647.0,5.0,10.0,9.0,1.0,7.0,398.0,20.0,11.0,8.0,,2.0,2.0,4.0,22.0,465.0,71.0,,8380,4.0,221.0,,9.0,231.0,4.0,14.0,7.0,29.0,1.0,2.0,4.0,11.0,2.0,5.0,2.0,80.0,414.0,14.0,9.0,2.0,25.0,83.0,,0.0,5.0,2.0,1.0,,3.0,,0.0,2.0,63.2,19.0,2.0,4.0,,,4.0,3.0,58.0,3.0,,487.0,7.0,3.0,17.0,5.0,27.0,2.0,3.0,289.0,4.0,5.0,15.0,61.0,21.0,,8.0,11.0,,7.0,3.0,9.0,,2.0,3.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,6.0,,,,,,,,,2.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918952,2017-09-23 12:30:00,"London Stadium, London",56988,Home,West Ham United,Tottenham Hotspur,2,3,L,0,2,0,1,,65.0,1.0,,49.0,23.0,4.0,3.0,6.0,2.0,1.0,151.0,5.0,6.0,4.0,8.0,4.0,68.0,173.0,60.0,10.0,1.0,22.0,2.0,2.0,,2.0,,26.0,,15.0,23.0,3.0,10.0,39.0,148.0,2.0,0.0,111.0,10.0,1.0,2.0,,90.0,56.0,4.0,58.0,1.0,1.0,23.0,25.0,4.0,12.0,3.0,173.0,1.0,1.0,7.0,90.0,,592.0,6.0,7.0,18.0,,18.0,239.0,28.0,13.0,13.0,2.0,4.0,3.0,4.0,28.0,332.0,63.0,,73889,3.0,118.0,,9.0,140.0,8.0,25.0,6.0,60.0,2.0,6.0,2.0,14.0,8.0,3.0,1.0,97.0,261.0,20.0,9.0,,42.0,85.0,,0.0,2.0,3.0,,3.0,3.0,,0.0,3.0,48.9,23.0,,3.0,,1.0,2.0,1.0,41.0,4.0,,367.0,18.0,12.0,21.0,5.0,30.0,2.0,2.0,253.0,4.0,8.0,16.0,66.0,29.0,2.0,13.0,19.0,3.0,7.0,3.0,13.0,2.0,11.0,4.0,,1.0,,2.0,,1.0,,,,1.0,,,,,,1.0,,,1.0,2.0,3.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918962,2017-09-30 15:00:00,"London Stadium, London",56922,Home,West Ham United,Swansea City,1,0,W,0,0,0,0,,65.0,1.0,2.0,39.0,25.0,2.0,5.0,7.0,1.0,1.0,136.0,9.0,6.0,,9.0,4.0,90.0,150.0,65.0,9.0,,19.0,2.0,1.0,1.0,,1.0,26.0,1.0,17.0,25.0,2.0,5.0,33.0,163.0,,0.0,95.0,15.0,1.0,,,81.0,60.0,6.0,59.0,3.0,1.0,24.0,19.0,2.0,14.0,1.0,150.0,1.0,,1.0,90.0,,585.0,6.0,8.0,14.0,1.0,17.0,270.0,32.0,10.0,16.0,,3.0,2.0,3.0,29.0,355.0,58.0,,86934,3.0,133.0,,10.0,157.0,9.0,19.0,5.0,51.0,,1.0,2.0,23.0,5.0,4.0,,72.0,287.0,13.0,6.0,2.0,32.0,77.0,,0.0,2.0,1.0,1.0,,3.0,,0.0,1.0,43.2,24.0,,2.0,1.0,,2.0,2.0,49.0,2.0,,375.0,17.0,8.0,20.0,3.0,30.0,1.0,1.0,244.0,2.0,4.0,24.0,56.0,28.0,1.0,16.0,22.0,,7.0,3.0,12.0,1.0,7.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,8.0,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918964,2017-10-14 15:00:00,"Turf Moor, Burnley",20945,Away,West Ham United,Burnley,1,1,D,1,0,1,0,,50.0,2.0,,28.0,30.0,5.0,2.0,3.0,4.0,3.0,142.0,1.0,6.0,,6.0,6.0,51.0,141.0,48.0,8.0,1.0,30.0,1.0,1.0,,,1.0,10.0,,6.0,30.0,3.0,8.0,17.0,108.0,,0.0,98.0,14.0,3.0,,,19.0,51.0,5.0,35.0,2.0,,7.0,6.0,5.0,4.0,,141.0,1.0,,8.0,57.0,,452.0,5.0,7.0,9.0,,13.0,170.0,17.0,9.0,19.0,,2.0,7.0,1.0,18.0,243.0,67.0,,86934,2.0,82.0,,3.0,100.0,8.0,6.0,17.0,63.0,,1.0,1.0,12.0,12.0,5.0,,80.0,189.0,9.0,9.0,,37.0,82.0,3.0,0.0,5.0,7.0,,1.0,2.0,,1.0,,37.9,12.0,,,,1.0,1.0,1.0,33.0,4.0,,285.0,13.0,5.0,7.0,1.0,21.0,,1.0,195.0,6.0,7.0,25.0,48.0,20.0,5.0,19.0,9.0,1.0,8.0,3.0,13.0,5.0,1.0,4.0,2.0,1.0,,1.0,,,4.0,1.0,,,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918982,2017-10-20 20:00:00,"London Stadium, London",56977,Home,West Ham United,Brighton and Hove Albion,0,3,L,0,2,0,0,1.0,55.0,,5.0,33.0,3.0,8.0,3.0,8.0,2.0,2.0,171.0,7.0,8.0,2.0,10.0,2.0,158.0,163.0,50.0,16.0,4.0,22.0,,,,,1.0,39.0,,10.0,3.0,10.0,11.0,32.0,307.0,,0.0,170.0,5.0,2.0,,,85.0,97.0,6.0,83.0,,2.0,29.0,16.0,8.0,14.0,2.0,163.0,,,5.0,192.0,,786.0,8.0,7.0,26.0,,7.0,489.0,20.0,2.0,2.0,,1.0,1.0,4.0,25.0,585.0,95.0,,86934,7.0,206.0,,15.0,228.0,4.0,16.0,3.0,41.0,,3.0,3.0,14.0,2.0,2.0,2.0,54.0,506.0,13.0,5.0,2.0,10.0,69.0,,0.0,5.0,3.0,,3.0,1.0,,0.0,3.0,65.0,24.0,3.0,4.0,1.0,,3.0,9.0,50.0,10.0,,604.0,7.0,5.0,16.0,5.0,54.0,1.0,3.0,415.0,9.0,11.0,15.0,118.0,28.0,2.0,2.0,15.0,2.0,11.0,2.0,13.0,2.0,4.0,10.0,,,,,1.0,2.0,2.0,,,,,,,1.0,,,,,2.0,,6.0,,1.0,1.0,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,918987,2017-10-28 15:00:00,"Selhurst Park, London",25242,Away,West Ham United,Crystal Palace,2,2,D,2,0,0,0,,61.0,1.0,1.0,23.0,36.0,2.0,2.0,4.0,7.0,,143.0,2.0,15.0,5.0,4.0,2.0,76.0,151.0,75.0,6.0,,19.0,,,,,2.0,17.0,,13.0,36.0,2.0,5.0,20.0,130.0,,0.0,94.0,15.0,4.0,4.0,,48.0,64.0,1.0,44.0,2.0,,15.0,17.0,2.0,3.0,1.0,151.0,1.0,,16.0,68.0,,554.0,1.0,5.0,15.0,,14.0,218.0,29.0,3.0,20.0,,2.0,3.0,3.0,25.0,298.0,54.0,1.0,86934,2.0,110.0,,8.0,129.0,7.0,17.0,10.0,69.0,,1.0,1.0,12.0,4.0,3.0,,63.0,238.0,18.0,14.0,2.0,23.0,84.0,1.0,0.0,2.0,11.0,,2.0,,,0.0,2.0,44.1,18.0,2.0,6.0,1.0,,1.0,1.0,37.0,2.0,,331.0,14.0,12.0,11.0,3.0,25.0,2.0,2.0,219.0,2.0,4.0,19.0,52.0,21.0,4.0,20.0,23.0,2.0,3.0,3.0,24.0,4.0,4.0,2.0,,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,6.0,1.0,,,1.0,1.0,2.0,,,,1.0,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
