gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,accurateKeeperSweeper,attSvHighLeft,freekickCross,goodHighClaim,totalKeeperSweeper,sixYardBlock,attCmissHigh,totalHighClaim,goalsConcededObox,savedObox,divingSave,interceptionsInBox,errorLeadToShot,attCmissLeft,goalsConceded,attCmissRight,attSvHighRight,attMissHighLeft,accurateFreekickCross,attCmissHighLeft,punches,bigChanceScored,attGoalLowCentre,attOboxGoal,penaltyWon,secondYellow,attObxdLeft,attPenGoal,goalsConcededIbox,attFreekickTotal,attSvLowCentre,freekickTotal,attHdTarget,penaltyConceded,attSvHighCentre,clearanceOffLine,penaltyFaced,penGoalsConceded,attFreekickMiss,goalFastbreak,defenderGoals,forwardGoals,attOneOnOne,attLfGoal,postScoringAtt,attIboxPost,attHdPost,hitWoodwork,attPostHigh,errorLeadToGoal,attObxRight,attObxLeft,attPostRight,attFreekickTarget,ownGoals,attIboxOwnGoal,attGoalHighRight,attCmissHighRight,goalAssistSetplay,goalAssistDeadball,foulThrowIn,attGoalHighLeft,attHdGoal,attPostLeft,attOboxPost,contentiousDecision,attGoalHighCentre,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,ptsDroppedWinningPos,attFreekickGoal
11,695006,2013-11-09 17:30:00,"Carrow Road, Norwich",26824,Away,West Ham United,Norwich City,1,3,L,1,0,0,0,49.0,,,2.0,34.0,33.0,5.0,5.0,3.0,3.0,160.0,7.0,6.0,1.0,5.0,6.0,1.0,4.0,102.0,145.0,49.0,12.0,3.0,16.0,2.0,,,1.0,1.0,22.0,15.0,1.0,33.0,2.0,7.0,31.0,195.0,1.0,,0.0,144.0,11.0,,1.0,,68.0,75.0,5.0,77.0,,20.0,12.0,5.0,1.0,145.0,2.0,10.0,118.0,654.0,4.0,7.0,10.0,360.0,20.0,6.0,17.0,1.0,1.0,,1.0,21.0,442.0,80.0,,90518,4.0,180.0,2.0,14.0,1.0,190.0,1.0,,1.0,12.0,9.0,48.0,,6.0,,1.0,6.0,5.0,4.0,,66.0,368.0,12.0,4.0,1.0,33.0,77.0,,3.0,0.0,,4.0,2.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,53.1,17.0,,1.0,1.0,,5.0,32.0,2.0,457.0,10.0,11.0,19.0,3.0,17.0,2.0,1.0,289.0,6.0,7.0,16.0,88.0,23.0,3.0,17.0,16.0,7.0,3.0,15.0,3.0,10.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,,1.0,1.0,3.0,,,,,,,1.0,1.0,,,,,,2.0,2.0,,2.0,,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,695019,2013-11-23 17:30:00,"Boleyn Ground, London",34977,Home,West Ham United,Chelsea,0,3,L,0,2,0,0,51.0,,,2.0,28.0,41.0,1.0,3.0,4.0,,144.0,4.0,12.0,,1.0,5.0,,1.0,84.0,151.0,53.0,8.0,1.0,17.0,1.0,,,,1.0,25.0,11.0,,41.0,7.0,7.0,32.0,161.0,,,0.0,139.0,12.0,,,,67.0,59.0,3.0,79.0,3.0,18.0,15.0,6.0,1.0,151.0,,11.0,81.0,617.0,5.0,5.0,10.0,292.0,19.0,4.0,22.0,,0.0,8.0,2.0,30.0,371.0,58.0,1.0,90518,6.0,143.0,1.0,11.0,,163.0,3.0,,,15.0,5.0,54.0,2.0,3.0,4.0,,13.0,9.0,4.0,,52.0,300.0,9.0,5.0,,23.0,67.0,,1.0,0.0,2.0,4.0,3.0,,1.0,0.0,3.0,,,2.0,44.9,28.0,1.0,2.0,,4.0,3.0,34.0,8.0,388.0,10.0,12.0,21.0,4.0,21.0,1.0,3.0,250.0,2.0,6.0,14.0,94.0,21.0,,22.0,18.0,8.0,3.0,21.0,,6.0,8.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13,695030,2013-11-30 15:00:00,"Boleyn Ground, London",34946,Home,West Ham United,Fulham,3,0,W,0,0,0,0,70.0,2.0,,,28.0,41.0,8.0,8.0,,4.0,165.0,10.0,14.0,3.0,2.0,21.0,1.0,12.0,76.0,144.0,83.0,23.0,2.0,30.0,5.0,2.0,1.0,2.0,2.0,38.0,16.0,4.0,41.0,6.0,9.0,34.0,184.0,2.0,1.0,0.0,153.0,11.0,2.0,2.0,2.0,67.0,79.0,13.0,54.0,2.0,32.0,17.0,7.0,2.0,144.0,4.0,1.0,70.0,598.0,16.0,13.0,7.0,279.0,33.0,14.0,30.0,2.0,3.0,5.0,8.0,16.0,356.0,83.0,2.0,90518,9.0,111.0,3.0,23.0,2.0,128.0,5.0,2.0,2.0,17.0,9.0,62.0,2.0,3.0,2.0,3.0,10.0,9.0,3.0,1.0,48.0,285.0,8.0,12.0,3.0,31.0,82.0,2.0,1.0,0.0,4.0,3.0,,2.0,2.0,0.0,8.0,2.0,1.0,5.0,48.3,14.0,2.0,4.0,1.0,2.0,2.0,48.0,6.0,365.0,7.0,4.0,24.0,9.0,24.0,2.0,6.0,275.0,10.0,8.0,38.0,105.0,29.0,1.0,30.0,23.0,19.0,3.0,21.0,1.0,10.0,6.0,,3.0,,,2.0,1.0,,,1.0,1.0,,,,2.0,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,4.0,,2.0,,2.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14,695032,2013-12-03 20:00:00,"Selhurst Park, London",23891,Away,West Ham United,Crystal Palace,0,1,L,0,1,0,0,57.0,,,3.0,47.0,43.0,5.0,4.0,4.0,1.0,175.0,7.0,11.0,,3.0,9.0,,2.0,111.0,178.0,79.0,11.0,1.0,30.0,1.0,,1.0,,1.0,26.0,20.0,1.0,43.0,4.0,9.0,37.0,190.0,2.0,,0.0,157.0,9.0,1.0,,,82.0,73.0,5.0,70.0,,22.0,12.0,10.0,3.0,178.0,1.0,5.0,101.0,705.0,6.0,11.0,10.0,339.0,19.0,12.0,30.0,,2.0,1.0,4.0,28.0,445.0,80.0,,90518,5.0,166.0,1.0,12.0,3.0,187.0,2.0,,,12.0,6.0,62.0,1.0,6.0,10.0,,18.0,5.0,5.0,1.0,84.0,349.0,9.0,3.0,3.0,43.0,99.0,,1.0,0.0,2.0,3.0,2.0,,3.0,0.0,6.0,,,2.0,63.0,25.0,2.0,1.0,,10.0,4.0,45.0,4.0,457.0,10.0,10.0,16.0,5.0,24.0,1.0,2.0,296.0,4.0,8.0,36.0,93.0,25.0,4.0,30.0,24.0,6.0,3.0,22.0,4.0,9.0,4.0,,1.0,,,,1.0,,,1.0,1.0,,2.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
15,695044,2013-12-07 15:00:00,"Anfield, Liverpool",44781,Away,West Ham United,Liverpool,1,4,L,0,1,1,0,61.0,,,3.0,12.0,34.0,3.0,3.0,6.0,,138.0,5.0,12.0,1.0,1.0,5.0,,1.0,53.0,148.0,67.0,8.0,2.0,27.0,1.0,,1.0,,,18.0,14.0,,34.0,4.0,7.0,19.0,108.0,,,0.0,100.0,12.0,,,,42.0,39.0,5.0,48.0,2.0,14.0,17.0,3.0,1.0,148.0,,19.0,50.0,530.0,5.0,13.0,12.0,187.0,28.0,9.0,12.0,,3.0,13.0,,20.0,268.0,59.0,1.0,8742,2.0,94.0,1.0,10.0,,115.0,4.0,,1.0,17.0,13.0,70.0,2.0,1.0,6.0,,10.0,14.0,5.0,,47.0,197.0,8.0,15.0,,39.0,86.0,,,0.0,4.0,8.0,5.0,1.0,6.0,1.0,3.0,,,1.0,36.1,18.0,,1.0,1.0,6.0,5.0,33.0,4.0,289.0,12.0,10.0,9.0,2.0,13.0,2.0,1.0,192.0,4.0,7.0,20.0,52.0,19.0,4.0,12.0,28.0,5.0,3.0,20.0,4.0,11.0,4.0,1.0,,,,1.0,,,1.0,,,1.0,1.0,4.0,2.0,,,4.0,,,,,,,,,,,,,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
16,695060,2013-12-14 15:00:00,"Boleyn Ground, London",31843,Home,West Ham United,Sunderland,0,0,D,0,0,0,0,59.0,,,1.0,23.0,34.0,5.0,3.0,6.0,2.0,127.0,7.0,16.0,,1.0,9.0,1.0,2.0,65.0,131.0,74.0,11.0,,20.0,1.0,,1.0,,4.0,21.0,19.0,1.0,34.0,2.0,9.0,26.0,141.0,,1.0,0.0,115.0,11.0,1.0,,1.0,59.0,50.0,2.0,46.0,2.0,19.0,9.0,9.0,4.0,131.0,,8.0,58.0,522.0,8.0,15.0,19.0,214.0,24.0,16.0,26.0,,1.0,7.0,7.0,21.0,287.0,53.0,,90518,3.0,86.0,,10.0,1.0,101.0,3.0,,1.0,9.0,9.0,58.0,1.0,,3.0,,7.0,11.0,5.0,,49.0,220.0,5.0,6.0,1.0,40.0,74.0,,,0.0,1.0,9.0,4.0,,7.0,0.0,5.0,,,2.0,41.3,16.0,2.0,3.0,1.0,5.0,1.0,37.0,2.0,296.0,19.0,11.0,15.0,8.0,16.0,2.0,4.0,216.0,6.0,6.0,31.0,75.0,22.0,1.0,26.0,22.0,9.0,3.0,27.0,1.0,6.0,2.0,,,,,,1.0,,1.0,,1.0,,2.0,5.0,1.0,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,695065,2013-12-21 15:00:00,"Old Trafford, Manchester",75350,Away,West Ham United,Manchester United,1,3,L,0,2,0,0,48.0,,,,24.0,21.0,2.0,2.0,4.0,,126.0,4.0,7.0,1.0,,4.0,,1.0,69.0,122.0,35.0,4.0,2.0,16.0,,,,1.0,,17.0,7.0,,21.0,2.0,8.0,28.0,114.0,,,0.0,99.0,17.0,,,,37.0,57.0,2.0,49.0,1.0,15.0,9.0,5.0,,122.0,2.0,14.0,65.0,463.0,2.0,8.0,5.0,223.0,21.0,7.0,13.0,1.0,4.0,8.0,1.0,18.0,286.0,58.0,1.0,90518,2.0,122.0,1.0,10.0,1.0,134.0,4.0,,1.0,9.0,10.0,49.0,1.0,2.0,4.0,1.0,8.0,7.0,4.0,,61.0,232.0,6.0,5.0,,28.0,81.0,,,0.0,2.0,8.0,2.0,1.0,2.0,0.0,3.0,1.0,,1.0,38.2,15.0,1.0,3.0,,4.0,2.0,33.0,2.0,309.0,5.0,4.0,14.0,1.0,17.0,1.0,1.0,192.0,1.0,6.0,11.0,54.0,10.0,2.0,13.0,12.0,3.0,3.0,14.0,2.0,8.0,2.0,,,1.0,,,2.0,1.0,,,2.0,,3.0,4.0,,1.0,,3.0,,,,,,,1.0,1.0,,,,,,3.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,695090,2013-12-28 12:45:00,"Boleyn Ground, London",34946,Home,West Ham United,West Bromwich Albion,3,3,D,1,2,0,0,50.0,1.0,1.0,,32.0,30.0,10.0,6.0,3.0,,146.0,7.0,6.0,3.0,4.0,9.0,,6.0,63.0,143.0,67.0,16.0,1.0,36.0,1.0,,1.0,3.0,3.0,25.0,11.0,2.0,30.0,5.0,3.0,14.0,139.0,1.0,,0.0,115.0,10.0,,2.0,1.0,64.0,44.0,4.0,60.0,3.0,20.0,11.0,9.0,6.0,143.0,1.0,12.0,76.0,544.0,3.0,8.0,6.0,238.0,23.0,12.0,22.0,3.0,3.0,10.0,5.0,14.0,325.0,66.0,,8742,2.0,119.0,,9.0,1.0,137.0,2.0,2.0,1.0,11.0,5.0,68.0,,4.0,10.0,3.0,7.0,10.0,4.0,1.0,62.0,251.0,13.0,9.0,3.0,42.0,79.0,,,0.0,3.0,5.0,3.0,2.0,1.0,0.0,5.0,2.0,,3.0,46.5,12.0,2.0,,,10.0,1.0,39.0,6.0,345.0,6.0,6.0,8.0,9.0,22.0,2.0,2.0,233.0,7.0,2.0,33.0,59.0,17.0,4.0,22.0,17.0,10.0,3.0,14.0,4.0,7.0,6.0,,2.0,,1.0,2.0,1.0,,,,1.0,,1.0,2.0,,,1.0,3.0,1.0,1.0,,,,,1.0,,1.0,,,,,3.0,2.0,,2.0,1.0,,,1.0,,,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
20,695093,2014-01-01 15:00:00,"Craven Cottage, London",25335,Away,West Ham United,Fulham,1,2,L,1,1,1,0,50.0,1.0,,,18.0,32.0,5.0,5.0,9.0,,128.0,4.0,2.0,1.0,2.0,8.0,,3.0,47.0,143.0,20.0,11.0,3.0,13.0,2.0,,,,,20.0,5.0,,32.0,4.0,9.0,19.0,89.0,,,0.0,111.0,5.0,,1.0,1.0,50.0,33.0,5.0,42.0,4.0,16.0,8.0,6.0,2.0,143.0,2.0,17.0,39.0,448.0,5.0,11.0,15.0,157.0,21.0,10.0,17.0,1.0,2.0,10.0,3.0,23.0,236.0,66.0,,8742,4.0,81.0,2.0,10.0,2.0,99.0,,1.0,,8.0,9.0,41.0,,4.0,4.0,,7.0,13.0,4.0,,56.0,166.0,6.0,8.0,2.0,42.0,76.0,,,0.0,2.0,12.0,5.0,1.0,4.0,1.0,2.0,,,4.0,32.3,21.0,3.0,2.0,,5.0,3.0,30.0,4.0,256.0,15.0,5.0,9.0,5.0,23.0,2.0,3.0,177.0,2.0,9.0,6.0,52.0,13.0,5.0,17.0,6.0,5.0,3.0,12.0,5.0,7.0,4.0,,1.0,1.0,,,3.0,1.0,,,3.0,,4.0,6.0,2.0,,,2.0,1.0,,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
21,695102,2014-01-11 15:00:00,"Cardiff City Stadium, Cardiff",27750,Away,West Ham United,Cardiff City,2,0,W,1,0,1,0,47.0,1.0,,,30.0,55.0,4.0,2.0,7.0,1.0,124.0,3.0,8.0,2.0,1.0,8.0,,3.0,52.0,140.0,54.0,10.0,,29.0,1.0,,2.0,2.0,3.0,23.0,13.0,,55.0,6.0,8.0,35.0,120.0,,1.0,0.0,106.0,16.0,,1.0,,41.0,68.0,2.0,42.0,2.0,17.0,10.0,7.0,4.0,140.0,1.0,9.0,60.0,484.0,5.0,13.0,11.0,184.0,19.0,13.0,31.0,2.0,3.0,4.0,6.0,19.0,262.0,64.0,1.0,8742,3.0,76.0,,10.0,,84.0,4.0,2.0,,10.0,12.0,60.0,3.0,1.0,1.0,2.0,11.0,10.0,3.0,1.0,52.0,193.0,7.0,11.0,1.0,30.0,72.0,,,0.0,3.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,,1.0,37.0,15.0,1.0,2.0,,1.0,,33.0,7.0,278.0,11.0,5.0,24.0,7.0,19.0,1.0,3.0,217.0,7.0,7.0,27.0,54.0,17.0,2.0,31.0,14.0,9.0,3.0,10.0,2.0,4.0,7.0,1.0,,1.0,,,4.0,1.0,,,4.0,,5.0,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
22,695120,2014-01-18 15:00:00,"Boleyn Ground, London",33343,Home,West Ham United,Newcastle United,1,3,L,1,2,0,0,58.0,,,1.0,39.0,36.0,3.0,4.0,5.0,1.0,171.0,6.0,2.0,1.0,1.0,8.0,,3.0,70.0,179.0,55.0,12.0,2.0,22.0,2.0,,1.0,,3.0,33.0,19.0,,36.0,4.0,3.0,19.0,140.0,,,0.0,121.0,9.0,,,,50.0,57.0,4.0,52.0,2.0,29.0,18.0,5.0,1.0,179.0,2.0,7.0,69.0,590.0,6.0,22.0,12.0,240.0,16.0,16.0,21.0,,0.0,2.0,4.0,32.0,346.0,81.0,,90518,6.0,117.0,3.0,23.0,3.0,134.0,1.0,1.0,,18.0,10.0,57.0,,4.0,5.0,1.0,6.0,12.0,6.0,1.0,71.0,251.0,6.0,10.0,2.0,52.0,98.0,,,0.0,1.0,3.0,2.0,1.0,6.0,0.0,6.0,,,2.0,48.3,26.0,2.0,2.0,1.0,5.0,3.0,52.0,4.0,362.0,12.0,11.0,12.0,6.0,29.0,,5.0,261.0,6.0,2.0,24.0,60.0,28.0,3.0,21.0,23.0,8.0,3.0,11.0,3.0,7.0,4.0,2.0,1.0,,,1.0,2.0,,,,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,,,1.0,,,,1.0,,,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,695129,2014-01-29 19:45:00,"Stamford Bridge, London",41376,Away,West Ham United,Chelsea,0,0,D,0,0,0,0,36.0,,,,19.0,52.0,,,9.0,,99.0,5.0,5.0,,2.0,1.0,,1.0,23.0,117.0,51.0,1.0,,21.0,1.0,,,,,14.0,13.0,,52.0,3.0,1.0,15.0,65.0,,1.0,0.0,70.0,11.0,,,1.0,41.0,23.0,1.0,29.0,,11.0,12.0,2.0,,117.0,1.0,16.0,40.0,407.0,,12.0,10.0,117.0,19.0,7.0,21.0,,3.0,13.0,,20.0,175.0,53.0,,90518,1.0,63.0,1.0,7.0,1.0,74.0,4.0,,,12.0,22.0,54.0,,1.0,2.0,,8.0,23.0,15.0,,43.0,123.0,12.0,11.0,1.0,28.0,80.0,,,0.0,,13.0,5.0,,1.0,0.0,4.0,,,1.0,27.6,11.0,,,,2.0,,42.0,3.0,191.0,10.0,7.0,10.0,,12.0,1.0,,131.0,,1.0,21.0,31.0,11.0,4.0,21.0,16.0,,3.0,12.0,4.0,4.0,3.0,1.0,,,,2.0,,,,,,,4.0,5.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
24,695140,2014-02-01 12:45:00,"Boleyn Ground, London",31848,Home,West Ham United,Swansea City,2,0,W,2,0,1,0,45.0,,2.0,,20.0,58.0,4.0,4.0,,,122.0,7.0,3.0,2.0,2.0,10.0,,4.0,48.0,134.0,60.0,11.0,1.0,7.0,1.0,,,1.0,2.0,25.0,21.0,1.0,58.0,8.0,6.0,21.0,117.0,1.0,1.0,0.0,119.0,7.0,,2.0,1.0,65.0,34.0,4.0,49.0,1.0,17.0,18.0,6.0,2.0,134.0,1.0,6.0,49.0,504.0,5.0,9.0,8.0,180.0,16.0,15.0,37.0,2.0,1.0,12.0,6.0,26.0,256.0,63.0,1.0,90518,4.0,76.0,,9.0,,91.0,2.0,,,18.0,10.0,34.0,1.0,,2.0,1.0,8.0,14.0,8.0,1.0,48.0,186.0,7.0,7.0,3.0,35.0,70.0,,,0.0,2.0,11.0,,2.0,3.0,1.0,3.0,2.0,,5.0,35.0,19.0,3.0,2.0,1.0,2.0,1.0,34.0,8.0,268.0,8.0,12.0,9.0,6.0,20.0,4.0,4.0,202.0,2.0,4.0,25.0,70.0,21.0,7.0,37.0,25.0,7.0,3.0,6.0,7.0,11.0,8.0,,1.0,,,2.0,3.0,,,,3.0,,,,2.0,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,
25,695141,2014-02-08 15:00:00,"Villa Park, Birmingham",36261,Away,West Ham United,Aston Villa,2,0,W,0,0,0,0,44.0,,1.0,4.0,19.0,69.0,2.0,4.0,1.0,,122.0,4.0,4.0,2.0,,7.0,,2.0,40.0,148.0,46.0,10.0,1.0,24.0,,,,1.0,1.0,24.0,7.0,,69.0,8.0,7.0,19.0,94.0,,1.0,0.0,95.0,8.0,1.0,2.0,,55.0,34.0,4.0,30.0,1.0,16.0,12.0,4.0,1.0,148.0,1.0,9.0,39.0,461.0,4.0,11.0,7.0,141.0,22.0,10.0,41.0,1.0,2.0,4.0,3.0,19.0,217.0,57.0,1.0,8380,6.0,59.0,1.0,12.0,,72.0,1.0,2.0,,12.0,18.0,40.0,1.0,4.0,2.0,2.0,12.0,7.0,7.0,,48.0,149.0,7.0,1.0,2.0,32.0,77.0,,,0.0,4.0,8.0,1.0,2.0,2.0,0.0,1.0,1.0,,1.0,32.2,13.0,1.0,,2.0,2.0,5.0,34.0,10.0,231.0,7.0,8.0,12.0,3.0,15.0,3.0,2.0,183.0,5.0,6.0,24.0,48.0,17.0,7.0,41.0,11.0,7.0,3.0,4.0,7.0,6.0,10.0,,,1.0,,,2.0,1.0,1.0,,2.0,,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
26,695156,2014-02-11 19:45:00,"Boleyn Ground, London",35153,Home,West Ham United,Norwich City,2,0,W,0,0,0,0,53.0,1.0,,,19.0,61.0,5.0,4.0,6.0,2.0,169.0,5.0,4.0,2.0,2.0,10.0,,7.0,51.0,170.0,54.0,12.0,1.0,11.0,4.0,1.0,1.0,1.0,,27.0,18.0,1.0,61.0,5.0,7.0,27.0,129.0,,1.0,0.0,144.0,12.0,1.0,1.0,,73.0,55.0,7.0,54.0,1.0,22.0,15.0,6.0,3.0,170.0,2.0,7.0,58.0,566.0,7.0,8.0,3.0,223.0,20.0,10.0,37.0,2.0,1.0,2.0,3.0,26.0,313.0,100.0,,8380,4.0,102.0,1.0,15.0,2.0,111.0,1.0,1.0,,15.0,11.0,45.0,,2.0,2.0,1.0,5.0,6.0,5.0,3.0,61.0,226.0,14.0,2.0,1.0,43.0,79.0,1.0,1.0,0.0,1.0,5.0,5.0,2.0,2.0,0.0,3.0,1.0,2.0,3.0,48.2,20.0,1.0,3.0,1.0,2.0,1.0,27.0,5.0,332.0,3.0,14.0,12.0,4.0,30.0,2.0,1.0,248.0,5.0,7.0,17.0,66.0,25.0,1.0,37.0,21.0,8.0,3.0,11.0,1.0,7.0,5.0,,2.0,,,1.0,1.0,,,,1.0,,1.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,2.0,,1.0,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,
27,695169,2014-02-22 15:00:00,"Boleyn Ground, London",33148,Home,West Ham United,Southampton,3,1,W,2,1,0,0,47.0,,2.0,,15.0,30.0,4.0,3.0,4.0,2.0,130.0,7.0,4.0,3.0,1.0,7.0,,5.0,34.0,157.0,39.0,10.0,1.0,16.0,1.0,,,1.0,,28.0,14.0,1.0,30.0,4.0,3.0,27.0,98.0,1.0,,0.0,104.0,10.0,,2.0,,68.0,40.0,3.0,39.0,,24.0,17.0,8.0,1.0,157.0,1.0,15.0,31.0,454.0,4.0,11.0,10.0,143.0,23.0,6.0,17.0,1.0,0.0,6.0,4.0,25.0,220.0,73.0,1.0,8380,5.0,58.0,,15.0,,73.0,5.0,2.0,,16.0,16.0,44.0,1.0,1.0,2.0,2.0,14.0,11.0,9.0,1.0,39.0,149.0,8.0,8.0,2.0,27.0,73.0,,1.0,0.0,5.0,11.0,2.0,3.0,,0.0,4.0,1.0,1.0,2.0,31.5,13.0,1.0,3.0,,2.0,1.0,32.0,5.0,234.0,10.0,6.0,15.0,4.0,19.0,3.0,1.0,189.0,5.0,3.0,9.0,58.0,15.0,11.0,17.0,19.0,7.0,2.0,10.0,11.0,11.0,5.0,,,1.0,,1.0,2.0,1.0,,1.0,2.0,,2.0,1.0,,2.0,,1.0,,,,1.0,,,2.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
28,695172,2014-03-01 15:00:00,"Goodison Park, Liverpool",38286,Away,West Ham United,Everton,0,1,L,0,0,0,0,42.0,,,2.0,20.0,48.0,5.0,3.0,2.0,,95.0,6.0,3.0,,4.0,4.0,,1.0,37.0,126.0,52.0,7.0,,23.0,,,,,,28.0,14.0,1.0,48.0,5.0,4.0,6.0,86.0,2.0,,0.0,92.0,8.0,1.0,,,49.0,26.0,2.0,26.0,1.0,23.0,12.0,5.0,4.0,126.0,,13.0,35.0,404.0,3.0,16.0,10.0,115.0,20.0,10.0,25.0,,1.0,6.0,2.0,21.0,179.0,52.0,,8380,1.0,46.0,,14.0,,61.0,4.0,,,12.0,15.0,52.0,,1.0,1.0,,7.0,9.0,9.0,,32.0,126.0,8.0,5.0,1.0,20.0,56.0,,,0.0,3.0,11.0,2.0,,6.0,0.0,4.0,,,,31.1,17.0,,,1.0,1.0,2.0,36.0,5.0,193.0,10.0,9.0,2.0,4.0,21.0,2.0,,160.0,3.0,4.0,25.0,52.0,14.0,3.0,25.0,17.0,6.0,3.0,10.0,3.0,6.0,5.0,,1.0,1.0,,4.0,,1.0,,,,,,1.0,3.0,,,1.0,,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
